species,D,n_classifiable,mean_M3_full,sd_M3_full,mean_M3_bio9,mean_nuisance_fraction
Carlina vulgaris,0.5275000000000001,40,0.13355520685676442,0.11727575112452415,0.038152932216919185,0.24485650720608138
Carthamus mitissimus,0.5805785123966942,44,0.015227216547862266,0.07974157686467022,-0.028391232056654666,0.17842138542695654
Castilleja exserta,0.34119897959183676,56,0.045613418832536785,0.09151597324167529,-0.027934172375756176,0.25450553161053585
Castilleja foliolosa,0.5207939508506616,46,0.13585966199612362,0.10281840801366503,0.031347752413328336,0.21456529758192736
Centranthus calcitrapae,0.19786982248520701,65,0.09898949311493752,0.08126464568773087,-0.009693325217106877,0.2448002290685189
Centrosema virginianum,0.6489994591671173,43,0.013686458067103514,0.08864286365332481,-0.01794314940413799,0.12315785694362522
Cerastium fontanum,0.06771314250538629,57,0.007249167301797223,0.06416069768871115,-0.046164329557285215,0.2102382658654255
Chaenorhinum origanifolium,0.5539358600583091,49,0.07560598823359971,0.07914407052234168,-0.00840585575864914,0.20169739010942356
Chelone lyonii,0.4723032069970845,49,0.04584297058781047,0.05842666099146814,-0.00957217690705351,0.12883623586949114
Chondrilla juncea,0.23553719008264462,66,-0.1719279739456248,0.1695579893106192,-0.22672875660891068,0.0869689866102839
Cipura campanulata,0.19753086419753085,54,-0.020193667819265463,0.09913320202013803,-0.04606717724474843,0.0659634331499395
Cistus albidus,0.6010701545778834,58,-0.028640407977250343,0.060516750990724566,-0.0428394562402134,0.028184820180290854
Cistus crispus,0.17236328125,64,-0.00425746377199555,0.042007900505349804,-0.0213282407014587,0.045447475261373854
Clematis virginiana,0.03998334027488548,49,0.051521478209583776,0.05582443169583678,-0.028302988729177116,0.31438167975002335
Clinopodium alpinum,0.20434318262726947,53,-0.006452005031739313,0.030425515658900316,-0.02190489569962798,0.06972198134868693
Cneoridium dumosum,0.3064000000000001,50,0.06359586066204051,0.11673582003018765,-0.013786830741337651,0.1526929318767178
Cochlospermum vitifolium,0.08072916666666652,48,-0.14080033643755438,0.15514325376069812,-0.18339872712722413,0.09508004701420657
Coleogyne ramosissima,0.07488615280823074,77,-0.06627400227508766,0.14650920623322058,-0.14868070616462323,0.15757749428564852
Coleostephus myconis,0.0,79,-0.27896395374995975,0.10154335362271129,-0.3093553841873143,0.055609970377032636
Collinsia grandiflora,0.2297668038408779,54,0.017070609441469237,0.04083687803605148,-0.009929389180530457,0.13319623420073948
Commelina benghalensis,0.5159554017685506,51,0.02236236373606822,0.04924605589667733,-0.006270517822053912,0.14718247967312464
Commelina communis,0.20784023668639062,52,0.0010545943862848178,0.053848328685451134,-0.004252794232635775,0.09865200445137325
Commelina diffusa,0.47572536627405915,59,0.016971404629069726,0.030877809438844765,-0.003746638093865893,0.08147319280874533
Conoclinium betonicifolium,0.19778570088196656,73,0.06938046150752189,0.06702124129046955,-0.006094591502348738,0.2214201458279565
Conopholis alpina,0.3106508875739644,52,0.101291321033771,0.11984486825904658,0.043573526441723534,0.14711917324349247
Conospermum caeruleum,0.4038165589412126,57,0.028015501563854947,0.048314272216855636,0.00013846784788125362,0.15026915597846088
Convolvulus elegantissimus,0.5826397146254458,58,0.05066548780849858,0.11466098746000211,-0.012855396120189697,0.12224680192023414
Cornus florida,0.21491045397750952,49,0.06806206563927417,0.12277402852106029,-0.01758344158176845,0.23134538816819997
Cornus sanguinea,0.14993752603082044,49,0.04594293553872928,0.07108669053817104,-0.05065350673141609,0.37248129913241507
Cornus suecica,0.035076530612244916,56,0.021740099980527287,0.045051013281500046,-0.012152106544040503,0.24040142063037456
Corydalis aurea,0.028163265306122343,70,-0.23806089079236747,0.09674333297015636,-0.29945330805203185,0.12097365705690155
Cotula coronopifolia,0.024092801903628835,82,-0.23973024943639462,0.1468266143803851,-0.28153479526669556,0.07214755433436357
Crepis biennis,0.03224939532383764,61,-0.20018487588422706,0.09580500498762051,-0.29347519934306837,0.16253060383502224
Crepis sancta,0.05791935843172191,67,-0.2596173940226964,0.14630451737828298,-0.30430120936043054,0.07520477668645921
Cryptantha barbigera,0.2230902777777778,48,0.06617555349985403,0.09463663421123175,-0.024734657080584293,0.2493146294985429
Cylindropuntia echinocarpa,0.19013128112268007,47,-0.012327262174338157,0.15555210319931848,-0.12345110026555751,0.25862590363670007
Cypripedium guttatum,0.33364839319470696,46,0.14242939216633996,0.11189829493028709,1.0775171555574892e-05,0.25838132233115363
Dalea candida,0.0525931336742147,74,0.08129160458800304,0.07621212779068522,-0.004066142556240949,0.20658981428879897
Dampiera stricta,0.18426534209261325,79,0.005524375433599432,0.04517514745310908,-0.007175926266740011,0.051050780105287526
Delphinium glaucum,0.20144628099173545,44,-0.012474952748115924,0.06864497586444203,-0.013139098685035593,0.2585627168545407
Delphinium sutherlandii,0.10679957280170882,53,0.006606622679932242,0.03575261298848408,-0.009780321372039533,0.12918020601914423
Desmanthus illinoensis,0.23553719008264462,66,0.03661598345587367,0.09146024080919242,-0.047306615605068235,0.2805036272575096
Diplacus mephiticus,0.5627162629757786,68,-0.11885536044025115,0.16960110136216705,-0.15560325769905864,0.11199237866743815
Diplotaxis tenuifolia,0.09730440499671267,78,-0.24576801947851756,0.12992028979067163,-0.30291760224147085,0.10830140198612738
Disphyma crassifolium,0.4717066545948393,47,0.05174005222552735,0.059742316578308516,0.0038576153191005815,0.13218776101306925
Distimake aegyptius,0.07679999999999998,50,0.028185585943005746,0.10434313122495711,-0.01016919998739222,0.10505078403944668
Distimake dissectus,0.22283779624499866,57,0.04737811152649515,0.10679875428377693,-0.002003203177033548,0.12208923895967085
Drosera spatulata,0.6803677663601947,43,0.0916050183340273,0.12815354983263114,0.013626080641394806,0.1987921075718766
Dyssodia pinnata,0.0,78,-0.21674951544064788,0.09948880386984825,-0.24439494468215342,0.043642537004107
Echium gaditanum,0.28147762747138383,62,0.02735516913867415,0.07052886946713986,-0.008497353134417223,0.21440433464901065
Echium rosulatum,0.4841580633677466,53,0.0348336761017444,0.051879206405773745,-0.011316126267587783,0.128413232244896
Ehretia anacua,0.0,50,0.08792260832627072,0.062065778565521784,-0.012679782749166478,0.3059928400006468
Elephantopus carolinianus,0.12278876170655573,62,0.03740452970994681,0.04996982653612612,-0.021193210557475816,0.16713307838986471
Epacris obtusifolia,0.21415823914336696,41,0.07471784552773938,0.08769964064302495,-0.0027079292767892755,0.1754688047245738
Erechtites hieraciifolius,0.4762335898596649,47,0.016202883604442518,0.12932534114569894,-0.06536592215588179,0.21722875481420803
Erigeron foliosus,0.6024,50,0.02292546881406768,0.09471158630738295,-0.04627006288406732,0.17029491037159455
Erigeron linearis,0.08869659275283936,86,-0.20463488053139434,0.12498156128747313,-0.2554392827767092,0.07770988166636617
Eriodictyon crassifolium,0.16803840877914955,54,0.12258790111066438,0.10018898396769085,-0.009449929451333449,0.32114348751386546
Eriogonum jamesii,0.14003673094582192,66,0.06534693940216854,0.06659569584705906,-0.014981103485772583,0.26871389177693245
Eriogonum latifolium,0.22408163265306125,70,0.14007780957476965,0.08431922399975826,0.01815129874546879,0.24648494843242297
Eriogonum niveum,0.0878099173553718,44,0.13107387148560945,0.07988512940445974,0.006384428530076301,0.21179632408090754
Eriophorum vaginatum,0.345679012345679,45,0.10629593302909886,0.12203510568960471,-0.0006644973637952173,0.2874243957465704
Eriophyllum confertiflorum,0.0,82,-0.2272159147312627,0.09457064384925122,-0.2637043375331449,0.05515568627727571
Eryngium planum,0.2137639369473281,51,0.11678608822945857,0.10540940320452788,-0.007059303026012282,0.3588536658475123
Erythranthe dentata,0.05791935843172191,67,-0.2951322453093604,0.1281529249126559,-0.334192461981196,0.0806744987526648
Erythranthe erubescens,0.5698765432098767,45,0.029377586214798395,0.08583843435622693,-0.021465874414123513,0.09939207512361929
Erythrina humeana,0.2921597633136095,52,0.1206182811190252,0.06367486916876396,0.039681582829034376,0.1824673983746631
Eschscholzia minutiflora,0.0,72,-0.26771686305341186,0.11348203266585619,-0.29969116199186574,0.05481266332670129
Euonymus obovatus,0.4997025580011898,41,0.03351602290792204,0.17398589559831248,-0.1053209021094154,0.44355594047808095
Eupatorium altissimum,0.19438016528925628,55,0.11320255075769065,0.09513221969468968,-0.019324940830592496,0.3749492461621086
Euphorbia cyparissias,0.0,85,-0.2414273802035634,0.11959035028896217,-0.3471190800435821,0.20026343271227076
Eurybia divaricata,0.08677685950413205,44,0.07221195663698209,0.10857241938616137,-0.022206725811149738,0.26507647253503763
Eutrochium fistulosum,0.2933454051607062,47,0.13859653061552812,0.14139774774327324,-0.010130908078139794,0.34372335412917887
Eutrochium maculatum,0.2978723404255319,47,0.14251733752560947,0.10238496881804673,-0.0020799099886298607,0.29929825183650854
Eysenhardtia texana,0.08317580340264641,46,0.05547597854095569,0.06440422297394527,-0.03324494032780168,0.28723915140362705
Falcaria vulgaris,0.02856542743121193,69,0.10551150908888321,0.06744073076298021,-0.011354012671547573,0.3929483678819238
Fritillaria pyrenaica,0.6889995473064736,47,0.08654473557565079,0.22592546962316024,-0.053010784531588764,0.42502538074096
Galinsoga parviflora,0.35888671875,64,-0.0649917449993671,0.14422373465557847,-0.15424812238241123,0.23446833260025837
Gazania rigens,0.027772267407260465,71,-0.27187893382660266,0.0930075757160345,-0.3055122238117881,0.06241392099069635
Gentiana acaulis,0.20511803213648072,71,-0.05534080505551373,0.10068156017363046,-0.01495462819018628,0.1911182494821298
Gentiana parryi,0.16493827160493824,45,0.0044451151767413025,0.09546067444475707,-0.009110743276543942,0.22328367186874384
Geranium macrorrhizum,0.5244444444444445,45,0.07489120540338767,0.0755921050304572,-0.0033302243706180607,0.18502539633487466
Geranium molle,0.6427514792899409,52,0.027386701520096743,0.06534673338889238,-0.024031831686184505,0.16158680876235942
Geranium richardsonii,0.06951530612244883,56,0.01015229139556252,0.024061177071313666,-0.01525138171886167,0.07898149950052923
Geranium yeoi,0.5840262030738221,63,0.006920984179712645,0.048997117866295015,-0.013834213492250618,0.08407728312302643
Geum canadense,0.03844675124951946,51,0.021386412167889616,0.0787172179761974,-0.0579301306683526,0.2892068345712366
Geum macrophyllum,0.08554243706838949,67,-0.2467878186930275,0.13769102974877126,-0.3389472369533982,0.17668903015657775
Geum urbanum,0.11550295857988169,65,-0.2475732705977525,0.15632619341817716,-0.3240514550948702,0.14598743006886103
Gompholobium huegelii,0.3673094582185492,66,-0.23710303042271327,0.15597465001076355,-0.27728873814287314,0.0667002813595876
Goodenia ovata,0.0525931336742147,74,-0.28760381661496714,0.09719239451894861,-0.3395605515805756,0.09145424360983118
Grevillea alpina,0.5770975056689343,42,0.08210787283752688,0.1138426957721069,0.017591031517164072,0.13260864178332682
Grevillea lavandulacea,0.12476370510396972,46,0.0678039062640822,0.09340587899200288,-0.010974738827413351,0.1614132137732642
Guzmania monostachia,0.4404938271604938,45,0.06256449976243347,0.05172383865853212,0.010350604479408056,0.12583475228361304
Hedypnois rhagadioloides,0.03224939532383764,61,-0.2972356621178735,0.14832319467309257,-0.3273502042969103,0.05588113582227272
Helenium autumnale,0.0,81,-0.23465653750356688,0.0885288920502165,-0.2888466789798629,0.08835667307162133
Helianthus divaricatus,0.06771314250538629,57,-0.27971554674596333,0.12640879758940474,-0.32119245813603464,0.07186609527386824
Hepatica acutiloba,0.033323757540936416,59,0.02999688809121404,0.05027423148130602,-0.012457949900733983,0.12279808882803946
Hibbertia cuneiformis,0.12226847034339239,62,-0.2825561324728177,0.14532507638380418,-0.332820595807107,0.08393437945319848
Hibiscus denudatus,0.35650887573964496,52,0.06969374203353275,0.0908139461532626,-0.00881794065099553,0.1407591535548281
Hofmeisteria fasciculata,0.16709183673469385,56,0.10952735795317067,0.0826705712383294,0.008160297574001194,0.21965714765710492
Homogyne alpina,0.36560000000000004,50,0.13015841388944693,0.14087493928390088,-0.016433062362764164,0.3329260898485816
Hyacinthoides non-scripta,0.1504971781779092,61,0.003993661199460788,0.03799232395772941,-0.009957167084538324,0.17773536027642078
Hypocalymma robustum,0.2670891806247171,47,0.057511313372062285,0.06542041342999289,-0.008653978539071714,0.16427000903508016
Iliamna rivularis,0.2122781065088758,52,0.08324297254859811,0.08885187236897171,-0.021587809920028272,0.23186919352935462
Ipomoea cairica,0.5720486111111112,48,0.0027513731844792436,0.0966816226845973,-0.03687516071247981,0.09910659969374642
Ipomoea pes-caprae,0.5512152777777778,48,0.012894193555624186,0.09608606094330706,-0.019140646551516056,0.08591014077104048
Jacobaea adonidifolia,0.026311111111110952,75,-0.1930130083452611,0.10232872329190101,-0.2544388747491764,0.10608620407573029
Jaumea carnosa,0.05191111111111102,75,-0.2199720848772377,0.09952119766683411,-0.26386327676137833,0.07021203749038454
Johnstonella angustifolia,0.0,60,0.07729650170602657,0.0662895917600166,-0.01120047153288319,0.18566879219495236
Lachenalia reflexa,0.07133058984910856,54,-0.23732146796644338,0.14331316659525303,-0.3060466153196902,0.1256434511062452
Lamprocapnos spectabilis,0.15500000000000014,60,0.0695805584531901,0.09153140956632189,-0.007180234159594945,0.1310931875914832
Lantana involucrata,0.19451530612244894,56,0.031097352264871002,0.07287457357917297,-0.035373367842055636,0.2018712601349856
Lathyrus japonicus,0.5015844273426889,47,0.04783438046602651,0.060335849763242314,-0.013723020370939622,0.1703517347289587
Lathyrus palustris,0.62819750148721,41,0.040468588917601016,0.07334359340585721,-0.007747063290293042,0.13518269706768835
Lathyrus pratensis,0.08172981551279512,71,-0.27801242636606016,0.1088505253389589,-0.3298523377105128,0.09962987411193132
Lepidium campestre,0.20761245674740492,68,0.09213367268292798,0.07473469618478024,-0.026555135208750632,0.46169942557401983
Lepidium fremontii,0.07986111111111094,72,0.12921478122144742,0.0779097339606262,0.01110044064467422,0.30076292621789996
Leucaena leucocephala,0.3898375676801332,49,0.043138646500210924,0.0935570959253169,-0.031819550733459045,0.24228422700541613
Leucopogon affinis,0.05964497041420125,65,0.10778863540297776,0.07477601499976727,0.005740349739797559,0.2616071278623489
Leucopogon microphyllus,0.028979238754325065,68,0.11058341792824894,0.08142415841969955,0.0018012014758445776,0.2455191097075615
Ligustrum obtusifolium,0.03224939532383764,61,0.057199943030703485,0.04997459632944622,-0.014417788208508408,0.29383770664734327
Linum catharticum,0.10095413973530332,57,-0.010791522808222778,0.07041403006528457,-0.057991097154555284,0.13667761792669053
Linum lewisii,0.5402226423020373,69,0.012775788903470402,0.09023407938143391,-0.018652235325651457,0.08813967800726256
Lithospermum canescens,0.0,79,-0.25452883852848524,0.10180402060562424,-0.27643987674296944,0.03799912578805798
Lobelia erinus,0.26806640625,64,0.0062783509376862666,0.050149559990518996,-0.00973902537182245,0.05790294080364749
Loeselia glandulosa,0.632396449704142,52,0.0288331870713291,0.04633741440258453,-0.013604003886418711,0.1144277478766676
Ludwigia peruviana,0.0,43,-0.2801250766112858,0.16908560500580713,-0.32594618976526174,0.09037864163820188
Lupinus arizonicus,0.20037807183364842,46,-0.011801412627848635,0.07662084032589125,-0.025795884209992768,0.26109374128833535
Lupinus havardii,0.12611111111111106,60,-0.018995793529956548,0.09752823750244399,-0.011445163646786669,0.3336686385631519
Lupinus microcarpus,0.5667722951561793,47,0.04399962455673441,0.1528021779627579,-0.0467586346479218,0.22576193688635582
Lysimachia loeflingii,0.14697265625,64,-0.0009843689457259793,0.048147827925845516,-0.006307318681658427,0.09044829208330588
Lysimachia quadrifolia,0.059228650137741035,66,-0.26812135382182944,0.08446498493196711,-0.33616407869465226,0.12625149032634495
Malacothrix saxatilis,0.06198034769463345,63,0.034673025634683004,0.0719396276109291,-0.02085505113583132,0.1171377366754901
Malva moschata,0.481310074759701,53,0.030538118075506028,0.05155427004293105,-0.01702016677521758,0.09884871638143523
Malva thuringiaca,0.41141498216409034,58,0.043188547731668275,0.0756342242285694,-0.01784028429130666,0.13051601065972512
Mazus miquelii,0.4934157484547166,61,0.029431104236267585,0.04125238186791969,-0.007078731113123497,0.10827377304563951
Mecardonia procumbens,0.26880000000000015,50,-0.26591048166039866,0.142193664979264,-0.31137480807265716,0.0944287271913048
Medicago lupulina,0.13610586011342152,69,-0.18671184742609764,0.13051775806012178,-0.29395164618687086,0.21026765589880902
Medicago marina,0.07679999999999998,75,-0.16708213736371239,0.10183792470626106,-0.26845927249614693,0.18970689913235414
Melaleuca citrina,0.40875000000000006,40,0.16884774616979614,0.10425170423661645,0.02805641106065717,0.2836932092826945
Melastoma candidum,0.7071005917159763,52,0.026907389770981283,0.08740892727117454,-0.005907281981502744,0.10505857237218857
Melastoma malabathricum,0.6329565734681737,41,0.021059074564499573,0.07100684738394539,-0.011058940008871233,0.1090968599413571
Melothria pendula,0.17677514792899407,52,-0.2320131281123673,0.1475517866937032,-0.29969958321453904,0.14164693927191807
Micranthes petiolaris,0.0,49,0.07115222693584676,0.05581946817844929,-0.006746240341947254,0.2137246844092171
Mitchella repens,0.03998334027488548,49,0.037648549954137425,0.10044049291854676,-0.02343128799911236,0.17426121018506852
Moraea flaccida,0.3752402921953095,51,-5.681204684321807e-05,0.16348870200995763,-0.027675293347011038,0.06098513131992922
Muscari armeniacum,0.07218749999999985,80,-0.022972037383533234,0.061428854268463576,-0.005008193569023778,0.15231627786603458
Muscari botryoides,0.08804733727810632,65,-0.027186240682204158,0.06007746830614655,-0.005240871163251225,0.13816223540908174
Myosotis latifolia,0.375,76,0.0284668632066348,0.04329897535197589,-0.01676008303526754,0.14515987517241216
Myosotis laxa,0.08899408284023658,65,0.02873254047662721,0.05311687266461483,-0.027272883586178825,0.19840961993030812
Myosotis sparsiflora,0.07779401022644272,74,0.02675223936806303,0.04689342239968399,-0.020650312481394408,0.203896225204224
Myrica gale,0.3037500000000001,40,0.15587096051733515,0.17520671473881974,0.027864486931671845,0.3151187653769276
Myrtus communis,0.21029182445979067,67,0.05407500254502068,0.08517399007960555,-0.013759206742481859,0.22111452852765012
Nama hispida,0.6057511421660844,61,0.028554719596433086,0.07776027779040523,-0.016391603108158494,0.13262167165823918
Navarretia heterodoxa,0.43739644970414193,65,0.04511766756518328,0.06377271447688246,-0.006664029890199074,0.18129738337215207
Nelumbo nucifera,0.6414277988101676,43,0.04781600630326608,0.12587216627077588,-0.019206975462078873,0.2012828941872255
Nicandra physalodes,0.5175308641975308,45,-0.020380265613919056,0.08147314250452437,-0.04464889862287421,0.06988804748301472
Nicotiana longiflora,0.07535563244905807,51,0.03638174254021242,0.09247235439619207,-0.014619265721514396,0.11558946745466134
Ochna serrulata,0.4699798908359667,59,-0.09854834596156327,0.1935848880530966,-0.1757790542540156,0.16572845788681398
Odontites luteus,0.029843893480257178,66,-0.16145675306712187,0.12340166365452383,-0.24317939241639958,0.16316926872262794
Olearia lirata,0.028979238754325065,68,0.09428688018763474,0.062113509552055884,0.00023191408876483422,0.24038066592093063
Olsynium biflorum,0.2978723404255319,47,0.06922687711529003,0.16642051327274188,-0.023718671042386032,0.196042980738878
Omphalodes verna,0.36680541103017683,62,0.013467189665786913,0.019726283060188685,-0.0014840288999304076,0.08620068036872386
Oreomecon alpina,0.2927378495027211,73,-0.24046287554469603,0.1522017139386302,-0.26089425341743955,0.04162854238310756
Ornithopus compressus,0.14201183431952646,52,-0.26460395135394055,0.14241488724897686,-0.31363542370027997,0.0935195577024127
Oxalis violacea,0.6232,50,0.011683407685342404,0.042099814715154296,-0.016245940898429383,0.09107635453703508
Oxytropis campestris,0.4612345679012345,45,0.04118231157619156,0.14697779512541498,-0.06410107005330082,0.2951649423759802
Papaver dubium,0.5619834710743802,44,0.04661454102592119,0.1036086917716206,0.001879913954110061,0.11867772914651903
Parthenium confertum,0.024092801903628835,82,0.0729530862909173,0.05813700368468952,-0.007729846186884322,0.22756635083807863
Passiflora mixta,0.3367043426531826,41,0.06955496665468953,0.09200884050472774,0.012655358530266171,0.1809235955767021
Pectis multiseta,0.0,82,-0.24777181346585542,0.08868255616546993,-0.27310410831634374,0.03585454040277387
Pectis papposa,0.0,79,-0.21672137360599258,0.08555764648309812,-0.25886771410261145,0.06363979338568539
Penstemon speciosus,0.032777777777777795,60,-0.0021437209255729174,0.04812946344372949,-0.006709877711746917,0.15012236586785146
Pentanema squarrosum,0.046485260770975145,42,-0.03693345845928297,0.1479652219115387,-0.1405919660262593,0.2327225494537051
Persicaria nepalensis,0.29185702768073096,61,0.0725451346578575,0.09779280593309969,-0.025412864277559562,0.33577618003622955
Persicaria pensylvanica,0.13155864197530864,72,0.11082469239923369,0.088870893542111,0.012597830356875655,0.23179013613743266
Phlomoides tuberosa,0.3764172335600906,63,0.10759928075758189,0.12217879740999794,-0.02345233889306146,0.3529597593437817
Phlox diffusa,0.2287968441814595,78,0.03279668804332635,0.06233326294456857,-0.010332789904307435,0.1360236084540377
Phlox longifolia,0.4784764927593732,71,0.019938529678587915,0.035147214498486505,-0.011846691582475088,0.06939903406791784
Phlox roemeriana,0.3335852859662385,63,-0.014209702584863898,0.014612274107148148,-0.01965178603187207,0.014900970273678892
