species,D,n_classifiable,mean_F_M3,mean_B_M3,mean_Dsig_M3,mean_flower_nuisance,n_component_rows
Aphyllanthes monspeliensis,0.5058864265927977,76,-0.00019719630675198,0.1991012431842277,-0.19929843949097972,0.04811407267793694,76
Aquilegia brevistyla,0.4400181077410593,47,0.050461257243272675,0.18808332520879273,-0.13762206796552007,0.17304733662872276,47
Arabidopsis thaliana,0.13487603305785134,55,0.03597482186067834,0.20289996396015395,-0.1669251420994755,0.2587864650823049,55
Argentina pacifica,0.0,68,-0.3202771249708717,0.10577269260879843,-0.4260498175796701,0.050236334810171576,68
Arnica latifolia,0.029405212742259046,67,-0.2598221194283892,0.14252944873397935,-0.4023515681623685,0.10100728486817823,67
Asclepias angustifolia,0.05671077504725908,69,0.1121838043899507,0.16470135957339335,-0.052517555183442664,0.24874591300460341,69
Asclepias curassavica,0.21875,48,-0.004765929798616553,0.173171950236532,-0.17793788003514854,0.08733387400042551,48
Asclepias purpurascens,0.33999999999999986,50,0.11572381751318375,0.13882499658482605,-0.023101179071642303,0.2912965322173897,50
Asphodelus albus,0.24012979989183347,43,0.07161320351787855,0.18269449504522556,-0.11108129152734698,0.24912032519194127,43
Astragalus agrestis,0.5246876859012493,41,0.05754526480465746,0.16909843278073383,-0.11155316797607637,0.20014590295376747,41
Bauera rubioides,0.3354591836734693,56,0.054723410681704936,0.1625840866966255,-0.10786067601492055,0.14325767497529848,56
Berberis aquifolium,0.0,62,-0.2220685759139364,0.1302798174765546,-0.35234839339049095,0.1552379019847535,62
Berberis nervosa,0.16803840877914955,54,-0.17400204836897223,0.10439198279299498,-0.27839403116196715,0.2186063232623249,54
Bidens laevis,0.0,62,-0.26002236835955966,0.16127340079388353,-0.42129576915344324,0.05468816386539435,62
Bistorta vivipara,0.17087931648273402,53,0.10627381490874435,0.18206108865866147,-0.07578727374991709,0.23300704075897688,53
Blephilia ciliata,0.11048099138836387,69,0.11111124702651527,0.15922424468293986,-0.04811299765642461,0.29927797476080936,69
Borrichia frutescens,0.02499599423169352,79,-0.17683269972677307,0.177887265929512,-0.35471996565628516,0.13009396656615654,79
Bunias orientalis,0.02666179693206705,74,-0.2254429606513355,0.09437430656640415,-0.31981726721773973,0.2176352439680368,74
Buphthalmum salicifolium,0.05629069523209407,69,-0.2459748461687721,0.16330515598774026,-0.4092800021565124,0.09185045655296138,69
Cadaba aphylla,0.17965496728138008,41,0.14726203858001236,0.17674388642725491,-0.02948184784724257,0.27258123047911637,41
Caladenia carnea,0.5754132231404958,44,0.047498152861094996,0.21810459819688033,-0.17060644533578528,0.12186914348238727,44
Calochortus bruneaunis,0.2621878715814505,58,0.00582824891337995,0.1959595554760582,-0.1901313065626782,0.09869908323088616,58
Calochortus splendens,0.5848800362154822,47,0.011729165786414026,0.3063064995487991,-0.2945773337623851,0.07963541163017332,47
Calopogon barbatus,0.5649382716049383,45,-0.005155766927004986,0.18826130970823027,-0.19341707663523525,0.02360392535027134,45
Calotropis procera,0.22565157750342935,54,0.13192449144869597,0.2079849682342511,-0.07606047678555516,0.2857383533472043,54
Calycoseris wrightii,0.09171075837742515,63,0.018593002204934973,0.2484892955130132,-0.2298962933080782,0.08528908940343026,63
Calystegia macrostegia,0.14201183431952646,65,0.058039039057533125,0.14627467581227346,-0.08823563675474035,0.12426665988504865,65
Calystegia spithamaea,0.12381852551984873,46,-0.005537908998686408,0.19702136376267906,-0.20255927276136543,0.036986714266850546,46
Campanula giesekiana,0.12985550759992504,73,0.0008922343300254099,0.18137589940400733,-0.1804836650739819,0.049415007137843456,73
Canna flaccida,0.13717421124828522,54,-0.3016464647111909,0.1077012977463582,-0.40934776245754917,0.05354414636853435,54
Cardamine douglassii,0.03224939532383764,61,0.07038042570616868,0.18678762305021415,-0.11640719734404543,0.1742477233442437,61
Cardamine flexuosa,0.036351165980795574,54,0.06633513290737499,0.13545643030962948,-0.06912129740225448,0.3409157318175105,54
Carduus acanthoides,0.33324375167965603,61,0.054229632947235165,0.21758067005057838,-0.16335103710334314,0.15187369787196692,61
Carpobrotus edulis,0.5772641762966945,61,-0.10514562732151518,0.1051827456906725,-0.21032837301218765,0.12408518514870871,61
Ceanothus fendleri,0.10110803324099726,76,0.09909470583211848,0.18476789697024223,-0.08567319113812373,0.23873246416035113,76
Centaurea scabiosa,0.6802721088435375,42,0.08563617494059748,0.1921862056339309,-0.10655003069333342,0.3073601889258537,42
Centaurea solstitialis,0.04875000000000007,80,-0.1702373029514905,0.2644242011264306,-0.4346615040779211,0.07323658981869134,80
Centratherum punctatum,0.5207939508506616,46,0.017424805405112407,0.1867983660624401,-0.1693735606573277,0.1310860456495001,46
Cerastium holosteoides,0.13487603305785134,55,0.004705805278381494,0.16618716277097556,-0.16148135749259412,0.21022060142480634,55
Chamaenerion latifolium,0.4765625,48,0.028232656699992604,0.18481443215022264,-0.15658177545023,0.1284139740689747,48
Chrysosplenium alternifolium,0.10140306122448983,56,-0.1880649289315464,0.053268612577452114,-0.24133354150899852,0.31214216028846536,56
Cicendia quadrangularis,0.07583102493074789,76,-0.29823213311616537,0.19325722635838638,-0.4914893594745519,0.06066653337759217,76
Cicerbita alpina,0.5105462412114656,43,0.034173282474267104,0.13217927656784575,-0.09800599409357863,0.2111140647283647,43
Circaea canadensis,0.1687398593834506,43,0.06104343638810101,0.07668999382174874,-0.015646557433647717,0.3411081625730484,43
Cirsium occidentale,0.5453898184407263,53,0.1286168057489419,0.20920822002014894,-0.08059141427120704,0.288906635532826,53
Cirsium undulatum,0.4822485207100592,52,0.08676421669386017,0.2581541384459584,-0.17138992175209822,0.23727816310971137,52
Claytonia caroliniana,0.028163265306122343,70,0.014671815104431614,0.21431269583327772,-0.19964088072884606,0.08200869520201289,70
Cleomella lutea,0.0,71,-0.16972893129405958,0.24924707918711986,-0.4189760104811794,0.1180751707760433,71
Clinopodium gracile,0.3168854685378,47,0.06103066129333492,0.1136753441423712,-0.05264468284903629,0.33282779405459745,47
Clinopodium vulgare,0.6454081632653061,56,0.0628778735884747,0.18150550256792367,-0.11862762897944894,0.1595905210145341,56
Cochemiea grahamii,0.2598347107438017,55,0.04314583071769955,0.1578490504254779,-0.11470321970777834,0.11500879947836981,55
Collinsia tinctoria,0.24070247933884303,44,0.11634899584108993,0.20429434348853592,-0.08794534764744598,0.27061065625604414,44
Conradina canescens,0.028163265306122343,70,0.059153902658852064,0.2575473128808066,-0.19839341022195459,0.13479598561200012,70
Convolvulus angustissimus,0.5405917159763314,65,0.03399103736525929,0.16250780383175678,-0.12851676646649746,0.07981391009717266,65
Corethrogyne filaginifolia,0.5070153061224489,56,0.054310202073747274,0.2740516389532623,-0.219741436879515,0.15732180282935307,56
Cornus mas,0.08769513314967847,66,-0.054822293673046536,0.2979702796521753,-0.35279257332522196,0.1340872910895537,66
Cornus unalaschkensis,0.06658739595719365,58,0.041006860863924646,0.11321823343748537,-0.07221137257356071,0.17117884733773667,58
Corydalis flavula,0.03702385190459245,53,-0.19471520794096356,0.15854492540857276,-0.3532601333495362,0.20789515336872594,53
Cosmos sulphureus,0.036351165980795574,54,-0.07516985797636756,0.18114995826191288,-0.2563198162382805,0.0796352934400442,54
Crepis vesicaria,0.05329330080690564,73,-0.2261879799734668,0.24080947106032544,-0.46699745103379225,0.08500116054859379,73
Cunila origanoides,0.2265625,48,0.0796944880634468,0.23196349769271243,-0.15226900962926562,0.2700747868053787,48
Cyclospermum leptophyllum,0.31409875074360494,41,0.06592798048695028,0.13955014172101576,-0.07362216123406548,0.38345087720903553,41
Cydonia oblonga,0.03388822829964333,58,0.07535949834902338,0.11707183721533453,-0.04171233886631115,0.1966033679771081,58
Cymbalaria muralis,0.2888047593293672,43,0.03279807158024894,0.16966816875172586,-0.13687009717147694,0.1984418981974012,43
Cynoglossum creticum,0.37900874635568516,49,0.03400253650288232,0.16095207247709833,-0.12694953597421602,0.28145098962162546,49
Cynoglossum officinale,0.4878048780487805,41,0.09785756038051269,0.17694540090757194,-0.07908784052705928,0.45167241627508636,41
Dactylorhiza sambucina,0.67875,40,0.03180108483448144,0.16760709709087734,-0.13580601225639588,0.2695153422177966,40
Delairea odorata,0.0,71,-0.17215314910242377,0.09092320263497917,-0.26307635173740296,0.24883936788748318,71
Delphinium bicolor,0.1484044598231451,51,-0.03128112263518258,0.18966144260526088,-0.22094256524044348,0.1028022595006389,51
Delphinium nudicaule,0.3594952293013235,57,0.08184016980462705,0.18514568567945808,-0.10330551587483103,0.1356411750724093,57
Delphinium nuttallianum,0.16592592592592592,45,-0.012614196298105246,0.19658714970699706,-0.20920134600510235,0.10839220727238469,45
Descurainia sophia,0.29234567901234576,45,-0.09597540432866308,0.15333523186564152,-0.24931063619430457,0.3067382399044979,45
Dichelostemma multiflorum,0.3168854685378,47,0.01928686319279425,0.23631586113540257,-0.21702899794260835,0.1040275479333266,47
Dillwynia floribunda,0.0,62,-0.1689595019183919,0.22228116019229177,-0.3912406621106837,0.0866934452824821,62
Diplacus puniceus,0.35133136094674555,52,0.07466483463351198,0.20618906124495345,-0.13152422661144147,0.10295616572403812,52
Disphyma australe,0.06499999999999995,60,0.04948300112482847,0.13066319661624862,-0.08118019549142017,0.15149598593368482,60
Dittrichia graveolens,0.07396449704142016,52,-0.17106605449326365,0.24340712780075846,-0.414473182294022,0.17098831259713115,52
Drosera brevifolia,0.0,57,0.020555195518296435,0.25683748694551545,-0.236282291427219,0.07696453477478962,57
Drosera macrantha,0.37023851904592375,53,-8.953120726756344e-05,0.17393713608051736,-0.1740266672877849,0.12136942472720688,53
Dyssodia tagetiflora,0.0,85,-0.19563132972427388,0.23855796127901782,-0.43418929100329173,0.046320804055828106,85
Echium vulgare,0.05964497041420125,65,0.0208989446364325,0.17472168662857457,-0.15382274199214208,0.173024098530433,65
Elephantopus tomentosus,0.10872781065088755,52,0.05722172923377336,0.23170835988584726,-0.17448663065207384,0.21342503348721797,52
Erica arborea,0.14201183431952646,52,0.14587293974082896,0.18733777148983827,-0.04146483174900932,0.3088266523999023,52
Erica tetralix,0.6364014993752602,49,0.0930988164702764,0.23004000933283353,-0.1369411928625571,0.15393799575837386,49
Ericameria ericoides,0.1619753086419753,45,-0.1092648868177717,0.19126568287945903,-0.3005305696972308,0.19337905969856298,45
Erigenia bulbosa,0.0,63,0.1080479927936156,0.19562098854175008,-0.08757299574813442,0.2904949731060704,63
Erigeron annuus,0.0,80,-0.01681622667338243,0.1906421857572705,-0.20745841243065294,0.16344414053001813,80
Erigeron divergens,0.09183673469387765,84,0.011282500226509756,0.24091338653940178,-0.22963088631289197,0.12134318674462068,84
Erigeron glaucus,0.3616863905325445,52,0.028561751416579923,0.09653806857504674,-0.0679763171584668,0.1613848769439924,52
Erigeron pulchellus,0.16731320627424529,77,-0.004021414379343183,0.18211664573749875,-0.18613806011684195,0.13701608005206445,77
Erigeron quercifolius,0.07462195923734383,78,-0.03234385191208891,0.1916935096065447,-0.22403736151863357,0.09891698794819272,78
Erigeron speciosus,0.46538351048549265,59,0.01293225463637698,0.16453033545699225,-0.15159808082061532,0.1509228749838951,59
Eriogonum wrightii,0.09399167162403343,41,0.1299765622880232,0.15004917877061252,-0.02007261648258932,0.21575030807565537,41
Erodium cicutarium,0.5907372400756143,46,0.030602340240718718,0.18001146142119073,-0.14940912118047206,0.10185176076146533,46
Erysimum concinnum,0.10314049586776863,55,0.040199333647715954,0.14299115287106692,-0.10279181922335097,0.16839704561849944,55
Erythranthe bicolor,0.05709342560553643,68,-0.2136803204357851,0.24041342883497224,-0.4540937492707574,0.04711108474046585,68
Erythranthe guttata,0.0,60,-0.27864873323328254,0.15699864263239946,-0.4356473758656821,0.06588019190733109,60
Erythranthe nasuta,0.08677685950413205,66,-0.2667518635914999,0.19426919897923778,-0.46102106257073766,0.06378737559723795,66
Erythronium grandiflorum,0.15500000000000003,60,-0.25652596885333856,0.14801492206245026,-0.4045408909157888,0.09983717018963607,60
Erythronium montanum,0.21491045397750952,49,-0.026966953626340974,0.13082875372828234,-0.15779570735462328,0.1145640313395722,49
Euploca procumbens,0.032777777777777795,60,0.049470371811825814,0.20097800735177512,-0.1515076355399493,0.2947409680145946,60
Ferocactus cylindraceus,0.046485260770975145,42,-0.14046868482461547,0.18017274917493442,-0.3206414339995499,0.07146804407545512,42
Filipendula rubra,0.643664485425342,41,0.10192231990828564,0.11671196113850586,-0.014789641230220191,0.24459288279808394,41
Forestiera pubescens,0.041647804436396596,47,-0.038734166314695014,0.23266478707626673,-0.27139895339096165,0.2008114802212153,47
Frasera fastigiata,0.41125,40,0.06709293722985803,0.12039891467561167,-0.05330597744575365,0.43569975540479666,40
Fumaria officinalis,0.39400249895876727,49,0.1402990958264612,0.1608547861407859,-0.02055569031432474,0.3439746856476626,49
Galearis rotundifolia,0.0,63,0.058652942142619416,0.2251264100592569,-0.16647346791663742,0.1380561174494226,63
Galeopsis bifida,0.11440000000000006,50,0.05828303574040686,0.10852236903571487,-0.050239333295308004,0.15932835587489597,50
Galium mollugo,0.2002314814814815,72,0.06834337107752383,0.1399250335544155,-0.07158166247689167,0.4551884836802665,72
Galium palustre,0.0,76,0.04914856151812062,0.15159324678452205,-0.10244468526640141,0.27144719792573035,76
Gardenia jasminoides,0.12192816635160675,46,0.032682821692731054,0.03715109781148436,-0.00446827611875331,0.16817393846122802,46
Gentiana clusii,0.10095413973530332,57,-0.05210938156517445,0.10265859256484594,-0.15476797413002039,0.1561712740211105,57
Gentiana linearis,0.16306228373702436,68,-0.0031204907249643855,0.15029239347099538,-0.15341288419595972,0.14518908553120785,68
Geobalanus oblongifolius,0.46875,40,0.05066726523360393,0.17019466157889113,-0.11952739634528724,0.27814930842942376,40
Geranium caespitosum,0.5536332179930796,51,0.01693516886491901,0.19371571617573904,-0.17678054731082007,0.059485635323096545,51
Geranium carolinianum,0.11550295857988169,65,0.02779444431341728,0.15294009669104264,-0.12514565237762537,0.21073769240338602,65
Geranium sibiricum,0.0525931336742147,74,0.03408775995132517,0.12967546006776595,-0.09558770011644077,0.15551507802692646,74
Gilia tricolor,0.18712408108710177,67,0.026292787584322776,0.2480668633452972,-0.22177407576097447,0.14093153570178438,67
Glandularia bipinnatifida,0.5093877551020408,70,0.0056646081794367985,0.195789681176494,-0.19012507299705717,0.08388970197074881,70
Glebionis segetum,0.0,79,-0.2747387389854085,0.1288916705788976,-0.40363040956430624,0.049180853671528385,79
Globularia repens,0.302866414277988,86,0.06490697807042267,0.05256331730854195,0.012343660761880737,0.2537227561772473,86
Gomphrena serrata,0.2030738221214412,63,0.04936722764287815,0.1684395568195705,-0.1190723291766923,0.1925560552393098,63
Goodyera pubescens,0.25350837483024,47,0.06279840092128716,0.16619057974832588,-0.10339217882703869,0.37291275168116983,47
Grewia occidentalis,0.47165532879818595,42,0.03325885421201882,0.2117026159559123,-0.17844376174389348,0.1434812182884233,42
Grindelia squarrosa,0.0,71,-0.19707528567178348,0.19645975872958182,-0.3935350444013653,0.13989723387761313,71
Gymnadenia rhellicani,0.6515369146796897,59,-0.012002382480288723,0.1503216254227734,-0.16232400790306206,0.6449499710501723,59
Helenium puberulum,0.13251339020035713,71,-0.07451195077521255,0.227602337319792,-0.30211428809500446,0.1845871684948519,71
Hemiandra pungens,0.15972421717897156,59,0.025147065364333844,0.175713714376161,-0.15056664901182717,0.07921778335805763,59
Herbertia lahue,0.48347107438016523,66,0.0032543041665654376,0.14878712058323232,-0.1455328164166669,0.04866796268759102,66
Heterotheca grandiflora,0.05329330080690564,73,-0.14641335944028644,0.2520441973285517,-0.39845755676883815,0.10425979124162726,73
Heuchera cylindrica,0.31999999999999984,55,0.005480409108587114,0.16857520412194194,-0.16309479501335483,0.22542620518130227,55
Hibbertia aspera,0.030295857988165587,65,-0.28913486171014874,0.1865409887348245,-0.47567585044497324,0.12567585227837422,65
Hibiscus pedunculatus,0.5304,50,0.013421071223839785,0.09262036835191498,-0.07919929712807519,0.07364881972486066,50
Hieracium venosum,0.09209157127991663,62,-0.2930458306339114,0.23108281155729585,-0.5241286421912073,0.06325272860514729,62
Hippocrepis comosa,0.0,70,-0.25588856769933416,0.16886168262742748,-0.42475025032676156,0.07708069649921286,70
Honckenya peploides,0.4763705103969753,46,-0.03888139174974977,0.0980817172329796,-0.1369631089827294,0.3632002982907251,46
Hottonia palustris,0.0,75,0.056434953370728944,0.15447551237729606,-0.09804055900656711,0.21421347259582812,75
Houstonia micrantha,0.05226666666666646,75,0.02254998116710249,0.16476799284585886,-0.14221801167875636,0.10573459685725141,75
Hymenoxys grandiflora,0.0,71,-0.2038999214598602,0.21467428774968378,-0.41857420920954397,0.08171591383773695,71
Hypericum tetrapetalum,0.08285714285714274,70,-0.3039612391221403,0.221543707172101,-0.5255049462942413,0.08096552630710842,70
Hypoxis decumbens,0.13442554085276193,69,-0.31055205350353954,0.06856424949473972,-0.37911630299827925,0.06382485767546141,69
Ilex glabra,0.06771314250538629,57,0.032615039739834616,0.1620428956631282,-0.12942785592329356,0.24857213845897902,57
Impatiens balsamina,0.436381960191484,63,0.0498888866051497,0.1226906944453605,-0.07280180784021083,0.10719374062098422,63
Ipomoea amnicola,0.033323757540936416,59,0.0220212783068149,0.1475589843718081,-0.12553770606499318,0.11424072361905775,59
Ipomoea nil,0.5546457814168744,53,0.02605882339023563,0.15371101127788586,-0.1276521878876502,0.11714918352611674,53
Ipomoea quamoclit,0.20343392299687824,62,0.024517042261995955,0.15624375364986573,-0.1317267113878698,0.0682111888900642,62
Ipomoea triloba,0.6235207100591715,52,0.028896005982655328,0.17449270607869075,-0.1455967000960354,0.12937691832129283,52
Ipomopsis rubra,0.47830578512396693,44,0.03985588144706628,0.18726004225562207,-0.14740416080855578,0.10285536874239573,44
Iris japonica,0.029843893480257178,66,0.0032768392985095198,0.0928286531615928,-0.08955181386308328,0.05383302806205835,66
Iris sibirica,0.20301783264746232,54,2.0840887988160478e-05,0.14319696566822832,-0.14317612478024017,0.232099195650217,54
Kalmia angustifolia,0.032777777777777795,60,0.10102710704580385,0.15183473831380168,-0.05080763126799784,0.21145912371074976,60
Kennedia coccinea,0.2631427750646367,59,0.054237050366923216,0.18370271962063273,-0.12946566925370953,0.09990718405063626,59
Kennedia prostrata,0.06103515625,64,0.030154238798309738,0.16728373969222354,-0.1371295008939138,0.04507520484952428,64
Kunzea capitata,0.515,40,0.08845401001311845,0.2554216389539759,-0.16696762894085743,0.20627729614511137,40
Lactuca biennis,0.3487499999999999,40,0.049888067846881344,0.08139611787309109,-0.03150805002620975,0.28394705296802314,40
Lactuca perennis,0.48619284744228164,47,0.015669489951605022,0.19843183186998611,-0.182762341918381,0.07589188075498159,47
Lapageria rosea,0.2142857142857143,42,0.040780921287966655,0.18579303019613608,-0.14501210890816943,0.11258479651387512,42
Lathyrus aphaca,0.18231463978155849,69,-0.2919155027303745,0.15766880283918944,-0.4495843055695639,0.07898366410179737,69
Lathyrus clymenum,0.2016528925619835,55,0.022948247860107615,0.2176479099952786,-0.19469966213517095,0.10004834348058328,55
Lathyrus tingitanus,0.17078189300411517,54,0.05481222828870007,0.18265524413745773,-0.12784301584875765,0.19210131241009776,54
Legousia speculum-veneris,0.28236914600550955,66,-0.016330514974947447,0.18680911724210067,-0.2031396322170481,0.0550819910126778,66
Lepidium perfoliatum,0.25652892561983476,55,0.08401136501766232,0.22926723086745804,-0.14525586584979572,0.31229119010323025,55
Leucanthemum vulgare,0.26311350986675675,77,-0.03689074794506616,0.17760349246172485,-0.21449424040679096,0.08383481939637291,77
Leucojum aestivum,0.0,51,0.03929713902442699,0.13486653317009875,-0.09556939414567175,0.16022546245693847,51
Lilium martagon,0.548907388137357,62,0.11390191052559746,0.12533226357529703,-0.01143035304969956,0.30195009076927387,62
Linaria purpurea,0.37600922722029995,51,0.043533149740969314,0.21490903474068146,-0.17137588499971224,0.2524794679026396,51
Lindera benzoin,0.05059875189745311,77,-0.043420214055788386,0.3593369682966398,-0.4027571823524282,0.19740174322871665,77
Linum alpinum,0.5439053254437869,65,-0.013124264512869542,0.1284926380937076,-0.1416169026065771,0.0830459550348392,65
Linum usitatissimum,0.3662306777645661,58,0.018685818874311103,0.18266837831472255,-0.16398255944041143,0.10265934517558965,58
Lobelia pedunculata,0.05059875189745311,77,0.01749132194106767,0.12714593070538574,-0.10965460876431808,0.12044574909363961,77
Loeselia mexicana,0.09666666666666668,60,0.0782134008745465,0.21402528845909172,-0.13581188758454524,0.11430510725659335,60
Lomatium columbianum,0.49180327868852447,61,0.10277718911137888,0.14854926782841749,-0.04577207871703858,0.3662200696218513,61
Lomatium geyeri,0.02563670096137627,77,0.09843836222108432,0.2507012727531859,-0.15226291053210156,0.24996807417605185,77
Lomatium macrocarpum,0.36415816326530603,56,0.056987723983171125,0.1705535933318773,-0.11356586934870619,0.2765544876895331,56
Lomatium triternatum,0.0635633270321363,92,-0.2440387758821276,0.19946131734395134,-0.4435000932260789,0.15283953840524991,92
Lotus tenuis,0.02739197530864179,72,-0.2638844917418288,0.15334095810027806,-0.41722544984210685,0.07231798934743208,72
Ludwigia decurrens,0.10897959183673467,70,-0.317310912461544,0.19565514483798918,-0.5129660572995333,0.05321076716663994,70
Ludwigia peploides,0.05551020408163265,70,-0.31204195830011056,0.12006345732095429,-0.43210541562106486,0.07171728960361161,70
Lunaria annua,0.6030615877536489,53,0.013946265790224089,0.1537411730089866,-0.1397949072187625,0.12058283027096674,53
Lupinus excubitus,0.2965976331360948,52,0.006105238685792629,0.1620669085648005,-0.15596166987900786,0.2948375573752049,52
Lupinus formosus,0.46875,40,0.09391943660805681,0.2228241947969906,-0.12890475818893377,0.24093288958391387,40
Lupinus nanus,0.15755053507728878,58,0.010332223004550872,0.21995021709268686,-0.20961799408813603,0.16993453085520202,58
Lysimachia europaea,0.09209157127991663,62,0.0033556906858619295,0.16751910447979518,-0.16416341379393334,0.08934363996723375,62
Lysimachia lanceolata,0.05709342560553643,68,-0.26178798633451367,0.1216383688492534,-0.3834263551837671,0.14357622890973867,68
Lysimachia nemorum,0.060546875,64,-0.3242928049704419,0.1325228429032092,-0.45681564787365103,0.07210874171514763,64
Lysimachia vulgaris,0.05836489195811989,67,-0.20592234791009514,0.11399785415981491,-0.31992020206991,0.12566557537424033,67
Marah oregana,0.1026785714285714,56,0.02104897460055289,0.10885402403155124,-0.08780504943099834,0.2694433823385684,56
Marcus-kochia littorea,0.6320153061224489,56,0.01496618988849091,0.2757512269399912,-0.2607850370515003,0.06360372913966382,56
Matelea edwardsensis,0.33673469387755106,42,-0.05833730420091524,0.19180621520229102,-0.25014351940320634,0.4262902291655995,42
Megaskepasma erythrochlamys,0.09280190362879237,41,0.1344569737635141,0.10712081375973372,0.027336160003780367,0.2636775562300487,41
Monarda citriodora,0.5375878853434289,43,0.1181748902855377,0.19757729065654114,-0.07940240037100348,0.30746122478131444,43
Moricandia arvensis,0.48558205767176943,53,0.02707939542110824,0.23172320071922067,-0.20464380529811235,0.10941491764293476,53
Nandina domestica,0.2975206611570247,44,0.07328496096943625,0.1192427381998482,-0.045957777230411945,0.2431076397570164,44
Nemastylis geminiflora,0.5732248520710058,52,-0.026197113691143307,0.1819379302225279,-0.20813504391367127,0.037312914136872,52
Nuphar lutea,0.148283038501561,62,-0.13865088199290912,0.08198600940126352,-0.22063689139417259,0.19861826578209008,62
Nymphoides indica,0.24561403508771928,57,-0.004277065480602537,0.08370858966005143,-0.08798565514065394,0.13338958133662515,57
Oenothera primiveris,0.11202422145328716,68,-0.2614702068792661,0.22879543183373519,-0.4902656387130012,0.08708009831904834,68
Oenothera speciosa,0.32775011317338165,47,0.008931630105667205,0.16706751507345893,-0.15813588496779168,0.09097778364360981,47
Olearia arborescens,0.12070759625390237,62,0.12260630317590247,0.09954030405224616,0.023065999123656325,0.30128277397600667,62
Ononis natrix,0.029405212742259046,67,-0.24037030573922427,0.18741879442607287,-0.42778910016529714,0.08148306239114113,67
Opuntia fragilis,0.2705112960760997,58,-0.017233959492032574,0.15625967506687755,-0.17349363455891015,0.15443803795064878,58
Opuntia humifusa,0.06342381080354742,61,-0.2356177320783199,0.1622029422816827,-0.3978206743600026,0.10429188381545339,61
Opuntia macrorhiza,0.14201183431952646,52,-0.17017929754063743,0.16611862461468652,-0.33629792215532395,0.11780566815021166,52
Ornithogalum umbellatum,0.05629069523209407,69,0.010738276442002778,0.17655044922029692,-0.16581217277829413,0.0911409518668238,69
Ornithopus pinnatus,0.0,59,-0.21731661309617073,0.19742694840324623,-0.4147435614994168,0.09669131532198937,59
Osmorhiza berteroi,0.17381656804733736,52,0.0530263003437607,0.12969442584756952,-0.0766681255038088,0.3983147773809161,52
Oxalis acetosella,0.10679957280170882,53,0.03125276190574761,0.1281816709283304,-0.09692890902258276,0.19026953782368353,53
Oxalis incarnata,0.13139120095124845,58,0.013023765342428936,0.11655305003608538,-0.10352928469365646,0.13259467722491117,58
Oxalis smalliana,0.5897542690545606,49,0.01093331757215106,0.1158487310032185,-0.10491541343106744,0.16561715616715977,49
Palafoxia arida,0.12192816635160675,46,0.1537081516095353,0.216869800649808,-0.06316164904027274,0.2972317827657241,46
