species,n,D,second_fraction,T,R1,R2,R12,SD_M1,SD_M2,mean_M1,mean_M2,p_white,p_yellow_orange,p_red_pink,p_blue_purple
Biscutella laevigata,71,0.17774251140646702,0.09859154929577464,0.12418819459891285,0.19180635225528395,0.2769956138643309,0.46880196611961483,0.15433756703792773,0.1854712516742928,0.11543259520805076,-0.029233065347548312,0.09859154929577464,0.9014084507042254,0.0,0.0
Brodiaea coronaria,63,0.06198034769463345,0.015873015873015872,0.1189870608616527,0.05004554045619464,0.05049633865846581,0.10054187911466046,0.0771671676823475,0.07751394017365844,-0.043334792984468136,0.0064818060031232045,0.015873015873015872,0.015873015873015872,0.0,0.9682539682539683
Bryonia alba,41,0.5425342058298632,0.43902439024390244,0.20852711606037966,0.3392548752967695,0.27127110162037366,0.6105259769171432,0.2659771432944176,0.23783898017654448,0.017107338655616405,0.24058373269287658,0.5121951219512195,0.43902439024390244,0.0,0.04878048780487805
Buddleja davidii,43,0.5959978366684695,0.3953488372093023,0.1680361612102066,0.11538261735059821,0.20417667223566477,0.319559289586263,0.13924242201994586,0.18522706122798493,-0.1940344034447048,0.060037851134533395,0.4883720930232558,0.023255813953488372,0.09302325581395349,0.3953488372093023
Bursaria spinosa,47,0.041647804436396596,0.02127659574468085,0.053348062664159104,0.42414151815045464,0.24982381374105292,0.6739653318915075,0.1504231640697736,0.11544529644146143,-0.34062163719612626,0.3818487433447328,0.9787234042553191,0.02127659574468085,0.0,0.0
Calochortus concolor,41,0.17608566329565734,0.0975609756097561,0.20384891949458075,0.22097308453158038,0.3129755045036206,0.5339485890352009,0.21223836721749276,0.2525860614153804,0.029356888375945866,-0.10880763542822448,0.0975609756097561,0.9024390243902439,0.0,0.0
Calochortus flexuosus,49,0.21907538525614334,0.10204081632653061,0.12376583613066149,0.2711574606746423,0.26004271947637436,0.5312001801510168,0.18319396781407424,0.17940012431903313,-0.41249881084807855,0.37862440358133403,0.8775510204081632,0.0,0.10204081632653061,0.02040816326530612
Calochortus leichtlinii,54,0.13923182441700954,0.05555555555555555,0.06732525027054742,0.27877744378916314,0.48112854369154867,0.7599059874807118,0.1369991283654348,0.17997805315187052,-0.4900748247737341,0.4673934369869999,0.9259259259259259,0.05555555555555555,0.0,0.018518518518518517
Calochortus monophyllus,55,0.0,0.0,0.02518932793753802,0.08937290229781275,0.12360635509718074,0.21297925739499346,0.04744726909643115,0.05579929223302621,0.11062956139333167,-0.2204976505562302,0.0,1.0,0.0,0.0
Calycadenia multiglandulosa,64,0.0,0.0,0.033056297815950736,0.15349388214511311,0.5772281739338825,0.7307220560789957,0.07123159047161098,0.13813408857090934,-0.5231117861746345,0.45232345590691847,1.0,0.0,0.0,0.0
Calystegia tuguriorum,49,0.07830070803831746,0.04081632653061224,0.09142298009613817,0.21669366172929017,0.4283077128604626,0.6450013745897527,0.14075077379267298,0.19788170079081224,-0.503408080659534,0.5362019202014178,0.9591836734693877,0.04081632653061224,0.0,0.0
Campanula latifolia,48,0.4418402777777778,0.2916666666666667,0.25690301255712944,0.16450072519163594,0.23565836342013294,0.40015908861176885,0.20557415175445518,0.24605150578062918,-0.15883424803816684,0.16094388878236565,0.2916666666666667,0.0,0.020833333333333332,0.6875
Campanula patula,56,0.4470663265306123,0.19642857142857142,0.21895244398453376,0.16012538749611002,0.17686644788821942,0.3369918353843295,0.18724274334735588,0.1967875530209897,-0.11869685115770688,0.09825407674967328,0.19642857142857142,0.05357142857142857,0.03571428571428571,0.7142857142857143
Cardamine amara,67,0.029405212742259046,0.014925373134328358,0.03680787278405036,0.5176959506497297,0.23870659352731957,0.7564025441770493,0.13804088775552428,0.09373516910566491,-0.33984485842405826,0.5195169751478731,0.9850746268656716,0.014925373134328358,0.0,0.0
Cardamine concatenata,43,0.08869659275283936,0.046511627906976744,0.09747610476870068,0.512496744765987,0.2776800933408125,0.7901768381067995,0.22350880606013576,0.1645210438535801,-0.41470263998478524,0.5041838520506934,0.9534883720930233,0.046511627906976744,0.0,0.0
Cardamine hirsuta,56,0.035076530612244916,0.017857142857142856,0.10800032747230805,0.6070781928352,0.17614510013544424,0.7832232929706443,0.2560559384734097,0.13792653297052918,-0.321183825850634,0.4365564322235343,0.9821428571428571,0.017857142857142856,0.0,0.0
Carlina hispanica,58,0.03388822829964333,0.017241379310344827,0.09463043246787603,0.08119812178328174,0.07033610591642613,0.15153422769970787,0.08765736352372923,0.08158392072570267,0.012601816261278929,-0.10396584780775238,0.017241379310344827,0.9827586206896551,0.0,0.0
Carlina vulgaris,40,0.5275000000000001,0.375,0.1725718438662648,0.18678423514673528,0.226405519200426,0.41318975434716126,0.17953746089443864,0.1976644072915418,-0.1715088092255223,0.11234312295139906,0.375,0.575,0.025,0.025
Carthamus mitissimus,44,0.5805785123966942,0.4318181818181818,0.14471390570669587,0.1789364367513881,0.21114204484774857,0.39007848159913666,0.16091796243904075,0.17480042897205958,-0.20804456709840335,0.14714561819741193,0.4318181818181818,0.06818181818181818,0.022727272727272728,0.4772727272727273
Castilleja exserta,56,0.34119897959183676,0.07142857142857142,0.11279195362671375,0.09983250821332236,0.13427954643937334,0.23411205465269572,0.10611457787144786,0.12306767396439228,-0.08505175125897768,-0.055785286370992705,0.05357142857142857,0.07142857142857142,0.8035714285714286,0.07142857142857142
Castilleja foliolosa,46,0.5207939508506616,0.4782608695652174,0.1264629317518986,0.042012144544748574,0.07334196011543302,0.1153541046601816,0.07289018430703437,0.09630700543900467,-0.04660402989345023,-0.032467295730663134,0.021739130434782608,0.4782608695652174,0.5,0.0
Centranthus calcitrapae,65,0.19786982248520701,0.06153846153846154,0.09467805931473225,0.22418773318393342,0.3684116202690973,0.5925993534530307,0.14569028622397515,0.1867632116774452,-0.32190496249729694,0.33161233448575095,0.8923076923076924,0.046153846153846156,0.06153846153846154,0.0
Centrosema virginianum,43,0.6489994591671173,0.32558139534883723,0.3662442917582479,0.1641245459523363,0.18194581233573645,0.34607035828807275,0.2451727515293195,0.2581406887286095,-0.1716160131655476,0.17291457376047834,0.32558139534883723,0.046511627906976744,0.16279069767441862,0.46511627906976744
Cerastium fontanum,57,0.06771314250538629,0.03508771929824561,0.0640360491464238,0.5714770166546455,0.20496250263523713,0.7764395192898826,0.19129853717304934,0.11456434389426783,-0.30924810531231306,0.5117911188051734,0.9649122807017544,0.03508771929824561,0.0,0.0
Chaenorhinum origanifolium,49,0.5539358600583091,0.42857142857142855,0.16851545826763778,0.16133766999873062,0.23598844691564094,0.3973261169143716,0.1648875113393037,0.19941840757025753,-0.2274741015639459,0.1146578119635151,0.42857142857142855,0.04081632653061224,0.02040816326530612,0.5102040816326531
Chelone lyonii,49,0.4723032069970845,0.2653061224489796,0.17079598151642222,0.17796424829937163,0.1941410855263602,0.37210533382573185,0.17434327765395333,0.18209480293280852,-0.12567608381725132,0.11357549659578715,0.2653061224489796,0.0,0.673469387755102,0.061224489795918366
