species,inat_taxon_id,raw_results,locally_eligible_before_exclusion,local_rejected,wrong_taxon,prior_excluded,fresh_duplicate,after_observer_cap,retained,full_fixed_n,request_error,prospective_rank,selection_hash
Wahlenbergia albomarginata,406993,200,200,0,0,1,0,160,100,True,,51,036d39fd9368d364d8a9ba6b4132d80443c3a34cb79c14b96a4d31ca1eb2dc81
Phacelia pedicellata,78513,121,121,0,0,1,0,101,100,True,,52,03bce06b9ff9bacf45b149e839554bb2108f96130b5ba31c2133d9f1c362f515
Anacamptis pyramidalis,83085,200,200,0,0,24,0,163,100,True,,53,03cb073d759740bdca31cab435315f4fe095e7544a140780546b8ce6be02668e
Ipomoea cristulata,164083,200,200,0,0,1,0,170,100,True,,54,03d18e3dae28da46c56dd4387f72b148c9fd7b6dbf0d2c4820466f46b0513bac
Gagea minima,464415,200,200,0,0,0,0,150,100,True,,55,03fbf17eee6a7478b84e9c1d6c5cc84d6ff54d118aeac72ee6c7dbdc52e2150a
Scirpus microcarpus,59068,151,151,0,0,3,0,131,100,True,,56,0405425978efdbd842c3215e12a586fcbb9f8a443723d434a8e3cc1faa77817c
Agalinis heterophylla,142653,135,135,0,0,1,0,116,100,True,,57,0406f8ab9b71e64cbb5b7ff933d53437ab6cf4e62eb738c12f080fc43ab97c27
Alonsoa meridionalis,282861,147,147,0,0,3,0,125,100,True,,58,042ae19c4409439fed5e7051f0c50a3e75a40eefb66b84b9340fa0cbde60e487
Echinocystis lobata,48618,200,200,0,0,1,0,190,100,True,,59,04399a115eeaf3c0cf058f3d69ec558c63642adf3dbb033aa6428a0b3ede2f7a
Lepidium draba,63352,200,200,0,0,0,0,177,100,True,,60,044b8e0d3e4cac4b4542b64abe4ac5a6025e9295a70aaed9b5fe3de72c359dc9
Carlina acanthifolia,56303,200,200,0,0,1,0,173,100,True,,61,0473331028c94ce9f40860ff4b68e77e4e6399bd75ae43406061d08dc4295b15
Chrysogonum virginianum,129314,200,200,0,0,1,0,132,100,True,,62,047efc5a81bea219960aa3a0070db0d310a1fa315a6abdb68c9c202bd5df9af5
Ilex mucronata,153208,200,200,0,0,1,0,175,100,True,,63,047f2467e9f6b00650b04bd15b302edc88c185680c49347b4277ef205f250312
Prasium majus,337957,184,184,0,0,2,0,159,100,True,,64,048b858e5f94a9ce36176878b57d408f5e14cdee1554ae408cec77b7bfa1d848
Allium oleraceum,158185,200,200,0,0,1,0,165,100,True,,65,04a440186c6a0e3ad55da35bb28507cb80871c5a1a6cc67c67ea6162b32f7c16
Trifolium montanum,334750,200,200,0,0,1,0,165,100,True,,66,04b5f661b84813e40988ded562efd197ed558992d399361fa8784a259a2e3646
Scorpiurus muricatus,50856,117,117,0,0,1,0,100,100,True,,67,04baa6353f9733f3707533520e47c2cc541a3b0c671888603e05d3f505c0412b
Jacobaea vulgaris,62498,200,200,0,0,16,0,174,100,True,,68,04cbaa19a5573b67b1d972844e19a5c7dd4fb95a80e9cae76a490d5f139ae254
Gaillardia pinnatifida,148119,115,115,0,0,1,0,105,100,True,,69,04ef3d770672b31cfa977539a4377ec765a1ff5eac29f30226bfb8388fc96c73
Matricaria chamomilla,77965,200,200,0,0,1,0,185,100,True,,70,04f796257248fe19c14d456705d9a135e5cf2c3b73dd0d606d564d2834e38b9e
Sorbus aucuparia,56063,200,200,0,0,2,0,194,100,True,,71,0514b4f495b38540b1fe76db885f84c29b9f9d650c9580915747786fd6f70bae
Clerodendrum bungei,160739,112,112,0,0,1,0,108,100,True,,72,051aa02989c28c507e5161cb0555dd5d41715ffdbd2f476677ccf5431f783e38
Baileya pauciradiata,75739,200,200,0,0,1,0,177,100,True,,73,051ad0b469020eb19513a8a732bbeb23c6fc3cea6dbc7f8d8b38ceb142723b86
Viola alba,450816,200,200,0,0,1,0,167,100,True,,74,053c52745a25df5f6f64d7258b9a5cb949028d31770fb72166b5498beb9a0dec
Tagetes filifolia,288710,152,152,0,0,1,0,119,100,True,,75,05424aa7739bda23f945a3f03665faa860cb4f71b23111482767c064fcde3852
Arenaria serpyllifolia,75553,200,200,0,0,0,0,177,100,True,,76,057f0b3a33081256fb82ea86c65470b9e74b5bbb3a6eb6598203b6baedb3f056
Knautia arvensis,129115,200,200,0,0,0,0,182,100,True,,77,0586fb6529604b120c0f6ffd6173fba74e0106601374d779d74a6d1a11e74e94
Lepidium latifolium,60153,200,200,0,0,1,0,183,100,True,,78,0598c0e98511a3b43629c158a933a080c6f312af80a71b32d92ef55c95791bc4
Tripsacum dactyloides,126563,160,160,0,0,1,0,136,100,True,,79,05b8dbcab3fef8d97f4aae072afa1c781563235b24696f78b7665a8522e789a0
Alstroemeria pelegrina,549116,147,147,0,0,2,0,102,100,True,,80,05c25559e2d2294007d993d424c80954556bb268007307e0aff360ad90a22efd
Betonica alopecuros,906090,185,185,0,0,1,0,173,100,True,,81,05c856e120204d612a89d908e12755fc7631b5747d92ae72348eed48bbbe68e0
Alternanthera ficoidea,279260,200,200,0,0,5,0,125,100,True,,82,06084f52902b9804fd8b818cb13df911aeebaeda25113ebe9ddfeed63d585097
Euphorbia bicolor,120585,120,120,0,0,1,0,102,100,True,,83,062a146a3762c92ba2ac903bd465bde48863f435f24c916bf4fdb9bd5f6e1336
Heimia salicifolia,157498,184,184,0,0,1,0,103,100,True,,84,0631787561f5b805a1685356985dbb07925c4eeb42ceddc1c452bb69b4bbeddf
Oenothera laciniata,78243,200,200,0,0,1,0,174,100,True,,85,0635f2f233dbd8ce4ae0e4658cbd785578e1afb093edec48374e185d65c23ab0
Cistus monspeliensis,76363,200,200,0,0,1,0,166,100,True,,86,06365b64b34f9fd3ef3e57a596bee6bac124548504dd56ec4bc79a6f3d4aa04c
Agalinis tenuifolia,120007,200,200,0,0,1,0,186,100,True,,87,0638cb2e29361fc88e97be22cfb2c58073bd5da3aef41fc05960871cb3ebf677
Stellaria media,53298,200,200,0,0,1,0,192,100,True,,88,063c96569d874307f261d0204142036a0a5d2ec82c0d6bb45c1df158a00ad930
Amorpha canescens,158286,200,200,0,0,0,0,170,100,True,,89,063e1162990b3d7717599bdb301a92279b27926f2ef1ddae6b4ebc395d8d640e
Linaria dalmatica,77776,200,200,0,0,0,0,191,100,True,,90,06524a4b81ceb24abeaf5f54881440b6e4ca17bd36f45d392169954eb4dfc381
Senecio flaccidus,58036,200,200,0,0,2,0,179,100,True,,91,06631a2386d28b043ab2821ed6ce5ff312f19ae9070b7a99d317144d573d2971
Asarum europaeum,128901,196,196,0,0,1,0,165,100,True,,92,06721cfd0f22c723fff8088261aae63a2c5f1923091677b65757d9cdffb58b3a
Prasophyllum colensoi,405236,200,200,0,0,4,0,120,100,True,,93,0684eb20b668da9ddb4965f7958b59dda7a4ae0a3708faf6070b2148bf7892a8
Cypripedium reginae,51434,200,200,0,0,0,0,188,100,True,,94,068b4f0679afb50eea9a7a286a1251ecbe8396e22b1d2e9ab670cf03fc41598c
Phragmites australis,64237,200,200,0,0,0,0,196,100,True,,95,0690cfa9ce950443ea83f59713c9d336299cd4102f70c754de0a56951c381e8e
Parthenium hysterophorus,126424,200,200,0,0,1,0,191,100,True,,96,06934ea02dbb5acc78750462177afba772deedf855e105162be28115d9691910
Psorodendron schottii,1613593,200,200,0,0,0,0,154,100,True,,97,06aee7f47f6929bc9fe64cd44d7723b15cde1a3239a6b47fbc30604f84baf62d
Cnidoscolus stimulosus,160765,200,200,0,0,0,0,187,100,True,,98,06e0e983793a93ee8d326a14610e984a2993562001272ee579b46093822c0fe6
Nicotiana obtusifolia,78220,200,200,0,0,1,0,180,100,True,,99,06e614af901e1ca90f6594dce7bc63cd4ec37f49b7301540af83ffe8189f01b4
Campanulastrum americanum,159769,200,200,0,0,41,0,155,100,True,,100,06ee6badcee5c38c1ea7eb523468b42d739672855a1ddae9ad9acce1ee5991cb
Stachys sylvatica,129850,200,200,0,0,0,0,187,100,True,,101,0709e5ac5e55a7870abaf96e20ab3d9cedab2b7832e859aeabe4403b06e24fef
Eschscholzia papastillii,528433,181,181,0,0,1,0,143,100,True,,102,07138ea895cc5a9d8d38de56107ae1b7fdf149ff31f48ba30d37922d96c46048
Cardiospermum halicacabum,62944,200,200,0,0,3,0,169,100,True,,103,072a611f884a2eeee6574a12fede562a0ad4d4af3709c99e3113f66fb09c0a3d
Hypericum calycinum,77481,137,137,0,0,1,0,135,100,True,,104,073f516e581cb7ae731d4a4805d39809d29e042c9b9f9237bef9c9700df6e021
Erigeron bonariensis,76904,200,200,0,0,1,0,180,100,True,,105,074ade8cee004157b043368ced78444afb1bfc166730724a49d8b0f358ce282f
Lavandula stoechas,61904,200,200,0,0,1,0,169,100,True,,106,075caf499c4a8c6d5737b42c71878047115f9875a5dd8944d93190a490698395
Limonium sinuatum,77758,185,185,0,0,2,0,167,100,True,,107,07b045c6831d02f200dbf74b4f6c605c2e633906576bbf607a19dbde574788da
Oxalis eckloniana,591181,200,200,0,0,3,0,132,100,True,,108,07beeaab8fca46856c45f424b387b36d1efa96145413655a520bdbbc95b5dfde
Lonicera sempervirens,119809,200,200,0,0,2,0,195,100,True,,109,07c5959d1afbdd994245875a13a509c6a02ce2ac03a2a45465a7946a711e2637
Podolobium ilicifolium,138701,177,177,0,0,2,0,150,100,True,,110,07c6d8de795be8d560bdc74044a71bae4de63872d5bef4e19773c9566d13ff9c
Zinnia peruviana,153439,200,200,0,0,1,0,183,100,True,,111,07f6c202cd9a0f74bf08571d788c4c07916500ebf2cebbf7f7d3b08c54d5b442
Aristolochia baetica,219151,200,200,0,0,1,0,155,100,True,,112,0801d252b70d504206c6ee6468b1d3a0cf8fa9b098f63736419c8ab8f581dd5d
Dalea mollis,76600,134,134,0,0,1,0,106,100,True,,113,080582df47c24032582f7d6fff5bcaa99b07baed523f92ccee888bf98bc92c72
Nemophila heterophylla,53158,200,200,0,0,1,0,134,100,True,,114,0813766245d9ab36350caad27cc46988612b888a1798384673325655f4d49080
Ipomoea obscura,164092,200,200,0,0,12,0,164,100,True,,115,08188e93d44962ddd956601b3180436b106b7576aaf67e0b0aeceac16eedf155
Scrophularia nodosa,124485,200,200,0,0,1,0,162,100,True,,116,081fa715029cb9454b85f6754ab03025ae0c91a63d36fd38ea0ecec7f35778a0
Westringia rigida,468628,147,147,0,0,1,0,109,100,True,,117,0820e26b05d889a18ebc1c4f792c0a624f003b71bdb09b558a1ede36bc3c96ac
Clinopodium douglasii,53203,200,200,0,0,2,0,134,100,True,,118,08264e50c2dfe842189bec84c70d7fbc9895a9e6a27848a7d642d365b6bf3c8e
Ramonda myconi,193952,200,200,0,0,1,0,147,100,True,,119,082d3d099b6829f69025e3f0fa5f252a1389ddb94e8b21d23f4ed414e7eec19a
Trillium grandiflorum,55402,200,200,0,0,0,0,197,100,True,,120,088f15b0df64398b66e263dd3dcf68f0b1f313fcb5128d1bfc65819f91339928
Lathyrus ochroleucus,164440,200,200,0,0,1,0,136,100,True,,121,0895c1dc7050e3626421a9568734d52b5b64090dd11c6e0fada2749498e41d32
Lysinema pentapetalum,525465,158,158,0,0,2,0,115,100,True,,122,089ced1dd04cb536c7291082255e86ed354df40a2d6b330fccdb9c9460286fcb
Dimorphotheca fruticosa,76661,200,200,0,0,4,0,172,100,True,,123,08b16810ac019e57f7f7e56af6d11ace19502ce9b3c904a8dbc50241baecde71
Phacelia cicutaria,50857,200,200,0,0,2,0,177,100,True,,124,08c2d1bd076d98db0d27785a3085248f6b23ee4b43b6e0218c547c52d9add6a0
Paederia foetida,126581,200,200,0,0,1,0,157,100,True,,125,08ca6a8164e87d57de7dd6e2d4942711e39aa37d2d4306868c9f667f9ecbd788
Heliopsis helianthoides,130382,200,200,0,0,1,0,184,100,True,,126,08d156626f5081e8b1f9f266dc0b8b65c5d5d55c282704e8a8edf2e178438130
Saxifraga bronchialis,128874,187,187,0,0,2,0,156,100,True,,127,08e9c021d79e68f368d5006f2b19b88b84560771d8cf10b3d6983e9413f3f670
Woollsia pungens,321185,200,200,0,0,0,0,155,100,True,,128,08f013ab05e8ec9d597dbf8c41211ac949cd5597c16f6588c949d2d7fa1f4778
Xylococcus bicolor,79543,200,200,0,0,0,0,134,100,True,,129,08ff47bddafc68415cfe5a0906ac7028f84f363a239aa385133505ab798ef5c4
Pinguicula moranensis,273836,200,200,0,0,0,0,175,100,True,,130,092003b090a6e0357378eb7b20ffcf9327c1b1c458d2134228f5c694c5585992
Borodinia laevigata,1038574,182,182,0,0,1,0,173,100,True,,131,0922df19c0ef4816de47f7c20b3c8088b7653ab9cd5851369b9dde990053d0f0
Aquilegia canadensis,49868,200,200,0,0,0,0,198,100,True,,132,0928ae27dbf157e702c41081e81417b3a1110516ecf8d0b1951f612cc972dc5c
Notobasis syriaca,467550,200,200,0,0,3,0,174,100,True,,133,093aeb2942bfadce2258e4e8fde1770dbd145adc7d0909f7a452949a7ee8038e
Romneya coulteri,61946,156,156,0,0,1,0,148,100,True,,134,094e23d4466b7a0313f6a3c8db9840176f982db8a79d831accd090cf4eedbca1
Goodenia radicans,1497018,200,200,0,0,5,0,152,100,True,,135,0950c43bbc0d02e91b789411d235ec6d8588f9fd67402b2409ffa357acd62def
Trilisa odoratissima,1648274,139,139,0,0,1,0,110,100,True,,136,0975a6910d69b0675abf4e5850a632b7bdfe893f718446d13a038df802633b2b
Osyris alba,335872,169,169,0,0,1,0,158,100,True,,137,09960dede452f5f02ffa41de496cb0ada7c0b5eb9d2bcd4d453bf90f06b4ef89
Justicia americana,51234,200,200,0,0,1,0,189,100,True,,138,099f2d747fc287ef18063405e0db43d6aeb7dc0444f9231e6e8020ab83ad52be
Lobelia angulata,403517,200,200,0,0,1,0,152,100,True,,139,09a76de7f38ae3608cc3876a5baf318d16b89d075a29eba4860a3ec7abb94b34
Calochortus invenustus,64432,200,200,0,0,1,0,153,100,True,,140,09a7f7e6640c9d25cfa9437c6aa4948382b6c25fe586c449cf8585b729814fd6
Grevillea rosmarinifolia,547335,140,140,0,0,1,0,131,100,True,,141,09d51a08dcd02017ddc359f55f7cf46636a21ad2a98168605198cb8db3116fd4
Leptospermum continentale,353876,144,144,0,0,2,0,116,100,True,,142,09e857ab114ce43872da9dc2e69615a0316657c5cf0ecf694e7eabcf56e94769
Lysimachia latifolia,496537,200,200,0,0,37,0,159,100,True,,143,09ec45688a9c6e6c40c3f6c04e26a577d1e0b20eb4df19d729572b5bfc357f3e
Solidago caesia,120005,200,200,0,0,0,0,180,100,True,,144,09f47a9f60e8783e1969b2e1162aaa892089f847440ae4a682c04fd14ec08767
Foeniculum vulgare,53052,200,200,0,0,1,0,178,100,True,,145,0a2e8676747fd6f0e8775be2ba0c906c2c8d286d48eaeafb5e912257eb0616f5
Jacksonia scoparia,537381,195,195,0,0,1,0,144,100,True,,146,0a37ad14e3211f57f00403699d898baa8d984bb75a22fa8373fe955607ddec6f
Parnassia palustris,78352,200,200,0,0,11,0,186,100,True,,147,0a3fffddd56ba024798d9d73e588d9da869f83ddc14f930f2aa0d5a976dd1f17
Turritis glabra,79460,200,200,0,0,2,0,189,100,True,,148,0a4d4ccc3bea64f1684324c8298595bb7ce01376fce50d27d8042b0ccf0fe159
Cephalanthera rubra,129834,200,200,0,0,1,0,192,100,True,,149,0a5da3a4a68443e5a5e1e15b4a8c0760572b9c837d06056376d02b1ee4726008
Cistus creticus,64318,200,200,0,0,0,0,189,100,True,,150,0a6e648115e39b6d9388566b0f588d61de97b148b0b2c62306b4141583c66bc1
Reseda alba,78837,200,200,0,0,1,0,172,100,True,,151,0a889aca64280b4fb3eba2da3950e9be5f3075e9df5a6605354a6c19a961c06e
Anemone parviflora,158365,176,176,0,0,7,0,123,100,True,,152,0a8f165418745ec940d3878117da4522204f419e00af217398081f721897a4d5
Nepeta cataria,48622,200,200,0,0,0,0,180,100,True,,153,0a910c1591af961dc1c47c8938b6050f3db93ef73ae3727ed7f75f5b9405b46d
Pittosporum tobira,78592,115,115,0,0,1,0,108,100,True,,154,0aacff89f8bb8d388871ea93a2a0bd8bd3cd9c6b519159498162995e5416a429
Althaea cannabina,158234,154,154,0,0,1,0,143,100,True,,155,0ac7f1377c91181eb259f5b0466f34e6d52ef2965fcbc4af852ce8ac239ab04f
Hyacinthus orientalis,126637,200,200,0,0,2,0,194,100,True,,156,0ad15444558a50f9b88e521b14b21debc8a2b603c9d840550ceb69286c984226
Langloisia setosissima,71232,200,200,0,0,0,0,171,100,True,,157,0adcb6ad561f56562e17b88fbcc57f461727b00a9209d73c9c4db6e71646ae8c
Arctostaphylos crustacea,75507,200,200,0,0,1,0,152,100,True,,158,0b185f77520891ec5b73c1d2379ea36e899588a362911207ce9d2c64279f550f
Acacia oxycedrus,321065,167,167,0,0,1,0,118,100,True,,159,0b291aca3a9c2d90ca55a6d165f7383522f3575e679efd2565078fed137ec1f3
Scabiosa columbaria,85047,200,200,0,0,4,0,155,100,True,,160,0b330be1d62287153a1711404c41cdbdb936aa977f367df3f67a734fbe93e6e0
Fragaria virginiana,77155,200,200,0,0,10,0,188,100,True,,161,0b377bfad21f14b5166980686c1c56f2ef92147188843d39781fa18264aef6cd
Utricularia gibba,79464,200,200,0,0,1,0,188,100,True,,162,0b3ae71480810c66fca9260f09a9463551b4233e3d8cfe21cfc6799c006cbd6f
Filipendula vulgaris,62020,200,200,0,0,1,0,191,100,True,,163,0b3b6da059639f2ed53e95ec346ce60e32998abe061fcf315147d170348e7d05
Oxalis oregana,47757,200,200,0,0,0,0,193,100,True,,164,0b47ecf28b4a2e035092790c61288fe4d52a5287a76b1e2844cb011d42b93d89
Oxalis purpurea,78301,200,200,0,0,12,0,141,100,True,,165,0b4eb8c9664c76207cc9502f1f43e08472b88bec758617eccbd8cc730c9d4c34
Aesculus californica,53348,200,200,0,0,0,0,191,100,True,,166,0b53176e73191d8aa6a42c11eab9a68831f6af2242f395a2ac90e8c09bbfb450
Senega lutea,1568936,200,200,0,0,0,0,173,100,True,,167,0b6c0863e4409c0f5af0cf3fc82c91d000b5d253b315167ebedfad1045ba068f
Silene regia,125714,200,200,0,0,1,0,177,100,True,,168,0b8c85f88679d157c4dda31333f119e423398fb714d8ae2204dfcae52775978b
Saxifraga hirculus,144157,155,155,0,0,11,0,128,100,True,,169,0b955f10ee1d1a449caf90baae501f810c4fdf93cb09e77df1dae4046fead2cb
Dicentra uniflora,60548,200,200,0,0,1,0,172,100,True,,170,0bafe90832e9e4d2018032a68d31d61dcfdb37bca068d601f31a6b9b9cfcac32
Gentianella campestris,245736,200,200,0,0,0,0,173,100,True,,171,0bf00fd02229642a7e9f22824e2f2d7d001285582e7fc7bf4c576ee08f0eb47d
Lonicera japonica,77835,200,200,0,0,20,0,180,100,True,,172,0bf1e258ad00b6d4e5e029c32a6299848b37b4a9e68ca0cf3b01c43e2685e134
Thalictrum dioicum,81748,200,200,0,0,0,0,175,100,True,,173,0c14db6b863a5cdfec8581680d1775e46ea20e7b8ea959acd5d87c4e3600c5cf
Navarretia squarrosa,53157,200,200,0,0,1,0,174,100,True,,174,0c45cb4bd4a23f49f1c1e3b92cd3bbdfb4f1ab58abd50da034a60c3dd2c08abd
Solanum erianthum,133286,189,189,0,0,1,0,130,100,True,,175,0c53a0365b7a09dd5485355e330f265c2eb47c6d419bbe86085ac461f8148ed7
Sisymbrium loeselii,79125,200,200,0,0,1,0,148,100,True,,176,0c56bd24fe750fa60b15af10da1957d9c61217c1bf91690bab7d16b8a70fbc98
Geranium purpureum,57643,200,200,0,0,0,0,193,100,True,,177,0c83625c90742dbf976880b52ef3a57b32e8204e02c1ac8a6d6ed971c1085c9c
Symphoricarpos rotundifolius,79293,122,122,0,0,1,0,117,100,True,,178,0c8c0cf18b6108da859e9d997aa941b0c02026e178e107686849b02fca276d34
Dipodium roseum,155224,200,200,0,0,1,0,120,100,True,,179,0ca1edfc00fa0eceefb55f6ac407688ec5dd7002143cc15fae7941268f0d75a3
Leucopogon virgatus,323830,200,200,0,0,1,0,144,100,True,,180,0cadbcc447cd8b96b55908f0ede15c5a442370bd554092d58c8a8f7611622ef6
