species,n_classifiable,D,second_fraction,n_raw,n_mixed,n_ambiguous_palette,n_bridge,n_technical_mixed,mixed_rate,ambiguous_palette_rate,bridge_rate,technical_mixed_rate
Calystegia tuguriorum,49,0.07830070803831746,0.04081632653061224,100,51,1,1,50,0.51,0.01,0.01,0.5
Campanula latifolia,48,0.4418402777777778,0.2916666666666667,100,52,10,10,42,0.52,0.1,0.1,0.42
Campanula patula,56,0.4470663265306123,0.19642857142857142,100,44,14,14,30,0.44,0.14,0.14,0.3
Cardamine amara,67,0.029405212742259046,0.014925373134328358,100,33,1,1,32,0.33,0.01,0.01,0.32
Cardamine concatenata,43,0.08869659275283936,0.046511627906976744,100,57,0,0,57,0.57,0.0,0.0,0.57
Cardamine hirsuta,56,0.035076530612244916,0.017857142857142856,100,44,0,0,44,0.44,0.0,0.0,0.44
Carlina hispanica,58,0.03388822829964333,0.017241379310344827,100,42,0,0,42,0.42,0.0,0.0,0.42
Carlina vulgaris,40,0.5275000000000001,0.375,100,60,7,7,53,0.6,0.07,0.07,0.53
Carthamus mitissimus,44,0.5805785123966942,0.4318181818181818,100,56,13,13,43,0.56,0.13,0.13,0.43
Castilleja exserta,56,0.34119897959183676,0.07142857142857142,100,44,8,8,36,0.44,0.08,0.08,0.36
Castilleja foliolosa,46,0.5207939508506616,0.4782608695652174,100,54,8,7,46,0.54,0.08,0.07,0.46
Centranthus calcitrapae,65,0.19786982248520701,0.06153846153846154,100,35,6,6,29,0.35,0.06,0.06,0.29
Centrosema virginianum,43,0.6489994591671173,0.32558139534883723,100,57,8,8,49,0.57,0.08,0.08,0.49
Cerastium fontanum,57,0.06771314250538629,0.03508771929824561,100,43,2,2,41,0.43,0.02,0.02,0.41
Chaenorhinum origanifolium,49,0.5539358600583091,0.42857142857142855,100,51,15,15,36,0.51,0.15,0.15,0.36
Chelone lyonii,49,0.4723032069970845,0.2653061224489796,100,51,16,15,35,0.51,0.16,0.15,0.35
Chondrilla juncea,66,0.23553719008264462,0.13636363636363635,100,34,1,1,33,0.34,0.01,0.01,0.33
Cipura campanulata,54,0.19753086419753085,0.1111111111111111,100,46,0,0,46,0.46,0.0,0.0,0.46
Cistus albidus,58,0.6010701545778834,0.20689655172413793,100,42,12,12,30,0.42,0.12,0.12,0.3
Cistus crispus,64,0.17236328125,0.078125,100,36,2,2,34,0.36,0.02,0.02,0.34
Clematis virginiana,49,0.03998334027488548,0.02040816326530612,100,51,1,1,50,0.51,0.01,0.01,0.5
Clinopodium alpinum,53,0.20434318262726947,0.09433962264150944,100,47,5,5,42,0.47,0.05,0.05,0.42
Cneoridium dumosum,50,0.3064000000000001,0.14,100,50,5,5,45,0.5,0.05,0.05,0.45
Cochlospermum vitifolium,48,0.08072916666666652,0.020833333333333332,100,52,0,0,52,0.52,0.0,0.0,0.52
Coleogyne ramosissima,77,0.07488615280823074,0.03896103896103896,100,23,0,0,23,0.23,0.0,0.0,0.23
Coleostephus myconis,79,0.0,0.0,100,21,0,0,21,0.21,0.0,0.0,0.21
Collinsia grandiflora,54,0.2297668038408779,0.1111111111111111,100,46,11,11,35,0.46,0.11,0.11,0.35
Commelina benghalensis,51,0.5159554017685506,0.29411764705882354,100,49,9,9,40,0.49,0.09,0.09,0.4
Commelina communis,52,0.20784023668639062,0.09615384615384616,100,48,0,0,48,0.48,0.0,0.0,0.48
Commelina diffusa,59,0.47572536627405915,0.3898305084745763,100,41,6,6,35,0.41,0.06,0.06,0.35
Conoclinium betonicifolium,73,0.19778570088196656,0.0958904109589041,100,27,7,7,20,0.27,0.07,0.07,0.2
Conopholis alpina,52,0.3106508875739644,0.19230769230769232,100,48,8,8,40,0.48,0.08,0.08,0.4
Conospermum caeruleum,57,0.4038165589412126,0.2807017543859649,100,43,4,4,39,0.43,0.04,0.04,0.39
Convolvulus elegantissimus,58,0.5826397146254458,0.3793103448275862,100,42,8,8,34,0.42,0.08,0.08,0.34
Cornus florida,49,0.21491045397750952,0.12244897959183673,100,51,1,1,50,0.51,0.01,0.01,0.5
Cornus sanguinea,49,0.14993752603082044,0.08163265306122448,100,51,4,4,47,0.51,0.04,0.04,0.47
Cornus suecica,56,0.035076530612244916,0.017857142857142856,100,44,0,0,44,0.44,0.0,0.0,0.44
Corydalis aurea,70,0.028163265306122343,0.014285714285714285,100,30,0,0,30,0.3,0.0,0.0,0.3
Cotula coronopifolia,82,0.024092801903628835,0.012195121951219513,100,18,0,0,18,0.18,0.0,0.0,0.18
Crepis biennis,61,0.03224939532383764,0.01639344262295082,100,39,2,2,37,0.39,0.02,0.02,0.37
Crepis sancta,67,0.05791935843172191,0.029850746268656716,100,33,2,2,31,0.33,0.02,0.02,0.31
Cryptantha barbigera,48,0.2230902777777778,0.10416666666666667,100,52,1,1,51,0.52,0.01,0.01,0.51
Cylindropuntia echinocarpa,47,0.19013128112268007,0.10638297872340426,100,53,0,0,53,0.53,0.0,0.0,0.53
Cypripedium guttatum,46,0.33364839319470696,0.13043478260869565,100,54,7,7,47,0.54,0.07,0.07,0.47
Dalea candida,74,0.0525931336742147,0.02702702702702703,100,26,1,1,25,0.26,0.01,0.01,0.25
Dampiera stricta,79,0.18426534209261325,0.08860759493670886,100,21,4,4,17,0.21,0.04,0.04,0.17
Delphinium glaucum,44,0.20144628099173545,0.11363636363636363,100,56,7,7,49,0.56,0.07,0.07,0.49
Delphinium sutherlandii,53,0.10679957280170882,0.05660377358490566,100,47,2,2,45,0.47,0.02,0.02,0.45
