discovery_source,capacity_bin,opened_group,breadth_rank_block,genus_size_class,denominator,classifiable,n_blue_purple,n_red_pink,n_white,n_yellow_orange
both,2_4,not_previously_opened,5001_10000,non_singleton_genus_label,337,149,12,13,65,59
both,2_4,not_previously_opened,5001_10000,singleton_genus_label,31,8,1,1,3,3
both,5_9,not_previously_opened,10001_15000,non_singleton_genus_label,373,166,13,24,72,57
both,5_9,not_previously_opened,10001_15000,singleton_genus_label,24,9,0,1,3,5
both,5_9,not_previously_opened,15001_20000,non_singleton_genus_label,317,130,15,17,61,37
both,5_9,not_previously_opened,15001_20000,singleton_genus_label,31,11,0,2,5,4
both,5_9,not_previously_opened,1_5000,non_singleton_genus_label,337,138,13,17,60,48
both,5_9,not_previously_opened,1_5000,singleton_genus_label,21,7,1,1,1,4
both,5_9,not_previously_opened,20001_25000,non_singleton_genus_label,351,158,16,19,72,51
both,5_9,not_previously_opened,20001_25000,singleton_genus_label,34,10,0,0,4,6
both,5_9,not_previously_opened,25001_30000,non_singleton_genus_label,364,152,8,16,65,63
both,5_9,not_previously_opened,25001_30000,singleton_genus_label,26,12,1,1,4,6
both,5_9,not_previously_opened,30001_35000,non_singleton_genus_label,310,139,12,15,73,39
both,5_9,not_previously_opened,30001_35000,singleton_genus_label,20,4,1,1,0,2
both,5_9,not_previously_opened,35001_40000,non_singleton_genus_label,359,147,11,14,74,48
both,5_9,not_previously_opened,35001_40000,singleton_genus_label,33,11,0,0,5,6
both,5_9,not_previously_opened,40001_42111,non_singleton_genus_label,145,49,6,6,21,16
both,5_9,not_previously_opened,40001_42111,singleton_genus_label,12,6,0,0,2,4
both,5_9,not_previously_opened,5001_10000,non_singleton_genus_label,347,154,12,15,78,49
both,5_9,not_previously_opened,5001_10000,singleton_genus_label,29,16,1,1,9,5
v1_only,0,not_previously_opened,10001_15000,non_singleton_genus_label,72,24,2,4,13,5
v1_only,0,not_previously_opened,10001_15000,singleton_genus_label,6,2,0,1,1,0
v1_only,0,not_previously_opened,15001_20000,non_singleton_genus_label,93,36,4,5,18,9
v1_only,0,not_previously_opened,15001_20000,singleton_genus_label,7,2,0,0,1,1
v1_only,0,not_previously_opened,1_5000,non_singleton_genus_label,78,32,3,4,17,8
v1_only,0,not_previously_opened,1_5000,singleton_genus_label,9,4,0,2,1,1
v1_only,0,not_previously_opened,20001_25000,non_singleton_genus_label,90,38,6,1,14,17
v1_only,0,not_previously_opened,20001_25000,singleton_genus_label,12,5,0,0,5,0
v1_only,0,not_previously_opened,25001_30000,non_singleton_genus_label,100,49,7,4,21,17
v1_only,0,not_previously_opened,25001_30000,singleton_genus_label,7,3,0,0,3,0
v1_only,0,not_previously_opened,30001_35000,non_singleton_genus_label,72,33,2,6,11,14
v1_only,0,not_previously_opened,30001_35000,singleton_genus_label,15,6,0,0,4,2
v1_only,0,not_previously_opened,35001_40000,non_singleton_genus_label,91,36,0,5,22,9
v1_only,0,not_previously_opened,35001_40000,singleton_genus_label,17,6,0,1,4,1
v1_only,0,not_previously_opened,40001_42111,non_singleton_genus_label,36,10,0,1,3,6
v1_only,0,not_previously_opened,40001_42111,singleton_genus_label,2,0,0,0,0,0
v1_only,0,not_previously_opened,5001_10000,non_singleton_genus_label,71,26,3,4,9,10
v1_only,0,not_previously_opened,5001_10000,singleton_genus_label,10,3,0,1,1,1
v1_only,1,not_previously_opened,10001_15000,non_singleton_genus_label,359,153,9,14,82,48
v1_only,1,not_previously_opened,10001_15000,singleton_genus_label,36,13,0,0,7,6
v1_only,1,not_previously_opened,15001_20000,non_singleton_genus_label,369,157,13,21,64,59
v1_only,1,not_previously_opened,15001_20000,singleton_genus_label,44,19,1,1,12,5
v1_only,1,not_previously_opened,1_5000,non_singleton_genus_label,389,142,9,15,67,51
v1_only,1,not_previously_opened,1_5000,singleton_genus_label,38,18,0,2,11,5
v1_only,1,not_previously_opened,20001_25000,non_singleton_genus_label,353,143,7,14,66,56
v1_only,1,not_previously_opened,20001_25000,singleton_genus_label,45,18,0,2,14,2
v1_only,1,not_previously_opened,25001_30000,non_singleton_genus_label,363,159,13,21,70,55
v1_only,1,not_previously_opened,25001_30000,singleton_genus_label,34,12,0,2,8,2
v1_only,1,not_previously_opened,30001_35000,non_singleton_genus_label,386,159,11,18,77,53
v1_only,1,not_previously_opened,30001_35000,singleton_genus_label,39,18,0,0,11,7
