species,genus,family,n_classifiable,D,second_fraction,maximum_span_km_after_observer_cap,log1p_span_primary,maximum_span_km,log1p_span_sensitivity,mean_latitude,abs_mean_latitude,pollination_guild_raw,pollination_guild_mapped
Althaea officinalis,Althaea,Malvaceae,59,0.1597242171789715,0.0338983050847457,11781.886442873008,9.374403456297216,11781.886442873008,9.374403456297216,46.911233378699,46.911233378699,mixed,mixed
Alyxia buxifolia,Alyxia,Apocynaceae,45,0.3930864197530864,0.1777777777777777,3472.61674439148,8.152951619584393,3472.61674439148,8.152951619584393,-34.830894682291,34.830894682291,mixed,mixed
Amsinckia tessellata,Amsinckia,Boraginaceae,70,0.0559183673469387,0.0142857142857142,1715.5707815552246,7.448083848024978,1688.7757102667763,7.43235108329112,35.959743992213,35.959743992213,,
Anchusa arvensis,Anchusa,Boraginaceae,50,0.5312,0.42,16907.59789272588,9.735577522590097,15852.396915004134,9.671139072746993,48.768862947764,48.768862947764,,
Andromeda polifolia,Andromeda,Ericaceae,51,0.3021914648212226,0.1372549019607843,9560.470737478783,9.16549683704536,9176.716338296335,9.124533687775951,56.112997579163,56.112997579163,mixed,mixed
Androsace villosa,Androsace,Primulaceae,78,0.0253122945430637,0.0128205128205128,4329.910067385282,8.373532976137636,4329.910067385282,8.373532976137636,42.803954576545,42.803954576545,,
Andryala integrifolia,Andryala,Asteraceae,69,0.3713505566057551,0.2463768115942029,2897.966595498757,7.972109606088368,2697.946804608048,7.900616903527015,40.732551865013,40.732551865013,mixed,mixed
Anemone pavonina,Anemone,Ranunculaceae,45,0.5748148148148149,0.1777777777777777,922.9625922403908,6.828671586233839,922.9625922403908,6.828671586233839,39.19615109336,39.19615109336,,
Anemonoides blanda,Anemonoides,Ranunculaceae,52,0.3698224852071006,0.1923076923076923,11506.667807104066,9.3507688579969,10807.888877840796,9.288124118841644,44.831578651138,44.831578651138,,
Anemonoides quinquefolia,Anemonoides,Ranunculaceae,48,0.0798611111111109,0.0416666666666666,2720.0564183662564,7.908775472991759,2251.475088182109,7.719784929790751,42.024116378148,42.024116378148,,
Antennaria dioica,Antennaria,Asteraceae,66,0.286042240587695,0.1363636363636363,9541.666071896858,9.163528187862957,9530.717901656246,9.162380242906194,55.403398956221,55.403398956221,mixed,mixed
Aquilegia coerulea,Aquilegia,Ranunculaceae,44,0.5506198347107437,0.2954545454545454,726.8946063019054,6.590156266152955,3557.744779913225,8.177163171759622,39.28556520161,39.28556520161,,
Asclepias incarnata,Asclepias,Apocynaceae,49,0.4398167430237402,0.3265306122448979,4177.906849153719,8.33780497197544,3631.180117194233,8.197588330230055,41.289005471866005,41.289005471866005,,
Asclepias ovalifolia,Asclepias,Apocynaceae,58,0.1575505350772887,0.0862068965517241,2069.8271440863773,7.635703392961142,2069.8271440863773,7.635703392961142,49.080231021936,49.080231021936,,
Asclepias perennis,Asclepias,Apocynaceae,70,0.0281632653061223,0.0142857142857142,1747.553647928794,7.466544238291129,1697.0056429584165,7.4372096901628355,32.234430203196,32.234430203196,,
Asclepias quadrifolia,Asclepias,Apocynaceae,66,0.059228650137741,0.0151515151515151,2248.517408047725,7.718470986881079,2207.706124708286,7.700162159127966,37.942670829864,37.942670829864,,
Asclepias viridis,Asclepias,Apocynaceae,40,0.43875,0.325,2232.30542825036,7.711238021819615,1765.5326597424273,7.476773955019136,33.789002137723,33.789002137723,,
Astragalus glycyphyllos,Astragalus,Fabaceae,42,0.4954648526077096,0.4523809523809524,6196.5851023269415,8.731914995533815,6195.707420183033,8.731773368709407,49.067488108386,49.067488108386,mixed,mixed
Austroflourensia thurifera,Austroflourensia,Asteraceae,56,0.0350765306122449,0.0178571428571428,799.4091877248595,6.685123081560312,799.4237193340865,6.685141236620923,-32.08932079584,32.08932079584,,
Baptisia australis,Baptisia,Fabaceae,75,0.1472,0.08,2638.572188253598,7.878372133104917,2589.103652082228,7.859453174001769,39.519205202451,39.519205202451,,
Baptisia tinctoria,Baptisia,Fabaceae,75,0.0,0.0,1360.2306053852285,7.216144426494783,1360.2306053852285,7.216144426494783,39.58934745148,39.58934745148,,
Barbarea orthoceras,Barbarea,Brassicaceae,71,0.0277722674072604,0.0140845070422535,12074.044821025887,9.398896190400086,12074.044821025887,9.398896190400086,43.718277311445,43.718277311445,,
Bellis annua,Bellis,Asteraceae,80,0.0721874999999998,0.0375,4069.1881665623614,8.311444509938553,4069.1881665623614,8.311444509938553,38.524633290384,38.524633290384,,
Bidens aristosa,Bidens,Asteraceae,78,0.0499671268902037,0.0256410256410256,2182.2260610445933,7.688558906408167,2182.2260610445933,7.688558906408167,35.494785427188,35.494785427188,,
Bidens bipinnata,Bidens,Asteraceae,62,0.1207075962539023,0.064516129032258,18842.391831402776,9.843917565440211,18822.302960805857,9.84285090044014,31.187314604679,31.187314604679,mixed,mixed
Bidens cernua,Bidens,Asteraceae,64,0.03076171875,0.015625,10170.01633913086,9.227297419067218,10210.661871896771,9.23128566695311,48.123061831858,48.123061831858,mixed,mixed
Biscutella laevigata,Biscutella,Brassicaceae,71,0.177742511406467,0.0985915492957746,2642.3632371208955,7.879807338805077,2642.3632371208955,7.879807338805077,46.220002685782,46.220002685782,mixed,mixed
Brodiaea coronaria,Brodiaea,Asparagaceae,63,0.0619803476946334,0.0158730158730158,1149.383114192256,7.047850308653437,1155.9661140966664,7.053556439035021,48.243198421414,48.243198421414,,
Bryonia alba,Bryonia,Cucurbitaceae,41,0.5425342058298632,0.4390243902439024,10602.013978095933,9.268893577240116,10602.013978095933,9.268893577240116,50.887614564684,50.887614564684,mixed,mixed
Buddleja davidii,Buddleja,Scrophulariaceae,43,0.5959978366684695,0.3953488372093023,19909.26835198155,9.89899087521862,19892.55515706474,9.898151096804105,34.92926780049,34.92926780049,mixed,mixed
Bursaria spinosa,Bursaria,Pittosporaceae,47,0.0416478044363965,0.0212765957446808,1907.5503960143683,7.55409927792225,1925.3001113953983,7.563356401296797,-35.250401392786,35.250401392786,mixed,mixed
Calochortus concolor,Calochortus,Liliaceae,41,0.1760856632956573,0.0975609756097561,397.0251075544607,5.986515087602396,397.0251075544607,5.986515087602396,33.216733997486,33.216733997486,,
Calochortus flexuosus,Calochortus,Liliaceae,49,0.2190753852561433,0.1020408163265306,879.0142423118037,6.779938091786517,780.8545432525141,6.661668717173082,36.362984023771,36.362984023771,,
Calochortus leichtlinii,Calochortus,Liliaceae,54,0.1392318244170095,0.0555555555555555,580.5955680869336,6.3657753059821145,574.8395787764329,6.355829112836345,38.550732451715,38.550732451715,,
Calochortus monophyllus,Calochortus,Liliaceae,55,0.0,0.0,342.276421727739,5.838536016857498,305.5388348844767,5.725344451703868,39.116725653749,39.116725653749,,
Calycadenia multiglandulosa,Calycadenia,Asteraceae,64,0.0,0.0,285.2680664356619,5.656928667062552,285.2680664356619,5.656928667062552,37.924562174924,37.924562174924,,
Calystegia tuguriorum,Calystegia,Convolvulaceae,49,0.0783007080383174,0.0408163265306122,1328.1835834480005,7.192320185702996,1328.1835834480005,7.192320185702996,-42.431125143950005,42.431125143950005,mixed,mixed
Campanula latifolia,Campanula,Campanulaceae,48,0.4418402777777778,0.2916666666666667,11805.5744662454,9.376411813455167,11805.5744662454,9.376411813455167,53.986423001986005,53.986423001986005,mixed,mixed
Campanula patula,Campanula,Campanulaceae,56,0.4470663265306123,0.1964285714285714,4770.696564211329,8.470457194484295,4752.023678857327,8.466536258477747,52.170565434386,52.170565434386,mixed,mixed
Cardamine amara,Cardamine,Brassicaceae,67,0.029405212742259,0.0149253731343283,4436.095843640432,8.397755352146385,4436.095843640432,8.397755352146385,52.528332149122,52.528332149122,mixed,mixed
Cardamine concatenata,Cardamine,Brassicaceae,43,0.0886965927528393,0.0465116279069767,2234.459204220479,7.712201946444884,2690.938778144903,7.89801694836073,40.147460851788,40.147460851788,,
Cardamine hirsuta,Cardamine,Brassicaceae,56,0.0350765306122449,0.0178571428571428,19988.49938841387,9.902962384080006,19929.37964936714,9.900000462165757,30.442010691843,30.442010691843,mixed,mixed
Carlina hispanica,Carlina,Asteraceae,58,0.0338882282996433,0.0172413793103448,1545.3926335967788,7.343680164300765,1545.3926335967788,7.343680164300765,40.509885433597,40.509885433597,,
Carlina vulgaris,Carlina,Asteraceae,40,0.5275000000000001,0.375,3256.7224847306743,8.088783605893322,3256.7224847306743,8.088783605893322,47.889295155601005,47.889295155601005,mixed,mixed
Carthamus mitissimus,Carthamus,Asteraceae,44,0.5805785123966942,0.4318181818181818,885.7665478218635,6.78758175468273,885.7665478218635,6.78758175468273,43.531370701764,43.531370701764,,
Castilleja exserta,Castilleja,Orobanchaceae,56,0.3411989795918367,0.0714285714285714,1530.6785495261963,7.334119504215325,1530.1308391546745,7.333761851937397,35.104510525066,35.104510525066,,
Castilleja foliolosa,Castilleja,Orobanchaceae,46,0.5207939508506616,0.4782608695652174,1020.9752286693964,6.929492532377336,1450.3318357955557,7.280236921289991,35.213384164356,35.213384164356,,
Centranthus calcitrapae,Centranthus,,65,0.197869822485207,0.0615384615384615,9530.739312275644,9.162382489153469,9437.37883807556,9.152539511136997,39.607961735182,39.607961735182,,
Centrosema virginianum,Centrosema,Fabaceae,43,0.6489994591671173,0.3255813953488372,18477.57380462288,9.824367167143006,7856.860483301633,8.969269645226968,24.80430420311,24.80430420311,,
Cerastium fontanum,Cerastium,Caryophyllaceae,57,0.0677131425053862,0.0350877192982456,19661.14006383551,9.88645024148178,19654.164379799044,9.886095401077108,34.704876257294,34.704876257294,mixed,mixed
Chaenorhinum origanifolium,Chaenorhinum,Plantaginaceae,49,0.5539358600583091,0.4285714285714285,2110.5323737564963,7.655169206369414,2110.5323737564963,7.655169206369414,42.467010461233,42.467010461233,,
Chelone lyonii,Chelone,Plantaginaceae,49,0.4723032069970845,0.2653061224489796,1990.877382453957,7.596832881256963,1931.9287078388668,7.5667915969135295,39.661207880314,39.661207880314,,
Chondrilla juncea,Chondrilla,Asteraceae,66,0.2355371900826446,0.1363636363636363,18059.288720124947,9.801470813561073,17902.028229090658,9.792725152329936,38.91019327342,38.91019327342,mixed,mixed
Cipura campanulata,Cipura,Iridaceae,54,0.1975308641975308,0.1111111111111111,4012.322482054572,8.297374726384046,4012.322482054572,8.297374726384046,16.890248358813,16.890248358813,,
Cistus albidus,Cistus,Cistaceae,58,0.6010701545778834,0.2068965517241379,1895.503065866564,7.547766977719561,1659.9489728765816,7.4151443884168895,39.942409471251,39.942409471251,,
Cistus crispus,Cistus,Cistaceae,64,0.17236328125,0.078125,1641.5344795144674,7.403995742232479,1173.3862262084947,7.068500929426772,38.683922562842,38.683922562842,,
Clematis virginiana,Clematis,Ranunculaceae,49,0.0399833402748854,0.0204081632653061,2822.9426651933613,7.945889295713461,2852.223054286193,7.956204530522014,40.93931680381,40.93931680381,,
Clinopodium alpinum,Clinopodium,Lamiaceae,53,0.2043431826272694,0.0943396226415094,2433.703539584266,7.797580278447214,2426.403704322255,7.794577530716353,45.117173059379,45.117173059379,,
Cneoridium dumosum,Cneoridium,Rutaceae,50,0.3064000000000001,0.14,381.7593334611204,5.947406419507938,282.7194676969165,5.647985960175762,32.754233097825,32.754233097825,,
Cochlospermum vitifolium,Cochlospermum,Bixaceae,48,0.0807291666666665,0.0208333333333333,8612.089113230966,9.0610383150994,8612.089113230966,9.0610383150994,9.738341970884,9.738341970884,mixed,mixed
Coleogyne ramosissima,Coleogyne,Rosaceae,77,0.0748861528082307,0.0389610389610389,882.2980597471542,6.783662697153128,882.2980597471542,6.783662697153128,36.129318178209,36.129318178209,,
Coleostephus myconis,Coleostephus,Asteraceae,79,0.0,0.0,12714.36212483178,9.450566157579004,12714.36212483178,9.450566157579004,27.752919124028,27.752919124028,mixed,mixed
Collinsia grandiflora,Collinsia,Plantaginaceae,54,0.2297668038408779,0.1111111111111111,893.0736552260713,6.79578816017583,785.9992201164855,6.668227257459461,46.477255116447004,46.477255116447004,,
Commelina benghalensis,Commelina,Commelinaceae,51,0.5159554017685506,0.2941176470588235,19866.22936296383,9.896826887623345,19442.7380511228,9.875280346110126,-2.915415379084,2.915415379084,mixed,mixed
Commelina communis,Commelina,Commelinaceae,52,0.2078402366863906,0.0961538461538461,17361.615408972917,9.762074634065586,16827.042795360125,9.730801987811535,37.512807448423,37.512807448423,bumblebees,bee
Commelina diffusa,Commelina,Commelinaceae,59,0.4757253662740591,0.3898305084745763,19851.767365368098,9.896098690270572,19774.868817953226,9.892217726839036,7.827434038368,7.827434038368,mixed,mixed
Conoclinium betonicifolium,Conoclinium,Asteraceae,73,0.1977857008819665,0.0958904109589041,1339.385645475632,7.200712646670951,1025.938553215921,6.934337376800638,26.415901752037,26.415901752037,,
Conopholis alpina,Conopholis,Orobanchaceae,52,0.3106508875739644,0.1923076923076923,2804.164265798227,7.939217378024021,2592.34266478549,7.860702926744187,22.603937697449,22.603937697449,,
Conospermum caeruleum,Conospermum,Proteaceae,57,0.4038165589412126,0.2807017543859649,316.4191326277724,5.760223085506126,316.4191326277724,5.760223085506126,-34.802068879763,34.802068879763,,
Convolvulus elegantissimus,Convolvulus,Convolvulaceae,58,0.5826397146254458,0.3793103448275862,2228.7798399890908,7.709658133118095,2080.891872688967,7.641032313479001,39.418835910497,39.418835910497,,
Cornus florida,Cornus,Cornaceae,49,0.2149104539775095,0.1224489795918367,2618.8427002889903,7.8708695568951486,2463.8711576985943,7.809894816428623,36.603847260944,36.603847260944,,
Cornus sanguinea,Cornus,Cornaceae,49,0.1499375260308204,0.0816326530612244,9832.860905666572,9.193586903644334,3980.4281849417616,8.28939587434828,47.589187467207005,47.589187467207005,mixed,mixed
Cornus suecica,Cornus,Cornaceae,56,0.0350765306122449,0.0178571428571428,9936.059468072595,9.204026427723129,9287.627612954053,9.136546093548953,60.842358057891,60.842358057891,mixed,mixed
Corydalis aurea,Corydalis,Papaveraceae,70,0.0281632653061223,0.0142857142857142,5415.522162872546,8.59720922111039,5415.522162872546,8.59720922111039,43.694824105135005,43.694824105135005,,
Cotula coronopifolia,Cotula,Asteraceae,82,0.0240928019036288,0.0121951219512195,19987.720775802867,9.902923432240334,19917.011885955944,9.899379721235857,-3.0024460128880004,3.0024460128880004,mixed,mixed
Crepis biennis,Crepis,Asteraceae,61,0.0322493953238376,0.0163934426229508,8655.12780548525,9.066022765936278,8655.12780548525,9.066022765936278,49.934707129296,49.934707129296,mixed,mixed
Crepis sancta,Crepis,Asteraceae,67,0.0579193584317219,0.0298507462686567,4021.9178965707033,8.299762763233131,4021.9178965707033,8.299762763233131,43.150156847228,43.150156847228,,
Cryptantha barbigera,Cryptantha,Boraginaceae,48,0.2230902777777778,0.1041666666666666,932.2339427845212,6.838655911951009,932.2339427845212,6.838655911951009,33.576146384929,33.576146384929,,
Cylindropuntia echinocarpa,Cylindropuntia,Cactaceae,47,0.19013128112268,0.1063829787234042,621.8426740371008,6.434293957261003,621.8426740371008,6.434293957261003,34.666209163087004,34.666209163087004,,
Cypripedium guttatum,Cypripedium,Orchidaceae,46,0.3336483931947069,0.1304347826086956,9303.277353925714,9.138229503935367,9303.277353925714,9.138229503935367,55.200662551846,55.200662551846,,
Dalea candida,Dalea,Fabaceae,74,0.0525931336742147,0.027027027027027,3062.8545751998936,8.027429067331983,3062.2519114379184,8.027232346819542,42.532629621571004,42.532629621571004,,
Dampiera stricta,Dampiera,Goodeniaceae,79,0.1842653420926132,0.0886075949367088,1767.40981658553,7.477836013048154,1570.406973039279,7.359726658201189,-34.497708741796,34.497708741796,mixed,mixed
Delphinium glaucum,Delphinium,Ranunculaceae,44,0.2014462809917354,0.1136363636363636,4256.430297830397,8.356421040783426,4256.430297830397,8.356421040783426,50.299923114575,50.299923114575,,
Delphinium sutherlandii,Delphinium,Ranunculaceae,53,0.1067995728017088,0.0566037735849056,530.0424260620107,6.274841916472096,530.0424260620107,6.274841916472096,49.937862201618,49.937862201618,,
Desmanthus illinoensis,Desmanthus,Fabaceae,66,0.2355371900826446,0.1363636363636363,12580.244557507418,9.43996245680042,12580.244557507418,9.43996245680042,36.89309571378,36.89309571378,,
Diplacus mephiticus,Diplacus,,68,0.5627162629757786,0.4117647058823529,573.7879052507003,6.354001112318042,573.7879052507003,6.354001112318042,38.469982902178,38.469982902178,,
Diplotaxis tenuifolia,Diplotaxis,Brassicaceae,78,0.0973044049967126,0.0512820512820512,19893.54360662927,9.898200782493818,19893.54360662927,9.898200782493818,25.837828663055003,25.837828663055003,mixed,mixed
Disphyma crassifolium,Disphyma,Aizoaceae,47,0.4717066545948393,0.1489361702127659,19360.608462751094,9.871047439133145,19360.608462751094,9.871047439133145,-32.842565576582004,32.842565576582004,mixed,mixed
Distimake aegyptius,Distimake,Convolvulaceae,50,0.0767999999999999,0.04,19521.452496608068,9.8793204922701,19521.452496608068,9.8793204922701,4.502110392441,4.502110392441,,
Distimake dissectus,Distimake,Convolvulaceae,57,0.2228377962449986,0.0701754385964912,19504.02540870061,9.878427424616175,18827.018495391923,9.843101384854942,18.254511070131,18.254511070131,,
Drosera spatulata,Drosera,Droseraceae,43,0.6803677663601947,0.3255813953488372,9409.393374098248,9.149570035541828,9409.393374098248,9.149570035541828,-25.194203066643,25.194203066643,mixed,mixed
Dyssodia pinnata,Dyssodia,Asteraceae,78,0.0,0.0,937.6078640650912,6.844397781830535,937.6078640650912,6.844397781830535,21.67026463745,21.67026463745,,
Echium gaditanum,Echium,Boraginaceae,62,0.2814776274713838,0.1129032258064516,355.95515474613927,5.877610156931575,355.95515474613927,5.877610156931575,36.743370726826,36.743370726826,,
Echium rosulatum,Echium,Boraginaceae,53,0.4841580633677466,0.320754716981132,1201.3582775153131,7.092040138498167,761.2573588860987,6.636284239985224,41.204554404204,41.204554404204,,
Ehretia anacua,Ehretia,Boraginaceae,50,0.0,0.0,1029.3311115550732,6.937635497093264,1029.3311115550732,6.937635497093264,27.440853612477,27.440853612477,,
Elephantopus carolinianus,Elephantopus,Asteraceae,62,0.1227887617065557,0.032258064516129,2323.647716222676,7.751323786636931,2323.647716222676,7.751323786636931,35.569718826851,35.569718826851,,
Epacris obtusifolia,Epacris,Ericaceae,41,0.2141582391433669,0.1219512195121951,2039.543048831923,7.620971251821025,2039.543048831923,7.620971251821025,-33.474109415417004,33.474109415417004,mixed,mixed
Erechtites hieraciifolius,Erechtites,Asteraceae,47,0.4762335898596649,0.3404255319148936,19690.902678578062,9.8879627986852,19673.36503398204,9.887071800032022,27.800258808702,27.800258808702,wind,wind
Erigeron foliosus,Erigeron,Asteraceae,50,0.6024,0.24,1460.3721745174084,7.287131118883942,1460.3721745174084,7.287131118883942,35.496794230431,35.496794230431,,
Erigeron linearis,Erigeron,Asteraceae,86,0.0886965927528393,0.0465116279069767,1467.125361812876,7.291741601858699,1450.6061415417253,7.280425906207428,46.350038933574,46.350038933574,,
Eriodictyon crassifolium,Eriodictyon,Boraginaceae,54,0.1680384087791495,0.0925925925925925,349.7781078681017,5.860153852245376,349.7781078681017,5.860153852245376,33.726965808512,33.726965808512,,
Eriogonum jamesii,Eriogonum,Polygonaceae,66,0.1400367309458219,0.0757575757575757,1094.572288181634,6.999032143331932,1094.572288181634,6.999032143331932,37.49935399385,37.49935399385,,
Eriogonum latifolium,Eriogonum,Polygonaceae,70,0.2240816326530612,0.1285714285714285,717.0794345894924,6.576580196061828,713.0010634673641,6.570884451788565,38.594260717144,38.594260717144,,
Eriogonum niveum,Eriogonum,Polygonaceae,44,0.0878099173553718,0.0227272727272727,768.7524987516465,6.646069032985306,768.7524987516465,6.646069032985306,46.605379705005,46.605379705005,,
Eriophorum vaginatum,Eriophorum,Cyperaceae,45,0.345679012345679,0.2222222222222222,8982.93301984169,9.103193040896462,8982.93301984169,9.103193040896462,55.074976691099,55.074976691099,wind,wind
Eriophyllum confertiflorum,Eriophyllum,Asteraceae,82,0.0,0.0,817.1841901724592,6.707087482615456,907.298868225895,6.8115734744718255,34.93185134294,34.93185134294,,
Eryngium planum,Eryngium,Apiaceae,51,0.2137639369473281,0.0784313725490196,19161.430959102163,9.860706920256536,19161.430959102163,9.860706920256536,51.423699752915,51.423699752915,mixed,mixed
Erythranthe dentata,Erythranthe,Phrymaceae,67,0.0579193584317219,0.0298507462686567,927.8525026617448,6.83394995619966,923.264665049736,6.828998464663799,44.742328221583,44.742328221583,,
Erythranthe erubescens,Erythranthe,Phrymaceae,45,0.5698765432098767,0.2888888888888888,544.7939572256587,6.302241536805216,499.8472412568018,6.216301146920015,38.486284853769,38.486284853769,,
Erythrina humeana,Erythrina,Fabaceae,52,0.2921597633136095,0.1538461538461538,1201.8445833587443,7.09244451673833,1201.8445833587443,7.09244451673833,-28.712965217502003,28.712965217502003,mixed,mixed
Eschscholzia minutiflora,Eschscholzia,Papaveraceae,72,0.0,0.0,1200.9283148611817,7.0916824750980725,1102.2339402537968,7.006001091283041,34.199572401246,34.199572401246,,
Euonymus obovatus,Euonymus,Celastraceae,41,0.4997025580011898,0.4878048780487805,1271.9686437924915,7.149106966512085,1271.9686437924915,7.149106966512085,41.531496235443,41.531496235443,,
Eupatorium altissimum,Eupatorium,Asteraceae,55,0.1943801652892562,0.109090909090909,2236.600495928349,7.713159363521775,2236.600495928349,7.713159363521775,40.66347831424,40.66347831424,,
Euphorbia cyparissias,Euphorbia,Euphorbiaceae,85,0.0,0.0,10759.801279065938,9.283665299257828,8719.771791754298,9.073463021215106,47.179092887347,47.179092887347,mixed,mixed
Eurybia divaricata,Eurybia,Asteraceae,44,0.086776859504132,0.0454545454545454,1702.911691234032,7.440681881653157,1518.5198189021778,7.326149655313695,40.528032286582,40.528032286582,,
Eutrochium fistulosum,Eutrochium,Asteraceae,47,0.2933454051607062,0.1276595744680851,2568.432172973561,7.851440209109199,2438.498187813396,7.799547636403965,37.961457107357,37.961457107357,,
Eutrochium maculatum,Eutrochium,Asteraceae,47,0.2978723404255319,0.1063829787234042,5170.709164794058,8.550958505672208,2615.8416750170386,7.869723402043948,44.802543724584005,44.802543724584005,,
Eysenhardtia texana,Eysenhardtia,Fabaceae,46,0.0831758034026464,0.0434782608695652,1052.095756383483,6.959489444735932,836.4931430322212,6.730413076241491,28.618725928628,28.618725928628,,
Falcaria vulgaris,Falcaria,Apiaceae,69,0.0285654274312119,0.0144927536231884,3943.591436531552,8.28010066303249,3943.591436531552,8.28010066303249,49.67529415562299,49.67529415562299,mixed,mixed
Fritillaria pyrenaica,Fritillaria,Liliaceae,47,0.6889995473064736,0.3617021276595745,1001.5028707956104,6.910255022813143,1001.5028707956104,6.910255022813143,42.805233485663,42.805233485663,,
Galinsoga parviflora,Galinsoga,Asteraceae,64,0.35888671875,0.234375,19951.15864379859,9.901092619161192,19888.84599017927,9.897964628740077,26.006630564525,26.006630564525,mixed,mixed
Gazania rigens,Gazania,Asteraceae,71,0.0277722674072604,0.0140845070422535,19894.37012833188,9.898242326776032,19894.37012833188,9.898242326776032,-4.279398596440999,4.279398596440999,,
Gentiana acaulis,Gentiana,,71,0.2051180321364807,0.0845070422535211,2037.304764028723,7.619873743342864,2083.015885607816,7.642052025496708,45.947768278111,45.947768278111,,
Gentiana parryi,Gentiana,Gentianaceae,45,0.1649382716049382,0.0666666666666666,878.8050905385393,6.77970039491577,878.8050905385393,6.77970039491577,38.969908809584,38.969908809584,,
Geranium macrorrhizum,Geranium,Geraniaceae,45,0.5244444444444445,0.2888888888888888,10161.405699193214,9.226450474520831,10161.405699193214,9.226450474520831,47.480626262871,47.480626262871,,
Geranium molle,Geranium,Geraniaceae,52,0.6427514792899409,0.2692307692307692,20000.82923928916,9.903579010318197,19949.46775094352,9.901007868205737,32.00608308931,32.00608308931,mixed,mixed
Geranium richardsonii,Geranium,Geraniaceae,56,0.0695153061224488,0.0178571428571428,2946.66261912468,7.988767802772457,2958.647129953091,7.992825327358004,41.945461707877,41.945461707877,,
Geranium yeoi,Geranium,Geraniaceae,63,0.5840262030738221,0.4444444444444444,19155.866535175588,9.86041649614495,19152.86950858209,9.860260037308128,24.849830287081,24.849830287081,,
Geum canadense,Geum,Rosaceae,51,0.0384467512495194,0.0196078431372549,3482.5013921565187,8.15579321411313,3395.095708298328,8.130381729689688,39.950388990478,39.950388990478,,
Geum macrophyllum,Geum,Rosaceae,67,0.0855424370683894,0.044776119402985,9468.07703351879,9.155786719288754,9288.47705558911,9.13663753911359,49.665473245715,49.665473245715,,
Geum urbanum,Geum,Rosaceae,65,0.1155029585798816,0.0615384615384615,20003.954251701645,9.903735234445511,19544.5433832959,9.880502579492983,46.37323624688,46.37323624688,mixed,mixed
