species,D,second_fraction,primary_second_ge_0_10,spatial_observed_rho,log1p_span_primary,n_classifiable,genus,family
Chaenorhinum origanifolium,0.5539358600583091,0.4285714285714285,True,0.1758160885786372,7.655169206369414,49,Chaenorhinum,Plantaginaceae
Chelone lyonii,0.4723032069970845,0.2653061224489796,True,-0.0167852429932366,7.596832881256963,49,Chelone,Plantaginaceae
Chondrilla juncea,0.2355371900826446,0.1363636363636363,True,0.067130007683664,9.801470813561073,66,Chondrilla,Asteraceae
Cipura campanulata,0.1975308641975308,0.1111111111111111,True,-0.0312857425958652,8.297374726384046,54,Cipura,Iridaceae
Cistus albidus,0.6010701545778834,0.2068965517241379,True,-0.0155820012073566,7.547766977719561,58,Cistus,Cistaceae
Cistus crispus,0.17236328125,0.078125,False,0.0890074476836995,7.403995742232479,64,Cistus,Cistaceae
Clematis virginiana,0.0399833402748854,0.0204081632653061,False,0.0740854066820603,7.945889295713461,49,Clematis,Ranunculaceae
Clinopodium alpinum,0.2043431826272694,0.0943396226415094,False,0.0869153786611546,7.797580278447214,53,Clinopodium,Lamiaceae
Cneoridium dumosum,0.3064000000000001,0.14,True,-0.0049302331046611,5.947406419507938,50,Cneoridium,Rutaceae
Cochlospermum vitifolium,0.0807291666666665,0.0208333333333333,False,-0.0175116554934734,9.0610383150994,48,Cochlospermum,Bixaceae
Coleogyne ramosissima,0.0748861528082307,0.0389610389610389,False,0.0455717769245181,6.783662697153128,77,Coleogyne,Rosaceae
Coleostephus myconis,0.0,0.0,False,0.0285414187141639,9.450566157579004,79,Coleostephus,Asteraceae
Collinsia grandiflora,0.2297668038408779,0.1111111111111111,True,0.1041338947526362,6.79578816017583,54,Collinsia,Plantaginaceae
Commelina benghalensis,0.5159554017685506,0.2941176470588235,True,0.050581291305409,9.896826887623345,51,Commelina,Commelinaceae
Commelina communis,0.2078402366863906,0.0961538461538461,False,0.0808119408992423,9.762074634065586,52,Commelina,Commelinaceae
Commelina diffusa,0.4757253662740591,0.3898305084745763,True,0.0057622241010852,9.896098690270572,59,Commelina,Commelinaceae
Conoclinium betonicifolium,0.1977857008819665,0.0958904109589041,False,0.0313415117606806,7.200712646670951,73,Conoclinium,Asteraceae
Conopholis alpina,0.3106508875739644,0.1923076923076923,True,-0.0707269278925489,7.939217378024021,52,Conopholis,Orobanchaceae
Conospermum caeruleum,0.4038165589412126,0.2807017543859649,True,0.0525403987214755,5.760223085506126,57,Conospermum,Proteaceae
Convolvulus elegantissimus,0.5826397146254458,0.3793103448275862,True,-0.096929275729656,7.709658133118095,58,Convolvulus,Convolvulaceae
Cornus florida,0.2149104539775095,0.1224489795918367,True,-0.0029630222630819,7.8708695568951486,49,Cornus,Cornaceae
Cornus sanguinea,0.1499375260308204,0.0816326530612244,False,0.0186758876438733,9.193586903644334,49,Cornus,Cornaceae
Cornus suecica,0.0350765306122449,0.0178571428571428,False,-0.0898673180240173,9.204026427723129,56,Cornus,Cornaceae
Corydalis aurea,0.0281632653061223,0.0142857142857142,False,-0.018223767325758,8.59720922111039,70,Corydalis,Papaveraceae
Cotula coronopifolia,0.0240928019036288,0.0121951219512195,False,0.0141936329087276,9.902923432240334,82,Cotula,Asteraceae
Crepis biennis,0.0322493953238376,0.0163934426229508,False,-0.0074569844715287,9.066022765936278,61,Crepis,Asteraceae
Crepis sancta,0.0579193584317219,0.0298507462686567,False,-0.0614189653085001,8.299762763233131,67,Crepis,Asteraceae
Cryptantha barbigera,0.2230902777777778,0.1041666666666666,True,0.1164187716728742,6.838655911951009,48,Cryptantha,Boraginaceae
Cylindropuntia echinocarpa,0.19013128112268,0.1063829787234042,True,-0.0596031473258009,6.434293957261003,47,Cylindropuntia,Cactaceae
Cypripedium guttatum,0.3336483931947069,0.1304347826086956,True,0.0385712694685867,9.138229503935367,46,Cypripedium,Orchidaceae
Dalea candida,0.0525931336742147,0.027027027027027,False,-0.0583645627464291,8.027429067331983,74,Dalea,Fabaceae
Dampiera stricta,0.1842653420926132,0.0886075949367088,False,0.1968054690690822,7.477836013048154,79,Dampiera,Goodeniaceae
Delphinium glaucum,0.2014462809917354,0.1136363636363636,True,0.0837242966807565,8.356421040783426,44,Delphinium,Ranunculaceae
Delphinium sutherlandii,0.1067995728017088,0.0566037735849056,False,-0.0291583344536352,6.274841916472096,53,Delphinium,Ranunculaceae
Desmanthus illinoensis,0.2355371900826446,0.1363636363636363,True,0.0360665725514892,9.43996245680042,66,Desmanthus,Fabaceae
Diplacus mephiticus,0.5627162629757786,0.4117647058823529,True,0.0235571265597107,6.354001112318042,68,Diplacus,
Diplotaxis tenuifolia,0.0973044049967126,0.0512820512820512,False,-0.0376892486620117,9.898200782493818,78,Diplotaxis,Brassicaceae
Disphyma crassifolium,0.4717066545948393,0.1489361702127659,True,0.2580176479450787,9.871047439133145,47,Disphyma,Aizoaceae
Distimake aegyptius,0.0767999999999999,0.04,False,0.0105565453221302,9.8793204922701,50,Distimake,Convolvulaceae
Distimake dissectus,0.2228377962449986,0.0701754385964912,False,0.0935546841302528,9.878427424616175,57,Distimake,Convolvulaceae
Drosera spatulata,0.6803677663601947,0.3255813953488372,True,0.1573675071283231,9.149570035541828,43,Drosera,Droseraceae
Dyssodia pinnata,0.0,0.0,False,-0.0035775432334954,6.844397781830535,78,Dyssodia,Asteraceae
Echium gaditanum,0.2814776274713838,0.1129032258064516,True,0.0345909946367437,5.877610156931575,62,Echium,Boraginaceae
Echium rosulatum,0.4841580633677466,0.320754716981132,True,0.2711843434390857,7.092040138498167,53,Echium,Boraginaceae
Ehretia anacua,0.0,0.0,False,0.0217426759344006,6.937635497093264,50,Ehretia,Boraginaceae
Elephantopus carolinianus,0.1227887617065557,0.032258064516129,False,0.1104325521199217,7.751323786636931,62,Elephantopus,Asteraceae
Epacris obtusifolia,0.2141582391433669,0.1219512195121951,True,-0.0508376505108628,7.620971251821025,41,Epacris,Ericaceae
Erechtites hieraciifolius,0.4762335898596649,0.3404255319148936,True,0.0761016998743585,9.8879627986852,47,Erechtites,Asteraceae
Erigeron foliosus,0.6024,0.24,True,-0.052264305395894,7.287131118883942,50,Erigeron,Asteraceae
Erigeron linearis,0.0886965927528393,0.0465116279069767,False,0.0514398243753541,7.291741601858699,86,Erigeron,Asteraceae
Eriodictyon crassifolium,0.1680384087791495,0.0925925925925925,False,0.0328753721712507,5.860153852245376,54,Eriodictyon,Boraginaceae
Eriogonum jamesii,0.1400367309458219,0.0757575757575757,False,0.123774261306428,6.999032143331932,66,Eriogonum,Polygonaceae
Eriogonum latifolium,0.2240816326530612,0.1285714285714285,True,0.1158388134739911,6.576580196061828,70,Eriogonum,Polygonaceae
Eriogonum niveum,0.0878099173553718,0.0227272727272727,False,-0.0077143755098618,6.646069032985306,44,Eriogonum,Polygonaceae
Eriophorum vaginatum,0.345679012345679,0.2222222222222222,True,-0.0613462393888656,9.103193040896462,45,Eriophorum,Cyperaceae
Eriophyllum confertiflorum,0.0,0.0,False,0.0354920111116875,6.707087482615456,82,Eriophyllum,Asteraceae
Eryngium planum,0.2137639369473281,0.0784313725490196,False,0.1373990715167185,9.860706920256536,51,Eryngium,Apiaceae
Erythranthe dentata,0.0579193584317219,0.0298507462686567,False,0.0256816792312864,6.83394995619966,67,Erythranthe,Phrymaceae
Erythranthe erubescens,0.5698765432098767,0.2888888888888888,True,-0.0247348358469786,6.302241536805216,45,Erythranthe,Phrymaceae
Erythrina humeana,0.2921597633136095,0.1538461538461538,True,0.2639268112366662,7.09244451673833,52,Erythrina,Fabaceae
Eschscholzia minutiflora,0.0,0.0,False,0.10964140950518,7.0916824750980725,72,Eschscholzia,Papaveraceae
Euonymus obovatus,0.4997025580011898,0.4878048780487805,True,-0.0018307581925839,7.149106966512085,41,Euonymus,Celastraceae
Eupatorium altissimum,0.1943801652892562,0.109090909090909,True,0.071204409289202,7.713159363521775,55,Eupatorium,Asteraceae
Euphorbia cyparissias,0.0,0.0,False,-0.0079261445312812,9.283665299257828,85,Euphorbia,Euphorbiaceae
Eurybia divaricata,0.086776859504132,0.0454545454545454,False,0.1112547415094012,7.440681881653157,44,Eurybia,Asteraceae
Eutrochium fistulosum,0.2933454051607062,0.1276595744680851,True,0.1605967876088387,7.851440209109199,47,Eutrochium,Asteraceae
Eutrochium maculatum,0.2978723404255319,0.1063829787234042,True,-0.0093202484098883,8.550958505672208,47,Eutrochium,Asteraceae
Eysenhardtia texana,0.0831758034026464,0.0434782608695652,False,-0.0454681611943406,6.959489444735932,46,Eysenhardtia,Fabaceae
Falcaria vulgaris,0.0285654274312119,0.0144927536231884,False,0.0929859394925835,8.28010066303249,69,Falcaria,Apiaceae
Fritillaria pyrenaica,0.6889995473064736,0.3617021276595745,True,0.1345691627001458,6.910255022813143,47,Fritillaria,Liliaceae
Galinsoga parviflora,0.35888671875,0.234375,True,0.0344807306979648,9.901092619161192,64,Galinsoga,Asteraceae
Gazania rigens,0.0277722674072604,0.0140845070422535,False,0.0222827568521331,9.898242326776032,71,Gazania,Asteraceae
Gentiana acaulis,0.2051180321364807,0.0845070422535211,False,-0.0155349084726039,7.619873743342864,71,Gentiana,
Gentiana parryi,0.1649382716049382,0.0666666666666666,False,0.0528173979852356,6.77970039491577,45,Gentiana,Gentianaceae
Geranium macrorrhizum,0.5244444444444445,0.2888888888888888,True,0.0455896369405106,9.226450474520831,45,Geranium,Geraniaceae
Geranium molle,0.6427514792899409,0.2692307692307692,True,0.0164008520537438,9.903579010318197,52,Geranium,Geraniaceae
Geranium richardsonii,0.0695153061224488,0.0178571428571428,False,0.0686227988116714,7.988767802772457,56,Geranium,Geraniaceae
Geranium yeoi,0.5840262030738221,0.4444444444444444,True,0.2009128101090579,9.86041649614495,63,Geranium,Geraniaceae
Geum canadense,0.0384467512495194,0.0196078431372549,False,-0.0525975825234279,8.15579321411313,51,Geum,Rosaceae
Geum macrophyllum,0.0855424370683894,0.044776119402985,False,-0.0516212109589317,9.155786719288754,67,Geum,Rosaceae
Geum urbanum,0.1155029585798816,0.0615384615384615,False,0.0392933635487131,9.903735234445511,65,Geum,Rosaceae
Gompholobium huegelii,0.3673094582185492,0.2424242424242424,True,0.1607089443360443,7.395153687429999,66,Gompholobium,Fabaceae
Goodenia ovata,0.0525931336742147,0.027027027027027,False,0.0077298241721977,7.329123393779183,74,Goodenia,Goodeniaceae
Grevillea alpina,0.5770975056689343,0.4047619047619047,True,0.0201253024316169,6.461724795227876,42,Grevillea,Proteaceae
Grevillea lavandulacea,0.1247637051039697,0.0217391304347826,False,-0.136659665059295,6.573026196183617,46,Grevillea,Proteaceae
Guzmania monostachia,0.4404938271604938,0.2222222222222222,True,0.1033684630560048,7.986373291781087,45,Guzmania,Bromeliaceae
Hedypnois rhagadioloides,0.0322493953238376,0.0163934426229508,False,-0.0021231907415409,9.845737993035502,61,Hedypnois,Asteraceae
Helenium autumnale,0.0,0.0,False,-0.0131655921941208,9.045979395130292,81,Helenium,Asteraceae
Helianthus divaricatus,0.0677131425053862,0.0350877192982456,False,-0.0314799186814985,7.719891884845379,57,Helianthus,Asteraceae
Hepatica acutiloba,0.0333237575409364,0.0169491525423728,False,-0.097903266950566,7.642402813483986,59,Hepatica,Ranunculaceae
Hibbertia cuneiformis,0.1222684703433923,0.0483870967741935,False,-0.0220144070995887,7.805005380621406,62,Hibbertia,Dilleniaceae
Hibiscus denudatus,0.3565088757396449,0.1346153846153846,True,0.2844284808442466,7.444309602540218,52,Hibiscus,Malvaceae
Hofmeisteria fasciculata,0.1670918367346938,0.0535714285714285,False,-0.0406460045548459,6.781475020124178,56,Hofmeisteria,Asteraceae
Homogyne alpina,0.3656,0.14,True,0.1479444110433733,7.767692242154183,50,Homogyne,
Hyacinthoides non-scripta,0.1504971781779092,0.081967213114754,False,-0.0351369260146223,9.061665363771496,61,Hyacinthoides,
Hypocalymma robustum,0.2670891806247171,0.0638297872340425,False,0.0050059571884198,5.75612935290131,47,Hypocalymma,Myrtaceae
Iliamna rivularis,0.2122781065088758,0.0576923076923076,False,-0.0065454861758725,7.445863096343614,52,Iliamna,Malvaceae
Ipomoea cairica,0.5720486111111112,0.2083333333333333,True,-0.0203405021337648,9.893758600195085,48,Ipomoea,Convolvulaceae
Ipomoea pes-caprae,0.5512152777777778,0.1875,True,0.0153781863800772,9.897223954819063,48,Ipomoea,Convolvulaceae
Jacobaea adonidifolia,0.0263111111111109,0.0133333333333333,False,-0.09661370519616,6.820883184650039,75,Jacobaea,Asteraceae
Jaumea carnosa,0.051911111111111,0.0266666666666666,False,0.0524238412762079,7.838571042869718,75,Jaumea,Asteraceae
Johnstonella angustifolia,0.0,0.0,False,-0.0060987959919572,6.902314677626938,60,Johnstonella,
Lachenalia reflexa,0.0713305898491085,0.037037037037037,False,0.1022360550649051,9.075000242834284,54,Lachenalia,Asparagaceae
Lamprocapnos spectabilis,0.1550000000000001,0.0666666666666666,False,-0.1186917628962562,9.35419083576009,60,Lamprocapnos,Papaveraceae
Lantana involucrata,0.1945153061224489,0.0892857142857142,False,0.0018534462060538,7.971228934386644,56,Lantana,Verbenaceae
Lathyrus japonicus,0.5015844273426889,0.2978723404255319,True,0.074845484534774,9.344264730100846,47,Lathyrus,Fabaceae
Lathyrus palustris,0.62819750148721,0.2926829268292683,True,0.0224319771807962,9.253490246807695,41,Lathyrus,Fabaceae
Lathyrus pratensis,0.0817298155127951,0.028169014084507,False,-0.0149435513534146,9.897249711962802,71,Lathyrus,Fabaceae
Lepidium campestre,0.2076124567474049,0.1176470588235294,True,0.0272201651893142,9.29532749252444,68,Lepidium,Brassicaceae
Lepidium fremontii,0.0798611111111109,0.0416666666666666,False,0.0044866071692439,6.770027182320619,72,Lepidium,Brassicaceae
Leucaena leucocephala,0.3898375676801332,0.2653061224489796,True,0.012320682119905,9.903496525663016,49,Leucaena,Fabaceae
Leucopogon affinis,0.0596449704142012,0.0307692307692307,False,0.1164151135318843,7.332070193529695,65,Leucopogon,Ericaceae
Leucopogon microphyllus,0.028979238754325,0.0147058823529411,False,0.1222233471008293,6.891292312355327,68,Leucopogon,Ericaceae
Ligustrum obtusifolium,0.0322493953238376,0.0163934426229508,False,0.0174947568650149,9.451536812959228,61,Ligustrum,Oleaceae
Linum catharticum,0.1009541397353033,0.0350877192982456,False,-0.1064611550763557,9.901477102265554,57,Linum,Linaceae
Linum lewisii,0.5402226423020373,0.463768115942029,True,-0.0063623460956724,8.520937206895066,69,Linum,Linaceae
Lithospermum canescens,0.0,0.0,False,0.0010959210066405,7.972940244927821,79,Lithospermum,Boraginaceae
Lobelia erinus,0.26806640625,0.140625,True,0.0676692562833622,9.892873626191024,64,Lobelia,
Loeselia glandulosa,0.632396449704142,0.2884615384615384,True,0.0607935289311671,8.130861063152576,52,Loeselia,Polemoniaceae
Ludwigia peruviana,0.0,0.0,False,-0.0109731739284947,9.896850365820653,43,Ludwigia,Onagraceae
Lupinus arizonicus,0.2003780718336484,0.0652173913043478,False,0.106324153965227,6.9267224808465,46,Lupinus,Fabaceae
Lupinus havardii,0.126111111111111,0.05,False,0.0057733877402259,5.721319126564259,60,Lupinus,Fabaceae
Lupinus microcarpus,0.5667722951561793,0.1702127659574468,True,-0.0768379650449548,9.226466033216976,47,Lupinus,Fabaceae
Lysimachia loeflingii,0.14697265625,0.046875,False,0.0242062959936838,9.903024069610945,64,Lysimachia,Primulaceae
Lysimachia quadrifolia,0.059228650137741,0.0151515151515151,False,-0.0233269576595585,7.607132887705549,66,Lysimachia,Primulaceae
Malacothrix saxatilis,0.0619803476946334,0.0158730158730158,False,-0.0011854584892738,6.112668886266451,63,Malacothrix,
Malva moschata,0.481310074759701,0.2264150943396226,True,0.031157536612903,9.187877826092077,53,Malva,Malvaceae
Malva thuringiaca,0.4114149821640903,0.1896551724137931,True,-0.034995071404838,9.171405304793767,58,Malva,Malvaceae
Mazus miquelii,0.4934157484547166,0.4426229508196721,True,0.0245509090462562,9.445830092200833,61,Mazus,Mazaceae
Mecardonia procumbens,0.2688000000000001,0.16,True,0.1106805118655859,9.888427080433576,50,Mecardonia,Plantaginaceae
Medicago lupulina,0.1361058601134215,0.0579710144927536,False,-0.0039280704313845,9.903957920363954,69,Medicago,Fabaceae
Medicago marina,0.0767999999999999,0.04,False,0.0509718023109122,8.289188762443386,75,Medicago,Fabaceae
Melaleuca citrina,0.40875,0.15,True,0.0563901451336916,9.805118013763964,40,Melaleuca,Myrtaceae
Melastoma candidum,0.7071005917159763,0.3076923076923077,True,0.0555135115931408,8.905073501260658,52,Melastoma,Melastomataceae
Melastoma malabathricum,0.6329565734681737,0.3902439024390244,True,0.0039842689866729,9.47288506792605,41,Melastoma,
Melothria pendula,0.176775147928994,0.0769230769230769,False,-0.0391063933658366,9.897527530884028,52,Melothria,Cucurbitaceae
Micranthes petiolaris,0.0,0.0,False,-0.0864100130191088,6.501449933265966,49,Micranthes,Saxifragaceae
Mitchella repens,0.0399833402748854,0.0204081632653061,False,0.145742484176656,8.067520196990175,49,Mitchella,Rubiaceae
Moraea flaccida,0.3752402921953095,0.196078431372549,True,-0.0009845384145023,9.36424821351677,51,Moraea,Iridaceae
Muscari armeniacum,0.0721874999999998,0.0375,False,0.0350051360863513,9.872336766038009,80,Muscari,Asparagaceae
Muscari botryoides,0.0880473372781063,0.0461538461538461,False,-0.0020151787451162,9.341203698178225,65,Muscari,Asparagaceae
Myosotis latifolia,0.375,0.25,True,-0.0779532290817343,9.828172694625565,76,Myosotis,Boraginaceae
Myosotis laxa,0.0889940828402365,0.0307692307692307,False,-0.0703830847992308,9.899495882150404,65,Myosotis,Boraginaceae
Myosotis sparsiflora,0.0777940102264427,0.0405405405405405,False,0.1236184907163429,8.441005592001263,74,Myosotis,Boraginaceae
Myrica gale,0.3037500000000001,0.1,True,-0.0331889737845368,9.03794230055555,40,Myrica,Myricaceae
Myrtus communis,0.2102918244597906,0.1194029850746268,True,0.0150829644011537,9.281724536890795,67,Myrtus,Myrtaceae
Nama hispida,0.6057511421660844,0.2622950819672131,True,0.0652887999074655,7.606735541473425,61,Nama,Boraginaceae
Navarretia heterodoxa,0.4373964497041419,0.3230769230769231,True,0.004520258160335,4.846244864096015,65,Navarretia,Polemoniaceae
Nelumbo nucifera,0.6414277988101676,0.3953488372093023,True,-0.002593295706634,9.894673843293344,43,Nelumbo,Nelumbonaceae
Nicandra physalodes,0.5175308641975308,0.2222222222222222,True,0.0186125497724653,9.898101132511249,45,Nicandra,Solanaceae
Nicotiana longiflora,0.075355632449058,0.0392156862745098,False,0.0842893601671656,9.596213317627496,51,Nicotiana,Solanaceae
Ochna serrulata,0.4699798908359667,0.3389830508474576,True,0.0118502881268169,9.835675585386069,59,Ochna,Ochnaceae
Odontites luteus,0.0298438934802571,0.0151515151515151,False,-0.0944396881263646,8.243259654595219,66,Odontites,Orobanchaceae
Olearia lirata,0.028979238754325,0.0147058823529411,False,0.1052469570365909,6.865035183150432,68,Olearia,Asteraceae
Olsynium biflorum,0.2978723404255319,0.1063829787234042,True,0.0356598234942695,6.892482755929157,47,Olsynium,Iridaceae
Omphalodes verna,0.3668054110301768,0.2419354838709677,True,-0.042055945467454,7.878332778026518,62,Omphalodes,Boraginaceae
Oreomecon alpina,0.2927378495027211,0.1780821917808219,True,0.3602882958612977,7.6070280434459745,73,Oreomecon,Papaveraceae
Ornithopus compressus,0.1420118343195264,0.0769230769230769,False,0.0895887389772616,9.901200384018066,52,Ornithopus,
Oxalis violacea,0.6232,0.24,True,-3.6549693286776375e-05,8.119227294595788,50,Oxalis,Oxalidaceae
