review_id,canonical_name,frozen_rule_label,queue_recomputed_label,queue_rule_comparison,within_signal_in_queue_text,geographic_signal_in_queue_text,classification_source_id,queue_best_doi,queue_best_openalex_id,source_match_status,queue_review_status,queue_review_reason
JBI-019,Kadsura longipedunculata,among_population,among_population,matches_frozen_label,0,1,10.1002/bod2.12020,10.1002/bod2.12020,https://openalex.org/W4404001862,matches_queue_best_doi,unreviewed,aggregated_followup_direct_support
JBI-020,Lantana camara,within_population,within_population,matches_frozen_label,1,0,10.1007/s44372-024-00072-5,10.1007/s44372-024-00072-5,https://openalex.org/W4405656258,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-021,Leptosiphon parviflorus,within_population,within_population,matches_frozen_label,1,0,https://openalex.org/W7111452177,,https://openalex.org/W7111452177,matches_queue_best_openalex,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-022,Lotus corniculatus,among_population,among_population,matches_frozen_label,0,1,10.1111/j.1469-8137.1981.tb04098.x,10.1111/j.1469-8137.1981.tb04098.x,https://openalex.org/W2166044192,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-023,Lupinus perennis,within_population,within_population,matches_frozen_label,1,0,https://openalex.org/W3041830603,,https://openalex.org/W3041830603,matches_queue_best_openalex,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-024,Lupinus polyphyllus,within_population,within_population,matches_frozen_label,1,0,10.33338/ef.83851,10.33338/ef.83851,https://openalex.org/W2201993718,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-025,Lysimachia monelli,within_population,within_population,matches_frozen_label,1,0,10.1186/s12870-024-05481-y,10.1186/s12870-024-05481-y,https://openalex.org/W4403002573,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-026,Mimulus ringens,among_population,among_population,matches_frozen_label,0,1,10.1093/botlinnean/boad065,10.1093/botlinnean/boad065,https://openalex.org/W4393339809,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-027,Mirabilis jalapa,within_population,within_population,matches_frozen_label,1,0,10.1086/673245,10.1086/673245,https://openalex.org/W2065776166,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-028,Opuntia streptacantha,within_population,within_population,matches_frozen_label,1,0,10.5091/plecevo.112250,10.5091/plecevo.112250,https://openalex.org/W4400298785,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-029,Pedicularis comosa,among_population,among_population,matches_frozen_label,0,1,10.64898/2026.01.30.700338,10.64898/2026.01.30.700338,https://openalex.org/W7127104116,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-030,Raphanus sativus,within_population,within_population,matches_frozen_label,1,0,10.1002/j.1537-2197.1987.tb08595.x,10.1002/j.1537-2197.1987.tb08595.x,https://openalex.org/W2031071577,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-031,Rhododendron arboreum,within_population,within_population,matches_frozen_label,1,0,10.1163/22238980-bja10061,10.1163/22238980-bja10061,https://openalex.org/W4281817580,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-032,Silene littorea,within_population,within_population,matches_frozen_label,1,0,10.1111/plb.13209,10.1111/plb.13209,https://openalex.org/W3103775414,matches_queue_best_doi,unreviewed,known_positive_control
JBI-033,Solanum carolinense,within_population,unclear,differs_from_frozen_label,0,0,10.5091/plecevo.128527,10.5091/plecevo.128527,https://openalex.org/W4403078083,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-034,Stellera chamaejasme,within_population,within_population,matches_frozen_label,1,0,10.64898/2026.04.16.719044,10.64898/2026.04.16.719044,https://openalex.org/W7155106124,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
