accepted_name,family,source_id,title,year,strict_evidence_status,C_local_coexistence_documented_strict,S_spatial_segregation_documented_strict,taxon_resolution_status
Eruca sativa,Brassicaceae,10.1093/jisesa/iez038,Natural Variation in Flower Color and Scent in Populations of Eruca sativa (Brassicaceae) Affects Pollination Behavior of Honey Bees,2019.0,S_positive,0,1,resolved_unique
Erythranthe lewisii,Phrymaceae,10.1371/journal.pone.0081173,The Genetic Basis of a Rare Flower Color Polymorphism in Mimulus lewisii Provides Insight into the Repeatability of Evolution,2013.0,C_positive,1,0,resolved_unique
Gentiana leucomelaena,Gentianaceae,10.1002/ece3.2899,Pollinator preference and pollen viability mediated by flower color synergistically determine seed set in an Alpine annual herb,2017.0,C_positive,1,0,resolved_unique
Gentiana leucomelaena,Gentianaceae,10.1657/1938-4246-43.3.410,"Difference in Floral Traits, Pollination, and Reproductive Success between White and Blue Flowers ofGentiana leucomelaena(Gentianaceae) in an Alpine Meadow",2011.0,C_positive,1,0,resolved_unique
Gerbera aurantiaca,Asteraceae,10.3389/fevo.2021.676520,Geographical Variation in Flower Color in the Grassland Daisy Gerbera aurantiaca: Testing for Associations With Pollinators and Abiotic Factors,2021.0,C_and_S_positive,1,1,resolved_unique
Hepatica nobilis,Ranunculaceae,10.1007/s10265-016-0893-1,"Genetic structure of Hepatica nobilis var. japonica, focusing on within population flower color polymorphism",2016.0,C_positive,1,0,resolved_unique
Hesperis matronalis,Brassicaceae,10.1093/aob/mcag035,Random and non-random variation in flower colour along an urban–rural gradient in the introduced mustard Hesperis matronalis,2026.0,S_positive,0,1,resolved_unique
Hesperis matronalis,Brassicaceae,10.1093/aob/mcn181,The Impact of Biochemistry vs. Population Membership on Floral Scent Profiles in Colour Polymorphic Hesperis matronalis,2008.0,C_positive,1,0,resolved_unique
Hesperis matronalis,Brassicaceae,10.1101/2025.04.22.650098,Random and non-random variation in flower color along an urban-rural gradient in the introduced mustard Hesperis matronalis,2025.0,S_positive,0,1,resolved_unique
Ipomoea purpurea,Convolvulaceae,10.1093/jhered/91.6.491,Brief communication. Floral-color polymorphism in Ipomeoea purpurea: biased inheritance of the dark allele is not a general explanation for its maintenance,2000.0,C_positive,1,0,resolved_unique
Ipomoea purpurea,Convolvulaceae,10.1093/oxfordjournals.jhered.a109778,"Flower color variation in the morning glory, Ipomoea purpurea",1983.0,C_positive,1,0,resolved_unique
Iris lutescens,Iridaceae,10.1080/23818107.2020.1833750,Spatial distribution of flower colour polymorphism in Iris lutescens,2020.0,C_and_S_positive,1,1,resolved_unique
Iris lutescens,Iridaceae,10.1093/aob/mcw036,Neutral processes contribute to patterns of spatial variation for flower colour in the MediterraneanIris lutescens(Iridaceae),2016.0,S_positive,0,1,resolved_unique
Leptosiphon parviflorus,Polemoniaceae,https://openalex.org/W7114831063,Flower Color Variation and its Maintenance: Experimental Ecology of Serpentine-Adapted Leptosiphon parviflorus Benth. (Polemoniaceae),2025.0,C_positive,1,0,resolved_unique
Lilium sulphureum,Liliaceae,https://openalex.org/W2357395938,Studies on Intraspecific Differentiations of Flowering Colors of Lilium sulphureum Baker apud Hook.f.in Yunnan,2006.0,C_and_S_positive,1,1,resolved_unique
Limonium wrightii,Plumbaginaceae,10.1111/j.1095-8312.2009.01253.x,Origin of the disjunct distribution of flower colour polymorphism within Limonium wrightii (Plumbaginaceae) in the Ryukyu Archipelago,2009.0,S_positive,0,1,resolved_unique
Linanthus parryae,Polemoniaceae,10.1111/j.1558-5646.2007.00219.x,SPATIAL DIFFERENTIATION FOR FLOWER COLOR IN THE DESERT ANNUAL LINANTHUS PARRYAE: WAS WRIGHT RIGHT?,2007.0,S_positive,0,1,resolved_unique
Lysimachia arvensis,Primulaceae,10.1101/761122,Selfing Maintains Flower Colour Polymorphism in L. arvensis Despite High Inbreeding Depression,2019.0,C_positive,1,0,resolved_unique
Lysimachia arvensis,Primulaceae,10.1111/1365-2745.12151,Abiotic factors may explain the geographical distribution of flower colour morphs and the maintenance of colour polymorphism in the scarlet pimpernel,2013.0,S_positive,0,1,resolved_unique
Lysimachia arvensis,Primulaceae,10.3389/fpls.2020.563110,Reproductive Assurance Maintains Red-Flowered Plants of Lysimachia arvensis in Mediterranean Populations Despite Inbreeding Depression,2020.0,C_positive,1,0,resolved_unique
Ophrys arachnitiformis,Orchidaceae,10.1093/aob/mcp208,On the roles of colour and scent in a specialized floral mimicry system,2009.0,C_and_S_positive,1,1,resolved_unique
Orchis mascula,Orchidaceae,10.14712/23361964.2015.15,"Presence, distribution and effect of white, pink and purple morphs on pollination in the orchid Orchis mascula",2013.0,S_positive,0,1,resolved_unique
Pedicularis dasyantha,Orobanchaceae,10.1002/j.1537-2197.1996.tb13931.x,"Genetic variation in populations of the arctic perennial Pedicularis dasyantha (Scrophulariaceae), on Svalbard, Norway",1996.0,C_and_S_positive,1,1,resolved_unique
Pedicularis dasyantha,Orobanchaceae,10.2307/2446092,"Genetic Variation in Populations of the Arctic Perennial Pedicularis dasyantha (Scrophulariaceae), on Svalbard, Norway",1996.0,C_and_S_positive,1,1,resolved_unique
Platystemon californicus,Papaveraceae,10.1002/j.1537-2197.1981.tb12383.x,FLOWER COLOR POLYMORPHISM AND POLLINATION BIOLOGY OF PLATYSTEMON CALIFORNICUS BENTH. (PAPAVERACEAE),1981.0,C_and_S_positive,1,1,resolved_unique
Platystemon californicus,Papaveraceae,10.2307/2442855,Flower Color Polymorphism and Pollination Biology of Platystemon californicus Benth. (Papaveraceae),1981.0,C_and_S_positive,1,1,resolved_unique
Protea repens,Proteaceae,10.1098/rspb.2015.0583,Extrapolating from local ecological processes to genus-wide patterns in colour polymorphism in South AfricanProtea,2015.0,S_positive,0,1,resolved_unique
Raphanus sativus,Brassicaceae,10.1002/j.1537-2197.1987.tb08595.x,REPRODUCTIVE BIOLOGY OF PETAL COLOR VARIANTS IN WILD POPULATIONS OF RAPHANUS SATIVUS: I. POLLINATOR RESPONSE TO COLOR MORPHS,1987.0,C_positive,1,0,resolved_unique
Raphanus sativus,Brassicaceae,10.2307/2444019,Reproductive Biology of Petal Color Variants in Wild Populations of Raphanus sativus: I. Pollinator Response to Color Morphs,1987.0,C_positive,1,0,resolved_unique
Rhododendron arboreum,Ericaceae,10.1163/22238980-bja10061,"Altitudinal variation in flower color and attraction pattern of Rhododendron arboreum Sm. in central Himalayan Region of Uttarakhand, India",2022.0,S_positive,0,1,resolved_unique
Silene littorea,Caryophyllaceae,10.1111/plb.13209,"The effects of pollination, herbivory and autonomous selfing on the maintenance of flower colour variation inSilenelittorea",2020.0,C_positive,1,0,resolved_unique
Solanum carolinense,Solanaceae,10.5091/plecevo.128527,A field investigation into potential reproductive and resistance advantages of purple-petalled plants in polymorphic populations of horsenettle (Solanum carolinense),2024.0,C_positive,1,0,resolved_unique
Tecomella undulata,Bignoniaceae,10.1371/journal.pone.0102607,Nectar Robbing Positively Influences the Reproductive Success of Tecomella undulata (Bignoniaceae),2014.0,C_positive,1,0,resolved_unique
Trillium sessile,Melanthiaceae,10.1002/j.1537-2197.1989.tb11280.x,BIOCHEMICAL BASIS OF FLORAL COLOR POLYMORPHISM IN A HETEROCYANIC POPULATION OF TRILLIUM SESSILE (LILIACEAE),1989.0,C_positive,1,0,resolved_unique
Trillium sessile,Melanthiaceae,10.1111/j.1442-1984.1987.tb00033.x,Genetic Structure in a Heterocyanic Population of Trillium sessile (Liliaceae),1987.0,C_positive,1,0,resolved_unique
Trillium sessile,Melanthiaceae,10.2307/2444769,Biochemical Basis of Floral Color Polymorphism in a Heterocyanic Population of Trillium sessile (Liliaceae),1989.0,C_positive,1,0,resolved_unique
Viola diversifolia,Violaceae,10.1080/01811789.1990.10827015,Polymorphisme morphologique chez le pollen et la fleur deViola diversifolia(Gingins) Becker,1990.0,C_and_S_positive,1,1,resolved_unique
