match_level,min_cells,metric,n_strata,n_rows,estimate,odds_ratio,ci_low,ci_high,p_value,effort_or
all,50,temperature_breadth,42,127,-0.0316495766319159,0.968846028889275,0.6028169020185276,1.557127254646334,0.8959861227405098,2.900368494185721
all,50,moisture_breadth,42,127,0.1128704551008999,1.119486899737162,0.6116742094783103,2.0488863176886367,0.7143624382579346,2.8035666243505823
same_genus,10,pca_dispersion,57,220,-0.0975447136682235,0.9070617825894336,0.5783351047671356,1.422637274916248,0.6709826879731999,4.691783789426573
same_genus,10,climatic_heterogeneity,57,220,-0.0354418616119173,0.9651788465411943,0.6096966142219974,1.5279241906227732,0.879799474008534,4.59246731030755
same_genus,10,pca_hull_area,57,220,0.1687457102457591,1.1838190675861513,0.6417532837321842,2.1837482102629755,0.5890899179089629,4.028499295610329
same_genus,10,temperature_breadth,57,220,-0.2157044588848166,0.8059734649748987,0.515745059315576,1.2595238955961936,0.3436434015804049,4.884259853984182
same_genus,10,moisture_breadth,57,220,-0.0425138397331445,0.9583772017444396,0.5919945474949795,1.551512365629164,0.8626777294737455,4.604304356460955
same_genus,20,pca_dispersion,54,188,-0.0799810432277625,0.9231338458588292,0.5978896274199331,1.4253067092792682,0.7181801786439997,3.2761451285310548
same_genus,20,climatic_heterogeneity,54,188,-0.018764559709415,0.981410398593534,0.6312899112739385,1.5257116473219987,0.9335701545901884,3.213001323414568
same_genus,20,pca_hull_area,54,188,0.1688058338723534,1.1838902452214335,0.6662073432387644,2.103843686136229,0.5649957837080406,2.8853685951574817
same_genus,20,temperature_breadth,54,188,-0.1866127109605938,0.8297650330666356,0.5485172974735123,1.2552202332932312,0.376897613817939,3.3809869689887915
same_genus,20,moisture_breadth,54,188,-0.0433606601390188,0.9575659719049469,0.5920820669042386,1.548657934101164,0.8596837170193656,3.2396933175390616
same_genus,30,pca_dispersion,48,158,-0.010363421003035,0.9896900942179424,0.609487024541345,1.6070669975791672,0.966578592310145,3.64146364977701
same_genus,30,climatic_heterogeneity,48,158,0.0673538449617019,1.0696739099412615,0.6480501340115216,1.765607649096919,0.7922260597355212,3.55102845250549
same_genus,30,pca_hull_area,48,158,0.4181598890297611,1.5191635525714142,0.7907758557053025,2.9184728931853816,0.2093742169778853,2.998096549307218
same_genus,30,temperature_breadth,48,158,-0.1665736488078107,0.8465604664703539,0.536039577348062,1.336962145474489,0.4749577021664936,3.8128559472993664
same_genus,30,moisture_breadth,48,158,0.0948649730343999,1.0995103815518936,0.640314260574172,1.8880152349821877,0.73092350018038,3.5404126385591965
same_genus,50,pca_dispersion,40,123,-0.0425987965023603,0.9582957845722082,0.5406613834058156,1.6985322771602005,0.8840219856551403,3.425618487328202
same_genus,50,climatic_heterogeneity,40,123,0.0459477081798929,1.047019658961754,0.572443656353485,1.9150359237721224,0.8814342631736319,3.320709127240268
same_genus,50,pca_hull_area,40,123,0.5510652512397775,1.7351003515560874,0.8348989930957046,3.605913116276757,0.1398119680534479,2.7106296007686246
same_genus,50,temperature_breadth,40,123,-0.213480191307738,0.8077681608230028,0.4746190946533908,1.3747643299431147,0.4313739139536501,3.608365957445829
same_genus,50,moisture_breadth,40,123,0.134873894938759,1.144392461570139,0.5983418851557429,2.188772236390699,0.6835301326212483,3.2529075432479466
