min_cells,metric,n_species,n_families,n_within,n_among,estimate,std_error_clustered,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value_clustered,effort_estimate,effort_odds_ratio,converged,iterations,predicted_probability_min,predicted_probability_max,status,analysis_reason,model_formula,estimator,covariance,ci_method,statsmodels_version
30,pca_dispersion,50,29,33,17,-0.3034523307106452,0.3426994639326384,0.7382650808647699,0.3771383133072533,1.44518684629166,0.3758996747908186,-0.4179366915825854,0.6584039096149654,True,4,0.1425760791210117,0.6468425847757169,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
30,climatic_heterogeneity,50,29,33,17,-0.2604556001015432,0.3260709638589743,0.7707003746347764,0.4067507498922545,1.4603023291770831,0.4244239733833078,-0.4110732461885669,0.6629383721133384,True,4,0.1587209736477857,0.6512136877319588,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
30,pca_hull_area,50,29,33,17,-0.3980645291770659,0.2399527837583746,0.6716186872624735,0.4196341640128384,1.0749164385633003,0.0971301861611248,-0.3276901111158717,0.7205862867898521,True,4,0.1064666392616918,0.6453343012607957,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
30,temperature_breadth,50,29,33,17,-0.1901612434727293,0.2950879738647016,0.8268258029304667,0.4636924952325804,1.474341110586032,0.5193016878608971,-0.4615153899372923,0.6303277290989314,True,4,0.1918972393100684,0.6742594290353549,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
30,moisture_breadth,50,29,33,17,-0.5660984030667514,0.3263563267417554,0.5677362009640412,0.2994652773677849,1.0763331118659984,0.0828112891640184,-0.3731582461666373,0.6885562628330325,True,4,0.0782452336432995,0.6686055613534048,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
50,pca_dispersion,48,28,33,15,-0.3288670829281173,0.3557752978587917,0.7197386759468918,0.3583709461018635,1.4454959792040218,0.3552950679135332,-0.1441803091152639,0.8657316346801901,True,4,0.1525693658246347,0.4784459633203106,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
50,climatic_heterogeneity,48,28,33,15,-0.3071906443144468,0.3386202014861745,0.7355103666706256,0.3787472286703345,1.4283286015825314,0.3643097914745077,-0.1262009569682665,0.8814376979368714,True,4,0.1640000301590543,0.4838892027042443,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
50,pca_hull_area,48,28,33,15,-0.4519877913423488,0.2410329568361373,0.6363619388027151,0.3967644946668284,1.0206470654507558,0.0607636219761256,-0.0417696904265901,0.9590906428949812,True,4,0.1063639838755668,0.4562633556870162,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
50,temperature_breadth,48,28,33,15,-0.2076625380783326,0.3084719685812948,0.8124811719118337,0.4438504504947245,1.487270439796642,0.500821692698902,-0.1924052701406648,0.8249724640276461,True,4,0.2089220071773532,0.4658437408594711,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
50,moisture_breadth,48,28,33,15,-0.5532164663519908,0.3165572761105928,0.5750970519934486,0.309230375673593,1.0695476422428276,0.0805327840461882,-0.1247119780053469,0.8827511177107694,True,4,0.0904250023024181,0.5111732855333717,complete,,among ~ metric_z + effort_z,statsmodels GLM Binomial(logit),family-clustered sandwich,Wald 95% CI from family-clustered sandwich standard errors,0.14.6
