species,D,D_min4,D_max4,D_interval_width,ambiguous_palette_rate,technical_failure_rate
Caladenia carnea,0.5754132231404958,0.532,0.6472,0.1151999999999999,0.06,0.5
Calochortus bruneaunis,0.2621878715814505,0.2621878715814505,0.2621878715814505,0.0,0.0,0.42
Calochortus splendens,0.5848800362154822,0.5083234244946493,0.6777645659928655,0.1694411414982162,0.11,0.42
Calopogon barbatus,0.5649382716049383,0.4927777777777777,0.7094444444444444,0.2166666666666666,0.15,0.4
Calotropis procera,0.2256515775034293,0.2154509079716837,0.3034779932286857,0.0880270852570019,0.03,0.43
Calycoseris wrightii,0.0917107583774251,0.0917107583774251,0.0917107583774251,0.0,0.0,0.36
Calystegia macrostegia,0.1420118343195264,0.1400367309458219,0.1675849403122131,0.0275482093663912,0.01,0.34
Calystegia spithamaea,0.1238185255198487,0.1238185255198487,0.1238185255198487,0.0,0.0,0.54
Campanula giesekiana,0.129855507599925,0.1234609546297859,0.2155506830831506,0.0920897284533647,0.04,0.23
Canna flaccida,0.1371742112482852,0.1348760330578513,0.1679338842975207,0.0330578512396694,0.01,0.45
Cardamine douglassii,0.0322493953238376,0.0322493953238376,0.0322493953238376,0.0,0.0,0.39
Cardamine flexuosa,0.0363511659807955,0.0357024793388429,0.0707438016528925,0.0350413223140495,0.01,0.45
Carduus acanthoides,0.333243751679656,0.2770083102493076,0.5422437673130194,0.2652354570637117,0.15,0.24
Carpobrotus edulis,0.5772641762966945,0.5714285714285714,0.6026706979087932,0.0312421264802218,0.02,0.37
Ceanothus fendleri,0.1011080332409972,0.0986193293885601,0.1459566074950687,0.0473372781065086,0.02,0.22
Centaurea scabiosa,0.6802721088435375,0.5774754346182918,0.7498110355253212,0.1723356009070294,0.21,0.37
Centaurea solstitialis,0.04875,0.04875,0.04875,0.0,0.0,0.2
Centratherum punctatum,0.5207939508506616,0.4251545283525934,0.6718624025799516,0.2467078742273581,0.15,0.38
Cerastium holosteoides,0.1348760330578513,0.1305016928285627,0.1939058171745152,0.0634041243459525,0.02,0.43
Chamaenerion latifolium,0.4765625,0.415576694411415,0.6129607609988109,0.1973840665873959,0.1,0.42
Chrysosplenium alternifolium,0.1014030612244898,0.1014030612244898,0.1014030612244898,0.0,0.0,0.44
Cicendia quadrangularis,0.0758310249307478,0.0758310249307478,0.0758310249307478,0.0,0.0,0.24
Cicerbita alpina,0.5105462412114656,0.4274633725940822,0.6946279804653834,0.2671646078713012,0.16,0.41
Circaea canadensis,0.1687398593834506,0.1652892561983472,0.2055785123966942,0.040289256198347,0.01,0.56
Cirsium occidentale,0.5453898184407263,0.528162511542013,0.6020313942751616,0.0738688827331486,0.04,0.43
Cirsium undulatum,0.4822485207100592,0.4071005917159764,0.6267455621301774,0.2196449704142009,0.13,0.34
Claytonia caroliniana,0.0281632653061223,0.0270219553387127,0.1054606868080314,0.0784387314693186,0.03,0.27
Cleomella lutea,0.0,0.0,0.078889700511322,0.078889700511322,0.03,0.26
Clinopodium gracile,0.3168854685378,0.3065389421074551,0.3698458975426906,0.0633069554352354,0.02,0.51
Clinopodium vulgare,0.6454081632653061,0.6038484427692918,0.7355683396151558,0.1317198968458639,0.15,0.29
Cochemiea grahamii,0.2598347107438017,0.2067050188454671,0.523705613965483,0.3170005951200159,0.16,0.29
Collinsia tinctoria,0.240702479338843,0.2315689981096409,0.3034026465028356,0.0718336483931947,0.02,0.54
Conradina canescens,0.0281632653061223,0.0277722674072604,0.0551477881372742,0.0273755207300138,0.01,0.29
Convolvulus angustissimus,0.5405917159763314,0.5020444444444445,0.6371555555555555,0.1351111111111109,0.1,0.25
Corethrogyne filaginifolia,0.5070153061224489,0.4218407596785976,0.6738495252008765,0.2520087655222789,0.18,0.26
Cornus mas,0.0876951331496784,0.0852076124567473,0.1397058823529411,0.0544982698961937,0.02,0.32
Cornus unalaschkensis,0.0665873959571936,0.0665873959571936,0.0665873959571936,0.0,0.0,0.42
Corydalis flavula,0.0370238519045924,0.0370238519045924,0.0370238519045924,0.0,0.0,0.47
Cosmos sulphureus,0.0363511659807955,0.0363511659807955,0.0363511659807955,0.0,0.0,0.46
Crepis vesicaria,0.0532933008069056,0.0512465373961217,0.1256925207756231,0.0744459833795013,0.03,0.24
Cunila origanoides,0.2265625,0.1849999999999998,0.4800000000000001,0.2950000000000002,0.12,0.4
Cyclospermum leptophyllum,0.3140987507436049,0.3140987507436049,0.3140987507436049,0.0,0.0,0.59
Cydonia oblonga,0.0338882282996433,0.0338882282996433,0.0338882282996433,0.0,0.0,0.42
Cymbalaria muralis,0.2888047593293672,0.2621527777777778,0.4166666666666667,0.1545138888888889,0.05,0.52
