species,D,second_fraction,spatial_rho,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Myosotis laxa,0.0889940828402365,0.0307692307692307,-0.0703830847992308,False,False,discovery
Myosotis sparsiflora,0.0777940102264427,0.0405405405405405,0.1236184907163429,False,False,discovery
Myrica gale,0.3037500000000001,0.1,-0.0331889737845368,True,False,discovery
Myrtus communis,0.2102918244597906,0.1194029850746268,0.0150829644011537,True,False,discovery
Nama hispida,0.6057511421660844,0.2622950819672131,0.0652887999074655,True,True,discovery
Navarretia heterodoxa,0.4373964497041419,0.3230769230769231,0.004520258160335,True,True,discovery
Nelumbo nucifera,0.6414277988101676,0.3953488372093023,-0.002593295706634,True,True,discovery
Nicandra physalodes,0.5175308641975308,0.2222222222222222,0.0186125497724653,True,True,discovery
Nicotiana longiflora,0.075355632449058,0.0392156862745098,0.0842893601671656,False,False,discovery
Ochna serrulata,0.4699798908359667,0.3389830508474576,0.0118502881268169,True,True,discovery
Odontites luteus,0.0298438934802571,0.0151515151515151,-0.0944396881263646,False,False,discovery
Olearia lirata,0.028979238754325,0.0147058823529411,0.1052469570365909,False,False,discovery
Olsynium biflorum,0.2978723404255319,0.1063829787234042,0.0356598234942695,True,False,discovery
Omphalodes verna,0.3668054110301768,0.2419354838709677,-0.042055945467454,True,True,discovery
Oreomecon alpina,0.2927378495027211,0.1780821917808219,0.3602882958612977,True,False,discovery
Ornithopus compressus,0.1420118343195264,0.0769230769230769,0.0895887389772616,False,False,discovery
Oxalis violacea,0.6232,0.24,-3.6549693286776375e-05,True,True,discovery
Oxytropis campestris,0.4612345679012345,0.1555555555555555,0.0809348233126851,True,False,discovery
Papaver dubium,0.5619834710743802,0.3636363636363636,-0.0844049854192041,True,True,discovery
Parthenium confertum,0.0240928019036288,0.0121951219512195,-0.0420626241610061,False,False,discovery
Passiflora mixta,0.3367043426531826,0.0975609756097561,0.2756552539090194,False,False,discovery
Pectis multiseta,0.0,0.0,0.0222132281357455,False,False,discovery
Pectis papposa,0.0,0.0,0.0286546876292991,False,False,discovery
