species,D,second_fraction,spatial_rho,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Solanum furcatum,0.2543402777777778,0.125,-0.0590587607223899,True,False,discovery
Solanum laxum,0.1918402777777776,0.0625,0.0400373308578754,False,False,discovery
Solanum lycopersicum,0.5094517958412098,0.2391304347826087,0.0117993589778973,True,True,discovery
Solanum pseudocapsicum,0.5102880658436215,0.3703703703703703,-0.0015988222381482,True,True,discovery
Solidago ptarmicoides,0.1199868507560815,0.0641025641025641,-0.0371859887965883,False,False,discovery
Solidago uliginosa,0.1472,0.08,-0.1338028420016451,False,False,discovery
Solidago virgaurea,0.0,0.0,0.0212959644820728,False,False,discovery
Sparaxis tricolor,0.5776627218934911,0.4038461538461538,0.0039721652610095,True,True,discovery
Sphaeralcea ambigua,0.3224852071005917,0.1538461538461538,-0.0006451690522726,True,False,discovery
Sphaeralcea coccinea,0.193290243151739,0.0701754385964912,0.0179266493308134,False,False,discovery
Stachys palustris,0.6479177934018389,0.3023255813953488,-0.0523727460929735,True,True,discovery
Stevia serrata,0.0575259515570933,0.0147058823529411,-0.0138859779924663,False,False,discovery
Streptosolen jamesonii,0.0649999999999999,0.0166666666666666,0.0998456430463405,False,False,discovery
Stypandra glauca,0.2505386272699291,0.087719298245614,0.1022454112090192,False,False,discovery
Symphyotrichum puniceum,0.2325702393340271,0.0806451612903225,0.0815629107759517,False,False,discovery
Symphyotrichum subulatum,0.1379757785467126,0.0588235294117647,0.0399482152700162,False,False,discovery
Symphytum officinale,0.5189035916824196,0.217391304347826,-0.1293093518810447,True,True,discovery
Symplocos tinctoria,0.5175308641975309,0.4444444444444444,0.0118079784580821,True,True,discovery
Talinum fruticosum,0.3541666666666666,0.125,-0.0460709416730052,True,False,discovery
Talinum paniculatum,0.422716049382716,0.2666666666666666,0.0189261091033258,True,True,discovery
Tanacetum vulgare,0.0232525951557092,0.0117647058823529,0.000273428332664,False,False,discovery
Taraxacum erythrospermum,0.231111111111111,0.1333333333333333,-0.0122319610888144,True,False,discovery
Telekia speciosa,0.0317377731529655,0.0161290322580645,0.0395969334148915,False,False,discovery
Tetratheca thymifolia,0.5590277777777778,0.375,-0.046666716442036,True,True,discovery
Thysanocarpus curvipes,0.2585463947141626,0.1525423728813559,0.059064592608862,True,False,discovery
Tiarella stolonifera,0.1049382716049383,0.0555555555555555,0.0366795247184194,False,False,discovery
Tinantia erecta,0.5659259259259259,0.2444444444444444,0.060721367448749,True,True,discovery
Tithonia tubaeformis,0.0807291666666665,0.0208333333333333,-0.1678802714252981,False,False,discovery
Trachymene composita,0.1244444444444443,0.0666666666666666,0.1073698335209008,False,False,discovery
Tragopogon porrifolius,0.7076446280991735,0.2727272727272727,-0.0295858635454725,True,True,discovery
Trifolium incarnatum,0.2714497041420118,0.0961538461538461,-0.0099739698855142,False,False,discovery
Trifolium repens,0.0798611111111109,0.0416666666666666,0.0150045759691234,False,False,discovery
Tripolium pannonicum,0.1604081632653061,0.0428571428571428,0.0401695772780345,False,False,discovery
Triteleia laxa,0.2956194571351787,0.180327868852459,0.2121504166093951,True,False,discovery
Trixis inula,0.0,0.0,0.083535316072448,False,False,discovery
Trollius albiflorus,0.2003121748178979,0.1129032258064516,0.0225632822228692,True,False,discovery
Turnera subulata,0.3394444444444444,0.2166666666666666,0.0528958936701699,True,True,discovery
Verbascum thapsus,0.2921597633136095,0.1538461538461538,-0.0189245719867226,True,False,discovery
Verbena rigida,0.52978515625,0.484375,-0.0254310943533199,True,True,discovery
Veronica cymbalaria,0.2921597633136095,0.1538461538461538,0.0120799547171354,True,False,discovery
Veronica longifolia,0.4694429421308814,0.3255813953488372,0.0068938034192352,True,True,discovery
Veronica officinalis,0.086776859504132,0.0454545454545454,-0.0121922414438455,False,False,discovery
Veronica polita,0.5423553719008264,0.3636363636363636,0.0726572151684501,True,True,discovery
Veronica prostrata,0.3918183524113342,0.2465753424657534,0.0291570141489858,True,True,discovery
Veronica spicata,0.3867743175701653,0.1568627450980392,0.2306796593727918,True,False,discovery
Vicia lathyroides,0.5975056689342404,0.238095238095238,0.0321374754628291,True,True,discovery
Viminaria juncea,0.0363511659807955,0.0185185185185185,0.058078839444247,False,False,discovery
Vincetoxicum hirundinaria,0.297086368366285,0.1612903225806451,0.0293800989101863,True,False,discovery
Viola blanda,0.0767999999999999,0.04,-0.0625741112163584,False,False,discovery
Viola cucullata,0.3394444444444444,0.2166666666666666,0.0315043032028801,True,True,discovery
Viola hirta,0.1675739644970415,0.0923076923076923,0.076476010774425,False,False,discovery
Viola lutea,0.5776631620710176,0.3943661971830985,0.2739351542932551,True,True,discovery
Viola mirabilis,0.4886621315192743,0.3095238095238095,-0.0341104698634378,True,True,discovery
Viola pedunculata,0.0,0.0,0.0072818804502398,False,False,discovery
Viola rostrata,0.3349932095971026,0.2127659574468085,0.0907887484660548,True,True,discovery
Viola tricolor,0.5328925619834712,0.4545454545454545,0.0295767292262886,True,True,discovery
Viscaria vulgaris,0.3166666666666667,0.1166666666666666,0.0295369457478872,True,False,discovery
Vitex agnus-castus,0.4260355029585799,0.3076923076923077,0.04715497134397,True,True,discovery
Whipplea modesta,0.0317377731529655,0.0161290322580645,-0.0583838617672301,False,False,discovery
Wyethia angustifolia,0.11865234375,0.046875,0.1363766322603012,False,False,discovery
Zanthoxylum americanum,0.1913265306122449,0.1071428571428571,-0.0407358303597929,True,False,discovery
Zephyranthes atamasco,0.3271999999999999,0.18,0.0088990767595782,True,False,discovery
