species,D,second_fraction,n_classifiable,second_ge_0_10,second_ge_0_20
Lathyrus japonicus,0.5015844273426889,0.2978723404255319,47,True,True
Lathyrus palustris,0.62819750148721,0.2926829268292683,41,True,True
Lathyrus pratensis,0.0817298155127951,0.028169014084507,71,False,False
Lepidium campestre,0.2076124567474049,0.1176470588235294,68,True,False
Lepidium fremontii,0.0798611111111109,0.0416666666666666,72,False,False
Leucaena leucocephala,0.3898375676801332,0.2653061224489796,49,True,True
Leucopogon affinis,0.0596449704142012,0.0307692307692307,65,False,False
Leucopogon microphyllus,0.028979238754325,0.0147058823529411,68,False,False
Ligustrum obtusifolium,0.0322493953238376,0.0163934426229508,61,False,False
Linum catharticum,0.1009541397353033,0.0350877192982456,57,False,False
Linum lewisii,0.5402226423020373,0.463768115942029,69,True,True
Lithospermum canescens,0.0,0.0,79,False,False
Lobelia erinus,0.26806640625,0.140625,64,True,False
Loeselia glandulosa,0.632396449704142,0.2884615384615384,52,True,True
Ludwigia peruviana,0.0,0.0,43,False,False
Lupinus arizonicus,0.2003780718336484,0.0652173913043478,46,False,False
Lupinus havardii,0.126111111111111,0.05,60,False,False
Lupinus microcarpus,0.5667722951561793,0.1702127659574468,47,True,False
Lysimachia loeflingii,0.14697265625,0.046875,64,False,False
Lysimachia quadrifolia,0.059228650137741,0.0151515151515151,66,False,False
Malacothrix saxatilis,0.0619803476946334,0.0158730158730158,63,False,False
Malva moschata,0.481310074759701,0.2264150943396226,53,True,True
Malva thuringiaca,0.4114149821640903,0.1896551724137931,58,True,False
Mazus miquelii,0.4934157484547166,0.4426229508196721,61,True,True
Mecardonia procumbens,0.2688000000000001,0.16,50,True,False
Medicago lupulina,0.1361058601134215,0.0579710144927536,69,False,False
Medicago marina,0.0767999999999999,0.04,75,False,False
Melaleuca citrina,0.40875,0.15,40,True,False
Melastoma candidum,0.7071005917159763,0.3076923076923077,52,True,True
Melastoma malabathricum,0.6329565734681737,0.3902439024390244,41,True,True
Melothria pendula,0.176775147928994,0.0769230769230769,52,False,False
Micranthes petiolaris,0.0,0.0,49,False,False
Mitchella repens,0.0399833402748854,0.0204081632653061,49,False,False
Moraea flaccida,0.3752402921953095,0.196078431372549,51,True,False
Muscari armeniacum,0.0721874999999998,0.0375,80,False,False
Muscari botryoides,0.0880473372781063,0.0461538461538461,65,False,False
Myosotis latifolia,0.375,0.25,76,True,True
Myosotis laxa,0.0889940828402365,0.0307692307692307,65,False,False
Myosotis sparsiflora,0.0777940102264427,0.0405405405405405,74,False,False
Myrica gale,0.3037500000000001,0.1,40,True,False
Myrtus communis,0.2102918244597906,0.1194029850746268,67,True,False
Nama hispida,0.6057511421660844,0.2622950819672131,61,True,True
Navarretia heterodoxa,0.4373964497041419,0.3230769230769231,65,True,True
Nelumbo nucifera,0.6414277988101676,0.3953488372093023,43,True,True
Nicandra physalodes,0.5175308641975308,0.2222222222222222,45,True,True
Nicotiana longiflora,0.075355632449058,0.0392156862745098,51,False,False
Ochna serrulata,0.4699798908359667,0.3389830508474576,59,True,True
Odontites luteus,0.0298438934802571,0.0151515151515151,66,False,False
Olearia lirata,0.028979238754325,0.0147058823529411,68,False,False
Olsynium biflorum,0.2978723404255319,0.1063829787234042,47,True,False
Omphalodes verna,0.3668054110301768,0.2419354838709677,62,True,True
Oreomecon alpina,0.2927378495027211,0.1780821917808219,73,True,False
Ornithopus compressus,0.1420118343195264,0.0769230769230769,52,False,False
Oxalis violacea,0.6232,0.24,50,True,True
Oxytropis campestris,0.4612345679012345,0.1555555555555555,45,True,False
Papaver dubium,0.5619834710743802,0.3636363636363636,44,True,True
Parthenium confertum,0.0240928019036288,0.0121951219512195,82,False,False
Passiflora mixta,0.3367043426531826,0.0975609756097561,41,False,False
Pectis multiseta,0.0,0.0,82,False,False
Pectis papposa,0.0,0.0,79,False,False
Penstemon speciosus,0.0327777777777777,0.0166666666666666,60,False,False
Pentanema squarrosum,0.0464852607709751,0.0238095238095238,42,False,False
Persicaria nepalensis,0.2918570276807309,0.0655737704918032,61,False,False
Persicaria pensylvanica,0.1315586419753086,0.0416666666666666,72,False,False
Phlomoides tuberosa,0.3764172335600906,0.1111111111111111,63,True,False
Phlox diffusa,0.2287968441814595,0.1025641025641025,78,True,False
Phlox longifolia,0.4784764927593732,0.2394366197183098,71,True,True
Phlox roemeriana,0.3335852859662385,0.1904761904761904,63,True,False
Pimelea serpyllifolia,0.3061587753648984,0.1886792452830188,53,True,False
Pinguicula vulgaris,0.2576530612244898,0.0714285714285714,56,False,False
Piqueria trinervia,0.0285654274312119,0.0144927536231884,69,False,False
Pittosporum revolutum,0.1356335514574658,0.073170731707317,41,False,False
Plantago media,0.1420118343195264,0.0769230769230769,52,False,False
Polycalymma stuartii,0.3168282548476453,0.1973684210526315,76,True,False
Polygala comosa,0.3796646836127636,0.1627906976744186,43,True,False
Portulaca suffrutescens,0.2473246135552913,0.0689655172413793,58,False,False
Potentilla concinna,0.0478881618084474,0.0121951219512195,82,False,False
Potentilla indica,0.339753086419753,0.1333333333333333,45,True,False
Potentilla simplex,0.051911111111111,0.0266666666666666,75,False,False
Primula elatior,0.4851367419738407,0.4137931034482758,58,True,True
Prunus mahaleb,0.0739644970414201,0.0384615384615384,52,False,False
Pseudo-fumaria lutea,0.028979238754325,0.0147058823529411,68,False,False
Pseudognaphalium affine,0.070493753718025,0.0365853658536585,82,False,False
Pulmonaria obscura,0.4092349479402445,0.1702127659574468,47,True,False
Pultenaea villosa,0.0302958579881655,0.0153846153846153,65,False,False
Purshia stansburyana,0.3298611111111111,0.2083333333333333,48,True,True
Pycnanthemum virginianum,0.0459515570934256,0.0235294117647058,85,False,False
Pyrola elliptica,0.0,0.0,44,False,False
Ranunculus kuepferi,0.0730652139080274,0.0379746835443038,79,False,False
Ranunculus lyallii,0.0820408163265304,0.0428571428571428,70,False,False
Ranunculus trichophyllus,0.0777940102264427,0.0405405405405405,74,False,False
Ranunculus uncinatus,0.2675619834710743,0.1590909090909091,44,True,False
Rhododendron canadense,0.345679012345679,0.2222222222222222,45,True,True
Rhododendron catawbiense,0.4765625,0.1875,48,True,False
Rhododendron pseudochrysanthum,0.2112,0.12,50,True,False
Rhododendron tomentosum,0.0322493953238376,0.0163934426229508,61,False,False
Rhynchospora colorata,0.1107266435986158,0.0588235294117647,51,False,False
Rorippa palustris,0.1461325270849081,0.0793650793650793,63,False,False
Rosa blanda,0.6135999999999999,0.38,50,True,True
Rosa multiflora,0.0547510414600276,0.028169014084507,71,False,False
Rubus chamaemorus,0.1575505350772887,0.0862068965517241,58,False,False
Rubus odoratus,0.4919999999999999,0.16,50,True,False
Rubus trivialis,0.0,0.0,61,False,False
Rudbeckia triloba,0.0263111111111109,0.0133333333333333,75,False,False
Sagittaria lancifolia,0.0965239873599539,0.0508474576271186,59,False,False
Sagittaria latifolia,0.0570934256055364,0.0294117647058823,68,False,False
Sairocarpus pusillus,0.2520281233098973,0.0697674418604651,43,False,False
Salvia amarissima,0.4789670970428987,0.3469387755102041,49,True,True
Salvia hispanica,0.5020155872077399,0.3278688524590163,61,True,True
Salvia lavanduloides,0.501584427342689,0.3404255319148936,47,True,True
Salvia polystachia,0.505137912385073,0.3953488372093023,43,True,True
Salvia prunelloides,0.1866319444444444,0.1041666666666666,48,True,False
Salvia verticillata,0.6064049586776861,0.3181818181818182,44,True,True
Sambucus mexicana,0.3402646502835538,0.217391304347826,46,True,True
Sanguinaria canadensis,0.2076124567474049,0.1176470588235294,68,True,False
Satureja montana,0.0961111111111111,0.0333333333333333,60,False,False
Saxifraga granulata,0.0285654274312119,0.0144927536231884,69,False,False
Saxifraga tridactylites,0.3173076923076923,0.173076923076923,52,True,False
Scilla bifolia,0.3152633602460591,0.196078431372549,51,True,False
Scilla luciliae,0.4481470841712152,0.3389830508474576,59,True,True
