individual_id,population_id,species,site_id,latitude,longitude,metabolic_rate_joule_day
TRAIND026547,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.16
TRAIND026548,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.02
TRAIND026549,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.12
TRAIND026550,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.94
TRAIND026551,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.52
TRAIND026552,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.58
TRAIND026553,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.15
TRAIND026554,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.59
TRAIND026555,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.23
TRAIND026556,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.75
TRAIND026557,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.12
TRAIND026558,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.84
TRAIND026559,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.98
TRAIND026560,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.55
TRAIND026561,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.12
TRAIND026562,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.53
TRAIND026563,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.55
TRAIND026564,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.01
TRAIND026565,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.56
TRAIND026566,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.22
TRAIND026567,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.23
TRAIND026568,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.06
TRAIND026569,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.47
TRAIND026570,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.73
TRAIND026571,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.78
TRAIND026572,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,5.28
TRAIND026573,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.71
TRAIND026574,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,5.88
TRAIND026575,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.25
TRAIND026576,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.05
TRAIND026577,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.65
TRAIND026578,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.28
TRAIND026579,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.17
TRAIND026580,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.85
TRAIND026581,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,5.86
TRAIND026582,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.62
TRAIND026583,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.02
TRAIND026584,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.68
TRAIND026585,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.75
TRAIND026586,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.06
TRAIND026587,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.19
TRAIND026588,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.04
TRAIND026589,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.74
TRAIND026590,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.42
TRAIND026591,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.54
TRAIND026592,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.25
TRAIND026593,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.61
TRAIND026594,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.42
TRAIND026595,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,6.65
TRAIND026596,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,7.06
TRAIND026597,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,7.42
TRAIND026598,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,6.88
TRAIND026599,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,5.09
TRAIND026600,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,5.85
TRAIND026601,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.38
TRAIND026602,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.52
TRAIND026603,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,1.83
TRAIND026604,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.83
TRAIND026605,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.11
TRAIND026606,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.76
TRAIND026607,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.88
TRAIND026608,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,5.2
TRAIND026609,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.01
TRAIND026610,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.61
TRAIND026611,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.33
TRAIND026612,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.84
TRAIND026613,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.93
TRAIND026614,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.11
TRAIND026615,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,2.91
TRAIND026616,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,4.34
TRAIND026617,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.24
TRAIND026618,TRAPOP076,Gammarus_insensibilis,TRASIT067,45.763,13.498,3.52
TRAIND026619,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.58
TRAIND026620,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.49
TRAIND026621,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.88
TRAIND026622,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.58
TRAIND026623,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.88
TRAIND026624,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.83
TRAIND026625,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.26
TRAIND026626,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.28
TRAIND026627,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.82
TRAIND026628,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.87
TRAIND026629,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.31
TRAIND026630,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.79
TRAIND026631,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.42
TRAIND026632,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.79
TRAIND026633,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.09
TRAIND026634,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.52
TRAIND026635,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.1
TRAIND026636,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.13
TRAIND026637,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.93
TRAIND026638,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.76
TRAIND026639,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.73
TRAIND026640,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.47
TRAIND026641,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.21
TRAIND026642,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.97
TRAIND026643,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.02
TRAIND026644,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.34
TRAIND026645,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.67
TRAIND026646,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.6
TRAIND026647,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.77
TRAIND026648,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.96
TRAIND026649,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.01
TRAIND026650,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.7
TRAIND026651,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.07
TRAIND026652,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2
TRAIND026653,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.3
TRAIND026654,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.49
TRAIND026655,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.82
TRAIND026656,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.71
TRAIND026657,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.09
TRAIND026658,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.75
TRAIND026659,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.91
TRAIND026660,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.4
TRAIND026661,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.93
TRAIND026662,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.78
TRAIND026663,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.07
TRAIND026664,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.78
TRAIND026665,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.25
TRAIND026666,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.32
TRAIND026667,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.18
TRAIND026668,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,6.1
TRAIND026669,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,5.69
TRAIND026670,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.19
TRAIND026671,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.73
TRAIND026672,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.74
TRAIND026673,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.08
TRAIND026674,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,5.04
TRAIND026675,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.55
TRAIND026676,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.75
TRAIND026677,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.09
TRAIND026678,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.2
TRAIND026679,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.59
TRAIND026680,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.49
TRAIND026681,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.86
TRAIND026682,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.01
TRAIND026683,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.2
TRAIND026684,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.84
TRAIND026685,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.61
TRAIND026686,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.88
TRAIND026687,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.06
TRAIND026688,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.22
TRAIND026689,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.38
TRAIND026690,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.61
TRAIND026691,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.85
TRAIND026692,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.34
TRAIND026693,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.86
TRAIND026694,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,0.64
TRAIND026695,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.65
TRAIND026696,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.61
TRAIND026697,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3
TRAIND026698,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.51
TRAIND026699,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.92
TRAIND026700,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.15
TRAIND026701,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.88
TRAIND026702,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.39
TRAIND026703,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.33
TRAIND026704,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.75
TRAIND026705,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.99
TRAIND026706,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,6.18
TRAIND026707,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.24
TRAIND026708,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.04
TRAIND026709,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.43
TRAIND026710,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.12
TRAIND026711,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.42
TRAIND026712,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.05
TRAIND026713,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.71
TRAIND026714,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.96
TRAIND026715,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.89
TRAIND026716,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.74
TRAIND026717,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.89
TRAIND026718,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.82
TRAIND026719,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.95
TRAIND026720,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.96
TRAIND026721,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.07
TRAIND026722,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.48
TRAIND026723,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.62
TRAIND026724,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.47
TRAIND026725,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.68
TRAIND026726,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.72
TRAIND026727,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.02
TRAIND026728,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.02
TRAIND026729,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.37
TRAIND026730,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.63
TRAIND026731,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.82
TRAIND026732,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.36
TRAIND026733,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.53
TRAIND026734,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.7
TRAIND026735,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.76
TRAIND026736,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.85
TRAIND026737,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.56
TRAIND026738,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.51
TRAIND026739,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.22
TRAIND026740,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.44
TRAIND026741,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.81
TRAIND026742,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,4.48
TRAIND026743,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.73
TRAIND026744,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.48
TRAIND026745,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.51
TRAIND026746,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,3.91
TRAIND026747,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,2.04
TRAIND026748,TRAPOP077,Gammarus_insensibilis,TRASIT068,41.871,15.34,1.78
TRAIND026749,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.48
TRAIND026750,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.99
TRAIND026751,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.65
TRAIND026752,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.62
TRAIND026753,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.85
TRAIND026754,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.86
TRAIND026755,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,3.29
TRAIND026756,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.16
TRAIND026757,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,3.02
TRAIND026758,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.94
TRAIND026759,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.15
TRAIND026760,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.66
TRAIND026761,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.45
TRAIND026762,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.6
TRAIND026763,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.17
TRAIND026764,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.36
TRAIND026765,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.22
TRAIND026766,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.2
TRAIND026767,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.44
TRAIND026768,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.74
TRAIND026769,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.72
TRAIND026770,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.65
TRAIND026771,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.01
TRAIND026772,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.54
TRAIND026773,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.68
TRAIND026774,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.9
TRAIND026775,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,3.58
TRAIND026776,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.99
TRAIND026777,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.78
TRAIND026778,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.71
TRAIND026779,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.45
TRAIND026780,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.79
TRAIND026781,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,4.96
TRAIND026782,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.75
TRAIND026783,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,5.18
TRAIND026784,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,3.39
TRAIND026785,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.27
TRAIND026786,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.07
TRAIND026787,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,1.48
TRAIND026788,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.57
TRAIND026789,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.66
TRAIND026790,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,2.55
TRAIND026791,TRAPOP078,Gammarus_insensibilis,TRASIT069,40.444,18.238,0.27
