condition_id,baseline_state,counterfactual_state,rows
fixed_ev_p1_0,blue_purple,mixed_uncertain,577
fixed_ev_p1_0,mixed_uncertain,white,1193
fixed_ev_p1_0,mixed_uncertain,yellow_orange,55
fixed_ev_p1_0,mixed_uncertain,red_pink,137
fixed_ev_p1_0,mixed_uncertain,blue_purple,4
fixed_ev_p1_0,mixed_uncertain,mixed_uncertain,18491
full_ev_m0_5,white,white,1663
full_ev_m0_5,white,yellow_orange,14
full_ev_m0_5,white,red_pink,2
full_ev_m0_5,white,blue_purple,16
full_ev_m0_5,white,mixed_uncertain,290
full_ev_m0_5,yellow_orange,white,13
full_ev_m0_5,yellow_orange,yellow_orange,1044
full_ev_m0_5,yellow_orange,red_pink,0
full_ev_m0_5,yellow_orange,blue_purple,0
full_ev_m0_5,yellow_orange,mixed_uncertain,158
full_ev_m0_5,red_pink,white,0
full_ev_m0_5,red_pink,yellow_orange,3
full_ev_m0_5,red_pink,red_pink,249
full_ev_m0_5,red_pink,blue_purple,19
full_ev_m0_5,red_pink,mixed_uncertain,71
full_ev_m0_5,blue_purple,white,0
full_ev_m0_5,blue_purple,yellow_orange,0
full_ev_m0_5,blue_purple,red_pink,0
full_ev_m0_5,blue_purple,blue_purple,413
full_ev_m0_5,blue_purple,mixed_uncertain,37
full_ev_m0_5,mixed_uncertain,white,263
full_ev_m0_5,mixed_uncertain,yellow_orange,205
full_ev_m0_5,mixed_uncertain,red_pink,61
full_ev_m0_5,mixed_uncertain,blue_purple,154
full_ev_m0_5,mixed_uncertain,mixed_uncertain,3325
full_ev_m1_0,white,white,1377
full_ev_m1_0,white,yellow_orange,80
full_ev_m1_0,white,red_pink,6
full_ev_m1_0,white,blue_purple,87
full_ev_m1_0,white,mixed_uncertain,435
full_ev_m1_0,yellow_orange,white,19
full_ev_m1_0,yellow_orange,yellow_orange,965
full_ev_m1_0,yellow_orange,red_pink,1
full_ev_m1_0,yellow_orange,blue_purple,1
full_ev_m1_0,yellow_orange,mixed_uncertain,229
full_ev_m1_0,red_pink,white,1
full_ev_m1_0,red_pink,yellow_orange,9
full_ev_m1_0,red_pink,red_pink,165
full_ev_m1_0,red_pink,blue_purple,79
full_ev_m1_0,red_pink,mixed_uncertain,88
full_ev_m1_0,blue_purple,white,1
full_ev_m1_0,blue_purple,yellow_orange,0
full_ev_m1_0,blue_purple,red_pink,0
full_ev_m1_0,blue_purple,blue_purple,396
full_ev_m1_0,blue_purple,mixed_uncertain,53
full_ev_m1_0,mixed_uncertain,white,325
full_ev_m1_0,mixed_uncertain,yellow_orange,322
full_ev_m1_0,mixed_uncertain,red_pink,77
full_ev_m1_0,mixed_uncertain,blue_purple,287
full_ev_m1_0,mixed_uncertain,mixed_uncertain,2997
full_ev_p0_5,white,white,1596
full_ev_p0_5,white,yellow_orange,5
full_ev_p0_5,white,red_pink,0
full_ev_p0_5,white,blue_purple,2
full_ev_p0_5,white,mixed_uncertain,382
full_ev_p0_5,yellow_orange,white,16
full_ev_p0_5,yellow_orange,yellow_orange,944
full_ev_p0_5,yellow_orange,red_pink,2
full_ev_p0_5,yellow_orange,blue_purple,0
full_ev_p0_5,yellow_orange,mixed_uncertain,253
full_ev_p0_5,red_pink,white,10
full_ev_p0_5,red_pink,yellow_orange,4
full_ev_p0_5,red_pink,red_pink,234
full_ev_p0_5,red_pink,blue_purple,0
full_ev_p0_5,red_pink,mixed_uncertain,94
full_ev_p0_5,blue_purple,white,34
full_ev_p0_5,blue_purple,yellow_orange,0
full_ev_p0_5,blue_purple,red_pink,16
full_ev_p0_5,blue_purple,blue_purple,247
full_ev_p0_5,blue_purple,mixed_uncertain,153
full_ev_p0_5,mixed_uncertain,white,470
full_ev_p0_5,mixed_uncertain,yellow_orange,189
full_ev_p0_5,mixed_uncertain,red_pink,74
full_ev_p0_5,mixed_uncertain,blue_purple,27
full_ev_p0_5,mixed_uncertain,mixed_uncertain,3248
full_ev_p1_0,white,white,1339
full_ev_p1_0,white,yellow_orange,10
full_ev_p1_0,white,red_pink,0
full_ev_p1_0,white,blue_purple,0
full_ev_p1_0,white,mixed_uncertain,636
full_ev_p1_0,yellow_orange,white,64
full_ev_p1_0,yellow_orange,yellow_orange,808
full_ev_p1_0,yellow_orange,red_pink,2
full_ev_p1_0,yellow_orange,blue_purple,0
full_ev_p1_0,yellow_orange,mixed_uncertain,341
full_ev_p1_0,red_pink,white,38
full_ev_p1_0,red_pink,yellow_orange,5
full_ev_p1_0,red_pink,red_pink,154
full_ev_p1_0,red_pink,blue_purple,0
full_ev_p1_0,red_pink,mixed_uncertain,145
full_ev_p1_0,blue_purple,white,97
full_ev_p1_0,blue_purple,yellow_orange,1
full_ev_p1_0,blue_purple,red_pink,25
full_ev_p1_0,blue_purple,blue_purple,134
full_ev_p1_0,blue_purple,mixed_uncertain,193
full_ev_p1_0,mixed_uncertain,white,656
full_ev_p1_0,mixed_uncertain,yellow_orange,248
full_ev_p1_0,mixed_uncertain,red_pink,71
full_ev_p1_0,mixed_uncertain,blue_purple,19
full_ev_p1_0,mixed_uncertain,mixed_uncertain,3014
jitter_base,white,white,1985
jitter_base,white,yellow_orange,0
jitter_base,white,red_pink,0
jitter_base,white,blue_purple,0
jitter_base,white,mixed_uncertain,0
jitter_base,yellow_orange,white,0
jitter_base,yellow_orange,yellow_orange,1215
jitter_base,yellow_orange,red_pink,0
jitter_base,yellow_orange,blue_purple,0
jitter_base,yellow_orange,mixed_uncertain,0
jitter_base,red_pink,white,0
jitter_base,red_pink,yellow_orange,0
jitter_base,red_pink,red_pink,342
jitter_base,red_pink,blue_purple,0
jitter_base,red_pink,mixed_uncertain,0
jitter_base,blue_purple,white,0
jitter_base,blue_purple,yellow_orange,0
jitter_base,blue_purple,red_pink,0
jitter_base,blue_purple,blue_purple,450
jitter_base,blue_purple,mixed_uncertain,0
jitter_base,mixed_uncertain,white,1122
jitter_base,mixed_uncertain,yellow_orange,668
jitter_base,mixed_uncertain,red_pink,188
jitter_base,mixed_uncertain,blue_purple,231
jitter_base,mixed_uncertain,mixed_uncertain,1799
jitter_scale_m10,white,white,1980
jitter_scale_m10,white,yellow_orange,0
jitter_scale_m10,white,red_pink,0
jitter_scale_m10,white,blue_purple,0
jitter_scale_m10,white,mixed_uncertain,5
jitter_scale_m10,yellow_orange,white,0
jitter_scale_m10,yellow_orange,yellow_orange,1211
jitter_scale_m10,yellow_orange,red_pink,0
jitter_scale_m10,yellow_orange,blue_purple,0
jitter_scale_m10,yellow_orange,mixed_uncertain,4
jitter_scale_m10,red_pink,white,0
jitter_scale_m10,red_pink,yellow_orange,0
jitter_scale_m10,red_pink,red_pink,342
jitter_scale_m10,red_pink,blue_purple,0
jitter_scale_m10,red_pink,mixed_uncertain,0
jitter_scale_m10,blue_purple,white,0
jitter_scale_m10,blue_purple,yellow_orange,0
jitter_scale_m10,blue_purple,red_pink,0
jitter_scale_m10,blue_purple,blue_purple,447
jitter_scale_m10,blue_purple,mixed_uncertain,3
jitter_scale_m10,mixed_uncertain,white,1115
jitter_scale_m10,mixed_uncertain,yellow_orange,673
jitter_scale_m10,mixed_uncertain,red_pink,200
jitter_scale_m10,mixed_uncertain,blue_purple,235
jitter_scale_m10,mixed_uncertain,mixed_uncertain,1785
jitter_scale_p10,white,white,1980
jitter_scale_p10,white,yellow_orange,0
jitter_scale_p10,white,red_pink,0
jitter_scale_p10,white,blue_purple,0
jitter_scale_p10,white,mixed_uncertain,5
jitter_scale_p10,yellow_orange,white,0
jitter_scale_p10,yellow_orange,yellow_orange,1213
jitter_scale_p10,yellow_orange,red_pink,0
jitter_scale_p10,yellow_orange,blue_purple,0
jitter_scale_p10,yellow_orange,mixed_uncertain,2
jitter_scale_p10,red_pink,white,0
jitter_scale_p10,red_pink,yellow_orange,1
jitter_scale_p10,red_pink,red_pink,337
jitter_scale_p10,red_pink,blue_purple,0
jitter_scale_p10,red_pink,mixed_uncertain,4
jitter_scale_p10,blue_purple,white,0
jitter_scale_p10,blue_purple,yellow_orange,0
jitter_scale_p10,blue_purple,red_pink,0
jitter_scale_p10,blue_purple,blue_purple,446
jitter_scale_p10,blue_purple,mixed_uncertain,4
jitter_scale_p10,mixed_uncertain,white,1128
jitter_scale_p10,mixed_uncertain,yellow_orange,673
jitter_scale_p10,mixed_uncertain,red_pink,187
jitter_scale_p10,mixed_uncertain,blue_purple,233
jitter_scale_p10,mixed_uncertain,mixed_uncertain,1787
jitter_x_m5,white,white,1980
jitter_x_m5,white,yellow_orange,0
jitter_x_m5,white,red_pink,0
jitter_x_m5,white,blue_purple,0
jitter_x_m5,white,mixed_uncertain,5
jitter_x_m5,yellow_orange,white,0
jitter_x_m5,yellow_orange,yellow_orange,1213
jitter_x_m5,yellow_orange,red_pink,0
jitter_x_m5,yellow_orange,blue_purple,0
jitter_x_m5,yellow_orange,mixed_uncertain,2
jitter_x_m5,red_pink,white,0
jitter_x_m5,red_pink,yellow_orange,0
jitter_x_m5,red_pink,red_pink,342
jitter_x_m5,red_pink,blue_purple,0
jitter_x_m5,red_pink,mixed_uncertain,0
jitter_x_m5,blue_purple,white,1
jitter_x_m5,blue_purple,yellow_orange,0
jitter_x_m5,blue_purple,red_pink,0
jitter_x_m5,blue_purple,blue_purple,448
jitter_x_m5,blue_purple,mixed_uncertain,1
jitter_x_m5,mixed_uncertain,white,1121
jitter_x_m5,mixed_uncertain,yellow_orange,668
jitter_x_m5,mixed_uncertain,red_pink,188
jitter_x_m5,mixed_uncertain,blue_purple,230
jitter_x_m5,mixed_uncertain,mixed_uncertain,1801
jitter_x_p5,white,white,1983
jitter_x_p5,white,yellow_orange,0
jitter_x_p5,white,red_pink,0
jitter_x_p5,white,blue_purple,0
jitter_x_p5,white,mixed_uncertain,2
jitter_x_p5,yellow_orange,white,0
jitter_x_p5,yellow_orange,yellow_orange,1212
jitter_x_p5,yellow_orange,red_pink,0
jitter_x_p5,yellow_orange,blue_purple,0
jitter_x_p5,yellow_orange,mixed_uncertain,3
jitter_x_p5,red_pink,white,0
jitter_x_p5,red_pink,yellow_orange,0
jitter_x_p5,red_pink,red_pink,342
jitter_x_p5,red_pink,blue_purple,0
jitter_x_p5,red_pink,mixed_uncertain,0
jitter_x_p5,blue_purple,white,0
jitter_x_p5,blue_purple,yellow_orange,0
jitter_x_p5,blue_purple,red_pink,0
jitter_x_p5,blue_purple,blue_purple,449
jitter_x_p5,blue_purple,mixed_uncertain,1
jitter_x_p5,mixed_uncertain,white,1120
jitter_x_p5,mixed_uncertain,yellow_orange,675
jitter_x_p5,mixed_uncertain,red_pink,191
jitter_x_p5,mixed_uncertain,blue_purple,232
jitter_x_p5,mixed_uncertain,mixed_uncertain,1790
jitter_y_m5,white,white,1983
jitter_y_m5,white,yellow_orange,0
jitter_y_m5,white,red_pink,0
jitter_y_m5,white,blue_purple,0
jitter_y_m5,white,mixed_uncertain,2
jitter_y_m5,yellow_orange,white,0
jitter_y_m5,yellow_orange,yellow_orange,1210
jitter_y_m5,yellow_orange,red_pink,1
jitter_y_m5,yellow_orange,blue_purple,0
jitter_y_m5,yellow_orange,mixed_uncertain,4
jitter_y_m5,red_pink,white,0
jitter_y_m5,red_pink,yellow_orange,0
jitter_y_m5,red_pink,red_pink,341
jitter_y_m5,red_pink,blue_purple,0
jitter_y_m5,red_pink,mixed_uncertain,1
jitter_y_m5,blue_purple,white,0
jitter_y_m5,blue_purple,yellow_orange,0
jitter_y_m5,blue_purple,red_pink,0
jitter_y_m5,blue_purple,blue_purple,447
jitter_y_m5,blue_purple,mixed_uncertain,3
jitter_y_m5,mixed_uncertain,white,1126
jitter_y_m5,mixed_uncertain,yellow_orange,669
jitter_y_m5,mixed_uncertain,red_pink,189
jitter_y_m5,mixed_uncertain,blue_purple,235
jitter_y_m5,mixed_uncertain,mixed_uncertain,1789
jitter_y_p5,white,white,1981
jitter_y_p5,white,yellow_orange,0
jitter_y_p5,white,red_pink,0
jitter_y_p5,white,blue_purple,0
jitter_y_p5,white,mixed_uncertain,4
jitter_y_p5,yellow_orange,white,0
jitter_y_p5,yellow_orange,yellow_orange,1214
jitter_y_p5,yellow_orange,red_pink,0
jitter_y_p5,yellow_orange,blue_purple,0
jitter_y_p5,yellow_orange,mixed_uncertain,1
jitter_y_p5,red_pink,white,0
jitter_y_p5,red_pink,yellow_orange,0
jitter_y_p5,red_pink,red_pink,341
jitter_y_p5,red_pink,blue_purple,0
jitter_y_p5,red_pink,mixed_uncertain,1
jitter_y_p5,blue_purple,white,0
jitter_y_p5,blue_purple,yellow_orange,0
jitter_y_p5,blue_purple,red_pink,0
jitter_y_p5,blue_purple,blue_purple,449
jitter_y_p5,blue_purple,mixed_uncertain,1
jitter_y_p5,mixed_uncertain,white,1125
jitter_y_p5,mixed_uncertain,yellow_orange,673
jitter_y_p5,mixed_uncertain,red_pink,187
jitter_y_p5,mixed_uncertain,blue_purple,232
jitter_y_p5,mixed_uncertain,mixed_uncertain,1791
neutral_bg,white,white,1936
neutral_bg,white,yellow_orange,1
neutral_bg,white,red_pink,0
neutral_bg,white,blue_purple,0
neutral_bg,white,mixed_uncertain,48
neutral_bg,yellow_orange,white,1
neutral_bg,yellow_orange,yellow_orange,1183
neutral_bg,yellow_orange,red_pink,0
neutral_bg,yellow_orange,blue_purple,0
neutral_bg,yellow_orange,mixed_uncertain,31
neutral_bg,red_pink,white,0
neutral_bg,red_pink,yellow_orange,1
neutral_bg,red_pink,red_pink,320
neutral_bg,red_pink,blue_purple,0
neutral_bg,red_pink,mixed_uncertain,21
neutral_bg,blue_purple,white,0
neutral_bg,blue_purple,yellow_orange,0
neutral_bg,blue_purple,red_pink,0
neutral_bg,blue_purple,blue_purple,430
neutral_bg,blue_purple,mixed_uncertain,20
neutral_bg,mixed_uncertain,white,1025
neutral_bg,mixed_uncertain,yellow_orange,641
neutral_bg,mixed_uncertain,red_pink,194
neutral_bg,mixed_uncertain,blue_purple,219
neutral_bg,mixed_uncertain,mixed_uncertain,1929
