condition_id,panel,species,n_classifiable,D
baseline,P,Cornus suecica,61,0.0
baseline,P,Cypripedium guttatum,47,0.32775011317338165
baseline,P,Delairea odorata,59,0.0
baseline,P,Delphinium glaucum,43,0.2055164954029205
baseline,P,Delphinium nuttallianum,52,0.14423076923076905
baseline,P,Dillwynia floribunda,62,0.0
baseline,P,Disphyma crassifolium,48,0.4644097222222222
baseline,P,Distimake dissectus,53,0.29903880384478454
baseline,P,Elephantopus tomentosus,52,0.11020710059171601
baseline,P,Erica arborea,41,0.21891731112433077
baseline,P,Erica tetralix,51,0.6136101499423299
baseline,P,Erigeron divergens,84,0.09183673469387765
baseline,P,Erigeron linearis,90,0.08493827160493828
baseline,P,Erigeron quercifolius,76,0.05124653739612173
baseline,P,Erythranthe bicolor,68,0.05709342560553643
baseline,P,Erythranthe dentata,58,0.09809750297265163
baseline,P,Eutrochium fistulosum,41,0.21891731112433077
baseline,P,Falcaria vulgaris,69,0.02856542743121193
baseline,P,Filipendula rubra,42,0.6360544217687074
baseline,P,Gardenia jasminoides,45,0.12444444444444436
baseline,P,Gazania rigens,72,0.02739197530864179
baseline,P,Geobalanus oblongifolius,40,0.46875
baseline,P,Geranium macrorrhizum,44,0.5030991735537189
baseline,P,Geranium yeoi,65,0.5817751479289941
baseline,P,Gilia tricolor,73,0.26496528429348865
baseline,P,Gompholobium huegelii,66,0.3673094582185492
baseline,P,Grewia occidentalis,45,0.4918518518518519
baseline,P,Grindelia squarrosa,71,0.027772267407260465
baseline,P,Guzmania monostachia,44,0.4245867768595041
baseline,P,Herbertia lahue,67,0.41880151481398975
baseline,P,Heterotheca grandiflora,68,0.05709342560553643
baseline,P,Hippocrepis comosa,76,0.0
baseline,P,Ilex glabra,58,0.06658739595719365
baseline,P,Ipomoea nil,57,0.5460141582025239
baseline,P,Ipomoea pes-caprae,49,0.6155768429820909
baseline,P,Iris sibirica,57,0.16251154201292717
baseline,P,Lantana involucrata,56,0.19451530612244894
baseline,P,Lathyrus aphaca,69,0.18231463978155849
baseline,P,Leucaena leucocephala,53,0.37023851904592375
baseline,P,Leucopogon affinis,64,0.060546875
baseline,P,Leucopogon microphyllus,67,0.029405212742259046
baseline,P,Linum usitatissimum,58,0.3662306777645661
baseline,P,Lobelia pedunculata,74,0.0525931336742147
baseline,P,Lomatium macrocarpum,55,0.47206611570247936
baseline,P,Lupinus havardii,61,0.09459822628325731
baseline,P,Lysimachia europaea,74,0.0525931336742147
baseline,P,Lysimachia quadrifolia,64,0.0
baseline,P,Malacothrix saxatilis,64,0.09033203125
baseline,P,Malva moschata,53,0.4492702029191884
baseline,P,Marah oregana,58,0.0992865636147443
baseline,P,Melaleuca citrina,40,0.40875000000000006
baseline,P,Moricandia arvensis,52,0.4918639053254438
baseline,P,Myosotis latifolia,65,0.2811834319526627
baseline,P,Myrtus communis,59,0.12640045963803503
baseline,P,Navarretia heterodoxa,65,0.43739644970414193
baseline,P,Nicotiana longiflora,51,0.07535563244905807
baseline,P,Olearia arborescens,62,0.17481789802289294
baseline,P,Opuntia humifusa,62,0.06243496357960443
baseline,P,Orchis mascula,45,0.5738271604938272
baseline,P,Ornithogalum umbellatum,69,0.05629069523209407
baseline,P,Ornithopus compressus,52,0.14201183431952646
baseline,P,Palafoxia texana,70,0.34244897959183673
baseline,P,Pectis papposa,89,0.0
baseline,P,Persicaria nepalensis,58,0.2782401902497027
baseline,P,Phlox diffusa,76,0.2770083102493076
baseline,P,Pimelea serpyllifolia,56,0.315688775510204
baseline,P,Portulaca pilosa,69,0.0840159630329762
baseline,P,Portulaca suffrutescens,58,0.24732461355529134
baseline,P,Prunus ilicifolia,48,0.2543402777777778
baseline,P,Prunus mahaleb,56,0.06887755102040805
