condition_id,panel,species,n_classifiable,spatial_rho
baseline,P,Geobalanus oblongifolius,40,0.0344109704322328
baseline,P,Geranium macrorrhizum,44,0.06200652431835358
baseline,P,Geranium yeoi,65,0.1984574979049654
baseline,P,Gilia tricolor,73,-0.08333776193459082
baseline,P,Gompholobium huegelii,66,0.20403615064824251
baseline,P,Grewia occidentalis,45,0.09414076197064447
baseline,P,Grindelia squarrosa,71,0.09980100127433153
baseline,P,Guzmania monostachia,44,0.10937131650768349
baseline,P,Herbertia lahue,67,0.0002419092115805867
baseline,P,Heterotheca grandiflora,68,-0.06959967357510113
baseline,P,Hippocrepis comosa,76,0.04418618595978891
baseline,P,Ilex glabra,58,-0.001693842478348967
baseline,P,Ipomoea nil,57,-0.012533388071582668
baseline,P,Ipomoea pes-caprae,49,0.0063431208452939545
baseline,P,Iris sibirica,57,-0.1355003686098627
baseline,P,Lantana involucrata,56,-0.019743897594917098
baseline,P,Lathyrus aphaca,69,0.00628978972141478
baseline,P,Leucaena leucocephala,53,-0.02281751864561715
baseline,P,Leucopogon affinis,64,0.0695587696591263
baseline,P,Leucopogon microphyllus,67,0.1301478486173033
baseline,P,Linum usitatissimum,58,-0.09940587509202772
baseline,P,Lobelia pedunculata,74,0.06975448548469224
baseline,P,Lomatium macrocarpum,55,0.3400619161758321
baseline,P,Lupinus havardii,61,-0.03866312433550187
baseline,P,Lysimachia europaea,74,0.04946262124976067
baseline,P,Lysimachia quadrifolia,64,-0.03307934068876961
baseline,P,Malacothrix saxatilis,64,-0.0019324516277832446
baseline,P,Malva moschata,53,0.004252281423163185
baseline,P,Marah oregana,58,-0.044303790843108384
baseline,P,Melaleuca citrina,40,0.05639014513369166
baseline,P,Moricandia arvensis,52,0.1152307636977856
baseline,P,Myosotis latifolia,65,-0.0873513199918774
baseline,P,Myrtus communis,59,0.022480874934322045
baseline,P,Navarretia heterodoxa,65,0.004520258160335046
baseline,P,Nicotiana longiflora,51,0.0673599548890284
baseline,P,Olearia arborescens,62,0.05172970909323029
baseline,P,Opuntia humifusa,62,0.13174305569863473
baseline,P,Orchis mascula,45,-0.064709325746221
baseline,P,Ornithogalum umbellatum,69,-0.06402002871285407
baseline,P,Ornithopus compressus,52,0.08882061729176387
baseline,P,Palafoxia texana,70,0.06299588491781564
baseline,P,Pectis papposa,89,-0.06082564867888796
baseline,P,Persicaria nepalensis,58,0.05220378376596188
baseline,P,Phlox diffusa,76,0.047265525444557734
baseline,P,Pimelea serpyllifolia,56,0.1547626057168801
baseline,P,Portulaca pilosa,69,-0.10647206482453295
baseline,P,Portulaca suffrutescens,58,0.07661077375965741
baseline,P,Prunus ilicifolia,48,-0.009516579553918273
baseline,P,Prunus mahaleb,56,0.10807882520031159
baseline,P,Pseudorchis albida,48,0.2192085094276361
baseline,P,Rafinesquia neomexicana,69,-0.03614551720883547
baseline,P,Ranunculus glacialis,65,0.047720547912763187
baseline,P,Ranunculus lyallii,71,0.13348230744195605
baseline,P,Ranunculus reflexus,40,0.07849464130252079
baseline,P,Ranunculus uncinatus,43,-0.13257683362153655
baseline,P,Raphanus raphanistrum,52,-0.03197929943548769
baseline,P,Rorippa palustris,64,0.09443683912984906
baseline,P,Rubus pubescens,50,0.06143543640602131
baseline,P,Ruellia metziae,69,-0.08526520137081574
baseline,P,Salvia longispicata,51,0.0002680541712706303
baseline,P,Salvia lyrata,41,0.09486527652951704
baseline,P,Sanguinaria canadensis,67,0.05695988589266059
baseline,P,Saxifraga tridactylites,56,-0.04763984240059242
baseline,P,Schelhammera undulata,48,0.006634702741802905
baseline,P,Senecio mohavensis,65,0.14109048339327313
baseline,P,Senna hebecarpa,47,0.0769135471962784
baseline,P,Silene dioica,48,-0.1804514367336973
baseline,P,Silene rotundifolia,54,-0.05287087740972004
baseline,P,Silphium integrifolium,60,-0.10614095039592665
baseline,P,Sisymbrium irio,60,0.07757380921658032
baseline,P,Symphyotrichum puniceum,72,0.02056532752390144
baseline,P,Symphyotrichum subulatum,65,0.06713995465797483
baseline,P,Taraxacum erythrospermum,75,-0.012231961088814426
baseline,P,Tecoma stans,63,0.27391550028717165
baseline,P,Thunbergia grandiflora,43,0.04282687385647966
baseline,P,Thymus praecox,45,0.028831292769527582
baseline,P,Trifolium glomeratum,41,0.18273860537310835
baseline,P,Tulipa sylvestris,52,-0.023655916413951733
baseline,P,Vernonia gigantea,44,0.10953411085529646
baseline,P,Vernonia noveboracensis,49,-0.015900747833253584
baseline,P,Veronica alpina,50,-0.1204468084134143
baseline,P,Veronica spicata,56,0.048798140317659416
baseline,P,Vicia hirsuta,47,-0.06467658242636756
baseline,P,Vicia tetrasperma,50,-0.04252636460989873
baseline,P,Vincetoxicum hirundinaria,61,0.05812571055842262
baseline,P,Viola cornuta,53,0.08412468447849328
baseline,P,Viola pedunculata,69,-0.020275236721103054
baseline,P,Viola rostrata,51,0.05547554838424682
baseline,P,Viola tricolor,50,0.15755748302583675
baseline,P,Viscaria vulgaris,52,0.02016759922103311
fixed_ev_m0_5,N,Abronia latifolia,71,0.00537382031064951
fixed_ev_m0_5,N,Abronia umbellata,46,0.08615165617940827
fixed_ev_m0_5,N,Acacia decurrens,47,0.005635720293196611
fixed_ev_m0_5,N,Acacia suaveolens,67,0.042708723245725506
fixed_ev_m0_5,N,Acis autumnalis,46,-0.08504994486037878
fixed_ev_m0_5,N,Actaea racemosa,46,-0.004275034339971393
fixed_ev_m0_5,N,Agave deserti,54,-0.001828281927364883
fixed_ev_m0_5,N,Anemonastrum canadense,79,0.11761848908531565
fixed_ev_m0_5,N,Anthriscus caucalis,55,0.05074282432187262
fixed_ev_m0_5,N,Arabidopsis lyrata,77,0.01701325927891659
fixed_ev_m0_5,N,Argentina anserina,80,0.02429144147445179
fixed_ev_m0_5,N,Asclepias brachystephana,49,0.01971474484423124
fixed_ev_m0_5,N,Asclepias texana,60,0.1510949231039581
fixed_ev_m0_5,N,Bacopa monnieri,63,-0.042738486946594705
fixed_ev_m0_5,N,Bidens frondosa,55,-0.02704030654448885
fixed_ev_m0_5,N,Bidens pilosa,60,0.12427276321447427
fixed_ev_m0_5,N,Blackstonia perfoliata,65,-0.01980883862898061
fixed_ev_m0_5,N,Borago officinalis,41,-0.1284602340974689
fixed_ev_m0_5,N,Briza media,60,0.07320192597270647
fixed_ev_m0_5,N,Calochortus subalpinus,53,-0.07709840878288796
fixed_ev_m0_5,N,Calochortus venustus,50,0.049754814379737486
fixed_ev_m0_5,N,Campanula cochleariifolia,75,0.06501439837631566
fixed_ev_m0_5,N,Campanula rapunculoides,55,-0.058751566115897345
fixed_ev_m0_5,N,Campanula trachelium,49,-0.09969799725376118
fixed_ev_m0_5,N,Caragana arborescens,51,0.033452704850956576
fixed_ev_m0_5,N,Carpodetus serratus,60,0.10364464783554211
fixed_ev_m0_5,N,Catharanthus roseus,59,-0.025358001478263264
fixed_ev_m0_5,N,Celmisia gracilenta,69,0.12890183865098884
fixed_ev_m0_5,N,Chaenactis fremontii,77,-0.0331520444623496
fixed_ev_m0_5,N,Clarkia purpurea,55,-0.060527990031676845
fixed_ev_m0_5,N,Clarkia tenella,68,0.062163475821952065
fixed_ev_m0_5,N,Cochemiea dioica,40,-0.09458810342274737
fixed_ev_m0_5,N,Coreopsis basalis,67,0.04401050013563263
fixed_ev_m0_5,N,Cotula australis,64,0.0028586502142674344
fixed_ev_m0_5,N,Crepis capillaris,74,0.022256226630551944
fixed_ev_m0_5,N,Crotalaria retusa,51,-0.061468269282468055
fixed_ev_m0_5,N,Croton glandulosus,51,0.2545786370360439
fixed_ev_m0_5,N,Daphne cneorum,70,0.12201818914707739
fixed_ev_m0_5,N,Delphinium variegatum,52,-0.01305019134255434
fixed_ev_m0_5,N,Draba aizoides,78,-0.03161841255927739
fixed_ev_m0_5,N,Draba nemorosa,60,-0.001325935876605163
fixed_ev_m0_5,N,Erinus alpinus,74,0.08272284797091384
fixed_ev_m0_5,N,Eriogonum pyrolifolium,69,-0.04478117646953858
fixed_ev_m0_5,N,Eucrypta chrysanthemifolia,49,0.16560151390440223
fixed_ev_m0_5,N,Euonymus americanus,57,-0.0035268660890390383
fixed_ev_m0_5,N,Eupatorium rotundifolium,51,0.05014466528596845
fixed_ev_m0_5,N,Euphorbia cyathophora,42,0.011801793993612676
fixed_ev_m0_5,N,Evolvulus alsinoides,76,-0.013286319369134264
fixed_ev_m0_5,N,Evolvulus nummularius,67,0.027505822005747953
fixed_ev_m0_5,N,Ficinia nodosa,57,-0.006102702507546717
fixed_ev_m0_5,N,Florestina tripteris,78,0.019793654505805322
fixed_ev_m0_5,N,Freesia leichtlinii,47,0.019236142340989804
fixed_ev_m0_5,N,Galium aparine,48,-0.10269633523126592
fixed_ev_m0_5,N,Genista hispanica,87,-0.05163486482572055
fixed_ev_m0_5,N,Gentiana pneumonanthe,56,-0.10464904978378797
fixed_ev_m0_5,N,Glandularia gooddingii,72,0.1578932532340348
fixed_ev_m0_5,N,Glycyrrhiza lepidota,49,0.061308477620155594
fixed_ev_m0_5,N,Gypsophila repens,84,0.03720346438422305
fixed_ev_m0_5,N,Hedera helix,50,0.03375991832295724
fixed_ev_m0_5,N,Helianthemum nummularium,62,0.04654925837740655
fixed_ev_m0_5,N,Helianthus maximiliani,60,-0.07838954025956966
fixed_ev_m0_5,N,Helichrysum arenarium,85,-0.037083902365803764
fixed_ev_m0_5,N,Hypochaeris sessiliflora,58,0.17029649931383115
fixed_ev_m0_5,N,Ipomoea hederacea,59,-0.026022535749392325
fixed_ev_m0_5,N,Ixeris chinensis,77,0.09340748129832746
fixed_ev_m0_5,N,Kallstroemia grandiflora,57,0.0644264540194636
fixed_ev_m0_5,N,Lagenophora strangulata,57,-0.04058379527218504
fixed_ev_m0_5,N,Lantana achyranthifolia,67,0.16703131611278887
fixed_ev_m0_5,N,Linaria canadensis,55,-0.011346009757275385
fixed_ev_m0_5,N,Linaria texana,61,0.17621492023194546
fixed_ev_m0_5,N,Linum narbonense,52,0.07138494695208246
fixed_ev_m0_5,N,Lithophragma parviflorum,71,0.010331415350138692
fixed_ev_m0_5,N,Lobelia siphilitica,54,-0.041640173536452656
fixed_ev_m0_5,N,Lomatium multifidum,57,0.055427363510858044
fixed_ev_m0_5,N,Lupinus latifolius,56,0.10145077032607343
fixed_ev_m0_5,N,Lupinus subcarnosus,74,0.014472789409264672
fixed_ev_m0_5,N,Lygodesmia aphylla,50,-0.039178705668431235
fixed_ev_m0_5,N,Lygodesmia texana,42,-0.04687472537332433
fixed_ev_m0_5,N,Maianthemum dilatatum,59,-0.048502179929059495
fixed_ev_m0_5,N,Malva multiflora,49,-0.036717561335349584
fixed_ev_m0_5,N,Malva nicaeensis,50,0.021061083487228495
fixed_ev_m0_5,N,Matthiola incana,59,-0.033323930233937614
fixed_ev_m0_5,N,Medicago arborea,58,-0.025880082099923537
fixed_ev_m0_5,N,Melampyrum cristatum,45,-0.004585356204121247
fixed_ev_m0_5,N,Melampyrum nemorosum,46,-0.024427944419212273
fixed_ev_m0_5,N,Mentha longifolia,75,0.008200741708516925
fixed_ev_m0_5,N,Muscari comosum,45,0.12116797601182341
fixed_ev_m0_5,N,Mycelis muralis,61,-0.08717027335928437
fixed_ev_m0_5,N,Myoporum insulare,56,0.07873947214057472
fixed_ev_m0_5,N,Narcissus assoanus,77,0.032426928584432045
fixed_ev_m0_5,N,Narcissus deficiens,46,-0.01274780394469304
fixed_ev_m0_5,N,Narthecium ossifragum,52,-0.11466212829270184
fixed_ev_m0_5,N,Nelumbo lutea,50,0.07737370632765207
fixed_ev_m0_5,N,Oenothera acaulis,61,0.02767992852910346
fixed_ev_m0_5,N,Opuntia cespitosa,53,0.00669490756083769
fixed_ev_m0_5,N,Packera sanguisorbae,67,-0.007922223566826116
fixed_ev_m0_5,N,Pancratium illyricum,43,0.059091785490692494
fixed_ev_m0_5,N,Pectocarya recurvata,42,0.0018897090356083883
fixed_ev_m0_5,N,Penstemon barbatus,54,0.06666726454857581
fixed_ev_m0_5,N,Penstemon heterophyllus,63,-0.015112488651695812
fixed_ev_m0_5,N,Persicaria attenuata,48,0.11019310206693587
fixed_ev_m0_5,N,Phacelia fremontii,61,0.06685749751108558
fixed_ev_m0_5,N,Pholisma arenarium,51,-0.014529550426391924
fixed_ev_m0_5,N,Pimpinella saxifraga,74,-0.03317271542153318
fixed_ev_m0_5,N,Pisum sativum,44,-0.03755447486833171
fixed_ev_m0_5,N,Platycodon grandiflorus,53,-0.026235964710899114
fixed_ev_m0_5,N,Praxelis clematidea,67,0.006105550243757199
fixed_ev_m0_5,N,Primula mistassinica,67,0.2178314511751571
fixed_ev_m0_5,N,Prospero autumnale,50,0.08080355796478461
fixed_ev_m0_5,N,Rhododendron lapponicum,59,0.08354663395873407
fixed_ev_m0_5,N,Rhus copallinum,40,-0.06152760288794026
fixed_ev_m0_5,N,Ribes rubrum,46,0.0014319370814850788
fixed_ev_m0_5,N,Ricinocarpos pinifolius,75,0.09858223128621994
fixed_ev_m0_5,N,Rosa californica,45,0.0221736166051921
fixed_ev_m0_5,N,Rudbeckia fulgida,55,0.03502684490557604
fixed_ev_m0_5,N,Salvia carduacea,59,-0.015439113002878953
fixed_ev_m0_5,N,Sambucus ebulus,65,0.13041324098508142
fixed_ev_m0_5,N,Saxifraga tricuspidata,66,0.053260273930629064
fixed_ev_m0_5,N,Scaevola ramosissima,63,-0.030987446223220708
fixed_ev_m0_5,N,Senecio hispidulus,43,0.03687357069896544
fixed_ev_m0_5,N,Senecio pterophorus,75,-0.003920644842012277
fixed_ev_m0_5,N,Senna armata,62,-0.08398524647147977
fixed_ev_m0_5,N,Senna septemtrionalis,61,0.017477864791472456
fixed_ev_m0_5,N,Silene colorata,56,0.05939531354995032
fixed_ev_m0_5,N,Silene nutans,54,-0.013158222640712529
fixed_ev_m0_5,N,Solanum carolinense,57,-0.09378445298631402
fixed_ev_m0_5,N,Spergularia marina,51,0.07515032055744894
fixed_ev_m0_5,N,Stachys chamissonis,49,0.0006104409845475954
fixed_ev_m0_5,N,Symphoricarpos albus,42,0.008148248975224719
fixed_ev_m0_5,N,Symphoricarpos occidentalis,50,0.15211321722816368
fixed_ev_m0_5,N,Taenidia integerrima,60,0.042300101258165065
fixed_ev_m0_5,N,Tanacetum corymbosum,73,0.08085035745144388
fixed_ev_m0_5,N,Tephroseris palustris,69,-0.0764977864455036
fixed_ev_m0_5,N,Tetratheca ciliata,57,-0.052822337579262545
fixed_ev_m0_5,N,Thalictrum dasycarpum,64,-0.05093987175811928
fixed_ev_m0_5,N,Torenia concolor,55,-0.07690721171734614
fixed_ev_m0_5,N,Tradescantia fluminensis,50,0.01900041807310527
fixed_ev_m0_5,N,Trifolium wormskioldii,46,0.05067222032994467
fixed_ev_m0_5,N,Utricularia macrorhiza,65,0.11596537384018801
fixed_ev_m0_5,N,Vaccinium arboreum,41,-0.09065441730914289
fixed_ev_m0_5,N,Valeriana edulis,62,0.004212452345196841
fixed_ev_m0_5,N,Viburnum rafinesqueanum,68,-0.0014482114589775912
fixed_ev_m0_5,N,Viola arvensis,62,0.07983375092939367
fixed_ev_m0_5,N,Volkameria inermis,58,-0.0320164977229816
fixed_ev_m0_5,N,Wedelia hispida,81,-0.06335675683769663
fixed_ev_m0_5,N,Wurmbea dioica,43,0.11528580796321324
fixed_ev_m0_5,N,Xyris jupicai,55,0.018157927044516388
fixed_ev_m0_5,N,Zephyranthes candida,57,0.06745658843506401
fixed_ev_m0_5,N,Zeuxine strateumatica,42,-0.07642320397929053
fixed_ev_m0_5,P,Acacia ulicifolia,79,-0.02630210682798976
fixed_ev_m0_5,P,Aciphylla glacialis,77,0.06370224768009458
fixed_ev_m0_5,P,Actaea spicata,62,0.042716842456752634
fixed_ev_m0_5,P,Aegopodium podagraria,85,-0.024063984671744927
fixed_ev_m0_5,P,Agrimonia pilosa,72,0.05379642413515518
fixed_ev_m0_5,P,Agrostemma githago,63,0.023434051619161338
fixed_ev_m0_5,P,Allium praecox,67,0.1892412924593006
fixed_ev_m0_5,P,Allium vineale,44,0.018499426622999224
fixed_ev_m0_5,P,Amelanchier arborea,48,0.03780530633716624
fixed_ev_m0_5,P,Anemone virginiana,44,0.1653384823690071
fixed_ev_m0_5,P,Anemonoides quinquefolia,54,0.028251724336006367
fixed_ev_m0_5,P,Baptisia australis,74,-0.011629733015211046
fixed_ev_m0_5,P,Barbarea orthoceras,71,-0.09554215346930925
fixed_ev_m0_5,P,Biscutella laevigata,70,0.07486908758704301
fixed_ev_m0_5,P,Brodiaea coronaria,60,-0.056174778846868764
fixed_ev_m0_5,P,Bryonia alba,40,0.10311023689528992
fixed_ev_m0_5,P,Buddleja davidii,44,0.03945178914850582
fixed_ev_m0_5,P,Calochortus concolor,41,0.04633869238445194
fixed_ev_m0_5,P,Calycadenia multiglandulosa,63,-0.13277078053212868
