tranche,species,organization_state,C_star,S_star,D,n_climate_cells,mean_bio4,mean_bio15,spatial_niche_turnover,hv3d_rarefied20,regional_centroid_sep,regional_gaussian_overlap,metric_status
discovery,Talinum paniculatum,unresolved_photo_state,False,False,0.422716049382716,100,433.81744472503664,52.43081523895264,0.11748801917035367,24.05999910852708,0.08663432059120559,0.8653811601048434,complete
discovery,Taraxacum erythrospermum,unresolved_photo_state,False,False,0.231111111111111,100,794.8091500854492,33.509723043441774,0.42481961644985544,21.064250363301678,0.4744499075532188,0.6647848247196356,complete
discovery,Tetratheca thymifolia,local_cooccurrence_only,True,False,0.5590277777777778,52,378.2589862530048,29.98745501958407,0.8739769145198747,0.9133795606085737,,,complete
discovery,Thysanocarpus curvipes,local_cooccurrence_only,True,False,0.2585463947141626,67,649.1221832730877,71.89770912056538,0.7904227150718391,1.8660490030047168,1.2319912485560458,0.47772891702675746,complete
discovery,Tinantia erecta,local_cooccurrence_only,True,False,0.5659259259259259,75,159.3271969604492,79.39214213053386,0.6468580550407295,14.417036451078179,1.4045408605018932,0.4268010780291481,complete
discovery,Tragopogon porrifolius,unresolved_photo_state,False,False,0.7076446280991735,100,545.4835749816895,41.53436379432678,0.1672955361513854,11.147611541287242,0.28904972236020876,0.8515604279627272,complete
discovery,Triteleia laxa,cooccurrence_and_segregation,True,True,0.2956194571351787,94,518.8141578511988,88.68260639271837,0.5535169826386984,1.4675815015248204,0.3737311590716063,0.5361419682487314,complete
discovery,Trollius albiflorus,local_cooccurrence_only,True,False,0.2003121748178979,94,758.8499044864735,25.14374340341446,0.28228526264558335,2.751582022050204,0.7551591592735138,0.4930765870411615,complete
discovery,Turnera subulata,unresolved_photo_state,False,False,0.3394444444444444,100,138.9197262763977,62.957338695526126,0.3626135731067321,13.055805445756649,,,complete
discovery,Verbascum thapsus,unresolved_photo_state,False,False,0.2921597633136095,100,789.9838255310059,32.634572658538815,0.41991419357991794,25.711019074477353,,,complete
