species,n_classifiable,D,second_fraction,primary_second_ge_0_10,sensitivity_second_ge_0_20,spatial_observed_rho
Helianthus divaricatus,57,0.06771314250538629,0.03508771929824561,False,False,-0.0314799186814985
Hepatica acutiloba,59,0.033323757540936416,0.01694915254237288,False,False,-0.097903266950566
Hibbertia cuneiformis,62,0.12226847034339239,0.04838709677419355,False,False,-0.0220144070995887
Hibiscus denudatus,52,0.35650887573964496,0.1346153846153846,True,False,0.2844284808442466
Hofmeisteria fasciculata,56,0.16709183673469385,0.05357142857142857,False,False,-0.0406460045548459
Homogyne alpina,50,0.36560000000000004,0.14,True,False,0.1479444110433733
Hyacinthoides non-scripta,61,0.1504971781779092,0.08196721311475409,False,False,-0.0351369260146223
Hypocalymma robustum,47,0.2670891806247171,0.06382978723404255,False,False,0.0050059571884198
Iliamna rivularis,52,0.2122781065088758,0.057692307692307696,False,False,-0.0065454861758725
Ipomoea cairica,48,0.5720486111111112,0.20833333333333334,True,True,-0.0203405021337648
Ipomoea pes-caprae,48,0.5512152777777778,0.1875,True,False,0.0153781863800772
Jacobaea adonidifolia,75,0.026311111111110952,0.013333333333333334,False,False,-0.09661370519616
Jaumea carnosa,75,0.05191111111111102,0.02666666666666667,False,False,0.0524238412762079
Johnstonella angustifolia,60,0.0,0.0,False,False,-0.0060987959919572
Lachenalia reflexa,54,0.07133058984910856,0.037037037037037035,False,False,0.1022360550649051
Lamprocapnos spectabilis,60,0.15500000000000014,0.06666666666666667,False,False,-0.1186917628962562
Lantana involucrata,56,0.19451530612244894,0.08928571428571429,False,False,0.0018534462060538
Lathyrus japonicus,47,0.5015844273426889,0.2978723404255319,True,True,0.074845484534774
Lathyrus palustris,41,0.62819750148721,0.2926829268292683,True,True,0.0224319771807962
Lathyrus pratensis,71,0.08172981551279512,0.028169014084507043,False,False,-0.0149435513534146
Lepidium campestre,68,0.20761245674740492,0.11764705882352941,True,False,0.0272201651893142
Lepidium fremontii,72,0.07986111111111094,0.041666666666666664,False,False,0.0044866071692439
Leucaena leucocephala,49,0.3898375676801332,0.2653061224489796,True,True,0.012320682119905
Leucopogon affinis,65,0.05964497041420125,0.03076923076923077,False,False,0.1164151135318843
Leucopogon microphyllus,68,0.028979238754325065,0.014705882352941176,False,False,0.1222233471008293
Ligustrum obtusifolium,61,0.03224939532383764,0.01639344262295082,False,False,0.0174947568650149
Linum catharticum,57,0.10095413973530332,0.03508771929824561,False,False,-0.1064611550763557
Linum lewisii,69,0.5402226423020373,0.463768115942029,True,True,-0.0063623460956724
Lithospermum canescens,79,0.0,0.0,False,False,0.0010959210066405
Lobelia erinus,64,0.26806640625,0.140625,True,False,0.0676692562833622
Loeselia glandulosa,52,0.632396449704142,0.28846153846153844,True,True,0.0607935289311671
Ludwigia peruviana,43,0.0,0.0,False,False,-0.0109731739284947
