species,inat_taxon_id,total_metadata_records,occupied_cells,cells_ge_2,cells_ge_3,max_records_in_cell,median_records_per_occupied_cell,metadata_rank
Fritillaria camschatcensis,128770,53,7,6,5,13,9.0,52
Pontederia crassipes,962637,31,22,5,3,4,1.0,53
Momordica charantia,61369,28,20,5,2,4,1.0,54
Turnera ulmifolia,170055,33,17,5,2,12,1.0,55
Jatropha gossypiifolia,119099,27,17,5,3,4,1.0,56
Spathodea campanulata,126566,24,16,5,2,4,1.0,57
Commelina erecta,53478,26,15,5,3,5,1.0,58
Luffa aegyptiaca,1004655,26,14,5,2,6,1.0,59
Vicia cracca,52471,20,12,5,2,4,1.0,60
Solanum torvum,63694,20,12,5,2,4,1.0,61
Physalis angulata,61374,17,12,5,0,2,1.0,62
Geranium robertianum,55925,24,11,5,1,10,1.0,63
Crotalaria retusa,161148,24,11,5,4,6,1.0,64
Rivina humilis,133291,19,11,5,1,5,1.0,65
Lamium amplexicaule,55459,16,10,5,1,3,1.5,66
Tussilago farfara,56222,19,9,5,2,6,2.0,67
Impatiens walleriana,68185,16,9,5,1,4,2.0,68
Silene acaulis,68886,29,8,5,4,12,2.5,69
Pulsatilla nuttalliana,881504,25,8,5,3,11,2.0,70
Scadoxus multiflorus,81489,14,8,5,1,3,2.0,71
Lamium album,55876,18,7,5,3,5,2.0,72
Hellenia speciosa,764909,15,7,5,2,4,2.0,73
Senna occidentalis,168847,14,7,5,1,4,2.0,74
Lathyrus japonicus,77638,12,7,5,0,2,2.0,75
Geranium sylvaticum,85429,20,6,5,2,7,2.0,76
Leucaena leucocephala,47447,24,18,4,2,3,1.0,77
Cirsium vulgare,52989,24,18,4,1,4,1.0,78
Asystasia gangetica,159049,24,15,4,2,5,1.0,79
Commelina diffusa,160818,23,14,4,3,5,1.0,80
Thunbergia alata,132458,19,14,4,1,3,1.0,81
Heliotropium arboreum,769957,19,14,4,1,3,1.0,82
Celosia argentea,160259,19,13,4,2,3,1.0,83
Plantago lanceolata,53178,18,13,4,1,3,1.0,84
Antigonon leptopus,48380,17,13,4,0,2,1.0,85
Argemone mexicana,128533,25,12,4,2,9,1.0,86
Caesalpinia pulcherrima,60439,19,12,4,2,4,1.0,87
Euphorbia hirta,131560,18,12,4,2,3,1.0,88
Ipomoea obscura,164092,18,12,4,1,4,1.0,89
Linaria vulgaris,50790,17,12,4,1,3,1.0,90
Solanum nigrum,79141,17,12,4,1,3,1.0,91
Oxalis pes-caprae,53169,20,11,4,4,4,1.0,92
Viola tricolor,55739,19,11,4,2,5,1.0,93
Nerium oleander,47563,15,11,4,0,2,1.0,94
Cleome rutidosperma,160705,17,10,4,2,4,1.0,95
Suriana maritima,133328,16,10,4,2,3,1.0,96
Oldenlandia corymbosa,133304,15,10,4,1,3,1.0,97
Desmodium incanum,116694,21,9,4,2,9,1.0,98
Rhododendron tomentosum,516757,20,9,4,4,5,1.0,99
Bistorta vivipara,130545,18,9,4,3,4,1.0,100
Chromolaena odorata,199400,18,9,4,2,5,1.0,101
Argentina anserina,158615,15,9,4,1,4,1.0,102
Heliconia psittacorum,260753,14,9,4,1,3,1.0,103
Senecio vulgaris,53211,13,9,4,0,2,1.0,104
Cordia subcordata,126840,14,8,4,1,4,1.5,105
Mertensia maritima,165350,25,7,4,2,14,2.0,106
Lupinus nootkatensis,138900,24,7,4,4,7,3.0,107
Armeria maritima,60476,17,7,4,2,6,2.0,108
Vinca minor,55844,14,7,4,2,4,2.0,109
Rubus rosifolius,83524,14,7,4,2,4,2.0,110
Vigna marina,131582,13,7,4,1,4,2.0,111
Guettarda speciosa,366267,13,7,4,1,4,2.0,112
Kalmia procumbens,204337,39,6,4,4,14,5.5,113
Pulsatilla patens,127860,18,6,4,1,10,2.0,114
Saxifraga tricuspidata,144177,20,5,4,4,8,3.0,115
Oxalis purpurea,78301,16,5,4,2,8,2.0,116
Rubus arcticus,121363,13,5,4,2,5,2.0,117
Aquilegia formosa,48244,11,5,4,2,3,2.0,118
Saxifraga hirculus,144157,11,5,4,2,3,2.0,119
Anticlea elegans,118830,10,5,4,1,3,2.0,120
Cypripedium acaule,47588,15,4,4,1,9,2.0,121
Commelina africana,141185,8,4,4,0,2,2.0,122
Ipomoea indica,77496,24,18,3,1,5,1.0,123
Senna alata,81515,18,14,3,1,3,1.0,124
Barringtonia asiatica,189657,19,13,3,1,5,1.0,125
Oxalis debilis,61963,19,12,3,1,6,1.0,126
Persicaria capitata,78451,22,11,3,3,6,1.0,127
Coccinia grandis,160766,17,11,3,2,4,1.0,128
Dasiphora fruticosa,76606,16,11,3,1,4,1.0,129
Vicia sativa,53324,14,11,3,0,2,1.0,130
Centratherum punctatum,160297,14,11,3,0,2,1.0,131
Crassocephalum crepidioides,160957,14,11,3,0,2,1.0,132
Cichorium intybus,52913,20,10,3,3,6,1.0,133
Terminalia catappa,62821,14,10,3,1,3,1.0,134
Boerhavia diffusa,75835,14,10,3,1,3,1.0,135
Tithonia diversifolia,132451,13,10,3,0,2,1.0,136
Silybum marianum,52586,20,9,3,3,6,1.0,137
Commelina forskaolii,153174,17,9,3,1,7,1.0,138
Sonchus oleraceus,53294,13,9,3,1,3,1.0,139
Combretum indicum,284831,13,9,3,1,3,1.0,140
Oxalis barrelieri,327751,22,8,3,1,13,1.0,141
Ranunculus repens,48229,14,8,3,2,4,1.0,142
Silene vulgaris,55721,13,8,3,2,3,1.0,143
Echium plantagineum,76764,12,8,3,1,3,1.0,144
Commelina communis,52927,24,7,3,2,10,1.0,145
Desmodium intortum,139181,22,7,3,2,13,1.0,146
Tripleurospermum inodorum,79441,15,7,3,2,6,1.0,147
Ruellia tuberosa,291119,13,7,3,2,4,1.0,148
Bellardia trixago,51286,12,7,3,1,4,1.0,149
Tribulus terrestris,64238,12,7,3,1,4,1.0,150
Saxifraga cernua,144155,12,7,3,1,4,1.0,151
Lysimachia europaea,716947,11,7,3,1,3,1.0,152
Hypochaeris radicata,53104,10,7,3,0,2,1.0,153
Alpinia purpurata,154466,10,7,3,0,2,1.0,154
Rhodiola rosea,84436,14,6,3,2,6,1.5,155
Petasites frigidus,55780,11,6,3,2,3,1.5,156
Stachys palustris,57457,11,6,3,1,4,1.5,157
Vaccinium uliginosum,64714,10,6,3,1,3,1.5,158
Veronica officinalis,129020,10,6,3,1,3,1.5,159
Fragaria vesca,50298,9,6,3,0,2,1.5,160
Trifolium lupinaster,55443,9,6,3,0,2,1.5,161
Allium triquetrum,55505,9,6,3,0,2,1.5,162
Solanum dulcamara,55620,9,6,3,0,2,1.5,163
Solanum sisymbriifolium,79143,9,6,3,0,2,1.5,164
Argemone ochroleuca,199511,13,5,3,1,7,2.0,165
Hedychium gardnerianum,52495,12,5,3,2,5,2.0,166
Thysanotus patersonii,323937,12,5,3,1,6,2.0,167
Rhododendron lapponicum,167817,11,5,3,2,4,2.0,168
Mikania micrantha,165389,10,5,3,1,4,2.0,169
Cnidoscolus urens,81817,9,5,3,1,3,2.0,170
Cornus suecica,134125,9,5,3,1,3,2.0,171
Nonea pulla,513801,9,5,3,1,3,2.0,172
Camonea umbellata,945625,9,5,3,1,3,2.0,173
Epilobium hirsutum,84517,8,5,3,0,2,2.0,174
Oxalis obtusa,119468,21,4,3,2,15,2.5,175
Dryas integrifolia,162098,18,4,3,3,9,4.0,176
Leptinella plumosa,403369,18,4,3,2,9,4.0,177
Rhododendron camtschaticum,167811,15,4,3,3,6,4.0,178
Aconitum delphiniifolium,48491,12,4,3,2,5,3.0,179
Tiarella trifoliata,51643,12,4,3,2,6,2.5,180
Mitchella repens,83799,12,4,3,2,5,3.0,181
Polemonium acutiflorum,167155,12,4,3,2,6,2.5,182
Kalmia polifolia,865984,12,4,3,3,4,3.5,183
Melilotus officinalis,57066,11,4,3,2,4,3.0,184
Eschscholzia californica,48225,10,4,3,1,5,2.0,185
Berteroa incana,75762,10,4,3,1,5,2.0,186
Pinguicula vulgaris,121266,10,4,3,2,4,2.5,187
Arnica angustifolia,158684,9,4,3,2,3,2.5,188
Cordia sebestena,160878,8,4,3,1,3,2.0,189
Pyrola grandiflora,167622,8,4,3,1,3,2.0,190
Pentanema britannica,1320685,8,4,3,1,3,2.0,191
Paederia foetida,126581,7,4,3,0,2,2.0,192
Euploca procumbens,324502,7,4,3,0,2,2.0,193
Metrosideros collina,411089,32,3,3,2,21,9.0,194
Viola altaica,556830,24,3,3,1,20,2.0,195
Sibbaldiopsis tridentata,81595,15,3,3,2,8,5.0,196
Alopecurus magellanicus,363723,11,3,3,2,5,4.0,197
Geranium erianthum,47700,10,3,3,1,6,2.0,198
Pedicularis groenlandica,59780,7,3,3,1,3,2.0,199
Dactylorhiza fuchsii,57630,6,3,3,0,2,2.0,200
Aizoon canariense,130672,6,3,3,0,2,2.0,201
Capsella bursa-pastoris,56121,19,16,2,1,3,1.0,202
Prunella vulgaris,52764,16,13,2,1,3,1.0,203
Heliotropium indicum,83492,15,13,2,0,2,1.0,204
Mesosphaerum suaveolens,870900,15,12,2,1,3,1.0,205
Phyla nodiflora,59040,16,11,2,1,5,1.0,206
Lysimachia arvensis,791928,14,11,2,1,3,1.0,207
Ipomoea purpurea,52344,13,11,2,0,2,1.0,208
Erodium cicutarium,47687,13,10,2,1,3,1.0,209
Urena lobata,127638,13,10,2,1,3,1.0,210
Sesuvium portulacastrum,130743,13,10,2,1,3,1.0,211
Duranta erecta,162153,12,10,2,0,2,1.0,212
Spermacoce remota,326037,12,10,2,0,2,1.0,213
Oenothera rosea,78247,19,9,2,1,10,1.0,214
Cornus canadensis,47192,16,9,2,1,7,1.0,215
Erythrina crista-galli,162718,14,9,2,1,5,1.0,216
Waltheria indica,130789,13,9,2,1,4,1.0,217
Cymbalaria muralis,55727,12,9,2,1,3,1.0,218
Ageratum houstonianum,120944,12,9,2,1,3,1.0,219
Tanacetum vulgare,55971,11,9,2,0,2,1.0,220
Silene latifolia,79109,11,9,2,0,2,1.0,221
Geranium pratense,55722,13,8,2,1,5,1.0,222
Digitalis purpurea,53983,11,8,2,1,3,1.0,223
Ipomoea quamoclit,126869,11,8,2,1,3,1.0,224
Youngia japonica,127066,11,8,2,1,3,1.0,225
Cascabela thevetia,277115,11,8,2,1,3,1.0,226
Canavalia rosea,131242,10,8,2,0,2,1.0,227
Melastoma malabathricum,165230,10,8,2,0,2,1.0,228
Hydrocotyle bonariensis,163871,17,7,2,1,10,1.0,229
Jacobaea vulgaris,62498,12,7,2,1,5,1.0,230
Hedychium flavescens,77347,12,7,2,2,4,1.0,231
Nymphaea lotus,165755,12,7,2,2,4,1.0,232
Heliotropium curassavicum,58058,11,7,2,2,3,1.0,233
Sida acuta,168922,11,7,2,1,4,1.0,234
Stachytarpheta jamaicensis,169322,11,7,2,1,4,1.0,235
Vaccinium vitis-idaea,56312,10,7,2,1,3,1.0,236
Distimake aegyptius,936421,10,7,2,1,3,1.0,237
Zantedeschia aethiopica,56006,9,7,2,0,2,1.0,238
Ipomoea imperati,130193,9,7,2,0,2,1.0,239
Canna indica,146643,9,7,2,0,2,1.0,240
Geranium sibiricum,163265,9,7,2,0,2,1.0,241
Adonidia merrillii,208746,9,7,2,0,2,1.0,242
Nymphaea nouchali,321501,9,7,2,0,2,1.0,243
Talinum fruticosum,361866,9,7,2,0,2,1.0,244
Nelumbo nucifera,82814,13,6,2,2,5,1.0,245
Tabebuia heterophylla,53722,11,6,2,2,4,1.0,246
Desmodium uncinatum,280785,11,6,2,2,4,1.0,247
Croton hirtus,282215,11,6,2,2,4,1.0,248
Oxalis latifolia,61839,10,6,2,1,4,1.0,249
Parkinsonia aculeata,62829,10,6,2,1,4,1.0,250
Cardamine pratensis,54531,9,6,2,1,3,1.0,251
Glechoma hederacea,55830,9,6,2,1,3,1.0,252
Phytolacca americana,48599,8,6,2,0,2,1.0,253
Tropaeolum majus,54329,8,6,2,0,2,1.0,254
Helianthus annuus,57983,8,6,2,0,2,1.0,255
Lupinus polyphyllus,59549,8,6,2,0,2,1.0,256
Calyptocarpus vialis,84405,8,6,2,0,2,1.0,257
Plumeria rubra,123438,8,6,2,0,2,1.0,258
Heliconia rostrata,123960,8,6,2,0,2,1.0,259
Plumeria obtusa,167075,8,6,2,0,2,1.0,260
Sisyrinchium micranthum,284004,8,6,2,0,2,1.0,261
Oreomecon radicata,1473095,16,5,2,1,11,1.0,262
Adansonia digitata,81500,12,5,2,1,7,1.0,263
Alliaria petiolata,56061,11,5,2,2,5,1.0,264
Ipomoea asarifolia,277748,11,5,2,2,4,1.0,265
Iris setosa,164134,10,5,2,2,4,1.0,266
Moehringia lateriflora,165493,10,5,2,1,5,1.0,267
Galanthus nivalis,51606,9,5,2,1,4,1.0,268
Saxifraga cespitosa,78985,9,5,2,1,4,1.0,269
Calluna vulgaris,119450,9,5,2,1,4,1.0,270
Amorphophallus paeoniifolius,141511,9,5,2,1,4,1.0,271
Eulophia cucullata,338672,9,5,2,1,4,1.0,272
Geum aleppicum,77265,8,5,2,1,3,1.0,273
Dichrostachys cinerea,129706,8,5,2,1,3,1.0,274
Canavalia cathartica,159808,8,5,2,1,3,1.0,275
Iris pseudacorus,47779,7,5,2,0,2,1.0,276
Ranunculus acris,56064,7,5,2,0,2,1.0,277
Echium vulgare,56174,7,5,2,0,2,1.0,278
Rhinanthus minor,61470,7,5,2,0,2,1.0,279
Filipendula vulgaris,62020,7,5,2,0,2,1.0,280
Amelanchier alnifolia,75415,7,5,2,0,2,1.0,281
Galium boreale,77188,7,5,2,0,2,1.0,282
Evolvulus alsinoides,162913,7,5,2,0,2,1.0,283
Phyllodoce caerulea,166760,7,5,2,0,2,1.0,284
Gomphrena celosioides,569876,7,5,2,0,2,1.0,285
Oxalis obliquifolia,591238,7,5,2,0,2,1.0,286
Vachellia caven,810560,15,4,2,2,8,3.0,287
Cypripedium guttatum,161505,11,4,2,2,6,2.0,288
Acaena magellanica,83487,10,4,2,1,6,1.5,289
Silene uniflora,118545,10,4,2,2,4,2.5,290
Tripleurospermum maritimum,118873,10,4,2,2,5,2.0,291
Platanthera tipuloides,140377,10,4,2,2,4,2.5,292
Bikkia tetrandra,504034,9,4,2,2,4,2.0,293
Avicennia germinans,62853,8,4,2,1,4,1.5,294
Veronica longifolia,170192,8,4,2,1,4,1.5,295
Martynia annua,285847,8,4,2,1,4,1.5,296
Averrhoa bilimbi,319218,8,4,2,1,4,1.5,297
Stellaria graminea,61948,7,4,2,1,3,1.5,298
Fragaria virginiana,77155,7,4,2,1,3,1.5,299
Voyria aphylla,133665,7,4,2,1,3,1.5,300
Hyoscyamus niger,163951,7,4,2,1,3,1.5,301
Lycoris radiata,164975,7,4,2,1,3,1.5,302
Stachytarpheta urticifolia,169326,7,4,2,1,3,1.5,303
Lysimachia borealis,204174,7,4,2,1,3,1.5,304
Silene amoena,842429,7,4,2,1,3,1.5,305
Asclepias tuberosa,47912,6,4,2,0,2,1.5,306
Erodium moschatum,57092,6,4,2,0,2,1.5,307
Salix arctica,67799,6,4,2,0,2,1.5,308
Euphorbia virgata,77120,6,4,2,0,2,1.5,309
Rosa multiflora,78882,6,4,2,0,2,1.5,310
Allium tuberosum,122343,6,4,2,0,2,1.5,311
Astragalus alpinus,130478,6,4,2,0,2,1.5,312
Anemone parviflora,158365,6,4,2,0,2,1.5,313
Begonia hirtella,159206,6,4,2,0,2,1.5,314
Sonneratia alba,196661,6,4,2,0,2,1.5,315
Rhizophora mucronata,196667,6,4,2,0,2,1.5,316
Gladiolus dalenii,357461,6,4,2,0,2,1.5,317
Ochrosia oppositifolia,425741,6,4,2,0,2,1.5,318
Calanthe tankervilleae,1644771,6,4,2,0,2,1.5,319
Azorella polaris,775538,23,3,2,2,11,11.0,320
Impatiens hawkeri,349271,17,3,2,2,9,7.0,321
Platanthera convallariifolia,362613,17,3,2,2,12,4.0,322
Rhizophora stylosa,196666,14,3,2,2,10,3.0,323
Solidago altissima,79148,13,3,2,2,7,5.0,324
Aporostylis bifolia,399619,12,3,2,1,9,2.0,325
Trillium camschatcense,342868,10,3,2,2,5,4.0,326
Butea monosperma,68681,9,3,2,2,5,3.0,327
Muscari comosum,165590,9,3,2,2,4,4.0,328
Tulipa uniflora,565861,9,3,2,2,4,4.0,329
Acacia longifolia,63379,8,3,2,2,4,3.0,330
Daucus carota,76610,8,3,2,2,4,3.0,331
Aerva javanica,196994,8,3,2,1,5,2.0,332
Burmannia disticha,435907,8,3,2,2,4,3.0,333
Aquilegia canadensis,49868,7,3,2,1,4,2.0,334
Passiflora incarnata,51453,7,3,2,1,4,2.0,335
Cipura paludosa,84547,7,3,2,2,3,3.0,336
Campanula lasiocarpa,142791,7,3,2,2,3,3.0,337
Tigridia pavonia,146593,7,3,2,2,3,3.0,338
Dactylorhiza aristata,161581,7,3,2,1,4,2.0,339
Balanites aegyptiaca,342713,7,3,2,1,4,2.0,340
Codonorchis lessonii,346959,7,3,2,1,4,2.0,341
Hernandia nymphaeifolia,370835,7,3,2,1,4,2.0,342
Corydalis ambigua,888896,7,3,2,1,4,2.0,343
Corallorhiza trifida,50709,6,3,2,1,3,2.0,344
Nothoscordum bivalve,125462,6,3,2,1,3,2.0,345
Cerastium alpinum,144185,6,3,2,1,3,2.0,346
Diapensia obovata,161766,6,3,2,1,3,2.0,347
Hardenbergia violacea,210184,6,3,2,1,3,2.0,348
Tecomaria capensis,286772,6,3,2,1,3,2.0,349
Oreomecon nudicaulis,1473094,6,3,2,1,3,2.0,350
Asclepias syriaca,47911,5,3,2,0,2,2.0,351
Cornus sericea,53387,5,3,2,0,2,2.0,352
Salix bebbiana,54843,5,3,2,0,2,2.0,353
Verbena officinalis,56163,5,3,2,0,2,2.0,354
Viola langsdorffii,79511,5,3,2,0,2,2.0,355
Eugenia uniflora,83642,5,3,2,0,2,2.0,356
Fatsia japonica,126735,5,3,2,0,2,2.0,357
Viola rupestris,133720,5,3,2,0,2,2.0,358
Saxifraga sibirica,144174,5,3,2,0,2,2.0,359
Chloris barbata,160519,5,3,2,0,2,2.0,360
Oxytropis maydelliana,166017,5,3,2,0,2,2.0,361
Alternanthera ficoidea,279260,5,3,2,0,2,2.0,362
Hydrocotyle leucocephala,287387,5,3,2,0,2,2.0,363
Solanum chenopodioides,336677,5,3,2,0,2,2.0,364
Indigofera linnaei,361364,5,3,2,0,2,2.0,365
Carissa spinarum,369502,5,3,2,0,2,2.0,366
Lachenalia bulbifera,469014,5,3,2,0,2,2.0,367
Eulophia guineensis,504849,5,3,2,0,2,2.0,368
Gagea serotina,565693,5,3,2,0,2,2.0,369
Rhododendron aureum,732942,5,3,2,0,2,2.0,370
Chelidonium asiaticum,1097760,5,3,2,0,2,2.0,371
Pleurophyllum hookeri,405010,24,2,2,2,12,12.0,372
Metrosideros polymorpha,60447,22,2,2,1,20,11.0,373
Oxalis enneaphylla,361076,19,2,2,2,16,9.5,374
Sanguinaria canadensis,51044,12,2,2,2,6,6.0,375
Pedicularis hirsuta,166241,11,2,2,2,7,5.5,376
Ptilotus exaltatus,121635,10,2,2,2,7,5.0,377
Tillandsia aeranthos,370737,10,2,2,2,6,5.0,378
Tulipa patens,344744,9,2,2,1,7,4.5,379
Erythronium americanum,48240,8,2,2,2,5,4.0,380
Lilium philadelphicum,61253,8,2,2,2,5,4.0,381
Pterostylis nutans,321216,8,2,2,2,4,4.0,382
Tulipa suaveolens,430128,8,2,2,1,6,4.0,383
Cochlospermum tinctorium,506189,8,2,2,2,4,4.0,384
Parochetus africanus,855850,8,2,2,2,5,4.0,385
Hyacinthoides non-scripta,56132,7,2,2,2,4,3.5,386
Malva sylvestris,56162,7,2,2,2,4,3.5,387
Parnassia fimbriata,78351,7,2,2,1,5,3.5,388
Oxalis luteola,119242,7,2,2,2,4,3.5,389
Perezia recurvata,490592,7,2,2,1,5,3.5,390
Papaver dubium,55918,6,2,2,1,4,3.0,391
Mertensia virginica,59771,6,2,2,1,4,3.0,392
Adonis vernalis,158030,6,2,2,1,4,3.0,393
Pterostylis nana,487293,6,2,2,2,3,3.0,394
Drosera pallida,511323,6,2,2,1,4,3.0,395
Eulophia gracilis,638347,6,2,2,1,4,3.0,396
Dendrobium mirbelianum,894697,6,2,2,1,4,3.0,397
Clintonia borealis,53794,5,2,2,1,3,2.5,398
Muscari neglectum,68846,5,2,2,1,3,2.5,399
Actinotus minor,122205,5,2,2,1,3,2.5,400
Colobanthus quitensis,428806,5,2,2,1,3,2.5,401
Oxalis eckloniana,591181,5,2,2,1,3,2.5,402
Primula magellanica,635475,5,2,2,1,3,2.5,403
Anemone multifida,75442,4,2,2,0,2,2.0,404
Senna didymobotrya,79060,4,2,2,0,2,2.0,405
Ipomoea violacea,131556,4,2,2,0,2,2.0,406
Thelymitra cyanea,140286,4,2,2,0,2,2.0,407
Melochia tomentosa,165296,4,2,2,0,2,2.0,408
Senecio pseudoarnica,168826,4,2,2,0,2,2.0,409
Lindenbergia indica,186112,4,2,2,0,2,2.0,410
Linaria canadensis,287345,4,2,2,0,2,2.0,411
Burchellia bubalina,320155,4,2,2,0,2,2.0,412
Prasophyllum colensoi,405236,4,2,2,0,2,2.0,413
Trollius asiaticus,431703,4,2,2,0,2,2.0,414
Fragaria viridis,447812,4,2,2,0,2,2.0,415
Handroanthus serratifolius,479408,4,2,2,0,2,2.0,416
Lysiana exocarpi,481922,4,2,2,0,2,2.0,417
Daviesia leptophylla,520337,4,2,2,0,2,2.0,418
Acianthus pusillus,549968,4,2,2,0,2,2.0,419
Eulophia angolensis,585530,4,2,2,0,2,2.0,420
Viscaria alpina,741458,4,2,2,0,2,2.0,421
Ruellia asperula,1007786,4,2,2,0,2,2.0,422
Tarenaya longicarpa,1124516,4,2,2,0,2,2.0,423
Menyanthes trifoliata,78016,16,15,1,0,2,1.0,424
Solanum americanum,59035,12,11,1,0,2,1.0,425
Allamanda cathartica,62937,12,11,1,0,2,1.0,426
Passiflora vesicaria,1438095,13,10,1,1,4,1.0,427
Leucanthemum vulgare,56057,11,10,1,0,2,1.0,428
Thespesia populnea,82768,11,10,1,0,2,1.0,429
Impatiens glandulifera,47892,10,9,1,0,2,1.0,430
Mirabilis jalapa,50616,10,9,1,0,2,1.0,431
Ricinus communis,56739,10,9,1,0,2,1.0,432
Melilotus albus,58907,10,9,1,0,2,1.0,433
Cleome viscosa,160710,10,9,1,0,2,1.0,434
Lysimachia loeflingii,1467819,10,8,1,1,3,1.0,435
Tecoma stans,48363,9,8,1,0,2,1.0,436
Medicago lupulina,57056,9,8,1,0,2,1.0,437
Psidium guajava,62859,9,8,1,0,2,1.0,438
Etlingera elatior,126577,9,8,1,0,2,1.0,439
Impatiens balsamina,133350,9,8,1,0,2,1.0,440
Averrhoa carambola,146977,17,7,1,1,11,1.0,441
Opuntia stricta,47898,10,7,1,1,4,1.0,442
Pilosella aurantiaca,711103,10,7,1,1,4,1.0,443
Ipomoea aquatica,164077,9,7,1,1,3,1.0,444
Torenia crustacea,852222,9,7,1,1,3,1.0,445
Bidens pilosa,50203,8,7,1,0,2,1.0,446
Passiflora foetida,51448,8,7,1,0,2,1.0,447
Solanum lycopersicum,51737,8,7,1,0,2,1.0,448
Acacia auriculiformis,52445,8,7,1,0,2,1.0,449
Opuntia ficus-indica,64119,8,7,1,0,2,1.0,450
Cucumis melo,76538,8,7,1,0,2,1.0,451
Galium verum,84328,8,7,1,0,2,1.0,452
Hedychium coronarium,143955,8,7,1,0,2,1.0,453
Calophyllum inophyllum,159698,8,7,1,0,2,1.0,454
Jatropha integerrima,164240,8,7,1,0,2,1.0,455
Nymphaea rubra,441312,9,6,1,1,4,1.0,456
Leonotis nepetifolia,141634,8,6,1,1,3,1.0,457
Aquilegia vulgaris,51807,7,6,1,0,2,1.0,458
Viola arvensis,55760,7,6,1,0,2,1.0,459
Viola odorata,55845,7,6,1,0,2,1.0,460
Pastinaca sativa,59778,7,6,1,0,2,1.0,461
Lythrum salicaria,61321,7,6,1,0,2,1.0,462
Evolvulus nummularius,83417,7,6,1,0,2,1.0,463
Rosa rugosa,83653,7,6,1,0,2,1.0,464
Ribes triste,118750,7,6,1,0,2,1.0,465
Ipomoea hederifolia,126300,7,6,1,0,2,1.0,466
Malvastrum coromandelianum,165115,7,6,1,0,2,1.0,467
Thunbergia fragrans,169742,7,6,1,0,2,1.0,468
Hewittia malabarica,520283,7,6,1,0,2,1.0,469
Heterotis rotundifolia,539111,7,6,1,0,2,1.0,470
Senega paniculata,1569127,7,6,1,0,2,1.0,471
Ipomoea triloba,62942,9,5,1,1,5,1.0,472
Andrographis paniculata,143423,9,5,1,1,5,1.0,473
Silene dioica,55759,8,5,1,1,4,1.0,474
Andromeda polifolia,119892,8,5,1,1,4,1.0,475
Cochlospermum vitifolium,132130,8,5,1,1,4,1.0,476
