species,species_index,retained_edge_occurrences,partial_rho_colour_vs_terrain_given_distance
Cardamine amara,55,5237,-0.009562027436636747
Cardamine concatenata,56,5077,-0.057610370833753484
Cardamine hirsuta,57,5406,0.09965359796399491
Carlina hispanica,58,5274,0.010542934011914216
Carlina vulgaris,59,5266,0.0016913546550015187
Carthamus mitissimus,60,5177,0.00794067825988268
Castilleja exserta,61,5217,0.06906803892232753
Castilleja foliolosa,62,5079,0.0907010202298561
Centranthus calcitrapae,63,5491,-0.024586256401884676
Centrosema virginianum,64,5529,0.06766719730259492
Cerastium fontanum,65,5156,0.006242594863563028
Chaenorhinum origanifolium,66,5484,0.052064636528059975
Chelone lyonii,67,5495,0.06062723689460792
Chondrilla juncea,68,5244,0.08957139592658758
Cipura campanulata,69,5214,-0.005482748763906739
Cistus albidus,70,5297,-0.03193296908918397
Cistus crispus,71,5362,0.0093199638702973
Clematis virginiana,72,5200,-0.09663383228583977
Clinopodium alpinum,73,5315,0.0599876737903337
Cneoridium dumosum,74,5513,0.002435109991985834
Cochlospermum vitifolium,75,5155,0.12561385435982514
Coleogyne ramosissima,76,5270,-0.08874478599820124
Coleostephus myconis,77,5498,0.08144970085847679
Collinsia grandiflora,78,5262,-0.008581468153086741
Commelina benghalensis,79,5290,-0.01993358314825758
Commelina communis,80,5261,0.2630230389969493
Commelina diffusa,81,5209,-0.004447309154877551
Conoclinium betonicifolium,82,5435,0.040973991354064064
Conopholis alpina,83,5380,0.006742423169452506
Conospermum caeruleum,84,5651,-0.056166412228014946
Convolvulus elegantissimus,85,5252,0.04971030462174429
Cornus florida,86,5123,0.11850733817483504
Cornus sanguinea,87,5322,-0.07118369559044349
Cornus suecica,88,5114,-0.04490151086398879
Corydalis aurea,89,5258,0.01999314346482283
Cotula coronopifolia,90,5066,-0.08159610358548051
Crepis biennis,91,5558,-0.020017568144281683
Crepis sancta,92,5385,-0.10681411354018763
Cryptantha barbigera,93,5282,0.12193140229339203
Cylindropuntia echinocarpa,94,5243,-0.11988077844261634
Cypripedium guttatum,95,5330,-0.04155607503576885
Dalea candida,96,5287,-0.0866185641715434
Dampiera stricta,97,5442,-0.03251457438234801
Delphinium glaucum,98,5411,0.07325005228454069
Delphinium sutherlandii,99,5354,0.023065779266776054
Desmanthus illinoensis,100,5162,-0.05895262297936091
Diplacus mephiticus,101,5479,0.022752096243821327
Diplotaxis tenuifolia,102,5482,0.014686920990032555
Disphyma crassifolium,103,5590,-0.14789830209727717
Distimake aegyptius,104,5562,0.1003129241848824
Distimake dissectus,105,5484,0.29161110991503186
Drosera spatulata,106,5117,-0.09913561039247885
Dyssodia pinnata,107,5272,-0.041092664482937524
Echium gaditanum,108,5182,-0.013866633644219403
Echium rosulatum,109,5176,-0.04324851484575572
Ehretia anacua,110,5365,0.026031190997211164
Elephantopus carolinianus,111,5228,0.09215383922413949
Epacris obtusifolia,112,5322,-0.09065592740615071
Erechtites hieraciifolius,113,5392,-0.04849604334485166
Erigeron foliosus,114,5078,-0.059704908198356804
Erigeron linearis,115,5402,-0.10121394122726876
Eriodictyon crassifolium,116,5073,0.011735546841492877
Eriogonum jamesii,117,5689,-0.10614266108530196
Eriogonum latifolium,118,5167,-0.03723083001993031
Eriogonum niveum,119,5498,0.00028870638123392904
Eriophorum vaginatum,120,5298,-0.18918374103417387
Eriophyllum confertiflorum,121,5152,-0.007650641517603118
Eryngium planum,122,5557,0.16168600821108223
Erythranthe dentata,123,5048,0.05540243434569912
Erythranthe erubescens,124,5236,0.05112491423528117
Erythrina humeana,125,5494,-0.0882634609435822
Eschscholzia minutiflora,126,5577,0.032529375979650284
Euonymus obovatus,127,5344,-0.09065739056143933
Eupatorium altissimum,128,5318,-0.006275557216251115
Euphorbia cyparissias,129,5498,-0.021194297615273493
Eurybia divaricata,130,5195,-0.138286317269348
Eutrochium fistulosum,131,5361,-0.05075200917461709
Eutrochium maculatum,132,5415,-0.07101318589080911
Eysenhardtia texana,133,5315,-0.033887273963492934
Falcaria vulgaris,134,5300,-0.09306493132624222
Fritillaria pyrenaica,135,5351,0.02275791904838114
Galinsoga parviflora,136,5557,-0.0015276185743082918
Gazania rigens,137,5514,0.01297345839148782
Gentiana acaulis,138,5342,-0.0006804217455669558
Gentiana parryi,139,5499,-0.003265093173392879
Geranium macrorrhizum,140,5588,-0.14404273417267985
Geranium molle,141,5276,-0.09543399465535046
Geranium richardsonii,142,5266,-0.0518081325689726
Geranium yeoi,143,5395,-0.06965920055892864
Geum canadense,144,5235,0.024903987029688622
Geum macrophyllum,145,5588,0.12913905210314852
Geum urbanum,146,5521,0.03368773852539155
Gompholobium huegelii,147,5283,0.06382942876586989
Goodenia ovata,148,5382,-0.08286379601192936
Grevillea alpina,149,5274,-0.01237857922394385
Grevillea lavandulacea,150,5524,0.018649981137888016
Guzmania monostachia,151,5577,-0.054639279883429516
Hedypnois rhagadioloides,152,5383,0.0002293067384482629
Helenium autumnale,153,5305,0.02955251409432716
Helianthus divaricatus,154,5109,0.09622923997124794
Hepatica acutiloba,155,5082,-0.03619471739785414
Hibbertia cuneiformis,156,5195,-0.03212180039912337
Hibiscus denudatus,157,5206,-0.0764053715120695
Hofmeisteria fasciculata,158,5448,-0.19005467983552876
Homogyne alpina,159,5424,0.010743807499230451
Hyacinthoides non-scripta,160,5607,-0.008157496155036819
Hypocalymma robustum,161,5261,0.06773495567493552
Iliamna rivularis,162,5285,-0.00933925568707039
Ipomoea cairica,163,5302,0.021503955947442928
Ipomoea pes-caprae,164,5482,-0.041112343873826555
Jacobaea adonidifolia,165,5217,-0.04287220086967473
Jaumea carnosa,166,5298,0.04238674910608803
Johnstonella angustifolia,167,5418,0.020030462449575504
Lachenalia reflexa,168,5595,0.16479191727517012
Lamprocapnos spectabilis,169,5432,0.011296880734655568
Lantana involucrata,170,5676,0.17615059274805028
Lathyrus japonicus,171,5112,-0.04993901926343564
Lathyrus palustris,172,5242,0.1447498322276224
Lathyrus pratensis,173,5375,-0.07725144017078249
Lepidium campestre,174,5299,0.05022885906871988
Lepidium fremontii,175,5289,-0.05333900741688337
Leucaena leucocephala,176,5197,0.022664186560755917
Leucopogon affinis,177,5177,-0.015772243257696144
Leucopogon microphyllus,178,5540,-0.005303339488611524
Ligustrum obtusifolium,179,5273,0.19586907576642099
Linum catharticum,180,5550,-0.02368570426192356
Linum lewisii,181,5405,0.04939799370495938
Lithospermum canescens,182,5256,-0.033095569345062935
Lobelia erinus,183,5183,-0.08954050426626707
Loeselia glandulosa,184,5365,0.04610797081709911
Ludwigia peruviana,185,5331,-0.06756150503986957
Lupinus arizonicus,186,5447,-0.0978052005975647
Lupinus havardii,187,5392,-0.09716192698803824
Lupinus microcarpus,188,5187,0.12781272166025445
Lysimachia loeflingii,189,5494,-0.03719698739706501
Lysimachia quadrifolia,190,5265,0.009095174632628098
Malacothrix saxatilis,191,5361,-0.09575729044776982
Malva moschata,192,5427,0.08217850093149287
Malva thuringiaca,193,5403,-0.2667747484548493
Mazus miquelii,194,5341,0.03186260711728037
Mecardonia procumbens,195,5470,-0.015862832459976668
Medicago lupulina,196,5313,0.12981794774225347
Medicago marina,197,5320,-0.08720429071018056
Melaleuca citrina,198,5711,-0.002809520760194764
Melastoma candidum,199,5565,-0.07171573506232161
Melastoma malabathricum,200,5277,-0.12836084497962014
Melothria pendula,201,5608,-0.0739909963285608
Micranthes petiolaris,202,5396,0.059256160549272484
Mitchella repens,203,5209,0.12906711697672366
Moraea flaccida,204,5325,0.015387701126454593
Muscari armeniacum,205,5442,0.06267149482545711
Muscari botryoides,206,5335,-0.019572581358234743
Myosotis latifolia,207,5558,-0.012152803048475403
Myosotis laxa,208,5097,0.06490987707600077
Myosotis sparsiflora,209,5687,0.02402467606512305
Myrica gale,210,5668,-0.10835151317015936
Myrtus communis,211,5339,-0.1080856287271657
Nama hispida,212,5472,0.07905000180800356
Navarretia heterodoxa,213,5634,-0.03933508596240195
Nelumbo nucifera,214,5206,0.013277831707511765
Nicandra physalodes,215,5216,0.011564151210961673
Nicotiana longiflora,216,5969,0.04104795357748595
Ochna serrulata,217,5752,0.02863478034730781
Odontites luteus,218,5295,0.07636892095181373
Olearia lirata,219,5536,0.044508264288100334
Olsynium biflorum,220,5548,-0.06892850380226544
Omphalodes verna,221,5217,0.041853832200174045
Oreomecon alpina,222,5593,0.01440430931959894
Ornithopus compressus,223,5475,0.07761459387268112
Oxalis violacea,224,5150,-0.042553731553565136
Oxytropis campestris,225,5250,0.0010389956964949028
Papaver dubium,226,5665,-0.10030397566257786
Parthenium confertum,227,5347,0.02432115749661008
Passiflora mixta,228,5484,0.10307079179835217
Pectis multiseta,229,5132,-0.09667046234371152
Pectis papposa,230,5361,0.07551680836220515
Penstemon speciosus,231,5346,-0.029186796696940756
Pentanema squarrosum,232,5319,-0.00797409281487671
Persicaria nepalensis,233,5426,0.036507496889931906
Persicaria pensylvanica,234,5516,0.013349096026634573
Phlomoides tuberosa,235,5159,0.13932839154906043
Phlox diffusa,236,5334,0.09566894522710317
Phlox longifolia,237,5228,-0.03935243090824672
Phlox roemeriana,238,5676,-0.0278641017367353
Pimelea serpyllifolia,239,5585,0.07138709028682681
Pinguicula vulgaris,240,5246,-0.01808910058981706
Piqueria trinervia,241,5506,0.001566521628193945
Pittosporum revolutum,242,5336,-0.037711116275792274
Plantago media,243,5428,0.17551595871022488
Polycalymma stuartii,244,5291,-0.07186321381970245
Polygala comosa,245,5401,0.19485857398296763
Portulaca suffrutescens,246,5669,-0.025846594608597874
Potentilla concinna,247,5693,0.02499443434767778
Potentilla indica,248,5541,0.21651002015367943
Potentilla simplex,249,5139,-0.0253202130887439
Primula elatior,250,5334,0.058726822803268575
Prunus mahaleb,251,5309,-0.13090798022253153
Pseudo-fumaria lutea,252,5203,-0.01599502092362633
Pseudognaphalium affine,253,5656,0.04064801353193085
Pulmonaria obscura,254,5330,-0.05446858028595299
Pultenaea villosa,255,5233,0.05879315669735686
Purshia stansburyana,256,5496,0.12959735085098156
Pycnanthemum virginianum,257,5239,0.17520156107169832
Pyrola elliptica,258,5412,0.0996241496537281
Ranunculus kuepferi,259,5307,-0.09919998422301746
Ranunculus lyallii,260,5420,-0.02908891665793282
Ranunculus trichophyllus,261,5356,-0.05446921337209948
Ranunculus uncinatus,262,5630,0.02897002502850613
Rhododendron canadense,263,5495,0.10531513203890017
Rhododendron catawbiense,264,5716,0.03058607564467866
Rhododendron pseudochrysanthum,265,5526,-0.16274183380048216
Rhododendron tomentosum,266,5241,0.0999452520438668
Rhynchospora colorata,267,5326,0.00313596921160378
Rorippa palustris,268,5434,-0.03344925895553284
Rosa blanda,269,5440,0.20435223345020073
Rosa multiflora,270,5505,-0.005968836928710537
Rubus chamaemorus,271,5077,-0.14845555621660217
Rubus odoratus,272,5381,-0.05270098705260228
Rubus trivialis,273,5220,-0.04492667734680567
Rudbeckia triloba,274,5232,0.08543672032806728
Sagittaria lancifolia,275,5493,-0.03775249440085869
Sagittaria latifolia,276,5470,0.1982324545021495
Sairocarpus pusillus,277,5518,0.06125453782603425
Salvia amarissima,278,5678,-0.08593800780326759
Salvia hispanica,279,5784,0.21869184970922123
Salvia lavanduloides,280,5192,0.04759807043154597
Salvia polystachia,281,5518,-0.011545369136959825
Salvia prunelloides,282,5232,-0.043139667324440974
Salvia verticillata,283,5173,0.07765900365976416
Sambucus mexicana,284,5493,-0.05883073843487831
Sanguinaria canadensis,285,5233,0.18620319358914164
Satureja montana,286,5338,-0.14725089278014297
Saxifraga granulata,287,5299,-0.06674233119809744
Saxifraga tridactylites,288,5410,-0.02895258002144262
Scilla bifolia,289,5375,-0.08309168166555272
Scilla luciliae,290,5371,-0.06449417452283573
Scilla verna,291,5213,0.08898933406518189
Senecio mohavensis,292,5621,0.08077207555323232
Senecio ovatus,293,5387,-0.025927756627707826
Senecio triangularis,294,5278,0.0074610388120566
Senecio vernalis,295,5438,0.07285476161485685
Senegalia berlandieri,296,5283,0.03584587691808616
Senna artemisioides,297,5499,-0.09974305427936364
Senna hebecarpa,298,5182,0.032102679433138256
Sericocarpus linifolius,299,5364,0.009638296284178144
Sesbania drummondii,300,5557,0.0766366918670802
Sidalcea candida,301,5392,0.08475609965050787
Sideranthus spinulosus,302,5299,-0.027117829894402014
Sisymbrium irio,303,5589,0.0741556382844553
Sixalix atropurpurea,304,5474,0.15784796852752472
Solanum crispum,305,5770,-0.01887695503270808
Solanum elaeagnifolium,306,5365,0.038111048751670686
Solanum furcatum,307,5434,0.02154210662209361
Solanum laxum,308,5185,0.03158458622661243
Solanum lycopersicum,309,5563,0.049153638959847284
Solanum pseudocapsicum,310,4994,0.08430653611646119
Solidago ptarmicoides,311,5299,-0.10513027682277874
Solidago uliginosa,312,5506,0.14491258334375
Solidago virgaurea,313,5350,-0.02290430622033975
Sparaxis tricolor,314,5544,0.11872889524368219
Sphaeralcea ambigua,315,5459,-0.049341342010427454
Sphaeralcea coccinea,316,5181,0.10634896355121382
Stachys palustris,317,5128,-0.11548941626921393
Stevia serrata,318,5482,-0.10325538090644044
Streptosolen jamesonii,319,5384,0.14078572520348587
Stypandra glauca,320,5371,-0.06862349580249244
Symphyotrichum puniceum,321,5568,-0.11767664018724301
Symphyotrichum subulatum,322,5045,-0.1712758875233068
Symphytum officinale,323,5376,0.04785775451950424
Symplocos tinctoria,324,5371,-0.018700478302803445
Talinum fruticosum,325,5176,0.13173695870388422
Talinum paniculatum,326,5370,0.13650617153782355
Tanacetum vulgare,327,5203,-0.10285894899302157
Taraxacum erythrospermum,328,5287,-0.11848112413054224
Telekia speciosa,329,5651,0.008309619265983767
Tetratheca thymifolia,330,5302,-0.02603207644039563
Thysanocarpus curvipes,331,5339,-0.1108988657180924
Tiarella stolonifera,332,5223,-0.024652358081067607
Tinantia erecta,333,5789,0.12227720908491266
Tithonia tubaeformis,334,5849,-0.048606019508789414
Trachymene composita,335,5893,0.10215510212521414
Tragopogon porrifolius,336,5287,-0.016334168177259332
Trifolium incarnatum,337,5448,0.14909316791713628
Trifolium repens,338,5417,0.0202952066326132
Tripolium pannonicum,339,5259,0.04890005730159066
Triteleia laxa,340,5462,0.003061092263509108
Trixis inula,341,5619,0.04883027962322656
Trollius albiflorus,342,5450,-0.06964497605475473
Turnera subulata,343,5112,-0.00018476074039913725
Verbascum thapsus,344,5187,-0.08199188025208706
Verbena rigida,345,5199,-0.048957605638083
Veronica cymbalaria,346,5601,-0.1662626017180487
Veronica longifolia,347,5320,0.012916002404101507
Veronica officinalis,348,5313,0.2543593386476482
Veronica polita,349,5426,0.10513589698026411
Veronica prostrata,350,5275,0.025350150626428564
Veronica spicata,351,5091,-0.07383608505418479
Vicia lathyroides,352,5528,-0.01347934538172265
Viminaria juncea,353,5592,-0.13962774996405072
Vincetoxicum hirundinaria,354,5329,0.1459935910745977
Viola blanda,355,5306,-0.012742779510088682
Viola cucullata,356,5346,-0.043889174034726086
Viola hirta,357,5321,0.15657209153895243
Viola lutea,358,5262,-0.06497629326381839
Viola mirabilis,359,5573,-0.029996221685134338
Viola pedunculata,360,5285,-0.06796200273140415
Viola rostrata,361,5188,-0.027076455291721882
Viola tricolor,362,5633,0.0859582697662414
Viscaria vulgaris,363,5264,-0.17683903614781019
Vitex agnus-castus,364,5573,0.04048156464712723
Whipplea modesta,365,5106,0.0668871911601776
Wyethia angustifolia,366,5547,-0.031188270579416012
Zanthoxylum americanum,367,5191,-0.07509940179876104
Zephyranthes atamasco,368,5282,-0.036977715384665474
