family,correlation,target_block,true_target_effect,replicates,target_holm_power,family_any_discovery_probability,target_one_test_power,holm_power_cost
five_environmental_parent_blocks,0.25,water_balance,0.0,100000,0.01017,0.04653,0.0502,0.04003
five_environmental_parent_blocks,0.25,water_balance,0.0025,100000,0.04513,0.07723,0.15232,0.10719000000000001
five_environmental_parent_blocks,0.25,water_balance,0.005,100000,0.14027,0.16424,0.34258,0.20231
five_environmental_parent_blocks,0.25,water_balance,0.0075,100000,0.32257,0.33735,0.58536,0.26278999999999997
five_environmental_parent_blocks,0.25,water_balance,0.01,100000,0.56336,0.57058,0.79905,0.23569000000000007
five_environmental_parent_blocks,0.25,water_balance,0.015,100000,0.91957,0.92001,0.98169,0.06211999999999995
five_environmental_parent_blocks,0.25,water_balance,0.02,100000,0.9962,0.9962,0.9996,0.0034000000000000696
five_environmental_parent_blocks,0.25,atmospheric_energy_dryness,0.0,100000,0.01065,0.04651,0.04885,0.0382
five_environmental_parent_blocks,0.25,atmospheric_energy_dryness,0.0025,100000,0.04911,0.08023,0.16433,0.11522
five_environmental_parent_blocks,0.25,atmospheric_energy_dryness,0.005,100000,0.16336,0.18592,0.38205,0.21869
five_environmental_parent_blocks,0.25,atmospheric_energy_dryness,0.0075,100000,0.37996,0.39221,0.64791,0.26794999999999997
five_environmental_parent_blocks,0.25,atmospheric_energy_dryness,0.01,100000,0.64535,0.65023,0.85327,0.20792
five_environmental_parent_blocks,0.25,atmospheric_energy_dryness,0.015,100000,0.95681,0.95702,0.99185,0.03503999999999996
five_environmental_parent_blocks,0.25,atmospheric_energy_dryness,0.02,100000,0.99899,0.99899,0.99988,0.0008899999999999464
five_environmental_parent_blocks,0.25,edaphic_regime,0.0,100000,0.01049,0.0461,0.05018,0.03969
five_environmental_parent_blocks,0.25,edaphic_regime,0.0025,100000,0.03341,0.06629,0.12146,0.08804999999999999
five_environmental_parent_blocks,0.25,edaphic_regime,0.005,100000,0.08539,0.11335,0.24211,0.15672
five_environmental_parent_blocks,0.25,edaphic_regime,0.0075,100000,0.18449,0.20612,0.41263,0.22814
five_environmental_parent_blocks,0.25,edaphic_regime,0.01,100000,0.33425,0.34823,0.59893,0.26467999999999997
five_environmental_parent_blocks,0.25,edaphic_regime,0.015,100000,0.69694,0.70081,0.88571,0.18877
five_environmental_parent_blocks,0.25,edaphic_regime,0.02,100000,0.92913,0.9296,0.98391,0.05477999999999994
five_environmental_parent_blocks,0.5,terrain_structure,0.0,100000,0.01158,0.0394,0.05037,0.03879
five_environmental_parent_blocks,0.5,terrain_structure,0.0025,100000,0.04431,0.06551,0.14945,0.10514
five_environmental_parent_blocks,0.5,terrain_structure,0.005,100000,0.13281,0.14563,0.33062,0.19781
five_environmental_parent_blocks,0.5,terrain_structure,0.0075,100000,0.30257,0.30821,0.56541,0.26283999999999996
five_environmental_parent_blocks,0.5,terrain_structure,0.01,100000,0.53317,0.53476,0.77787,0.24469999999999992
five_environmental_parent_blocks,0.5,terrain_structure,0.015,100000,0.90081,0.90083,0.97422,0.07340999999999998
five_environmental_parent_blocks,0.5,terrain_structure,0.02,100000,0.99312,0.99312,0.99912,0.006000000000000005
five_environmental_parent_blocks,0.5,thermal_regime,0.0,100000,0.01117,0.04024,0.0498,0.03863
five_environmental_parent_blocks,0.5,thermal_regime,0.0025,100000,0.05112,0.07227,0.16681,0.11569000000000002
five_environmental_parent_blocks,0.5,thermal_regime,0.005,100000,0.16768,0.1789,0.38871,0.22103
five_environmental_parent_blocks,0.5,thermal_regime,0.0075,100000,0.388,0.39207,0.65341,0.26541000000000003
five_environmental_parent_blocks,0.5,thermal_regime,0.01,100000,0.65246,0.65323,0.85827,0.20580999999999994
five_environmental_parent_blocks,0.5,thermal_regime,0.015,100000,0.95998,0.95998,0.99267,0.03269
five_environmental_parent_blocks,0.5,thermal_regime,0.02,100000,0.99911,0.99911,0.99993,0.0008199999999999319
five_environmental_parent_blocks,0.5,water_balance,0.0,100000,0.0111,0.03965,0.04909,0.03799
five_environmental_parent_blocks,0.5,water_balance,0.0025,100000,0.04521,0.06704,0.15347,0.10826
five_environmental_parent_blocks,0.5,water_balance,0.005,100000,0.1416,0.15411,0.34492,0.20332
five_environmental_parent_blocks,0.5,water_balance,0.0075,100000,0.32389,0.32881,0.5859,0.26200999999999997
five_environmental_parent_blocks,0.5,water_balance,0.01,100000,0.56294,0.56434,0.80013,0.23719
five_environmental_parent_blocks,0.5,water_balance,0.015,100000,0.91974,0.91975,0.98154,0.061799999999999966
five_environmental_parent_blocks,0.5,water_balance,0.02,100000,0.99607,0.99607,0.99947,0.0033999999999999586
five_environmental_parent_blocks,0.5,atmospheric_energy_dryness,0.0,100000,0.01098,0.04014,0.05034,0.039360000000000006
five_environmental_parent_blocks,0.5,atmospheric_energy_dryness,0.0025,100000,0.0513,0.07228,0.16675,0.11545000000000001
five_environmental_parent_blocks,0.5,atmospheric_energy_dryness,0.005,100000,0.16583,0.17701,0.38272,0.21689
five_environmental_parent_blocks,0.5,atmospheric_energy_dryness,0.0075,100000,0.38031,0.38409,0.64552,0.26521
five_environmental_parent_blocks,0.5,atmospheric_energy_dryness,0.01,100000,0.64258,0.64342,0.85114,0.20855999999999997
five_environmental_parent_blocks,0.5,atmospheric_energy_dryness,0.015,100000,0.956,0.95602,0.99137,0.03537000000000001
five_environmental_parent_blocks,0.5,atmospheric_energy_dryness,0.02,100000,0.9989,0.9989,0.99994,0.001040000000000041
five_environmental_parent_blocks,0.5,edaphic_regime,0.0,100000,0.01126,0.04053,0.04999,0.03873
five_environmental_parent_blocks,0.5,edaphic_regime,0.0025,100000,0.03364,0.05757,0.12164,0.088
five_environmental_parent_blocks,0.5,edaphic_regime,0.005,100000,0.08653,0.10346,0.24425,0.15772
five_environmental_parent_blocks,0.5,edaphic_regime,0.0075,100000,0.18523,0.19546,0.41333,0.22809999999999997
five_environmental_parent_blocks,0.5,edaphic_regime,0.01,100000,0.33478,0.33962,0.59896,0.26418
five_environmental_parent_blocks,0.5,edaphic_regime,0.015,100000,0.69746,0.69794,0.88434,0.18688000000000005
five_environmental_parent_blocks,0.5,edaphic_regime,0.02,100000,0.92905,0.92908,0.9844,0.05535000000000001
