edge_id,cell_i,cell_j,opportunities,transition_count,persistence,species_turnover_jsd_bits,candidate_n_i,candidate_n_j,species_n_i,species_n_j,shared_species,union_species,species_jaccard_similarity
69:70,69,70,200,2,0.01,0.8928847309404366,200,200,138,152,16,274,0.058394160583941604
69:87,69,87,200,4,0.02,0.9402184731300087,200,200,138,134,7,265,0.026415094339622643
70:71,70,71,200,4,0.02,0.8518195174853553,200,200,152,126,20,258,0.07751937984496124
70:88,70,88,200,0,0.0,0.9542475428601078,200,101,152,65,4,213,0.018779342723004695
71:89,71,89,0,0,,0.9455039295583128,200,5,126,5,2,129,0.015503875968992248
72:73,72,73,0,0,,,2,0,2,0,0,2,0.0
72:89,72,89,0,0,,0.9999999999999999,2,5,2,5,0,7,0.0
72:90,72,90,0,0,,0.9313720646357846,2,43,2,34,1,35,0.02857142857142857
73:74,73,74,0,0,,,0,0,0,0,0,0,
73:91,73,91,0,0,,,0,200,0,97,0,97,0.0
74:75,74,75,0,0,,,0,0,0,0,0,0,
74:92,74,92,0,0,,,0,0,0,0,0,0,
75:76,75,76,0,0,,,0,200,0,103,0,103,0.0
75:93,75,93,0,0,,,0,200,0,143,0,143,0.0
76:77,76,77,200,48,0.24,0.9656712625300629,200,200,103,173,5,271,0.01845018450184502
76:94,76,94,200,13,0.065,0.9534588285890392,200,200,103,181,6,278,0.02158273381294964
77:78,77,78,200,9,0.045,0.9604342474379353,200,200,173,180,6,347,0.01729106628242075
77:95,77,95,200,0,0.0,0.9520307325243563,200,200,173,174,9,338,0.026627218934911243
78:79,78,79,200,47,0.235,0.8810916900276242,200,200,180,143,18,305,0.05901639344262295
78:96,78,96,200,7,0.035,0.9461725132921215,200,89,180,59,6,233,0.02575107296137339
79:80,79,80,200,2,0.01,0.9416208106406566,200,137,143,87,5,225,0.022222222222222223
79:97,79,97,200,0,0.0,0.9475412849454964,200,108,143,54,4,193,0.02072538860103627
80:81,80,81,200,25,0.125,0.7637899729829283,137,200,87,146,25,208,0.1201923076923077
80:98,80,98,200,6,0.03,0.831712858168598,137,200,87,130,18,199,0.09045226130653267
81:82,81,82,200,1,0.005,0.8836378646158946,200,200,146,156,16,286,0.055944055944055944
