species,pre_frame_classifiable_photos,climate_complete_cells,climate_complete_classifiable_photos,cell_pairs,spearman_rho,mean_climate_rms_distance,mean_colour_jsd_bits
Hibiscus tiliaceus,14,11,14,55,-0.11587301587301589,0.7315142818283786,0.3648880903086011
Hippobroma longiflora,15,10,15,45,0.1259562821948621,0.892446847771276,0.17476328176046638
Ipomoea cairica,18,15,18,105,0.02481857764876633,0.972535878852073,0.3203611620084815
Ipomoea indica,15,11,14,55,-0.13434343434343435,1.102371120782267,0.10848385604382631
Ipomoea pes-caprae,38,21,33,210,-0.043257864609822706,0.855844754437293,0.25905706798239264
Jatropha gossypiifolia,10,7,9,21,-0.02207792207792208,0.9452332336506046,0.23193355895167955
Kalmia procumbens,24,6,24,15,-0.04285714285714286,0.45726246672774706,0.10042532211816563
Lamium purpureum,15,8,15,28,-0.0695128626163109,0.6666117718602474,0.21272581781104422
Lantana camara,48,28,47,378,0.014079118346245999,0.9947460763147603,0.21244214623747432
Lathyrus tuberosus,30,9,30,36,0.02290862290862291,0.6720062011991133,0.11731959908007696
Leucaena leucocephala,18,10,15,45,0.2061923583662714,1.128825479039482,0.07424095263540219
Luffa aegyptiaca,11,7,11,21,-0.004552851547167105,0.9884753347230324,0.26566084894159187
Lupinus nootkatensis,16,5,16,10,0.3212121212121212,0.40342884974214455,0.07997554905206875
Mimosa pudica,36,18,35,153,-0.13676236044657097,0.617561358560592,0.15699155358390113
Momordica charantia,17,13,17,78,0.024292163532669858,0.8671581943492094,0.10933933314942167
Morinda citrifolia,11,8,8,28,0.04218023883560654,0.5228051159844288,0.21329834005649753
Nicotiana glauca,10,8,9,28,0.030651340996168588,0.96361721182602,0.2506052652894851
Oenothera rosea,11,5,11,10,-0.5272727272727272,1.0700364824568962,0.144491724081469
Oxalis barrelieri,13,6,13,15,-0.15714285714285714,1.077375299118102,0.16504200790604656
Oxalis corniculata,20,14,18,91,0.2552476508998248,1.057444933137156,0.12308297878317222
Oxalis debilis,13,8,12,28,0.21401204159824852,1.124765687741612,0.21245308043751163
Parnassia palustris,36,14,36,91,-0.04315973881191273,0.7184204627730576,0.010956512298614536
Pemphis acidula,16,9,13,36,0.45019305019305017,0.8976520329205651,0.173372859777853
Persicaria capitata,14,10,14,45,-0.2617918313570487,1.002669089281003,0.0970500828252438
Phyla nodiflora,11,5,5,10,0.3090909090909091,0.8253677060940865,0.10411227409521986
Pontederia crassipes,17,13,17,78,0.11812238394516873,0.9491562398357964,0.16328736946050207
Pulsatilla nuttalliana,14,8,14,28,0.07443897099069514,0.5262430447565876,0.35868029449650896
Rubus chamaemorus,19,11,19,55,0.2624098124098124,0.6263715173722348,0.06898941466825646
Ruellia simplex,13,8,13,28,-0.024083196496989603,0.7404557739126882,0.24173117647324388
Saxifraga oppositifolia,17,7,17,21,0.05974025974025974,0.708556603154447,0.07488311344211264
Scaevola taccada,36,16,24,120,-0.16779637474824644,0.7462943453301009,0.06711571489673816
Silene acaulis,18,8,18,28,-0.0695128626163109,0.6307166619382055,0.17784325111110408
Silybum marianum,10,7,10,21,0.2506493506493506,1.1130488620272794,0.24097784891659005
Spathodea campanulata,11,8,11,28,0.06677613574165299,0.6967414880921842,0.18307368755249537
Spathoglottis plicata,15,10,15,45,0.13201581027667983,0.6116578785735362,0.35681066615353996
Synedrella nodiflora,21,11,18,55,-0.18049242132377977,0.9052517507450798,0.10387670896045091
Taraxacum officinale,24,16,24,120,-0.1709563164108619,0.83290822591442,0.13280011670091488
Tridax procumbens,56,26,51,325,-0.029072763183192633,1.0171121181769565,0.038499659885207815
Trifolium pratense,21,16,21,120,0.21912632821723735,0.8874733230379958,0.28227621044508383
Trifolium repens,23,15,23,105,0.018401409910843877,1.1114738311909302,0.05194740365393132
Tripleurospermum inodorum,10,5,10,10,-0.40606060606060607,0.6804089516630984,0.06648539851634724
Turnera subulata,23,11,23,55,0.26327561327561333,0.6348796592626015,0.1353811114225531
Veronica chamaedrys,11,5,11,10,0.05454545454545454,0.4792552442812289,0.11680267625961493
Veronica persica,11,6,10,15,0.03571428571428571,0.8298613723443259,0.16760107627813386
Viola tricolor,11,6,11,15,-0.2714285714285714,0.8544109264938576,0.23391657736199303
