species,photos,pairs,observed_rho,null_mean_rho,null_q025_rho,null_q975_rho,p_upper_exploratory,p_bh_exploratory,bh_detectable_0_05
Calochortus concolor,41,820,0.0271107213511302,0.0027567959827033348,-0.11216457914247745,0.15416130716967227,0.334,0.6681891891891892,False
Calochortus flexuosus,49,1176,-0.0193492880440015,0.0010889624723672976,-0.12921879591873622,0.1581717688611986,0.594,0.79704,False
Calochortus leichtlinii,54,1431,-0.0846918807391032,0.0031631581916767505,-0.11814343887259449,0.14390580608036063,0.914,0.9699428571428572,False
Calochortus monophyllus,55,1485,-0.0113511963720362,-0.005087899970094456,-0.12831962686089732,0.14478199640791015,0.499,0.7560734693877551,False
Calycadenia multiglandulosa,64,2016,-0.1329192982770637,-0.0008925030239822234,-0.11386599684906815,0.12637701201725532,0.991,0.9909999999999999,False
Calystegia tuguriorum,49,1176,0.1087695816951846,-0.00011691704217908994,-0.10028703279789827,0.13572450584384196,0.052,0.369,False
Campanula latifolia,48,1128,0.0911084936400579,-0.0008852105897825834,-0.09307594377468847,0.1285524910175034,0.07,0.40359375000000003,False
Campanula patula,56,1540,0.0044263051128039,-0.0017559250676653713,-0.10389853313006422,0.12323725184854309,0.436,0.7517943925233644,False
Cardamine amara,67,2211,-0.0376748566777572,0.00013672427070811493,-0.05998440169092855,0.0808471931153941,0.863,0.9421508875739645,False
Cardamine concatenata,43,903,-0.0975327810945899,-0.002682696070374953,-0.10974738415199663,0.12343356325933283,0.946,0.9805449438202246,False
Cardamine hirsuta,56,1540,-0.0073092674681713,0.0011975751059291578,-0.1001770375584345,0.1260414208344464,0.528,0.7669411764705883,False
Carlina hispanica,58,1653,-0.0182180252875585,0.002555219884265367,-0.08354052874768707,0.11688741697749326,0.626,0.8220427046263346,False
Carlina vulgaris,40,780,-0.0301028919287335,0.0010846035105962371,-0.11887375351520797,0.13420877982913276,0.672,0.8504691780821918,False
Carthamus mitissimus,44,946,-0.0094925264955246,-0.0011195917660124046,-0.08717438357125622,0.12203389208271109,0.513,0.758664,False
Castilleja exserta,56,1540,0.1252462398334866,0.0019849331959009894,-0.10391189564180439,0.1252241876395706,0.026,0.2524736842105263,False
Castilleja foliolosa,46,1035,-0.0440018932155842,-0.0008843540125052858,-0.06639594993434031,0.08998275195314963,0.862,0.9421508875739645,False
Centranthus calcitrapae,65,2080,0.085603706987657,0.0001427205802773117,-0.12414114177509175,0.14254133607329172,0.122,0.4449705882352941,False
Centrosema virginianum,43,903,0.0326027168081295,-0.0010964982756429213,-0.11819978950819332,0.15143781701240092,0.297,0.66121387283237,False
Cerastium fontanum,57,1596,-0.0640210990275255,-0.0011383345697798689,-0.10578592211257587,0.13146952696486924,0.839,0.9325030120481927,False
Chaenorhinum origanifolium,49,1176,0.1758160885786372,0.001195289830917478,-0.09359387389873425,0.11886680739650649,0.004,0.11353846153846153,False
Chelone lyonii,49,1176,-0.0167852429932366,0.00033336799351059876,-0.08429132552531121,0.1054567626504676,0.615,0.8189676258992806,False
Chondrilla juncea,66,2145,0.067130007683664,0.0004696327869776241,-0.10910228645844064,0.14543963977606417,0.165,0.5388053097345133,False
Cipura campanulata,54,1431,-0.0312857425958652,-0.0024269250927560497,-0.1461062923583291,0.15090079138323112,0.63,0.8243617021276596,False
Cistus albidus,58,1653,-0.0155820012073566,-0.0015655735973982465,-0.07349531456537367,0.0901318804305124,0.577,0.7936213235294117,False
Cistus crispus,64,2016,0.0890074476836995,0.0012927628668295377,-0.12450232239599222,0.14586791011777409,0.118,0.4435454545454546,False
Clematis virginiana,49,1176,0.0740854066820603,-0.00036190508820682003,-0.08616763366168242,0.11393388107787435,0.094,0.425435294117647,False
Clinopodium alpinum,53,1378,0.0869153786611546,-0.0033027434794684215,-0.11597193584100396,0.15785222131357557,0.098,0.425435294117647,False
Cneoridium dumosum,50,1225,-0.0049302331046611,-0.002416856550862515,-0.13247736451840114,0.15885465148539013,0.481,0.7560734693877551,False
Cochlospermum vitifolium,48,1128,-0.0175116554934734,0.00020090388678687803,-0.09736750536231586,0.12845553970160942,0.592,0.79704,False
Coleogyne ramosissima,77,2926,0.0455717769245181,-0.0002891099689809786,-0.06485242423170606,0.08682398341772943,0.115,0.43747422680412373,False
Coleostephus myconis,79,3081,0.0285414187141639,-0.003032736629565828,-0.1264301331478681,0.14689514688119185,0.302,0.66121387283237,False
Collinsia grandiflora,54,1431,0.1041338947526362,0.0001634205796626921,-0.060933463401314066,0.08307906357605938,0.015,0.2214,False
Commelina benghalensis,51,1275,0.050581291305409,-0.0003206117370175314,-0.06347978644829909,0.07656332120084255,0.095,0.425435294117647,False
Commelina communis,52,1326,0.0808119408992423,-0.0012800489858635874,-0.055168785273976916,0.07242608863543815,0.02,0.23876470588235296,False
Commelina diffusa,59,1711,0.0057622241010852,-9.64869377393257e-05,-0.04072000478372193,0.06483594622107512,0.342,0.678483870967742,False
Conoclinium betonicifolium,73,2628,0.0313415117606806,0.0026854750317671264,-0.10704242704203146,0.14989164553386009,0.298,0.66121387283237,False
Conopholis alpina,52,1326,-0.0707269278925489,-0.004784462948990841,-0.10619029899407133,0.13686483159045412,0.869,0.9459026548672567,False
Conospermum caeruleum,57,1596,0.0525403987214755,0.0013799057671018136,-0.10869021745539303,0.12794135786129615,0.192,0.588,False
Convolvulus elegantissimus,58,1653,-0.096929275729656,-0.0005373061993248005,-0.0900531410572528,0.10473942312204938,0.983,0.9909999999999999,False
Cornus florida,49,1176,-0.0029630222630819,-0.00015681861433643836,-0.10192924710150507,0.12697753069303783,0.497,0.7560734693877551,False
Cornus sanguinea,49,1176,0.0186758876438733,-0.0005527320290266604,-0.10721590766135261,0.125766959427528,0.367,0.6944769230769231,False
Cornus suecica,56,1540,-0.0898673180240173,0.00023465803844358726,-0.11667537556980505,0.1299167262475435,0.917,0.9699428571428572,False
Corydalis aurea,70,2415,-0.018223767325758,-0.0012545953816176358,-0.07095843586782798,0.08899885679483986,0.622,0.8220427046263346,False
Cotula coronopifolia,82,3321,0.0141936329087276,0.0005133780658328829,-0.026519216030207234,0.043500031711961616,0.185,0.5834615384615385,False
Crepis biennis,61,1830,-0.0074569844715287,-0.005701977672037416,-0.13293568189661045,0.1642190494139082,0.481,0.7560734693877551,False
Crepis sancta,67,2211,-0.0614189653085001,0.0028538052464180085,-0.12731215355964942,0.16997685012377098,0.786,0.9103542319749217,False
Cryptantha barbigera,48,1128,0.1164187716728742,0.0020639250909070847,-0.14447244499393921,0.1898577816819206,0.108,0.43434375000000003,False
Cylindropuntia echinocarpa,47,1081,-0.0596031473258009,-0.0007761714728651762,-0.12228728771519635,0.16697809624179374,0.783,0.9103542319749217,False
Cypripedium guttatum,46,1035,0.0385712694685867,0.0003874785233387153,-0.1314346200423906,0.16032163126520182,0.296,0.66121387283237,False
Dalea candida,74,2701,-0.0583645627464291,0.0010071539992898676,-0.07613873192448159,0.08548544294755657,0.92,0.9699428571428572,False
Dampiera stricta,79,3081,0.1968054690690822,0.002041690039373609,-0.1093027531615412,0.12861472563776252,0.005,0.123,False
Delphinium glaucum,44,946,0.0837242966807565,0.0008722024700676212,-0.12950265759823484,0.17288285507975587,0.16,0.5271428571428571,False
Delphinium sutherlandii,53,1378,-0.0291583344536352,0.003454009754585726,-0.08877230159449007,0.11530567729602069,0.715,0.8650327868852459,False
Desmanthus illinoensis,66,2145,0.0360665725514892,2.389762527771672e-05,-0.067033384142395,0.0853611970074759,0.168,0.5390608695652175,False
Diplacus mephiticus,68,2278,0.0235571265597107,7.5506772902590015e-06,-0.06094973003284,0.07956477695934372,0.229,0.6333582089552239,False
Diplotaxis tenuifolia,78,3003,-0.0376892486620117,0.0011906019792456799,-0.07865520283568359,0.1036484156460442,0.811,0.9213680981595092,False
Disphyma crassifolium,47,1081,0.2580176479450787,-0.0033655444276528873,-0.1431608175834998,0.16838617571302433,0.002,0.0738,False
Distimake aegyptius,50,1225,0.0105565453221302,0.003389362473089928,-0.13197382303908817,0.17975769039638423,0.429,0.7501267605633802,False
Distimake dissectus,57,1596,0.0935546841302528,0.0009868750658820979,-0.1634954373506467,0.18346529887669288,0.157,0.5266636363636363,False
Drosera spatulata,43,903,0.1573675071283231,0.0022586072134559,-0.08767862610637395,0.09937960902910264,0.005,0.123,False
Dyssodia pinnata,78,3003,-0.0035775432334954,0.0013688990214888912,-0.06845359908008232,0.08294952288044692,0.529,0.7669411764705883,False
Echium gaditanum,62,1891,0.0345909946367437,0.0012053454923735345,-0.07481536758116143,0.09648267391168279,0.227,0.6333582089552239,False
Echium rosulatum,53,1378,0.2711843434390857,0.001105717596491882,-0.09978321370288555,0.12658045555277594,0.001,0.041,True
Ehretia anacua,50,1225,0.0217426759344006,4.268918015343348e-05,-0.09467500922783564,0.12716768535154532,0.318,0.6666464088397791,False
Elephantopus carolinianus,62,1891,0.1104325521199217,-0.0031179649914361983,-0.10791987618860731,0.10976244342425989,0.025,0.2524736842105263,False
Epacris obtusifolia,41,820,-0.0508376505108628,0.001744003962199107,-0.17634673576327115,0.21037816723149894,0.662,0.8452525951557094,False
Erechtites hieraciifolius,47,1081,0.0761016998743585,-0.0021374286735349685,-0.08912079128105484,0.11444363697990009,0.09,0.42037974683544305,False
Erigeron foliosus,50,1225,-0.052264305395894,-0.0029332928101897283,-0.09501742524089568,0.1217616292846664,0.813,0.9213680981595092,False
Erigeron linearis,86,3655,0.0514398243753541,0.0008590877599724366,-0.08737768548020029,0.10764611255461046,0.151,0.5159166666666667,False
Eriodictyon crassifolium,54,1431,0.0328753721712507,-0.0007306655808113923,-0.0756181797952115,0.09553524947933073,0.201,0.5963040000000001,False
Eriogonum jamesii,66,2145,0.123774261306428,-0.002826322622089819,-0.10324831119382068,0.13238463188443883,0.031,0.285975,False
Eriogonum latifolium,70,2415,0.1158388134739911,0.0017215558092081977,-0.10629274248154871,0.14129516044625673,0.045,0.3464081632653061,False
Eriogonum niveum,44,946,-0.0077143755098618,-0.0013584304610774693,-0.12787821948058678,0.16657492918144656,0.483,0.7560734693877551,False
Eriophorum vaginatum,45,990,-0.0613462393888656,-0.005024966266568723,-0.1101021328488553,0.14382593941422173,0.795,0.9138785046728972,False
Eriophyllum confertiflorum,82,3321,0.0354920111116875,-0.0001047213152484554,-0.06006116891153223,0.07523512834686931,0.16,0.5271428571428571,False
Eryngium planum,51,1275,0.1373990715167185,-0.0009908463284296356,-0.13401201667066634,0.15452786014333372,0.038,0.33385714285714285,False
Erythranthe dentata,67,2211,0.0256816792312864,0.0008435002239195083,-0.09985223617921722,0.11968446326985265,0.324,0.6666464088397791,False
Erythranthe erubescens,45,990,-0.0247348358469786,-0.0006020793698365001,-0.0994253159397905,0.12351028731884121,0.625,0.8220427046263346,False
Erythrina humeana,52,1326,0.2639268112366662,0.00014047843436106256,-0.13237387451231733,0.15379120977464594,0.001,0.041,True
Eschscholzia minutiflora,72,2556,0.10964140950518,-0.0023016062833184376,-0.12335117490076597,0.15471683575112272,0.062,0.3940169491525424,False
Euonymus obovatus,41,820,-0.0018307581925839,0.0010514523169937555,-0.059991778586414475,0.0806863025344637,0.496,0.7560734693877551,False
Eupatorium altissimum,55,1485,0.071204409289202,0.001752335955432937,-0.09952450628511147,0.12181108852011514,0.113,0.43434375000000003,False
Euphorbia cyparissias,85,3570,-0.0079261445312812,-0.0005907056032270524,-0.10834023730252584,0.13011566321604448,0.527,0.7669411764705883,False
Eurybia divaricata,44,946,0.1112547415094012,-0.0005927833889928232,-0.11043644654312362,0.14248680874991615,0.065,0.39975,False
Eutrochium fistulosum,47,1081,0.1605967876088387,-0.0004632496664251635,-0.12015634438912778,0.15670369402600345,0.022,0.23876470588235296,False
Eutrochium maculatum,47,1081,-0.0093202484098883,-0.0014586949301116944,-0.13567100052873118,0.1692995069097336,0.512,0.758664,False
Eysenhardtia texana,46,1035,-0.0454681611943406,0.0013141811635031995,-0.09685621172670195,0.13443419457758032,0.785,0.9103542319749217,False
Falcaria vulgaris,69,2346,0.0929859394925835,-0.0002209852170717784,-0.07971900077639486,0.10074347219637708,0.04,0.34325581395348836,False
Fritillaria pyrenaica,47,1081,0.1345691627001458,0.0033399525564975483,-0.09563899942545383,0.11426243514827103,0.013,0.20856521739130435,False
Galinsoga parviflora,64,2016,0.0344807306979648,0.0028350644937612697,-0.10590146177730339,0.1316948356698184,0.295,0.66121387283237,False
Gazania rigens,71,2485,0.0222827568521331,0.00304196929977942,-0.09697750677182002,0.13953972923700225,0.347,0.6810797872340424,False
Gentiana acaulis,71,2485,-0.0155349084726039,-0.001709751183636945,-0.12983343925019755,0.1437510413490069,0.552,0.787864864864865,False
Gentiana parryi,45,990,0.0528173979852356,0.004584710040546354,-0.15859425659935422,0.19566039323009754,0.285,0.66121387283237,False
Geranium macrorrhizum,45,990,0.0455896369405106,0.00030989411143865427,-0.07789757169552466,0.11042310537151359,0.168,0.5390608695652175,False
Geranium molle,52,1326,0.0164008520537438,-0.001780358292715402,-0.11021969509271318,0.13779325903737272,0.365,0.6942525773195877,False
Geranium richardsonii,56,1540,0.0686227988116714,0.00043791768084112704,-0.10201737062456348,0.11414706083308146,0.112,0.43434375000000003,False
Geranium yeoi,63,1953,0.2009128101090579,-0.0014742754963219654,-0.08284861389389171,0.1025915790003448,0.001,0.041,True
Geum canadense,51,1275,-0.0525975825234279,0.0022897654371796597,-0.0942712067375671,0.11513860461064528,0.837,0.9325030120481927,False
Geum macrophyllum,67,2211,-0.0516212109589317,0.001754188013085246,-0.09064278489298075,0.12531787296403918,0.825,0.9281250000000001,False
Geum urbanum,65,2080,0.0392933635487131,0.003651383318816387,-0.11587199427717806,0.15586607043191195,0.304,0.66121387283237,False
Gompholobium huegelii,66,2145,0.1607089443360443,-0.0028679172068408246,-0.07351361902860312,0.0990705013847306,0.001,0.041,True
Goodenia ovata,74,2701,0.0077298241721977,-0.0014748755764708802,-0.08841408307064891,0.09531379939950782,0.407,0.7501267605633802,False
Grevillea alpina,42,861,0.0201253024316169,0.0009193632125962484,-0.13469422939136155,0.15361879957608338,0.389,0.7286345177664975,False
Grevillea lavandulacea,46,1035,-0.136659665059295,-0.0031109588526394725,-0.15514060361886442,0.20455351088561072,0.941,0.9781098591549295,False
Guzmania monostachia,45,990,0.1033684630560048,0.0018716154294975086,-0.12041246049757427,0.1653557669359746,0.082,0.41692207792207786,False
Hedypnois rhagadioloides,61,1830,-0.0021231907415409,0.0009068516180339606,-0.0953965493078446,0.13270987346548993,0.474,0.7560734693877551,False
Helenium autumnale,81,3240,-0.0131655921941208,0.0009972430156252388,-0.11040521762016207,0.1202594767639725,0.581,0.7936213235294117,False
Helianthus divaricatus,57,1596,-0.0314799186814985,-0.002438049324744498,-0.10159433785279579,0.11512620816422897,0.682,0.8515384615384615,False
Hepatica acutiloba,59,1711,-0.097903266950566,0.0004763001649964857,-0.09969656449797887,0.11377555678566455,0.971,0.9897762430939225,False
Hibbertia cuneiformis,62,1891,-0.0220144070995887,0.002290676089813609,-0.10990532299377571,0.14028144094534076,0.617,0.8189676258992806,False
Hibiscus denudatus,52,1326,0.2844284808442466,0.0012699392354816423,-0.10042587006318314,0.14570109619020027,0.001,0.041,True
Hofmeisteria fasciculata,56,1540,-0.0406460045548459,-0.0002933309034200672,-0.09579423947496563,0.1278301921128887,0.745,0.8954560260586318,False
Homogyne alpina,50,1225,0.1479444110433733,0.00023258114209992722,-0.13885841024827547,0.18042702562264704,0.053,0.369,False
Hyacinthoides non-scripta,61,1830,-0.0351369260146223,0.0006074985110252974,-0.12151835191599225,0.13809302121555087,0.695,0.8520099667774086,False
Hypocalymma robustum,47,1081,0.0050059571884198,-0.004855088997226312,-0.14691799190597532,0.17115464389958623,0.43,0.7501267605633802,False
Iliamna rivularis,52,1326,-0.0065454861758725,-3.429482539605953e-05,-0.08938774383649749,0.11269160056413267,0.5,0.7560734693877551,False
Ipomoea cairica,48,1128,-0.0203405021337648,-0.000534202944428098,-0.12591908572808277,0.16143364077180652,0.56,0.78793984962406,False
Ipomoea pes-caprae,48,1128,0.0153781863800772,-0.00018156984468808746,-0.05030102412571423,0.07372560593832864,0.274,0.66121387283237,False
Jacobaea adonidifolia,75,2775,-0.09661370519616,0.0014277727529949373,-0.10505097485295035,0.1325672828268791,0.96,0.986740947075209,False
Jaumea carnosa,75,2775,0.0524238412762079,0.0033150290479343507,-0.07152831691625187,0.10052204201753918,0.139,0.48387735849056607,False
Johnstonella angustifolia,60,1770,-0.0060987959919572,-0.0004489293715477997,-0.12909342844482244,0.16895764593751655,0.481,0.7560734693877551,False
Lachenalia reflexa,54,1431,0.1022360550649051,0.0003669361114234194,-0.15169314480087356,0.18697872385175612,0.131,0.46388571428571435,False
Lamprocapnos spectabilis,60,1770,-0.1186917628962562,0.00011397422136954532,-0.14601417638954656,0.17969913704375806,0.936,0.9781098591549295,False
Lantana involucrata,56,1540,0.0018534462060538,-0.0014475207429834227,-0.10767765364814443,0.12169364197336455,0.46,0.7560734693877551,False
Lathyrus japonicus,47,1081,0.074845484534774,-0.0005579136972047479,-0.09344689562181323,0.12695995631331808,0.101,0.4283793103448276,False
Lathyrus palustris,41,820,0.0224319771807962,0.0017079447795508942,-0.062154032454379976,0.09660684591346173,0.266,0.66121387283237,False
Lathyrus pratensis,71,2485,-0.0149435513534146,0.0008664986718450743,-0.11240797640014115,0.14232373803171142,0.564,0.78793984962406,False
Lepidium campestre,68,2278,0.0272201651893142,0.0010231760474318254,-0.06628378525849503,0.08596533373718712,0.238,0.64575,False
Lepidium fremontii,72,2556,0.0044866071692439,-0.0008082790131329664,-0.09243442429020844,0.11862672940225892,0.433,0.7501267605633802,False
Leucaena leucocephala,49,1176,0.012320682119905,0.0005057478072140112,-0.04694056827765712,0.08089159314179063,0.307,0.66121387283237,False
Leucopogon affinis,65,2080,0.1164151135318843,-0.0016266231146897477,-0.1189037656907671,0.1308498784039389,0.046,0.3464081632653061,False
Leucopogon microphyllus,68,2278,0.1222233471008293,0.0009103085598914914,-0.13347248733245068,0.15817068713688748,0.051,0.369,False
Ligustrum obtusifolium,61,1830,0.0174947568650149,-0.0008592269168234595,-0.08695919876069463,0.10969029982983539,0.327,0.6666464088397791,False
Linum catharticum,57,1596,-0.1064611550763557,-0.0007428321838166954,-0.14392561319993305,0.17518268049762553,0.915,0.9699428571428572,False
Linum lewisii,69,2346,-0.0063623460956724,-0.0009331124958271645,-0.07406472921023696,0.08965052196677932,0.53,0.7669411764705883,False
Lithospermum canescens,79,3081,0.0010959210066405,0.0013526526700150215,-0.08899820280334485,0.10893395962819089,0.468,0.7560734693877551,False
Lobelia erinus,64,2016,0.0676692562833622,-0.0011720548361012866,-0.08019222325266555,0.1091666582487525,0.096,0.425435294117647,False
Loeselia glandulosa,52,1326,0.0607935289311671,0.002245051218384877,-0.08754860504153882,0.10566893881427242,0.121,0.4449705882352941,False
Ludwigia peruviana,43,903,-0.0109731739284947,-0.0029267611054471262,-0.13886286342252663,0.1916383702588455,0.505,0.7575,False
Lupinus arizonicus,46,1035,0.106324153965227,-0.0022889793880951515,-0.16215243794799755,0.20762804504710142,0.119,0.4435454545454546,False
Lupinus havardii,60,1770,0.0057733877402259,0.0008357232469544212,-0.11425714249250522,0.13849912844842707,0.442,0.7560734693877551,False
Lupinus microcarpus,47,1081,-0.0768379650449548,-6.843325485553453e-05,-0.09461167985113765,0.12928810980909822,0.907,0.9699428571428572,False
Lysimachia loeflingii,64,2016,0.0242062959936838,0.0015150342972723723,-0.07550096980814903,0.10622600011154146,0.285,0.66121387283237,False
Lysimachia quadrifolia,66,2145,-0.0233269576595585,0.0014302691608299217,-0.09015583137309914,0.10948106040397039,0.673,0.8504691780821918,False
Malacothrix saxatilis,63,1953,-0.0011854584892738,0.0008094567698401421,-0.10119579255669806,0.12060068447900975,0.488,0.7560734693877551,False
Malva moschata,53,1378,0.031157536612903,0.0004055902059750079,-0.07465055173370101,0.1044449152072988,0.23,0.6333582089552239,False
Malva thuringiaca,58,1653,-0.034995071404838,0.002862614478454619,-0.11230915891152475,0.14924876258804035,0.684,0.8515384615384615,False
Mazus miquelii,61,1830,0.0245509090462562,-4.794878983894591e-05,-0.04901308308134481,0.07107719136407725,0.196,0.588,False
Mecardonia procumbens,50,1225,0.1106805118655859,-0.004056544203438314,-0.12781827493841003,0.15848008111990805,0.072,0.4081363636363636,False
Medicago lupulina,69,2346,-0.0039280704313845,0.002117249180224215,-0.08997163995849064,0.13058221916519985,0.487,0.7560734693877551,False
Medicago marina,75,2775,0.0509718023109122,-0.0015025949793661272,-0.07759744648821924,0.09103142245617885,0.109,0.43434375000000003,False
Melaleuca citrina,40,780,0.0563901451336916,-0.003417525431934255,-0.18723416507432533,0.22172974050132915,0.276,0.66121387283237,False
Melastoma candidum,52,1326,0.0555135115931408,0.0013432322520868633,-0.10819256608020972,0.1382414713579991,0.207,0.6014409448818897,False
Melastoma malabathricum,41,820,0.0039842689866729,0.0011173059772399464,-0.0700315964854205,0.10676230775253687,0.424,0.7501267605633802,False
Melothria pendula,52,1326,-0.0391063933658366,0.001026470360458844,-0.13463275971031163,0.18019166857851202,0.644,0.8308951048951049,False
Micranthes petiolaris,49,1176,-0.0864100130191088,0.0019760376048192445,-0.14210336375552407,0.17552676037424472,0.861,0.9421508875739645,False
