species,species_index,retained_edge_occurrences,partial_rho_colour_vs_worldclim_given_distance
Commelina diffusa,81,5209,-0.09227965555904791
Conoclinium betonicifolium,82,5435,-0.0711279735666902
Conopholis alpina,83,5380,-0.0007274527334033065
Conospermum caeruleum,84,5651,-0.05341018851661466
Convolvulus elegantissimus,85,5252,-0.0005851002408377699
Cornus florida,86,5123,-0.018484831259014678
Cornus sanguinea,87,5154,-0.0445645217875311
Cornus suecica,88,4956,0.02252650379356044
Corydalis aurea,89,5258,0.04136386954215007
Cotula coronopifolia,90,5066,-0.06132217177057728
Crepis biennis,91,5558,-0.033692709834590356
Crepis sancta,92,5385,-0.18814171563861026
Cryptantha barbigera,93,5282,0.11115195985520349
Cylindropuntia echinocarpa,94,5243,-0.041438006900610586
Cypripedium guttatum,95,5330,0.03187240519609328
Dalea candida,96,5287,-0.07781942671557149
Dampiera stricta,97,5442,-0.041383632076025675
Delphinium glaucum,98,5411,-0.026125852281106504
Delphinium sutherlandii,99,5354,0.027836727409162636
Desmanthus illinoensis,100,5162,0.057534818595524985
Diplacus mephiticus,101,5479,0.020786531097701705
Diplotaxis tenuifolia,102,5482,0.02801484740934124
Disphyma crassifolium,103,5590,-0.10904829595883543
Distimake aegyptius,104,5095,0.06700328473062052
Distimake dissectus,105,5484,-0.021127156121156128
Drosera spatulata,106,5117,0.16706328219832647
Dyssodia pinnata,107,5272,-0.07669105972307316
Echium gaditanum,108,5182,-0.07344847635544226
Echium rosulatum,109,5176,-0.08159185084052034
Ehretia anacua,110,5365,-0.08686261917936534
Elephantopus carolinianus,111,5228,-0.14621315771001592
Epacris obtusifolia,112,5322,0.09258318625024115
Erechtites hieraciifolius,113,5392,0.025552276997902884
Erigeron foliosus,114,5078,-0.15428937149717906
Erigeron linearis,115,5402,-0.0444639299365441
Eriodictyon crassifolium,116,5073,-0.12071212334222399
Eriogonum jamesii,117,5689,0.1127093759857733
Eriogonum latifolium,118,5167,-0.02652508665422974
Eriogonum niveum,119,5498,0.15275711406213635
Eriophorum vaginatum,120,5298,-0.17149813563928065
Eriophyllum confertiflorum,121,5152,-0.12726120730983256
Eryngium planum,122,5557,0.18163460760802103
Erythranthe dentata,123,5048,0.037834143873762584
Erythranthe erubescens,124,5236,-0.041920269113165765
Erythrina humeana,125,5494,-0.11480065227954514
Eschscholzia minutiflora,126,5577,-0.05994304580682917
Euonymus obovatus,127,5344,-0.0005173240280035952
Eupatorium altissimum,128,5318,-0.02459271055433758
Euphorbia cyparissias,129,5498,-0.035288973970350426
Eurybia divaricata,130,5195,0.09822537518939921
Eutrochium fistulosum,131,5361,0.022614935398094595
Eutrochium maculatum,132,5415,-0.037830876960737704
Eysenhardtia texana,133,5315,0.05672856898067915
Falcaria vulgaris,134,5300,0.011924878431851577
Fritillaria pyrenaica,135,5351,0.08833919662108844
Galinsoga parviflora,136,5557,-0.11187537356824434
Gazania rigens,137,5143,-0.039632898117852616
Gentiana acaulis,138,5342,-0.00223291647857016
Gentiana parryi,139,5499,-0.05025342753634745
Geranium macrorrhizum,140,5588,0.03286868323459625
Geranium molle,141,5276,-0.00921625117980577
Geranium richardsonii,142,5266,-0.08465633625413098
Geranium yeoi,143,5395,-0.05326272417622018
Geum canadense,144,5235,-0.09411254626623436
Geum macrophyllum,145,5588,-0.041359963293748685
Geum urbanum,146,5521,0.0369513698419456
Gompholobium huegelii,147,5283,0.02464327289436744
Goodenia ovata,148,5382,-0.00558371476715829
Grevillea alpina,149,5274,-0.08004434042726244
Grevillea lavandulacea,150,5524,-0.19683702778989406
Guzmania monostachia,151,5577,-0.15513374077358968
Hedypnois rhagadioloides,152,5383,0.0015957621211779866
Helenium autumnale,153,5305,0.06571923045883094
Helianthus divaricatus,154,5109,-0.05191811980336951
Hepatica acutiloba,155,5082,0.029443067528866867
Hibbertia cuneiformis,156,5195,0.09416699991932323
Hibiscus denudatus,157,5206,-0.024769540658614052
Hofmeisteria fasciculata,158,5448,-0.15451062938029936
Homogyne alpina,159,5424,0.03379387792306708
Hyacinthoides non-scripta,160,5607,0.021817225087758883
Hypocalymma robustum,161,5261,-0.04981381774790914
Iliamna rivularis,162,5285,0.12854544793792333
Ipomoea cairica,163,5302,-0.10117141669565982
Ipomoea pes-caprae,164,5248,-0.10823197237419534
Jacobaea adonidifolia,165,5217,-7.754556523327071e-05
Jaumea carnosa,166,5298,-0.11025382188297986
Johnstonella angustifolia,167,5418,-0.05373226566363982
Lachenalia reflexa,168,5595,0.06479688224041454
Lamprocapnos spectabilis,169,5432,0.1645140349990743
Lantana involucrata,170,5076,0.07161142758029493
Lathyrus japonicus,171,5112,-0.029265827923716233
Lathyrus palustris,172,5242,0.1355852481723678
Lathyrus pratensis,173,5242,-0.1069946903871865
Lepidium campestre,174,5299,0.014298408874378636
Lepidium fremontii,175,5289,0.03775403484396232
Leucaena leucocephala,176,4526,-0.06564422646165935
Leucopogon affinis,177,5177,0.08068868278487626
Leucopogon microphyllus,178,5540,0.033089602095619876
Ligustrum obtusifolium,179,5273,0.0029832110639182417
Linum catharticum,180,5550,-0.03934903004635554
Linum lewisii,181,5405,0.1787077487787385
Lithospermum canescens,182,5256,-0.0891352358026289
Lobelia erinus,183,5183,-0.1669639170109621
Loeselia glandulosa,184,5365,-0.1205556426238698
Ludwigia peruviana,185,5331,-0.1305601509054639
Lupinus arizonicus,186,5447,0.04525716228098438
Lupinus havardii,187,5392,0.05846373525541722
Lupinus microcarpus,188,5187,-0.1072820258530011
Lysimachia loeflingii,189,5494,0.018985368287831362
Lysimachia quadrifolia,190,5265,0.004230540607211137
Malacothrix saxatilis,191,5361,0.13926550784802966
Malva moschata,192,5427,-0.032929892312457146
Malva thuringiaca,193,5403,-0.1452102190314887
Mazus miquelii,194,5341,-0.057496354277682085
Mecardonia procumbens,195,5470,-0.031768491357713605
Medicago lupulina,196,5313,0.057198031178968295
Medicago marina,197,5320,-0.011437056917101854
Melaleuca citrina,198,5711,-0.10263322022719744
Melastoma candidum,199,5565,0.08607536871314851
Melastoma malabathricum,200,5079,-0.09117746282370165
Melothria pendula,201,5608,0.07153787774386622
Micranthes petiolaris,202,5396,0.03296226263440978
Mitchella repens,203,5209,0.2139261647416707
Moraea flaccida,204,5325,0.043827629882131056
Muscari armeniacum,205,5442,0.07008619709405209
Muscari botryoides,206,5335,0.008608288002964405
Myosotis latifolia,207,5558,0.01504530142503163
Myosotis laxa,208,5097,0.05514574249386028
Myosotis sparsiflora,209,5687,-0.004951156554016605
Myrica gale,210,5668,0.12681715280855854
Myrtus communis,211,5000,0.019100775784912708
Nama hispida,212,5472,-0.018792783318422695
Nelumbo nucifera,214,5206,0.03459962522624836
Nicandra physalodes,215,5013,-0.029949633000260177
Nicotiana longiflora,216,5969,-0.12188136549145874
Ochna serrulata,217,5752,-0.06706324621079299
Odontites luteus,218,5295,0.029734545400820482
Olearia lirata,219,5536,0.023909110784726902
Olsynium biflorum,220,5548,0.008622296040581194
Omphalodes verna,221,5217,-0.013043143547594782
Oreomecon alpina,222,5593,0.05606095113010028
Ornithopus compressus,223,5475,0.05967992433041434
Oxalis violacea,224,5150,0.005818299314967859
Oxytropis campestris,225,5250,0.04236426012093791
Papaver dubium,226,5665,-0.1972024958832853
Parthenium confertum,227,5347,-0.020523317596039845
Passiflora mixta,228,5484,-0.08205623546729275
Pectis multiseta,229,5132,0.025063428534313554
Pectis papposa,230,5361,0.0017154182934369445
Penstemon speciosus,231,5346,-0.0373945821510913
Pentanema squarrosum,232,5319,0.01564061142355996
Persicaria nepalensis,233,5426,-0.06695340323683602
Persicaria pensylvanica,234,5516,-0.08017409296356914
Phlomoides tuberosa,235,5159,-0.027642391601734765
Phlox diffusa,236,5334,0.00686062464282226
Phlox longifolia,237,5228,-0.05723617553327896
Phlox roemeriana,238,5676,-0.05898285365726285
Pimelea serpyllifolia,239,5585,0.080738592388125
Pinguicula vulgaris,240,5246,-0.0073051524380287475
Piqueria trinervia,241,5506,-0.035616438196469244
Pittosporum revolutum,242,5336,0.05508340285516466
Plantago media,243,5428,0.04492053428530363
Polycalymma stuartii,244,5291,0.017308122080231147
Polygala comosa,245,5401,0.10505717757578374
Portulaca suffrutescens,246,5669,-0.06832567227927629
Potentilla concinna,247,5693,-0.05343345259325787
Potentilla indica,248,5541,-0.04497465565282091
Potentilla simplex,249,5139,0.003137753185507037
Primula elatior,250,5334,0.13488750525041943
Prunus mahaleb,251,5309,0.012330057211190253
Pseudo-fumaria lutea,252,5203,-0.08800458206490173
Pseudognaphalium affine,253,5463,0.036998950290024334
Pulmonaria obscura,254,5330,-0.030152609267719482
Pultenaea villosa,255,5233,-0.06380113966467825
Purshia stansburyana,256,5496,-0.014071196335154284
Pycnanthemum virginianum,257,5239,-0.012643767315263985
Pyrola elliptica,258,5412,0.03403415165917958
Ranunculus kuepferi,259,5307,-0.07737432008051646
Ranunculus lyallii,260,5420,-0.08142801492362021
Ranunculus trichophyllus,261,5356,0.05663909859698525
Ranunculus uncinatus,262,5630,0.04037614965977082
Rhododendron canadense,263,5495,0.06734122002143764
Rhododendron catawbiense,264,5716,-0.07500346270451234
Rhododendron pseudochrysanthum,265,5526,0.04770430087541617
Rhododendron tomentosum,266,5241,0.03973235886745913
Rhynchospora colorata,267,5326,-0.0008027525231305868
Rorippa palustris,268,5434,0.04270970696119319
Rosa blanda,269,5440,-0.019327435358802932
Rosa multiflora,270,5505,2.708842391479697e-05
Rubus chamaemorus,271,5077,-0.022974875656398757
Rubus odoratus,272,5381,-0.014126293664608457
Rubus trivialis,273,5220,0.1333108113257079
Rudbeckia triloba,274,5232,0.08083523196269772
Sagittaria lancifolia,275,5493,0.03301976550113105
Sagittaria latifolia,276,5470,-0.11016793219556284
Sairocarpus pusillus,277,5518,0.08794842377416118
Salvia amarissima,278,5678,-0.02763293867430446
Salvia hispanica,279,5784,0.011556220614061535
Salvia lavanduloides,280,5192,0.02898026890406046
Salvia polystachia,281,5518,0.14123851831069448
Salvia prunelloides,282,5232,0.058351806594770426
Salvia verticillata,283,5173,0.036991534348680785
Sambucus mexicana,284,5493,-0.030903081367142773
Sanguinaria canadensis,285,5233,-0.02353528056951575
Satureja montana,286,5338,0.03282074565788971
Saxifraga granulata,287,5299,-0.011145838993813776
Saxifraga tridactylites,288,5410,-0.06531050765355971
Scilla bifolia,289,5375,0.03671511457029474
Scilla luciliae,290,5371,-0.014166903592258735
Scilla verna,291,5011,0.012104815558687771
Senecio mohavensis,292,5621,0.0035547550684482945
Senecio ovatus,293,5387,0.02849880583244585
Senecio triangularis,294,5278,-0.13811541300442554
Senecio vernalis,295,5438,0.02979706482245691
Senegalia berlandieri,296,5283,-0.01759249954136974
Senna artemisioides,297,5499,0.03724327414090134
Senna hebecarpa,298,5182,-0.018498149040991764
Sericocarpus linifolius,299,5364,0.01111380632119022
Sesbania drummondii,300,5557,0.13296461765199094
Sidalcea candida,301,5392,0.003061196539758041
Sideranthus spinulosus,302,5299,0.029942419775519417
Sisymbrium irio,303,5589,0.03584320645962835
Sixalix atropurpurea,304,5474,0.006881140270408961
Solanum crispum,305,5770,-0.01791291868704822
Solanum elaeagnifolium,306,5365,0.07711004992353178
Solanum furcatum,307,5434,0.0011648155079015015
Solanum laxum,308,5185,0.11687066714369453
Solanum lycopersicum,309,5563,0.0855030521760988
Solanum pseudocapsicum,310,4994,0.1245130810960667
Solidago ptarmicoides,311,5299,-0.022984842844517815
Solidago uliginosa,312,5506,-0.01279068246063018
Solidago virgaurea,313,5350,0.015539082342982609
Sparaxis tricolor,314,5544,-0.05376741420826058
Sphaeralcea ambigua,315,5459,0.002307332595985883
Sphaeralcea coccinea,316,5181,0.04153580894039869
Stachys palustris,317,5128,-0.10064206494323018
Stevia serrata,318,5482,0.05757610332705412
Streptosolen jamesonii,319,5384,0.009167279255283768
Stypandra glauca,320,5371,0.049490814909342366
Symphyotrichum puniceum,321,5568,0.06851716859856298
Symphyotrichum subulatum,322,4927,-0.040012060812587125
Symphytum officinale,323,5376,-0.011555538789601992
Symplocos tinctoria,324,5371,-0.049920137929332004
Talinum fruticosum,325,5176,-0.0048574414872287796
Talinum paniculatum,326,5370,0.1921135481897911
Tanacetum vulgare,327,5203,-0.12312368648128047
Taraxacum erythrospermum,328,5287,-0.02223530123873107
Telekia speciosa,329,5651,0.04389811793688853
Tetratheca thymifolia,330,5302,-0.03067502302745188
Thysanocarpus curvipes,331,5339,-0.01533086673444876
Tiarella stolonifera,332,5223,-0.00044600795925440914
Tinantia erecta,333,5789,-0.07517386381701577
Tithonia tubaeformis,334,5849,0.1322799429804951
Trachymene composita,335,5893,0.10996449516144328
Tragopogon porrifolius,336,5287,0.0421398589274744
Trifolium incarnatum,337,5448,-0.228684825106946
Trifolium repens,338,5417,-0.01718846050075323
Tripolium pannonicum,339,5116,-0.05716739373205476
Triteleia laxa,340,5462,0.052201336905460125
Trixis inula,341,5619,0.13881249250893865
Trollius albiflorus,342,5450,-0.2291348939362077
Turnera subulata,343,5112,0.03686969938600419
Verbascum thapsus,344,5187,-0.17473527079936105
Verbena rigida,345,5199,0.038130114028938976
Veronica cymbalaria,346,5601,-0.06268496425143175
Veronica longifolia,347,5320,0.1024993137047088
Veronica officinalis,348,5313,0.1361860335584244
Veronica polita,349,5426,0.03743459357590872
Veronica prostrata,350,5275,-0.017198876348556717
Veronica spicata,351,5091,-0.06717881554444809
Vicia lathyroides,352,5528,-0.07594700582023586
Viminaria juncea,353,5592,0.23001062169289793
Vincetoxicum hirundinaria,354,5329,0.0027777068632872464
Viola blanda,355,5306,-0.08977405271712366
Viola cucullata,356,5346,0.006301320300072908
Viola hirta,357,5321,0.1255546833451959
Viola lutea,358,5262,0.1426676570933256
Viola mirabilis,359,5573,0.0689963557690235
Viola pedunculata,360,5285,0.046607502591602235
Viola rostrata,361,5188,0.007952875665922085
Viola tricolor,362,5633,-0.006242919221412192
Viscaria vulgaris,363,5264,-0.06530082177059351
Vitex agnus-castus,364,5573,0.06079487456807513
Whipplea modesta,365,5106,0.11613858504986979
Wyethia angustifolia,366,5547,-0.019671221592603698
Zanthoxylum americanum,367,5191,-0.011413931435843192
Zephyranthes atamasco,368,5282,0.03819629403018009
