species,classifiable_photos,occupied_h1_cells,cell_pairs,observed_geographic_colour_spearman_rho,min_photos_per_cell,max_photos_per_cell,mean_photos_per_cell
Impatiens glandulifera,7,7,21,0.1189084071681061,1,1,1.0
Impatiens walleriana,7,6,15,0.6118077768060558,1,2,1.1666666666666667
Ipomoea aquatica,5,5,10,0.8666666666666667,1,1,1.0
Ipomoea cairica,18,15,105,0.14042918341524688,1,3,1.2
Ipomoea indica,15,12,66,0.09488715914022662,1,3,1.25
Ipomoea pes-caprae,38,24,276,0.027482903590344904,1,3,1.5833333333333333
Ipomoea purpurea,8,8,28,0.2893512181768409,1,1,1.0
Ipomoea triloba,6,4,6,0.3142857142857143,1,3,1.5
Jatropha gossypiifolia,10,8,28,-0.09144422400152588,1,2,1.25
Jatropha integerrima,6,5,10,-0.40244650599060877,1,2,1.2
Kalmia polifolia,7,4,6,-0.08571428571428572,1,3,1.75
Kalmia procumbens,24,6,15,-0.1774204944763319,1,10,4.0
Lamium amplexicaule,9,7,21,-0.23877729283564134,1,2,1.2857142857142858
Lamium purpureum,15,8,28,-0.12424604785429887,1,3,1.875
Lantana camara,48,29,406,0.027760864771593573,1,6,1.6551724137931034
Lathyrus japonicus,7,7,21,-0.025423923289560703,1,1,1.0
Lathyrus tuberosus,30,9,36,0.16726886267886487,1,8,3.3333333333333335
Leucaena leucocephala,18,12,66,0.05904829701146996,1,3,1.5
Linaria vulgaris,8,7,21,0.11627152285851834,1,2,1.1428571428571428
Luffa aegyptiaca,11,7,21,0.09629155842427595,1,4,1.5714285714285714
Lupinus nootkatensis,16,5,10,-0.24924127290882647,1,7,3.2
Lysimachia arvensis,9,8,28,0.05363984674329503,1,2,1.125
Medicago lupulina,9,8,28,-0.2726526245056124,1,2,1.125
Melastoma malabathricum,6,6,15,0.1771022511807004,1,1,1.0
Mertensia maritima,7,3,3,-0.4999999999999999,1,5,2.3333333333333335
Mesosphaerum suaveolens,7,6,15,0.228980688395249,1,2,1.1666666666666667
Metrosideros collina,15,3,3,0.4999999999999999,1,10,5.0
Mimosa pudica,36,19,171,0.05998110929117144,1,4,1.894736842105263
Mirabilis jalapa,5,5,10,-0.503030303030303,1,1,1.0
Momordica charantia,17,13,78,-0.08219386330877976,1,4,1.3076923076923077
Morinda citrifolia,11,10,45,-0.04359596482417351,1,2,1.1
Nelumbo nucifera,6,5,10,-0.15151515151515152,1,2,1.2
Nerium oleander,6,5,10,0.04242424242424243,1,2,1.2
Nicotiana glauca,10,9,36,-0.09931091263368941,1,2,1.1111111111111112
Nymphaea nouchali,5,4,6,0.550782483869826,1,2,1.25
Nymphaea rubra,6,4,6,0.4857142857142857,1,3,1.5
Oenothera rosea,11,5,10,-0.6322217654272672,1,7,2.2
Oldenlandia corymbosa,9,8,28,-0.025739324779851268,1,2,1.125
Oreomecon radicata,10,4,6,-0.5217939320872036,1,7,2.5
Oxalis barrelieri,13,6,15,-0.07149243247970778,1,6,2.1666666666666665
Oxalis corniculata,20,15,105,0.3611999572758801,1,2,1.3333333333333333
Oxalis debilis,13,9,36,0.2947612329734001,1,4,1.4444444444444444
Oxalis latifolia,5,4,6,0.2571428571428571,1,2,1.25
Oxalis obtusa,10,3,3,0.4999999999999999,1,7,3.3333333333333335
Oxalis purpurea,7,4,6,0.5428571428571428,1,4,1.75
Parnassia palustris,36,14,91,0.12494429970426936,1,7,2.5714285714285716
Pemphis acidula,16,10,45,0.3186132791987045,1,3,1.6
Persicaria capitata,14,10,45,-0.005073299360538728,1,3,1.4
Phyla nodiflora,11,8,28,-0.0038314176245210735,1,4,1.375
Physalis angulata,5,5,10,0.1712610301307672,1,1,1.0
Pilosella aurantiaca,6,5,10,0.3212121212121212,1,2,1.2
Pinguicula vulgaris,5,3,3,0.9999999999999998,1,3,1.6666666666666667
Plantago lanceolata,8,7,21,0.41688311688311686,1,2,1.1428571428571428
Platanthera convallariifolia,10,3,3,0.9999999999999998,1,6,3.3333333333333335
Pontederia crassipes,17,13,78,-0.10223492867098992,1,4,1.3076923076923077
Prunella vulgaris,9,8,28,0.07445935127060901,1,2,1.125
Pulsatilla nuttalliana,14,8,28,0.20502349442758833,1,4,1.75
Pulsatilla patens,8,4,6,0.8116794499134278,1,5,2.0
Rhizophora stylosa,7,3,3,0.9999999999999998,1,3,2.3333333333333335
Rhodiola rosea,6,4,6,0.7714285714285715,1,2,1.5
Rhododendron lapponicum,6,3,3,0.4999999999999999,1,4,2.0
Rivina humilis,9,7,21,0.046829330199433084,1,2,1.2857142857142858
Rubus arcticus,6,4,6,-0.08571428571428572,1,3,1.5
Rubus chamaemorus,19,11,55,0.1515128370673084,1,3,1.7272727272727273
Rubus rosifolius,7,4,6,0.14494275891311212,1,4,1.75
Ruellia simplex,13,8,28,0.09786197447146686,1,3,1.625
Ruellia tuberosa,5,4,6,0.9428571428571428,1,2,1.25
Saxifraga oppositifolia,17,7,21,0.13917288689258236,1,4,2.4285714285714284
Saxifraga tricuspidata,9,4,6,0.6,1,6,2.25
Scaevola taccada,36,19,171,-0.10062830466917039,1,9,1.894736842105263
Sida acuta,6,5,10,-0.4909090909090909,1,2,1.2
Silene acaulis,18,8,28,0.1192645471529159,1,5,2.25
Silene involucrata,13,3,3,-0.4999999999999999,1,11,4.333333333333333
Silene latifolia,6,5,10,-0.40606060606060607,1,2,1.2
Silybum marianum,10,7,21,0.011688311688311689,1,3,1.4285714285714286
Sisyrinchium micranthum,6,6,15,-0.41785714285714287,1,1,1.0
Sisyrinchium montanum,5,3,3,0.9999999999999998,1,3,1.6666666666666667
Solanum nigrum,6,5,10,0.1393939393939394,1,2,1.2
Sonchus oleraceus,8,6,15,0.35,1,2,1.3333333333333333
Spathodea campanulata,11,8,28,0.021087229370593014,1,3,1.375
Spathoglottis plicata,15,10,45,-0.020558100240301157,1,3,1.5
Stachys palustris,6,4,6,-0.7714285714285715,1,3,1.5
Stachytarpheta jamaicensis,8,6,15,-0.18588032444724023,1,3,1.3333333333333333
Suriana maritima,8,5,10,-0.3575757575757576,1,2,1.6
Synedrella nodiflora,21,13,78,-0.0827206586819144,1,5,1.6153846153846154
