stage,photo_id,inclusions
calibration,2860932,68
calibration,2879894,43
calibration,2893584,73
calibration,2897087,41
calibration,2993136,49
calibration,3006090,40
calibration,3060612,37
calibration,3112948,43
calibration,3145440,29
calibration,3149243,46
calibration,3152486,41
calibration,3197473,39
calibration,3204092,44
calibration,3216047,54
calibration,3226975,30
calibration,3247668,56
calibration,3276265,40
calibration,3279533,44
calibration,3283910,31
calibration,3297456,34
calibration,3307338,30
calibration,3314865,52
calibration,3334472,49
calibration,3354676,51
calibration,3360686,34
calibration,3390021,27
calibration,3404545,39
calibration,3408410,42
calibration,3469194,52
calibration,3486461,25
calibration,3512850,59
calibration,3520562,50
calibration,3550763,34
calibration,3557443,42
calibration,3572119,32
calibration,3590749,52
calibration,3594519,56
calibration,3606788,46
calibration,3654373,47
calibration,3692167,52
calibration,3700404,58
calibration,3759913,57
calibration,3787814,55
calibration,3788136,55
calibration,3790170,27
calibration,3801773,42
calibration,3807504,48
calibration,3827659,37
calibration,3848404,31
calibration,3851264,57
calibration,3864266,37
calibration,3881775,41
calibration,3889490,51
calibration,3901624,70
calibration,3906081,34
calibration,3909333,65
calibration,3916679,39
calibration,3981662,44
calibration,4017106,29
calibration,4083114,35
calibration,4089638,58
calibration,4105812,54
calibration,4114082,42
calibration,4121732,54
calibration,4138756,27
calibration,4163439,54
calibration,4164617,40
calibration,4169174,39
calibration,4216139,39
calibration,4264195,49
calibration,4281838,34
calibration,4370675,61
calibration,4380603,47
calibration,4409307,54
calibration,4433535,36
calibration,4445719,51
calibration,4493448,22
calibration,4542630,52
calibration,4544977,56
calibration,4570227,37
calibration,4579882,42
calibration,4589667,60
calibration,4616273,47
calibration,4622204,66
calibration,4672383,54
calibration,4705031,55
calibration,4742092,55
calibration,4777287,62
calibration,4799632,58
calibration,4799925,31
calibration,4864350,31
calibration,4872212,34
calibration,4876862,71
calibration,4884336,63
calibration,4918942,50
calibration,4923753,60
calibration,4931103,43
calibration,4984822,41
calibration,4997062,65
calibration,5001201,43
calibration,5002909,33
calibration,5025970,50
calibration,5065081,39
calibration,5089443,52
calibration,5092492,60
calibration,5119019,44
calibration,5258133,41
calibration,5297626,41
calibration,5342911,38
calibration,5345178,58
calibration,5538272,57
calibration,5552915,46
calibration,5592276,60
calibration,5639190,62
calibration,5679734,25
calibration,5687367,48
calibration,5711940,50
calibration,5855540,62
calibration,5952527,45
calibration,5958999,61
calibration,5970586,38
calibration,5970708,60
calibration,6022571,51
calibration,6047827,56
calibration,6068214,41
calibration,6085022,46
calibration,6223189,55
calibration,6248727,41
calibration,6328004,48
calibration,6334770,52
calibration,6367197,47
calibration,6401875,42
calibration,6414527,58
calibration,6453118,27
calibration,6479507,49
calibration,6495408,49
calibration,6549345,32
calibration,6582013,39
calibration,6595868,70
calibration,6618412,35
calibration,6626441,66
calibration,6642198,50
calibration,6685781,47
calibration,6717852,50
calibration,6732274,47
calibration,6735182,57
calibration,6787706,33
calibration,6846954,46
calibration,6858731,47
calibration,6873599,66
calibration,6875575,34
calibration,6885219,62
calibration,6897065,61
calibration,6960706,52
calibration,6976074,31
calibration,6976840,25
calibration,7010075,57
calibration,7027479,50
calibration,7048033,49
calibration,7092609,62
calibration,7105111,46
calibration,7153758,50
calibration,7162656,26
calibration,7195763,53
calibration,7205822,40
calibration,7297033,39
calibration,7337186,52
calibration,7352665,38
calibration,7359816,41
calibration,7446889,40
calibration,7474081,55
calibration,7530568,31
calibration,7547637,34
calibration,7554472,57
calibration,7579687,55
calibration,7605444,37
calibration,7609480,53
calibration,7615497,60
calibration,7721328,59
calibration,7745667,47
calibration,7761757,36
calibration,7776492,30
calibration,7777589,63
calibration,7838315,44
calibration,7869043,66
calibration,7886567,57
calibration,7907511,56
calibration,7909841,22
calibration,7940609,70
calibration,7953524,38
calibration,7958036,31
calibration,7981417,40
calibration,8041659,41
calibration,8052773,38
calibration,8083042,64
calibration,8115920,24
calibration,8132092,31
calibration,8158157,54
calibration,8198828,53
calibration,8202134,45
calibration,8205674,71
calibration,8227422,43
calibration,8235216,34
calibration,8295034,37
calibration,8301817,58
calibration,8319143,39
calibration,8339128,46
calibration,8354719,28
calibration,8358562,39
calibration,8358985,35
calibration,8374067,36
calibration,8438581,37
calibration,8455787,46
calibration,8473536,47
calibration,8484956,34
calibration,8486554,49
calibration,8500245,42
calibration,8504944,34
calibration,8508028,38
calibration,8555446,46
calibration,8576394,45
calibration,8594077,44
calibration,8616440,38
calibration,8633332,55
calibration,8654679,52
calibration,8674243,40
calibration,8678655,42
calibration,8702464,32
calibration,8706201,54
calibration,8820798,49
calibration,8838281,63
calibration,8840592,51
calibration,8854718,49
calibration,8990295,60
calibration,8997830,50
calibration,9003219,50
calibration,9019179,72
calibration,9032332,28
calibration,9047940,53
calibration,9060531,38
calibration,9102427,57
calibration,9103402,37
calibration,9170176,40
calibration,9172074,32
calibration,9204097,44
calibration,9264704,37
calibration,9324091,40
calibration,9373220,32
calibration,9376216,41
calibration,9377621,56
calibration,9444780,60
calibration,9449578,32
calibration,9450262,42
calibration,9467333,28
calibration,9512614,36
calibration,9557902,56
calibration,9584976,42
calibration,9605331,48
calibration,9703869,53
calibration,9717479,51
calibration,9743650,57
calibration,9765991,33
calibration,9774784,41
calibration,9846759,58
calibration,9850837,58
calibration,9868767,42
calibration,9881526,49
calibration,9883308,43
calibration,9961747,27
calibration,9967909,55
calibration,10028499,63
calibration,10046442,44
calibration,10066757,23
calibration,10084499,56
calibration,10114716,60
calibration,10133348,32
calibration,10170947,48
calibration,10190869,43
calibration,10200434,40
calibration,10204855,43
calibration,10211086,32
calibration,10283819,37
calibration,10300104,59
calibration,10332271,59
calibration,10392117,60
calibration,10394614,49
calibration,10394685,27
calibration,10400213,38
calibration,10481255,60
calibration,10501900,62
calibration,10520824,57
calibration,10556249,49
calibration,10561317,48
calibration,10571793,34
calibration,10591404,74
calibration,10611427,36
calibration,10634975,40
calibration,10690430,69
calibration,10694342,51
calibration,10707347,43
calibration,10749247,47
calibration,10762035,40
calibration,10801828,44
calibration,10834822,52
calibration,11010347,26
calibration,11018702,45
calibration,11019099,60
calibration,11045344,63
calibration,11053950,54
calibration,11083552,45
calibration,11092125,65
calibration,11098549,45
calibration,11103942,37
calibration,11126500,47
calibration,11204799,36
calibration,11236216,47
calibration,11237443,45
calibration,11353889,35
calibration,11370172,25
calibration,11375729,68
calibration,11398608,58
calibration,11410289,56
calibration,11447390,34
calibration,11511861,53
calibration,11517748,40
calibration,11537180,43
calibration,11564704,27
calibration,11565089,40
calibration,11575951,37
calibration,11586890,35
calibration,11598981,63
calibration,11629456,52
calibration,11630442,58
calibration,11634391,43
calibration,11664064,47
calibration,11667326,33
calibration,11692293,42
calibration,11705483,50
calibration,11769033,46
calibration,11774708,61
calibration,11825495,31
calibration,11830862,33
calibration,11876731,33
calibration,11925579,45
calibration,11950170,55
calibration,11971095,30
calibration,11987835,69
calibration,11988295,33
calibration,11999458,60
calibration,12039466,22
calibration,12057374,35
calibration,12059704,61
calibration,12084801,34
calibration,12154253,55
calibration,12155137,48
calibration,12156752,30
calibration,12185405,45
calibration,12200642,36
calibration,12215257,51
calibration,12254836,54
calibration,12310713,36
calibration,12321713,52
calibration,12338993,53
calibration,12342512,62
calibration,12344036,38
calibration,12396252,31
calibration,12398885,79
calibration,12429140,42
calibration,12454880,43
calibration,12463779,59
calibration,12466752,35
calibration,12492747,35
calibration,12496851,40
calibration,12515704,56
calibration,12515972,35
calibration,12519370,37
calibration,12542371,66
calibration,12556346,53
calibration,12558157,57
calibration,12561066,50
calibration,12580541,56
calibration,12627058,53
calibration,12645024,36
calibration,12649547,40
calibration,12668756,43
calibration,12707571,43
calibration,12740687,64
calibration,12769440,50
calibration,12788441,58
calibration,12793705,58
calibration,12866742,61
calibration,12870033,65
calibration,12900212,45
calibration,12997692,51
calibration,13020982,36
calibration,13026117,67
calibration,13045614,70
calibration,13062746,33
calibration,13170841,37
calibration,13183193,31
calibration,13236579,51
calibration,13285922,34
calibration,13309322,54
calibration,13344737,37
calibration,13359601,73
calibration,13362238,48
calibration,13466706,45
calibration,13516585,48
calibration,13550174,54
calibration,13585904,71
calibration,13615558,52
calibration,13741608,41
calibration,13812631,42
calibration,13839054,38
calibration,13887554,56
calibration,13923815,56
calibration,13978000,40
calibration,13994244,56
calibration,14059693,42
calibration,14059822,32
calibration,14129684,58
calibration,14144615,44
calibration,14156712,33
calibration,14165700,72
calibration,14171262,45
calibration,14174953,65
calibration,14202986,45
calibration,14246185,33
calibration,14250405,38
calibration,14255190,48
calibration,14267004,38
calibration,14322041,46
calibration,14324763,45
calibration,14332304,45
calibration,14355458,52
calibration,14368369,53
calibration,14426783,71
calibration,14442112,63
calibration,14485914,59
calibration,14518349,35
calibration,14529481,51
calibration,14567367,34
calibration,14594214,34
calibration,14622316,49
calibration,14684351,46
calibration,14703273,79
calibration,14705706,55
calibration,14711856,49
calibration,14717165,42
calibration,14750450,44
calibration,14766455,49
calibration,14775413,48
calibration,14793656,53
calibration,14807057,47
calibration,14821524,69
calibration,14867707,51
calibration,14896164,51
calibration,14908389,45
calibration,14918811,41
calibration,15039005,45
calibration,15118981,39
calibration,15122087,48
calibration,15148583,53
calibration,15156782,42
calibration,15178579,53
calibration,15192694,45
calibration,15218641,53
calibration,15289251,42
calibration,15298006,28
calibration,15482630,24
calibration,15510128,48
calibration,15541009,55
calibration,15579526,39
calibration,15651957,62
calibration,15655273,48
calibration,15666599,59
calibration,15689460,57
calibration,15823701,54
calibration,15842481,34
calibration,15900151,56
calibration,16007263,58
calibration,16008026,49
calibration,16025286,41
calibration,16038421,54
calibration,16074514,44
calibration,16126846,56
calibration,16159385,37
calibration,16187635,47
calibration,16189712,47
calibration,16202754,40
calibration,16242044,41
calibration,16262323,54
calibration,16323472,53
calibration,16324993,40
calibration,16328974,53
calibration,16349533,33
calibration,16368334,51
calibration,16478866,48
calibration,16479004,38
calibration,16487658,28
calibration,16543179,57
calibration,16728261,57
calibration,16744655,25
calibration,16834429,57
calibration,16878796,40
calibration,16908039,39
calibration,16945304,40
calibration,16970253,44
calibration,17010228,45
calibration,17046253,42
calibration,17051012,66
calibration,17131168,48
calibration,17150018,48
calibration,17239830,40
calibration,17293742,30
calibration,17334410,43
calibration,17356636,53
calibration,17394442,34
calibration,17400212,38
calibration,17445402,46
calibration,17454674,52
calibration,17460406,40
calibration,17473669,57
calibration,17494827,45
calibration,17498068,63
calibration,17511559,61
calibration,17569157,54
calibration,17583634,50
calibration,17594568,36
calibration,17604240,34
calibration,17646334,46
calibration,17656361,59
calibration,17693776,30
calibration,17813674,56
calibration,17827896,43
calibration,17837534,49
calibration,17847994,62
calibration,17851995,33
calibration,17869901,32
calibration,17875913,34
calibration,17914172,60
calibration,17958513,58
calibration,17965580,53
calibration,17977027,54
calibration,17999151,40
calibration,18016053,59
calibration,18034686,48
calibration,18078355,48
calibration,18086997,38
calibration,18103995,57
calibration,18105285,33
calibration,18108557,49
calibration,18135107,56
calibration,18150141,39
calibration,18157474,43
calibration,18174640,58
calibration,18231363,28
calibration,18244381,36
calibration,18249232,68
calibration,18331692,69
calibration,18337387,36
calibration,18345994,51
calibration,18359298,58
calibration,18370019,55
calibration,18432487,51
calibration,18461423,59
calibration,18461789,35
calibration,18466583,46
calibration,18492929,35
calibration,18542449,42
calibration,18553941,61
calibration,18565249,40
calibration,18576850,37
calibration,18583785,56
calibration,18606906,45
calibration,18623530,52
calibration,18647894,57
calibration,18678493,43
calibration,18693445,30
calibration,18695235,40
calibration,18695842,40
calibration,18695872,67
calibration,18703610,34
calibration,18706780,52
calibration,18721763,34
calibration,18734966,44
calibration,18751701,54
calibration,18752952,35
calibration,18765967,49
calibration,18773974,36
calibration,18779465,47
calibration,18783747,38
calibration,18809168,51
calibration,18825554,69
calibration,18853721,49
calibration,18900464,53
calibration,18913530,23
calibration,18916079,45
calibration,18924780,45
calibration,18974649,59
calibration,19000719,42
calibration,19037000,40
calibration,19068295,39
calibration,19085358,43
calibration,19091567,37
calibration,19104412,32
calibration,19111463,35
calibration,19111863,35
calibration,19126716,32
calibration,19137910,37
calibration,19175896,45
calibration,19182114,52
calibration,19194896,42
calibration,19261403,37
calibration,19263253,49
calibration,19333810,45
calibration,19380868,53
calibration,19382812,29
calibration,19389328,54
calibration,19392519,63
calibration,19404612,54
calibration,19404918,50
calibration,19407560,57
calibration,19442401,65
calibration,19445666,41
calibration,19449339,47
calibration,19450207,36
calibration,19457325,41
calibration,19503312,38
calibration,19510169,41
calibration,19515753,37
calibration,19527883,70
calibration,19548546,55
calibration,19585340,44
calibration,19598595,66
calibration,19599808,33
calibration,19613113,61
calibration,19664219,38
calibration,19666833,46
calibration,19670149,40
calibration,19678262,58
calibration,19705730,52
calibration,19711286,48
calibration,19740807,39
calibration,19785183,54
calibration,19841659,48
calibration,19853970,62
calibration,19868804,54
calibration,19870820,46
calibration,19874090,42
calibration,19900346,48
calibration,19903493,42
calibration,19951081,39
calibration,19993836,53
calibration,20072114,58
calibration,20117076,67
calibration,20123946,36
calibration,20157168,43
calibration,20159278,32
calibration,20164973,47
calibration,20179355,57
calibration,20229101,40
calibration,20255727,53
calibration,20259489,60
calibration,20332965,56
calibration,20357762,54
calibration,20394567,36
calibration,20414645,44
calibration,20433747,63
calibration,20450480,35
calibration,20452140,44
calibration,20468824,37
calibration,20470949,43
calibration,20495213,57
calibration,20506284,68
calibration,20519684,53
calibration,20520799,44
calibration,20537405,52
calibration,20579608,42
calibration,20594488,78
calibration,20613682,30
calibration,20624396,39
calibration,20631243,51
calibration,20632032,68
calibration,20636744,53
calibration,20643488,61
calibration,20660637,29
calibration,20671290,52
calibration,20703476,54
calibration,20715902,46
calibration,20737960,33
calibration,20750004,57
calibration,20763155,74
calibration,20775195,56
calibration,20789537,58
calibration,20819794,37
calibration,20867652,37
calibration,20896661,52
calibration,20908033,42
calibration,20921375,55
calibration,20927021,38
calibration,20927933,60
calibration,20971533,56
calibration,20973970,53
calibration,21013372,36
calibration,21039595,66
calibration,21047923,31
calibration,21069920,71
calibration,21075301,44
calibration,21164899,60
calibration,21202873,43
calibration,21208588,51
calibration,21234735,47
calibration,21246600,28
calibration,21268191,61
calibration,21308265,66
calibration,21319590,52
calibration,21338849,49
calibration,21361190,47
calibration,21371918,31
calibration,21383088,34
calibration,21423585,51
calibration,21447506,31
calibration,21466689,35
calibration,21509288,50
calibration,21537519,54
calibration,21567252,49
calibration,21617880,37
calibration,21619997,42
calibration,21674432,59
calibration,21693167,59
calibration,21694354,42
calibration,21697179,38
calibration,21706550,55
calibration,21707249,51
calibration,21721545,61
calibration,21724910,53
calibration,21734041,60
calibration,21825650,58
calibration,21840007,47
calibration,21841547,36
calibration,21847239,49
calibration,21853172,64
calibration,21856760,25
calibration,21927392,25
calibration,21968470,66
calibration,21973886,43
calibration,21977517,54
calibration,22000705,44
calibration,22016847,58
calibration,22045496,39
calibration,22062857,48
calibration,22071681,38
calibration,22096918,43
calibration,22139287,43
calibration,22150879,46
calibration,22176843,59
calibration,22178609,60
calibration,22180968,31
calibration,22231507,40
calibration,22246476,37
calibration,22276434,54
calibration,22312036,40
calibration,22342045,43
calibration,22359053,45
calibration,22360529,45
calibration,22381716,31
calibration,22421441,51
calibration,22443714,59
calibration,22480823,57
calibration,22574409,63
calibration,22667554,47
calibration,22696606,38
calibration,22697807,46
calibration,22732979,41
calibration,22778799,59
calibration,22834417,51
calibration,22890158,55
calibration,22890398,57
calibration,22959302,33
calibration,22959561,46
calibration,22997589,29
calibration,23012311,39
calibration,23019088,44
calibration,23044482,25
calibration,23078358,63
calibration,23089175,42
calibration,23092145,63
calibration,23130672,56
calibration,23149993,22
calibration,23270245,46
calibration,23277009,69
calibration,23288732,54
calibration,23297558,32
calibration,23324411,40
calibration,23342414,36
calibration,23355299,67
calibration,23409569,39
calibration,23410097,60
calibration,23423970,65
calibration,23503579,42
calibration,23571761,46
calibration,23600113,40
calibration,23608830,54
calibration,23645627,66
calibration,23652905,48
calibration,23813320,49
calibration,23814431,60
calibration,23822679,66
calibration,23836320,57
calibration,23869057,44
calibration,23903423,47
calibration,23919709,70
calibration,23925386,35
calibration,23926295,39
calibration,23937396,60
calibration,23946190,59
calibration,23947164,40
calibration,23958263,29
calibration,23970140,44
calibration,23973128,38
calibration,23978854,53
calibration,24032234,45
calibration,24083707,51
calibration,24137769,66
calibration,24138575,67
calibration,24140491,52
calibration,24193198,57
calibration,24204140,37
calibration,24233195,56
calibration,24260275,54
calibration,24311775,56
calibration,24373031,42
calibration,24389541,47
calibration,24397238,46
calibration,24436782,49
calibration,24480398,34
calibration,24480722,40
calibration,24486030,39
calibration,24487673,45
calibration,24494179,38
calibration,24549503,38
calibration,24553963,36
calibration,24595724,51
calibration,24598003,35
calibration,24646346,34
calibration,24735950,63
calibration,24746731,56
calibration,24809253,45
calibration,24830516,42
calibration,24831512,50
calibration,24832983,33
calibration,24843546,50
calibration,24899983,26
calibration,24940679,48
calibration,24956952,66
calibration,24988622,54
calibration,24993631,59
calibration,25010464,57
calibration,25023669,37
calibration,25065924,56
calibration,25074424,50
calibration,25233979,36
calibration,25298232,32
calibration,25301402,67
calibration,25336317,43
calibration,25355638,44
calibration,25363669,74
calibration,25436136,25
calibration,25455343,52
calibration,25480773,49
calibration,25496513,40
calibration,25518916,43
calibration,25543694,41
calibration,25609723,28
calibration,25610302,55
calibration,25613321,38
calibration,25689397,42
calibration,25721034,48
calibration,25740266,54
calibration,25748996,47
calibration,25772179,52
calibration,25794861,39
calibration,25802282,36
calibration,25835972,37
calibration,25837905,33
calibration,25838244,64
calibration,25896318,36
calibration,25900614,44
calibration,25937314,52
calibration,25945390,40
calibration,25958069,40
calibration,25963833,71
calibration,26019204,48
calibration,26082773,29
calibration,26176342,70
calibration,26186273,45
calibration,26371403,27
calibration,26469382,63
calibration,26499548,49
calibration,26500021,29
calibration,26540442,43
calibration,26755651,37
calibration,26774708,29
calibration,26818472,74
calibration,26822791,50
calibration,26823378,30
calibration,26881579,49
calibration,26918870,32
calibration,26921635,33
calibration,26924457,51
calibration,26932020,63
calibration,26948589,51
calibration,26983262,33
calibration,27007218,50
calibration,27019166,36
calibration,27075574,36
calibration,27096734,54
calibration,27107874,51
calibration,27162615,50
calibration,27189553,45
calibration,27203758,50
calibration,27217709,30
calibration,27277928,54
calibration,27293107,47
calibration,27299988,44
calibration,27302839,30
calibration,27379394,61
calibration,27408052,33
calibration,27409766,39
calibration,27413694,38
calibration,27414843,49
calibration,27455944,64
calibration,27463428,42
calibration,27563617,49
calibration,27578857,63
calibration,27580866,55
calibration,27600087,59
calibration,27622759,65
calibration,27623018,27
calibration,27633813,41
calibration,27723104,65
calibration,27907885,61
calibration,27934309,48
calibration,27944799,34
calibration,27956931,50
calibration,27958469,56
calibration,27984871,52
calibration,27985862,41
calibration,27995397,60
calibration,28050774,50
calibration,28122276,36
calibration,28127021,39
calibration,28162462,50
calibration,28185571,45
calibration,28219234,45
calibration,28330778,37
calibration,28356480,60
calibration,28356649,31
calibration,28367097,34
calibration,28374295,52
calibration,28417505,45
calibration,28512972,39
calibration,28588057,74
calibration,28608179,35
calibration,28707220,43
calibration,28708971,57
calibration,28723387,40
calibration,28815738,39
calibration,28821325,61
calibration,28843481,62
calibration,28849338,55
calibration,28876792,43
calibration,28892764,40
calibration,28938580,37
calibration,28964775,57
calibration,29073007,71
calibration,29116800,71
calibration,29120958,54
calibration,29145060,28
calibration,29161610,64
calibration,29165802,38
calibration,29184748,55
calibration,29284260,56
calibration,29298588,44
calibration,29307982,40
calibration,29314390,43
calibration,29338634,53
calibration,29367776,48
calibration,29372707,54
calibration,29375860,28
calibration,29427374,43
calibration,29496612,55
calibration,29502241,59
calibration,29517578,32
calibration,29553145,72
calibration,29566396,40
calibration,29587835,33
calibration,29590658,30
calibration,29606948,60
calibration,29606965,43
calibration,29627933,57
calibration,29638059,42
calibration,29647084,33
calibration,29669777,56
calibration,29698232,58
calibration,29703490,41
calibration,29721632,38
calibration,29750319,64
calibration,29795497,55
calibration,29801515,49
calibration,29838853,20
calibration,29868118,41
calibration,29891166,21
calibration,30070132,54
calibration,30136331,58
calibration,30153221,51
calibration,30173932,49
calibration,30181505,36
calibration,30190140,29
calibration,30219503,50
calibration,30222734,56
calibration,30251096,30
calibration,30255552,41
calibration,30309150,53
calibration,30352760,55
calibration,30362936,29
calibration,30413713,53
calibration,30425171,36
calibration,30461232,49
calibration,30485484,38
calibration,30497951,49
calibration,30508311,52
calibration,30550421,57
calibration,30558759,42
calibration,30570467,51
calibration,30628783,37
calibration,30629597,59
calibration,30645166,30
calibration,30651776,39
calibration,30803040,69
calibration,30808757,53
calibration,30831432,29
calibration,30847859,54
calibration,30885249,52
calibration,30885738,55
calibration,30903796,50
calibration,30908415,33
calibration,30922454,31
calibration,31005051,51
calibration,31020807,31
calibration,31029679,48
calibration,31031679,55
calibration,31064739,35
calibration,31095878,41
calibration,31098929,47
calibration,31149718,62
calibration,31157117,38
calibration,31183080,54
calibration,31229281,50
calibration,31248476,30
calibration,31259656,49
calibration,31262607,52
calibration,31273342,59
calibration,31322693,56
calibration,31351132,53
calibration,31352715,47
calibration,31389797,53
calibration,31400620,30
calibration,31432971,39
calibration,31444015,50
calibration,31470866,54
calibration,31496474,37
calibration,31554139,54
calibration,31554223,42
calibration,31557153,36
calibration,31557592,55
calibration,31580024,46
calibration,31621278,27
calibration,31625618,38
calibration,31649583,28
calibration,31696494,26
calibration,31711165,30
calibration,31729451,27
calibration,31747053,53
calibration,31747925,36
calibration,31749617,53
calibration,31908721,53
calibration,31975769,43
calibration,31986804,60
calibration,31994254,42
calibration,32020835,39
calibration,32049718,42
calibration,32055514,42
calibration,32071017,69
calibration,32121569,44
calibration,32125208,33
calibration,32128436,56
calibration,32135654,43
calibration,32189588,48
calibration,32210696,55
calibration,32228209,44
calibration,32230396,41
calibration,32265461,34
calibration,32268170,44
calibration,32289761,48
calibration,32322962,59
calibration,32335729,56
calibration,32381298,38
calibration,32414300,68
calibration,32415431,54
calibration,32426235,53
calibration,32449508,47
calibration,32469006,45
calibration,32474362,54
calibration,32485292,45
calibration,32494443,47
calibration,32567948,44
calibration,32581944,44
calibration,32585226,53
calibration,32603591,36
calibration,32605204,39
calibration,32609619,46
calibration,32614782,40
calibration,32628758,55
calibration,32691637,61
calibration,32721517,45
calibration,32723718,45
calibration,32745194,53
calibration,32747666,40
calibration,32748936,38
calibration,32749632,35
calibration,32766813,55
calibration,32803408,37
calibration,32805747,43
calibration,32823502,45
calibration,32839385,46
calibration,32864664,58
calibration,32894237,29
calibration,32898604,47
calibration,32926039,30
calibration,32936733,47
calibration,32964594,42
calibration,32972142,30
calibration,33042687,53
calibration,33044638,58
calibration,33046409,47
calibration,33103766,53
calibration,33119319,39
calibration,33124430,39
calibration,33135654,48
calibration,33137655,52
calibration,33139296,59
calibration,33144259,59
calibration,33148848,47
calibration,33151602,48
calibration,33152273,24
calibration,33170447,46
calibration,33177934,43
calibration,33189529,46
calibration,33221211,58
calibration,33243320,48
calibration,33252324,51
calibration,33254083,67
calibration,33264939,36
calibration,33306467,42
calibration,33343797,53
calibration,33343915,30
calibration,33345533,45
calibration,33370729,34
calibration,33374585,65
calibration,33382286,46
calibration,33402021,56
calibration,33423896,27
calibration,33430281,57
calibration,33433225,58
calibration,33440125,48
calibration,33441070,33
calibration,33445129,34
calibration,33450650,39
calibration,33454317,51
calibration,33462098,55
calibration,33464908,42
calibration,33475560,38
calibration,33502947,31
calibration,33511198,40
calibration,33527797,56
calibration,33553688,64
calibration,33614402,73
calibration,33638915,54
calibration,33680583,42
calibration,33690083,64
calibration,33706524,49
calibration,33732722,37
calibration,33751816,40
calibration,33755493,30
calibration,33756924,35
calibration,33764003,53
calibration,33773003,35
calibration,33781300,62
calibration,33786865,55
calibration,33808073,46
calibration,33815888,62
calibration,33873259,46
calibration,33874371,43
calibration,33879813,45
calibration,33903217,54
calibration,33927032,56
calibration,33948608,48
calibration,33956262,27
calibration,33970611,33
calibration,33985648,39
calibration,34005245,50
calibration,34007669,55
calibration,34008007,57
calibration,34032405,63
calibration,34043031,44
calibration,34068555,57
calibration,34084671,52
calibration,34090268,44
calibration,34123397,31
calibration,34144610,31
calibration,34150365,56
calibration,34203688,50
calibration,34210566,31
calibration,34222952,56
calibration,34235534,53
calibration,34236055,47
calibration,34263477,56
calibration,34270605,39
calibration,34274733,43
calibration,34277074,61
calibration,34278770,54
calibration,34285487,34
calibration,34286502,31
calibration,34293670,39
calibration,34317477,58
calibration,34339456,29
calibration,34351830,50
calibration,34378592,52
calibration,34391482,29
calibration,34399835,63
calibration,34443660,56
calibration,34536829,48
calibration,34558938,58
calibration,34603825,57
calibration,34618986,60
calibration,34623188,49
calibration,34650499,35
calibration,34650893,73
calibration,34654485,37
calibration,34709445,34
calibration,34745017,32
calibration,34754510,39
calibration,34755683,33
calibration,34756192,42
calibration,34790578,46
calibration,34844519,44
calibration,34880244,45
calibration,34894846,51
calibration,34900873,60
calibration,34929855,57
calibration,34936194,42
calibration,34957442,35
calibration,34970959,51
calibration,35002479,42
calibration,35017332,70
calibration,35029506,59
calibration,35051089,56
calibration,35063245,35
calibration,35066925,62
calibration,35073442,60
calibration,35076846,41
calibration,35083780,50
calibration,35118813,42
calibration,35141565,64
calibration,35157745,62
calibration,35163594,55
calibration,35191874,41
calibration,35198131,43
calibration,35233599,49
calibration,35238949,40
