species,inat_taxon_id,raw_photos,classifiable_photos,global_measurement_evaluable
Pseudo-fumaria lutea,1686778,100,68,True
Pseudognaphalium affine,357436,100,82,True
Pterostylis pedunculata,323437,100,13,False
Pulmonaria obscura,245677,100,47,True
Pultenaea villosa,334802,100,65,True
Purshia stansburyana,78787,100,48,True
Pycnanthemum virginianum,154473,100,85,True
Pyrola elliptica,82515,100,44,True
Pyrus calleryana,119793,100,30,False
Ranunculus kuepferi,210266,100,79,True
Ranunculus lyallii,354562,100,70,True
Ranunculus reflexus,405613,100,38,False
Ranunculus trichophyllus,486980,100,74,True
Ranunculus uncinatus,63898,100,44,True
Rhododendron canadense,153942,100,45,True
Rhododendron catawbiense,49486,100,48,True
Rhododendron periclymenoides,49822,100,39,False
Rhododendron pseudochrysanthum,524497,100,50,True
Rhododendron tomentosum,516757,100,61,True
Rhynchospora colorata,132685,100,51,True
Ribes lacustre,78858,100,33,False
Ribes speciosum,50824,100,29,False
Rorippa palustris,64162,100,63,True
Rosa blanda,83062,100,50,True
Rosa multiflora,78882,100,71,True
Rubus chamaemorus,153003,100,58,True
Rubus odoratus,62377,100,50,True
Rubus trivialis,69714,100,61,True
Rudbeckia triloba,136376,100,75,True
Sagittaria lancifolia,69813,100,59,True
Sagittaria latifolia,48070,100,68,True
Sairocarpus pusillus,84744,100,43,True
Salix sitchensis,61100,100,26,False
Salvia amarissima,278915,100,49,True
Salvia glutinosa,143418,100,22,False
Salvia hispanica,53219,100,61,True
Salvia lavanduloides,194529,100,47,True
Salvia polystachia,1349529,100,43,True
Salvia prunelloides,278933,100,48,True
Salvia verticillata,128689,100,44,True
Sambucus mexicana,1203426,100,46,True
Sanguinaria canadensis,51044,100,68,True
Sarcocapnos enneaphylla,467677,100,38,False
Satureja montana,168442,100,60,True
Saxifraga granulata,124135,100,69,True
Saxifraga tridactylites,168479,100,52,True
Scilla bifolia,56934,100,51,True
Scilla luciliae,244100,100,59,True
Scilla verna,129499,100,63,True
Scrophularia californica,50812,100,29,False
Searsia lucida,593894,100,39,False
Searsia rosmarinifolia,528462,100,35,False
Sedum sarmentosum,118473,100,33,False
Senecio mohavensis,79050,100,66,True
Senecio ovatus,336370,100,43,True
Senecio triangularis,79055,100,58,True
Senecio vernalis,336378,100,82,True
Senegalia berlandieri,898697,100,71,True
Senna artemisioides,79058,100,75,True
Senna hebecarpa,136373,100,47,True
Serapias cordigera,341172,100,21,False
Sericocarpus linifolius,168857,100,52,True
Sesbania drummondii,120011,100,44,True
Shepherdia canadensis,79072,100,35,False
Sidalcea candida,168940,100,53,True
Sideranthus spinulosus,1686721,100,86,True
Sisymbrium irio,58085,100,65,True
Sixalix atropurpurea,372376,100,49,True
Solanum crispum,406068,100,51,True
Solanum dulcamara,55620,100,39,False
Solanum elaeagnifolium,79137,100,53,True
Solanum furcatum,79138,100,48,True
Solanum laxum,128667,100,48,True
Solanum lycopersicum,51737,100,46,True
Solanum pseudocapsicum,169078,100,54,True
Solidago ptarmicoides,144194,100,78,True
Solidago uliginosa,126657,100,50,True
Solidago virgaurea,118850,100,63,True
Sorghum halepense,58387,100,19,False
Sparaxis tricolor,50843,100,52,True
Sphaeralcea ambigua,50153,100,52,True
Sphaeralcea coccinea,126671,100,57,True
Stachys palustris,57457,100,43,True
Stevia serrata,169389,100,68,True
Streptosolen jamesonii,244676,100,60,True
Stypandra glauca,353957,100,57,True
Styphelia sieberi,1397850,100,22,False
Swainsona formosa,85367,100,36,False
Symphyotrichum puniceum,82307,100,62,True
Symphyotrichum subulatum,64208,100,68,True
Symphytum officinale,55724,100,46,True
Symplocos tinctoria,141855,100,45,True
Syzygium jambos,84838,100,30,False
Talinum fruticosum,361866,100,48,True
Talinum paniculatum,169540,100,45,True
Tanacetum vulgare,55971,100,85,True
Taraxacum erythrospermum,79317,100,75,True
Telekia speciosa,358060,100,62,True
Tetratheca thymifolia,326183,100,48,True
Thalictrum fendleri,53299,100,34,False
Thysanocarpus curvipes,58088,100,59,True
Tiarella stolonifera,1351707,100,54,True
Tillandsia tenuifolia,169769,100,26,False
Tinantia erecta,153994,100,45,True
Tithonia tubaeformis,154022,100,48,True
Tolmiea menziesii,128848,100,26,False
Toxicodendron pubescens,52083,100,37,False
Trachymene composita,353969,100,60,True
Tragopogon porrifolius,54141,100,44,True
Trifolium incarnatum,64268,100,52,True
Trifolium microdon,57079,100,31,False
Trifolium repens,55745,100,72,True
Trifolium stellatum,59417,100,30,False
Trifolium subterraneum,60201,100,32,False
Tripolium pannonicum,170020,100,70,True
Triteleia laxa,51085,100,61,True
Trixis inula,170046,100,83,True
Trollius albiflorus,1563130,100,62,True
Turnera subulata,327909,100,60,True
Uvularia sessilifolia,67772,100,18,False
Verbascum thapsus,59029,100,52,True
Verbena rigida,127942,100,64,True
Verbena urticifolia,129278,100,38,False
Veronica cymbalaria,170188,100,52,True
Veronica longifolia,170192,100,43,True
Veronica officinalis,129020,100,66,True
Veronica polita,68848,100,44,True
