species,pre_frame_classifiable_photos,pre_frame_occupied_h1_cells,pre_frame_morph_levels,spatial_cells,classifiable_photos_in_spatial_cells,cell_pairs,geographic_colour_spearman_rho,mean_pairwise_h1_cell_centroid_great_circle_km,mean_colour_jsd_bits
Clitoria ternatea,17,12,3,12,17,66,-0.014554947461046833,8931.624460773215,0.16959404300965286
Commelina benghalensis,24,15,3,15,24,105,-0.09690337432126009,8973.927303325743,0.2776622540155219
Commelina communis,14,7,2,7,14,21,-0.17660589165504476,6897.467840042132,0.21800126974760037
Commelina diffusa,12,7,2,7,12,21,-0.10094475130276774,10775.63578885284,0.09620884890448148
Commelina erecta,16,11,2,11,16,55,0.038177719034587075,5632.297601890908,0.29800212675827953
Convolvulus arvensis,25,16,2,16,25,120,0.22194860517008713,6805.2911044529965,0.05879773546899345
Crotalaria retusa,17,10,2,10,17,45,-0.17665470110335704,10224.529990393514,0.1873636368771509
Cyanthillium cinereum,21,13,3,13,21,78,0.3198836419215624,8289.971555076472,0.2216004293568651
Echium plantagineum,10,7,2,7,10,21,0.08706954404659135,10234.989246819197,0.1313584206425959
Geranium robertianum,10,7,4,7,10,21,0.4639377197706435,8600.260715458697,0.40886242679721635
Geranium sylvaticum,12,6,2,6,12,15,-0.37478998448135253,2724.0987989599694,0.0960549463068972
Gloriosa superba,37,18,3,18,37,153,0.029192641000568863,8801.385669660218,0.18711240334008192
Hibiscus tiliaceus,14,11,3,11,14,55,0.18867039816323264,6279.823580343258,0.3648880903086011
Hippobroma longiflora,15,10,2,10,15,45,0.014378056518465887,9946.366423325248,0.17476328176046638
Ipomoea cairica,18,15,4,15,18,105,0.14042918341524688,9488.137773918354,0.3203611620084815
Ipomoea indica,15,12,2,12,15,66,0.09488715914022662,10557.390352246786,0.13557456744488577
Ipomoea pes-caprae,38,24,4,24,38,276,0.027482903590344904,9849.82522618097,0.23418782982415465
Jatropha gossypiifolia,10,8,3,8,10,28,-0.09144422400152588,8904.015737318627,0.23386393757573362
Kalmia procumbens,24,6,3,6,24,15,-0.1774204944763319,2971.8262227347327,0.10042532211816563
Lamium purpureum,15,8,3,8,15,28,-0.12424604785429887,6392.545128802388,0.21272581781104422
Lantana camara,48,29,3,29,48,406,0.027760864771593573,10175.99835384014,0.2079803180084171
Lathyrus tuberosus,30,9,2,9,30,36,0.16726886267886487,3795.4065323391364,0.11731959908007696
Leucaena leucocephala,18,12,3,12,18,66,0.05904829701146996,10262.742144653263,0.19161225960358763
Luffa aegyptiaca,11,7,2,7,11,21,0.09629155842427595,8916.313641989596,0.26566084894159187
Lupinus nootkatensis,16,5,2,5,16,10,-0.24924127290882647,3786.0669642304188,0.07997554905206875
Mimosa pudica,36,19,3,19,36,171,0.05998110929117144,8411.626687600301,0.15145028211375403
Momordica charantia,17,13,2,13,17,78,-0.08219386330877976,10125.76790017369,0.10933933314942167
Morinda citrifolia,11,10,3,10,11,45,-0.04359596482417351,6460.390567440614,0.3238292270850157
Nicotiana glauca,10,9,2,9,10,36,-0.09931091263368941,7791.448812662852,0.2309766455849395
Oenothera rosea,11,5,2,5,11,10,-0.6322217654272672,10416.390180288963,0.144491724081469
Oxalis barrelieri,13,6,2,6,13,15,-0.07149243247970778,11526.856119698585,0.16504200790604656
Oxalis corniculata,20,15,2,15,20,105,0.3611999572758801,8002.080643227383,0.11532998169066999
Oxalis debilis,13,9,3,9,13,36,0.2947612329734001,9783.841218992275,0.2135330952144866
Parnassia palustris,36,14,2,14,36,91,0.12494429970426936,4548.032299468545,0.010956512298614536
Pemphis acidula,16,10,2,10,16,45,0.3186132791987045,7088.749322274439,0.15794720527860726
Persicaria capitata,14,10,2,10,14,45,-0.005073299360538728,9819.532687199257,0.0970500828252438
Phyla nodiflora,11,8,2,8,11,28,-0.0038314176245210735,10526.019127414282,0.08198103445318562
Pontederia crassipes,17,13,2,13,17,78,-0.10223492867098992,10552.026927947529,0.16328736946050207
Pulsatilla nuttalliana,14,8,3,8,14,28,0.20502349442758833,3292.3384504990936,0.35868029449650896
Rubus chamaemorus,19,11,3,11,19,55,0.1515128370673084,4364.7484884693595,0.06898941466825646
Ruellia simplex,13,8,3,8,13,28,0.09786197447146686,9440.403836553809,0.24173117647324388
Saxifraga oppositifolia,17,7,2,7,17,21,0.13917288689258236,4096.897624544305,0.07488311344211264
Scaevola taccada,36,19,2,19,36,171,-0.10062830466917039,9216.737176101873,0.05862846040626588
Silene acaulis,18,8,3,8,18,28,0.1192645471529159,3630.630502618117,0.17784325111110408
Silybum marianum,10,7,4,7,10,21,0.011688311688311689,7472.662430172322,0.24097784891659005
Spathodea campanulata,11,8,4,8,11,28,0.021087229370593014,9486.616611922733,0.18307368755249537
Spathoglottis plicata,15,10,3,10,15,45,-0.020558100240301157,8593.777666058388,0.35681066615353996
Synedrella nodiflora,21,13,2,13,21,78,-0.0827206586819144,8353.847735387864,0.09194607740540138
Taraxacum officinale,24,16,2,16,24,120,-0.12533537795562313,8309.762542389566,0.13280011670091488
Tridax procumbens,56,29,2,29,56,406,-0.060688294205183124,9974.994432175648,0.044323606226906884
Trifolium pratense,21,16,3,16,21,120,-0.0069440348281556265,6241.214917288137,0.28227621044508383
Trifolium repens,23,15,2,15,23,105,0.10960111415212714,9208.086594402486,0.05194740365393132
Tripleurospermum inodorum,10,5,2,5,10,10,-0.28484848484848485,4352.423959420795,0.06648539851634724
Turnera subulata,23,11,2,11,23,55,0.17048167699886238,9114.754737508296,0.1353811114225531
Veronica chamaedrys,11,5,2,5,11,10,0.37310438707059995,2114.903889606926,0.11680267625961493
Veronica persica,11,7,3,7,11,21,-0.1085826665799,8789.13335234555,0.14900156697303155
Viola tricolor,11,6,2,6,11,15,0.06970512166771509,4177.084591105397,0.23391657736199303
