inat_taxon_id,species,raw_photos,classifiable_photos,evaluable
321207,Platysace lanceolata,100,72,True
322012,Iris japonica,100,66,True
323231,Aotus ericoides,100,53,True
323866,Sphaerolobium minus,100,55,True
323883,Hibbertia aspera,100,65,True
324502,Euploca procumbens,100,60,True
326673,Peumus boldus,100,39,False
333757,Disphyma australe,100,60,True
334567,Grewia occidentalis,100,42,True
334755,Vicia onobrychioides,100,53,True
336295,Cicerbita alpina,100,43,True
336871,Hymenoxys grandiflora,100,71,True
338417,Simethis mattiazzi,100,72,True
348832,Lamium orvala,100,34,False
349797,Muehlenbeckia axillaris,100,22,False
353887,Schelhammera undulata,100,47,True
357176,Buphthalmum salicifolium,100,69,True
358187,Globularia repens,100,86,True
361308,Pulmonaria mollis,100,60,True
361354,Crocosmia aurea,100,38,False
366661,Coprosma robusta,100,24,False
366692,Olearia arborescens,100,62,True
366715,Pimelea prostrata,100,59,True
366729,Metrosideros diffusa,100,30,False
369244,Amylotheca dictyophleba,100,13,False
401085,Corybas macranthus,100,18,False
405101,Polygala virgata,100,40,True
406971,Viola filicaulis,100,46,True
409807,Thelymitra hatchii,100,31,False
410902,Aechmea distichantha,100,48,True
415330,Philotheca spicata,100,49,True
431220,Lapageria rosea,100,42,True
431518,Puya alpestris,100,11,False
470643,Erythranthe guttata,100,60,True
481347,Scaevola crassifolia,100,48,True
486004,Sedum caeruleum,100,39,False
489547,Hibiscus pedunculatus,100,50,True
493489,Searsia laevigata,100,38,False
495697,Ranunculus polyanthemos,100,75,True
498086,Primula pauciflora,100,46,True
511287,Wahlenbergia capensis,100,49,True
524340,Cadaba aphylla,100,41,True
524900,Argentina pacifica,100,68,True
526700,Convolvulus angustissimus,100,65,True
537403,Pultenaea spinosa,100,51,True
543632,Campanula giesekiana,100,73,True
544086,Thalictrum tuberosum,100,53,True
545347,Hemiandra pungens,100,59,True
545370,Kennedia coccinea,100,59,True
545973,Erythranthe nasuta,100,66,True
550645,Scaevola nitida,100,46,True
554805,Tropaeolum tricolor,100,43,True
554852,Dendrophthoe glabrescens,100,19,False
564970,Chamaenerion latifolium,100,48,True
566532,Senecio odoratus,100,72,True
568074,Amyema quandang,100,23,False
568970,Hemiboea bicornuta,100,38,False
574122,Pelargonium betulinum,100,37,False
575102,Alkekengi officinarum,100,38,False
579088,Adenium multiflorum,100,40,True
589008,Lessertia frutescens,100,31,False
589723,Melaleuca quadrifida,100,37,False
591296,Oxalis truncatula,100,39,False
716947,Lysimachia europaea,100,62,True
738046,Veronica regina-nivalis,100,46,True
738777,Veronica elliptica,100,42,True
738781,Veronica lyallii,100,61,True
764909,Hellenia speciosa,100,39,False
765394,Sambucus nigra,100,63,True
769248,Andersonglossum virginianum,100,58,True
771851,Erythranthe bicolor,100,68,True
805291,Pittocaulon praecox,100,62,True
860746,Geobalanus oblongifolius,100,40,True
902550,Marcus-kochia littorea,100,56,True
905463,Thymbra capitata,100,42,True
923031,Spiranthes australis,100,54,True
962649,Pontederia azurea,100,52,True
977347,Pigea calycina,100,55,True
1005385,Cerastium holosteoides,100,55,True
1096279,Cornus unalaschkensis,100,58,True
1415101,Cleomella lutea,100,71,True
1449995,Palustricodon aparinoides,100,62,True
1464017,Oxalis smalliana,100,49,True
1550566,Cochemiea grahamii,100,55,True
1686226,Sabdariffa aculeata,100,36,False
