edge_id,cell_i,cell_j,opportunities,transition_count,persistence
105:106,105,106,200,1,0.005
105:123,105,123,200,34,0.17
106:107,106,107,200,200,1.0
106:124,106,124,200,200,1.0
107:125,107,125,0,0,
108:109,108,109,200,106,0.53
108:125,108,125,0,0,
108:126,108,126,0,0,
109:110,109,110,0,0,
109:127,109,127,0,0,
110:111,110,111,0,0,
110:128,110,128,0,0,
111:112,111,112,200,0,0.0
111:129,111,129,200,9,0.045
112:113,112,113,200,0,0.0
112:130,112,130,200,0,0.0
113:114,113,114,0,0,
113:131,113,131,200,5,0.025
114:115,114,115,0,0,
114:132,114,132,0,0,
115:116,115,116,0,0,
115:133,115,133,0,0,
116:117,116,117,200,31,0.155
116:134,116,134,200,0,0.0
117:118,117,118,200,64,0.32
117:135,117,135,200,93,0.465
118:119,118,119,200,12,0.06
118:136,118,136,200,3,0.015
119:120,119,120,200,72,0.36
119:137,119,137,200,0,0.0
120:121,120,121,200,0,0.0
120:138,120,138,200,0,0.0
121:122,121,122,200,3,0.015
121:139,121,139,200,11,0.055
122:123,122,123,200,16,0.08
122:140,122,140,200,10,0.05
123:124,123,124,200,200,1.0
123:141,123,141,200,5,0.025
124:125,124,125,0,0,
124:142,124,142,200,200,1.0
125:143,125,143,0,0,
126:127,126,127,0,0,
126:143,126,143,0,0,
126:144,126,144,0,0,
127:128,127,128,0,0,
127:145,127,145,0,0,
128:129,128,129,200,11,0.055
128:146,128,146,200,0,0.0
129:130,129,130,200,0,0.0
129:147,129,147,200,0,0.0
130:131,130,131,200,0,0.0
130:148,130,148,200,0,0.0
131:132,131,132,200,4,0.02
131:149,131,149,200,0,0.0
132:133,132,133,200,1,0.005
132:150,132,150,200,1,0.005
133:134,133,134,200,1,0.005
133:151,133,151,200,0,0.0
134:135,134,135,200,7,0.035
134:152,134,152,200,3,0.015
135:136,135,136,200,0,0.0
135:153,135,153,200,2,0.01
136:137,136,137,200,31,0.155
136:154,136,154,200,2,0.01
137:138,137,138,200,0,0.0
137:155,137,155,200,17,0.085
138:139,138,139,200,0,0.0
138:156,138,156,200,1,0.005
139:140,139,140,200,0,0.0
139:157,139,157,200,0,0.0
140:141,140,141,200,6,0.03
140:158,140,158,200,0,0.0
141:142,141,142,200,0,0.0
141:159,141,159,200,1,0.005
142:143,142,143,0,0,
142:160,142,160,200,0,0.0
143:161,143,161,0,0,
144:145,144,145,200,0,0.0
144:161,144,161,200,0,0.0
145:146,145,146,200,0,0.0
146:147,146,147,200,2,0.01
147:148,147,148,200,0,0.0
148:149,148,149,200,4,0.02
149:150,149,150,200,0,0.0
150:151,150,151,200,2,0.01
151:152,151,152,200,0,0.0
152:153,152,153,200,0,0.0
153:154,153,154,200,0,0.0
154:155,154,155,200,0,0.0
155:156,155,156,200,0,0.0
156:157,156,157,200,0,0.0
157:158,157,158,200,2,0.01
158:159,158,159,200,0,0.0
159:160,159,160,200,0,0.0
160:161,160,161,200,0,0.0
