species,inat_taxon_id,raw_photos,classifiable_photos,measurement_evaluable
Rosa setigera,128841,100,64,True
Rubus parvifolius,51645,100,26,False
Rubus phoenicolasius,84227,100,34,False
Rubus ulmifolius,78895,100,58,True
Rubus ursinus,53445,100,34,False
Sabatia stellaris,126339,100,68,True
Sabulina michauxii,836882,100,77,True
Salix discolor,54844,100,34,False
Salvia chamelaeagnea,593699,100,28,False
Salvia columbariae,53200,100,45,True
Salvia farinacea,148006,100,65,True
Salvia pratensis,85338,100,48,True
Salvia spathacea,64133,100,43,True
Sambucus cerulea,143799,100,57,True
Sambucus racemosa,57824,100,65,True
Sanguisorba minor,55736,100,47,True
Sanicula odorata,127367,100,63,True
Saponaria officinalis,56154,100,68,True
Schinus terebinthifolia,130872,100,37,False
Scilla monophyllos,211472,100,62,True
Scolymus hispanicus,79009,100,78,True
Scutellaria elliptica,134213,100,46,True
Searsia lancea,79020,100,25,False
Sedum hispanicum,168738,100,31,False
Senecio linearifolius,79048,100,74,True
Senega nana,1568926,100,74,True
Senega rugelii,1568931,100,77,True
Sidalcea malviflora,48795,100,45,True
Silene baccifera,451454,100,28,False
Silene coronaria,485191,100,63,True
Silene flos-cuculi,740984,100,48,True
Silene otites,208996,100,36,False
Simmondsia chinensis,79122,100,40,True
Sinapis alba,79123,100,71,True
Sisymbrium altissimum,56996,100,54,True
Sisyrinchium bellum,49918,100,70,True
Sisyrinchium scabrum,284009,100,61,True
Sisyrinchium striatum,243780,100,74,True
Sium suave,79131,100,74,True
Solanum nigrum,79141,100,37,False
Solanum rostratum,62642,100,68,True
Solanum seaforthianum,169083,100,45,True
Solanum villosum,83970,100,41,True
Solidago sempervirens,126888,100,73,True
Sonchus arvensis,79156,100,60,True
Spiraea tomentosa,48682,100,46,True
Spiranthes incurva,773387,100,51,True
Spiranthes romanzoffiana,50743,100,33,False
Stachys rigida,53306,100,49,True
Stylidium androsaceum,145669,100,62,True
Succisa pratensis,131203,100,53,True
Symphyotrichum divaricatum,169457,100,79,True
Symphyotrichum novae-angliae,117443,100,41,True
Symplocarpus foetidus,48961,100,12,False
Synedrella nodiflora,169500,100,44,True
Tagetes tenuifolia,289732,100,82,True
Taraxacum officinale,47602,100,81,True
Teucrium fruticans,181666,100,33,False
Thespesia populnea,82768,100,30,False
Tillandsia stricta,525575,100,38,False
Tithonia diversifolia,132451,100,55,True
Torilis arvensis,56846,100,86,True
Toxicoscordion fremontii,49649,100,50,True
Toxicoscordion venenosum,59087,100,64,True
Tribulus terrestris,64238,100,71,True
Trichodesma zeylanicum,85369,100,32,False
Trifolium arvense,79408,100,49,True
Trifolium gracilentum,58165,100,29,False
Trifolium hirtum,57078,100,51,True
Trifolium longipes,79422,100,41,True
Trimezia martinicensis,52397,100,68,True
Tulipa agenensis,344758,100,55,True
Umbellularia californica,48807,100,51,True
Umbilicus rupestris,129454,100,38,False
Utricularia purpurea,170089,100,57,True
Vaccinium myrsinites,170106,100,29,False
Vachellia farnesiana,79472,100,61,True
Valeriana montana,130717,100,68,True
Veratrum album,85424,100,39,False
Verbascum lychnitis,133231,100,64,True
Verbascum phoeniceum,170141,100,49,True
Verbena lasiostachys,53316,100,59,True
Verbesina microptera,170166,100,74,True
Veronica persica,55666,100,43,True
Viburnum lantana,124741,100,55,True
Vicia benghalensis,53333,100,49,True
Vicia cracca,52471,100,48,True
Vicia villosa,57317,100,43,True
Viguiera dentata,170221,100,75,True
Vinca difformis,82623,100,60,True
Viola biflora,130720,100,58,True
Viola labradorica,133393,100,53,True
Viola ocellata,61782,100,54,True
Waireia stenopetala,406996,100,12,False
Waltheria indica,130789,100,50,True
Watsonia meriana,79523,100,23,False
Wigandia urens,126332,100,39,False
Wyethia glabra,56988,100,52,True
Xerochrysum viscosum,210124,100,75,True
Zantedeschia aethiopica,56006,100,44,True
Zephyranthes carinata,277345,100,44,True
Zephyranthes chlorosolen,554401,100,63,True
Zizia aurea,83154,100,83,True
