stage,species,training_inclusions,evaluation_inclusions
evaluation,Agapanthus praecox,0,137
evaluation,Ageratina havanensis,140,0
evaluation,Agrostemma githago,137,0
evaluation,Ajuga genevensis,127,0
evaluation,Alchemilla alpina,134,0
evaluation,Allium drummondii,0,144
evaluation,Allium praecox,0,129
evaluation,Allium schoenoprasum,0,140
evaluation,Allium tuberosum,0,132
evaluation,Althaea officinalis,0,133
evaluation,Alyxia buxifolia,0,141
evaluation,Amsinckia tessellata,0,123
evaluation,Anchusa arvensis,140,0
evaluation,Andromeda polifolia,142,0
evaluation,Androsace villosa,125,0
evaluation,Andryala integrifolia,139,0
evaluation,Anemone pavonina,0,145
evaluation,Anemonoides blanda,140,0
evaluation,Anemonoides quinquefolia,141,0
evaluation,Antennaria dioica,144,0
evaluation,Aquilegia coerulea,135,0
evaluation,Asclepias incarnata,131,0
evaluation,Asclepias ovalifolia,128,0
evaluation,Asclepias perennis,125,0
evaluation,Asclepias quadrifolia,0,133
evaluation,Asclepias viridis,136,0
evaluation,Astragalus glycyphyllos,128,0
evaluation,Austroflourensia thurifera,139,0
evaluation,Baptisia australis,124,0
evaluation,Baptisia tinctoria,128,0
evaluation,Barbarea orthoceras,0,127
evaluation,Bellis annua,0,146
evaluation,Bidens aristosa,0,136
evaluation,Bidens bipinnata,0,134
evaluation,Bidens cernua,134,0
evaluation,Biscutella laevigata,129,0
evaluation,Brodiaea coronaria,0,132
evaluation,Bryonia alba,128,0
evaluation,Buddleja davidii,132,0
evaluation,Bursaria spinosa,0,131
evaluation,Calochortus concolor,135,0
evaluation,Calochortus flexuosus,127,0
evaluation,Calochortus leichtlinii,0,132
evaluation,Calochortus monophyllus,0,142
evaluation,Calycadenia multiglandulosa,0,129
evaluation,Calystegia tuguriorum,136,0
evaluation,Campanula latifolia,0,135
evaluation,Campanula patula,0,132
evaluation,Cardamine amara,0,129
evaluation,Cardamine concatenata,130,0
evaluation,Cardamine hirsuta,146,0
evaluation,Carlina hispanica,131,0
evaluation,Carlina vulgaris,0,131
evaluation,Carthamus mitissimus,0,131
evaluation,Castilleja exserta,130,0
evaluation,Castilleja foliolosa,0,136
evaluation,Centranthus calcitrapae,147,0
evaluation,Centrosema virginianum,134,0
evaluation,Cerastium fontanum,141,0
evaluation,Chaenorhinum origanifolium,127,0
evaluation,Chelone lyonii,0,130
evaluation,Chondrilla juncea,0,123
evaluation,Cipura campanulata,0,120
evaluation,Cistus albidus,131,0
evaluation,Cistus crispus,0,143
evaluation,Clematis virginiana,140,0
evaluation,Clinopodium alpinum,0,139
evaluation,Cneoridium dumosum,0,147
evaluation,Cochlospermum vitifolium,0,135
evaluation,Coleogyne ramosissima,128,0
evaluation,Coleostephus myconis,0,140
evaluation,Collinsia grandiflora,0,146
evaluation,Commelina benghalensis,127,0
evaluation,Commelina communis,0,138
evaluation,Commelina diffusa,0,138
evaluation,Conoclinium betonicifolium,0,123
evaluation,Conopholis alpina,133,0
evaluation,Conospermum caeruleum,0,135
evaluation,Convolvulus elegantissimus,134,0
evaluation,Cornus florida,135,0
evaluation,Cornus sanguinea,0,128
evaluation,Cornus suecica,0,137
evaluation,Corydalis aurea,0,124
evaluation,Cotula coronopifolia,0,136
evaluation,Crepis biennis,0,123
evaluation,Crepis sancta,136,0
evaluation,Cryptantha barbigera,0,139
evaluation,Cylindropuntia echinocarpa,0,137
evaluation,Cypripedium guttatum,146,0
evaluation,Dalea candida,0,130
evaluation,Dampiera stricta,132,0
evaluation,Delphinium glaucum,142,0
evaluation,Delphinium sutherlandii,0,132
evaluation,Desmanthus illinoensis,130,0
evaluation,Diplacus mephiticus,0,133
evaluation,Diplotaxis tenuifolia,0,154
evaluation,Disphyma crassifolium,0,134
evaluation,Distimake aegyptius,0,133
evaluation,Distimake dissectus,137,0
evaluation,Drosera spatulata,0,149
evaluation,Dyssodia pinnata,132,0
evaluation,Echium gaditanum,127,0
evaluation,Echium rosulatum,0,140
evaluation,Ehretia anacua,0,132
evaluation,Elephantopus carolinianus,130,0
evaluation,Epacris obtusifolia,0,125
evaluation,Erechtites hieraciifolius,0,134
evaluation,Erigeron foliosus,0,136
evaluation,Erigeron linearis,152,0
evaluation,Eriodictyon crassifolium,0,122
evaluation,Eriogonum jamesii,0,140
evaluation,Eriogonum latifolium,139,0
evaluation,Eriogonum niveum,0,144
evaluation,Eriophorum vaginatum,122,0
evaluation,Eriophyllum confertiflorum,0,133
evaluation,Eryngium planum,141,0
evaluation,Erythranthe dentata,130,0
evaluation,Erythranthe erubescens,0,131
evaluation,Erythrina humeana,0,154
evaluation,Eschscholzia minutiflora,129,0
evaluation,Euonymus obovatus,141,0
evaluation,Eupatorium altissimum,0,134
evaluation,Euphorbia cyparissias,0,136
evaluation,Eurybia divaricata,121,0
evaluation,Eutrochium fistulosum,0,134
evaluation,Eutrochium maculatum,0,132
evaluation,Eysenhardtia texana,0,130
evaluation,Falcaria vulgaris,0,135
evaluation,Fritillaria pyrenaica,0,128
evaluation,Galinsoga parviflora,0,146
evaluation,Gazania rigens,128,0
evaluation,Gentiana acaulis,144,0
evaluation,Gentiana parryi,0,127
evaluation,Geranium macrorrhizum,0,133
evaluation,Geranium molle,0,131
evaluation,Geranium richardsonii,141,0
