species,photos,pairs,geographic_distance_min_km,geographic_distance_max_km,colour_jsd_min,colour_jsd_max
Cylindropuntia echinocarpa,47,1081,4.224966821748873,606.3004132868368,4.4845258884378245e-09,0.859309252658268
Cypripedium guttatum,46,1035,1.0875836788391946,7374.7605929241745,0.0010818029798577,0.8891883308362853
Dalea candida,74,2701,51.38557855414632,2963.792574949264,0.0,0.410608745777023
Dampiera stricta,79,3081,10.576852782849397,1767.40981658553,3.158654871050488e-05,0.989953634708042
Delphinium glaucum,44,946,0.6152806396855277,3968.0788855625233,0.000707223065291,0.9728311067221764
Delphinium sutherlandii,53,1378,1.1208235427014712,448.0230342228691,0.0001061563258405,0.5409893720755714
Desmanthus illinoensis,66,2145,29.35491113188514,1874.0191890520944,0.0,1.0
Diplacus mephiticus,68,2278,1.3697343449243091,573.7879052507003,1.4291820895685238e-08,1.0
Diplotaxis tenuifolia,78,3003,144.97736480462422,19554.093255784268,0.0,0.5764858975218948
Disphyma crassifolium,47,1081,0.0162835709912169,19360.608462751094,0.0018364997299804,0.9601278483252214
Distimake aegyptius,50,1225,0.2260470181324976,18493.52920130983,0.0,1.0
Distimake dissectus,57,1596,79.85630223592713,19209.655403958903,2.275300707996604e-06,1.0
Drosera spatulata,43,903,8.218113840548737,9376.714794242154,0.0003777446160974,1.0
Dyssodia pinnata,78,3003,2.1884573249855523,937.6078640650912,0.0,0.2079366214253663
Echium gaditanum,62,1891,0.2488428735448912,348.0148633830164,1.3378841859689415e-05,0.8138156458217112
Echium rosulatum,53,1378,13.859094336793046,729.3788599070151,0.0002249258476375,0.9856737660706024
Ehretia anacua,50,1225,3.004658808162964,1029.3311115550732,0.0,0.2494325049762486
Elephantopus carolinianus,62,1891,56.86004764801763,2296.046600807034,0.0,0.787898585558142
Epacris obtusifolia,41,820,2.455420720912964,2026.0123092186816,1.1176015133773252e-06,0.978630284173355
Erechtites hieraciifolius,47,1081,136.48047021641534,19675.01595179365,5.530320845806855e-08,0.9676988005302044
Erigeron foliosus,50,1225,5.408025086403036,1372.0957509246966,0.0003949591151906,0.9630183590152238
Erigeron linearis,86,3655,9.284503401138306,1187.3129853530693,0.0,0.6078357207316258
Eriodictyon crassifolium,54,1431,2.4319321101939684,311.85620123049466,0.0001922163899257,0.7944141618357752
Eriogonum jamesii,66,2145,0.0131512127972523,750.6291514420218,1.6160513869131366e-07,0.6669783826673417
Eriogonum latifolium,70,2415,2.084725169652337,717.0794345894924,4.101592298175682e-07,0.8582016660073716
Eriogonum niveum,44,946,2.5929040250660016,663.3846842158197,1.6082010880615148e-06,0.5492829765000911
Eriophorum vaginatum,45,990,184.84617692698765,8982.93301984169,1.687337849866243e-07,1.0
Eriophyllum confertiflorum,82,3321,12.137932060413757,799.7214960767348,0.0,0.1885779134925471
Eryngium planum,51,1275,23.444045736724075,19081.49764660657,0.0001969127569381,1.0
Erythranthe dentata,67,2211,4.658299733133437,927.8525026617448,0.0,1.0
Erythranthe erubescens,45,990,4.4108693911802055,415.5854121603384,0.0005212950267449,0.9590475075399892
Erythrina humeana,52,1326,0.5305315158244452,1132.9794151818708,6.180573070079074e-07,0.6044558684155882
Eschscholzia minutiflora,72,2556,7.835042852863593,911.9731368821456,0.0,0.1960097146940712
Euonymus obovatus,41,820,4.300159809076896,1258.6288729292817,0.0,1.0
Eupatorium altissimum,55,1485,18.23028519344702,2231.910276954592,0.0,1.0
Euphorbia cyparissias,85,3570,90.40284445621688,10759.801279065938,0.0,0.3103914219925905
Eurybia divaricata,44,946,33.81886182998667,1702.911691234032,1.2308551630431483e-06,0.5839553998990097
Eutrochium fistulosum,47,1081,36.2708737860924,2220.936647340424,0.0,0.9969015238398868
Eutrochium maculatum,47,1081,85.88383277363319,4262.6702153398855,0.000570789154702,1.0
Eysenhardtia texana,46,1035,12.459852950716098,923.3061580725944,6.560983613172755e-08,0.4548089467181527
Falcaria vulgaris,69,2346,2.043967983332516,3943.591436531552,1.622466846794003e-08,0.5085240432406275
Fritillaria pyrenaica,47,1081,2.109091991414534,996.1474801482512,0.0,1.0
Galinsoga parviflora,64,2016,151.57849562546926,19677.82766365714,2.3228896548982222e-08,0.7769802905538061
Gazania rigens,71,2485,0.0394783020564797,19751.20942399557,0.0,0.9841474221347136
Gentiana acaulis,71,2485,23.558792839475817,2007.254396603291,1.5371494207346486e-05,0.9977122464630468
Gentiana parryi,45,990,3.3097388755377164,602.5160891049791,0.000171901013471,1.0
Geranium macrorrhizum,45,990,102.98563809193688,10014.448065610375,0.0003221065765969,0.9976473173281412
Geranium molle,52,1326,164.30909812224692,19615.829761549325,0.0018622738656313,0.965339297695011
Geranium richardsonii,56,1540,33.7593172871515,2805.8641366747097,5.906705388558037e-08,0.7710563306273417
Geranium yeoi,63,1953,1.4458914033861787,18859.03128630541,0.0001323490880243,1.0
Geum canadense,51,1275,95.99027943284742,2764.125108974189,0.0,0.8428221515168627
Geum macrophyllum,67,2211,34.898186473523154,9468.07703351879,0.0,0.4619105720925228
Geum urbanum,65,2080,174.8628668558123,19888.009897361386,0.0,0.7282464195262842
Gompholobium huegelii,66,2145,0.0760638985883653,1626.3120556056615,0.0,0.7910431562789174
Goodenia ovata,74,2701,18.272352496471957,1460.2654520741648,0.0,0.3948887515786585
Grevillea alpina,42,861,6.483135948395612,639.1642571543026,2.9978542873457945e-05,0.9347228906783048
Grevillea lavandulacea,46,1035,0.0984536242523886,420.3422826463644,1.03045770574598e-05,0.9990032384425556
Guzmania monostachia,45,990,0.1110720177755403,2934.180280893565,4.703844467081419e-05,0.999371744856988
Hedypnois rhagadioloides,61,1830,27.63800495106098,18876.72610392822,0.0,0.7433501884270715
Helenium autumnale,81,3240,108.08604905722558,8483.357009528809,0.0,0.2048240227755708
Helianthus divaricatus,57,1596,57.96991880244326,2251.7160146621377,0.0,1.0
Hepatica acutiloba,59,1711,63.02158924608444,1832.418988735615,1.1531776545254296e-07,0.7018569366772647
Hibbertia cuneiformis,62,1891,1.303548768769965,2451.848743761788,0.0,0.7997094876813746
Hibiscus denudatus,52,1326,15.952638411606934,1709.10423288103,0.0,1.0
Hofmeisteria fasciculata,56,1540,0.0111645033341836,880.3016817633815,0.0,0.9292138801704184
Homogyne alpina,50,1225,15.81678727284049,2046.3734961562895,0.0002472895898876,1.0
Hyacinthoides non-scripta,61,1830,33.667094262777006,1616.3449923337014,6.40769601879716e-05,0.7186354090466172
Hypocalymma robustum,47,1081,0.6932016602250453,315.1223597069479,0.000854348541945,1.0
Iliamna rivularis,52,1326,20.21395415847187,1639.674571332254,0.000158366240185,0.931380947644446
Ipomoea cairica,48,1128,4.506359726353316,19256.84101203934,0.0003989493279128,1.0
Ipomoea pes-caprae,48,1128,302.2308894792079,19670.35144652948,0.0001550671702398,1.0
Jacobaea adonidifolia,75,2775,0.6668173174895322,915.7943513279936,0.0,0.5683275845114775
Jaumea carnosa,75,2775,6.949603181602845,2535.5775822278865,0.0,0.3963506679512351
Johnstonella angustifolia,60,1770,2.8179510187473125,967.9728205706732,2.6014201628262547e-09,0.2010515634363709
Lachenalia reflexa,54,1431,0.1379343832091525,8723.045608989485,0.0,1.0
Lamprocapnos spectabilis,60,1770,57.54391408523588,11435.22150630112,0.000102376357134,1.0
Lantana involucrata,56,1540,0.8511918679206042,2894.151833916408,2.41179078796632e-07,0.72306466511409
Lathyrus japonicus,47,1081,139.61583037723963,11163.876612340351,0.0008691144572163,0.8410477802005731
Lathyrus palustris,41,820,73.19005381538412,9822.06183201944,0.0007660633693418,0.9699432805281216
Lathyrus pratensis,71,2485,182.25035733602823,19874.63148728224,0.0,0.6610955753404784
Lepidium campestre,68,2278,109.36883403921463,10886.030447097732,2.8204499321645e-08,0.677182677570433
Lepidium fremontii,72,2556,2.9192865522994014,859.9661416127869,3.281179008492408e-12,0.7819996379742528
Leucaena leucocephala,49,1176,345.7964862217335,19606.507401143583,0.0,0.7985424124027027
Leucopogon affinis,65,2080,1.7166673233548153,1106.3294166958312,7.467985914717557e-08,0.7866535494704195
Leucopogon microphyllus,68,2278,0.0279598941643677,982.6718074012824,6.024976532781779e-06,1.0
Ligustrum obtusifolium,61,1830,65.60741898613406,4717.067399830037,8.903325186411752e-10,0.4130273906801017
Linum catharticum,57,1596,94.24805693451458,19827.541912462497,2.159715555919832e-09,1.0
Linum lewisii,69,2346,89.56391171980894,4913.965751170738,1.7172875082152985e-06,0.950478803580387
Lithospermum canescens,79,3081,66.84778632616269,2900.3755901109885,0.0,0.0930976792599959
Lobelia erinus,64,2016,57.34535767124876,19690.191179163656,7.196145699038144e-06,1.0
Loeselia glandulosa,52,1326,15.062784814573458,3396.72396082127,0.0009431182140901,1.0
Ludwigia peruviana,43,903,12.484429193805896,19866.695815170504,0.0,0.2898345949437533
Lupinus arizonicus,46,1035,2.958207773329516,1018.1482219076282,0.0002180368259678,0.9750080493493803
Lupinus havardii,60,1770,1.8203584748067132,205.08713635755308,0.0001477341868641,1.0
Lupinus microcarpus,47,1081,6.879552008573057,9835.47217321798,2.437427646670941e-06,0.9924428155481042
Lysimachia loeflingii,64,2016,177.2347623667321,19946.487803918066,0.0001082399657918,0.9393523695720434
Lysimachia quadrifolia,66,2145,54.96453215172966,2009.419263422294,0.0,0.6762146295433498
Malacothrix saxatilis,63,1953,2.4380680398385666,428.9251888247249,1.4134593904386349e-05,0.8186634281370296
Malva moschata,53,1378,131.7785401084538,9776.87858687296,2.4471849374222875e-05,1.0
Malva thuringiaca,58,1653,121.60776072864554,9617.131603572716,0.0001372766699346,0.8732645340569123
Mazus miquelii,61,1830,4.303505455670106,12232.4326598351,0.0002377551874604,0.9574563100161656
Mecardonia procumbens,50,1225,60.48002967877678,19613.832807785715,0.0,0.9055468067152654
Medicago lupulina,69,2346,332.59562578835823,19950.81500094209,0.0,0.7337747192479209
Medicago marina,75,2775,8.006099303048781,3979.6036691526447,0.0,0.667570075171082
Melaleuca citrina,40,780,3.158207685967338,14764.573932077154,1.2632702922654813e-05,1.0
Melastoma candidum,52,1326,0.1335305536471533,7272.830832690113,0.0007765167662404,1.0
Melastoma malabathricum,41,820,7.997623603665091,12978.698891634118,0.0,1.0
Melothria pendula,52,1326,101.8902591743138,19296.384753169285,0.0,0.9509902396607371
Micranthes petiolaris,49,1176,0.3849031321408165,665.1067435285103,3.80824259162176e-06,0.2167063543639878
Mitchella repens,49,1176,98.5466050201727,3188.1834683840084,0.0,0.9756252712327986
Moraea flaccida,51,1275,1.6102378390462442,10792.652881989268,0.0,0.816503780996106
Muscari armeniacum,80,3160,94.93227264576294,19384.92341330485,3.006906548234868e-08,0.9808059293422884
Muscari botryoides,65,2080,131.39803854022162,11397.119882324245,1.267661753247989e-05,0.6708481062071825
Myosotis latifolia,76,2850,3.90595874602652,18157.0282617389,7.205705804848516e-06,0.844842577306041
Myosotis laxa,65,2080,15.044938430293652,19867.784937653887,8.88604104754973e-06,0.5595211800780702
Myosotis sparsiflora,74,2701,6.080205224783838,4632.21176344597,0.0,0.5327415561909534
Myrica gale,40,780,27.28627662391615,8247.906991384443,2.2860241453495638e-06,0.951352984895131
Myrtus communis,67,2211,41.49286416998958,5148.586166946524,2.387323446232704e-06,0.7896122270703583
Nama hispida,61,1830,13.37351195201425,1909.0028205524889,0.0001611381531807,0.9785008855270866
Navarretia heterodoxa,65,2080,0.0036731546849313,114.86907331819748,0.0001502363556346,0.8395562064132113
Nelumbo nucifera,43,903,172.65092194317077,18657.09442456873,0.0,1.0
Nicandra physalodes,45,990,221.18715318518363,19891.56121447996,0.0,1.0
Nicotiana longiflora,51,1275,0.5802919776815482,14707.977749832438,0.0,1.0
Ochna serrulata,59,1711,1.7100850785292778,18644.70115323203,0.0,0.9931369725147056
Odontites luteus,66,2145,21.422990836270674,3342.817533236328,0.0,0.6259599695928044
Olearia lirata,68,2278,0.6268174669063927,957.1795509858964,6.983141601091676e-09,0.6273590505648114
Olsynium biflorum,47,1081,0.8060197572944141,933.1846234684466,0.0,1.0
Omphalodes verna,62,1891,9.57583390246622,2499.3138406785147,5.584352553994454e-06,0.610219019430666
Oreomecon alpina,73,2628,2.468215725634156,1577.3651386464312,0.0,0.8889670561214236
Ornithopus compressus,52,1326,3.3800370462023204,19925.50672623418,0.0,1.0
Oxalis violacea,50,1225,95.72710230585352,2384.0454481397555,0.0010291229802533,0.8629161196309156
Oxytropis campestris,45,990,37.68663370124348,9087.373832321246,1.4205735484198274e-06,0.9884049304602852
Papaver dubium,44,946,184.98359697850515,19570.52440081178,0.0005254211699458,0.9610611164478646
Parthenium confertum,82,3321,5.174450714924155,1272.002404634444,0.0,0.5027516502413181
Passiflora mixta,41,820,2.480990007485379,8010.18199383726,6.227095047001781e-05,0.9933658875703836
Pectis multiseta,82,3321,0.2693419180980511,194.44311452982163,0.0,0.2070186843234607
Pectis papposa,79,3081,32.05659024272493,1920.6962820769488,0.0,0.0615487695111503
Penstemon speciosus,60,1770,3.823763837817829,1520.3278416983603,0.0001331004510864,0.9912794225070762
Pentanema squarrosum,42,861,32.3332805306938,2778.097120865042,8.254764011417461e-08,0.687727448924463
Persicaria nepalensis,61,1830,14.83583600865074,17316.818496464326,4.253941289208106e-06,1.0
Persicaria pensylvanica,72,2556,117.37324439205432,8990.823480868954,1.825475134986155e-05,0.9940224903692346
Phlomoides tuberosa,63,1953,56.016529849270974,9448.473769478072,0.0002017183536713,0.9960891682341376
Phlox diffusa,78,3003,12.726236117502998,1800.8869350636105,6.554011443077546e-05,0.9168844497279932
Phlox longifolia,71,2485,29.3676668719965,1968.2040766614573,1.8766167237076596e-06,0.9665266687891512
Phlox roemeriana,63,1953,0.3226380523261727,337.29319207632415,0.0005022407004806,0.8837630402700527
Pimelea serpyllifolia,53,1378,0.3118360356593269,1081.5256479457476,0.0,1.0
Pinguicula vulgaris,56,1540,185.13460075787012,9406.979750842154,9.829653933676036e-05,0.9928882026530316
Piqueria trinervia,69,2346,0.1492669060363204,1244.9087444117615,1.2979545885470818e-08,0.3589199152483888
Pittosporum revolutum,41,820,12.132198758768473,2107.3286382270885,0.0,0.7209117865882504
Plantago media,52,1326,144.94258622241085,8573.607306673965,0.0,1.0
Polycalymma stuartii,76,2850,2.040278136972153,1651.994678730964,1.1146729246523377e-07,0.9438587481973426
Polygala comosa,43,903,18.08969629085836,5895.967089640849,0.0010150407394258,0.8455974780422546
Portulaca suffrutescens,58,1653,0.8021600420076992,1284.4537944618594,1.4440486788629484e-05,0.9895341137254232
Potentilla concinna,82,3321,1.6454920370531585,1769.063132877772,0.0,0.5831565095090383
Potentilla indica,45,990,153.16070461082276,19862.69478055564,0.0,1.0
Potentilla simplex,75,2775,101.33936842101473,3202.350707365856,0.0,1.0
Primula elatior,58,1653,77.04492593488537,7183.624504383144,2.2242089638978865e-08,0.8639081612555423
Prunus mahaleb,52,1326,55.64514690083333,10050.0336646848,3.3261357165721646e-09,0.8717914127703559
Pseudo-fumaria lutea,68,2278,77.19509283201997,8934.436674305596,0.0,1.0
Pseudognaphalium affine,82,3321,0.0188348158949534,5190.738768539829,3.79371473657491e-10,0.6280253969367016
Pulmonaria obscura,47,1081,101.74763445357304,8374.043220772846,0.0001704403283161,0.9997140053785692
Pultenaea villosa,65,2080,3.2035570943648213,1190.8147689500329,0.0,0.6738390009910005
Purshia stansburyana,48,1128,7.696922654769019,1554.5493301297074,2.6500899590634024e-08,0.9556512577618096
Pycnanthemum virginianum,85,3570,34.45099068924162,2170.6552184878765,5.829800174576994e-12,0.6387899029652274
Pyrola elliptica,44,946,58.5661316175386,3834.5999767354415,0.0,0.2161823764623004
Ranunculus kuepferi,79,3081,1.2303389197968462,569.838066164321,9.724307859011122e-12,0.7548764618152999
Ranunculus lyallii,70,2415,0.8662946812424992,545.2116731599341,3.4796175482354203e-08,1.0
Ranunculus trichophyllus,74,2701,0.0894918882118081,19805.930609481195,2.615332011751643e-09,0.7590660818551235
Ranunculus uncinatus,44,946,2.0992819712132733,2388.815227450789,0.0,1.0
Rhododendron canadense,45,990,36.905816556765885,1858.4589438769788,0.0009029488935293,0.957823874363406
Rhododendron catawbiense,48,1128,6.902572505782564,787.9957456327476,0.0007534969343545,1.0
Rhododendron pseudochrysanthum,50,1225,0.6168678092024593,183.33673736180893,5.654736754333062e-05,0.5895486404037733
Rhododendron tomentosum,61,1830,217.04061026398813,8227.106002746083,1.0866279923993031e-08,0.9977763156991366
Rhynchospora colorata,51,1275,7.383032782241659,2451.47419146979,0.0,1.0
Rorippa palustris,63,1953,250.42642311376795,18614.340827778386,2.1254729861107783e-08,0.9025357331565452
Rosa blanda,50,1225,8.93295565520963,2194.080763041373,0.0009369755337895,1.0
Rosa multiflora,71,2485,101.02839105745886,11746.212392483903,5.008305088475034e-10,0.8570298476063309
Rubus chamaemorus,58,1653,230.6885378838743,8569.839783503727,0.0,0.9024361686438704
Rubus odoratus,50,1225,45.28641035499159,9887.915499091938,0.0015077718545133,0.9794504203991125
Rubus trivialis,61,1830,54.15423351353041,2124.335926709906,2.152590802328588e-15,0.1040918219002403
Rudbeckia triloba,75,2775,91.56321805755223,9117.632552245015,0.0,1.0
Sagittaria lancifolia,59,1711,19.548540822740875,5553.6414509497945,4.401887260992448e-08,1.0
Sagittaria latifolia,68,2278,104.63368657453977,9678.540800752096,1.3555020813630608e-07,0.8889524481407474
Sairocarpus pusillus,43,903,0.0505912317935082,727.2295847091476,0.0010816475081805,0.998764463072487
Salvia amarissima,49,1176,6.463529734130719,681.0010727943436,8.287322324593174e-07,1.0
Salvia hispanica,61,1830,11.214187208455876,17121.25933941875,4.227419516010023e-06,0.9802249311240578
Salvia lavanduloides,47,1081,12.39014968143745,1876.442416344402,0.0001995326212735,0.9950444155205675
Salvia polystachia,43,903,20.758190315794295,2752.6000404744027,3.028851182101987e-05,0.934581001878783
Salvia prunelloides,48,1128,7.883922438936951,1599.3400955631253,2.0144950473091605e-07,0.7331402504497684
Salvia verticillata,44,946,77.05640402508793,5303.1862971981245,0.0014542825044158,1.0
Sambucus mexicana,46,1035,1.2040759369943637,771.6342314793163,1.403116443598226e-07,0.811111078782631
Sanguinaria canadensis,68,2278,84.53959753797528,2597.606240941412,1.4532061545206066e-09,0.9769488149973912
Satureja montana,60,1770,8.555666818078732,2322.986162013708,0.0,1.0
Saxifraga granulata,69,2346,94.86975843748976,3210.4610871675677,0.0,1.0
Saxifraga tridactylites,52,1326,140.48228586630736,10615.23944517192,2.089914368554654e-06,0.7593907045685053
Scilla bifolia,51,1275,100.17115299321998,8986.974937908926,3.0833075272423136e-05,0.9547543351741988
Scilla luciliae,59,1711,28.435180998376207,9719.714516209971,1.8637138579749924e-05,0.9228868303809268
