cell_id,taxon_denominator,classifiable_taxa,unclassifiable_taxa,classifiable_fraction,p_white,p_yellow_orange,p_red_pink,p_blue_purple
63,282,132,150,0.46808510638297873,0.4318181818181818,0.3106060606060606,0.17424242424242425,0.08333333333333333
64,1545,614,931,0.39741100323624595,0.36156351791530944,0.41205211726384366,0.11563517915309446,0.11074918566775244
65,643,258,385,0.401244167962675,0.4728682170542636,0.32945736434108525,0.1511627906976744,0.046511627906976744
66,62,29,33,0.46774193548387094,0.5172413793103449,0.41379310344827586,0.034482758620689655,0.034482758620689655
67,17,6,11,0.35294117647058826,0.5,0.16666666666666666,0.0,0.3333333333333333
68,383,159,224,0.4151436031331593,0.46540880503144655,0.27044025157232704,0.1949685534591195,0.06918238993710692
69,737,313,424,0.42469470827679784,0.4504792332268371,0.34185303514376997,0.10862619808306709,0.09904153354632587
70,1010,394,616,0.3900990099009901,0.5050761421319797,0.3020304568527919,0.1218274111675127,0.07106598984771574
71,133,54,79,0.40601503759398494,0.5,0.3148148148148148,0.12962962962962962,0.05555555555555555
72,2,1,1,0.5,1.0,0.0,0.0,0.0
76,323,131,192,0.4055727554179567,0.46564885496183206,0.40458015267175573,0.09923664122137404,0.030534351145038167
77,2143,819,1324,0.3821745216985534,0.3992673992673993,0.3553113553113553,0.17704517704517705,0.06837606837606838
78,1598,606,992,0.37922403003754696,0.4900990099009901,0.3613861386138614,0.10231023102310231,0.0462046204620462
79,726,295,431,0.40633608815426997,0.46779661016949153,0.3864406779661017,0.0711864406779661,0.07457627118644068
80,87,34,53,0.39080459770114945,0.6176470588235294,0.3235294117647059,0.058823529411764705,0.0
81,296,137,159,0.46283783783783783,0.48905109489051096,0.291970802919708,0.1678832116788321,0.051094890510948905
82,901,400,501,0.4439511653718091,0.47,0.2975,0.1625,0.07
83,69,35,34,0.5072463768115942,0.45714285714285713,0.34285714285714286,0.17142857142857143,0.02857142857142857
84,60,21,39,0.35,0.6190476190476191,0.19047619047619047,0.14285714285714285,0.047619047619047616
85,174,79,95,0.4540229885057471,0.569620253164557,0.27848101265822783,0.06329113924050633,0.08860759493670886
86,910,343,567,0.3769230769230769,0.5306122448979592,0.26822157434402333,0.14868804664723032,0.052478134110787174
87,190,73,117,0.38421052631578945,0.6027397260273972,0.2328767123287671,0.136986301369863,0.0273972602739726
88,65,36,29,0.5538461538461539,0.5,0.1388888888888889,0.2777777777777778,0.08333333333333333
89,5,3,2,0.6,0.0,1.0,0.0,0.0
90,34,13,21,0.38235294117647056,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.0
91,181,61,120,0.3370165745856354,0.45901639344262296,0.26229508196721313,0.21311475409836064,0.06557377049180328
93,876,367,509,0.4189497716894977,0.4196185286103542,0.35967302452316074,0.12806539509536785,0.09264305177111716
94,2044,847,1197,0.4143835616438356,0.46989374262101535,0.2845336481700118,0.16646989374262103,0.07910271546635184
95,1550,606,944,0.3909677419354839,0.523102310231023,0.2739273927392739,0.15676567656765678,0.0462046204620462
96,59,24,35,0.4067796610169492,0.3333333333333333,0.25,0.25,0.16666666666666666
97,54,23,31,0.42592592592592593,0.5652173913043478,0.2608695652173913,0.08695652173913043,0.08695652173913043
98,251,92,159,0.3665338645418327,0.5434782608695652,0.22826086956521738,0.13043478260869565,0.09782608695652174
99,280,120,160,0.42857142857142855,0.49166666666666664,0.35,0.14166666666666666,0.016666666666666666
100,180,100,80,0.5555555555555556,0.47,0.36,0.07,0.1
101,263,124,139,0.4714828897338403,0.46774193548387094,0.3467741935483871,0.12096774193548387,0.06451612903225806
102,1363,556,807,0.40792369772560527,0.5161870503597122,0.289568345323741,0.1079136690647482,0.08633093525179857
103,988,401,587,0.4058704453441296,0.513715710723192,0.26433915211970077,0.12468827930174564,0.09725685785536159
104,712,271,441,0.3806179775280899,0.5202952029520295,0.2693726937269373,0.14760147601476015,0.06273062730627306
105,384,162,222,0.421875,0.5308641975308642,0.24691358024691357,0.18518518518518517,0.037037037037037035
106,290,118,172,0.4068965517241379,0.5677966101694916,0.288135593220339,0.1016949152542373,0.0423728813559322
107,14,6,8,0.42857142857142855,0.8333333333333334,0.0,0.16666666666666666,0.0
108,10,6,4,0.6,0.3333333333333333,0.5,0.16666666666666666,0.0
109,487,205,282,0.4209445585215606,0.47804878048780486,0.3170731707317073,0.17073170731707318,0.03414634146341464
111,1757,820,937,0.466704610130905,0.3878048780487805,0.4036585365853659,0.1024390243902439,0.10609756097560975
112,1531,759,772,0.495754408883083,0.5085638998682477,0.30566534914361,0.07905138339920949,0.1067193675889328
113,879,401,478,0.45620022753128553,0.48129675810473815,0.3117206982543641,0.12967581047381546,0.0773067331670823
116,1196,562,634,0.4698996655518395,0.4199288256227758,0.4092526690391459,0.09074733096085409,0.0800711743772242
117,92,31,61,0.33695652173913043,0.16129032258064516,0.6129032258064516,0.0967741935483871,0.12903225806451613
118,972,444,528,0.4567901234567901,0.42792792792792794,0.3918918918918919,0.10585585585585586,0.07432432432432433
119,427,188,239,0.44028103044496486,0.44680851063829785,0.44680851063829785,0.06382978723404255,0.0425531914893617
120,930,402,528,0.432258064516129,0.48009950248756217,0.31840796019900497,0.11691542288557213,0.0845771144278607
121,1462,675,787,0.46169630642954856,0.46370370370370373,0.27111111111111114,0.14074074074074075,0.12444444444444444
122,1319,618,701,0.46853677028051555,0.5533980582524272,0.2540453074433657,0.09223300970873786,0.10032362459546926
123,1501,633,868,0.4217188540972685,0.6145339652448657,0.29067930489731436,0.052132701421800945,0.04265402843601896
124,8,4,4,0.5,1.0,0.0,0.0,0.0
128,1209,605,604,0.5004135649296939,0.44297520661157025,0.343801652892562,0.11735537190082644,0.09586776859504133
129,1425,720,705,0.5052631578947369,0.4583333333333333,0.3625,0.0875,0.09166666666666666
130,1093,571,522,0.5224153705397987,0.5446584938704028,0.29071803852889666,0.08056042031523643,0.0840630472854641
131,927,462,465,0.49838187702265374,0.5021645021645021,0.3268398268398268,0.08874458874458875,0.08225108225108226
132,378,203,175,0.5370370370370371,0.47783251231527096,0.33497536945812806,0.059113300492610835,0.12807881773399016
133,316,165,151,0.5221518987341772,0.4727272727272727,0.36363636363636365,0.08484848484848485,0.07878787878787878
134,1444,734,710,0.5083102493074793,0.4482288828337875,0.32833787465940056,0.1008174386920981,0.1226158038147139
135,1560,811,749,0.5198717948717949,0.44143033292231815,0.32305795314426633,0.11467324290998766,0.12083847102342787
136,1510,813,697,0.5384105960264901,0.44772447724477243,0.3111931119311193,0.10209102091020911,0.13899138991389914
137,1365,740,625,0.5421245421245421,0.45135135135135135,0.33918918918918917,0.10135135135135136,0.10810810810810811
138,1063,592,471,0.5569143932267169,0.4594594594594595,0.3597972972972973,0.09628378378378379,0.08445945945945946
139,570,341,229,0.5982456140350877,0.41348973607038125,0.34017595307917886,0.10557184750733138,0.14076246334310852
140,1031,538,493,0.521823472356935,0.49256505576208176,0.31226765799256506,0.07063197026022305,0.12453531598513011
141,947,468,479,0.4941921858500528,0.5299145299145299,0.25427350427350426,0.11538461538461539,0.10042735042735043
142,553,265,288,0.47920433996383366,0.5245283018867924,0.28679245283018867,0.1169811320754717,0.07169811320754717
144,184,109,75,0.592391304347826,0.44036697247706424,0.28440366972477066,0.14678899082568808,0.12844036697247707
145,452,225,227,0.497787610619469,0.5244444444444445,0.30666666666666664,0.06222222222222222,0.10666666666666667
146,692,348,344,0.5028901734104047,0.5114942528735632,0.29310344827586204,0.08045977011494253,0.11494252873563218
147,734,343,391,0.4673024523160763,0.5102040816326531,0.33527696793002915,0.05830903790087463,0.09620991253644315
148,391,195,196,0.49872122762148335,0.517948717948718,0.3641025641025641,0.041025641025641026,0.07692307692307693
149,181,97,84,0.5359116022099447,0.5670103092783505,0.29896907216494845,0.08247422680412371,0.05154639175257732
150,345,149,196,0.4318840579710145,0.4966442953020134,0.33557046979865773,0.06040268456375839,0.10738255033557047
151,238,122,116,0.5126050420168067,0.48360655737704916,0.32786885245901637,0.08196721311475409,0.10655737704918032
152,669,351,318,0.5246636771300448,0.452991452991453,0.34472934472934474,0.10541310541310542,0.09686609686609686
153,854,444,410,0.5199063231850117,0.4752252252252252,0.32882882882882886,0.10585585585585586,0.09009009009009009
154,710,398,312,0.5605633802816902,0.5,0.32160804020100503,0.07788944723618091,0.10050251256281408
155,823,401,422,0.48724179829890646,0.5536159600997507,0.30673316708229426,0.05236907730673317,0.08728179551122195
156,710,381,329,0.5366197183098591,0.5511811023622047,0.29396325459317585,0.047244094488188976,0.10761154855643044
157,786,469,317,0.5966921119592875,0.488272921108742,0.3347547974413646,0.0767590618336887,0.10021321961620469
158,472,288,184,0.6101694915254238,0.4756944444444444,0.2951388888888889,0.0763888888888889,0.1527777777777778
159,152,83,69,0.5460526315789473,0.4578313253012048,0.3493975903614458,0.0963855421686747,0.0963855421686747
160,378,208,170,0.5502645502645502,0.4855769230769231,0.3076923076923077,0.09134615384615384,0.11538461538461539
161,162,107,55,0.6604938271604939,0.40186915887850466,0.35514018691588783,0.1588785046728972,0.08411214953271028
