batch_index,requested,api_results_returned,resolved_exact_photo,elapsed_seconds
171,200,200,200,4.281599521636963
172,200,200,200,6.325509071350098
173,200,200,200,4.0205299854278564
174,200,200,200,2.8124661445617676
175,200,200,200,2.9797677993774414
176,200,200,200,5.97742486000061
177,200,200,200,2.9877288341522217
178,200,200,200,3.1038613319396973
179,200,200,200,6.195884704589844
180,200,200,200,5.647255182266235
181,200,200,200,4.3537139892578125
182,200,200,200,3.5321221351623535
183,200,200,200,3.1350772380828857
184,200,200,200,6.348977327346802
185,200,200,200,4.739959716796875
186,200,200,200,2.4981577396392822
187,200,200,200,2.165165424346924
188,200,200,200,4.797594785690308
189,200,200,200,3.615168571472168
190,200,200,200,2.8767595291137695
191,200,200,200,3.1653175354003906
192,200,200,200,2.6616475582122803
193,200,200,200,5.524883270263672
194,200,200,200,3.0922484397888184
195,200,200,200,3.191087245941162
196,200,200,200,2.49573016166687
197,200,200,200,2.6717255115509033
198,200,200,200,4.559221506118774
199,200,200,200,4.767613172531128
200,200,200,200,4.138800382614136
201,200,200,200,3.161799669265747
202,200,200,200,3.870297431945801
203,200,200,199,4.615901231765747
204,200,200,200,2.6088340282440186
205,200,200,200,2.655205726623535
206,200,200,200,3.0495212078094482
207,200,200,200,6.2671356201171875
208,200,200,200,3.932781219482422
209,200,200,199,2.7550206184387207
210,200,200,200,3.7161312103271484
211,200,200,200,6.697598457336426
212,200,200,200,4.926509380340576
213,200,200,200,3.5970048904418945
214,200,200,200,3.7164666652679443
215,200,200,200,5.879875898361206
216,200,200,200,5.298701763153076
217,200,200,200,3.5452096462249756
218,200,200,200,6.608537912368774
219,200,200,200,4.937771558761597
220,200,200,200,3.721745729446411
221,200,200,200,3.37974214553833
222,200,200,200,2.955488920211792
223,200,200,200,9.275338172912598
224,200,200,200,5.253001928329468
225,200,200,200,4.343087196350098
226,200,200,200,2.565014600753784
227,200,200,200,3.121629476547241
228,200,200,200,3.3635241985321045
229,200,200,200,8.16772198677063
230,200,200,200,4.872507095336914
231,200,200,200,3.8826487064361572
232,200,200,200,2.5861456394195557
233,200,200,200,2.873966932296753
234,200,200,200,5.8841001987457275
235,200,200,200,5.530057907104492
236,200,200,200,4.401224851608276
237,200,200,200,3.033066987991333
238,200,200,200,3.7960026264190674
239,200,200,200,6.226974964141846
240,200,200,200,2.7570619583129883
241,200,200,200,2.5379695892333984
242,200,200,200,4.4232497215271
243,200,200,200,2.1929144859313965
244,200,200,200,5.0529844760894775
245,200,200,200,4.252718687057495
246,200,200,200,2.743809461593628
247,200,200,200,2.5654802322387695
248,200,200,200,7.167637825012207
249,200,200,200,4.101966142654419
250,200,200,200,2.722066879272461
251,200,200,200,6.567483901977539
252,200,200,200,8.869384050369263
253,200,200,200,5.122352838516235
254,200,200,200,4.422190189361572
255,200,200,200,3.6814112663269043
256,200,200,200,3.622823715209961
257,200,200,200,5.223451852798462
258,200,200,200,2.7202625274658203
259,200,200,200,4.129662275314331
260,200,200,200,4.185929298400879
261,200,200,200,2.564903497695923
262,200,200,200,3.850632429122925
263,200,200,200,3.10565447807312
264,200,200,200,2.5097291469573975
265,200,200,200,3.0481972694396973
266,200,200,200,3.0920259952545166
267,200,200,200,4.031555414199829
268,200,200,200,6.6170313358306885
269,200,200,200,3.9982383251190186
270,200,200,200,3.1890981197357178
271,200,200,200,8.10854959487915
272,200,200,200,4.6508378982543945
273,200,200,200,3.4964487552642822
274,200,200,200,4.546799182891846
275,200,200,200,7.396402359008789
276,200,200,200,4.6322362422943115
277,200,200,200,2.832636594772339
278,200,200,200,6.141376495361328
279,200,200,200,4.90840744972229
280,200,200,200,2.508805274963379
281,200,200,200,5.368870258331299
282,200,200,200,6.444829225540161
283,200,200,200,3.393608331680298
284,200,200,200,3.7522318363189697
285,200,200,200,5.97376823425293
286,200,200,200,2.987612247467041
287,200,200,200,2.7829980850219727
288,200,200,200,5.247079133987427
289,200,200,200,2.7037723064422607
290,200,200,200,3.8631789684295654
291,200,200,200,3.398463010787964
292,200,200,200,3.130023956298828
293,33,33,33,2.979259967803955
