focal_species,focal_family,focal_genus,control_candidate,control_family,control_genus,match_level,match_rank,control_verification_status,monomorphism_evidence,exclusion_reason
Iris lutescens,Iridaceae,Iris,Iris aitchisonii,Iridaceae,Iris,same_genus,4,pending_monomorphism_review,unknown,
Iris lutescens,Iridaceae,Iris,Iris alberti,Iridaceae,Iris,same_genus,5,pending_monomorphism_review,unknown,
Lupinus pilosus,Fabaceae,Lupinus,Lupinus aberrans,Fabaceae,Lupinus,same_genus,1,pending_monomorphism_review,unknown,
Lupinus pilosus,Fabaceae,Lupinus,Lupinus acopalcus,Fabaceae,Lupinus,same_genus,2,pending_monomorphism_review,unknown,
Lupinus pilosus,Fabaceae,Lupinus,Lupinus adinoanthus,Fabaceae,Lupinus,same_genus,3,pending_monomorphism_review,unknown,
Lupinus pilosus,Fabaceae,Lupinus,Lupinus adsurgens,Fabaceae,Lupinus,same_genus,4,pending_monomorphism_review,unknown,
Lupinus pilosus,Fabaceae,Lupinus,Lupinus affinis,Fabaceae,Lupinus,same_genus,5,pending_monomorphism_review,unknown,
Antirrhinum majus,Plantaginaceae,Antirrhinum,Antirrhinum aegyptiacum,Plantaginaceae,Antirrhinum,same_genus,1,pending_monomorphism_review,unknown,
Antirrhinum majus,Plantaginaceae,Antirrhinum,Antirrhinum albanchezii,Plantaginaceae,Antirrhinum,same_genus,2,pending_monomorphism_review,unknown,
Antirrhinum majus,Plantaginaceae,Antirrhinum,Antirrhinum amethystinum,Plantaginaceae,Antirrhinum,same_genus,3,pending_monomorphism_review,unknown,
Antirrhinum majus,Plantaginaceae,Antirrhinum,Antirrhinum asarinum,Plantaginaceae,Antirrhinum,same_genus,4,pending_monomorphism_review,unknown,
Antirrhinum majus,Plantaginaceae,Antirrhinum,Antirrhinum australe,Plantaginaceae,Antirrhinum,same_genus,5,pending_monomorphism_review,unknown,
Hesperis matronalis,Brassicaceae,Hesperis,Hesperis aintabica,Brassicaceae,Hesperis,same_genus,1,pending_monomorphism_review,unknown,
Hesperis matronalis,Brassicaceae,Hesperis,Hesperis anatolica,Brassicaceae,Hesperis,same_genus,2,pending_monomorphism_review,unknown,
Hesperis matronalis,Brassicaceae,Hesperis,Hesperis armena,Brassicaceae,Hesperis,same_genus,3,pending_monomorphism_review,unknown,
Hesperis matronalis,Brassicaceae,Hesperis,Hesperis bakhtiarica,Brassicaceae,Hesperis,same_genus,4,pending_monomorphism_review,unknown,
Hesperis matronalis,Brassicaceae,Hesperis,Hesperis balansae,Brassicaceae,Hesperis,same_genus,5,pending_monomorphism_review,unknown,
Fritillaria persica,Liliaceae,Fritillaria,Fritillaria acmopetala,Liliaceae,Fritillaria,same_genus,1,pending_monomorphism_review,unknown,
Fritillaria persica,Liliaceae,Fritillaria,Fritillaria affinis,Liliaceae,Fritillaria,same_genus,2,pending_monomorphism_review,unknown,
Fritillaria persica,Liliaceae,Fritillaria,Fritillaria agrestis,Liliaceae,Fritillaria,same_genus,3,pending_monomorphism_review,unknown,
Fritillaria persica,Liliaceae,Fritillaria,Fritillaria alburyana,Liliaceae,Fritillaria,same_genus,4,pending_monomorphism_review,unknown,
Fritillaria persica,Liliaceae,Fritillaria,Fritillaria alfredae,Liliaceae,Fritillaria,same_genus,5,pending_monomorphism_review,unknown,
Rhododendron cyanocarpum,Ericaceae,Rhododendron,Rhododendron aberconwayi,Ericaceae,Rhododendron,same_genus,1,pending_monomorphism_review,unknown,
Rhododendron cyanocarpum,Ericaceae,Rhododendron,Rhododendron abhayae,Ericaceae,Rhododendron,same_genus,2,pending_monomorphism_review,unknown,
Rhododendron cyanocarpum,Ericaceae,Rhododendron,Rhododendron abietifolium,Ericaceae,Rhododendron,same_genus,3,pending_monomorphism_review,unknown,
Rhododendron cyanocarpum,Ericaceae,Rhododendron,Rhododendron acrophilum,Ericaceae,Rhododendron,same_genus,4,pending_monomorphism_review,unknown,
Rhododendron cyanocarpum,Ericaceae,Rhododendron,Rhododendron acuminatum,Ericaceae,Rhododendron,same_genus,5,pending_monomorphism_review,unknown,
Anemone palmata,Ranunculaceae,Anemone,Anemone acuta,Ranunculaceae,Anemone,same_genus,1,pending_monomorphism_review,unknown,
Anemone palmata,Ranunculaceae,Anemone,Anemone afghanica,Ranunculaceae,Anemone,same_genus,2,pending_monomorphism_review,unknown,
Anemone palmata,Ranunculaceae,Anemone,Anemone airei,Ranunculaceae,Anemone,same_genus,3,pending_monomorphism_review,unknown,
Anemone palmata,Ranunculaceae,Anemone,Anemone altaica,Ranunculaceae,Anemone,same_genus,4,pending_monomorphism_review,unknown,
Anemone palmata,Ranunculaceae,Anemone,Anemone amurensis,Ranunculaceae,Anemone,same_genus,5,pending_monomorphism_review,unknown,
Solanum carolinense,Solanaceae,Solanum,Lycopersicum esculentum,Solanaceae,Solanum,same_genus,1,pending_monomorphism_review,unknown,
Solanum carolinense,Solanaceae,Solanum,Lycopersicum humboldtii,Solanaceae,Solanum,same_genus,2,pending_monomorphism_review,unknown,
Solanum carolinense,Solanaceae,Solanum,Lycopersicum pimpinellifolium,Solanaceae,Solanum,same_genus,3,pending_monomorphism_review,unknown,
Solanum carolinense,Solanaceae,Solanum,Solanum abitaguense,Solanaceae,Solanum,same_genus,4,pending_monomorphism_review,unknown,
Solanum carolinense,Solanaceae,Solanum,Solanum abortivum,Solanaceae,Solanum,same_genus,5,pending_monomorphism_review,unknown,
Lotus corniculatus,Fabaceae,Lotus,Lotus aduncus,Fabaceae,Lotus,same_genus,1,pending_monomorphism_review,unknown,
Lotus corniculatus,Fabaceae,Lotus,Lotus aegaeus,Fabaceae,Lotus,same_genus,2,pending_monomorphism_review,unknown,
Lotus corniculatus,Fabaceae,Lotus,Lotus alamosanus,Fabaceae,Lotus,same_genus,3,pending_monomorphism_review,unknown,
Lotus corniculatus,Fabaceae,Lotus,Lotus albidus,Fabaceae,Lotus,same_genus,4,pending_monomorphism_review,unknown,
Lotus corniculatus,Fabaceae,Lotus,Lotus alianus,Fabaceae,Lotus,same_genus,5,pending_monomorphism_review,unknown,
Platystemon californicus,Papaveraceae,Platystemon,Adlumia asiatica,Papaveraceae,Adlumia,same_family,1,pending_monomorphism_review,unknown,
Platystemon californicus,Papaveraceae,Platystemon,Adlumia fungosa,Papaveraceae,Adlumia,same_family,2,pending_monomorphism_review,unknown,
Platystemon californicus,Papaveraceae,Platystemon,Arctomecon californicum,Papaveraceae,Arctomecon,same_family,3,pending_monomorphism_review,unknown,
Platystemon californicus,Papaveraceae,Platystemon,Arctomecon humile,Papaveraceae,Arctomecon,same_family,4,pending_monomorphism_review,unknown,
Platystemon californicus,Papaveraceae,Platystemon,Arctomecon humilis,Papaveraceae,Arctomecon,same_family,5,pending_monomorphism_review,unknown,
Opuntia streptacantha,Cactaceae,Opuntia,Opuntia acaulis,Cactaceae,Opuntia,same_genus,1,pending_monomorphism_review,unknown,
Opuntia streptacantha,Cactaceae,Opuntia,Opuntia aciculata,Cactaceae,Opuntia,same_genus,2,pending_monomorphism_review,unknown,
Opuntia streptacantha,Cactaceae,Opuntia,Opuntia aequatorialis,Cactaceae,Opuntia,same_genus,3,pending_monomorphism_review,unknown,
Opuntia streptacantha,Cactaceae,Opuntia,Opuntia albicarpa,Cactaceae,Opuntia,same_genus,4,pending_monomorphism_review,unknown,
Opuntia streptacantha,Cactaceae,Opuntia,Opuntia alfayucca,Cactaceae,Opuntia,same_genus,5,pending_monomorphism_review,unknown,
Limonium wrightii,Plumbaginaceae,Limonium,Limonium abnorme,Plumbaginaceae,Limonium,same_genus,1,pending_monomorphism_review,unknown,
Limonium wrightii,Plumbaginaceae,Limonium,Limonium acuminatum,Plumbaginaceae,Limonium,same_genus,2,pending_monomorphism_review,unknown,
Limonium wrightii,Plumbaginaceae,Limonium,Limonium acutifolium,Plumbaginaceae,Limonium,same_genus,3,pending_monomorphism_review,unknown,
Limonium wrightii,Plumbaginaceae,Limonium,Limonium adilguneri,Plumbaginaceae,Limonium,same_genus,4,pending_monomorphism_review,unknown,
Limonium wrightii,Plumbaginaceae,Limonium,Limonium admirabile,Plumbaginaceae,Limonium,same_genus,5,pending_monomorphism_review,unknown,
Boechera stricta,Brassicaceae,Boechera,Boechera acutina,Brassicaceae,Boechera,same_genus,1,pending_monomorphism_review,unknown,
Boechera stricta,Brassicaceae,Boechera,Boechera arcuata,Brassicaceae,Boechera,same_genus,2,pending_monomorphism_review,unknown,
Boechera stricta,Brassicaceae,Boechera,Boechera atrorubens,Brassicaceae,Boechera,same_genus,3,pending_monomorphism_review,unknown,
Boechera stricta,Brassicaceae,Boechera,Boechera austromontana,Brassicaceae,Boechera,same_genus,4,pending_monomorphism_review,unknown,
Boechera stricta,Brassicaceae,Boechera,Boechera bodiensis,Brassicaceae,Boechera,same_genus,5,pending_monomorphism_review,unknown,
Ophiorrhiza japonica,Rubiaceae,Ophiorrhiza,Ophiorrhiza acuminata,Rubiaceae,Ophiorrhiza,same_genus,1,pending_monomorphism_review,unknown,
Ophiorrhiza japonica,Rubiaceae,Ophiorrhiza,Ophiorrhiza acuminatissima,Rubiaceae,Ophiorrhiza,same_genus,2,pending_monomorphism_review,unknown,
Ophiorrhiza japonica,Rubiaceae,Ophiorrhiza,Ophiorrhiza affinis,Rubiaceae,Ophiorrhiza,same_genus,3,pending_monomorphism_review,unknown,
Ophiorrhiza japonica,Rubiaceae,Ophiorrhiza,Ophiorrhiza alata,Rubiaceae,Ophiorrhiza,same_genus,4,pending_monomorphism_review,unknown,
Ophiorrhiza japonica,Rubiaceae,Ophiorrhiza,Ophiorrhiza albida,Rubiaceae,Ophiorrhiza,same_genus,5,pending_monomorphism_review,unknown,
Ipomoea purpurea,Convolvulaceae,Ipomoea,Ipomoea abrupta,Convolvulaceae,Ipomoea,same_genus,1,pending_monomorphism_review,unknown,
Ipomoea purpurea,Convolvulaceae,Ipomoea,Ipomoea abutilodes,Convolvulaceae,Ipomoea,same_genus,2,pending_monomorphism_review,unknown,
Ipomoea purpurea,Convolvulaceae,Ipomoea,Ipomoea abutiloides,Convolvulaceae,Ipomoea,same_genus,3,pending_monomorphism_review,unknown,
Ipomoea purpurea,Convolvulaceae,Ipomoea,Ipomoea abyssinica,Convolvulaceae,Ipomoea,same_genus,4,pending_monomorphism_review,unknown,
Ipomoea purpurea,Convolvulaceae,Ipomoea,Ipomoea acanthocarpa,Convolvulaceae,Ipomoea,same_genus,5,pending_monomorphism_review,unknown,
Lantana camara,Verbenaceae,Lantana,Lantana achyranthifolia,Verbenaceae,Lantana,same_genus,1,pending_monomorphism_review,unknown,
Lantana camara,Verbenaceae,Lantana,Lantana alainii,Verbenaceae,Lantana,same_genus,2,pending_monomorphism_review,unknown,
Lantana camara,Verbenaceae,Lantana,Lantana alba,Verbenaceae,Lantana,same_genus,3,pending_monomorphism_review,unknown,
Lantana camara,Verbenaceae,Lantana,Lantana amoena,Verbenaceae,Lantana,same_genus,4,pending_monomorphism_review,unknown,
Lantana camara,Verbenaceae,Lantana,Lantana angolensis,Verbenaceae,Lantana,same_genus,5,pending_monomorphism_review,unknown,
Ipomopsis aggregata,Polemoniaceae,Ipomopsis,Ipomopsis arizonica,Polemoniaceae,Ipomopsis,same_genus,1,pending_monomorphism_review,unknown,
Ipomopsis aggregata,Polemoniaceae,Ipomopsis,Ipomopsis congesta,Polemoniaceae,Ipomopsis,same_genus,2,pending_monomorphism_review,unknown,
Ipomopsis aggregata,Polemoniaceae,Ipomopsis,Ipomopsis effusa,Polemoniaceae,Ipomopsis,same_genus,3,pending_monomorphism_review,unknown,
Ipomopsis aggregata,Polemoniaceae,Ipomopsis,Ipomopsis globularis,Polemoniaceae,Ipomopsis,same_genus,4,pending_monomorphism_review,unknown,
Ipomopsis aggregata,Polemoniaceae,Ipomopsis,Ipomopsis gossypifera,Polemoniaceae,Ipomopsis,same_genus,5,pending_monomorphism_review,unknown,
Medicago sativa,Fabaceae,Medicago,Medicago albus,Fabaceae,Medicago,same_genus,1,pending_monomorphism_review,unknown,
Medicago sativa,Fabaceae,Medicago,Medicago angustissimus,Fabaceae,Medicago,same_genus,2,pending_monomorphism_review,unknown,
Medicago sativa,Fabaceae,Medicago,Medicago arabica,Fabaceae,Medicago,same_genus,3,pending_monomorphism_review,unknown,
Medicago sativa,Fabaceae,Medicago,Medicago arborea,Fabaceae,Medicago,same_genus,4,pending_monomorphism_review,unknown,
Medicago sativa,Fabaceae,Medicago,Medicago archiducis-nicolai,Fabaceae,Medicago,same_genus,5,pending_monomorphism_review,unknown,
Anemone pavonina,Ranunculaceae,Anemone,Anemone acuta,Ranunculaceae,Anemone,same_genus,1,pending_monomorphism_review,unknown,
Anemone pavonina,Ranunculaceae,Anemone,Anemone afghanica,Ranunculaceae,Anemone,same_genus,2,pending_monomorphism_review,unknown,
Anemone pavonina,Ranunculaceae,Anemone,Anemone airei,Ranunculaceae,Anemone,same_genus,3,pending_monomorphism_review,unknown,
Anemone pavonina,Ranunculaceae,Anemone,Anemone altaica,Ranunculaceae,Anemone,same_genus,4,pending_monomorphism_review,unknown,
Anemone pavonina,Ranunculaceae,Anemone,Anemone amurensis,Ranunculaceae,Anemone,same_genus,5,pending_monomorphism_review,unknown,
Castilleja coccinea,Orobanchaceae,Castilleja,Castilleja affinis,Orobanchaceae,Castilleja,same_genus,1,pending_monomorphism_review,unknown,
Castilleja coccinea,Orobanchaceae,Castilleja,Castilleja albobarbata,Orobanchaceae,Castilleja,same_genus,2,pending_monomorphism_review,unknown,
Castilleja coccinea,Orobanchaceae,Castilleja,Castilleja alpicola,Orobanchaceae,Castilleja,same_genus,3,pending_monomorphism_review,unknown,
Castilleja coccinea,Orobanchaceae,Castilleja,Castilleja ambigua,Orobanchaceae,Castilleja,same_genus,4,pending_monomorphism_review,unknown,
Castilleja coccinea,Orobanchaceae,Castilleja,Castilleja angustata,Orobanchaceae,Castilleja,same_genus,5,pending_monomorphism_review,unknown,
Trillium sessile,Melanthiaceae,Trillium,Trillium albidum,Melanthiaceae,Trillium,same_genus,1,pending_monomorphism_review,unknown,
Trillium sessile,Melanthiaceae,Trillium,Trillium angustipetalum,Melanthiaceae,Trillium,same_genus,2,pending_monomorphism_review,unknown,
Trillium sessile,Melanthiaceae,Trillium,Trillium apetalon,Melanthiaceae,Trillium,same_genus,3,pending_monomorphism_review,unknown,
Trillium sessile,Melanthiaceae,Trillium,Trillium camschatcense,Melanthiaceae,Trillium,same_genus,4,pending_monomorphism_review,unknown,
Trillium sessile,Melanthiaceae,Trillium,Trillium catesbaei,Melanthiaceae,Trillium,same_genus,5,pending_monomorphism_review,unknown,
Cirsium palustre,Asteraceae,Cirsium,Cirsium acantholepis,Asteraceae,Cirsium,same_genus,1,pending_monomorphism_review,unknown,
Cirsium palustre,Asteraceae,Cirsium,Cirsium acaule,Asteraceae,Cirsium,same_genus,2,pending_monomorphism_review,unknown,
Cirsium palustre,Asteraceae,Cirsium,Cirsium acaulescens,Asteraceae,Cirsium,same_genus,3,pending_monomorphism_review,unknown,
Cirsium palustre,Asteraceae,Cirsium,Cirsium acaulon,Asteraceae,Cirsium,same_genus,4,pending_monomorphism_review,unknown,
Cirsium palustre,Asteraceae,Cirsium,Cirsium acrolepis,Asteraceae,Cirsium,same_genus,5,pending_monomorphism_review,unknown,
Lupinus polyphyllus,Fabaceae,Lupinus,Lupinus aberrans,Fabaceae,Lupinus,same_genus,1,pending_monomorphism_review,unknown,
Lupinus polyphyllus,Fabaceae,Lupinus,Lupinus acopalcus,Fabaceae,Lupinus,same_genus,2,pending_monomorphism_review,unknown,
Lupinus polyphyllus,Fabaceae,Lupinus,Lupinus adinoanthus,Fabaceae,Lupinus,same_genus,3,pending_monomorphism_review,unknown,
Lupinus polyphyllus,Fabaceae,Lupinus,Lupinus adsurgens,Fabaceae,Lupinus,same_genus,4,pending_monomorphism_review,unknown,
Lupinus polyphyllus,Fabaceae,Lupinus,Lupinus affinis,Fabaceae,Lupinus,same_genus,5,pending_monomorphism_review,unknown,
Bixa orellana,Bixaceae,Bixa,Bixa arborea,Bixaceae,Bixa,same_genus,1,pending_monomorphism_review,unknown,
Bixa orellana,Bixaceae,Bixa,Bixa atlantica,Bixaceae,Bixa,same_genus,2,pending_monomorphism_review,unknown,
Bixa orellana,Bixaceae,Bixa,Bixa excelsa,Bixaceae,Bixa,same_genus,3,pending_monomorphism_review,unknown,
Bixa orellana,Bixaceae,Bixa,Bixa kathgodamensis,Bixaceae,Bixa,same_genus,4,pending_monomorphism_review,unknown,
Bixa orellana,Bixaceae,Bixa,Bixa odorata,Bixaceae,Bixa,same_genus,5,pending_monomorphism_review,unknown,
Cistus ladanifer,Cistaceae,Cistus,Cistus aguilari,Cistaceae,Cistus,same_genus,1,pending_monomorphism_review,unknown,
Cistus ladanifer,Cistaceae,Cistus,Cistus akamantis,Cistaceae,Cistus,same_genus,2,pending_monomorphism_review,unknown,
Cistus ladanifer,Cistaceae,Cistus,Cistus albereensis,Cistaceae,Cistus,same_genus,3,pending_monomorphism_review,unknown,
Cistus ladanifer,Cistaceae,Cistus,Cistus albidus,Cistaceae,Cistus,same_genus,4,pending_monomorphism_review,unknown,
Cistus ladanifer,Cistaceae,Cistus,Cistus asper,Cistaceae,Cistus,same_genus,5,pending_monomorphism_review,unknown,
Orchis mascula,Orchidaceae,Orchis,Orchiaceras helvetica,Orchidaceae,Orchis,same_genus,1,pending_monomorphism_review,unknown,
Orchis mascula,Orchidaceae,Orchis,Orchis abortiva,Orchidaceae,Orchis,same_genus,2,pending_monomorphism_review,unknown,
Orchis mascula,Orchidaceae,Orchis,Orchis acuminata,Orchidaceae,Orchis,same_genus,3,pending_monomorphism_review,unknown,
Orchis mascula,Orchidaceae,Orchis,Orchis acuta,Orchidaceae,Orchis,same_genus,4,pending_monomorphism_review,unknown,
Orchis mascula,Orchidaceae,Orchis,Orchis adenocheila,Orchidaceae,Orchis,same_genus,5,pending_monomorphism_review,unknown,
Stellera chamaejasme,Thymelaeaceae,Stellera,Stellera dioeca,Thymelaeaceae,Stellera,same_genus,1,pending_monomorphism_review,unknown,
Stellera chamaejasme,Thymelaeaceae,Stellera,Stellera formosana,Thymelaeaceae,Stellera,same_genus,2,pending_monomorphism_review,unknown,
Stellera chamaejasme,Thymelaeaceae,Stellera,Stellera tartonrairae,Thymelaeaceae,Stellera,same_genus,3,pending_monomorphism_review,unknown,
Stellera chamaejasme,Thymelaeaceae,Stellera,Aetoxylon sympetalum,Thymelaeaceae,Aetoxylon,same_family,4,pending_monomorphism_review,unknown,
Stellera chamaejasme,Thymelaeaceae,Stellera,Amyxa pluricornis,Thymelaeaceae,Amyxa,same_family,5,pending_monomorphism_review,unknown,
Leptosiphon parviflorus,Polemoniaceae,Leptosiphon,Leptosiphon acicularis,Polemoniaceae,Leptosiphon,same_genus,1,pending_monomorphism_review,unknown,
Leptosiphon parviflorus,Polemoniaceae,Leptosiphon,Leptosiphon ambiguus,Polemoniaceae,Leptosiphon,same_genus,2,pending_monomorphism_review,unknown,
Leptosiphon parviflorus,Polemoniaceae,Leptosiphon,Leptosiphon bicolor,Polemoniaceae,Leptosiphon,same_genus,3,pending_monomorphism_review,unknown,
Leptosiphon parviflorus,Polemoniaceae,Leptosiphon,Leptosiphon bolanderi,Polemoniaceae,Leptosiphon,same_genus,4,pending_monomorphism_review,unknown,
Leptosiphon parviflorus,Polemoniaceae,Leptosiphon,Leptosiphon breviculus,Polemoniaceae,Leptosiphon,same_genus,5,pending_monomorphism_review,unknown,
Collinsia heterophylla,Plantaginaceae,Collinsia,Collinsia antonina,Plantaginaceae,Collinsia,same_genus,1,pending_monomorphism_review,unknown,
Collinsia heterophylla,Plantaginaceae,Collinsia,Collinsia bartsiifolia,Plantaginaceae,Collinsia,same_genus,2,pending_monomorphism_review,unknown,
Collinsia heterophylla,Plantaginaceae,Collinsia,Collinsia callosa,Plantaginaceae,Collinsia,same_genus,3,pending_monomorphism_review,unknown,
Collinsia heterophylla,Plantaginaceae,Collinsia,Collinsia childii,Plantaginaceae,Collinsia,same_genus,4,pending_monomorphism_review,unknown,
Collinsia heterophylla,Plantaginaceae,Collinsia,Collinsia concolor,Plantaginaceae,Collinsia,same_genus,5,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe acaulis,Phrymaceae,Erythranthe,same_genus,1,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe acutidens,Phrymaceae,Erythranthe,same_genus,2,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe alsinoides,Phrymaceae,Erythranthe,same_genus,3,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe ampliata,Phrymaceae,Erythranthe,same_genus,4,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe andicola,Phrymaceae,Erythranthe,same_genus,5,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya alba,Brassicaceae,Parrya,same_genus,1,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya albida,Brassicaceae,Parrya,same_genus,2,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya arctica,Brassicaceae,Parrya,same_genus,3,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya asperrima,Brassicaceae,Parrya,same_genus,4,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya australis,Brassicaceae,Parrya,same_genus,5,pending_monomorphism_review,unknown,
Convolvulus arvensis,Convolvulaceae,Convolvulus,Convolvulus acanthoclados,Convolvulaceae,Convolvulus,same_genus,1,pending_monomorphism_review,unknown,
Convolvulus arvensis,Convolvulaceae,Convolvulus,Convolvulus acanthocladus,Convolvulaceae,Convolvulus,same_genus,2,pending_monomorphism_review,unknown,
Convolvulus arvensis,Convolvulaceae,Convolvulus,Convolvulus aculeatus,Convolvulaceae,Convolvulus,same_genus,3,pending_monomorphism_review,unknown,
