priority_tier,rank,canonical_name,family,n_works,max_score,total_score,n_title_matches,n_context_matches,best_title,best_doi,best_openalex_id,best_match_evidence,review_status
A,147,Viburnum macrocephalum,Viburnaceae,1,20,20,1,1,miRNAs involved in the development and differentiation of fertile and sterile flowers in Viburnum macrocephalum f. keteleeri,10.1186/s12864-017-4180-x,https://openalex.org/W2761460283,"unclear. RESULTS: Here, based on investigations of the morphological differences between fertile and sterile flowers, we used high-throughput sequencing to characterize the miRNAs in the differentiated floral organs of Viburnum macrocephalum f. keteleeri. We identified 49 known miRNAs and 67 novel miRNAs by small RNA (sRNA) sequencing and bioinformatics analysis, and 17 of these known and novel miRNA precursors were validated by polymerase chain reaction (P",unreviewed
A,148,Stellera chamaejasme,Thymelaeaceae,2,19,31,1,1,Canalized gene regulatory networks stabilize floral polymorphism and enable modular transgressive expression,10.64898/2026.04.16.719044,https://openalex.org/W7155106124,"rphisms frequently persist across heterogeneous environments despite ongoing gene flow, yet the regulatory mechanisms maintaining discrete phenotypes remain unclear. We tested whether alternative flower-colour morphs in Stellera chamaejasme L. are maintained by canalized gene regulatory architectures that stabilize expression around morph-specific optima. We used a pan-transcriptomic and eco-evolutionary framework integrating genome-wide gene expression pr",unreviewed
B,25,Camellia japonica,Theaceae,3,17,38,3,2,Transcriptome Analysis Reveals the Molecular Mechanisms Associated with Flower Color Formation in Camellia japonica ‘Joy Kendrick’,10.3390/f14010069,https://openalex.org/W4313361060,"Camellia japonica is a woody flower with high ornamental and economic value used for landscaping and as a pot plant. Floral colors are among the most important ornamental traits of flower plants, particularly multicolored flowers. The C.",unreviewed
B,26,Impatiens glandulifera,Balsaminaceae,3,15,42,3,0,Rapid morphological change in UK populations of Impatiens glandulifera,10.1038/s41598-024-69710-y,https://openalex.org/W4401729450,Rapid morphological change in UK populations of Impatiens glandulifera,unreviewed
B,53,Mimulus ringens,Phrymaceae,3,12,32,2,1,Multiple pollinator visits to Mimulus ringens (Phrymaceae) flowers increase mate number and seed set within fruits,10.3732/ajb.93.9.1306,https://openalex.org/W2107602903,Multiple pollinator visits to Mimulus ringens (Phrymaceae) flowers increase mate number and seed set within fruits,unreviewed
B,54,Euphorbia pulcherrima,Euphorbiaceae,2,12,24,2,0,Anthocyanin metabolic engineering of Euphorbia pulcherrima: advances and perspectives,10.3389/fpls.2023.1176701,https://openalex.org/W4376610086,Anthocyanin metabolic engineering of Euphorbia pulcherrima: advances and perspectives,unreviewed
B,55,Fagus sylvatica,Fagaceae,2,12,24,2,0,Genetic structure of natural stands of Fagus sylvatica L. (beech),10.1038/hdy.1994.37,https://openalex.org/W2334041803,Genetic structure of natural stands of Fagus sylvatica L. (beech),unreviewed
B,56,Hydrangea macrophylla,Hydrangeaceae,2,12,21,2,1,Multiple transcription factors and genes jointly regulate the light-dependent flavonoid biosynthesis mechanism of stem color in Hydrangea macrophylla,10.1186/s12870-026-08470-5,https://openalex.org/W7133221122,Multiple transcription factors and genes jointly regulate the light-dependent flavonoid biosynthesis mechanism of stem color in Hydrangea macrophylla,unreviewed
B,149,Cypripedium calceolus,Orchidaceae,2,17,30,1,2,"Temporal cycles and spatial asynchrony in the reproduction and growth of a rare nectarless orchid, Cypripedium calceolus",10.1093/botlinnean/bow008,https://openalex.org/W2591908540,"ermittent synchronous reproduction), it has attracted less attention in nonmasting species. Here, we studied intra-individual variation in the flowering intensity and plant size of a nonmasting, rare terrestrial orchid, Cypripedium calceolus, using long-term monitoring data from three populations in Finland and two populations in Estonia. Flowering intensity and plant size showed 2-year cycles, indicating that reproduction and growth were regulated by past",unreviewed
B,150,Anthurium andraeanum,Araceae,1,17,17,1,1,Comparative transcriptomic analysis reveals key components controlling spathe color in Anthurium andraeanum (Hort.),10.1371/journal.pone.0261364,https://openalex.org/W4225762892,"Anthurium andraeanum (Hort.) is an important ornamental in the tropical cut-flower industry. However, there is currently insufficient information to establish a clear connection between the genetic model(s) proposed and the putative genes i",unreviewed
B,151,Bienertia cycloptera,Amaranthaceae,1,17,17,1,1,Foliage colour influence on seed germination of Bienertia cycloptera in Arabian deserts,10.1111/njb.00974,https://openalex.org/W2314337769,Bienertia cycloptera (Chenopodiaceae) produces two types of leaf foliage colour (reddish and yellowish). In order to determine the role of leaf colour variation in regulating the germination characteristics and salinity tolerance during ger,unreviewed
B,152,Caldesia grandis,Alismataceae,1,17,17,1,1,"Fine-scale spatial genetic structure of an endangered marsh herb, Caldesia grandis (Alismataceae)",10.4238/2012.may.18.10,https://openalex.org/W2329801602,"The endangered marsh herb, Caldesia grandis, is native to China. We investigated the spatial structure of the genetic variation of three populations of C. grandis using RAPD markers and spatial autocorrelation analysis, based on the method of equal distance inter",unreviewed
