species,n_classifiable,H1_coarse_primary_morph,H1_coarse_secondary_morph,H1_coarse_second_fraction,continuous_major_n,continuous_minor_n,continuous_minor_fraction,continuous_hellinger_separation_ratio,continuous_vs_coarse_nmi,delta_norm,coarse_n_white,coarse_n_yellow_orange,coarse_n_red_pink,coarse_n_blue_purple,mu1_white,mu2_white,delta_white,mu1_yellow,mu2_yellow,delta_yellow,mu1_orange,mu2_orange,delta_orange,mu1_red,mu2_red,delta_red,mu1_pink,mu2_pink,delta_pink,mu1_magenta,mu2_magenta,delta_magenta,mu1_purple,mu2_purple,delta_purple,mu1_blue,mu2_blue,delta_blue,mu1_bronze,mu2_bronze,delta_bronze
Persicaria amphibia,55,red_pink,white,0.45454545454545453,31,24,0.43636363636363634,1.6887730894582669,0.4238412680490682,0.6081794199294029,25,5,25,0,0.30902961974469584,0.6070922020126385,0.29806258226794263,0.007790605724057249,0.0028759690903087712,-0.004914636633748477,0.00043875028414797746,0.022203732428048392,0.021764982143900415,0.01594738467962565,0.02525591619277733,0.00930853151315168,0.579471323411813,0.09219271609503271,-0.48727860731678024,0.031725085435283525,0.0003593890386343209,-0.031365696396649205,0.01133902968825083,0.0006501975149911792,-0.01068883217325965,0.0024405961804200957,0.0028140292231738813,0.0003734330427537856,0.04181760485170578,0.24655584840439496,0.2047382435526892
Persicaria longiseta,50,red_pink,white,0.42,27,23,0.46,1.534845473120772,0.9140235095891772,0.5846172205388227,21,2,27,0,0.22634129930865482,0.6262643366037632,0.3999230372951084,0.0005316756707085565,0.05935657096408281,0.05882489529337426,0.0003439020361975563,0.000321932033212017,-2.1970002985539287e-05,0.020958662697642922,7.00682376711246e-05,-0.020888594459971797,0.6126248704530424,0.1924555753664415,-0.42016929508660084,0.022753111763041685,0.0012413703202465928,-0.021511741442795093,0.026140557202858142,0.007216503272487045,-0.018924053930371096,0.005028496511060822,0.003766001227681938,-0.0012624952833788835,0.0852774243567931,0.10930764197441359,0.02403021761762049
Phacelia sericea,60,blue_purple,white,0.13333333333333333,52,8,0.13333333333333333,2.425860127265888,0.637386742918918,0.7532053571259762,8,7,0,45,0.259758312874403,0.22176052094334403,-0.037997791931058955,0.0096445395245607,0.18662884789783143,0.17698430837327073,0.000275409589094471,0.020166281923257864,0.019890872334163392,0.0001946046681951982,0.0,-0.0001946046681951982,0.04995496821485113,0.002566433678593288,-0.04738853453625785,0.001851831287131191,0.0,-0.001851831287131191,0.4441520494199542,0.008290904883128903,-0.4358611445368253,0.2210414180761949,0.004345059014117102,-0.2166963590620778,0.013126866345615218,0.5562419516597273,0.5431150853141121
Phacelia tanacetifolia,55,white,blue_purple,0.18181818181818182,30,25,0.45454545454545453,1.281682804084742,0.27993073135663527,0.4005460268022107,43,2,0,10,0.7584795770218258,0.5109359893026503,-0.2475435877191755,0.051088575178729556,0.011308996034573289,-0.039779579144156266,0.00015230495434468005,3.492182273773202e-05,-0.00011738313160694803,4.6775130637313343e-05,7.846680002580804e-05,3.16916693884947e-05,0.04220199234302523,0.02166933253825013,-0.020532659804775096,6.765899864680002e-06,0.00011441820610398402,0.00010765230623930402,0.01798099699910033,0.06061982564225601,0.04263882864315568,0.07895510076885905,0.38500720531437027,0.30605210454551124,0.051087911703613244,0.010230844339032558,-0.04085706736458068
Phlox divaricata,58,white,blue_purple,0.3793103448275862,36,22,0.3793103448275862,2.257480637876159,0.8711009114161214,0.8844898822670934,33,2,1,22,0.8213603963113771,0.1784145734612856,-0.6429458228500915,0.05611720627952738,0.0013755965981289912,-0.05474160968139839,5.115047651783927e-07,6.947498829549093e-05,6.896348353031253e-05,0.0,0.00018067480692065003,0.00018067480692065003,0.025415624021112488,0.015243322813329392,-0.010172301207783096,0.0,0.0,0.0,0.012704196425677657,0.12856354369129208,0.11585934726561442,0.078885959758738,0.6725322201322682,0.5936462603735302,0.005516105698802155,0.0036205935084796053,-0.00189551219032255
Pholistoma auritum,58,blue_purple,white,0.15517241379310345,47,11,0.1896551724137931,2.411080247954847,0.8030198626125088,0.8229623415842976,9,0,1,48,0.130526031622528,0.7342929382489146,0.6037669066263867,0.0020943510574361404,0.008778730327044989,0.006684379269608848,0.0,3.6116598827655217e-06,3.6116598827655217e-06,0.0,0.0,0.0,0.03656201821157331,0.13106741157238513,0.09450539336081182,0.0028481964210330816,0.0,-0.0028481964210330816,0.5361329716293872,0.02063969630435049,-0.5154932753250367,0.28806384129668156,0.09326091750316427,-0.19480292379351727,0.0037725897613609134,0.011956694384257737,0.008184104622896824
Pimelea flava,66,yellow_orange,white,0.22727272727272727,51,15,0.22727272727272727,2.8763090260035242,1.0000000000000002,0.9065284429437519,15,51,0,0,0.10825339379883667,0.7702459871284888,0.6619925933296521,0.8035213348330601,0.1852527719357661,-0.618268562897294,0.009920769535134598,0.0013702372566414822,-0.008550532278493115,9.518986706924904e-05,0.0,-9.518986706924904e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07820931196589943,0.043131003679103636,-0.0350783082867958
Pistacia lentiscus,46,yellow_orange,red_pink,0.3695652173913043,33,13,0.2826086956521739,1.625075990140233,0.30429744140047893,0.5681522788135621,3,26,17,0,0.05260127805825288,0.3833589863334855,0.3307577082752326,0.04446449245798739,0.2958428950158891,0.2513784025579017,0.04693594521801122,0.027653942008585213,-0.019282003209426007,0.3565140733514539,0.0015191527607172543,-0.3549949205907367,0.11485382637775317,0.014294249670412864,-0.10055957670734031,0.0006573651810957124,0.0,-0.0006573651810957124,0.0001241642454797772,0.0,-0.0001241642454797772,0.00020959921985290613,0.010300116698916718,0.010090517479063811,0.383639255890113,0.26703065751199345,-0.11660859837811954
Pittosporum bicolor,40,yellow_orange,white,0.4,22,18,0.45,1.3108905449100874,0.6593980668829458,0.5567057219457009,16,20,3,1,0.20632736918253994,0.6072354933234667,0.4009081241409268,0.34669699046842734,0.03886275693424371,-0.3078342335341836,0.04867367752760161,0.012416904410419954,-0.03625677311718165,0.03986456144535339,0.023876981001902872,-0.01598758044345052,0.015215087154833763,0.09924791702130324,0.08403282986646948,0.0,0.003335521484550866,0.003335521484550866,0.0,0.001051897518428649,0.001051897518428649,0.0,0.07218768489430037,0.07218768489430037,0.343222314221244,0.14178484341138356,-0.20143747080986044
Plantago lanceolata,43,white,yellow_orange,0.13953488372093023,23,20,0.46511627906976744,1.3098289666176812,0.18800129303420837,0.4044608334195062,36,6,0,1,0.5876276238776296,0.8543976018665228,0.26676997798889324,0.06863381991495289,0.03819622506249417,-0.03043759485245872,0.0036919640082097487,1.7140310582427756e-06,-0.003690249977151506,0.0011735777355538133,0.0,-0.0011735777355538133,1.233925911562609e-05,0.0003655370126299292,0.0003531977535143031,0.0,0.0,0.0,2.6441269533486963e-05,0.0005508382380262551,0.0005243969684927681,0.0007940122531855302,0.06418726993732819,0.06339325768414267,0.33804022168181935,0.0423008138519403,-0.29573940782987906
