species,inat_taxon_id,raw_results,locally_eligible_before_exclusion,local_rejected,wrong_taxon,prior_excluded,fresh_duplicate,after_observer_cap,retained,full_fixed_n,request_error,prospective_rank
Saponaria officinalis,56154,200,200,0,0,1,0,194,100,True,,35
Crocus tommasinianus,55875,200,200,0,0,2,0,183,100,True,,36
Linaria vulgaris,50790,200,200,0,0,12,0,180,100,True,,37
Symphyotrichum divaricatum,169457,200,200,0,0,1,0,135,100,True,,38
Emilia sonchifolia,121287,200,200,0,0,3,0,186,100,True,,39
Aegonychon purpurocaeruleum,546520,200,200,0,0,1,0,182,100,True,,40
Phyteuma hemisphaericum,117393,142,142,0,0,1,0,117,100,True,,41
Symplocarpus foetidus,48961,200,200,0,0,24,0,168,100,True,,42
Echium creticum,162205,200,200,0,0,0,0,190,100,True,,43
Bituminaria bituminosa,75771,200,200,0,0,2,0,180,100,True,,44
Pilosella caespitosa,711086,200,200,0,0,2,0,172,100,True,,45
Gentiana sedifolia,338233,158,158,0,0,2,0,138,100,True,,46
Orychophragmus violaceus,359576,200,200,0,0,1,0,166,100,True,,47
Rhus virens,121691,200,200,0,0,1,0,178,100,True,,48
Lobelia puberula,119142,200,200,0,0,1,0,164,100,True,,49
Cannabis sativa,75997,138,138,0,0,3,0,113,100,True,,50
Salvia chamelaeagnea,593699,200,200,0,0,1,0,149,100,True,,51
Houstonia longifolia,69753,200,200,0,0,1,0,154,100,True,,52
Oenanthe sarmentosa,60127,170,170,0,0,1,0,151,100,True,,53
Lantana velutina,164426,200,200,0,0,3,0,141,100,True,,54
Ipomoea cordatotriloba,135263,200,200,0,0,0,0,174,100,True,,55
Justicia pilosella,281124,200,200,0,0,0,0,182,100,True,,56
Umbilicus rupestris,129454,200,200,0,0,2,0,171,100,True,,57
Spiranthes romanzoffiana,50743,200,200,0,0,1,0,175,100,True,,58
Rhexia mariana,126318,200,200,0,0,2,0,154,100,True,,59
Coprosma grandifolia,70238,200,200,0,0,2,0,132,100,True,,60
Cassiope mertensiana,60530,200,200,0,0,1,0,183,100,True,,61
Campanula intercedens,905640,200,200,0,0,1,0,169,100,True,,62
Lactuca canadensis,53110,122,122,0,0,1,0,107,100,True,,63
Acacia podalyriifolia,75252,184,184,0,0,1,0,133,100,True,,64
Sonchus arvensis,79156,200,200,0,0,3,0,174,100,True,,65
Cynanchum acutum,438446,151,151,0,0,4,0,116,100,True,,66
Datura innoxia,161639,200,200,0,0,7,0,164,100,True,,67
Potentilla alba,204388,200,200,0,0,1,0,159,100,True,,68
Loeseliastrum matthewsii,58254,200,200,0,0,1,0,183,100,True,,69
Calochortus tolmiei,50840,200,200,0,0,0,0,186,100,True,,70
Caladenia leptochila,784963,200,200,0,0,2,0,120,100,True,,71
Verbascum phoeniceum,170141,200,200,0,0,3,0,160,100,True,,72
Senecio linearifolius,79048,200,200,0,0,1,0,176,100,True,,73
Erythrina crista-galli,162718,200,200,0,0,3,0,174,100,True,,74
Frasera speciosa,56352,200,200,0,0,0,0,191,100,True,,75
Sedum hispanicum,168738,200,200,0,0,1,0,161,100,True,,76
Lotus hirsutus,1154339,191,191,0,0,1,0,162,100,True,,77
Pasithea caerulea,557708,200,200,0,0,3,0,165,100,True,,78
Erysimum capitatum,50628,200,200,0,0,0,0,192,100,True,,79
Persicaria amphibia,78450,200,200,0,0,0,0,185,100,True,,80
Lespedeza cuneata,164566,200,200,0,0,1,0,188,100,True,,81
Mitella nuda,144149,197,197,0,0,1,0,136,100,True,,82
Campanula persicifolia,159764,200,200,0,0,47,0,149,100,True,,83
Sisyrinchium scabrum,284009,185,185,0,0,2,0,153,100,True,,84
Armeria pungens,342019,126,126,0,0,1,0,110,100,True,,85
Narcissus bulbocodium,57413,200,200,0,0,0,0,165,100,True,,86
Carica papaya,62811,197,197,0,0,9,0,184,100,True,,87
Leptosiphon bicolor,64245,200,200,0,0,0,0,180,100,True,,88
Asclepias obovata,158752,132,132,0,0,1,0,114,100,True,,89
Kniphofia uvaria,56035,200,200,0,0,1,0,183,100,True,,90
Clerodendrum paniculatum,343901,128,128,0,0,4,0,122,100,True,,91
Centaurea montana,48984,200,200,0,0,2,0,196,100,True,,92
Sabulina michauxii,836882,148,148,0,0,1,0,118,100,True,,93
Aquilegia vulgaris,51807,200,200,0,0,0,0,200,100,True,,94
Lespedeza capitata,125186,156,156,0,0,1,0,136,100,True,,95
Sambucus cerulea,143799,200,200,0,0,0,0,196,100,True,,96
Pulsatilla nuttalliana,881504,200,200,0,0,0,0,167,100,True,,97
Gentianopsis crinita,154320,151,151,0,0,1,0,128,100,True,,98
Leucopogon fasciculatus,409552,192,192,0,0,2,0,144,100,True,,99
Eurybia conspicua,162879,200,200,0,0,1,0,161,100,True,,100
Leycesteria formosa,127412,200,200,0,0,2,0,172,100,True,,101
Arctostaphylos columbiana,75505,200,200,0,0,1,0,166,100,True,,102
Persicaria longiseta,143803,200,200,0,0,1,0,181,100,True,,103
Argemone albiflora,127032,143,143,0,0,1,0,115,100,True,,104
Ipomopsis aggregata,52136,200,200,0,0,1,0,188,100,True,,105
Bellis sylvestris,82627,200,200,0,0,2,0,160,100,True,,106
Senega rugelii,1568931,142,142,0,0,1,0,108,100,True,,107
Brachyloma daphnoides,210147,200,200,0,0,1,0,130,100,True,,108
Xerochrysum viscosum,210124,200,200,0,0,1,0,116,100,True,,109
Cleomella arborea,1415102,200,200,0,0,0,0,195,100,True,,110
Rhododendron groenlandicum,180413,200,200,0,0,1,0,183,100,True,,111
Delphinium ajacis,401314,146,146,0,0,1,0,133,100,True,,112
Cephalaria leucantha,334574,149,149,0,0,1,0,126,100,True,,113
Zephyranthes chlorosolen,554401,200,200,0,0,1,0,191,100,True,,114
Mimosa microphylla,84005,200,200,0,0,1,0,172,100,True,,115
Euryomyrtus ramosissima,321119,200,200,0,0,1,0,176,100,True,,116
Vicia benghalensis,53333,185,185,0,0,1,0,155,100,True,,117
Scolymus hispanicus,79009,200,200,0,0,0,0,153,100,True,,118
Celastrus orbiculatus,64540,200,200,0,0,1,0,193,100,True,,119
Glandularia aristigera,465569,200,200,0,0,1,0,127,100,True,,120
Lachenalia lutea,588388,200,200,0,0,1,0,117,100,True,,121
Murdannia graminea,369959,181,181,0,0,2,0,142,100,True,,122
Rubus phoenicolasius,84227,111,111,0,0,1,0,107,100,True,,123
Oxalis tenuifolia,591292,200,200,0,0,0,0,139,100,True,,124
Asclepias fascicularis,56851,200,200,0,0,0,0,187,100,True,,125
Ornithogalum narbonense,82905,200,200,0,0,0,0,174,100,True,,126
Muscari commutatum,450280,118,118,0,0,2,0,104,100,True,,127
Zizia aurea,83154,200,200,0,0,0,0,196,100,True,,128
Acmispon americanus,57049,200,200,0,0,0,0,175,100,True,,129
Vicia cracca,52471,200,200,0,0,20,0,167,100,True,,130
Drosera rotundifolia,52658,200,200,0,0,1,0,176,100,True,,131
Verbascum lychnitis,133231,200,200,0,0,1,0,166,100,True,,132
Verbesina microptera,170166,200,200,0,0,1,0,159,100,True,,133
Pterostylis trullifolia,466837,200,200,0,0,1,0,111,100,True,,134
Stylidium androsaceum,145669,142,142,0,0,1,0,109,100,True,,135
Viola labradorica,133393,200,200,0,0,0,0,181,100,True,,136
Solanum nigrum,79141,200,200,0,0,25,0,168,100,True,,137
Sisyrinchium bellum,49918,200,200,0,0,24,0,158,100,True,,138
Hypoestes aristata,146786,200,200,0,0,1,0,105,100,True,,139
Euphorbia lathyris,77114,131,131,0,0,1,0,123,100,True,,140
Murdannia keisak,125685,129,129,0,0,1,0,108,100,True,,141
Ranunculus recurvatus,81802,200,200,0,0,0,0,173,100,True,,142
Colutea arborescens,76422,140,140,0,0,2,0,128,100,True,,143
Leucojum vernum,57510,200,200,0,0,1,0,172,100,True,,144
Acacia falcata,139914,157,157,0,0,2,0,127,100,True,,145
Aconitum napellus,131201,200,200,0,0,1,0,190,100,True,,146
Caladenia latifolia,204850,200,200,0,0,3,0,151,100,True,,147
Corybas oblongus,401076,200,200,0,0,0,0,132,100,True,,148
Crataegus marshallii,67818,200,200,0,0,0,0,186,100,True,,149
Rhynchosida physocalyx,167843,126,126,0,0,1,0,101,100,True,,150
Impatiens glandulifera,47892,200,200,0,0,14,0,178,100,True,,151
Mentzelia albicaulis,58195,200,200,0,0,1,0,152,100,True,,152
Campanula glomerata,84349,200,200,0,0,0,0,191,100,True,,153
Achillea filipendulina,157924,117,117,0,0,3,0,107,100,True,,154
Boechera breweri,75779,167,167,0,0,1,0,143,100,True,,155
Amsinckia menziesii,55436,200,200,0,0,0,0,186,100,True,,156
Astragalus missouriensis,158940,200,200,0,0,1,0,143,100,True,,157
Pilosella aurantiaca,711103,200,200,0,0,23,0,175,100,True,,158
Teucrium fruticans,181666,117,117,0,0,1,0,112,100,True,,159
Symphyotrichum novae-angliae,117443,200,200,0,0,0,0,187,100,True,,160
Heliosperma pusillum,746616,155,155,0,0,2,0,126,100,True,,161
Phacelia sericea,78524,200,200,0,0,3,0,169,100,True,,162
Hibbertia hypericoides,145403,200,200,0,0,4,0,161,100,True,,163
Simmondsia chinensis,79122,200,200,0,0,1,0,175,100,True,,164
Euphrasia collina,323350,169,169,0,0,2,0,127,100,True,,165
Oxalis corniculata,53168,200,200,0,0,20,0,174,100,True,,166
Vicia villosa,57317,200,200,0,0,1,0,196,100,True,,167
Torilis arvensis,56846,200,200,0,0,0,0,166,100,True,,168
Conoclinium coelestinum,119095,200,200,0,0,18,0,177,100,True,,169
Rhexia virginica,130690,200,200,0,0,0,0,181,100,True,,170
Sanguisorba minor,55736,200,200,0,0,0,0,189,100,True,,171
Claytonia virginica,117434,200,200,0,0,6,0,186,100,True,,172
Achillea ptarmica,54055,200,200,0,0,1,0,186,100,True,,173
Lobelia gibbosa,323155,200,200,0,0,1,0,162,100,True,,174
Platanthera elongata,551466,135,135,0,0,1,0,103,100,True,,175
Emmenanthe penduliflora,58173,200,200,0,0,1,0,178,100,True,,176
Bellardia viscosa,537967,200,200,0,0,1,0,198,100,True,,177
Oxalis luteola,119242,200,200,0,0,1,0,136,100,True,,178
Hieracium paniculatum,133237,200,200,0,0,0,0,182,100,True,,179
Ribes malvaceum,54942,200,200,0,0,1,0,167,100,True,,180
Lithophragma heterophyllum,53124,200,200,0,0,0,0,136,100,True,,181
Rapistrum rugosum,78835,200,200,0,0,1,0,155,100,True,,182
Toxicoscordion fremontii,49649,200,200,0,0,1,0,182,100,True,,183
Hovea heterophylla,823796,196,196,0,0,2,0,136,100,True,,184
Allium roseum,82895,200,200,0,0,1,0,190,100,True,,185
Sambucus racemosa,57824,200,200,0,0,20,0,175,100,True,,186
Pluchea odorata,60146,200,200,0,0,1,0,172,100,True,,187
Hydrangea quercifolia,83156,132,132,0,0,1,0,119,100,True,,188
Pelargonium capitatum,78375,200,200,0,0,1,0,149,100,True,,189
Fritillaria affinis,50618,200,200,0,0,0,0,193,100,True,,190
Spiraea tomentosa,48682,200,200,0,0,0,0,184,100,True,,191
Mitella diphylla,53793,200,200,0,0,1,0,183,100,True,,192
Ceanothus integerrimus,62227,200,200,0,0,1,0,190,100,True,,193
Megathyrsus maximus,1064938,200,200,0,0,1,0,135,100,True,,194
Utricularia purpurea,170089,200,200,0,0,1,0,164,100,True,,195
Thespesia populnea,82768,145,145,0,0,12,0,126,100,True,,196
Eulobus californicus,77107,200,200,0,0,1,0,167,100,True,,197
Digitalis lutea,161899,200,200,0,0,1,0,177,100,True,,198
Tithonia diversifolia,132451,200,200,0,0,6,0,152,100,True,,199
Erigeron philadelphicus,67820,200,200,0,0,16,0,181,100,True,,200
Silene flos-cuculi,740984,200,200,0,0,23,0,174,100,True,,201
Epidendrum radicans,54890,166,166,0,0,2,0,144,100,True,,202
Geranium incanum,566720,200,200,0,0,0,0,177,100,True,,203
Brassica napus,75869,191,191,0,0,2,0,170,100,True,,204
Delphinium parishii,68570,200,200,0,0,1,0,161,100,True,,205
Helichrysum stoechas,82641,200,200,0,0,1,0,150,100,True,,206
Umbellularia californica,48807,200,200,0,0,1,0,174,100,True,,207
Daphne gnidium,82836,200,200,0,0,1,0,131,100,True,,208
Tribulus terrestris,64238,200,200,0,0,32,0,152,100,True,,209
Gentiana calycosa,56350,200,200,0,0,0,0,184,100,True,,210
Brassica tournefortii,75870,200,200,0,0,0,0,140,100,True,,211
Ceanothus pauciflorus,626211,140,140,0,0,1,0,132,100,True,,212
Psilostrophe cooperi,78771,200,200,0,0,1,0,104,100,True,,213
Gagea lutea,126188,200,200,0,0,1,0,169,100,True,,214
Lamium maculatum,55828,200,200,0,0,0,0,199,100,True,,215
Hieracium umbellatum,55909,200,200,0,0,3,0,136,100,True,,216
Petasites japonicus,129038,200,200,0,0,2,0,193,100,True,,217
Escallonia pulverulenta,716435,144,144,0,0,2,0,107,100,True,,218
Potentilla recta,62211,200,200,0,0,29,0,166,100,True,,219
Veratrum album,85424,200,200,0,0,1,0,186,100,True,,221
Cyclamen graecum,482866,113,113,0,0,1,0,108,100,True,,222
Eranthis hyemalis,56871,200,200,0,0,0,0,194,100,True,,223
Aronia melanocarpa,128798,195,195,0,0,1,0,170,100,True,,224
Viguiera dentata,170221,200,200,0,0,1,0,164,100,True,,225
Schinus terebinthifolia,130872,175,175,0,0,2,0,166,100,True,,226
Sinapis alba,79123,158,158,0,0,2,0,128,100,True,,227
Centaurea calcitrapa,56865,200,200,0,0,3,0,155,100,True,,228
Lysiana exocarpi,481922,200,200,0,0,2,0,147,100,True,,229
Taraxacum officinale,47602,200,200,0,0,4,0,180,100,True,,230
Lepidium virginicum,77676,200,200,0,0,0,0,171,100,True,,231
Echium asperrimum,497786,170,170,0,0,1,0,154,100,True,,232
Phacelia purshii,166605,200,200,0,0,0,0,198,100,True,,233
Hydrocotyle sibthorpioides,128684,200,200,0,0,4,0,189,100,True,,234
Epilobium hirsutum,84517,200,200,0,0,34,0,163,100,True,,235
Aralia californica,52848,138,138,0,0,1,0,125,100,True,,236
Trichodesma zeylanicum,85369,132,132,0,0,4,0,115,100,True,,237
Sidalcea malviflora,48795,200,200,0,0,0,0,183,100,True,,238
Eriophorum virginicum,120356,200,200,0,0,2,0,182,100,True,,239
Acacia fimbriata,83377,155,155,0,0,2,0,114,100,True,,240
Chaenorhinum minus,62396,200,200,0,0,1,0,178,100,True,,241
Packera paupercula,127945,200,200,0,0,0,0,179,100,True,,242
Chylismia cardiophylla,76332,200,200,0,0,0,0,144,100,True,,243
Noccaea caerulescens,460172,169,169,0,0,1,0,140,100,True,,244
Viola ocellata,61782,200,200,0,0,0,0,163,100,True,,245
Crocus serotinus,210572,200,200,0,0,2,0,110,100,True,,246
Gelsemium sempervirens,83070,200,200,0,0,0,0,163,100,True,,247
Atropa bella-donna,159098,200,200,0,0,0,0,192,100,True,,248
Conopholis americana,59980,200,200,0,0,0,0,199,100,True,,249
Valeriana montana,130717,133,133,0,0,1,0,112,100,True,,250
Mikania scandens,119145,200,200,0,0,0,0,182,100,True,,251
Clintonia andrewsiana,51647,200,200,0,0,1,0,198,100,True,,252
Sisyrinchium striatum,243780,126,126,0,0,2,0,107,100,True,,253
Sisymbrium altissimum,56996,200,200,0,0,1,0,179,100,True,,254
Oxalis caprina,361074,200,200,0,0,0,0,169,100,True,,255
Eriogonum thomasii,77035,200,200,0,0,1,0,142,100,True,,256
Asimina parviflora,158769,200,200,0,0,1,0,152,100,True,,257
Agastache urticifolia,63316,200,200,0,0,1,0,160,100,True,,258
Phlox divaricata,81705,200,200,0,0,0,0,197,100,True,,259
Monoptilon bellioides,78118,200,200,0,0,1,0,182,100,True,,260
Spiranthes incurva,773387,148,148,0,0,1,0,125,100,True,,261
Lachenalia peersii,588412,200,200,0,0,2,0,123,100,True,,262
Porophyllum gracile,78700,200,200,0,0,1,0,137,100,True,,263
Phacelia tanacetifolia,58185,200,200,0,0,0,0,190,100,True,,264
Ambrosia salsola,75413,200,200,0,0,0,0,146,100,True,,265
Balduina angustifolia,127348,149,149,0,0,1,0,117,100,True,,266
Lupinus texensis,49564,200,200,0,0,0,0,197,100,True,,267
Neltuma odorata,1493155,150,150,0,0,1,0,113,100,True,,268
Chamaecytisus proliferus,1565678,200,200,0,0,1,0,177,100,True,,269
Herissantia crispa,77368,150,150,0,0,2,0,127,100,True,,270
Tagetes tenuifolia,289732,200,200,0,0,3,0,130,100,True,,271
Gymnadenia conopsea,131610,200,200,0,0,1,0,169,100,True,,272
Bejaria racemosa,126342,200,200,0,0,1,0,168,100,True,,273
Homalocephala texensis,870496,175,175,0,0,2,0,153,100,True,,274
Cirsium vulgare,52989,200,200,0,0,12,0,187,100,True,,275
Crocus nudiflorus,210566,200,200,0,0,1,0,182,100,True,,276
Crocidium multicaule,57524,200,200,0,0,1,0,162,100,True,,277
Cerastium tomentosum,160347,173,173,0,0,1,0,164,100,True,,278
Vaccinium myrsinites,170106,171,171,0,0,1,0,123,100,True,,279
Primula clevelandii,486971,200,200,0,0,0,0,176,100,True,,280
Clerodendrum trichotomum,67539,169,169,0,0,5,0,131,100,True,,281
Polygaloides paucifolia,497911,200,200,0,0,0,0,189,100,True,,282
Echinops ritro,162202,200,200,0,0,1,0,169,100,True,,283
Hemerocallis fulva,126583,200,200,0,0,1,0,195,100,True,,284
Viburnum lantana,124741,200,200,0,0,1,0,190,100,True,,285
Polemonium californicum,67525,123,123,0,0,1,0,106,100,True,,286
Erythranthe moschata,453644,200,200,0,0,0,0,186,100,True,,287
Parnassia glauca,118761,200,200,0,0,0,0,194,100,True,,288
Hypericum maculatum,163978,200,200,0,0,1,0,146,100,True,,289
Genista sagittalis,139079,114,114,0,0,1,0,105,100,True,,290
Anthemis cotula,52841,156,156,0,0,1,0,142,100,True,,291
Gentianopsis thermalis,145732,177,177,0,0,1,0,143,100,True,,292
Solanum rostratum,62642,200,200,0,0,1,0,187,100,True,,293
Mentha arvensis,58188,200,200,0,0,1,0,134,100,True,,294
Fagonia laevis,77126,200,200,0,0,0,0,164,100,True,,295
Salvia farinacea,148006,200,200,0,0,1,0,176,100,True,,296
Trifolium gracilentum,58165,200,200,0,0,0,0,165,100,True,,297
Anaphalioides trinervis,399505,200,200,0,0,1,0,146,100,True,,298
Medeola virginiana,54924,200,200,0,0,0,0,177,100,True,,299
Pistacia lentiscus,82600,200,200,0,0,1,0,154,100,True,,300
Drymocallis glandulosa,76716,200,200,0,0,1,0,171,100,True,,301
Verbena lasiostachys,53316,200,200,0,0,0,0,190,100,True,,302
Castilleja coccinea,49342,200,200,0,0,0,0,187,100,True,,303
Erythranthe alsinoides,771843,200,200,0,0,1,0,174,100,True,,304
Waltheria indica,130789,200,200,0,0,8,0,165,100,True,,305
Layia glandulosa,58003,200,200,0,0,1,0,182,100,True,,306
Funastrum clausum,277459,200,200,0,0,3,0,184,100,True,,307
Penstemon strictus,166444,158,158,0,0,1,0,139,100,True,,308
Physalis crassifolia,78565,200,200,0,0,1,0,186,100,True,,309
Isocoma menziesii,77511,200,200,0,0,1,0,168,100,True,,310
Eriogonum parvifolium,77018,200,200,0,0,1,0,185,100,True,,311
Geranium reuteri,450399,173,173,0,0,2,0,143,100,True,,312
Lysimachia arvensis,791928,200,200,0,0,1,0,196,100,True,,313
Campanula rotundifolia,62312,200,200,0,0,2,0,177,100,True,,314
Sium suave,79131,200,200,0,0,1,0,155,100,True,,315
Tillandsia stricta,525575,200,200,0,0,0,0,177,100,True,,316
Berteroa incana,75762,200,200,0,0,24,0,162,100,True,,317
Arnica cordifolia,75569,200,200,0,0,0,0,171,100,True,,318
Wigandia urens,126332,158,158,0,0,2,0,104,100,True,,319
Succisa pratensis,131203,200,200,0,0,2,0,191,100,True,,320
Trifolium arvense,79408,200,200,0,0,0,0,193,100,True,,321
Waireia stenopetala,406996,200,200,0,0,16,0,122,100,True,,322
Oclemena reticulata,126701,200,200,0,0,0,0,137,100,True,,323
Allium cirrhosum,1575146,139,139,0,0,1,0,102,100,True,,324
Justicia procumbens,354064,200,200,0,0,3,0,130,100,True,,325
Ornithogalum divergens,483101,136,136,0,0,1,0,119,100,True,,326
Melanthera nivea,131167,160,160,0,0,3,0,133,100,True,,327
Iris pumila,57646,200,200,0,0,1,0,129,100,True,,328
Salvia spathacea,64133,200,200,0,0,1,0,186,100,True,,329
Rubus ursinus,53445,200,200,0,0,0,0,187,100,True,,330
Lotus alpinus,487791,132,132,0,0,1,0,122,100,True,,331
Parthenium integrifolium,83893,200,200,0,0,0,0,158,100,True,,332
Lycopus europaeus,133036,200,200,0,0,1,0,171,100,True,,333
Psorodendron spinosum,1613594,200,200,0,0,1,0,124,100,True,,334
Pulmonaria officinalis,167599,200,200,0,0,0,0,184,100,True,,335
Plantago lanceolata,53178,200,200,0,0,9,0,167,100,True,,336
Jasione montana,55022,200,200,0,0,1,0,185,100,True,,337
Viola biflora,130720,200,200,0,0,1,0,192,100,True,,338
Crocanthemum canadense,204170,133,133,0,0,1,0,118,100,True,,339
Scutellaria elliptica,134213,129,129,0,0,1,0,122,100,True,,340
Solanum seaforthianum,169083,200,200,0,0,5,0,149,100,True,,341
Vinca difformis,82623,200,200,0,0,1,0,181,100,True,,342
Pterophylla racemosa,1399819,200,200,0,0,1,0,149,100,True,,343
Lamium album,55876,200,200,0,0,1,0,178,100,True,,344
Rosa setigera,128841,200,200,0,0,0,0,197,100,True,,345
Rubus ulmifolius,78895,173,173,0,0,2,0,130,100,True,,346
Gomphocarpus physocarpus,281273,200,200,0,0,3,0,124,100,True,,347
Platanthera transversa,355392,168,168,0,0,1,0,119,100,True,,348
Hibbertia dentata,321044,200,200,0,0,3,0,173,100,True,,349
Arctium lappa,75501,200,200,0,0,1,0,195,100,True,,350
Sabatia stellaris,126339,198,198,0,0,1,0,159,100,True,,351
Liatris pycnostachya,48691,200,200,0,0,1,0,187,100,True,,352
Linaria repens,133252,200,200,0,0,2,0,164,100,True,,353
Madia elegans,56974,200,200,0,0,0,0,159,100,True,,354
Pittosporum bicolor,323279,169,169,0,0,2,0,147,100,True,,355
Salvia pratensis,85338,200,200,0,0,48,0,142,100,True,,356
Synedrella nodiflora,169500,200,200,0,0,71,0,118,100,True,,357
Ligustrum quihoui,203827,200,200,0,0,2,0,167,100,True,,358
Leonurus quinquelobatus,603675,200,200,0,0,4,0,123,100,True,,359
Lythrum salicaria,61321,200,200,0,0,5,0,186,100,True,,360
Angelica sylvestris,158380,200,200,0,0,0,0,180,100,True,,361
Abutilon theophrasti,60214,200,200,0,0,2,0,195,100,True,,362
Paris polyphylla,522961,159,159,0,0,1,0,121,100,True,,363
Salvia columbariae,53200,200,200,0,0,0,0,186,100,True,,364
Operculina pteripes,277807,177,177,0,0,2,0,127,100,True,,365
Epilobium brachycarpum,52971,200,200,0,0,1,0,129,100,True,,366
Ilex aquifolium,53856,200,200,0,0,1,0,193,100,True,,367
Boykinia occidentalis,68213,126,126,0,0,1,0,122,100,True,,368
Phleum pratense,57190,200,200,0,0,0,0,178,100,True,,369
Zephyranthes carinata,277345,117,117,0,0,5,0,103,100,True,,370
Clematis aristata,321091,125,125,0,0,2,0,108,100,True,,371
Pontederia crassipes,962637,200,200,0,0,5,0,190,100,True,,372
Houstonia procumbens,133305,200,200,0,0,1,0,141,100,True,,373
Ranunculus bulbosus,78820,200,200,0,0,0,0,178,100,True,,374
Celosia argentea,160259,200,200,0,0,14,0,163,100,True,,375
Plectritis macrocera,57287,200,200,0,0,0,0,170,100,True,,376
Trimezia martinicensis,52397,200,200,0,0,6,0,148,100,True,,377
Balsamorhiza sagittata,62266,200,200,0,0,34,0,158,100,True,,378
Castilleja latifolia,57267,200,200,0,0,1,0,189,100,True,,379
Oenothera pallida,126663,200,200,0,0,1,0,176,100,True,,380
Calochortus catalinae,64411,200,200,0,0,0,0,179,100,True,,381
Hemizonia congesta,56960,200,200,0,0,0,0,173,100,True,,382
Gavilea longibracteata,739099,164,164,0,0,2,0,102,100,True,,383
Fouquieria splendens,49325,200,200,0,0,0,0,187,100,True,,384
Asimina angustifolia,158766,200,200,0,0,1,0,191,100,True,,385
Muehlenbeckia australis,366725,200,200,0,0,4,0,129,100,True,,386
Arctostaphylos pungens,58892,200,200,0,0,1,0,193,100,True,,387
Lilium parvum,59584,200,200,0,0,1,0,184,100,True,,388
Erica carnea,56306,200,200,0,0,0,0,181,100,True,,389
Lupinus bicolor,50614,200,200,0,0,1,0,186,100,True,,390
Watsonia meriana,79523,131,131,0,0,2,0,111,100,True,,391
Silene coronaria,485191,200,200,0,0,1,0,193,100,True,,392
Apocynum cannabinum,58795,200,200,0,0,0,0,187,100,True,,393
Aphyllon cooperi,802494,200,200,0,0,1,0,173,100,True,,394
Rosa palustris,82302,200,200,0,0,0,0,188,100,True,,395
Vachellia farnesiana,79472,200,200,0,0,2,0,192,100,True,,396
Burchardia congesta,462071,200,200,0,0,2,0,175,100,True,,397
Camissoniopsis cheiranthifolia,75976,200,200,0,0,1,0,180,100,True,,398
Silene baccifera,451454,200,200,0,0,2,0,166,100,True,,399
Leschenaultia biloba,1598897,143,143,0,0,1,0,116,100,True,,400
Amelanchier utahensis,61099,200,200,0,0,1,0,154,100,True,,401
Solidago sempervirens,126888,200,200,0,0,0,0,182,100,True,,402
Galium verum,84328,200,200,0,0,41,0,155,100,True,,403
Delphinium californicum,51858,200,200,0,0,0,0,156,100,True,,404
Cardamine pratensis,54531,200,200,0,0,29,0,167,100,True,,405
