species,genus,D,n_classifiable,reserve_log1p_span,opportunity_adjusted_D_rank_residual
Bidens laevis,Bidens,0.0,62,9.279726153766283,-135.4298387209191
Bistorta vivipara,Bistorta,0.170879316482734,53,9.449625963050824,-17.873095976875078
Blephilia ciliata,Blephilia,0.1104809913883638,69,7.256716457859218,21.23454853323507
Borrichia frutescens,Borrichia,0.0249959942316935,79,8.149142211019255,-55.34853063407989
Bunias orientalis,Bunias,0.026661796932067,74,8.679789727598676,-64.6744727792914
Buphthalmum salicifolium,Buphthalmum,0.056290695232094,69,6.837264448462609,-36.37327088123281
Cadaba aphylla,Cadaba,0.17965496728138,41,7.362775384199929,-85.2920995001669
Caladenia carnea,Caladenia,0.5754132231404958,44,7.468133162345865,83.06355103266941
Calochortus bruneaunis,Calochortus,0.2621878715814505,58,6.794031956951943,52.13854710678288
Calochortus splendens,Calochortus,0.5848800362154822,47,7.008664292890512,101.83859183082743
Calopogon barbatus,Calopogon,0.5649382716049383,45,6.691834869872351,84.7188864533918
Calotropis procera,Calotropis,0.2256515775034293,54,9.888106299176796,10.211569605146877
Calycoseris wrightii,Calycoseris,0.0917107583774251,63,7.058219112155514,-24.957976592590455
Calystegia macrostegia,Calystegia,0.1420118343195264,65,6.632232349169673,29.41105016049565
Calystegia spithamaea,Calystegia,0.1238185255198487,46,7.562110851103895,-96.18563624167217
Campanula giesekiana,Campanula,0.129855507599925,73,8.76414436322747,53.27356501004674
Canna flaccida,Canna,0.1371742112482852,54,9.514570996246723,-33.905234760526724
Cardamine douglassii,Cardamine,0.0322493953238376,61,7.375446045004367,-111.35892743249136
Cardamine flexuosa,Cardamine,0.0363511659807955,54,9.89743226919078,-137.231525703884
Carduus acanthoides,Carduus,0.333243751679656,61,9.892026278130045,92.32093387540365
Carpobrotus edulis,Carpobrotus,0.5772641762966945,61,9.900409514497522,185.3958084687841
Ceanothus fendleri,Ceanothus,0.1011080332409972,76,7.489719947955858,37.4739592881063
Centaurea scabiosa,Centaurea,0.6802721088435375,42,9.180657608367332,94.71406612753054
Centaurea solstitialis,Centaurea,0.04875,80,9.78304886643328,-14.668038948976147
Centratherum punctatum,Centratherum,0.5207939508506616,46,9.893123139555591,72.91935047284227
Cerastium holosteoides,Cerastium,0.1348760330578513,55,9.18907424665451,-28.995191621001766
Chamaenerion latifolium,Chamaenerion,0.4765625,48,9.313161065830185,56.29047220025464
Chrysosplenium alternifolium,Chrysosplenium,0.1014030612244898,56,8.361551407048854,-49.66509965647356
Cicendia quadrangularis,Cicendia,0.0758310249307478,76,9.488901300726312,14.947166718271092
Cicerbita alpina,Cicerbita,0.5105462412114656,43,8.150111570536957,51.57123367053947
Circaea canadensis,Circaea,0.1687398593834506,43,7.859737178255028,-80.50064593910582
Cirsium occidentale,Cirsium,0.5453898184407263,53,7.075544479794451,128.49795743872872
Cirsium undulatum,Cirsium,0.4822485207100592,52,8.029627051057691,86.52347587770112
Claytonia caroliniana,Claytonia,0.0281632653061223,70,7.744404386328587,-76.09589222943889
Cleomella lutea,Cleomella,0.0,71,7.33221082898394,-95.34862569877896
Clinopodium gracile,Clinopodium,0.3168854685378,47,9.69059816829814,1.0274380899280402
Clinopodium vulgare,Clinopodium,0.6454081632653061,56,9.898450559199768,177.73323318031072
Cochemiea grahamii,Cochemiea,0.2598347107438017,55,6.706017195895822,33.88784172954291
Collinsia tinctoria,Collinsia,0.240702479338843,44,6.457368759938395,-46.205997503500384
Conradina canescens,Conradina,0.0281632653061223,70,5.802452791148205,-76.53016487104581
Convolvulus angustissimus,Convolvulus,0.5405917159763314,65,7.356529395771503,192.58475921713838
Corethrogyne filaginifolia,Corethrogyne,0.5070153061224489,56,7.269312381081495,129.96651734409437
Cornus mas,Cornus,0.0876951331496784,66,9.257756266740506,-14.75412866192329
Cornus unalaschkensis,Cornus,0.0665873959571936,58,8.08725707113841,-71.93017523534542
Corydalis flavula,Corydalis,0.0370238519045924,53,7.563086688372159,-142.31335858595244
Cosmos sulphureus,Cosmos,0.0363511659807955,54,9.901725620387383,-137.15665111050347
Crepis vesicaria,Crepis,0.0532933008069056,73,9.901684546735511,-22.81013225075766
Cunila origanoides,Cunila,0.2265625,48,7.577248244746209,-28.104865652794416
Cyclospermum leptophyllum,Cyclospermum,0.3140987507436049,41,9.890496359199531,-32.61223819227189
Cydonia oblonga,Cydonia,0.0338882282996433,58,9.825543279480442,-119.1127069594121
Cymbalaria muralis,Cymbalaria,0.2888047593293672,43,9.903263803535731,-29.913629127002707
Cynoglossum creticum,Cynoglossum,0.3790087463556851,49,9.631872979802337,39.64127422475687
Cynoglossum officinale,Cynoglossum,0.4878048780487805,41,9.2869416708292,29.199077832409216
Dactylorhiza sambucina,Dactylorhiza,0.67875,40,7.843287400200737,81.81062995623961
Delairea odorata,Delairea,0.0,71,9.896020933047213,-94.61784966738526
Delphinium bicolor,Delphinium,0.1484044598231451,51,7.103062542381584,-49.84180478957731
Delphinium nudicaule,Delphinium,0.3594952293013235,57,6.634450577280845,85.54868421828104
Delphinium nuttallianum,Delphinium,0.1659259259259259,45,7.57060577748797,-75.0115650104384
Descurainia sophia,Descurainia,0.2923456790123457,45,9.460280506759124,-19.571302401361038
Dichelostemma multiflorum,Dichelostemma,0.3168854685378,47,6.437372425334519,0.24874231877080888
Dillwynia floribunda,Dillwynia,0.0,62,7.043227098838766,-136.02284550049265
Diplacus puniceus,Diplacus,0.3513313609467455,52,5.777656910539097,48.002348707772796
Disphyma australe,Disphyma,0.0649999999999999,60,7.218097470863706,-65.32274617794141
Dittrichia graveolens,Dittrichia,0.0739644970414201,52,9.902093674033392,-105.94341701742974
Drosera brevifolia,Drosera,0.0,57,9.077074959063502,-161.3583090021454
Drosera macrantha,Drosera,0.3702385190459237,53,6.740334858954548,63.44404773149475
Dyssodia tagetiflora,Dyssodia,0.0,85,7.004989382101465,-67.92888554258572
Echium vulgare,Echium,0.0596449704142012,65,9.901449501020188,-45.6245650767635
Elephantopus tomentosus,Elephantopus,0.1087278106508875,52,9.535092621593067,-72.19200066745299
Erica arborea,Erica,0.1420118343195264,52,9.89955427055616,-44.99133675719327
Erica tetralix,Erica,0.6364014993752602,49,7.96247208535941,125.32380594882355
Ericameria ericoides,Ericameria,0.1619753086419753,45,6.468593204950996,-77.3110633839604
Erigenia bulbosa,Erigenia,0.0,63,7.405851027025957,-127.83218727571125
Erigeron annuus,Erigeron,0.0,80,9.49097699882742,-69.20996872126923
Erigeron divergens,Erigeron,0.0918367346938776,84,8.21135155541344,36.44640081017097
Erigeron glaucus,Erigeron,0.3616863905325445,52,9.10050253837272,52.67322506446209
Erigeron pulchellus,Erigeron,0.1673132062742452,77,7.695468350409269,90.89676164711747
Erigeron quercifolius,Erigeron,0.0746219592373438,78,7.245757806029384,18.198058609875034
Erigeron speciosus,Erigeron,0.4653835104854926,59,9.162518163390988,120.28847195377085
Eriogonum wrightii,Eriogonum,0.0939916716240334,41,7.589635730236961,-149.18128510196374
Erodium cicutarium,Erodium,0.5907372400756143,46,9.88223403963068,97.3714307330788
Erysimum concinnum,Erysimum,0.1031404958677686,55,5.517042956381052,-55.205002766248924
Erythranthe bicolor,Erythranthe,0.0570934256055364,68,6.375592949694171,-37.89008594806259
Erythranthe guttata,Erythranthe,0.0,60,9.86517472905992,-146.1428848700464
Erythranthe nasuta,Erythranthe,0.086776859504132,66,7.744345121785608,-16.05662201918051
Erythronium grandiflorum,Erythronium,0.155,60,7.712024556468386,11.904872585935351
Erythronium montanum,Erythronium,0.2149104539775095,49,6.393221990520359,-28.13742154640036
Euploca procumbens,Euploca,0.0327777777777777,60,9.886187375063331,-113.10095509775331
Ferocactus cylindraceus,Ferocactus,0.0464852607709751,42,6.2698018613485775,-200.9628001966292
Filipendula rubra,Filipendula,0.643664485425342,41,7.591575889112492,82.82170988177148
Forestiera pubescens,Forestiera,0.0416478044363965,47,7.845264585669008,-175.3229750070927
Frasera fastigiata,Frasera,0.41125,40,5.422916888542875,-4.6685674413956235
Fumaria officinalis,Fumaria,0.3940024989587672,49,9.885251393908964,42.73112373681349
Galearis rotundifolia,Galearis,0.0,63,8.580790642401839,-127.49375411363138
Galeopsis bifida,Galeopsis,0.1144,50,9.312800518888071,-80.59269668118131
Galium mollugo,Galium,0.2002314814814815,72,9.223291365903206,88.64048341236138
Galium palustre,Galium,0.0,76,9.898820643481027,-77.36115432267485
Gardenia jasminoides,Gardenia,0.1219281663516067,46,9.654599707074096,-98.20344386030172
Gentiana clusii,Gentiana,0.1009541397353033,57,7.443784844605282,-47.217707050371814
Gentiana linearis,Gentiana,0.1630622837370243,68,7.641279236349685,54.96032714895816
Geobalanus oblongifolius,Geobalanus,0.46875,40,6.974438804159794,7.969201810424522
Geranium caespitosum,Geranium,0.5536332179930796,51,7.275012221228843,116.71809488512704
Geranium carolinianum,Geranium,0.1155029585798816,65,9.537991315449604,9.147816159359792
Geranium sibiricum,Geranium,0.0525931336742147,74,9.350340156119382,-21.53071356000082
Gilia tricolor,Gilia,0.1871240810871017,67,9.130222006101947,63.08390076664749
Glandularia bipinnatifida,Glandularia,0.5093877551020408,70,8.012891758020887,197.98197734767683
Glebionis segetum,Glebionis,0.0,79,9.90111943002821,-70.36933323644472
Globularia repens,Globularia,0.302866414277988,86,7.023321185015178,156.4140863662924
Gomphrena serrata,Gomphrena,0.2030738221214412,63,9.860408231240594,55.257824520127144
Goodyera pubescens,Goodyera,0.25350837483024,47,7.888140313590415,-24.813990055887047
Grewia occidentalis,Grewia,0.4716553287981859,42,9.796626118539624,21.86381531429157
Grindelia squarrosa,Grindelia,0.0,71,9.272288058295167,-94.84546843126196
Gymnadenia rhellicani,Gymnadenia,0.6515369146796897,59,7.343407361873693,193.8362294097526
Helenium puberulum,Helenium,0.1325133902003571,71,6.968120050172684,46.040559903017936
Hemiandra pungens,Hemiandra,0.1597242171789715,59,6.422904742513957,9.638560483228105
Herbertia lahue,Herbertia,0.4834710743801652,66,9.845733949916651,168.36866567122075
Heterotheca grandiflora,Heterotheca,0.0532933008069056,73,8.449106530412628,-23.26237479477591
Heuchera cylindrica,Heuchera,0.3199999999999998,55,7.211471442996018,55.986676192805135
Hibbertia aspera,Hibbertia,0.0302958579881655,65,7.752558570870858,-92.21757185633706
Hibiscus pedunculatus,Hibiscus,0.5304,50,9.37258007379906,100.42826820496524
Hieracium venosum,Hieracium,0.0920915712799166,62,7.425575471707755,-29.38208126493734
Hippocrepis comosa,Hippocrepis,0.0,70,7.7305885282181315,-99.60487718064455
Honckenya peploides,Honckenya,0.4763705103969753,46,9.224398855686331,42.197721676436004
Hottonia palustris,Hottonia,0.0,75,8.03067366831145,-80.04934202209378
Houstonia micrantha,Houstonia,0.0522666666666664,75,7.6481546479680995,-20.678126322708266
Hymenoxys grandiflora,Hymenoxys,0.0,71,6.641357182786686,-95.5073598367456
Hypericum tetrapetalum,Hypericum,0.0828571428571427,70,6.664478201730976,-1.452295293930078
Hypoxis decumbens,Hypoxis,0.1344255408527619,69,8.907825852078815,38.65384625616589
Ilex glabra,Ilex,0.0677131425053862,57,7.923508152206718,-74.03201805878814
Impatiens balsamina,Impatiens,0.436381960191484,63,9.901503883208838,138.42853859303466
Ipomoea amnicola,Ipomoea,0.0333237575409364,59,8.954220324174461,-115.25944778599268
Ipomoea nil,Ipomoea,0.5546457814168744,53,9.899285167447866,134.3365528845903
Ipomoea quamoclit,Ipomoea,0.2034339229968782,62,9.89747203873603,48.306764994163274
Ipomoea triloba,Ipomoea,0.6235207100591715,52,9.897254126465327,139.9727234379841
Ipomopsis rubra,Ipomopsis,0.4783057851239669,44,7.627126994580482,36.1204557236386
Iris japonica,Iris,0.0298438934802571,66,9.888774726952054,-88.56244970286917
Iris sibirica,Iris,0.2030178326474623,54,9.146102243626974,0.9809558575348944
Kalmia angustifolia,Kalmia,0.0327777777777777,60,7.807095067010173,-113.559187609242
Kennedia coccinea,Kennedia,0.2631427750646367,59,6.5050322467197965,59.65054041816899
Kennedia prostrata,Kennedia,0.06103515625,64,8.13452117644068,-47.17069960373664
Kunzea capitata,Kunzea,0.515,40,6.537196658495789,37.40031718451445
Lactuca biennis,Lactuca,0.3487499999999999,40,8.451642607483175,-21.066575710616405
Lactuca perennis,Lactuca,0.4861928474422816,47,7.676037255243874,60.10814036699722
Lapageria rosea,Lapageria,0.2142857142857143,42,6.555190823726102,-66.9208704243361
Lathyrus aphaca,Lathyrus,0.1823146397815584,69,9.339724140332502,70.78263055678038
Lathyrus clymenum,Lathyrus,0.2016528925619835,55,8.511086898910015,7.396988964530294
Lathyrus tingitanus,Lathyrus,0.1707818930041151,54,9.90381870336294,-11.635686224356931
Legousia speculum-veneris,Legousia,0.2823691460055095,66,8.04564539056946,99.03622247661133
Lepidium perfoliatum,Lepidium,0.2565289256198347,55,9.773787807967938,30.63658766334794
Leucanthemum vulgare,Leucanthemum,0.2631135098667567,77,9.873509219311885,135.36996907728226
Leucojum aestivum,Leucojum,0.0,51,9.89462130637864,-203.0451391160088
Lilium martagon,Lilium,0.548907388137357,62,9.194658567283827,183.03721645799348
Linaria purpurea,Linaria,0.3760092272202999,51,9.876201726502346,50.38597625808117
Lindera benzoin,Lindera,0.0505987518974531,77,7.729294511248833,-17.588263434206425
Linum alpinum,Linum,0.5439053254437869,65,7.618289655848906,194.71054853401765
Linum usitatissimum,Linum,0.3662306777645661,58,9.900801994551792,95.06100209723064
Lobelia pedunculata,Lobelia,0.0505987518974531,77,9.870076120412785,-17.139015873923398
Loeselia mexicana,Loeselia,0.0966666666666666,60,7.422806005676456,-36.22690669841435
Lomatium columbianum,Lomatium,0.4918032786885244,61,5.014939418219533,145.3655340638684
Lomatium geyeri,Lomatium,0.0256367009613762,77,6.20992450468612,-58.49258623846114
Lomatium macrocarpum,Lomatium,0.364158163265306,56,7.665592055825425,83.14921135194282
Lomatium triternatum,Lomatium,0.0635633270321363,92,7.384876867145044,14.376857624579273
Lotus tenuis,Lotus,0.0273919753086417,72,9.883946880823949,-69.17382759605495
Ludwigia decurrens,Ludwigia,0.1089795918367346,70,9.761471560337906,25.30244060734539
Ludwigia peploides,Ludwigia,0.0555102040816326,70,9.886289537969146,-32.616694831803656
Lunaria annua,Lunaria,0.6030615877536489,53,9.90222274120533,145.39944754302994
Lupinus excubitus,Lupinus,0.2965976331360948,52,6.2924916114443885,25.02930356138978
Lupinus formosus,Lupinus,0.46875,40,6.855887997669453,7.948236924277978
Lupinus nanus,Lupinus,0.1575505350772887,58,6.970706343511575,3.1625069766646448
Lysimachia europaea,Lysimachia,0.0920915712799166,62,9.163490135114683,-28.974763476947402
Lysimachia lanceolata,Lysimachia,0.0570934256055364,68,7.657449030661091,-37.53068789983618
Lysimachia nemorum,Lysimachia,0.060546875,64,7.926365510594498,-48.221614327235386
Lysimachia vulgaris,Lysimachia,0.0583648919581198,67,9.20531142833988,-39.883154412265085
Marah oregana,Marah,0.1026785714285714,56,7.149304518226986,-49.0814023956691
Marcus-kochia littorea,Marcus-kochia,0.6320153061224489,56,7.186656184197083,172.9275825555365
Matelea edwardsensis,Matelea,0.336734693877551,42,6.15934956122287,-14.96879016409963
Megaskepasma erythrochlamys,Megaskepasma,0.0928019036287923,41,9.895628082534191,-149.58528333865496
Monarda citriodora,Monarda,0.5375878853434289,43,8.27039006213403,62.58920357295074
Moricandia arvensis,Moricandia,0.4855820576717694,53,7.739284363841314,97.77349594236895
Nandina domestica,Nandina,0.2975206611570247,44,9.876310476439372,-20.36440707390352
Nemastylis geminiflora,Nemastylis,0.5732248520710058,52,7.106897535839938,129.16707281320993
Nuphar lutea,Nuphar,0.148283038501561,62,8.970177063392818,16.97731678328907
Nymphoides indica,Nymphoides,0.2456140350877192,57,9.835536153083964,39.33037497317349
Oenothera primiveris,Oenothera,0.1120242214532871,68,7.0760509283497885,17.72971340134623
Oenothera speciosa,Oenothera,0.3277501131733816,47,9.848286652307197,4.563377894750687
Olearia arborescens,Olearia,0.1207075962539023,62,7.116846641403928,-3.504875598081327
Ononis natrix,Ononis,0.029405212742259,67,8.29453220368077,-86.52092366408522
Opuntia fragilis,Opuntia,0.2705112960760997,58,7.91246634539837,57.524900008626275
Opuntia humifusa,Opuntia,0.0634238108035474,61,9.404048841502735,-62.8467852137687
Opuntia macrorhiza,Opuntia,0.1420118343195264,52,9.325964386870156,-45.239920407216516
Ornithogalum umbellatum,Ornithogalum,0.056290695232094,69,9.882496164106604,-35.57660520766426
Ornithopus pinnatus,Ornithopus,0.0,59,9.89369062068654,-149.95695442873546
Osmorhiza berteroi,Osmorhiza,0.1738165680473373,52,9.455708164951774,-23.70697558612909
Oxalis acetosella,Oxalis,0.1067995728017088,53,9.185247668464594,-65.45396053772603
Oxalis incarnata,Oxalis,0.1313912009512484,58,9.871453349511766,-16.08874708953033
Oxalis smalliana,Oxalis,0.5897542690545606,49,7.236821546957218,114.02430757530149
Palafoxia arida,Palafoxia,0.1219281663516067,46,7.206948074594841,-98.84137539590364
Palafoxia texana,Palafoxia,0.3461457676958621,69,6.08079700672808,138.0278946555049
Palustricodon aparinoides,Palustricodon,0.0624349635796044,62,7.98359258170313,-57.16644243600146
Papaver somniferum,Papaver,0.6144000000000001,50,9.901287225038962,125.69182677366459
Patersonia sericea,Patersonia,0.2844444444444445,75,7.341494540220135,136.16613452306026
Pavonia hastata,Pavonia,0.258512396694215,55,9.872033186471144,31.678517435641027
Pedicularis sylvatica,Pedicularis,0.510410469958358,41,7.998528443084688,39.96247411732685
Penstemon davidsonii,Penstemon,0.2176,50,7.442922511424822,-21.035954273993895
Perideridia kelloggii,Perideridia,0.0475907198096372,82,5.268400887785556,-15.68462737210622
Persicaria capitata,Persicaria,0.3326124567474048,68,9.897292019482066,125.54434897732605
Phacelia hastata,Phacelia,0.22625,40,7.501081320411192,-73.3361242467862
Philotheca spicata,Philotheca,0.5122865472719701,49,6.343776233400141,85.85059851865876
Phyllota phylicoides,Phyllota,0.0392000000000001,50,7.249293544782063,-160.62879876978573
Physocarpus malvaceus,Physocarpus,0.0831758034026464,69,7.460038803386361,-4.6636220197674305
Pigea calycina,Pigea,0.4621487603305785,55,6.115373234444199,95.80997215242718
Pimelea prostrata,Pimelea,0.0333237575409364,59,7.242373946849002,-115.69971039507004
Pittocaulon praecox,Pittocaulon,0.1207075962539023,62,6.857327742763082,-3.5557903215800764
Platysace lanceolata,Platysace,0.0,72,7.379642811950218,-90.31475411539209
Plumbago zeylanica,Plumbago,0.0665873959571936,58,9.895736306286256,-71.50189256120899
Polygala virgata,Polygala,0.6287499999999999,40,9.453543139434522,73.12510324843771
Pontederia azurea,Pontederia,0.3705621301775147,52,8.620396605331761,56.62231034096334
Portulaca amilis,Portulaca,0.0785244704163623,74,9.423143091179234,12.984261358675283
Portulaca pilosa,Portulaca,0.059228650137741,66,9.87434532133916,-42.60437947516226
Portulaca umbraticola,Portulaca,0.6039150354019158,49,9.901715988400412,118.86889298863358
Primula pauciflora,Primula,0.5293005671077504,46,8.33335312856395,75.05695744088064
Primula vulgaris,Primula,0.3348765432098766,72,9.900020259175434,146.93399181841295
Prunus ilicifolia,Prunus,0.2543402777777778,48,7.362202928692639,-18.209690083527136
Pseudognaphalium californicum,Pseudognaphalium,0.1362456747404843,68,6.920247573485561,36.690778612788364
Pseudorchis albida,Pseudorchis,0.5207939508506616,46,8.515296791125312,72.57492734329196
Ptilotus exaltatus,Ptilotus,0.0807291666666665,48,8.193625293290799,-122.89821177506425
Pulmonaria mollis,Pulmonaria,0.065,60,9.048153257805463,-63.85253373151184
Pulsatilla pratensis,Pulsatilla,0.4973230220107079,41,7.801237259604917,30.902574442622438
Pultenaea spinosa,Pultenaea,0.0,51,7.632500458149619,-203.61718100943582
Quincula lobata,Quincula,0.1542503283918184,73,7.585463668704204,72.00701145761217
Rafinesquia californica,Rafinesquia,0.0,53,7.012749555089749,-188.01701747994738
Rafinesquia neomexicana,Rafinesquia,0.0920915712799166,62,7.026861224958309,-29.52584048422787
Ranunculus auricomus,Ranunculus,0.0,73,8.389721755930278,-85.26536977851113
Ranunculus glaberrimus,Ranunculus,0.0273919753086417,72,7.428826762124562,-69.7877992617751
Ranunculus glacialis,Ranunculus,0.3305858765872131,67,8.224119571056836,118.97009138470912
Ranunculus polyanthemos,Ranunculus,0.051911111111111,75,8.575068400971613,-21.459492510037222
Raphanus raphanistrum,Raphanus,0.4833531510107015,58,9.899357156230112,128.03105225987844
Ratibida pinnata,Ratibida,0.075355632449058,51,7.805784446113955,-112.05129136726097
Rhexia alifanus,Rhexia,0.4019753086419754,45,7.36574451918321,19.89559049376976
Rhododendron columbianum,Rhododendron,0.0392000000000001,50,7.415446427956214,-160.55991414387566
Richardia grandiflora,Richardia,0.06718192627824,58,8.936973224116622,-70.32535080461275
Roldana barba-johannis,Roldana,0.0,54,7.358705552497764,-180.95930675154247
Romanzoffia sitchensis,Romanzoffia,0.1138659320477502,66,7.894866755869737,10.997287688053461
Rosa rubiginosa,Rosa,0.673913043478261,46,9.882345957906026,112.37442571681402
Rosa woodsii,Rosa,0.546639231824417,54,8.017840298784694,136.81024178462738
Rubus hispidus,Rubus,0.0357024793388429,55,7.714599148713456,-133.27971507584766
Rubus parviflorus,Rubus,0.1738165680473373,52,9.1226340820884,-23.82078496806747
Rubus pubescens,Rubus,0.0992865636147443,58,8.519806409825383,-42.8612906094354
Ruellia metziae,Ruellia,0.0281632653061223,70,8.071158991560715,-76.00304773364705
Ruellia simplex,Ruellia,0.3985890652557319,63,9.899624210929607,131.39858875568245
Sabatia angularis,Sabatia,0.50439453125,64,7.627168433741571,169.661581307091
Sabatia campestris,Sabatia,0.3455621301775146,65,6.942614259854136,120.4619648839944
Sagittaria platyphylla,Sagittaria,0.0357024793388429,55,9.74469364587656,-132.87239728785772
Salsola australis,Salsola,0.2962500000000001,40,9.628922147933048,-43.844946914210084
Salvia coccinea,Salvia,0.1721536351165981,54,9.796455613915365,-9.860310004498416
Salvia longispicata,Salvia,0.5376000000000001,50,7.417729121289771,101.94308083985956
Salvia lyrata,Salvia,0.1484044598231451,51,7.702696374791674,-49.58723117208362
Salvia misella,Salvia,0.5425347222222223,48,9.783390006419422,94.38331669604648
Salvia nemorosa,Salvia,0.3319452706722189,41,9.33939470350995,-25.78594724891468
Salvia texana,Salvia,0.1902497027348394,58,6.856215363751888,20.147532057988542
Salvia tiliifolia,Salvia,0.4296,50,9.757222102374552,55.49116286340487
Sambucus nigra,Sambucus,0.0619803476946334,63,9.899406991915544,-49.61039619552321
Scaevola crassifolia,Scaevola,0.2595486111111111,48,7.998744343050037,-13.949126498562947
Scaevola nitida,Scaevola,0.499054820415879,46,6.361554519939546,57.50588043360017
Schelhammera undulata,Schelhammera,0.5559076505205975,47,6.365256435999917,95.73676238382993
Scutellaria serrata,Scutellaria,0.3178980228928201,62,6.713465830933806,92.42324479227338
Sedum acre,Sedum,0.0,55,9.888382563425443,-172.77655780833067
Senecio odoratus,Senecio,0.0273919753086417,72,7.164869583097494,-69.90759861118387
Senecio viscosus,Senecio,0.1398975272889284,67,9.154934770725577,36.09288571785315
Senna lindheimeriana,Senna,0.0547510414600276,71,7.314605475027675,-30.35162068251418
Sidalcea sparsifolia,Sidalcea,0.5036982248520709,52,6.051311002440166,96.00833867524324
Silene dioica,Silene,0.2055150884495317,62,9.899544235889636,49.33072486404504
Silene gallica,Silene,0.2344045368620038,46,9.90298230653966,-38.46384516148413
Silene rotundifolia,Silene,0.200960219478738,54,6.128677021445912,-1.6929154828896174
Silphium integrifolium,Silphium,0.0370238519045924,53,7.289137988685489,-142.43016295162604
Simethis mattiazzi,Simethis,0.2426697530864195,72,7.627409988928701,109.30205025028151
Smallanthus uvedalia,Smallanthus,0.0416478044363965,47,8.114819497286918,-175.25708536491786
Solanum americanum,Solanum,0.3047520661157024,44,9.900761960109216,-18.232627789553874
Solidago hispida,Solidago,0.1060956790123456,72,8.097285477410885,30.45778940451298
Sphaerolobium minus,Sphaerolobium,0.0357024793388429,55,7.441317953597359,-133.39951442525648
Spiraea douglasii,Spiraea,0.388468809073724,46,9.21798775414504,23.191731708965563
Spiranthes australis,Spiranthes,0.3367626886145405,54,9.559446153015786,59.10375019067894
Stellaria pubera,Stellaria,0.0312421264802218,63,7.221772676966008,-98.41604682029742
Stephanomeria exigua,Stephanomeria,0.0785244704163623,74,7.524626428384688,12.541003765862698
Strophostyles helvola,Strophostyles,0.4556811421772755,41,7.9585476581684675,9.953489166121187
Symphyotrichum pilosum,Symphyotrichum,0.0673336938885882,86,9.37279325331192,20.0430329506886
Tagetes minuta,Tagetes,0.48,50,9.894211400551391,72.61395719654885
Tanacetum parthenium,Tanacetum,0.0984989036937089,77,9.90048987855497,37.50773832910235
