species,genus,D,n_classifiable,log1p_span_primary,opportunity_adjusted_D_rank_residual
Symphyotrichum puniceum,Symphyotrichum,0.2325702393340271,62,8.141409680306387,50.37002112123403
Symphyotrichum subulatum,Symphyotrichum,0.1379757785467126,68,9.90096413251358,-10.892723447100792
Symphytum officinale,Symphytum,0.5189035916824196,46,9.304570302028791,56.723893629290046
Symplocos tinctoria,Symplocos,0.5175308641975309,45,7.572989554821586,73.9773547907358
Talinum fruticosum,Talinum,0.3541666666666666,48,9.887768187231318,4.038559281544281
Talinum paniculatum,Talinum,0.422716049382716,45,9.89332105093722,3.059755436888395
Tanacetum vulgare,Tanacetum,0.0232525951557092,85,9.241995724216778,-73.5130609823881
Taraxacum erythrospermum,Taraxacum,0.231111111111111,75,9.38582508501908,84.5845888542253
Telekia speciosa,Telekia,0.0317377731529655,62,9.216991934587467,-119.34853291864223
Tetratheca thymifolia,Tetratheca,0.5590277777777778,48,7.177734731383712,114.49885991114212
Thysanocarpus curvipes,Thysanocarpus,0.2585463947141626,59,7.674230103728088,52.05993859667896
Tiarella stolonifera,Tiarella,0.1049382716049383,54,7.529677054216056,-55.870820191316824
Tinantia erecta,Tinantia,0.5659259259259259,45,9.0967535160324,74.67339819935876
Tithonia tubaeformis,Tithonia,0.0807291666666665,48,9.772310800163234,-144.4759017832365
Trachymene composita,Trachymene,0.1244444444444443,60,6.908922619033411,-13.003298414881243
Tragopogon porrifolius,Tragopogon,0.7076446280991735,44,9.90396454899794,78.17562063280792
Trifolium incarnatum,Trifolium,0.2714497041420118,52,9.897463377344044,-7.968491137240505
Trifolium repens,Trifolium,0.0798611111111109,72,9.897827146223747,-32.665416423102215
Tripolium pannonicum,Tripolium,0.1604081632653061,70,9.242031304651084,28.07884871985391
Triteleia laxa,Triteleia,0.2956194571351787,61,6.684792452159977,89.63997815883397
Trixis inula,Trixis,0.0,83,7.720619414085458,-69.91260512653565
Trollius albiflorus,Trollius,0.2003121748178979,62,7.733541050192196,33.979298141172166
Turnera subulata,Turnera,0.3394444444444444,60,9.903363029182785,59.32726031930119
Verbascum thapsus,Verbascum,0.2921597633136095,52,9.893415556991132,-1.1971404993652754
Verbena rigida,Verbena,0.52978515625,64,9.89219544190242,154.58351923595254
Veronica cymbalaria,Veronica,0.2921597633136095,52,9.903633100646486,-6.363579859834601
Veronica longifolia,Veronica,0.4694429421308814,43,9.18870138098331,12.289825871757955
Veronica officinalis,Veronica,0.086776859504132,66,9.874114089023593,-42.818967287360806
Veronica polita,Veronica,0.5423553719008264,44,9.88249433596476,44.55624829062123
Veronica prostrata,Veronica,0.3918183524113342,73,8.661331801179449,158.07882951141784
Veronica spicata,Veronica,0.3867743175701653,51,8.702998635940363,53.74278225340723
Vicia lathyroides,Vicia,0.5975056689342404,42,9.28546698588126,64.9976625867236
Viminaria juncea,Viminaria,0.0363511659807955,54,8.226977832416075,-133.5322118906619
Vincetoxicum hirundinaria,Vincetoxicum,0.297086368366285,62,8.52896399845108,71.23686963285857
Viola blanda,Viola,0.0767999999999999,50,7.696050525890067,-113.16183931495576
Viola cucullata,Viola,0.3394444444444444,60,8.148570558522161,86.63558265321055
Viola hirta,Viola,0.1675739644970415,65,8.770312043558562,18.720009456955523
Viola lutea,Viola,0.5776631620710176,71,7.624958841917998,237.5586091038295
Viola mirabilis,Viola,0.4886621315192743,42,8.57262251744426,26.706803222943336
Viola pedunculata,Viola,0.0,73,6.69443750128597,-77.73658623939178
Viola rostrata,Viola,0.3349932095971026,47,9.282254603118508,-5.61429910946714
Viola tricolor,Viola,0.5328925619834712,55,9.88102788773644,115.70775798034708
Viscaria vulgaris,Viscaria,0.3166666666666667,60,8.276234332244107,71.80706967480413
Vitex agnus-castus,Vitex,0.4260355029585799,52,9.54084462337272,59.85497418004161
Whipplea modesta,Whipplea,0.0317377731529655,62,7.228654654798145,-93.8115612226081
Wyethia angustifolia,Wyethia,0.11865234375,64,7.047761630386081,1.2580081628944129
Zanthoxylum americanum,Zanthoxylum,0.1913265306122449,56,7.732224007922534,-3.1739863663921426
Zephyranthes atamasco,Zephyranthes,0.3271999999999999,50,8.055957350335728,26.786046005637303
