batch_index,requested,api_results_returned,resolved_exact_photo,elapsed_seconds,first_breadth_rank,last_breadth_rank
63,200,200,200,4.877771854400635,12401,12600
64,200,200,200,4.0134851932525635,12601,12800
65,200,200,200,3.8537442684173584,12801,13000
66,200,200,200,5.0859150886535645,13001,13200
67,200,200,200,3.130255699157715,13201,13400
68,200,200,200,2.664022207260132,13401,13600
69,200,200,200,3.262753963470459,13601,13800
70,200,200,200,2.818981885910034,13801,14000
71,200,200,200,2.605679512023926,14001,14200
72,200,200,200,3.1525444984436035,14201,14400
73,200,200,200,3.231137990951538,14401,14600
74,200,200,200,4.027607440948486,14601,14800
75,200,200,200,2.9425735473632812,14801,15000
76,200,200,200,4.061936616897583,15001,15200
77,200,200,200,3.6554365158081055,15201,15400
78,200,200,200,4.165676116943359,15401,15600
79,200,200,200,2.816709280014038,15601,15800
80,200,200,200,5.351661443710327,15801,16000
81,200,200,200,4.96314001083374,16001,16200
82,200,200,200,3.1549532413482666,16201,16400
83,200,200,200,3.5223982334136963,16401,16600
84,200,200,200,3.0092129707336426,16601,16800
85,200,200,200,4.370047569274902,16801,17000
86,200,200,200,4.644412279129028,17001,17200
87,200,200,200,5.128592014312744,17201,17400
88,200,200,200,3.6541550159454346,17401,17600
89,200,200,200,4.782700300216675,17601,17800
90,200,200,200,4.405160903930664,17801,18000
91,200,200,200,3.873372793197632,18001,18200
92,200,200,200,4.484140396118164,18201,18400
93,200,200,200,3.8633532524108887,18401,18600
94,200,200,200,5.167553186416626,18601,18800
95,200,200,200,3.494609832763672,18801,19000
96,200,200,200,3.883425712585449,19001,19200
97,200,200,200,2.68526554107666,19201,19400
98,200,200,200,4.126497268676758,19401,19600
99,200,200,200,2.9953901767730713,19601,19800
100,200,200,200,4.6216654777526855,19801,20000
101,200,200,200,3.9871978759765625,20001,20200
102,200,200,200,4.401252269744873,20201,20400
103,200,200,200,4.81124210357666,20401,20600
104,200,200,200,4.061986684799194,20601,20800
105,200,200,200,3.5852859020233154,20801,21000
106,200,200,200,3.3290247917175293,21001,21200
107,200,200,200,2.7633650302886963,21201,21400
108,200,200,200,3.0729196071624756,21401,21600
109,200,200,200,2.855417013168335,21601,21800
110,200,200,200,3.675046443939209,21801,22000
111,200,200,200,3.8908684253692627,22001,22200
112,200,200,200,3.167051315307617,22201,22400
113,200,200,200,3.654472827911377,22401,22600
114,200,200,200,3.3094961643218994,22601,22800
115,200,200,200,3.496608257293701,22801,23000
116,200,200,200,3.3136401176452637,23001,23200
117,200,200,200,3.6226446628570557,23201,23400
118,200,200,200,2.9164302349090576,23401,23600
119,200,200,200,3.595271348953247,23601,23800
120,200,200,200,2.842139959335327,23801,24000
121,200,200,200,3.015007972717285,24001,24200
122,200,200,200,2.6823930740356445,24201,24400
123,200,200,200,2.734933376312256,24401,24600
124,200,200,200,3.624396800994873,24601,24800
125,200,200,200,3.2330069541931152,24801,25000
126,200,200,200,4.196995496749878,25001,25200
127,200,200,200,4.853602647781372,25201,25400
128,200,200,200,4.1828553676605225,25401,25600
129,200,200,200,3.5496556758880615,25601,25800
130,200,200,200,3.7817585468292236,25801,26000
131,200,200,200,3.319009304046631,26001,26200
132,200,200,200,3.6192030906677246,26201,26400
133,200,200,200,4.397120475769043,26401,26600
134,200,200,200,5.750094652175903,26601,26800
135,200,200,200,4.822703123092651,26801,27000
136,200,200,200,4.296565294265747,27001,27200
137,200,200,200,4.814528703689575,27201,27400
138,200,200,200,5.9418044090271,27401,27600
139,200,200,200,3.6095733642578125,27601,27800
140,200,200,200,4.00898551940918,27801,28000
141,200,200,200,3.6883938312530518,28001,28200
142,200,200,200,3.072969675064087,28201,28400
143,200,200,200,3.210216522216797,28401,28600
144,200,200,200,3.5932633876800537,28601,28800
145,200,200,200,3.3247945308685303,28801,29000
146,200,200,200,3.9228837490081787,29001,29200
147,200,200,200,3.3121142387390137,29201,29400
148,200,200,200,3.019108295440674,29401,29600
149,200,200,200,5.025176763534546,29601,29800
150,200,200,200,3.7375261783599854,29801,30000
151,200,200,200,2.766918659210205,30001,30200
152,200,200,200,3.2061421871185303,30201,30400
153,200,200,200,2.8551082611083984,30401,30600
154,200,200,200,3.635662794113159,30601,30800
155,200,200,200,3.2264621257781982,30801,31000
156,200,200,200,3.103776216506958,31001,31200
157,200,200,200,4.668249845504761,31201,31400
158,200,200,200,2.802241325378418,31401,31600
159,200,200,200,3.67793345451355,31601,31800
160,200,200,200,3.4884257316589355,31801,32000
161,200,200,200,3.6020395755767822,32001,32200
162,200,200,200,4.096642732620239,32201,32400
163,200,200,200,3.3389852046966553,32401,32600
164,200,200,200,3.382312059402466,32601,32800
165,200,200,200,2.9816830158233643,32801,33000
166,200,200,200,3.193840265274048,33001,33200
167,200,200,200,4.452484130859375,33201,33400
168,200,200,200,3.1644792556762695,33401,33600
169,200,200,200,3.5884130001068115,33601,33800
170,200,200,200,4.395910263061523,33801,34000
171,200,200,200,3.5250017642974854,34001,34200
172,200,200,200,3.327389717102051,34201,34400
173,200,200,200,4.9143431186676025,34401,34600
174,200,200,200,3.752786636352539,34601,34800
175,200,200,200,3.443981170654297,34801,35000
176,200,200,200,3.0067546367645264,35001,35200
177,200,200,200,3.573951482772827,35201,35400
178,200,200,200,3.8005499839782715,35401,35600
179,200,200,200,3.9426612854003906,35601,35800
180,200,200,200,3.447906017303467,35801,36000
181,200,200,200,3.2847578525543213,36001,36200
182,200,200,200,3.515998125076294,36201,36400
183,200,200,200,3.337474822998047,36401,36600
184,200,200,200,3.238191604614258,36601,36800
185,200,200,200,5.013736963272095,36801,37000
186,200,200,200,2.7615859508514404,37001,37200
187,200,200,200,4.3021323680877686,37201,37400
188,200,200,200,3.2885921001434326,37401,37600
189,200,200,200,3.078650712966919,37601,37800
190,200,200,200,3.245323896408081,37801,38000
191,200,200,200,2.6569418907165527,38001,38200
192,200,200,200,3.6850976943969727,38201,38400
193,200,200,200,4.557340621948242,38401,38600
194,200,200,200,3.349839925765991,38601,38800
195,200,200,200,2.775485038757324,38801,39000
196,200,200,200,2.963066577911377,39001,39200
197,200,200,200,3.9927823543548584,39201,39400
198,200,200,200,3.4153242111206055,39401,39600
199,200,200,200,3.8720405101776123,39601,39800
200,200,200,200,4.121350049972534,39801,40000
201,200,200,200,5.705905914306641,40001,40200
202,200,200,200,6.501225471496582,40201,40400
203,200,200,200,4.440839052200317,40401,40600
204,200,200,200,3.1623597145080566,40601,40800
205,200,200,200,3.777992010116577,40801,41000
206,200,200,200,3.6382856369018555,41001,41200
207,200,200,200,3.3953304290771484,41201,41400
208,200,200,200,3.643747091293335,41401,41600
209,200,200,200,5.5078699588775635,41601,41800
210,200,200,200,4.719355344772339,41801,42000
211,111,111,111,2.605025053024292,42001,42111
