inat_taxon_id,species,photos,rho_primary,rho_flower12_descriptive,rho_background12_descriptive,rho_observer_pair_exclusion,rho_calendar_quarter_stratification,rho_matched_background_differential,maximum_direct_check_error,direct_checks,n_classifiable,D,second_fraction,primary_second_ge_0_10,sensitivity_second_ge_0_20
58164,Trifolium depauperatum,47,-0.1293918997089895,-0.1223954471159171,0.0772567066580106,-0.1293253236131159,-0.1293918997089895,-0.162470016941556,2.775557561562892e-17,7,47,0.5377999094612946,0.19148936170212766,True,False
58211,Forestiera pubescens,47,-0.0430685248610733,-0.1156072066875543,-0.1236875898779284,-0.0430685248610733,-0.0430685248610733,0.0514521252371808,2.775557561562892e-17,7,47,0.041647804436396596,0.02127659574468085,False,False
58361,Calochortus splendens,47,0.0343956516476412,0.0130944983829286,-0.0209330243309016,0.0332380661240287,0.0343956516476412,0.0182165711103625,1.3877787807814457e-17,7,47,0.5848800362154822,0.19148936170212766,True,False
58822,Dittrichia graveolens,52,-0.0170231446694809,-0.0484202077172125,-0.0306712146076429,-0.0170231446694809,-0.0170231446694809,-0.0088713569082613,1.3877787807814457e-17,7,52,0.07396449704142016,0.038461538461538464,False,False
58831,Heterotheca grandiflora,73,-0.0486593578569462,-0.0423424356317294,0.0708163394003891,-0.0481903537967252,-0.0486593578569462,-0.0926837750529946,2.775557561562892e-17,7,73,0.05329330080690564,0.0273972602739726,False,False
58917,Geranium carolinianum,65,0.1462716020365871,0.1271883623877857,0.1676809188462239,0.1462716020365871,0.1462716020365871,0.0159115658755255,2.775557561562892e-17,7,65,0.11550295857988169,0.06153846153846154,False,False
59035,Solanum americanum,44,0.0340144040637155,-0.0879029867800386,-0.0303128390699914,0.0340144040637155,0.0340144040637155,-0.0662093683434023,4.163336342344337e-17,7,44,0.3047520661157024,0.1590909090909091,True,False
59243,Eriogonum wrightii,41,-0.1469022584913378,-0.1356620247146375,-0.1018261696316418,-0.1469022584913378,-0.1469022584913378,0.0306564493011716,3.469446951953614e-18,7,41,0.09399167162403343,0.024390243902439025,False,False
59752,Erigeron divergens,84,0.0291418191402307,0.0219971005301883,0.0059772720815963,0.0275622959595347,0.0291418191402307,0.0270714764357548,1.3877787807814457e-17,7,84,0.09183673469387765,0.023809523809523808,False,False
59753,Erigeron pulchellus,77,-0.0328907951535754,0.0041496414984628,0.2581212325157086,-0.0328907951535754,-0.0328907951535754,-0.2193381200282464,1.3877787807814457e-17,7,77,0.16731320627424529,0.07792207792207792,False,False
59943,Iris sibirica,54,-0.093101065220808,-0.0731716382185445,0.0348923226966865,-0.0910977508886371,-0.093101065220808,-0.0346962338108116,1.3877787807814457e-17,7,54,0.20301783264746232,0.07407407407407407,False,False
59982,Phacelia hastata,40,0.1201550551276635,0.3341791766966693,0.163501735386962,0.1227684726876416,0.1201550551276635,0.1965182009225474,4.163336342344337e-17,7,40,0.22625000000000006,0.075,False,False
60220,Ludwigia peploides,70,0.0277503397753162,0.034425021020262,0.051181663582893,0.0277503397753162,0.0277503397753162,-0.0054503926047775,1.3877787807814457e-17,7,70,0.05551020408163265,0.02857142857142857,False,False
60241,Anemopsis californica,62,-0.0325548209847153,-0.0138482743601236,0.0011368341340178,-0.0326651540793854,-0.0325548209847153,-0.0188289762810442,1.3877787807814457e-17,7,62,0.12070759625390237,0.06451612903225806,False,False
60496,Erythronium grandiflorum,60,0.0535485077179442,0.096946786833991,0.0716464510714371,0.054385149276674,0.0535485077179442,0.0212858236391343,6.938893903907228e-18,7,60,0.15500000000000003,0.06666666666666667,False,False
60505,Erythronium montanum,49,0.0316724556016661,0.0159654560137473,-0.0352850092838162,0.0316724556016661,0.0316724556016661,0.0396180003844123,2.775557561562892e-17,7,49,0.21491045397750952,0.12244897959183673,True,False
60885,Dactylorhiza sambucina,40,0.0907348378537516,0.0981035598222674,0.0256612215642391,0.0907348378537516,0.0907348378537516,0.0710736261514616,6.938893903907228e-18,7,40,0.67875,0.25,True,True
60955,Ericameria ericoides,45,-0.0417486143103309,0.0037545434108434,-0.0379626399522348,-0.0393607057478616,-0.0417486143103309,0.0087960378275948,2.775557561562892e-17,7,45,0.1619753086419753,0.08888888888888889,False,False
