species,inat_taxon_id,first_discovery_round,n_rounds_seen,unique_discovery_observations,occupied_discovery_cells
Cypripedium montanum,50712,0,9,6,2
Cypripedium parviflorum,50713,0,21,72,5
Epipactis gigantea,50715,13,2,1,1
Epipactis helleborine,50717,0,21,19,10
Goodyera oblongifolia,50719,0,11,8,4
Malaxis monophyllos,50724,0,17,6,3
Platanthera stricta,50739,5,4,2,2
Spiranthes romanzoffiana,50743,0,21,31,6
Linaria vulgaris,50790,0,21,155,26
Ancistrocarphus filagineus,50795,7,2,1,1
Lithophragma affine,50803,1,6,3,1
Uropappus lindleyi,50806,0,13,7,3
Scrophularia californica,50812,1,6,4,2
Trillium chloropetalum,50823,1,16,15,1
Ribes speciosum,50824,0,3,2,2
Viola pedunculata,50825,0,15,9,2
Primula farinosa,50831,0,11,6,3
Gilia tricolor,50832,11,2,2,1
Calochortus tolmiei,50840,0,11,10,1
Sparaxis tricolor,50843,11,4,3,2
Cerastium arvense,50851,0,21,34,15
Iris douglasiana,50854,0,7,4,1
Trillium erectum,50855,0,19,35,2
Scorpiurus muricatus,50856,3,8,4,2
Phacelia cicutaria,50857,0,5,4,2
Phacelia congesta,50858,15,4,2,1
Catalpa bignonioides,50859,17,2,1,1
Quercus suber,50868,9,2,1,1
Layia platyglossa,50876,0,11,16,3
Erigeron glaucus,50878,5,2,2,1
Asimina triloba,50897,1,20,29,2
Cynomorium coccineum,50902,0,15,8,3
Cynomorium songaricum,50906,1,6,2,1
Lasthenia californica,50987,3,4,2,1
Sanguinaria canadensis,51044,0,21,90,4
Arbutus menziesii,51046,17,2,1,1
Dicentra formosa,51048,0,17,17,1
Dicentra cucullaria,51053,0,21,51,3
Calochortus umbellatus,51054,0,5,3,1
Calochortus eurycarpus,51055,0,7,5,1
Maianthemum racemosum,51062,0,19,24,5
Prosartes hookeri,51071,1,4,3,2
Calochortus luteus,51077,0,17,12,1
Calochortus superbus,51078,9,8,4,2
Toxicodendron diversilobum,51080,5,4,4,2
Quincula lobata,51082,0,15,24,3
Triteleia laxa,51085,0,21,24,2
Clarkia purpurea,51087,0,7,7,3
Phacelia divaricata,51093,1,2,1,1
Gilia achilleifolia,51098,9,2,1,1
Nymphaea odorata,51119,0,15,17,5
Orontium aquaticum,51138,3,8,4,2
Crataegus monogyna,51147,0,16,16,7
Pedicularis canadensis,51227,9,4,2,2
Justicia americana,51234,0,7,4,2
Rheum rhabarbarum,51251,0,7,4,3
Wisteria frutescens,51266,0,1,2,2
Heuchera micrantha,51274,1,6,3,2
Bellardia trixago,51286,0,21,63,16
Platystemon californicus,51288,1,6,8,3
Tamarix gallica,51303,19,2,1,1
Linum usitatissimum,51306,1,6,2,2
Calochortus albus,51315,0,13,16,3
Galearis spectabilis,51432,1,6,5,1
Cypripedium reginae,51434,5,8,5,3
Trillium undulatum,51435,1,18,20,2
Passiflora antioquiensis,51444,7,2,1,1
Passiflora edulis,51446,0,21,37,18
Passiflora alata,51447,0,17,14,4
Passiflora foetida,51448,0,21,57,25
Passiflora mixta,51449,0,19,22,2
Passiflora lutea,51450,0,15,27,4
Passiflora incarnata,51453,0,19,56,4
Passiflora caerulea,51454,0,21,67,8
Passiflora manicata,51455,5,12,6,1
Borrichia arborescens,51589,1,18,13,2
Colubrina asiatica,51593,0,21,11,5
Pittosporum undulatum,51594,0,19,21,8
Psychotria nervosa,51599,3,4,2,2
Galanthus nivalis,51606,0,21,73,12
Arum cylindraceum,51608,0,3,3,2
Veronica chamaedrys,51610,0,21,168,13
Myrrhis odorata,51618,0,15,9,6
Digitaria sanguinalis,51633,13,2,1,1
Tiarella trifoliata,51643,0,21,81,5
Rubus parvifolius,51645,0,11,9,5
Rubus parviflorus,51646,1,16,19,4
Clintonia andrewsiana,51647,3,4,3,1
Tellima grandiflora,51655,0,15,12,4
Lupinus albifrons,51691,13,2,1,1
Plagiobothrys myosotoides,51693,13,2,1,1
Polemonium caeruleum,51704,0,19,18,6
Bidens frondosa,51712,0,18,13,9
Bidens aristosa,51714,1,2,1,1
Myosotis arvensis,51726,0,21,23,12
Physalis philadelphica,51734,0,5,3,3
Clarkia unguiculata,51735,0,3,2,2
Impatiens parviflora,51736,0,21,45,9
Solanum lycopersicum,51737,0,21,33,23
Aegopodium podagraria,51741,1,20,24,9
Ulex europaeus,51751,0,21,61,18
Brodiaea elegans,51752,0,11,7,1
Phormium tenax,51754,1,8,6,2
Gaillardia pulchella,51768,0,21,42,10
Sempervivum tectorum,51779,0,1,1,1
Aquilegia vulgaris,51807,0,21,56,18
Lysimachia punctata,51808,0,19,17,8
Lysimachia nummularia,51809,0,17,15,7
Laburnum anagyroides,51810,0,8,5,4
Oenothera elata,51813,3,8,4,2
Hippeastrum reginae,51832,9,2,1,1
Circaea lutetiana,51843,0,15,16,5
Collinsia tinctoria,51850,1,4,2,1
Delphinium californicum,51858,17,2,1,1
Penstemon heterophyllus,51861,13,2,1,1
Lonicera caprifolium,51873,7,2,1,1
Trifolium pratense,51875,0,21,352,39
Urtica dioica,51884,0,21,27,9
Dudleya farinosa,51889,7,2,1,1
Antennaria dioica,51893,0,21,17,9
Priva lappulacea,51896,0,17,11,7
Mimosa pudica,51921,0,21,265,39
Hamamelis virginiana,51970,1,14,11,3
Physalis peruviana,51988,0,19,23,13
Richardia grandiflora,52078,0,21,54,5
Toxicodendron pubescens,52083,0,9,5,2
Streptanthus tortuosus,52106,5,4,2,1
Baccharis sarothroides,52108,0,1,2,1
Carmichaelia petriei,52110,3,2,1,1
Krascheninnikovia lanata,52113,7,4,2,1
Pterospora andromedea,52118,5,8,5,2
Populus deltoides,52119,9,4,2,1
Populus fremontii,52120,5,2,1,1
Phyllodoce breweri,52131,1,2,1,1
Ipomopsis aggregata,52136,0,11,8,1
Penstemon newberryi,52146,0,5,3,1
Linanthus pungens,52148,0,1,1,1
Triteleia ixioides,52153,0,7,6,2
Cakile edentula,52162,1,12,5,3
Ranunculus californicus,52173,0,13,13,1
Monardella villosa,52181,0,9,5,1
Ipomopsis tenuituba,52190,0,3,2,1
Borago officinalis,52287,0,21,33,9
Amaranthus cruentus,52328,7,2,1,1
Amaranthus blitum,52329,5,2,1,1
Ipomoea purpurea,52344,0,21,106,32
Senna septemtrionalis,52347,0,19,9,7
Senna alexandrina,52349,5,4,2,2
Gomphocarpus fruticosus,52351,0,15,12,7
Pavonia hastata,52355,5,6,3,3
Lilium formosanum,52360,0,20,30,9
Cercocarpus montanus,52378,3,2,1,1
Trimezia martinicensis,52397,0,21,55,8
Linaria maroccana,52405,9,8,4,4
Enterolobium cyclocarpum,52440,0,9,4,1
Schizolobium parahyba,52443,5,2,1,1
Acacia auriculiformis,52445,0,21,35,18
Enterolobium contortisiliquum,52446,5,4,2,2
Philadelphus coronarius,52468,5,4,2,1
Vicia cracca,52471,0,21,137,22
Hedychium gardnerianum,52495,0,21,54,11
Platanthera blephariglottis,52499,5,6,3,1
Platanthera clavellata,52500,0,7,4,1
Calochortus leichtlinii,52542,1,18,14,2
Althaea officinalis,52565,1,10,5,3
Silybum marianum,52586,0,21,163,29
Centaurea solstitialis,52588,0,9,7,5
Pontederia cordata,52599,0,21,40,9
Abronia latifolia,52618,11,6,3,1
Cirsium occidentale,52621,7,6,3,1
Stachys chamissonis,52625,17,2,1,1
Juncus squarrosus,52633,0,1,1,1
Sarracenia purpurea,52651,0,21,29,3
Drosera aliciae,52654,14,3,2,1
Drosera capensis,52656,1,8,6,2
Drosera rotundifolia,52658,3,14,9,9
Ribes menziesii,52687,0,5,3,1
Avena barbata,52696,0,9,5,3
Avena fatua,52698,16,2,1,1
Bromus diandrus,52702,0,5,2,2
Bromus hordeaceus,52703,1,10,3,3
Dactylis glomerata,52720,0,21,107,37
Monarda didyma,52735,5,2,2,2
Vaccinium corymbosum,52740,0,7,4,3
Vaccinium myrtilloides,52741,3,14,4,2
Cephalanthus occidentalis,52763,1,14,19,4
Prunella vulgaris,52764,0,21,157,39
Holcus lanatus,52793,0,21,17,11
Hordeum murinum,52796,0,6,5,4
Lolium perenne,52801,0,16,9,7
Poa annua,52808,0,21,13,11
Achillea millefolium,52821,0,21,329,36
Anaphalis margaritacea,52833,0,21,155,16
Anthemis cotula,52841,1,7,4,4
Anthriscus caucalis,52846,11,2,2,2
Artemisia vulgaris,52856,0,19,18,8
Asarum caudatum,52858,7,6,4,1
Clethra alnifolia,52867,3,8,4,3
Solanum carolinense,52899,0,21,33,6
Cichorium intybus,52913,0,21,198,30
Commelina communis,52927,0,21,163,10
Commelina cyanea,52930,0,21,25,4
Eupatorium serotinum,52934,5,10,6,3
Epilobium brachycarpum,52971,3,2,1,1
Cerastium glomeratum,52973,1,19,12,7
Eurybia radulina,52974,0,1,1,1
Barbarea orthoceras,52976,0,21,18,6
Cardamine oligosperma,52981,1,2,1,1
Cirsium vulgare,52989,0,21,156,47
Carduus pycnocephalus,52990,5,4,3,2
Matricaria discoidea,52992,0,21,64,22
Claytonia perfoliata,52994,0,16,23,5
Collomia heterophylla,52996,13,2,1,1
Conium maculatum,52998,0,21,54,21
Carduus tenuiflorus,53007,0,20,14,8
Convolvulus arvensis,53021,0,21,302,35
Cotula australis,53025,0,21,18,13
Dipsacus sativus,53028,3,7,2,2
Ambrosia trifida,53034,0,9,5,4
Pogonia ophioglossoides,53039,3,6,4,2
Kalmia angustifolia,53041,0,21,93,4
Arethusa bulbosa,53042,3,6,1,1
Eriogonum nudum,53046,11,4,2,2
Epilobium ciliatum,53050,0,21,23,13
Epilobium canum,53051,0,21,30,3
Foeniculum vulgare,53052,0,19,21,13
Erodium ciconium,53058,9,4,2,2
Galium aparine,53059,0,19,38,22
Galium porrigens,53063,0,1,1,1
Galium triflorum,53065,0,19,14,7
Geranium dissectum,53075,0,21,58,13
Geranium molle,53076,0,20,55,18
Pseudognaphalium luteoalbum,53083,0,20,17,10
Pseudognaphalium ramosissimum,53088,15,2,1,1
Pseudognaphalium stramineum,53089,19,2,1,1
Helenium puberulum,53092,1,4,2,1
Heracleum maximum,53094,0,21,56,12
Antennaria rosea,53096,0,13,8,4
Hirschfeldia incana,53097,0,17,14,10
Hypochaeris glabra,53103,1,8,5,4
Hypochaeris radicata,53104,0,21,104,26
Lactuca saligna,53105,5,3,2,2
Lactuca serriola,53107,0,17,27,16
Lactuca canadensis,53110,0,1,1,1
Lithophragma heterophyllum,53124,9,4,2,1
Acmispon glaber,53134,0,11,9,3
Madia sativa,53143,0,7,4,2
Medicago polymorpha,53151,0,20,19,13
Navarretia squarrosa,53157,3,6,3,1
Nemophila heterophylla,53158,3,4,2,1
Osmorhiza berteroi,53166,0,4,3,2
Oxalis corniculata,53168,0,21,270,50
Oxalis pes-caprae,53169,0,21,293,25
Phacelia imbricata,53171,15,4,2,1
Plantago erecta,53177,15,4,2,2
Plantago lanceolata,53178,0,21,115,34
Oxalis stricta,53183,0,9,7,7
Rafinesquia californica,53193,5,2,1,1
Rumex acetosella,53195,0,21,36,25
Rumex crispus,53197,0,5,2,2
Salvia columbariae,53200,3,16,20,3
Sanicula crassicaulis,53201,0,7,4,2
Clinopodium douglasii,53203,0,1,1,1
Delairea odorata,53208,5,14,12,6
Senecio sylvaticus,53210,3,7,3,3
Senecio vulgaris,53211,0,21,101,33
Silene gallica,53212,0,21,28,15
Salvia hispanica,53219,0,19,12,4
Chamaecrista mimosoides,53263,1,20,12,3
Sisymbrium officinale,53266,0,20,21,12
Maianthemum stellatum,53268,0,21,35,8
Sonchus asper,53269,0,21,31,22
Brassica rapa,53271,0,15,11,10
Sonchus oleraceus,53294,0,21,145,47
Stellaria media,53298,0,21,83,36
Thalictrum fendleri,53299,3,4,2,2
Torilis nodosa,53304,0,13,6,5
Stachys rigida,53306,19,2,1,1
Cerastium fontanum,53307,1,10,5,4
Cerastium nutans,53308,11,2,1,1
Trifolium dubium,53313,0,21,34,16
Urtica urens,53315,0,20,11,4
Verbena lasiostachys,53316,3,6,3,2
Vicia americana,53320,0,19,22,5
Vicia gigantea,53322,7,4,1,1
Vicia sativa,53324,0,21,101,29
Vinca major,53326,0,21,80,30
Viola adunca,53328,0,21,39,6
Vicia benghalensis,53333,3,14,8,5
Acacia dealbata,53343,0,17,19,8
Acacia melanoxylon,53344,0,19,19,8
Acacia cochlearis,53345,3,2,1,1
Aesculus californica,53348,19,2,1,1
Alnus rhombifolia,53351,3,4,2,2
Arctostaphylos glandulosa,53353,9,4,2,1
Artemisia californica,53357,17,2,1,1
Baccharis pilularis,53359,0,11,7,3
Ceanothus oliganthus,53360,13,2,1,1
Corylus cornuta,53374,0,5,3,2
Cornus sericea,53387,0,21,51,11
Eriophyllum confertiflorum,53395,0,9,9,3
Eucalyptus globulus,53398,5,10,3,3
Garrya elliptica,53399,9,2,1,1
Genista monspessulana,53403,1,14,14,8
Heteromeles arbutifolia,53405,0,7,4,2
Holodiscus discolor,53414,1,12,6,3
Lonicera hispidula,53416,3,12,7,1
Oemleria cerasiformis,53419,0,17,14,1
Frangula californica,53423,0,1,1,1
Ribes sanguineum,53435,0,16,19,5
Rosa californica,53437,0,5,3,2
Rosa gymnocarpa,53441,7,2,1,1
Rubus ursinus,53445,0,21,16,1
Gaultheria hispidula,53460,5,2,1,1
Commelina erecta,53478,0,21,272,31
Brickellia eupatorioides,53501,19,2,1,1
Liriodendron tulipifera,53582,0,7,6,4
Ambrosia artemisiifolia,53587,0,11,7,4
Aconitum variegatum,53629,15,2,1,1
Dianella caerulea,53680,1,4,3,1
Melia azedarach,53720,0,21,38,22
Tabebuia heterophylla,53722,0,21,30,12
Santolina chamaecyparissus,53778,9,2,1,1
Humulus lupulus,53779,7,8,5,5
Fumaria officinalis,53785,0,21,21,10
Fumaria vaillantii,53786,9,2,1,1
Mitella diphylla,53793,1,10,6,2
Clintonia borealis,53794,0,21,41,6
Abronia umbellata,53801,0,3,2,1
Uapaca bojeri,53824,11,2,1,1
Ilex aquifolium,53856,1,10,6,4
Solanum tuberosum,53858,0,13,3,1
Krigia dandelion,53862,15,2,1,1
Trifolium fucatum,53901,7,2,1,1
Calochortus venustus,53902,1,12,6,2
Castilleja subinclusa,53915,1,2,1,1
Mentzelia lindleyi,53923,13,2,1,1
Galax urceolata,53925,9,4,2,1
Euphorbia eriantha,53928,7,2,1,1
Hevea brasiliensis,53940,1,4,1,1
Digitalis purpurea,53983,0,21,136,23
Crepis capillaris,54050,0,19,13,5
Pyracantha angustifolia,54053,19,2,1,1
Achillea ptarmica,54055,0,15,9,5
Tragopogon porrifolius,54141,0,15,13,10
Tragopogon dubius,54143,0,19,19,13
Sorbus decora,54266,3,2,1,1
Citrus maxima,54299,1,10,2,2
Tropaeolum majus,54329,0,21,76,28
Veronica beccabunga,54333,1,16,11,6
Papaver rhoeas,54404,0,21,60,14
Crataegus laevigata,54428,1,4,2,2
Ribes uva-crispa,54429,5,6,3,3
Ribes nigrum,54430,3,8,3,2
Ribes rubrum,54431,0,5,2,2
Rubus idaeus,54436,0,19,15,8
Carnegiea gigantea,54449,1,16,14,2
Ferocactus cylindraceus,54453,0,15,15,2
Corylus avellana,54491,0,17,33,6
Beta vulgaris,54498,7,4,2,1
Brassica oleracea,54516,13,2,1,1
Tanacetum parthenium,54520,0,19,17,11
Pisum sativum,54522,3,5,6,4
Cardamine pratensis,54531,0,21,68,15
Marrubium vulgare,54605,0,13,13,11
Cypripedium calceolus,54638,0,21,29,9
Platanthera chlorantha,54639,0,17,17,6
Chionanthus virginicus,54654,0,13,10,4
Amphitecna latifolia,54657,9,2,1,1
Hemitomes congestum,54663,11,2,1,1
Drosera arcturi,54678,3,2,1,1
Drosera binata,54684,0,7,5,3
Empodisma minus,54692,9,2,1,1
Leptospermum scoparium,54699,0,21,24,3
Fuchsia boliviana,54712,0,18,18,6
Laurus nobilis,54759,0,10,5,4
Acer platanoides,54763,0,15,10,7
Rhus glabra,54764,1,10,4,2
Toxicodendron vernix,54767,11,4,1,1
Carpinus caroliniana,54768,7,8,4,2
Corylus americana,54770,1,6,4,2
Viburnum lentago,54773,11,4,3,2
Cornus alternifolia,54775,5,6,3,1
Cornus drummondii,54776,5,8,6,2
Cornus florida,54777,0,17,17,4
Cornus foemina,54778,1,10,5,3
Quercus macrocarpa,54781,13,2,1,1
Carya ovata,54791,15,2,1,1
Lindera benzoin,54793,1,6,7,2
Sassafras albidum,54795,9,4,2,2
Fraxinus americana,54805,5,2,1,1
Rhamnus cathartica,54811,1,6,3,2
Amelanchier laevis,54814,19,2,1,1
Crataegus chrysocarpa,54817,1,2,1,1
Crataegus crus-galli,54824,5,4,2,2
Crataegus punctata,54830,5,2,1,1
Prunus nigra,54832,0,5,3,2
Prunus pensylvanica,54833,0,13,10,5
Prunus serotina,54834,0,9,7,6
Prunus virginiana,54835,1,18,23,11
Zanthoxylum americanum,54836,13,2,1,1
Populus balsamifera,54838,11,4,2,1
Populus tremuloides,54840,5,4,2,1
Salix alba,54841,1,2,1,1
Salix bebbiana,54843,0,21,19,6
Salix discolor,54844,15,4,2,1
Salix nigra,54847,3,4,2,2
Salix purpurea,54849,17,2,2,2
Tilia americana,54854,9,2,1,1
Trichostema lanceolatum,54875,1,10,9,3
Ficus benghalensis,54880,0,21,1,1
Epidendrum centropetalum,54883,0,3,3,1
Epidendrum aberrans,54885,9,2,1,1
Epidendrum radicans,54890,0,17,14,6
Eriogonum heracleoides,54897,1,8,4,1
Chaerophyllum bulbosum,54898,0,3,3,1
Crepis atribarba,54904,15,2,1,1
Crepis pulchra,54905,0,1,1,1
Cucumis prophetarum,54917,0,13,3,2
Cucumis sativus,54919,5,2,2,1
Packera glabella,54921,0,15,16,3
Senecio serra,54922,11,2,1,1
Medeola virginiana,54924,5,8,4,1
Ribes malvaceum,54942,13,2,1,1
Tauschia hartwegii,54948,0,1,1,1
Ficus microcarpa,54982,1,10,3,3
Stapelia gigantea,54990,1,16,12,3
Scaevola chamissoniana,54994,1,14,3,2
Sida fallax,54995,0,21,46,3
Eriogonum fasciculatum,54999,0,15,12,3
Rhus integrifolia,55009,3,10,8,1
Arabidopsis thaliana,55021,0,21,34,19
Jasione montana,55022,3,10,7,4
Arctostaphylos glauca,55133,1,8,7,2
Arctostaphylos viscida,55135,1,4,2,1
Aristolochia erecta,55188,7,4,3,2
Aristolochia littoralis,55189,0,17,8,7
Aristolochia californica,55190,3,2,1,1
Coleonema pulchellum,55218,3,4,1,1
Coleonema album,55226,11,1,1,1
Viola sempervirens,55342,3,2,1,1
Acacia baileyana,55345,1,4,2,2
Fragaria chiloensis,55367,1,17,14,5
Crambe maritima,55399,0,1,1,1
Trillium grandiflorum,55402,0,21,82,2
Petunia axillaris,55405,0,18,14,4
Raphanus raphanistrum,55411,0,21,49,19
Amsinckia menziesii,55436,3,10,5,3
Pholistoma auritum,55437,9,6,3,3
Lupinus luteus,55440,11,5,3,2
Onobrychis viciifolia,55441,0,15,12,8
Trifolium lupinaster,55443,0,21,45,8
Lamium amplexicaule,55459,0,21,140,25
Sanicula arctopoides,55466,3,4,2,1
Allium thunbergii,55504,9,2,1,1
Allium triquetrum,55505,0,21,44,13
Allium angulosum,55506,0,11,8,4
Castilleja densiflora,55508,0,9,5,1
Ribes aureum,55544,0,13,10,5
