global_row_index,shard_index,species,inat_taxon_id,raw_results,locally_eligible,prior_excluded,wrong_taxon,after_observer_cap,maximum_span_km,capped_row_id_sha256,request_error,eligible_raw_100,eligible_raw_80,eligible_raw_60
36,4,Koeberlinia spinosa,47845,55,55,0,0,46,1798.7801410060654,8bd2a27d18383522499b906184ea9a2edc4ed68a36dd852797666627c3674d6a,,False,False,False
37,5,Quercus agrifolia,47850,200,200,0,0,182,917.3199456964666,4d942a9659e06a8965d2e7171664ef6b978d1bf23e881f6dcf60558ce4165b77,,True,True,True
38,6,Impatiens capensis,47888,200,200,0,0,198,7898.738614492741,257643f4d7101407fbe69484a750eec028641fe0ed5ae50e5767d7c22d684e7b,,True,True,True
39,7,Impatiens pallida,47891,200,200,0,0,191,2061.9579298373155,dd0c1dae5faf1a5d21a3a3f8b553ec49ebe84a7d90a3320a7d7ce66257acc9b8,,True,True,True
40,0,Impatiens glandulifera,47892,200,200,20,0,171,19371.015736912854,4092e3b3f259192f9aab77643ab5773da6cee2b86ea15c7de839fb9d2bede114,,True,True,True
41,1,Opuntia humifusa,47894,156,156,0,0,153,12136.423884800704,bb54aec154cbe8cf8cdce285aa255ced8d03e8dfc7dda96f1ae360910c8494a6,,True,True,True
42,2,Opuntia stricta,47898,200,200,8,0,175,19368.211893725944,a6eb54f65cd092275b0514815a3d389af59152c65a751f97206f9882622bcb29,,True,True,True
43,3,Asclepias ovalifolia,47905,170,170,0,0,124,2069.8271440863773,9f3fef80364ab3ae854f69238cfe934b92a13ff24704e3c3e3a9e790e9d78b77,,True,True,True
44,4,Asclepias angustifolia,47908,146,146,0,0,127,2143.234394284796,5d459c4f671274be32307f46a9fa38e648b5002f17d5bc85476082e98976224d,,True,True,True
45,5,Asclepias amplexicaulis,47910,200,200,1,0,187,2630.973118209457,513e46210f13d352f6521158300cdec7be37a3b1b97700d7731717ef47068b69,,True,True,True
46,6,Asclepias syriaca,47911,200,200,0,0,181,9105.440774564808,55df6443003eb7fb74515ea710c1ebcfb0b465af98ce799a81fd71c4d5dd979c,,True,True,True
47,7,Asclepias tuberosa,47912,200,200,0,0,198,2969.408480867077,c1766de6100ffa3242d56c7d8fc2716f195c531a55314456ca3b9d6be0ab28eb,,True,True,True
48,0,Arctostaphylos auriculata,48023,112,112,0,0,79,23.332270771515297,bd1ce36691065f5cb322b9becb9fbcde3928a22e7f9c29b8d144d560355a2c11,,False,False,True
49,1,Platanthera psycodes,48030,200,200,0,0,174,3101.214820249054,5db428c21b5b49fca1894414279f29f603ee42bb8f96d82780d5d01263caf785,,True,True,True
50,2,Lobelia cardinalis,48038,200,200,0,0,197,4567.448857667039,4c942aaf5f30d0ff8dd99692758be97316ec5938e767e640fd9729a242e44fc1,,True,True,True
51,3,Lysimachia terrestris,48062,200,200,0,0,171,4754.157205475335,e082eccb24c730a394ba1b3bc3c04d64dfb16df111fb1903a4a1d642709cb3ee,,True,True,True
52,4,Sagittaria latifolia,48070,200,200,0,0,152,10059.006953768096,f33770ef69e381d6a2d47e6a92a37ff63654c6ca6fbe41c3bfe1730ef047131e,,True,True,True
53,5,Acer pensylvanicum,48095,200,200,0,0,185,1986.805780965626,3cff064b8e28d1430f4581c11214065bb069173ec6dbc5b571af628f1f071bc1,,True,True,True
54,6,Acer rubrum,48098,200,200,0,0,186,3560.677094843953,b152b1da6b078e2484b072338b8004fc30614d75fd1cdd54035b7f99e3587778,,True,True,True
55,7,Cynoglossum officinale,48152,200,200,1,0,196,10674.47782578331,2b0a8d58538e7081690d3a276f808444b2f82fcb0049f803def75586ef718fb0,,True,True,True
56,0,Couroupita guianensis,48163,188,188,6,0,179,19877.88813178726,b07200135d74918daa0c53e8423cde5bbc6f6e7ad87e3288d1fe694ec671c666,,True,True,True
57,1,Galinsoga parviflora,48178,200,200,1,0,166,19888.84599017927,2d02634d3c860542145cadf2818184fd699886dfbccab800909683b7aa5877aa,,True,True,True
58,2,Convallaria majalis,48206,200,200,0,0,200,9414.26724785052,0cb50be4e2b9e20cb66db46cf99891bd3e028e0901170d93d81f944459b0b0e8,,True,True,True
59,3,Clethra arborea,48208,17,17,0,0,17,19326.36250692016,1a670101e13737a6c71d84b8036c6a5c4f474fc8a004113a775d1263d78da9f7,,False,False,False
60,4,Eschscholzia californica,48225,200,200,8,0,180,19082.803545067312,f2ffee33d3fd7dfb87b96699c3fc136c63f6ee26d2a325c34924b43095f81b1a,,True,True,True
61,5,Acer macrophyllum,48227,200,200,0,0,178,1840.1264619606395,d5e7b7237909af7f836ab905845cbb220a24fc599b8d06b3ba377b00a3d8c930,,True,True,True
62,6,Ranunculus repens,48229,200,200,0,0,191,19719.117087273236,18c2470f20ff7e35a446ddbb47e5fd0cd1ceffad786f094289f409ab0c314dca,,True,True,True
63,7,Erythronium americanum,48240,200,200,0,0,198,2394.8852732724795,da4c4cdcf6545de25d675f0f91a024db2252da4eee561e20fce081fc38a68fee,,True,True,True
64,0,Aquilegia formosa,48244,200,200,0,0,194,4183.255868803072,7e8b7a493fecffa7fe3227f778d76ccdac060c8c0578bb0723f9ed8084082ca7,,True,True,True
65,1,Acer circinatum,48258,200,200,0,0,158,811.0859694497574,57f2225ac89d5c5d0bb6fa28b65f132c69e87df9c631ec18e6d0fc84b18e8677,,True,True,True
66,2,Vaccinium ovatum,48349,200,200,0,0,192,2003.1483721920267,fe15b07663257ce2e09c79a36a1947c8da0e7b0ffbfe7400627b977bc5c8d63a,,True,True,True
67,3,Vaccinium parvifolium,48354,148,148,1,0,120,2233.5030213157984,544d5110b15216889ad7db2da376fba40b218d0d54add283587124d87b512c80,,True,True,True
68,4,Tecoma stans,48363,200,200,1,0,175,19709.924258316714,031d63c4defc04052415c1242346ecb291cd6286f277a43f61fd075c4e9a653a,,True,True,True
69,5,Stenaria nigricans,48364,200,200,0,0,145,2482.070601665888,01098789fa69473796be3e648210e4dc5dd8bf1c43559cf1cddeb0cb87f0b752,,True,True,True
70,6,Tricyrtis hirta,48378,7,7,0,0,7,10957.79978571922,64677c67c6e4381878a20f1cde7aa11129579c1810d83ed7965c4987e8b60624,,False,False,False
71,7,Antigonon leptopus,48380,200,200,6,0,169,19741.72718157039,a1c8cfb9627231b6f58fa2a9bb2087d5feee6d8cb6b7c057395506760cab5a3f,,True,True,True
72,0,Heuchera sanguinea,48384,99,99,0,0,75,9732.175889239545,04c75c75e59d2112f3e9efbb520cc6607b36e07e41a818c3916c83605677041c,,False,False,True
73,1,Gaultheria shallon,48441,200,200,0,0,195,8754.896703406714,46f315a6979274e938a1abe2a2237eecf65645b289b21f54d321f2b5a336d0a6,,True,True,True
74,2,Zea mays,48448,27,27,0,0,27,18838.52705058353,d52d363ced1e43ed8279078e0412e47f373f3549f1b7dbb7d50949439550c0bf,,False,False,False
75,3,Aconitum delphiniifolium,48491,200,200,6,0,129,5123.226765436888,47635a88081851057d6ffc3f71b7a8f471bf93769d86fe66bd24dcd9b432a9a4,,True,True,True
76,4,Cercis canadensis,48502,200,200,0,0,196,3114.5258839311664,459f7af27ac2477d127cbe89f9b0b30058d75204e9f1a33c4fffa058f4f859f5,,True,True,True
77,5,Capsicum annuum,48514,54,54,1,0,39,17511.389404058926,451aaab6fb4bd6bf3946532fd13a1f93f8d279a502b0aac98cc4aadf5fe752ed,,False,False,False
78,6,Symphoricarpos albus,48523,200,200,0,0,193,10411.758106499308,f16341956999be5fcd0cfb94a8948386d0701a492a8e8a4a56bacfb734435df8,,True,True,True
79,7,Lysichiton americanus,48537,200,200,0,0,191,8585.031379529019,f99e9450f9786ea03bacbf78e7cc88b5b75cdc8f9af1fae499003dcd55045a30,,True,True,True
80,0,Cytisus scoparius,48538,200,200,22,0,176,19958.809118270638,fd1d3d23aefe7d68a27370df7d1f06e099d361a9b7a154c99bf2c51d4f6ac4b1,,True,True,True
81,1,Mycelis muralis,48543,200,200,0,0,190,19599.62566662371,f2561686f302f5715ac07bbc3b747521444f45c6bb60b3c556ee86cc8a64eadd,,True,True,True
82,2,Gompholobium scabrum,48546,105,105,0,0,77,560.961143015912,9346e3d8ec6cb17a5715d3e06442dbb75d29fe6aae963b161631e98ce5ba47fc,,False,False,True
83,3,Drymaria cordata,48556,104,104,2,0,94,19920.0094238774,04055cb3858e56ea7ec793449023ba2fe5715c2ca3f6c36d013cc1c45e40991b,,False,True,True
84,4,Carex xerantica,48559,2,2,0,0,2,91.07026942252384,31951e7422ca79bd7c07621a6c111341171e5aff680a68d470769570df705563,,False,False,False
85,5,Sorbus sitchensis,48583,36,36,0,0,36,2589.641976633093,9a32e53c86909cf15a7a71dc67cc8a97be42951fe2ab8f0ae8dcd72ba77c52c7,,False,False,False
86,6,Campanula trachelium,48588,200,200,1,0,191,8327.066267697317,bf3727a272b12e6c1177422b1745569d8970cf65bc709cac5d375721a22b0ee3,,True,True,True
87,7,Allium cepa,48592,39,39,0,0,39,17777.1852687393,c940c005bd0fb84365146824d325f04ccd6c37f5a84e7dde9c290620ce755625,,False,False,False
88,0,Lithospermum canescens,48595,200,200,0,0,178,2705.118795386393,b6312e2c7b424521e8018fe7044e88c08b8dd8736875b76ed89adbc176ebfbe0,,True,True,True
89,1,Phytolacca bogotensis,48597,84,84,1,0,74,5298.487371799305,be7d76947db9c71b45b36d13b1e990ec728f65297c35cd495f7101f1bc72cd25,,False,False,True
90,2,Phytolacca dodecandra,48598,9,9,0,0,7,4455.7175608252455,6bcb43ffa03416ecd2086f6f0f458bc206926128a3b45627140ee41030572f66,,False,False,False
91,3,Phytolacca americana,48599,200,200,7,0,183,13653.009237728533,eafe60fed53c1d27e729815ebed61499598b94c61f025ed3635c31d8efe842ca,,True,True,True
92,4,Datura metel,48602,35,35,1,0,34,19248.51751976652,8c653b9bb4ec34dbb244bd5938574572f4dc87da64db28f4e1431908bc626f70,,False,False,False
93,5,Echinocystis lobata,48618,200,200,0,0,188,9972.856731916405,d6448c62cc878395ded0b4d32bf18644b932d1b0cfb9316d69cca653aa397d82,,True,True,True
94,6,Nepeta cataria,48622,200,200,0,0,184,19650.707612327024,2b09a8ae123ad8d9f4b3ad4578622a550fef8ea175cc67be32dd85746e98301a,,True,True,True
95,7,Oenothera speciosa,48625,200,200,17,0,166,13486.971984727716,ea6b688731138f7119c6eaf9850c711a27ad6b17d5a33f17be56978426059784,,True,True,True
96,0,Echinacea purpurea,48627,200,200,0,0,189,8337.144685313318,bc3fafe54afbaf0adb3e5758c370a44f16ea0c6cafc67e5678880f9192e36726,,True,True,True
97,1,Prunus americana,48629,200,200,0,0,186,2951.947478135258,513c25d7cdf901fb65ece2e0ee9c7f0500a1a4bdd7664b4c01f909ec34c68492,,True,True,True
98,2,Cosmos sulphureus,48651,200,200,0,0,186,19711.56446336816,f283de5b31b488d21c6f51e8a2f0ec95002c24de04d371ae2b87b07f9ae495fc,,True,True,True
99,3,Spiraea tomentosa,48682,200,200,0,0,186,2323.850184974444,3eec01f5dec4da86cb687a27ce3d6f653d4aa81504d93dbafa16d219add8c14a,,True,True,True
100,4,Typha latifolia,48685,200,200,2,0,191,17993.027373895366,e3ee5026f810eb0b17442014c2c306b43fc5e4710e8a76f556b4a41c93649565,,True,True,True
101,5,Setaria pumila,48688,87,87,1,0,76,18829.541604095837,9900f09e2fd1481d849712b4332864a501ba59ea1d5841df0430a6901c796274,,False,False,True
102,6,Liatris pycnostachya,48691,200,200,0,0,180,2047.8803845313869,b6e1fe3e7a31f4e3527eafbe729d38ed4bbf494a2e6ba3b2ec2cfa8e4a50d47f,,True,True,True
103,7,Iris versicolor,48726,200,200,36,0,144,8039.809680004258,db6de2e99af07ede552d0be585a7b1e5a301e778ceba78875ad80d3b94c2bd73,,True,True,True
104,0,Sidalcea malviflora,48795,200,200,0,0,189,903.92146852851,ead91e1f8d18bd34837bcf2c9e720eb1f2054882fbae338d9aae32b843af3766,,True,True,True
105,1,Umbellularia californica,48807,200,200,0,0,173,1410.7928434540784,48e76ecb6958c27c8c50029c9a76cdfd40c2b12ecf7dcbffb86a91ccef44e3c7,,True,True,True
106,2,Cocos nucifera,48865,40,40,6,0,34,19794.07497907589,c7e51f5502fa21495821f1136e560d24aa07d61752be57313cd8130e109c7e8e,,False,False,False
107,3,Mangifera indica,48872,70,70,4,0,65,19668.64796361468,fd6be18c58b7a3a41b9499bc31a66f434b5dc60222177b3d20f1d87d9ea2c14a,,False,False,True
108,4,Chrysophyllum cainito,48876,6,6,0,0,6,16664.580875199033,4e594950c58a854cc93970163077274dbaf23505285044724552ac78a8cba4a2,,False,False,False
109,5,Miconia calvescens,48888,4,4,2,0,2,930.7269560295838,8e549e3d5afe116aac59112cf4519c3876ddd442d8dd62e711eb6d542c372a1f,,False,False,False
110,6,Heliotropium angiospermum,48895,200,200,0,0,153,8224.677990429884,0089cb3ed0b14556bfea55ea326a4ad2ed08f273ec0f5709ad4804930121cd6d,,True,True,True
111,7,Lilium kelleyanum,48927,200,200,0,0,183,446.10334838173736,17c60eacad882f8a3d6e3380889cd67a1883625ab993c9e274022fb8b7e47f1c,,True,True,True
112,0,Polemonium eximium,48931,35,35,0,0,34,278.62265686696674,962370c7825dc5093ba90a9a833766ad875d296393fda4037f6952dec6bea06a,,False,False,False
113,1,Eriogonum ovalifolium,48938,200,200,0,0,161,1764.086833149189,0ee5cb87240a982f71c09fb31c5809f51b23b3811e2837194e31f67cd220d3d6,,True,True,True
114,2,Dicentra canadensis,48952,200,200,0,0,185,1659.9462573760895,3908135206c9475c660bf3d9730a780723c4beff1b94b691e7489f98f6ef9f27,,True,True,True
115,3,Symplocarpus foetidus,48961,200,200,20,0,169,1930.9025250688417,7103979bc5155238a461a25533354c6032f7467f284202100e72d0758b7b2a01,,True,True,True
116,4,Antirrhinum majus,48969,200,200,7,0,181,19812.705490873537,d09d3352c7eb8ba0332be0c7ec94674b55b702d1d1b2b81f4d154fdc62e8ca33,,True,True,True
117,5,Dactylorhiza incarnata,48982,200,200,0,0,171,7574.778824335,15a12eb5e313b51a03c5bf06881769424490f8e334a2121f9b2c4acb51b193dc,,True,True,True
118,6,Centaurea montana,48984,200,200,0,0,198,19280.073351741867,2607ec8cdb828fb23f2690fadf1088e67221c2f2c348b0c3adc6c291bdcc93c7,,True,True,True
119,7,Pedicularis ornithorhynchos,48986,64,64,0,0,58,1007.0640406088517,b8d5b326f1b82eb9434d6fcdbacbdf36f92f7c991450d0a842e69d565af0d86a,,False,False,False
120,0,Scoliopus bigelovii,48990,200,200,0,0,166,512.3665422008768,b339aa37f07a78703902fa85c6fc985e8bcef94de9339584c334ecbb828dff5a,,True,True,True
121,1,Scoliopus hallii,48991,65,65,0,0,50,313.9186763605404,9b39ea494093ae5f42168362e6b31bf1a0bdae5b891aaed82b42a234cac9f4fc,,False,False,False
122,2,Quercus rubra,49005,49,49,0,0,49,8329.554899241833,7a55a6e4fe3384a150141505443fe9d8b5d0b80b521495bbe08a2a19ffe2bd41,,False,False,False
123,3,Hymenoxys hoopesii,49037,200,200,0,0,142,1461.297604696331,af951cfb0edb92175c83e12f19d5452e3363102b6da08f8e9c0fe42f575c2110,,True,True,True
124,4,Chimonanthus praecox,49080,5,5,0,0,5,9295.60053974762,524bddf783b9fbafeebdd3db3af9dad2f0cfc502835383c37309eaf3233c542c,,False,False,False
125,5,Myosotis scorpioides,49130,200,200,2,0,178,18614.06734102107,a43764dc8dccb7b2a6ba5348d9e837f2bab420e7f5064c9feaa83289bef9965a,,True,True,True
126,6,Myosotis latifolia,49132,200,200,0,0,172,18410.16441355836,8642170598e6e6f49f6acf86c941b342456dedd015a2c306ddde576b5eba46d7,,True,True,True
127,7,Strelitzia reginae,49143,88,88,0,0,42,15847.56949658533,3144f9aa3d071cdd162fd1671fe9f71504102965bbda4ab0cab5f205d9ed82e3,,False,False,False
128,0,Castanea mollissima,49192,189,189,2,0,185,13710.80073838814,52d2b2a96d79cf6ce1b83399f04ee8ddd3dc5f3b88a89496a2bb330b56050291,,True,True,True
129,1,Callicarpa americana,49193,200,200,1,0,187,2234.034061502998,f22f469bfb132e2b00f930863c67c4d95035c9a1ab9bd90e5a5ae13f0397f851,,True,True,True
130,2,Fagus grandifolia,49202,85,85,2,0,76,2446.5392659766912,db5f0867c6b73c67b6b1fbb871be5f0364063cca3a45066afc1f4e8583822199,,False,False,True
131,3,Amelanchier arborea,49226,200,200,0,0,200,4484.9178773309695,384a1114749efbc5e8a4065f1b18209a0d8e0ab7c510ff414c59724f17f18376,,True,True,True
132,4,Podophyllum peltatum,49288,200,200,0,0,199,2408.9623606248647,44a9480f318dbf0a07fcb9b61c609ace3b08edbeb4c9a5206d519eb66890adb9,,True,True,True
133,5,Mesembryanthemum crystallinum,49319,200,200,2,0,177,18228.24513737815,2be938e87e1c69bfdaa915a7f744b842045fb7d688a7e5b5e72a5842945805c3,,True,True,True
134,6,Carpobrotus edulis,49322,200,200,0,0,186,19893.4136103149,7b77352c9612a42c745c618949d3a52b683faa2405d2352e93c06b40d700dc29,,True,True,True
135,7,Fouquieria splendens,49325,200,200,0,0,183,2206.256432759464,eba04250dcce4eb86056909454d0715995eb8e1c7d2eaf711f6f2813e43a87f1,,True,True,True
136,0,Atrichoseris platyphylla,49328,178,178,0,0,140,541.8626128705436,585373de874be76e042f93891e3672de151fabcd181fab286d23dfd4fc336062,,True,True,True
137,1,Encelia farinosa,49339,200,200,0,0,181,1582.0207075215624,3028f40e7843c5b53b2732c6f4d301118a2c9bd80ee5403f6bc0a3ab434a49e1,,True,True,True
138,2,Castilleja attenuata,49341,200,200,0,0,160,13165.000197482104,881926b7bcc798de218dcb39ab9bdabe41c3fae53d6e5145356990fec14130bb,,True,True,True
139,3,Castilleja coccinea,49342,200,200,0,0,185,2201.270607691848,fd5a5304bcf0124c68c71de06d238f4a4990a9ec39ee5e102bd5134cb9d03c97,,True,True,True
140,4,Castilleja exserta,49343,200,200,0,0,172,1530.1308391546745,20e37615f2e121358b9a4263f8cdf86884dfdbe080ea6aaf9bd2e3171c37c439,,True,True,True
141,5,Phacelia crenulata,49345,200,200,20,0,171,1059.8436669004811,e91f71f6d1c17920b13eed26c7e4c0df709f6e89e0b31d9f632fc964bed9148d,,True,True,True
142,6,Cylindropuntia bigelovii,49351,159,159,0,0,80,595.2403476835667,58ea8d0e77123ecb32041791a020e1f8d97466a350378057c4f78bf8534148e8,,False,True,True
143,7,Cylindropuntia acanthocarpa,49354,200,200,0,0,134,598.176312204025,b0a6b1e2dc4b9f74680512678c7adb5997202a1f27e08b338f5dba3b39303987,,True,True,True
144,0,Cylindropuntia echinocarpa,49357,200,200,0,0,151,621.8426740371008,3dddf6a13f6c9ac12375ec1af38cd79fd71d0677c916c85e64d9f24a8996e76f,,True,True,True
145,1,Carex pendula,49365,148,148,0,0,129,19660.328178196207,d170da944f67598b0bad7d4f2dd1f28fc6f3a773b3ad5f272dbc3b4f0a24dd80,,True,True,True
146,2,Stellaria alaskana,49387,1,1,0,0,1,0.0,34affaeeb50eb90c91de596029f54d09ebc10f7a59e556dfacf22593e9c57a22,,False,False,False
147,3,Kalmia latifolia,49397,200,200,0,0,197,2151.834321113138,85414e86a714b92e3d12881c8fa90a9c5b24fe82a03a272c3e725539779f6189,,True,True,True
148,4,Corallorhiza mertensiana,49444,200,200,0,0,192,2242.414699208476,892da18ffed9ed0e28c5df995cbde9a00360768adee43428e10ce72ea1da26e4,,True,True,True
149,5,Trillium ovatum,49463,200,200,0,0,194,1462.7809247176465,4332e3f50232f65a02c0bb00a5932763f3bed3feff8808d2e90825d487ae18f6,,True,True,True
150,6,Sarcodes sanguinea,49472,200,200,0,0,193,1496.9335364146698,95c6d4896cd66be24742fbb5a398ee033ab31280b1ab4e7a7194125410d92818,,True,True,True
151,7,Corallorhiza maculata,49475,200,200,0,0,197,4911.161304131902,ca5b6a08df9c4d3e6eab96d15d825570f9b18e10250e9464995fbcb68e460456,,True,True,True
152,0,Monotropa uniflora,49477,200,200,0,0,195,4699.982359582828,18c0aa44b75ae419c6666fa3532b0221b29c76833e95b8e2f7466f6f1e5dcbbb,,True,True,True
153,1,Rhododendron catawbiense,49486,200,200,0,0,184,787.9957456327475,6d46ebc5faf8532c827763a876dfb4f8f3e4394d48f3973da3dee01022155329,,True,True,True
154,2,Lilium lancifolium,49524,200,200,1,0,179,18946.92332141147,ae27e00e192506e7ab40ef01961dfd68c5f0aad88ce018d1bacc929132a2f4fb,,True,True,True
155,3,Cistanche tubulosa,49562,60,60,3,0,47,5277.928264020734,48ddaea19673d88c75695cdd070e734fa56c7c1cb40d2f437a32de769cccf89f,,False,False,False
156,4,Lupinus texensis,49564,200,200,0,0,195,1002.7170610134586,546728ac0855f35b2680e336831bd7d2733b9588ba0213f894c96e036b1ecde1,,True,True,True
157,5,Lupinus subcarnosus,49565,200,200,0,0,162,775.9946607976905,a9f45a5cd20273a786f3638a0508639418c74a04049af8cf34531920b6da3c8c,,True,True,True
158,6,Tillandsia usneoides,49569,168,168,0,0,160,15767.002339306631,f2a97f23aece0dc5e6856bf83a8d7294d7f3507546930dc6d224acf698daa8ba,,True,True,True
159,7,Pedicularis densiflora,49645,200,200,0,0,176,1191.54168483358,a219651da9fee6913fde6062a2017ededd533aa72611d4197c50a6cd39b23dd7,,True,True,True
160,0,Leucocrinum montanum,49647,200,200,0,0,172,1679.9865071368524,e8e2435d090ae6357044c7476987a3e128134f3625c22ec7be45973144776367,,True,True,True
