global_row_index,shard_index,species,inat_taxon_id,selected_raw_photo_target,total_results_probe,candidate_pages,candidate_pages_requested,candidate_page_errors,raw_results_from_candidate_pages,locally_eligible,prior_colour_experiment_excluded,wrong_taxon,deduplicated_metadata_rows,after_observer_cap,maximum_span_km_after_observer_cap,full_target,selected_candidate_rows
69,5,Bromus hordeaceus,52703,100,179,[1],1,{},179,179,0,0,179,135,19965.91749725901,True,100
70,6,Hordeum murinum,52796,100,334,"[1,2]",2,{},334,334,1,0,333,162,19872.705918613432,True,100
71,7,Achillea millefolium,52821,100,11984,"[16,7,29]",3,{},600,600,15,0,585,525,19996.901507149338,True,100
72,0,Artemisia vulgaris,52856,100,430,"[2,3,1]",3,{},430,430,4,0,426,325,10329.956538291435,True,100
73,1,Commelina communis,52927,100,4800,"[13,24,10]",3,{},600,600,0,0,600,541,17361.615408972917,True,100
74,2,Barbarea orthoceras,52976,100,202,"[2,1]",2,{},202,202,5,0,197,164,12074.044821025887,True,100
75,3,Kalmia angustifolia,53041,100,2407,"[13,1,10]",3,{},407,407,61,0,346,328,2456.97978766445,True,100
76,4,Galium triflorum,53065,100,544,"[1,2,3]",3,{},544,544,3,0,541,444,9732.736434632296,True,100
77,5,Geranium molle,53076,100,3635,"[8,18,2]",3,{},600,600,34,0,566,507,20000.829239289156,True,100
78,6,Pseudognaphalium californicum,53077,100,425,"[1,3,2]",3,{},425,425,0,0,425,320,1011.5706491509038,True,100
79,7,Pseudognaphalium ramosissimum,53088,100,180,[1],1,{},180,180,0,0,180,162,854.8103099111985,True,100
80,0,Helenium puberulum,53092,100,239,"[1,2]",2,{},239,239,0,0,239,190,1061.2239445781354,True,100
81,1,Osmorhiza berteroi,53166,100,161,[1],1,{},161,161,1,0,160,144,12779.912997729318,True,100
82,2,Phacelia imbricata,53171,100,155,[1],1,{},155,155,0,0,155,142,868.0462014089123,True,100
83,3,Rafinesquia californica,53193,100,131,[1],1,{},131,131,0,0,131,112,1109.7042527858896,True,100
84,4,Delairea odorata,53208,100,391,"[2,1]",2,{},391,391,0,0,391,341,19852.10715835472,True,100
85,5,Silene gallica,53212,100,1195,"[4,6,2]",3,{},595,595,1,0,594,481,20004.88606888545,True,100
86,6,Salvia hispanica,53219,100,171,[1],1,{},171,171,1,0,170,161,19211.566668501357,True,100
87,7,Thalictrum fendleri,53299,100,176,[1],1,{},176,176,0,0,176,157,1946.510581635721,True,100
88,0,Cerastium fontanum,53307,100,391,"[1,2]",2,{},391,391,0,0,391,325,19661.14006383551,True,100
89,1,Vicia sativa,53324,100,3822,"[3,5,18]",3,{},600,600,57,0,543,478,20000.189490187127,True,100
90,2,Viola adunca,53328,100,1074,"[5,1,3]",3,{},600,600,2,0,598,446,5026.583385659383,True,100
91,3,Artemisia californica,53357,100,259,"[2,1]",2,{},259,259,0,0,259,165,901.8346618861832,True,100
92,4,Corylus cornuta,53374,100,432,"[1,2,3]",3,{},432,432,1,0,431,297,5115.363686028691,True,100
93,5,Eriophyllum confertiflorum,53395,100,1124,"[1,6,4]",3,{},524,524,1,0,523,399,817.1841901724592,True,100
94,6,Humulus lupulus,53779,100,209,"[2,1]",2,{},209,209,0,0,209,181,19927.162562197915,True,100
95,7,Fumaria officinalis,53785,100,648,"[3,4,2]",3,{},448,448,1,0,447,373,19641.84719767053,True,100
96,0,Tragopogon porrifolius,54141,100,713,"[1,2,3]",3,{},600,600,0,0,600,548,20008.54220485432,True,100
97,1,Rubus idaeus,54436,100,268,"[1,2]",2,{},268,268,2,0,266,238,19434.333450231163,True,100
98,2,Ferocactus cylindraceus,54453,100,1198,"[5,2,6]",3,{},598,598,1,0,597,292,527.3726764557754,True,100
99,3,Tanacetum parthenium,54520,100,651,"[2,1,3]",3,{},600,600,1,0,599,540,19973.784644721243,True,100
100,4,Marrubium vulgare,54605,100,516,"[2,1,3]",3,{},516,516,2,0,514,444,19959.39534735462,True,100
101,5,Cypripedium calceolus,54638,100,336,"[1,2]",2,{},336,336,7,0,329,216,9790.26476114098,True,100
102,6,Platanthera chlorantha,54639,100,425,"[3,2,1]",3,{},425,425,3,0,422,333,4033.8446750601247,True,100
103,7,Corylus americana,54770,100,253,"[2,1]",2,{},253,253,0,0,253,191,2359.499017028166,True,100
104,0,Cornus florida,54777,100,2206,"[1,7,11]",3,{},600,600,2,0,598,554,2618.8427002889903,True,100
105,1,Lindera benzoin,54793,100,2049,"[11,2,4]",3,{},449,449,0,0,449,401,2272.997355199349,True,100
106,2,Zanthoxylum americanum,54836,100,154,[1],1,{},154,154,0,0,154,126,2279.668790089411,True,100
107,3,Salix bebbiana,54843,100,329,"[2,1]",2,{},329,329,5,0,324,250,8209.245395780157,True,100
108,4,Trichostema lanceolatum,54875,100,1304,"[1,5,4]",3,{},600,600,0,0,600,527,1368.5056432911133,True,100
109,5,Arabidopsis thaliana,55021,100,972,"[2,5,1]",3,{},572,572,2,0,570,432,19981.051777873283,True,100
110,6,Raphanus raphanistrum,55411,100,2018,"[4,3,2]",3,{},600,600,1,0,599,530,19969.471632023957,True,100
111,7,Trifolium lupinaster,55443,100,180,[1],1,{},180,180,9,0,171,101,6913.952532940975,True,100
112,0,Solanum dulcamara,55620,100,4852,"[24,22,3]",3,{},600,600,122,0,478,443,19809.97697677549,True,100
113,1,Erythronium albidum,55629,100,2132,"[6,8,10]",3,{},600,600,1,0,599,471,2222.085353445901,True,100
114,2,Sagina procumbens,55667,100,263,"[1,2]",2,{},263,263,4,0,259,189,19957.6050633526,True,100
115,3,Symphytum officinale,55724,100,1351,"[2,5,1]",3,{},600,600,75,0,525,427,10987.123668588078,True,100
116,4,Cymbalaria muralis,55727,100,4294,"[7,20,17]",3,{},600,600,85,0,515,417,19999.921644468886,True,100
117,5,Sedum acre,55734,100,1446,"[6,8,3]",3,{},446,446,129,0,317,289,19702.043293335024,True,100
118,6,Viola tricolor,55739,100,2043,"[2,6,8]",3,{},600,600,10,0,590,535,19554.813515614365,True,100
119,7,Trifolium repens,55745,100,13405,"[5,6,10]",3,{},600,600,6,0,594,485,19886.111672067986,True,100
120,0,Silene dioica,55759,100,3007,"[4,2,1]",3,{},600,600,0,0,600,487,19920.28896034144,True,100
121,1,Euphorbia cyparissias,55766,100,1512,"[6,7,1]",3,{},600,600,124,0,476,393,10759.801279065938,True,100
122,2,Adoxa moschatellina,55790,100,994,"[1,4,3]",3,{},600,600,4,0,596,512,12000.394464152472,True,100
123,3,Luzula campestris,55795,100,199,[1],1,{},199,199,0,0,199,161,19879.72688287234,True,100
124,4,Tulipa sylvestris,55798,100,1318,"[4,3,7]",3,{},518,518,0,0,518,452,10204.492122908116,True,100
125,5,Leucojum aestivum,55809,100,564,"[2,3,1]",3,{},564,564,1,0,563,529,19960.723865604527,True,100
126,6,Corydalis solida,55814,100,2023,"[6,1,10]",3,{},600,600,2,0,598,485,9050.612889245676,True,100
127,7,Cardamine hirsuta,55829,100,2383,"[5,2,12]",3,{},583,583,1,0,582,472,19988.49938841387,True,100
128,0,Primula elatior,55840,100,1137,"[2,4,3]",3,{},600,600,0,0,600,508,7514.757720226781,True,100
129,1,Petasites hybridus,55850,100,596,"[3,1,2]",3,{},596,596,1,0,595,542,9970.77735864366,True,100
130,2,Datura stramonium,55854,100,1682,"[2,3,7]",3,{},600,600,47,0,553,503,19987.54429088261,True,100
131,3,Cornus mas,55858,100,857,"[4,5,1]",3,{},457,457,0,0,457,398,10484.746032780267,True,100
132,4,Lonicera periclymenum,55885,100,488,"[1,3,2]",3,{},488,488,2,0,486,424,20003.22080440428,True,100
133,5,Lunaria annua,55886,100,7327,"[5,24,20]",3,{},600,600,0,0,600,594,19981.98103181716,True,100
134,6,Geum urbanum,55891,100,1342,"[7,2,3]",3,{},542,542,0,0,542,458,20003.954251701645,True,100
135,7,Agrimonia pilosa,55894,100,126,[1],1,{},126,126,2,0,124,104,8185.349705320899,True,100
136,0,Papaver dubium,55918,100,767,"[1,3,4]",3,{},567,567,4,0,563,448,19982.84418353291,True,100
137,1,Galeopsis bifida,55967,100,379,"[2,1]",2,{},379,379,5,0,374,279,11078.410722176915,True,100
138,2,Tanacetum vulgare,55971,100,4379,"[18,13,5]",3,{},600,600,56,0,544,477,10320.617117756125,True,100
139,3,Malva moschata,55977,100,1026,"[5,6,4]",3,{},426,426,0,0,426,372,9776.87858687296,True,100
140,4,Chasmanthe floribunda,56028,100,135,[1],1,{},135,135,1,0,134,108,19809.068506056752,True,100
141,5,Leucanthemum vulgare,56057,100,6078,"[6,30,4]",3,{},600,600,61,0,539,453,19411.884193692684,True,100
142,6,Alliaria petiolata,56061,100,10289,"[34,20,43]",3,{},600,600,1,0,599,566,12148.853794664026,True,100
143,7,Hyacinthoides non-scripta,56132,100,2000,"[6,9,5]",3,{},600,600,109,0,491,369,8617.491632966474,True,100
144,0,Muscari botryoides,56134,100,343,"[2,1]",2,{},343,343,0,0,343,298,11397.119882324245,True,100
145,1,Primula vulgaris,56136,100,2728,"[8,13,4]",3,{},600,600,58,0,542,435,20003.89090348694,True,100
146,2,Ornithogalum umbellatum,56137,100,4327,"[16,6,13]",3,{},600,600,1,0,599,590,19583.54794437788,True,100
147,3,Juncus effusus,56153,100,226,"[2,1]",2,{},226,226,0,0,226,174,19712.618936041534,True,100
148,4,Echium vulgare,56174,100,5265,"[24,3,5]",3,{},600,600,0,0,600,506,20011.34961346877,True,100
149,5,Vicia hirsuta,56188,100,667,"[2,3,4]",3,{},467,467,0,0,467,371,19912.707481889232,True,100
150,6,Carlina acaulis,56299,100,735,"[3,4,1]",3,{},535,535,0,0,535,477,2479.3392720069014,True,100
151,7,Castilleja foliolosa,56760,100,873,"[1,2,3]",3,{},600,600,0,0,600,383,1020.9752286693964,True,100
152,0,Quercus durata,56796,100,118,[1],1,{},118,118,0,0,118,101,753.2518299507964,True,100
153,1,Lomatium macrocarpum,56826,100,553,"[2,3,1]",3,{},553,553,0,0,553,370,2132.6556513241526,True,100
154,2,Perideridia kelloggii,56838,100,181,[1],1,{},181,181,0,0,181,100,193.10531794904904,True,100
155,3,Calycadenia multiglandulosa,56863,100,186,[1],1,{},186,186,0,0,186,148,285.2680664356619,True,100
156,4,Crepis vesicaria,56868,100,186,[1],1,{},186,186,0,0,186,134,19962.97237275797,True,100
157,5,Scilla bifolia,56934,100,1664,"[7,5,3]",3,{},600,600,0,0,600,495,10113.472764423306,True,100
158,6,Wyethia angustifolia,56987,100,465,"[1,3,2]",3,{},465,465,0,0,465,367,1149.2811047339712,True,100
159,7,Lupinus formosus,57054,100,226,"[2,1]",2,{},226,226,1,0,225,166,948.4548688851528,True,100
160,0,Medicago lupulina,57056,100,4375,"[14,7,4]",3,{},600,600,1,0,599,474,20008.409569362386,True,100
161,1,Lupinus microcarpus,57069,100,408,"[2,1,3]",3,{},408,408,0,0,408,322,10161.563814205596,True,100
162,2,Trifolium campestre,57076,100,2391,"[3,1,7]",3,{},600,600,0,0,600,511,20003.81399665833,True,100
163,3,Trifolium microdon,57079,100,248,"[2,1]",2,{},248,248,0,0,248,153,1722.5404941484553,True,100
164,4,Cicendia quadrangularis,57087,100,218,"[2,1]",2,{},218,218,0,0,218,144,13211.271036596989,True,100
165,5,Brodiaea coronaria,57126,100,937,"[1,5,2]",3,{},537,537,0,0,537,431,1149.383114192256,True,100
166,6,Koeleria macrantha,57183,100,139,[1],1,{},139,139,0,0,139,112,12816.406850016432,True,100
167,7,Navarretia heterodoxa,57209,100,201,"[2,1]",2,{},201,201,0,0,201,117,126.26160683198373,True,100
168,0,Eriogonum latifolium,57211,100,416,"[1,2,3]",3,{},416,416,0,0,416,306,717.0794345894924,True,100
169,1,Prunus ilicifolia,57250,100,198,[1],1,{},198,198,0,0,198,184,1574.303023603345,True,100
170,2,Parietaria judaica,57281,100,427,"[1,3,2]",3,{},427,427,2,0,425,270,19980.905084661492,True,100
171,3,Vicia tetrasperma,57310,100,289,"[1,2]",2,{},289,289,0,0,289,253,19730.462055407337,True,100
172,4,Lathyrus aphaca,57311,100,161,[1],1,{},161,161,1,0,160,130,11380.268174238498,True,100
173,5,Vicia ludoviciana,57312,100,302,"[1,2]",2,{},302,302,0,0,302,206,3200.736445629589,True,100
174,6,Amorpha fruticosa,57356,100,683,"[1,3,4]",3,{},483,483,1,0,482,458,12736.812041242072,True,100
175,7,Pulsatilla pratensis,57393,100,186,[1],1,{},186,186,1,0,185,130,2442.6235046843326,True,100
176,0,Legousia speculum-veneris,57427,100,130,[1],1,{},130,130,1,0,129,111,3119.178187557784,True,100
177,1,Stachys palustris,57457,100,1178,"[4,5,2]",3,{},600,600,6,0,594,383,19580.16574011847,True,100
178,2,Ononis natrix,57504,100,199,[1],1,{},199,199,2,0,197,144,4000.930720125111,True,100
179,3,Muscari armeniacum,57847,100,302,"[1,2]",2,{},302,302,0,0,302,255,19385.5880054014,True,100
180,4,Nuphar lutea,57850,100,941,"[2,1,4]",3,{},600,600,0,0,600,453,7863.99408473918,True,100
181,5,Fumaria capreolata,57852,100,1650,"[5,1,4]",3,{},600,600,0,0,600,532,20006.219887693907,True,100
182,6,Veronica anagallis-aquatica,57858,100,970,"[5,3,4]",3,{},570,570,1,0,569,481,19993.48147424488,True,100
183,7,Marina parryi,57874,100,120,[1],1,{},120,120,0,0,120,108,1091.8684580666425,True,100
184,0,Eschscholzia minutiflora,57881,100,793,"[2,4,3]",3,{},593,593,0,0,593,385,1200.9283148611817,True,100
185,1,Erigeron foliosus,57972,100,162,[1],1,{},162,162,0,0,162,150,1460.3721745174084,True,100
186,2,Corethrogyne filaginifolia,58014,100,895,"[4,5,2]",3,{},495,495,0,0,495,375,1434.5629933046107,True,100
187,3,Stephanomeria exigua,58039,100,170,[1],1,{},170,170,0,0,170,134,1852.1208234289843,True,100
188,4,Amsinckia tessellata,58050,100,304,"[2,1]",2,{},304,304,0,0,304,242,1715.5707815552246,True,100
189,5,Cryptantha barbigera,58054,100,156,[1],1,{},156,156,0,0,156,126,932.2339427845212,True,100
190,6,Descurainia sophia,58074,100,340,"[2,1]",2,{},340,340,3,0,337,258,12838.48550528291,True,100
191,7,Lepidium lasiocarpum,58083,100,186,[1],1,{},186,186,1,0,185,142,1794.7509711872726,True,100
192,0,Sisymbrium irio,58085,100,625,"[1,2,4]",3,{},425,425,5,0,420,321,18435.126975447223,True,100
193,1,Thysanocarpus curvipes,58088,100,111,[1],1,{},111,111,0,0,111,104,2151.166103034718,True,100
194,2,Trifolium depauperatum,58164,100,523,"[2,1,3]",3,{},523,523,0,0,523,400,1820.7460991116693,True,100
195,3,Malva parviflora,58202,100,1230,"[4,5,3]",3,{},600,600,3,0,597,476,19721.060364303685,True,100
196,4,Forestiera pubescens,58211,100,172,[1],1,{},172,172,0,0,172,151,2552.613223631,True,100
197,5,Plantago ovata,58230,100,487,"[1,2,3]",3,{},487,487,0,0,487,314,13560.319387029644,True,100
198,6,Punica granatum,58300,100,177,[1],1,{},177,177,3,0,174,164,19953.65231989556,True,100
199,7,Koelreuteria paniculata,58320,100,290,"[1,2]",2,{},290,290,1,0,289,282,19462.99110624702,True,100
200,0,Datura wrightii,58331,100,2301,"[10,12,4]",3,{},501,501,0,0,501,404,10829.001448607169,True,100
201,1,Calochortus splendens,58361,100,1401,"[1,6,8]",3,{},401,401,0,0,401,294,1105.175990554536,True,100
202,2,Sorghum halepense,58387,100,303,"[2,1]",2,{},303,303,0,0,303,193,19431.72265596884,True,100
203,3,Toxicodendron radicans,58732,100,508,"[1,2,3]",3,{},508,508,1,0,507,456,4161.454232464295,True,100
204,4,Cotula coronopifolia,58812,100,844,"[2,4,3]",3,{},600,600,5,0,595,437,19987.720775802867,True,100
205,5,Dittrichia graveolens,58822,100,384,"[2,1]",2,{},384,384,0,0,384,289,19979.96102884949,True,100
206,6,Heterotheca grandiflora,58831,100,826,"[5,2,1]",3,{},426,426,1,0,425,340,4669.897565675239,True,100
207,7,Lupinus concinnus,58901,100,375,"[1,2]",2,{},375,375,0,0,375,279,1320.6660787204198,True,100
208,0,Geranium carolinianum,58917,100,1262,"[5,3,2]",3,{},600,600,1,0,599,499,13876.045004274614,True,100
209,1,Plantago coronopus,58960,100,477,"[2,3,1]",3,{},477,477,1,0,476,353,20001.388229876167,True,100
210,2,Verbascum thapsus,59029,100,3057,"[10,8,6]",3,{},600,600,2,0,598,510,19798.57114275291,True,100
211,3,Nicotiana attenuata,59034,100,155,[1],1,{},155,155,0,0,155,144,2570.741984619554,True,100
212,4,Solanum americanum,59035,100,798,"[4,3,1]",3,{},598,598,10,0,588,502,19944.56237255512,True,100
213,5,Eriogonum wrightii,59243,100,262,"[2,1]",2,{},262,262,1,0,261,216,1976.5930051889409,True,100
214,6,Allium schoenoprasum,59254,100,521,"[1,2,3]",3,{},521,521,2,0,519,492,19968.64534024444,True,100
215,7,Trifolium stellatum,59417,100,165,[1],1,{},165,165,0,0,165,134,5750.658907180477,True,100
216,0,Erythronium oregonum,59520,100,1037,"[3,5,2]",3,{},600,600,0,0,600,510,882.7260909078071,True,100
217,1,Arctium minus,59570,100,552,"[3,2,1]",3,{},552,552,1,0,551,500,19958.624722313914,True,100
218,2,Erigeron divergens,59752,100,154,[1],1,{},154,154,1,0,153,133,3681.516229095542,True,100
219,3,Erigeron pulchellus,59753,100,1509,"[6,4,1]",3,{},600,600,114,0,486,416,2197.3631735497656,True,100
220,4,Lonicera morrowii,59773,100,295,"[2,1]",2,{},295,295,0,0,295,265,4254.815115349791,True,100
221,5,Plantago media,59779,100,1079,"[2,4,6]",3,{},479,479,3,0,476,408,9291.697891538275,True,100
222,6,Iris sibirica,59943,100,234,"[1,2]",2,{},234,234,0,0,234,192,9376.816605413684,True,100
223,7,Phacelia hastata,59982,100,289,"[1,2]",2,{},289,289,0,0,289,237,1808.9985450344736,True,100
224,0,Conopholis alpina,59983,100,355,"[2,1]",2,{},355,355,2,0,353,324,2804.164265798227,True,100
225,1,Orobanche gracilis,60027,100,197,[1],1,{},197,197,0,0,197,132,2864.5134538810075,True,100
226,2,Hydrocotyle verticillata,60121,100,282,"[2,1]",2,{},282,282,0,0,282,247,19879.78009296101,True,100
227,3,Hoita macrostachya,60186,100,143,[1],1,{},143,143,0,0,143,134,1007.6963104959032,True,100
228,4,Trifolium subterraneum,60201,100,1932,"[1,6,8]",3,{},600,600,125,0,475,388,19972.807979815127,True,100
229,5,Ludwigia peploides,60220,100,450,"[2,1,3]",3,{},450,450,1,0,449,397,19703.7565598418,True,100
230,6,Anemopsis californica,60241,100,484,"[3,1,2]",3,{},484,484,0,0,484,407,2307.9961629209733,True,100
231,7,Asparagus officinalis,60265,100,167,[1],1,{},167,167,1,0,166,158,19734.56578043022,True,100
232,0,Paspalum dilatatum,60295,100,404,"[2,1,3]",3,{},404,404,2,0,402,314,20009.15958738692,True,100
233,1,Geranium yeoi,60360,100,288,"[2,1]",2,{},288,288,0,0,288,278,19155.866535175588,True,100
234,2,Cardamine concatenata,60438,100,3148,"[3,5,11]",3,{},600,600,0,0,600,535,2234.459204220479,True,100
235,3,Linum lewisii,60490,100,846,"[1,4,2]",3,{},600,600,0,0,600,488,5017.755165300129,True,100
236,4,Erythronium grandiflorum,60496,100,2184,"[6,11,10]",3,{},584,584,0,0,584,468,2234.0626913345254,True,100
237,5,Erythronium montanum,60505,100,550,"[1,3,2]",3,{},550,550,0,0,550,453,596.7795201236473,True,100
238,6,Rhododendron occidentale,60527,100,414,"[2,1,3]",3,{},414,414,0,0,414,356,1316.16795439222,True,100
239,7,Polygonum paronychia,60734,100,283,"[2,1]",2,{},283,283,0,0,283,235,1608.3457391498646,True,100
