species,inat_taxon_id,first_v2_round,n_v2_rounds_seen,unique_v2_observations,occupied_v2_cells
Sempervivum marmoreum,443481,4,1,1,1
Sesbania bispinosa,443513,11,1,1,1
Sesbania javanica,443517,1,1,1,1
Sideritis hyssopifolia,443674,3,5,10,2
Smithia hirsuta,443763,9,2,3,1
Sonneratia apetala,443828,7,2,2,1
Sphaeranthus indicus,443879,3,8,8,4
Stetsonia coryne,443965,2,5,6,2
Streptocarpus saxorum,443999,4,4,3,2
Swertia iberica,444046,2,1,1,1
Tacinga inamoena,444203,1,11,24,3
Tacinga palmadora,444204,3,8,13,2
Talinum portulacifolium,444212,4,3,2,1
Tephrocactus molinensis,444261,15,1,1,1
Tephrocactus nigrispinus,444262,16,1,1,1
Teucrium betonicum,444329,8,2,4,1
Torenia bicolor,444375,4,5,5,1
Tricalysia ovalifolia,444413,2,7,2,1
Utricularia reticulata,444554,4,5,12,1
Weberbauerocereus albus,444815,12,1,1,1
Weberbauerocereus weberbaueri,444820,2,4,6,1
Woodfordia fruticosa,444872,3,10,21,6
Yungasocereus inquisivensis,444935,12,2,2,1
Zeyheria tuberculosa,444965,16,2,2,1
Hyoscyamus aureus,446672,2,16,51,2
Pimelea carnosa,446696,1,4,4,1
Melaleuca thymifolia,446704,3,5,5,2
Hualania colletioides,446717,13,1,1,1
Genoplesium morrisii,446738,8,4,9,1
Centaurea depressa,446741,6,5,8,4
Oxalis erythrorhiza,446788,5,2,2,1
Lycoris squamigera,446794,1,2,3,2
Dioscorea heteropoda,446806,5,3,1,1
Catharanthus trichophyllus,446827,5,3,1,1
Mascarenhasia lisianthiflora,446917,2,7,2,1
Peperomia retusa,446928,4,2,2,1
Aristolochia paecilantha,446990,18,1,1,1
Aluta maisonneuvei,447017,1,13,23,1
Acacia kempeana,447033,5,1,1,1
Eremophila latrobei,447034,1,16,37,2
Ebenus cretica,447040,9,1,1,1
Syncarpha eximia,447044,4,2,2,1
Colchicum trigynum,447054,5,1,1,1
Ficaria fascicularis,447059,8,3,3,1
Persicaria extremiorientalis,447069,5,1,2,1
Corydalis incisa,447077,1,10,22,3
Primula denticulata,447082,4,8,35,2
Acer rufinerve,447110,10,2,2,1
Pseudarthria hookeri,447187,8,4,6,2
Illicium anisatum,447191,2,1,1,1
Petalostylis cassioides,447212,1,8,11,2
Stemodia viscosa,447213,1,3,3,2
Hibiscus sturtii,447214,13,1,4,1
Rutidosis helichrysoides,447216,2,1,1,1
Grevillea wickhamii,447219,3,14,27,3
Solanum orbiculatum,447225,1,2,2,1
Patrinia scabiosifolia,447233,6,2,2,2
Dianthus superbus,447244,1,16,25,8
Myrsine seguinii,447256,3,2,3,2
Lycoris sanguinea,447261,1,4,3,3
Patrinia villosa,447271,2,3,1,1
Ranunculus japonicus,447277,1,5,5,2
Vicia unijuga,447290,3,8,16,2
Anarthrophyllum elegans,447320,6,2,2,1
Acanthus syriacus,447384,3,3,3,1
Arum rupicola,447386,4,1,1,1
Onobrychis cornuta,447388,6,3,5,1
Colliguaja integerrima,447398,4,3,3,2
Withania frutescens,447455,20,1,1,1
Orchis anatolica,447462,3,2,3,1
Kleinia anteuphorbium,447508,4,1,1,1
Rhododendron keiskei,447530,3,1,1,1
Lycium chilense,447537,1,8,10,2
Larrea cuneifolia,447543,6,2,2,1
Nothofagus betuloides,447545,1,6,6,2
Senna arnottiana,447547,5,2,4,1
Acaena caespitosa,447549,14,1,2,1
Dalechampia schippii,447559,10,2,2,1
Viola grypoceras,447563,5,7,5,2
Disporum smilacinum,447617,5,3,2,2
Disporum sessile,447627,7,3,3,2
Salvia japonica,447634,16,1,1,1
Salvia nipponica,447638,2,5,7,2
Ajuga nipponensis,447644,12,2,3,1
Osmitopsis asteriscoides,447652,3,3,3,1
Andrachne telephioides,447668,5,5,6,3
Aristolochia sempervirens,447669,20,1,1,1
Chloranthus serratus,447697,4,2,2,1
Zuccagnia punctata,447704,10,1,2,1
Hyalis argentea,447706,15,1,1,1
Ligaria cuneifolia,447708,2,6,10,3
Echium albicans,447729,18,2,2,1
Linaria micrantha,447734,9,1,1,1
Rosa sericea,447809,7,3,3,1
Dianthus arenarius,447811,1,2,2,1
Fragaria viridis,447812,2,17,60,7
Galega orientalis,447819,1,13,17,5
Laserpitium latifolium,447833,13,2,2,1
Polygala comosa,447849,2,5,10,7
Dianthus strictus,447860,5,6,10,2
Reseda muricata,447866,13,1,1,1
Rubus saxatilis,447878,5,6,11,3
Adenophora liliifolia,447880,1,6,7,2
Dracocephalum austriacum,447881,9,1,1,1
Berberis wilsoniae,447897,9,1,1,1
Ribes spicatum,447910,10,1,1,1
Viola elatior,447920,5,5,5,3
Viola pumila,447922,9,1,1,1
Iris aphylla,447945,3,4,5,3
Physorhynchus chamaerapistrum,447957,1,2,3,1
Senecio filaginoides,447991,5,3,5,2
Neosparton aphyllum,447994,5,2,2,1
Adesmia pinifolia,447996,4,3,4,2
Stachyurus praecox,448007,12,1,1,1
Rubus hirsutus,448020,4,5,6,1
Corylus heterophylla,448040,12,1,1,1
Vitis ficifolia,448062,11,1,1,1
Weigela hortensis,448066,8,2,1,1
Carduus defloratus,448073,1,4,5,1
Ferulago galbanifera,448088,8,1,1,1
Fumana procumbens,448090,13,1,1,1
Gentiana utriculosa,448092,4,1,1,1
Rubus crataegifolius,448109,1,4,6,2
Lonicera alpigena,448130,11,1,1,1
Melica nutans,448134,7,2,2,2
Silene saxifraga,448161,6,2,3,2
Veronica fruticulosa,448165,8,1,1,1
Bidens andicola,448195,2,5,8,2
Lasiocephalus ovatus,448202,5,3,3,1
Torenia flava,448215,2,3,3,3
Puya hamata,448224,11,2,3,1
Viola inconspicua,448245,11,5,5,2
Quercus salicina,448270,12,1,2,1
Lindera obtusiloba,448339,7,3,6,1
Broughtonia lindenii,448483,16,1,1,1
Jacquemontia sandwicensis,448551,4,9,14,1
Kadua affinis,448552,2,10,15,1
Liparia vestita,449249,4,1,1,1
Podalyria calyptrata,449272,3,2,2,1
Saltera sarcocolla,449753,3,8,15,1
Biscutella didyma,450160,2,5,10,1
Megacarpaea megalocarpa,450161,17,1,1,1
Crataegus rhipidophylla,450225,20,1,1,1
Filipendula camtschatica,450238,3,8,5,2
Cornus officinalis,450254,7,2,2,1
Echium parviflorum,450269,9,1,1,1
Hippocrepis unisiliquosa,450273,11,1,1,1
Orobanche pubescens,450283,11,1,1,1
Baccharis trimera,450291,1,5,5,2
Ulmus laevis,450330,2,3,3,2
Nothofagus obliqua,450336,6,1,1,1
Salix udensis,450362,5,4,2,1
Hypericum nummularium,450389,1,4,6,1
Geranium endressii,450391,10,2,2,2
Geranium psilostemon,450393,14,1,1,1
Geranium reuteri,450399,1,6,11,1
Erodium crinitum,450491,1,5,5,2
Erodium manescavi,450492,5,1,1,1
Linaria pedunculata,450555,8,1,1,1
Thapsia villosa,450557,2,1,1,1
Echium gaditanum,450558,3,5,8,1
Chadsia versicolor,450599,5,6,2,2
Viburnum erosum,450617,10,1,2,1
Cynanchum perrieri,450627,5,3,1,1
Acridocarpus excelsus,450631,7,3,1,1
Amana erythronioides,450646,17,1,4,1
Heliconia subulata,450710,9,1,1,1
Hydrangea luteovenosa,450808,10,1,1,1
Viola alba,450816,5,5,8,2
Rhododendron mucronulatum,450880,2,9,15,2
Limonium platyphyllum,450885,17,1,1,1
Limonium binervosum,450891,11,1,1,1
Lathyrus pannonicus,450916,11,2,3,2
Limonium lowei,450954,8,1,1,1
Neatostema apulum,450963,3,2,2,2
Lavoisiera grandiflora,450983,4,1,1,1
Taraxacum albidum,451021,2,9,29,2
Astragalus hamosus,451067,9,2,2,2
Leptospermum turbinatum,451070,3,1,1,1
Bupleurum semicompositum,451075,7,3,4,2
Euphorbia chamaesyce,451081,2,2,2,1
Ornithogalum arabicum,451201,1,1,1,1
Luzula capitata,451240,7,1,2,1
Silene baccifera,451454,2,5,7,6
Rhaponticum coniferum,451473,18,2,3,1
Atriplex sagittata,451727,1,1,1,1
Polycarpon polycarpoides,451740,13,1,1,1
Polygala monspeliaca,451743,18,1,1,1
Pachypodium decaryi,451750,3,3,1,1
Paederia lanata,451751,5,3,1,1
Ranunculus peduncularis,451790,2,9,5,1
Iris paradoxa,451856,8,1,1,1
Iris caucasica,451857,9,2,3,1
Iris furcata,451858,5,3,4,1
Carlina biebersteinii,451914,5,2,2,2
Dianthus alpinus,451972,4,1,1,1
Coffea perrieri,451985,5,3,1,1
Cephalanthera erecta,452013,4,1,1,1
Calanthe discolor,452014,4,2,18,1
Saururus chinensis,452025,2,6,9,3
Pollia japonica,452114,1,7,15,2
Corchoropsis crenata,452124,7,1,1,1
Dianella brevicaulis,452181,1,3,3,2
Eucalyptus crenulata,452182,18,1,1,1
Trichosanthes cucumeroides,452203,1,2,4,1
Chionanthus retusus,452213,10,1,1,1
Enkianthus perulatus,452218,12,1,1,1
Mallotus japonicus,452256,2,6,10,2
Lilium auratum,452268,1,4,5,2
Ajuga decumbens,452283,2,5,9,4
Hydrangea involucrata,452292,8,1,1,1
Tricyrtis formosana,452309,1,3,3,1
Cymbidium goeringii,452320,4,6,4,2
Fraxinus sieboldiana,452338,13,1,1,1
Cornus macrophylla,452340,9,2,3,3
Viburnum furcatum,452351,4,2,1,1
Forsythia koreana,452363,7,2,3,2
Artemisia capillaris,452402,2,1,2,1
Sambucus sieboldiana,452431,7,1,1,1
Eremogone capillaris,452473,6,8,9,2
Erythranthe moschata,453644,4,7,10,6
Tillandsia straminea,458494,1,3,5,2
Disperis tripetaloides,460144,2,10,3,2
Leucospermum calligerum,460162,1,7,10,3
Leucospermum glabrum,460164,6,1,1,1
Leucospermum hypophyllocarpodendron,460165,15,1,1,1
Leucospermum truncatum,460168,8,1,1,1
Corydalis intermedia,460171,5,1,1,1
Noccaea caerulescens,460172,9,1,1,1
Vitex pervillei,460176,3,3,1,1
Cyperus psammophilus,460185,5,3,1,1
Potentilla hebiichigo,460193,2,10,15,3
Dioscorea bemarivensis,460269,6,3,1,1
Salvia plebeia,460319,1,6,7,5
Tachiadenus carinatus,460397,5,3,1,1
Xerophyta retinervis,460439,1,4,8,1
Ficus drupacea,460461,11,1,1,1
Erica perspicua,460478,16,1,1,1
Erica pillansii,460482,16,1,1,1
Hypoestes pulchra,460485,5,3,1,1
Tulipa praestans,460506,9,3,12,1
Oxalis spiralis,460571,8,1,1,1
Crepis sancta,460587,6,7,9,2
Epidendrum arachnoglossum,460614,1,4,4,1
Salvia macrophylla,460615,18,1,1,1
Ixiolirion tataricum,460633,1,17,30,4
Stauntonia hexaphylla,460701,2,1,1,1
Allophylus edulis,460752,2,2,2,1
Tocoyena sellowiana,460831,2,4,4,2
Diaperia prolifera,460834,3,2,3,1
Alstroemeria gardneri,460841,10,4,5,1
Pulsatilla cernua,460886,9,2,2,2
Globularia vulgaris,460893,9,2,2,2
Helwingia japonica,461024,10,1,2,1
Pericallis aurita,461042,8,4,6,1
Artemisia argentea,461043,8,2,2,1
Artemisia thuscula,461044,2,3,4,1
Osmorhiza aristata,461186,7,3,2,2
Suaeda vermiculata,461192,11,1,1,1
Mimosa misera,461194,1,5,4,2
Ophrys umbilicata,461258,2,3,7,1
Calliandra dysantha,461331,1,15,41,1
Sphyrospermum buxifolium,461354,9,2,2,1
Digitalis laevigata,461357,2,1,1,1
Streblus asper,461500,11,1,1,1
Callicarpa formosana,461502,2,4,5,1
Billia rosea,461552,2,13,19,2
Berberis grevilleana,461582,6,3,3,2
Berberis empetrifolia,461583,1,10,17,3
Hysterionica jasionoides,461589,4,1,1,1
Argylia bustillosii,461591,19,1,1,1
Tristerix verticillatus,461593,2,3,4,2
Platymiscium floribundum,461655,16,1,1,1
Stachys lyallii,461670,5,3,1,1
Gardenia rutenbergiana,461688,7,3,1,1
Cymbopogon caesius,461690,8,1,1,1
Crossandra stenandrium,461701,5,3,1,1
Valeriana flaccidissima,461702,9,2,1,1
Arctopus echinatus,461713,1,3,5,3
Asparagus rubicundus,461717,9,5,5,2
Berzelia abrotanoides,461718,8,2,2,2
Berzelia lanuginosa,461722,4,5,5,2
Cassytha ciliolata,461729,15,2,2,2
Cullumia setosa,461732,3,3,3,1
Acer truncatum,461754,1,3,3,1
Meehania urticifolia,461789,4,2,2,1
Potentilla fragarioides,461805,2,10,12,4
Dendrobium fimbriatum,461811,5,2,3,1
Cybistax antisyphilitica,461865,5,1,1,1
Palicourea officinalis,461869,2,2,3,1
Peltaea polymorpha,461871,2,1,1,1
Actinocephalus polyanthus,461872,10,2,2,2
Geum reptans,461874,20,1,1,1
Cariniana rubra,461877,4,1,1,1
Clusia criuva,461882,7,2,2,1
Gomphrena macrocephala,461902,2,1,1,1
Sterculia chicha,461907,3,1,1,1
Erythrina suberosa,461918,4,5,6,2
Xeranthemum annuum,461931,2,7,35,3
Armeria alpina,461955,5,1,1,1
Arisaema nepenthoides,462026,3,2,2,1
Senecio raphanifolius,462061,3,1,1,1
Burchardia congesta,462071,1,17,60,2
Campanula pallida,462123,7,2,3,2
Pleione humilis,462178,1,5,5,1
Asparagus cochinchinensis,462199,3,4,4,2
Crotalaria aegyptiaca,464019,1,8,6,1
Caladenia venusta,464078,7,2,4,1
Caladenia longicauda,464080,6,4,6,2
Dioscorea analalavensis,464098,3,3,1,1
Caryocar brasiliense,464113,1,14,27,2
Sphinctanthus microphyllus,464154,17,2,2,1
Tropaeolum peregrinum,464158,11,2,3,1
Euryops arabicus,464183,7,1,4,1
Stilpnopappus cearensis,464227,1,7,6,1
Fragaria nubicola,464248,4,3,3,1
Parrotia persica,464251,20,1,1,1
Erythrina stricta,464270,18,1,1,1
Campanula alpina,464283,4,1,1,1
Erica spiculifolia,464285,16,1,1,1
Rousseauxia marojejensis,464316,3,3,1,1
Orthochilus litoralis,464335,14,1,1,1
Aetanthus mutisii,464343,5,2,2,1
Primula calderiana,464361,3,5,6,1
Primula glabra,464370,3,2,3,1
Rhododendron cinnabarinum,464373,8,1,1,1
Zygopetalum maculatum,464382,3,3,3,2
Polygonatum hookeri,464390,10,2,3,1
Trifolium spadiceum,464397,8,2,1,1
Ornithoglossum undulatum,464404,9,1,3,1
Gagea minima,464415,3,5,7,4
Euphorbia caput-medusae,464427,5,5,5,2
Phyllanthus rotundifolius,464552,6,3,4,1
Dolichandra cynanchoides,464557,6,4,4,3
Launaea nudicaulis,464562,2,6,7,3
Byrsonima rigida,464572,20,1,1,1
Euphorbia griffithii,464595,1,1,1,1
Premna tomentosa,464597,5,1,1,1
Aristolochia indica,464599,7,1,1,1
Pterolobium hexapetalum,464603,2,3,3,1
Pavetta indica,464610,18,1,1,1
Erythroxylum monogynum,464611,14,1,1,1
Canthium coromandelicum,464613,12,1,1,1
Cipadessa baccifera,464614,3,1,1,1
Barleria buxifolia,464616,5,2,3,2
Bucquetia glutinosa,464618,3,3,3,1
Salvia nubicola,464687,7,2,2,1
Terminalia arjuna,464765,5,2,2,2
Frankenia hirsuta,464796,13,2,4,1
Iris graminea,464801,6,4,4,2
Pityrocarpa moniliformis,464809,2,7,7,3
Cuphea flava,464817,2,7,7,2
Cornus bretschneideri,464851,11,1,1,1
Lathyrus setifolius,464914,9,1,1,1
Polygala rupestris,464915,4,1,1,1
Epidendrum denticulatum,465061,4,7,7,2
Passiflora bogotensis,465063,2,3,5,1
Macleania rupestris,465065,5,5,9,3
Silybum eburneum,465071,8,1,1,1
Echium humile,465107,7,6,12,1
Echinops spinosissimus,465181,1,3,3,1
Acacia peuce,465191,10,1,1,1
Tillandsia simulata,465196,18,1,1,1
Thyrsanthella difformis,465203,14,1,1,1
Gladiolus imbricatus,465207,4,3,3,2
Gunnera magellanica,465228,2,7,10,3
Ribes magellanicum,465229,3,9,7,2
Vallea stipularis,465262,2,9,14,3
Aechmea mariae-reginae,465269,2,1,1,1
Hibiscus caerulescens,465312,4,3,1,1
Azorella lycopodioides,465342,3,6,3,1
Chiliotrichum diffusum,465345,1,20,29,2
Empetrum rubrum,465349,7,2,2,2
Gaultheria pumila,465356,1,6,4,2
Leucheria purpurea,465362,1,3,5,1
Nassauvia latissima,465364,7,2,1,1
Nassauvia pygmaea,465365,6,3,2,2
Nothofagus pumilio,465366,3,5,4,2
Onuris alismatifolia,465367,2,3,1,1
Gasteranthus wendlandianus,465392,19,1,2,1
Rubus geoides,465433,2,16,18,2
Bergenia purpurascens,465492,8,2,2,1
Achillea clypeolata,465494,16,1,1,1
Glandularia aristigera,465569,1,15,29,4
Salvia tomentella,465589,10,1,1,1
Orostachys thyrsiflora,465606,5,2,3,1
Euphorbia clandestina,465620,15,1,1,1
Campanula cervicaria,465860,13,5,5,3
Guettarda platypoda,465867,4,8,16,3
Melaleuca lanceolata,465912,2,8,10,3
Olearia ramulosa,465914,2,9,14,2
Stigmaphyllon paralias,465949,1,9,12,3
Centrosema brasilianum,465950,1,17,60,3
Passiflora amoena,465952,1,8,9,1
Voyria corymbosa,465970,3,8,12,2
Ormosia coutinhoi,465975,15,1,1,1
Costus spiralis,465976,2,4,3,3
Tibouchina aspera,465980,2,2,2,1
Eperua falcata,465991,5,2,2,1
Isertia coccinea,465997,2,4,4,1
Allium senescens,466076,14,1,2,2
Thermopsis lanceolata,466078,4,6,6,4
Iris reichenbachii,466083,13,1,1,1
Mandevilla moricandiana,466163,5,3,5,2
Primula matthioli,466237,8,3,3,3
Triolena hirsuta,466339,3,2,2,2
Miconia nervosa,466340,5,3,3,2
Anthurium clavigerum,466411,1,10,13,4
Celosia spicata,466451,6,5,6,6
Salvia clinopodioides,466485,1,5,6,3
Silene psammitis,466535,2,1,1,1
Gymnema sylvestre,466595,1,5,5,2
Anchomanes difformis,466801,17,1,1,1
Eulophia caricifolia,466817,8,1,1,1
Pterostylis trullifolia,466837,1,7,32,1
Pterostylis alobula,466838,1,7,29,1
Gardenia thunbergia,466979,20,1,1,1
Barleria her,467151,2,4,1,1
Pavonia sepium,467158,1,9,18,4
Lithospermum notatum,467195,6,1,1,1
Canarina canariensis,467283,2,9,18,1
Pericallis steetzii,467308,1,2,3,1
Cistus symphytifolius,467310,2,6,11,1
Erysimum scoparium,467313,1,9,14,1
Euphorbia balsamifera,467314,1,7,7,1
Echium brevirame,467315,5,6,8,1
Pericallis papyracea,467317,9,3,4,1
Chenopodium nutans,467323,8,1,1,1
Sedum candolleanum,467325,7,1,1,1
Echium webbii,467326,16,2,2,1
Calamagrostis purpurea,467380,1,5,6,2
Delphinium gracile,467407,1,2,2,1
Caladenia filamentosa,467454,7,1,1,1
Teucrium vincentinum,467475,7,1,1,1
Dischidia oiantha,467491,1,1,1,1
Viola arborescens,467522,1,1,1,1
Acanthorrhinum ramosissimum,467533,14,1,1,1
Convolvulus trabutianus,467537,7,2,2,1
Salvia aegyptiaca,467538,3,6,6,2
Morettia canescens,467539,13,1,3,1
Warionia saharae,467542,10,1,1,1
Moltkiopsis ciliata,467546,1,3,4,1
Notobasis syriaca,467550,1,19,66,4
Dactylorhiza saccifera,467571,16,1,1,1
Castilleja glandulosa,467586,9,1,1,1
Muraltia heisteria,467678,2,5,8,3
Nymania capensis,467682,1,7,7,3
Massonia depressa,467685,4,6,10,2
Protea obtusifolia,467686,18,1,1,1
Microloma sagittatum,467690,3,9,24,2
Pteronia glomerata,467693,8,1,1,1
Cyphia volubilis,467696,1,5,7,2
Stachys circinata,467698,3,1,1,1
Prosthechea crassilabia,467757,1,1,1,1
Maxillaria ochroleuca,467760,11,1,1,1
Maxillaria splendens,467766,2,2,2,2
Ixora platythyrsa,467834,2,7,2,1
Maerua filiformis,467936,5,3,1,1
Gurania subumbellata,467986,4,2,2,2
Hypericum revolutum,467987,8,4,5,3
Croton lindheimeri,467992,1,6,7,1
Aloe speciosa,468146,10,1,1,1
Aucuba chinensis,468335,7,1,1,1
Handroanthus chrysotrichus,468336,2,6,9,4
Larsenaikia ochreata,468338,4,4,6,1
Lagenophora pumila,468531,1,7,10,2
Pelargonium radens,468534,6,3,3,2
Englerophytum magalismontanum,468538,19,1,1,1
Paropsia brazzaeana,468539,19,1,2,1
Alvesia rosmarinifolia,468541,17,1,1,1
Bobgunnia madagascariensis,468544,12,1,1,1
Lagenophora strangulata,468545,4,5,7,1
Strobilanthopsis linifolia,468572,4,1,1,1
Argyreia cuneata,468616,9,2,3,1
Westringia rigida,468628,1,18,38,4
Westringia discipulorum,468631,3,1,1,1
Westringia dampieri,468632,1,11,16,3
Lagenophora barkeri,468638,10,1,1,1
Ligularia fischeri,468675,9,1,1,1
Calyptrochilum christyanum,468699,4,3,2,2
Craterostigma plantagineum,468701,8,4,4,3
Sesamum alatum,468761,2,2,2,1
Wahlenbergia undulata,468762,2,7,12,2
Suaeda albescens,468769,11,1,1,1
Ranunculus pyrenaeus,468777,6,5,8,2
Darwinia citriodora,468806,1,7,14,2
Eragrostis capensis,468822,6,2,2,1
Aloe chabaudii,468836,1,4,4,2
Enneapogon cenchroides,468861,12,1,1,1
Macrotyloma axillare,468905,2,3,3,3
Actinodium cunninghamii,468951,4,5,6,1
Babingtonia camphorosmae,468985,2,4,5,1
Harmogia densifolia,468997,19,1,1,1
Lachenalia bulbifera,469014,2,11,24,4
Allium trifoliatum,469093,1,5,7,1
Catharanthus ovalis,469129,6,6,2,1
Chadsia grevei,469163,3,3,1,1
Pavetta schumanniana,469306,8,1,1,1
Macledium zeyheri,469307,2,3,5,1
Diospyros lycioides,469308,1,2,2,1
Aptosimum lineare,469313,18,2,3,2
Grewia monticola,469315,13,1,1,1
Mimusops zeyheri,469316,6,3,4,2
Malus domestica,469472,3,5,5,4
Dioscorea nipponica,469567,10,2,3,1
Lepidium oligodontum,469584,4,4,1,1
Lepidium rekohuense,469588,3,4,2,1
Mitrastemon yamamotoi,469684,19,1,1,1
Myrothamnus flabellifolius,469795,3,3,4,2
Polygonum equisetiforme,469968,4,7,13,1
Ornithogalum baeticum,469970,13,2,2,1
Dianthus mooiensis,470028,2,5,7,1
Bossiaea rhombifolia,470088,1,3,4,2
Biophytum umbraculum,470200,1,4,7,3
Phylica gnidioides,470232,2,6,13,1
Carex pisiformis,470296,10,1,2,1
Phylica ericoides,470408,2,2,4,2
Hieracium alpinum,470428,11,4,4,2
Veratrum lobelianum,470430,2,7,4,3
Hibiscus lobatus,470591,4,5,5,3
Erythranthe guttata,470643,2,13,35,8
Noltea africana,470687,16,1,1,1
Myosotidium hortensia,470802,2,16,4,1
Croton nitens,470912,5,1,1,1
Toxocarpus wightianus,471127,1,1,1,1
Brachyloma preissii,471192,1,8,11,2
Cephalanthera longibracteata,471195,15,2,2,1
Goodyera schlechtendaliana,471198,1,1,1,1
Herminium lanceum,471202,1,1,1,1
Oreorchis patens,471205,7,5,3,3
Melanolepis multiglandulosa,471230,4,2,2,1
Bonamia spectabilis,471622,6,3,1,1
Hedysarum hedysaroides,471629,3,1,1,1
Arisaema thunbergii,471722,7,1,1,1
Baphia capparidifolia,471789,7,3,1,1
Canavalia madagascariensis,471892,5,3,1,1
Diuris brumalis,471894,11,2,3,1
Diuris laxiflora,471897,3,3,4,3
Acampe praemorsa,471917,8,6,8,3
Amorphophallus sylvaticus,471999,1,1,1,1
Curcuma scaposa,472003,9,2,2,1
Cynorkis purpurascens,472038,7,3,3,1
Saxifraga cotyledon,472080,14,1,1,1
Begonia crenata,472112,3,4,7,1
Euchilopsis linearis,472119,9,3,4,2
Misopates salvagense,472194,7,1,4,1
Thyridia repens,472208,2,7,13,4
Impatiens minor,472264,1,3,4,1
Lycopus exaltatus,472311,13,3,3,2
Carlina salicifolia,472312,1,8,24,1
Helichrysum melaleucum,472317,10,1,1,1
Achillea atrata,472350,2,1,1,1
Moehringia ciliata,472351,2,1,1,1
Adenostyles leucophylla,472352,5,1,1,1
Angraecum viguieri,472425,1,1,1,1
Gentianopsis barbata,472451,1,5,4,2
Cleome monophylla,472455,3,5,6,2
Anthospermum emirnense,472464,3,3,1,1
Syzygium moorei,472797,7,2,3,1
Impatiens scapiflora,472798,1,1,1,1
Solanum tomentosum,472816,1,5,6,3
Solanum trinominum,472817,6,5,6,1
Acidonia microcarpa,472875,7,3,3,1
Rhus chinensis,472886,1,1,2,1
Cyrtostylis robusta,472962,1,7,23,3
Clerodendrum cyrtophyllum,472981,1,5,12,2
Azorella trifurcata,473032,1,5,4,2
Solanum erythracanthum,473114,5,3,1,1
Scleria gaertneri,473122,9,1,1,1
Sanicula elata,473124,2,3,2,2
Rubus alceifolius,473136,15,2,2,1
Psychotria bullulata,473149,5,3,1,1
Psychotria andevorantensis,473152,4,3,1,1
Gerbera piloselloides,473244,14,1,1,1
Gaertnera madagascariensis,473250,5,3,1,1
Crinum mccoyi,473265,5,3,1,1
Crassocephalum montuosum,473304,2,4,4,1
Cardamine africana,473333,8,3,3,3
Lonicera pyrenaica,473380,4,2,2,1
Colebrookea oppositifolia,473484,9,2,2,1
Leucas ciliata,473498,8,2,2,1
Saussurea obvallata,473571,9,2,2,2
Antidesma madagascariense,473600,6,3,1,1
Leucas martinicensis,473616,6,3,3,2
Pogostemon benghalensis,473620,16,2,2,2
Scutellaria discolor,473626,12,2,2,1
Geranium refractum,473672,11,1,2,1
Cerastium uniflorum,473679,9,2,4,1
Aconitum anthora,473706,1,9,5,4
Ardisia virens,473707,8,1,1,1
Pedicularis cheilanthifolia,473714,9,2,2,2
Impatiens chinensis,473753,2,7,8,3
Cardamine trichocarpa,473784,8,2,2,1
Crassula pubescens,473887,4,1,1,1
Crotalaria leptostachya,473964,10,1,2,1
Peperomia rotundilimba,473984,5,3,1,1
Eriosema chinense,474002,5,2,2,1
Clerodendrum fortunatum,474009,1,3,5,1
Indigofera articulata,474026,2,2,1,1
Strobilanthes callosa,474029,4,5,6,1
Adelocaryum coelestinum,474031,4,5,7,1
Tarchonanthus camphoratus,474039,9,1,1,1
Euphorbia articulata,474069,9,1,1,1
Hysterobaeckea behrii,474094,1,2,2,2
Chloraea magellanica,474124,1,15,23,2
Gavilea odoratissima,474125,3,8,9,1
Chloraea alpina,474126,1,9,18,1
Emilia humifusa,474140,2,7,3,2
Smilax bracteata,474165,7,1,2,2
Sambucus javanica,474166,2,7,15,2
Lotus campylocladus,474170,9,1,1,1
Achyranthes bidentata,474181,15,1,1,1
Koehneria madagascariensis,474188,6,3,1,1
Eremogone fendleri,474249,8,1,1,1
Xeronema moorei,474287,4,3,1,1
Crinum arenarium,474291,8,2,2,1
Barnardia japonica,474363,1,7,16,3
Humulus scandens,474366,1,7,11,6
Polygala fruticosa,474386,6,7,12,3
Caladenia tentaculata,474399,2,14,127,2
Eucalyptus porosa,474403,16,1,2,2
Kunzea baxteri,474444,2,5,9,4
Lespedeza pilosa,474454,1,1,1,1
Caladenia prolata,474473,3,4,9,1
Passiflora viridiflora,474706,5,3,3,2
Erythranthe caespitosa,474721,4,1,1,1
Rhynchosia volubilis,474975,16,1,1,1
Disa flexuosa,474991,7,2,4,2
Disa bracteata,475002,2,12,31,6
Disa cylindrica,475003,20,1,1,1
Adenia densiflora,475074,5,3,1,1
Mostuea brunonis,475075,4,8,7,3
Dicliptera ciliaris,475081,5,5,6,2
Volkameria aculeata,475083,10,1,2,1
Campanula elatines,475095,14,1,1,1
Physocalymma scaberrimum,475172,5,1,1,1
Antonia ovata,475175,1,2,2,2
Lindernia rotundifolia,475201,1,13,19,6
Cocculus pendulus,475210,4,2,1,1
Sisymbrium brassiciforme,475218,4,2,2,1
Crataegus pinnatifida,475319,4,3,3,2
Sapindus mukorossi,475356,11,1,1,1
Indigofera cordifolia,475401,1,4,5,3
Epidendrum cristatum,475475,13,1,1,1
Viola maculata,475490,9,2,1,1
Justicia glauca,475560,9,2,2,1
Cephalaria transsylvanica,475569,12,3,3,2
Jacobaea erucifolia,475572,1,6,7,5
Sulla coronaria,475573,18,1,1,1
Xeranthemum cylindraceum,475577,1,1,1,1
