species,inat_taxon_id,first_v2_round,n_v2_rounds_seen,unique_v2_observations,occupied_v2_cells
Linaria vulgaris,50790,1,20,271,25
Wyethia amplexicaulis,50798,17,1,1,1
Uropappus lindleyi,50806,18,1,1,1
Scrophularia californica,50812,4,4,5,2
Ribes speciosum,50824,7,2,2,1
Viola pedunculata,50825,8,2,2,1
Primula farinosa,50831,3,7,11,4
Calochortus tolmiei,50840,1,2,3,1
Sparaxis tricolor,50843,1,5,7,5
Cerastium arvense,50851,1,15,32,13
Trillium erectum,50855,3,2,2,2
Scorpiurus muricatus,50856,2,7,8,1
Phacelia congesta,50858,3,5,5,1
Catalpa bignonioides,50859,6,3,3,3
Quercus suber,50868,1,1,1,1
Layia platyglossa,50876,3,3,7,1
Erigeron glaucus,50878,1,7,9,3
Asimina triloba,50897,7,2,2,2
Cynomorium coccineum,50902,8,6,10,3
Cynomorium songaricum,50906,7,4,4,2
Sanguinaria canadensis,51044,1,18,37,3
Arbutus menziesii,51046,1,1,2,1
Dicentra formosa,51048,1,14,31,1
Dicentra cucullaria,51053,1,6,6,2
Calochortus eurycarpus,51055,3,13,32,1
Maianthemum racemosum,51062,1,8,14,4
Prosartes hookeri,51071,7,1,1,1
Calochortus luteus,51077,3,6,6,2
Toxicodendron diversilobum,51080,1,4,8,2
Quincula lobata,51082,1,17,52,4
Clarkia purpurea,51087,3,7,10,1
Nymphaea odorata,51119,1,17,63,7
Orontium aquaticum,51138,1,2,2,1
Crataegus monogyna,51147,1,7,9,5
Justicia americana,51234,6,5,5,3
Rheum rhabarbarum,51251,5,5,5,1
Wisteria frutescens,51266,17,1,1,1
Asclepias californica,51272,3,1,1,1
Bellardia trixago,51286,1,20,133,15
Platystemon californicus,51288,9,4,4,2
Tamarix gallica,51303,3,2,2,2
Linum usitatissimum,51306,3,5,5,5
Calochortus albus,51315,1,8,21,2
Cypripedium reginae,51434,2,6,9,2
Trillium undulatum,51435,3,1,1,1
Passiflora antioquiensis,51444,13,1,1,1
Passiflora edulis,51446,1,15,35,13
Passiflora alata,51447,4,12,24,6
Passiflora foetida,51448,1,19,57,19
Passiflora mixta,51449,2,10,20,3
Passiflora lutea,51450,1,19,66,4
Passiflora incarnata,51453,1,19,131,3
Passiflora caerulea,51454,1,19,100,10
Passiflora manicata,51455,7,2,2,1
Borrichia arborescens,51589,2,12,11,2
Colubrina asiatica,51593,2,9,9,7
Pittosporum undulatum,51594,1,15,37,9
Psychotria nervosa,51599,3,7,8,4
Galanthus nivalis,51606,1,4,7,4
Veronica chamaedrys,51610,1,20,808,13
Myrrhis odorata,51618,9,1,1,1
Digitaria sanguinalis,51633,3,2,2,2
Fatoua villosa,51636,11,3,3,3
Tiarella trifoliata,51643,1,20,173,5
Rubus parvifolius,51645,1,8,12,5
Rubus parviflorus,51646,1,14,26,5
Clintonia andrewsiana,51647,1,4,4,1
Tellima grandiflora,51655,1,11,11,3
Polemonium caeruleum,51704,1,11,24,5
Bidens frondosa,51712,1,7,14,9
Myosotis arvensis,51726,3,13,17,9
Physalis philadelphica,51734,4,2,3,2
Clarkia unguiculata,51735,1,9,12,3
Impatiens parviflora,51736,1,20,91,11
Solanum lycopersicum,51737,1,17,50,24
Salvia officinalis,51738,2,3,3,2
Aegopodium podagraria,51741,1,18,43,11
Ulex europaeus,51751,1,20,84,14
Brodiaea elegans,51752,3,3,3,1
Phormium tenax,51754,2,5,4,3
Gaillardia pulchella,51768,1,20,90,13
Sempervivum tectorum,51779,3,2,2,2
Aquilegia vulgaris,51807,1,19,89,20
Lysimachia punctata,51808,1,11,17,8
Lysimachia nummularia,51809,1,14,23,8
Laburnum anagyroides,51810,2,3,4,2
Oenothera elata,51813,1,8,12,4
Circaea lutetiana,51843,1,15,32,5
Collinsia tinctoria,51850,3,1,1,1
Penstemon heterophyllus,51861,4,2,2,1
Lonicera caprifolium,51873,10,2,3,2
Trifolium pratense,51875,1,20,461,38
Urtica dioica,51884,1,18,48,11
Dudleya farinosa,51889,1,3,3,1
Antennaria dioica,51893,2,13,22,11
Priva lappulacea,51896,2,9,14,7
Mimosa pudica,51921,1,20,178,25
Hamamelis virginiana,51970,9,1,1,1
Physalis peruviana,51988,3,14,28,11
Richardia grandiflora,52078,1,20,65,6
Toxicodendron pubescens,52083,3,5,6,2
Streptanthus tortuosus,52106,13,1,1,1
Baccharis sarothroides,52108,14,2,2,2
Carmichaelia petriei,52110,16,3,3,1
Pterospora andromedea,52118,13,6,11,2
Populus deltoides,52119,1,1,1,1
Phyllodoce breweri,52131,1,3,3,1
Ipomopsis aggregata,52136,1,16,42,3
Penstemon newberryi,52146,1,3,4,2
Linanthus pungens,52148,18,1,1,1
Triteleia ixioides,52153,14,2,2,1
Cakile edentula,52162,1,13,12,7
Monardella villosa,52181,1,9,11,1
Ipomopsis tenuituba,52190,3,2,2,1
Borago officinalis,52287,1,17,37,14
Amaranthus cruentus,52328,6,2,2,2
Amaranthus blitum,52329,2,2,2,2
Ipomoea purpurea,52344,1,20,157,26
Senna septemtrionalis,52347,1,9,10,8
Senna alexandrina,52349,1,2,2,2
Gomphocarpus fruticosus,52351,2,9,12,6
Pavonia hastata,52355,3,9,17,5
Lilium formosanum,52360,1,16,34,10
Trimezia martinicensis,52397,2,19,79,6
Linaria maroccana,52405,1,4,5,3
Enterolobium cyclocarpum,52440,1,7,10,2
Schizolobium parahyba,52443,2,5,7,4
Acacia auriculiformis,52445,1,18,26,11
Enterolobium contortisiliquum,52446,4,1,1,1
Philadelphus coronarius,52468,3,3,3,2
Vicia cracca,52471,1,20,234,25
Hedychium gardnerianum,52495,2,15,36,11
Platanthera blephariglottis,52499,11,2,2,2
Platanthera clavellata,52500,1,6,8,2
Calochortus leichtlinii,52542,2,17,87,2
Althaea officinalis,52565,1,8,13,6
Silybum marianum,52586,1,20,217,24
Centaurea solstitialis,52588,4,11,19,5
Pontederia cordata,52599,1,20,81,8
Zostera marina,52614,15,1,1,1
Abronia latifolia,52618,1,6,11,1
Cirsium occidentale,52621,5,7,12,3
Stachys chamissonis,52625,1,14,20,1
Sarracenia purpurea,52651,1,15,41,5
Drosera aliciae,52654,14,2,3,2
Drosera anglica,52655,3,2,2,2
Drosera rotundifolia,52658,2,10,11,7
Avena fatua,52698,2,1,1,1
Bromus hordeaceus,52703,2,2,2,2
Bromus madritensis,52707,8,1,1,1
Dactylis glomerata,52720,2,19,79,27
Monarda didyma,52735,2,12,23,2
Vaccinium myrtilloides,52741,5,1,1,1
Cephalanthus tetrandrus,52762,15,1,1,1
Cephalanthus occidentalis,52763,1,18,71,6
Prunella vulgaris,52764,1,20,355,38
Holcus lanatus,52793,2,10,15,7
Hordeum murinum,52796,4,3,3,2
Lolium perenne,52801,5,4,4,4
Poa annua,52808,3,8,9,6
Achillea millefolium,52821,1,20,429,33
Anaphalis margaritacea,52833,1,20,281,17
Angelica tomentosa,52835,14,1,1,1
Anthemis arvensis,52838,6,1,1,1
Anthemis cotula,52841,2,4,5,2
Anthriscus caucalis,52846,6,4,5,3
Aralia californica,52848,2,3,3,1
Arnica discoidea,52851,1,1,1,1
Artemisia douglasiana,52854,1,6,7,3
Artemisia vulgaris,52856,3,9,17,6
Asarum caudatum,52858,8,2,2,1
Clethra alnifolia,52867,2,14,21,1
Solanum carolinense,52899,1,20,88,6
Cichorium intybus,52913,1,20,356,27
Commelina communis,52927,1,20,210,12
Commelina cyanea,52930,2,13,38,3
Eupatorium serotinum,52934,2,7,10,3
Epilobium brachycarpum,52971,2,5,6,3
Cerastium glomeratum,52973,1,10,13,10
Eurybia radulina,52974,11,2,3,1
Barbarea orthoceras,52976,2,12,7,3
Cirsium vulgare,52989,1,20,267,42
Carduus pycnocephalus,52990,3,6,8,5
Matricaria discoidea,52992,1,20,105,24
Claytonia perfoliata,52994,3,8,9,4
Conium maculatum,52998,1,20,75,20
Carduus tenuiflorus,53007,8,4,7,6
Convolvulus arvensis,53021,1,20,451,30
Cotula australis,53025,1,12,22,9
Dipsacus sativus,53028,10,2,2,2
Ambrosia trifida,53034,1,9,15,4
Drosera intermedia,53038,9,2,2,2
Pogonia ophioglossoides,53039,6,4,6,3
Kalmia angustifolia,53041,1,17,113,5
Arethusa bulbosa,53042,13,1,2,1
Eriogonum nudum,53046,5,8,13,3
Epilobium ciliatum,53050,3,12,23,11
Epilobium canum,53051,1,20,178,3
Foeniculum vulgare,53052,1,20,69,17
Erodium ciconium,53058,15,1,1,1
Galium aparine,53059,1,13,20,10
Galium californicum,53062,13,1,1,1
Galium triflorum,53065,2,8,9,3
Geranium dissectum,53075,1,20,222,9
Geranium molle,53076,1,20,105,15
Pseudognaphalium californicum,53077,3,11,12,2
Pseudognaphalium luteoalbum,53083,1,18,30,14
Pseudognaphalium ramosissimum,53088,4,3,3,2
Pseudognaphalium stramineum,53089,20,1,1,1
Helenium puberulum,53092,4,3,3,1
Heracleum maximum,53094,1,20,64,11
Antennaria rosea,53096,2,10,15,5
Hirschfeldia incana,53097,2,13,19,9
Hypochaeris glabra,53103,3,7,7,5
Hypochaeris radicata,53104,1,20,105,24
Lactuca saligna,53105,11,2,2,2
Lactuca serriola,53107,1,17,48,22
Lactuca virosa,53108,8,1,1,1
Lactuca canadensis,53110,7,1,1,1
Acmispon glaber,53134,4,6,9,3
Anisocarpus madioides,53137,6,1,1,1
Madia sativa,53143,1,6,6,2
Medicago polymorpha,53151,1,14,28,11
Navarretia squarrosa,53157,2,6,9,2
Osmorhiza berteroi,53166,2,8,5,3
Oxalis corniculata,53168,1,20,292,44
Oxalis pes-caprae,53169,1,20,562,19
Phacelia californica,53170,1,2,2,1
Phacelia imbricata,53171,4,2,3,1
Plantago erecta,53177,8,1,2,1
Plantago lanceolata,53178,1,20,163,38
Polygonum arenastrum,53179,6,6,4,3
Phacelia rupestris,53181,5,1,1,1
Oxalis stricta,53183,1,13,19,8
Pterostegia drymarioides,53191,7,2,3,1
Rumex acetosella,53195,1,20,35,17
Rumex crispus,53197,2,4,9,7
Salvia columbariae,53200,1,6,6,2
Sanicula crassicaulis,53201,13,1,1,1
Clinopodium douglasii,53203,10,2,2,1
Delairea odorata,53208,1,10,24,8
Senecio sylvaticus,53210,13,3,4,4
Senecio vulgaris,53211,1,20,61,26
