inat_taxon_id,species,raw_photos,observers,quarters,years,maximum_span_km,median_pair_distance_km,cells_0p25_degree,maximum_cell_photos_0p25_degree,cells_0p5_degree,maximum_cell_photos_0p5_degree,pairs_within_100_km,photos_with_neighbor_within_100_km,pairs_within_250_km,photos_with_neighbor_within_250_km,pairs_within_500_km,photos_with_neighbor_within_500_km
51055,Calochortus eurycarpus,100,96,2,13,751.692225,210.043637,88,3,53,5,938,99,2992,100,4661,100
51082,Quincula lobata,100,97,4,7,1968.359553,594.619631,100,1,98,2,114,87,669,100,1980,100
51138,Orontium aquaticum,100,93,3,15,2133.65825,659.810189,68,8,55,10,416,87,855,99,1845,100
51306,Linum usitatissimum,100,97,4,12,19945.360898,5849.811284,100,1,100,1,12,22,99,67,339,85
51646,Rubus parviflorus,100,97,2,7,9159.298845,1130.858401,100,1,100,1,62,69,378,97,1044,98
51850,Collinsia tinctoria,100,89,2,15,636.381744,177.97341,32,47,20,47,1521,100,3699,100,4920,100
51970,Hamamelis virginiana,100,99,4,12,3103.238905,873.555201,100,1,100,1,61,69,396,99,1141,100
52078,Richardia grandiflora,100,96,4,14,7607.134053,5152.834261,99,2,82,3,272,86,1100,96,1837,97
52355,Pavonia hastata,100,94,4,12,19379.703527,7820.703568,62,6,51,18,670,84,1103,96,1379,98
52588,Centaurea solstitialis,100,93,4,11,17729.628848,9634.393219,100,1,100,1,49,52,214,94,469,98
52621,Cirsium occidentale,100,96,4,12,1181.687275,361.345216,96,2,69,4,457,100,1476,100,3326,100
52703,Bromus hordeaceus,100,93,4,11,19965.917497,7249.781339,100,1,100,1,41,51,149,79,477,93
52796,Hordeum murinum,100,96,4,13,19872.705919,8170.62425,100,1,99,2,35,43,134,76,329,90
52821,Achillea millefolium,100,99,4,10,19993.828075,6427.685803,100,1,100,1,0,0,3,6,125,90
53041,Kalmia angustifolia,100,99,2,9,2456.979788,626.409033,100,1,99,2,102,87,599,98,1797,100
53077,Pseudognaphalium californicum,100,94,4,11,1011.570649,318.20312,75,3,38,9,1022,99,2229,100,3228,100
53088,Pseudognaphalium ramosissimum,100,92,4,12,854.81031,125.548556,33,10,17,19,2117,99,3702,100,4664,100
53092,Helenium puberulum,100,92,4,11,1061.223945,117.337499,44,7,26,15,2153,96,4052,100,4624,100
53166,Osmorhiza berteroi,100,95,4,13,12779.912998,517.314705,72,6,56,8,612,90,1385,97,2438,97
53171,Phacelia imbricata,100,88,4,14,868.046201,226.844255,44,9,27,19,1512,99,2555,100,3117,100
53193,Rafinesquia californica,100,89,4,12,1109.704253,375.576448,46,12,26,15,1520,98,2336,98,3222,100
53208,Delairea odorata,100,97,4,13,19850.223729,10033.33687,100,1,93,2,123,80,339,90,657,94
53212,Silene gallica,100,97,4,14,19988.897632,9638.058924,100,1,100,1,0,0,60,68,188,90
53324,Vicia sativa,100,100,4,7,19923.412165,8475.375277,100,1,100,1,0,0,14,27,127,89
53328,Viola adunca,100,99,3,11,5026.583386,1412.301341,100,1,100,1,0,0,141,89,526,98
53357,Artemisia californica,100,88,4,7,901.834662,271.905979,49,7,27,16,1410,99,2431,100,3033,100
53785,Fumaria officinalis,100,99,4,13,19637.582279,2032.656685,100,1,100,1,0,0,94,74,360,90
54436,Rubus idaeus,100,99,3,11,19434.33345,5450.38145,100,1,100,1,0,0,44,58,151,89
54453,Ferocactus cylindraceus,100,96,4,15,527.372676,96.935591,37,15,23,27,2549,97,3418,100,4927,100
54520,Tanacetum parthenium,100,99,4,9,19939.136291,7308.037728,100,1,100,1,0,0,0,0,110,77
54770,Corylus americana,100,96,4,11,2359.499017,875.253573,100,1,92,2,128,81,493,99,1257,100
54793,Lindera benzoin,100,99,2,7,2272.997355,604.47989,100,1,100,1,102,85,601,100,1907,100
54843,Salix bebbiana,100,98,3,13,8209.245396,1670.792499,100,1,100,1,37,46,214,87,690,96
54875,Trichostema lanceolatum,100,97,3,8,1368.505643,328.928306,93,2,63,5,562,99,1956,100,3416,100
55021,Arabidopsis thaliana,100,100,4,11,19896.684904,6471.942591,100,1,100,1,0,0,4,8,115,85
55411,Raphanus raphanistrum,100,98,4,9,19916.562441,9098.039812,100,1,100,1,0,0,35,49,120,84
55443,Trifolium lupinaster,100,78,2,14,6913.952533,1430.661291,77,9,67,10,303,80,654,92,1090,97
55667,Sagina procumbens,100,93,4,13,19957.605063,5863.151618,100,1,100,1,0,0,71,70,224,88
55727,Cymbalaria muralis,100,99,4,7,19994.525521,6178.690443,100,1,100,1,0,0,71,65,289,92
55734,Sedum acre,100,99,4,17,19699.17038,2696.416892,100,1,100,1,0,0,64,67,270,96
55759,Silene dioica,100,99,3,6,19920.28896,1434.694806,100,1,100,1,0,0,148,85,554,97
55798,Tulipa sylvestris,100,100,3,12,10204.492123,2113.530619,100,1,100,1,0,0,65,73,293,98
55809,Leucojum aestivum,100,100,4,13,19822.458862,8214.150658,100,1,100,1,0,0,35,46,202,93
55814,Corydalis solida,100,100,2,12,9050.612889,1651.297908,100,1,100,1,0,0,106,87,409,99
55850,Petasites hybridus,100,100,3,15,9970.777359,2130.141156,100,1,100,1,0,0,93,83,369,99
55858,Cornus mas,100,100,3,14,10484.580082,1493.080544,100,1,100,1,0,0,177,89,662,99
55885,Lonicera periclymenum,100,99,4,14,19989.085,1396.247973,100,1,100,1,0,0,167,90,569,98
55886,Lunaria annua,100,100,3,6,19973.719764,6108.72809,100,1,100,1,0,0,41,56,214,94
55894,Agrimonia pilosa,100,86,3,14,8185.349705,2768.069776,82,5,70,6,195,73,424,92,657,98
55967,Galeopsis bifida,100,98,3,14,11077.931481,5472.319056,100,1,100,1,0,0,33,49,169,85
56028,Chasmanthe floribunda,100,87,4,16,19809.068506,10130.906535,52,12,40,15,513,89,692,94,787,97
56057,Leucanthemum vulgare,100,99,4,8,19408.331204,6608.700447,100,1,100,1,0,0,16,24,157,88
56061,Alliaria petiolata,100,100,3,12,12148.853795,3422.133999,100,1,100,1,0,0,74,78,323,95
56136,Primula vulgaris,100,100,4,8,19929.774215,1251.457179,100,1,100,1,11,19,231,83,715,97
56137,Ornithogalum umbellatum,100,100,3,12,19583.547944,2605.815629,100,1,100,1,0,0,128,81,480,93
56174,Echium vulgare,100,100,4,12,19958.280478,3441.017046,100,1,100,1,0,0,44,51,238,95
56188,Vicia hirsuta,100,99,4,13,19912.707482,7523.350149,100,1,100,1,0,0,46,58,203,88
56796,Quercus durata,100,84,4,13,753.25183,156.665259,22,18,15,24,1753,98,3326,99,4867,100
56826,Lomatium macrocarpum,100,94,2,12,2132.655651,532.614062,99,2,84,3,235,86,949,99,2303,100
56838,Perideridia kelloggii,100,77,2,14,193.105318,45.211674,13,26,8,47,4368,100,4950,100,4950,100
56868,Crepis vesicaria,100,86,4,12,19962.972373,1740.805218,78,6,67,9,302,83,619,97,950,100
57054,Lupinus formosus,100,92,4,11,948.454869,75.171913,34,19,18,33,2843,99,3278,100,3646,100
57076,Trifolium campestre,100,100,4,9,19910.229536,6286.234989,100,1,100,1,0,0,0,0,124,86
57087,Cicendia quadrangularis,100,86,4,12,13211.271037,242.43071,58,5,37,11,857,96,2544,98,3041,98
57183,Koeleria macrantha,100,89,2,11,12816.40685,2090.586629,89,4,80,5,151,67,270,87,471,94
57250,Prunus ilicifolia,100,94,4,13,1574.303024,214.509387,54,8,32,20,1282,97,2697,98,3879,100
57310,Vicia tetrasperma,100,99,4,14,19730.462055,6624.052703,100,1,100,1,0,0,59,67,230,92
57311,Lathyrus aphaca,100,86,3,15,11380.268174,1632.900255,91,3,85,5,87,68,210,89,502,99
57312,Vicia ludoviciana,100,94,2,9,3200.736446,412.09164,84,3,65,8,544,95,1386,99,3033,100
57356,Amorpha fruticosa,100,100,3,12,12736.812041,6890.733939,100,1,100,1,0,0,38,46,208,95
57393,Pulsatilla pratensis,100,88,4,17,2442.623505,990.112025,91,3,79,3,205,77,508,98,1122,100
57427,Legousia speculum-veneris,100,86,2,15,3119.178188,644.671082,87,3,77,4,211,86,702,97,1792,100
57504,Ononis natrix,100,86,4,19,4000.93072,655.171123,98,2,84,4,275,89,822,97,1758,99
57850,Nuphar lutea,100,99,3,16,7863.994085,1758.459611,100,1,100,1,0,0,63,69,322,98
57852,Fumaria capreolata,100,95,4,9,20001.94741,9471.801523,100,1,100,1,37,56,155,92,411,97
57858,Veronica anagallis-aquatica,100,95,4,17,19806.012734,8543.804769,100,1,100,1,0,0,0,0,64,70
58014,Corethrogyne filaginifolia,100,95,4,8,1434.562993,285.738321,79,3,44,7,834,98,2203,100,3658,100
58039,Stephanomeria exigua,100,91,4,13,1852.120823,117.575049,49,13,34,20,2301,93,2927,97,3962,99
58074,Descurainia sophia,100,96,3,12,12838.485505,5614.684147,100,1,100,1,0,0,35,51,164,93
58083,Lepidium lasiocarpum,100,85,3,10,1794.750971,102.262913,44,12,31,19,2446,93,3062,98,4381,100
58164,Trifolium depauperatum,100,93,2,11,1820.746099,237.100376,89,2,58,5,699,97,2587,99,3792,99
58211,Forestiera pubescens,100,95,3,11,2552.613224,531.913304,70,6,54,11,688,90,1462,96,2415,99
58300,Punica granatum,100,100,4,11,19953.65232,8171.118704,100,1,100,1,9,17,70,60,195,77
58331,Datura wrightii,100,99,4,12,10829.001449,943.871991,100,1,92,2,157,71,598,83,1418,96
58361,Calochortus splendens,100,94,2,9,1105.175991,136.060433,58,5,33,12,1840,99,3530,100,4260,100
58732,Toxicodendron radicans,100,97,4,16,4161.454232,1171.744154,100,1,100,1,0,0,175,94,673,99
58822,Dittrichia graveolens,100,95,4,13,19971.14185,9472.456901,100,1,100,1,32,45,147,85,295,94
58831,Heterotheca grandiflora,100,96,4,7,4669.897566,235.516664,72,4,39,11,1193,96,2528,98,3312,98
58917,Geranium carolinianum,100,100,4,8,13876.045004,1466.596362,100,1,100,1,0,0,131,80,534,93
59034,Nicotiana attenuata,100,91,4,11,2570.741985,530.845762,88,4,72,6,270,88,825,96,2252,100
59035,Solanum americanum,100,100,4,12,19944.562373,7951.023876,100,1,100,1,0,0,0,0,78,68
59243,Eriogonum wrightii,100,94,4,12,1976.593005,472.455453,79,3,55,7,688,93,1401,98,2607,100
59570,Arctium minus,100,100,4,19,19918.555442,5672.675781,100,1,100,1,0,0,59,65,239,93
59752,Erigeron divergens,100,92,4,12,3681.516229,918.101878,81,4,63,6,310,86,612,98,1154,99
59753,Erigeron pulchellus,100,100,2,11,2197.363174,888.053664,100,1,93,2,223,91,839,100,1526,100
59773,Lonicera morrowii,100,100,2,15,4254.815115,673.380059,100,1,100,1,105,75,625,99,1817,99
59943,Iris sibirica,100,95,2,17,9376.816605,1364.126265,100,1,99,2,62,64,296,89,864,95
59982,Phacelia hastata,100,93,3,17,1808.998545,687.013217,100,1,88,2,158,91,554,100,1602,100
60121,Hydrocotyle verticillata,100,97,4,13,19879.780093,3886.582976,100,1,100,1,36,46,182,83,415,87
60220,Ludwigia peploides,100,99,4,12,19657.980543,8401.034698,100,1,100,1,0,0,52,69,209,94
60241,Anemopsis californica,100,97,4,15,2307.996163,603.255099,100,1,87,3,223,89,771,97,2002,100
60295,Paspalum dilatatum,100,95,4,13,20009.159587,9878.093163,100,1,100,1,5,9,94,70,257,91
60496,Erythronium grandiflorum,100,98,3,19,2234.062691,646.067391,100,1,98,2,139,90,597,100,1718,100
60505,Erythronium montanum,100,99,3,19,596.77952,154.368422,36,14,18,24,1854,99,4125,100,4937,100
60527,Rhododendron occidentale,100,96,3,14,1316.167954,329.818814,74,4,47,7,643,100,1786,100,3604,100
60734,Polygonum paronychia,100,99,4,11,1608.345739,469.914733,48,14,34,15,605,99,1544,100,2610,100
60885,Dactylorhiza sambucina,100,96,3,18,2547.569245,700.176463,100,1,94,2,177,85,660,99,1669,100
60955,Ericameria ericoides,100,91,4,14,643.576302,68.973347,16,38,11,49,2715,100,4390,100,4892,100
61021,Trifolium glomeratum,100,89,4,12,19957.981111,9225.667196,91,2,70,4,455,84,1395,90,1693,96
61297,Lactuca perennis,100,93,4,15,2155.05891,528.265046,96,2,85,3,241,90,978,99,2332,99
61769,Lathraea squamaria,100,99,2,16,4033.113923,1242.129932,100,1,100,1,0,0,137,93,549,100
61776,Oxalis incarnata,100,98,4,12,19368.469136,10174.79523,97,2,84,4,182,84,470,96,825,98
61821,Lathyrus tingitanus,100,95,4,16,20005.624113,9659.766421,99,2,89,3,114,72,410,90,651,96
61824,Trifolium hybridum,100,99,4,8,19057.223472,5665.09339,100,1,100,1,0,0,36,51,194,93
62041,Platanthera lacera,100,94,2,18,3054.99246,875.188966,100,1,85,3,134,78,506,98,1294,100
62258,Galearis rotundifolia,100,92,2,22,5327.316653,1097.968785,86,3,74,6,389,80,897,96,1633,98
62262,Dichelostemma multiflorum,100,93,3,15,623.76303,166.091821,75,3,38,8,1310,100,3687,100,4901,100
62338,Lysimachia vulgaris,100,99,2,10,9948.836803,2319.141103,100,1,100,1,0,0,37,55,237,97
62406,Goodyera pubescens,100,99,2,11,2664.482347,773.414678,100,1,100,1,80,77,560,100,1485,100
62474,Opuntia fragilis,100,98,2,17,2730.118047,928.921629,98,2,80,3,181,82,584,95,1153,99
62493,Spiraea douglasii,100,98,2,14,10075.766981,585.73577,100,1,96,2,197,78,926,89,2103,98
62659,Ipomopsis rubra,100,97,4,13,2052.142848,316.484106,77,4,55,6,585,89,1971,96,3418,99
62839,Delonix regia,100,98,4,15,19894.643733,9425.604101,100,1,100,1,0,0,0,0,72,78
62942,Ipomoea triloba,100,99,4,12,19874.719229,7667.968421,100,1,100,1,0,0,31,49,109,81
63047,Calystegia macrostegia,100,98,4,12,758.175024,143.42034,54,5,27,10,1662,100,3802,100,4768,100
63311,Calochortus macrocarpus,100,100,2,8,1261.423781,412.164664,100,1,89,2,287,98,1262,100,3031,100
63893,Paxistima myrsinites,100,98,3,17,3012.104852,825.780936,100,1,100,1,118,84,565,98,1481,100
63962,Calycanthus occidentalis,100,94,2,13,569.458893,150.658298,44,8,25,17,1867,100,3991,100,4927,100
64093,Salvia lyrata,100,99,2,7,2213.310561,750.431857,100,1,100,1,55,64,416,100,1342,100
64410,Calochortus bruneaunis,100,95,2,17,891.504858,268.321991,71,5,48,11,807,99,2269,100,4455,100
67775,Claytonia caroliniana,100,99,2,16,2307.61807,634.302274,100,1,98,2,135,89,672,100,1849,100
68034,Hieracium venosum,100,95,3,14,1677.365147,492.51126,100,1,91,2,191,96,1007,100,2513,100
68403,Thamnosma montana,100,94,3,15,676.050692,236.382422,68,6,43,8,688,98,2656,100,4755,100
68553,Rafinesquia neomexicana,100,97,2,6,1125.489259,346.815859,98,2,69,3,471,97,1704,99,3623,100
68679,Cassia fistula,100,96,4,15,19302.46643,8362.594947,100,1,100,1,4,8,62,67,202,86
69624,Oxalis acetosella,100,98,2,15,9751.195016,1530.420665,100,1,100,1,0,0,99,82,409,96
69636,Cardamine flexuosa,100,96,4,12,19878.260259,1869.868773,100,1,96,2,74,78,281,94,714,98
69713,Rubus hispidus,100,87,2,16,2239.82448,525.722532,85,4,76,5,244,87,1044,98,2346,100
69816,Sagittaria platyphylla,100,83,4,11,17062.443479,1200.235265,66,5,59,7,261,87,684,94,1603,96
69855,Lupinus excubitus,100,88,4,13,539.498365,74.373697,28,15,18,27,3181,100,4535,100,4947,100
69936,Prunus amygdalus,100,99,3,12,12198.628913,1406.068654,99,2,93,2,139,77,398,87,1035,94
71135,Ambrosia chamissonis,100,94,4,13,10751.121957,838.669341,65,5,48,6,518,99,1085,99,1604,100
75255,Acacia saligna,100,99,4,12,19693.97414,8617.653599,100,1,100,1,46,50,172,84,339,94
75326,Aliciella latifolia,100,86,3,12,817.597836,101.185912,35,22,22,28,2471,99,2888,99,4870,100
75371,Allium vineale,100,98,3,16,19545.998858,5954.57816,100,1,100,1,32,42,166,88,491,94
75427,Amsonia tomentosa,100,90,4,16,838.726332,272.935158,31,23,25,25,1155,98,2342,100,2904,100
75469,Antennaria racemosa,100,79,2,13,1719.736974,287.062555,59,8,45,12,835,95,2110,98,4141,99
75573,Arnica latifolia,100,92,3,15,2563.331482,429.554296,74,8,60,9,447,91,1323,98,3046,99
75602,Asclepias curassavica,100,99,4,15,19760.790596,2310.601678,100,1,100,1,11,20,173,77,470,86
75615,Astragalus agrestis,100,91,2,15,10223.540456,1167.119086,85,5,72,11,231,75,528,94,1164,96
75668,Astragalus nuttallii,100,90,4,11,557.635628,26.926464,11,63,9,63,2817,100,4575,100,4922,100
75723,Avicennia marina,100,92,4,14,16427.010239,3418.81755,66,11,56,14,248,81,447,86,645,88
75756,Berberis nervosa,100,95,2,12,1374.466978,280.971505,94,2,66,5,672,97,2237,100,3790,100
75766,Bidens laevis,100,96,4,14,10717.496295,1884.342459,100,1,98,2,68,67,250,93,619,98
75858,Bouteloua curtipendula,100,84,4,15,3632.780861,1212.312613,87,3,77,3,184,70,389,96,916,99
75956,Calycoseris wrightii,100,87,2,16,1161.373265,337.254484,63,8,43,19,880,98,1838,99,3589,100
76006,Carduus acanthoides,100,96,4,12,19771.083116,4647.166627,100,1,100,1,0,0,103,78,354,99
76358,Cirsium undulatum,100,97,3,14,3069.596284,1102.084099,100,1,100,1,54,68,319,96,905,100
76435,Coprosma repens,100,91,4,13,19511.55761,493.008455,65,8,51,13,559,95,1130,97,2525,98
76545,Cuscuta campestris,100,97,4,14,19914.463297,8308.955757,100,1,98,2,31,39,98,56,197,85
76563,Cyclospermum leptophyllum,100,93,4,13,19740.85656,8530.804199,100,1,98,2,37,42,101,67,212,88
76630,Delphinium nuttallianum,100,98,2,11,1939.315325,741.334163,100,1,93,2,175,88,705,99,1619,100
76897,Erigeron annuus,100,100,3,9,13238.724205,6732.594046,100,1,100,1,0,0,74,74,317,97
77069,Erysimum concinnum,100,84,4,14,247.897946,13.437415,7,43,6,43,4299,100,4950,100,4950,100
77206,Galium mollugo,100,97,3,13,10129.352213,3538.986849,100,1,100,1,0,0,69,73,286,93
77281,Glebionis segetum,100,97,4,13,19951.693586,1948.403846,100,1,100,1,35,49,196,90,468,97
77305,Grindelia squarrosa,100,97,3,11,10638.066864,1289.497306,100,1,100,1,5,9,167,91,566,97
77403,Heuchera cylindrica,100,93,2,12,1353.884437,448.429095,100,1,88,2,237,97,1077,99,2807,100
77408,Heuchera rubescens,100,90,4,17,2622.86028,623.500159,70,7,53,8,376,89,871,99,1938,100
77616,Lactuca biennis,100,83,2,14,4681.758355,748.553843,90,3,78,5,189,75,697,94,1745,98
77672,Lepidium perfoliatum,100,93,4,14,17566.182469,1125.103137,80,5,72,5,199,77,423,94,1061,95
77778,Linaria purpurea,100,99,4,9,19460.661386,7840.018145,100,1,100,1,62,65,320,93,718,98
77830,Lomatium triternatum,100,95,3,13,1610.429363,512.010271,91,3,74,4,277,88,933,99,2412,100
77838,Lotus tenuis,100,98,4,14,19611.980194,5953.897548,100,1,100,1,48,55,236,86,551,95
77960,Marah oregana,100,94,3,12,1272.220146,335.139831,88,3,54,7,593,100,1916,100,3273,100
78245,Oenothera primiveris,100,90,3,10,1182.286397,390.680343,65,5,43,7,665,97,1471,99,3200,100
78283,Ornithopus pinnatus,100,83,4,15,19804.018035,8865.8021,80,6,67,7,255,91,523,96,765,100
78333,Palafoxia arida,100,96,4,6,1347.769635,163.07835,63,5,40,12,1504,98,3682,98,4742,100
78346,Papaver somniferum,100,100,4,13,19955.041829,7498.203227,100,1,100,1,0,0,9,17,114,83
78399,Penstemon davidsonii,100,94,3,22,1706.733807,387.889165,83,2,58,5,483,95,1665,100,2893,100
78451,Persicaria capitata,100,99,4,12,19875.472394,9769.464448,100,1,100,1,0,0,45,57,112,80
78452,Persicaria hydropiper,100,90,4,13,20010.982773,8180.009672,99,2,93,2,47,46,155,78,359,88
78460,Petalonyx thurberi,100,80,4,13,743.617087,55.742485,31,28,22,43,3131,98,4177,100,4853,100
78569,Physalis longifolia,100,99,3,13,9687.018431,1169.956323,100,1,100,1,30,45,217,95,739,97
78580,Phytolacca icosandra,100,93,4,11,19270.106641,1919.688542,74,8,55,9,564,86,912,94,1346,97
78590,Pittosporum crassifolium,100,97,4,12,19708.160409,491.59743,89,4,62,7,470,97,1336,99,2515,99
78824,Ranunculus glaberrimus,100,97,2,10,1682.83088,380.659519,71,4,57,8,576,91,1411,98,3257,100
78847,Rhododendron columbianum,100,95,3,13,1660.450721,404.333957,57,6,37,11,777,98,1548,100,3107,100
78872,Romanzoffia sitchensis,100,90,2,16,2682.471996,531.940831,67,7,56,9,601,91,1304,100,2311,100
78886,Rosa rubiginosa,100,97,4,14,19580.606445,10215.689711,100,1,100,1,76,69,281,89,506,99
78887,Rosa woodsii,100,97,2,13,3033.616386,999.036574,100,1,100,1,39,53,268,96,903,99
78955,Salsola australis,100,86,4,11,15197.04603,167.523129,57,8,40,21,1596,87,2838,94,3181,96
79095,Sidalcea sparsifolia,100,81,4,13,423.669408,53.965911,18,23,10,27,4376,100,4779,100,4950,100
79313,Tagetes minuta,100,92,4,15,19814.334776,8898.452487,100,1,100,1,42,47,183,76,503,87
79367,Tiquilia plicata,100,88,4,11,669.786642,100.030235,35,17,24,22,2472,98,4236,100,4925,100
79499,Viburnum edule,100,91,2,17,5974.958231,1574.957708,100,1,100,1,32,41,214,89,704,99
81694,Himantoglossum robertianum,100,97,3,14,3786.531942,937.281438,100,1,96,3,172,82,597,97,1301,100
82619,Arisarum vulgare,100,100,4,17,19960.352493,1603.658398,100,1,100,1,50,65,240,94,661,99
82664,Lonicera implexa,100,96,3,17,2543.190865,786.739593,100,1,99,2,120,86,478,100,1370,100
82688,Erica arborea,100,99,4,16,19920.488865,1103.758244,100,1,100,1,71,72,375,95,1054,98
82689,Arbutus unedo,100,99,4,17,19961.866818,1400.189657,100,1,100,1,47,57,270,87,783,98
82741,Lathyrus clymenum,100,95,2,16,4968.561565,1076.699834,100,1,93,2,138,82,491,96,1026,99
82853,Cydonia oblonga,100,97,4,14,18499.319468,1970.625765,100,1,100,1,25,38,154,82,478,93
82861,Anemone palmata,100,91,3,14,1602.851445,344.532852,68,6,50,16,625,93,1734,98,3668,100
82875,Ophrys speculum,100,96,2,19,3973.91541,615.072076,100,1,94,2,171,89,718,98,1890,98
83357,Glossodia major,100,94,2,15,1623.460822,550.833252,92,3,68,5,321,96,972,100,2261,100
83362,Phyllota phylicoides,100,90,4,12,1406.110436,214.644848,45,12,29,20,1436,99,2570,99,3003,100
83395,Pandorea pandorana,100,93,3,13,5351.6554,674.541512,87,4,59,6,438,91,1008,99,1932,99
83616,Lambertia formosa,100,95,4,11,720.419042,101.678118,40,9,21,16,2440,100,4112,100,4623,100
83816,Ophrys apifera,100,99,2,20,4167.44533,1029.520189,100,1,100,1,8,14,211,93,780,99
84281,Clinopodium vulgare,100,100,4,10,19898.513421,5954.136306,100,1,100,1,0,0,72,70,291,93
84344,Centaurea scabiosa,100,94,3,12,9706.53443,1891.802501,100,1,100,1,0,0,82,70,345,94
84363,Castanea pumila,100,94,2,11,2000.775274,650.180504,92,2,72,4,245,94,766,100,1720,100
84510,Filipendula rubra,100,94,3,13,1980.433574,717.290879,72,7,64,7,291,85,846,98,1758,100
84666,Sabatia angularis,100,97,3,10,2052.22793,604.856454,100,1,100,1,93,81,562,99,1867,100
84668,Sabatia campestris,100,92,3,15,1034.473677,334.128973,89,3,70,6,468,96,1786,100,3725,100
84732,Erigeron speciosus,100,94,3,16,9532.032611,747.797401,100,1,89,2,165,83,625,98,1568,99
85027,Lilium martagon,100,98,2,14,9843.405146,1409.923093,100,1,100,1,24,40,212,90,703,97
85331,Ratibida pinnata,100,95,3,13,2453.760418,813.985027,100,1,100,1,34,48,335,96,1162,100
85490,Phryma leptostachya,100,98,2,11,13237.105735,1028.763869,100,1,100,1,4,8,225,93,823,97
117309,Erigenia bulbosa,100,95,2,7,1644.584677,478.85319,100,1,95,2,181,94,966,100,2613,100
118535,Drimia maritima,100,94,2,15,1652.544895,310.501465,93,2,62,5,503,99,1909,100,3691,100
118571,Ceanothus fendleri,100,92,2,14,1788.550854,450.079889,88,2,74,4,285,94,1029,99,2811,100
119099,Jatropha gossypiifolia,100,100,4,12,19821.292333,9050.207625,100,1,100,1,0,0,0,0,44,52
119795,Zizia aptera,100,87,3,11,3991.156617,1213.82837,89,2,72,4,296,78,622,92,1179,98
119807,Lonicera canadensis,100,99,1,10,2660.115063,750.800859,100,1,100,1,77,77,518,99,1567,100
119810,Lysimachia lanceolata,100,92,2,14,2115.351788,645.014465,89,3,75,4,146,84,567,99,1756,100
119955,Ilex vomitoria,100,100,2,12,2295.343179,740.576664,100,1,98,2,130,88,661,100,1654,100
120008,Ludwigia decurrens,100,91,3,12,17351.147629,766.241803,100,1,95,3,126,79,560,95,1557,98
120917,Calotropis procera,100,100,4,15,19693.728679,7972.455848,100,1,100,1,0,0,25,37,104,84
121635,Ptilotus exaltatus,100,93,4,16,3616.814138,1518.823288,100,1,100,1,44,54,210,94,624,100
121785,Tradescantia occidentalis,100,97,3,12,2544.751342,794.593133,95,2,72,5,371,75,853,97,1472,98
121932,Astragalus mollissimus,100,92,2,11,2536.468469,456.060607,79,6,64,10,520,86,1647,96,2585,98
121968,Andropogon gerardi,100,95,3,13,3329.516907,1159.853755,100,1,100,1,18,32,190,92,662,99
