species,inat_taxon_id,target_cell_order,cell_id,raw_results,local_rejected,wrong_taxon,prior_excluded,fresh_duplicate,locally_eligible,retained,distinct_retained_observers,request_error
Parnassia palustris,78352,4,144,35,0,0,8,0,27,25,22,
Parnassia palustris,78352,5,159,2,0,0,2,0,0,0,0,
Parnassia palustris,78352,6,146,50,0,0,2,0,48,30,25,
Arundina graminifolia,117504,1,47,17,0,0,4,0,13,13,12,
Arundina graminifolia,117504,2,109,32,0,0,2,0,30,30,28,
Arundina graminifolia,117504,3,87,3,0,0,2,0,1,1,1,
Arundina graminifolia,117504,4,71,6,0,0,4,0,2,2,2,
Arundina graminifolia,117504,5,106,26,0,0,4,0,22,19,16,
Arundina graminifolia,117504,6,91,41,0,0,19,0,22,18,16,
Calotropis procera,120917,1,108,2,0,0,2,0,0,0,0,
Calotropis procera,120917,2,99,50,0,0,12,0,38,30,27,
Calotropis procera,120917,3,113,22,0,0,2,0,20,19,15,
Calotropis procera,120917,4,69,18,0,0,3,0,15,15,14,
Calotropis procera,120917,5,120,50,0,0,1,0,49,30,27,
Calotropis procera,120917,6,97,6,0,0,6,0,0,0,0,
Morinda citrifolia,121022,1,84,2,0,0,2,0,0,0,0,
Morinda citrifolia,121022,2,55,2,0,0,2,0,0,0,0,
Morinda citrifolia,121022,3,106,9,0,0,3,0,6,6,5,
Morinda citrifolia,121022,4,109,17,0,0,2,0,15,15,14,
Morinda citrifolia,121022,5,70,50,0,0,4,0,46,30,26,
Morinda citrifolia,121022,6,91,7,0,0,3,0,4,4,4,
Ruellia simplex,126633,1,86,17,0,0,4,0,13,13,12,
Ruellia simplex,126633,2,59,34,0,0,2,0,32,30,28,
Ruellia simplex,126633,3,80,2,0,0,2,0,0,0,0,
Ruellia simplex,126633,4,83,2,0,0,2,0,0,0,0,
Ruellia simplex,126633,5,96,2,0,0,2,0,0,0,0,
Ruellia simplex,126633,6,95,50,0,0,2,0,48,30,28,
Fritillaria camschatcensis,128770,1,142,15,0,0,2,0,13,11,10,
Fritillaria camschatcensis,128770,2,146,50,0,0,0,0,50,30,24,
Fritillaria camschatcensis,128770,3,161,15,0,0,11,0,4,4,4,
Fritillaria camschatcensis,128770,4,144,15,0,0,6,0,9,9,9,
Fritillaria camschatcensis,128770,5,145,50,0,0,4,0,46,30,29,
Fritillaria camschatcensis,128770,6,160,50,0,0,6,0,44,30,24,
Saxifraga oppositifolia,128880,1,158,15,0,0,2,0,13,4,3,
Saxifraga oppositifolia,128880,2,149,50,0,0,7,0,43,30,22,
Saxifraga oppositifolia,128880,3,144,14,0,0,5,0,9,8,6,
Saxifraga oppositifolia,128880,4,153,50,0,0,1,0,49,30,25,
Saxifraga oppositifolia,128880,5,151,35,0,0,6,0,29,29,28,
Saxifraga oppositifolia,128880,6,145,50,0,0,3,0,47,30,23,
Emilia fosbergii,129103,1,91,3,0,0,3,0,0,0,0,
Emilia fosbergii,129103,2,61,11,0,0,2,0,9,9,9,
Emilia fosbergii,129103,3,94,50,0,0,2,0,48,30,29,
Emilia fosbergii,129103,4,42,50,0,0,0,0,50,30,30,
Emilia fosbergii,129103,5,95,21,0,0,2,0,19,19,16,
Emilia fosbergii,129103,6,60,27,0,0,2,0,25,11,9,
Cyanthillium cinereum,130374,1,80,2,0,0,2,0,0,0,0,
Cyanthillium cinereum,130374,2,105,17,0,0,2,0,15,15,13,
Cyanthillium cinereum,130374,3,66,5,0,0,5,0,0,0,0,
Cyanthillium cinereum,130374,4,68,50,0,0,3,0,47,29,27,
Cyanthillium cinereum,130374,5,103,13,0,0,3,0,10,9,6,
Cyanthillium cinereum,130374,6,122,33,0,0,3,0,30,28,21,
Spathoglottis plicata,132672,1,47,7,0,0,2,0,5,5,4,
Spathoglottis plicata,132672,2,109,46,0,0,2,0,44,30,25,
Spathoglottis plicata,132672,3,87,13,0,0,8,0,5,5,4,
Spathoglottis plicata,132672,4,37,2,0,0,2,0,0,0,0,
Spathoglottis plicata,132672,5,53,39,0,0,5,0,34,26,18,
Spathoglottis plicata,132672,6,106,12,0,0,2,0,10,8,6,
Gloriosa superba,141177,1,55,5,0,0,5,0,0,0,0,
Gloriosa superba,141177,2,100,3,0,0,2,0,1,1,1,
Gloriosa superba,141177,3,85,17,0,0,12,0,5,5,5,
Gloriosa superba,141177,4,47,11,0,0,5,0,6,6,5,
Gloriosa superba,141177,5,98,9,0,0,6,0,3,3,3,
Gloriosa superba,141177,6,120,50,0,0,8,0,42,30,25,
Ageratum conyzoides,143422,1,82,14,0,0,2,0,12,11,8,
Ageratum conyzoides,143422,2,37,2,0,0,2,0,0,0,0,
Ageratum conyzoides,143422,3,105,11,0,0,3,0,8,8,8,
Ageratum conyzoides,143422,4,109,25,0,0,5,0,20,15,12,
Ageratum conyzoides,143422,5,71,7,0,0,6,0,1,1,1,
Ageratum conyzoides,143422,6,103,12,0,0,2,0,10,10,10,
Rubus chamaemorus,153003,1,132,50,0,0,3,0,47,30,26,
Rubus chamaemorus,153003,2,160,13,0,0,3,0,10,10,7,
Rubus chamaemorus,153003,3,154,50,0,0,0,0,50,30,29,
Rubus chamaemorus,153003,4,146,50,0,0,0,0,50,30,27,
Rubus chamaemorus,153003,5,150,50,0,0,3,0,47,30,23,
Rubus chamaemorus,153003,6,144,13,0,0,3,0,10,10,7,
Hippobroma longiflora,154827,1,81,3,0,0,3,0,0,0,0,
Hippobroma longiflora,154827,2,54,2,0,0,2,0,0,0,0,
Hippobroma longiflora,154827,3,68,21,0,0,7,0,14,10,9,
Hippobroma longiflora,154827,4,106,10,0,0,3,0,7,7,7,
Hippobroma longiflora,154827,5,47,13,0,0,2,0,11,11,11,
Hippobroma longiflora,154827,6,83,3,0,0,3,0,0,0,0,
Clitoria ternatea,160759,1,96,3,0,0,3,0,0,0,0,
Clitoria ternatea,160759,2,69,17,0,0,2,0,15,10,9,
Clitoria ternatea,160759,3,55,3,0,0,3,0,0,0,0,
Clitoria ternatea,160759,4,65,7,0,0,2,0,5,5,4,
Clitoria ternatea,160759,5,121,26,0,0,3,0,23,23,21,
Clitoria ternatea,160759,6,85,3,0,0,3,0,0,0,0,
Synedrella nodiflora,169500,1,80,5,0,0,5,0,0,0,0,
Synedrella nodiflora,169500,2,71,2,0,0,2,0,0,0,0,
Synedrella nodiflora,169500,3,66,3,0,0,3,0,0,0,0,
Synedrella nodiflora,169500,4,105,3,0,0,2,0,1,1,1,
Synedrella nodiflora,169500,5,68,41,0,0,9,0,32,26,22,
Synedrella nodiflora,169500,6,102,11,0,0,2,0,9,9,7,
Tridax procumbens,169944,1,59,50,0,0,2,0,48,30,29,
Tridax procumbens,169944,2,104,50,0,0,6,0,44,24,22,
Tridax procumbens,169944,3,99,15,0,0,3,0,12,12,10,
Tridax procumbens,169944,4,90,2,0,0,2,0,0,0,0,
Tridax procumbens,169944,5,66,6,0,0,6,0,0,0,0,
Tridax procumbens,169944,6,93,36,0,0,2,0,34,12,9,
Ficaria verna,204321,1,131,50,0,0,0,0,50,30,30,
Ficaria verna,204321,2,138,11,0,0,2,0,9,8,7,
Ficaria verna,204321,3,134,50,0,0,0,0,50,30,30,
Ficaria verna,204321,4,154,50,0,0,0,0,50,30,29,
Ficaria verna,204321,5,136,50,0,0,1,0,49,30,28,
Ficaria verna,204321,6,152,50,0,0,0,0,50,30,27,
Sphagneticola trilobata,246102,1,60,50,0,0,2,0,48,6,5,
Sphagneticola trilobata,246102,2,87,3,0,0,2,0,1,1,1,
Sphagneticola trilobata,246102,3,109,48,0,0,6,0,42,30,27,
Sphagneticola trilobata,246102,4,65,10,0,0,4,0,6,6,6,
Sphagneticola trilobata,246102,5,99,2,0,0,2,0,0,0,0,
Sphagneticola trilobata,246102,6,71,4,0,0,4,0,0,0,0,
Turnera subulata,327909,1,86,40,0,0,7,0,33,30,30,
Turnera subulata,327909,2,78,50,0,0,1,0,49,30,29,
Turnera subulata,327909,3,81,3,0,0,3,0,0,0,0,
Turnera subulata,327909,4,61,50,0,0,1,0,49,30,27,
Turnera subulata,327909,5,103,15,0,0,2,0,13,13,13,
Turnera subulata,327909,6,80,2,0,0,2,0,0,0,0,
Asystasia intrusa,344320,1,55,3,0,0,3,0,0,0,0,
Asystasia intrusa,344320,2,83,4,0,0,4,0,0,0,0,
Asystasia intrusa,344320,3,105,35,0,0,4,0,31,30,28,
Asystasia intrusa,344320,4,81,7,0,0,2,0,5,5,5,
Asystasia intrusa,344320,5,85,4,0,0,2,0,2,2,2,
Asystasia intrusa,344320,6,47,16,0,0,2,0,14,13,11,
Scaevola taccada,363481,1,113,18,0,0,2,0,16,15,14,
Scaevola taccada,363481,2,67,3,0,0,3,0,0,0,0,
Scaevola taccada,363481,3,54,2,0,0,2,0,0,0,0,
Scaevola taccada,363481,4,109,50,0,0,3,0,47,30,27,
Scaevola taccada,363481,5,83,4,0,0,4,0,0,0,0,
Scaevola taccada,363481,6,70,49,0,0,2,0,47,30,26,
Pemphis acidula,425753,1,84,4,0,0,4,0,0,0,0,
Pemphis acidula,425753,2,55,5,0,0,5,0,0,0,0,
Pemphis acidula,425753,3,106,15,0,0,2,0,13,13,11,
Pemphis acidula,425753,4,53,7,0,0,3,0,4,3,2,
Pemphis acidula,425753,5,67,2,0,0,2,0,0,0,0,
Pemphis acidula,425753,6,87,2,0,0,2,0,0,0,0,
Chamaenerion angustifolium,564969,1,129,50,0,0,0,0,50,30,30,
Chamaenerion angustifolium,564969,2,138,47,0,0,2,0,45,30,24,
Chamaenerion angustifolium,564969,3,142,9,0,0,2,0,7,7,6,
Chamaenerion angustifolium,564969,4,152,50,0,0,0,0,50,30,28,
Chamaenerion angustifolium,564969,5,132,50,0,0,2,0,48,30,28,
Chamaenerion angustifolium,564969,6,144,36,0,0,7,0,29,26,24,
Chamaenerion latifolium,564970,1,151,50,0,0,7,0,43,30,25,
Chamaenerion latifolium,564970,2,161,16,0,0,10,0,6,6,5,
Chamaenerion latifolium,564970,3,146,50,0,0,0,0,50,30,28,
Chamaenerion latifolium,564970,4,148,33,0,0,4,0,29,29,26,
Chamaenerion latifolium,564970,5,144,23,0,0,4,0,19,19,18,
Chamaenerion latifolium,564970,6,145,50,0,0,1,0,49,30,30,
Bidens alba,1095846,1,112,50,0,0,8,0,42,30,30,
Bidens alba,1095846,2,68,12,0,0,5,0,7,7,7,
Bidens alba,1095846,3,116,32,0,0,3,0,29,19,17,
Bidens alba,1095846,4,109,29,0,0,7,0,22,19,16,
Bidens alba,1095846,5,106,19,0,0,3,0,16,15,14,
Bidens alba,1095846,6,122,50,0,0,1,0,49,30,27,
