species,inat_taxon_id,after_observer_cap,maximum_span_km,selected_raw_photo_target
Physalis peruviana,51988,160,19990.895145640872,100
Richardia grandiflora,52078,179,7602.15999635048,100
Toxicodendron pubescens,52083,158,2372.3416148694178,100
Streptanthus tortuosus,52106,150,805.9339066785758,100
Baccharis sarothroides,52108,168,931.4285757303236,100
Pterospora andromedea,52118,189,4045.59461139272,100
Populus deltoides,52119,109,15772.56117713294,100
Phyllodoce breweri,52131,112,858.8037739608983,100
Ipomopsis aggregata,52136,189,2737.6072384073696,100
Penstemon newberryi,52146,173,710.4643511478181,100
Linanthus pungens,52148,157,1967.3426484296929,100
Triteleia ixioides,52153,193,1164.310293572862,100
Cakile edentula,52162,188,17840.53729858215,100
Ranunculus californicus,52173,155,709.390192584541,100
Monardella villosa,52181,160,622.3787361299569,100
Borago officinalis,52287,163,19991.22558573775,100
Ipomoea purpurea,52344,175,19765.55032331913,100
Senna septemtrionalis,52347,103,18230.919829570987,100
Gomphocarpus fruticosus,52351,138,19774.174476129545,100
Pavonia hastata,52355,126,19379.70352666072,100
Lilium formosanum,52360,165,19986.21008906395,100
Trimezia martinicensis,52397,150,19632.02613317936,100
Linaria maroccana,52405,135,19871.262245446207,100
Vicia cracca,52471,170,9311.058013248256,100
Hedychium gardnerianum,52495,178,19735.41079522052,100
Platanthera clavellata,52500,144,3699.094976148513,100
Calochortus leichtlinii,52542,194,574.8395787764329,100
Althaea officinalis,52565,176,11781.886442873008,100
Silybum marianum,52586,195,19339.3440477957,100
Centaurea solstitialis,52588,184,17502.140969109132,100
Pontederia cordata,52599,167,19808.3818289662,100
Abronia latifolia,52618,185,1648.4378217348487,100
Cirsium occidentale,52621,200,1230.139309152244,100
Stachys chamissonis,52625,185,1781.7508463252864,100
Sarracenia purpurea,52651,165,7496.904814462432,100
Drosera rotundifolia,52658,179,9425.893171269625,100
Ribes menziesii,52687,169,973.7489742744216,100
Avena barbata,52696,168,17477.03218242236,100
Bromus hordeaceus,52703,135,19965.91749725901,100
Dactylis glomerata,52720,187,19936.06139280317,100
Monarda didyma,52735,187,1714.6119337891666,100
Vaccinium corymbosum,52740,169,4274.725618494166,100
Cephalanthus occidentalis,52763,177,4357.174428186598,100
Prunella vulgaris,52764,183,19717.415103427466,100
Holcus lanatus,52793,167,19946.21707902679,100
Hordeum murinum,52796,104,19825.535559618,100
Lolium perenne,52801,130,19903.458582827458,100
Poa annua,52808,127,19903.83277469114,100
Achillea millefolium,52821,191,19478.004375237982,100
Anaphalis margaritacea,52833,188,10771.628947673777,100
Anthemis cotula,52841,142,19878.723853308988,100
Anthriscus caucalis,52846,187,19792.10026762421,100
Aralia californica,52848,124,1263.5233107693048,100
Arnica discoidea,52851,179,1537.9823785582848,100
Artemisia douglasiana,52854,137,1370.8501011069334,100
Artemisia vulgaris,52856,175,10253.748250803228,100
Asarum caudatum,52858,180,1704.1519349360135,100
Clethra alnifolia,52867,195,3016.7343949784004,100
Solanum carolinense,52899,200,11794.538151553135,100
Cichorium intybus,52913,192,19969.09206097882,100
Commelina communis,52927,199,16827.042795360125,100
Commelina cyanea,52930,176,2337.061992056939,100
Eupatorium serotinum,52934,190,2904.350989918431,100
Epilobium brachycarpum,52971,128,9412.31840119257,100
Cerastium glomeratum,52973,169,19955.714467133068,100
Eurybia radulina,52974,151,1028.353370616636,100
Barbarea orthoceras,52976,162,12074.044821025887,100
Cirsium vulgare,52989,190,19952.923397710416,100
Carduus pycnocephalus,52990,189,19720.44031714364,100
Matricaria discoidea,52992,158,19838.446836660416,100
Claytonia perfoliata,52994,187,19358.6470313955,100
Collomia heterophylla,52996,162,1473.3514718151548,100
Conium maculatum,52998,186,19576.23317681831,100
Carduus tenuiflorus,53007,163,19984.36938084205,100
Convolvulus arvensis,53021,196,19939.063990948023,100
Cotula australis,53025,149,19911.34681237322,100
Ambrosia trifida,53034,197,11684.895284412154,100
Pogonia ophioglossoides,53039,162,3690.751391040468,100
Kalmia angustifolia,53041,178,2495.2358827143503,100
Eriogonum nudum,53046,163,1492.0970198790849,100
Epilobium ciliatum,53050,183,19400.767178363687,100
Epilobium canum,53051,183,1462.2546209258924,100
Foeniculum vulgare,53052,168,19952.054767139103,100
Galium aparine,53059,192,19736.711102797148,100
Galium triflorum,53065,185,9678.153243735507,100
Geranium dissectum,53075,189,19854.7696545384,100
Geranium molle,53076,182,19949.46775094352,100
Pseudognaphalium californicum,53077,158,998.9019074039628,100
Pseudognaphalium luteoalbum,53083,169,19973.81116348564,100
Pseudognaphalium ramosissimum,53088,162,854.8103099111985,100
Pseudognaphalium stramineum,53089,122,2220.8446955348345,100
Helenium puberulum,53092,167,1061.2239445781354,100
Heracleum maximum,53094,165,5630.250590767323,100
Antennaria rosea,53096,175,3227.925223553433,100
Hirschfeldia incana,53097,177,19911.177172480064,100
Hypochaeris glabra,53103,176,19843.08402892741,100
Hypochaeris radicata,53104,153,19802.19598533101,100
Lactuca serriola,53107,196,19932.037192497603,100
Lactuca canadensis,53110,107,9571.77224227448,100
Lithophragma heterophyllum,53124,139,326.3565375042275,100
Acmispon glaber,53134,186,823.2781014480071,100
Anisocarpus madioides,53137,163,1529.224851344594,100
Madia sativa,53143,161,12465.318146370197,100
Medicago polymorpha,53151,180,19941.090776823592,100
Navarretia squarrosa,53157,168,13440.441329013343,100
Nemophila heterophylla,53158,140,858.4392862259131,100
Osmorhiza berteroi,53166,144,12779.912997729318,100
Oxalis corniculata,53168,176,19947.44400040336,100
Oxalis pes-caprae,53169,168,19977.39629400572,100
Phacelia californica,53170,185,251.20023205354144,100
Phacelia imbricata,53171,142,868.0462014089123,100
Plantago erecta,53177,161,1426.195716906028,100
Plantago lanceolata,53178,156,19857.109706802883,100
Oxalis stricta,53183,190,11052.624203601405,100
Rafinesquia californica,53193,112,1109.7042527858896,100
Rumex acetosella,53195,185,19939.26566050088,100
Rumex crispus,53197,197,19721.80713851856,100
Salvia columbariae,53200,190,1261.733458765716,100
Sanicula crassicaulis,53201,173,10917.70972322222,100
Clinopodium douglasii,53203,134,1606.4590518701489,100
Delairea odorata,53208,186,19849.97478060351,100
Senecio sylvaticus,53210,100,19909.88504936092,100
Senecio vulgaris,53211,157,19871.66675545158,100
Silene gallica,53212,180,19948.630499996307,100
Salvia hispanica,53219,161,19211.56666850136,100
Sisymbrium officinale,53266,179,19968.62217022635,100
Maianthemum stellatum,53268,169,5150.301900959196,100
Sonchus asper,53269,150,19915.529152471656,100
Brassica rapa,53271,187,19336.552719840816,100
Sonchus oleraceus,53294,184,19892.07396477051,100
Stellaria media,53298,193,19980.09693061093,100
Thalictrum fendleri,53299,157,1946.510581635721,100
Torilis nodosa,53304,139,19969.228476238302,100
Stachys rigida,53306,139,1513.9390805034443,100
Cerastium fontanum,53307,174,19654.164379799044,100
Trifolium dubium,53313,177,19312.64221702086,100
Urtica urens,53315,135,19931.449270874466,100
Verbena lasiostachys,53316,188,1156.453301255892,100
Vicia americana,53320,167,3443.333412231962,100
Vicia sativa,53324,178,19934.28906714908,100
Vinca major,53326,200,19971.13806475854,100
Viola adunca,53328,183,4193.832215186204,100
Vicia benghalensis,53333,156,19784.328307541746,100
Acacia dealbata,53343,173,19938.921200794503,100
Acacia melanoxylon,53344,187,19729.96767576447,100
Aesculus californica,53348,191,847.293701796624,100
Arctostaphylos glandulosa,53353,146,1066.2769274896275,100
Artemisia californica,53357,122,875.8314033042648,100
Baccharis pilularis,53359,180,1486.5292719486165,100
Corylus cornuta,53374,156,4843.791389232048,100
Cornus sericea,53387,197,9114.018646458484,100
Eriophyllum confertiflorum,53395,188,907.298868225895,100
Garrya elliptica,53399,124,8249.09102120473,100
Genista monspessulana,53403,195,19723.873602608463,100
Heteromeles arbutifolia,53405,166,1023.8726073167694,100
Holodiscus discolor,53414,197,2341.0062493252653,100
Lonicera hispidula,53416,183,1946.548525198924,100
Oemleria cerasiformis,53419,183,1573.2279912236068,100
Frangula californica,53423,145,1197.1268595575991,100
Ribes sanguineum,53435,169,19252.2367401486,100
Rosa californica,53437,194,998.8523905410608,100
Rosa gymnocarpa,53441,187,1515.138906390578,100
Rubus ursinus,53445,191,1852.1525662614683,100
Commelina erecta,53478,198,19572.412843663056,100
Liriodendron tulipifera,53582,161,8233.809450009032,100
Ambrosia artemisiifolia,53587,190,11170.5674454982,100
Melia azedarach,53720,147,19893.09171939744,100
Humulus lupulus,53779,174,19927.162562197915,100
Fumaria officinalis,53785,189,19668.662931422783,100
Mitella diphylla,53793,185,1885.2959580224144,100
Clintonia borealis,53794,190,3119.800992238375,100
Abronia umbellata,53801,190,2672.660437090836,100
Ilex aquifolium,53856,192,19923.19415931413,100
Trifolium fucatum,53901,184,868.0843494541102,100
Calochortus venustus,53902,179,505.08693391619954,100
Mentzelia lindleyi,53923,165,128.84180761996433,100
Galax urceolata,53925,172,705.1781769552216,100
Digitalis purpurea,53983,200,19963.231676229887,100
Crepis capillaris,54050,176,19892.437058139087,100
Achillea ptarmica,54055,179,9667.360584762007,100
Tragopogon porrifolius,54141,195,19944.853880439583,100
Tragopogon dubius,54143,164,18838.40618376166,100
Tropaeolum majus,54329,192,19999.46520508925,100
Veronica beccabunga,54333,190,8426.76650761321,100
Papaver rhoeas,54404,170,19908.39476177208,100
Ribes rubrum,54431,103,9315.692686483524,100
Rubus idaeus,54436,185,19434.333450231163,100
Carnegiea gigantea,54449,118,985.5228068935965,100
Ferocactus cylindraceus,54453,123,540.1581870712928,100
Corylus avellana,54491,193,19904.268549642995,100
Tanacetum parthenium,54520,197,19964.92755474246,100
Pisum sativum,54522,162,19918.05292530275,100
Cardamine pratensis,54531,169,9666.568354444293,100
Marrubium vulgare,54605,188,19954.086507333883,100
Cypripedium calceolus,54638,135,8803.319709342804,100
Platanthera chlorantha,54639,180,3668.91146521218,100
Chionanthus virginicus,54654,192,2584.701034438544,100
Hemitomes congestum,54663,108,1579.203065283407,100
Leptospermum scoparium,54699,157,14957.352171436984,100
Fuchsia boliviana,54712,112,19014.69336227352,100
Laurus nobilis,54759,133,19977.592964157506,100
Acer platanoides,54763,193,9219.407227170714,100
Rhus glabra,54764,199,4014.9896077635935,100
Corylus americana,54770,150,2359.499017028166,100
Viburnum lentago,54773,188,2545.2352945397806,100
Cornus alternifolia,54775,200,2559.751604052783,100
Cornus drummondii,54776,195,1981.5801056787543,100
Cornus florida,54777,198,2463.8711576985943,100
Cornus foemina,54778,140,1960.537667271078,100
Lindera benzoin,54793,193,2425.076408073591,100
Sassafras albidum,54795,195,4241.9517784356285,100
Rhamnus cathartica,54811,189,9622.057330193747,100
Amelanchier laevis,54814,136,2549.48730003444,100
Prunus nigra,54832,169,2688.2218594746137,100
Prunus pensylvanica,54833,189,8455.267161001186,100
Prunus serotina,54834,194,10410.897233358295,100
Prunus virginiana,54835,194,10795.816617070526,100
Zanthoxylum americanum,54836,126,2279.668790089411,100
Populus tremuloides,54840,180,5421.342003782563,100
Salix bebbiana,54843,167,8128.687946553967,100
Salix discolor,54844,174,4539.557576470026,100
Salix nigra,54847,174,3399.478931324636,100
Tilia americana,54854,114,8735.59003722696,100
Trichostema lanceolatum,54875,192,1358.906200470935,100
Epidendrum radicans,54890,144,15963.911628636124,100
Eriogonum heracleoides,54897,180,1639.8717459467225,100
Packera glabella,54921,150,1830.6954659671687,100
Medeola virginiana,54924,176,2505.199558816053,100
Ribes malvaceum,54942,164,898.7857331688983,100
Eriogonum fasciculatum,54999,187,1439.2759796212144,100
Rhus integrifolia,55009,174,920.8390496627992,100
Arabidopsis thaliana,55021,183,19988.000192970885,100
Jasione montana,55022,187,7493.030996637901,100
Arctostaphylos glauca,55133,180,856.8112477443145,100
Arctostaphylos viscida,55135,189,913.2861310576484,100
Aristolochia erecta,55188,164,1292.4107586668306,100
Aristolochia littoralis,55189,167,19734.109141523262,100
Aristolochia californica,55190,165,361.2485454738456,100
Viola sempervirens,55342,184,1517.4975005280005,100
Acacia baileyana,55345,154,19868.93597893952,100
Fragaria chiloensis,55367,179,13138.872034789283,100
Crambe maritima,55399,122,9823.41800048664,100
Trillium grandiflorum,55402,199,1698.1081893506082,100
Raphanus raphanistrum,55411,172,19891.99287674198,100
Amsinckia menziesii,55436,185,16567.39268199787,100
Pholistoma auritum,55437,177,1097.3235969436582,100
Onobrychis viciifolia,55441,188,9839.55826980134,100
Trifolium lupinaster,55443,101,6913.952532940975,100
Lamium amplexicaule,55459,188,19864.170138104528,100
Sanicula arctopoides,55466,171,1333.9662942055495,100
Allium triquetrum,55505,159,20007.243406614576,100
Castilleja densiflora,55508,152,903.6028135361968,100
Ribes aureum,55544,193,11836.793905982096,100
Bellis perennis,55563,188,19935.425297022262,100
Senecio inaequidens,55607,189,15143.401400193006,100
Solanum dulcamara,55620,186,19943.59181115876,100
Erythronium albidum,55629,195,2584.974683576261,100
Trifolium nigrescens,55631,128,11664.92147392662,100
Veronica persica,55666,182,19995.580931435885,100
Sagina procumbens,55667,147,19957.6050633526,100
Linum bienne,55679,188,19944.5307666246,100
Trillium albidum,55697,178,914.8188068127704,100
Centaurea jacea,55713,156,16387.563213098943,100
Teucrium chamaedrys,55717,173,5188.246390244253,100
Silene vulgaris,55721,171,17726.607470433206,100
Geranium pratense,55722,189,9895.33513393829,100
Symphytum officinale,55724,153,9943.462771841396,100
Cymbalaria muralis,55727,182,19979.61790874953,100
Lathyrus tuberosus,55729,191,10567.68339152509,100
Spergularia rubra,55730,194,19588.44157662117,100
Potentilla norvegica,55732,172,10115.527259462646,100
Chaerophyllum temulum,55733,166,19728.618882450155,100
Sedum acre,55734,150,19586.86490196008,100
Sanguisorba minor,55736,192,19833.87400765785,100
Viola tricolor,55739,196,19347.13168738875,100
Trifolium repens,55745,181,19414.93090359153,100
Veronica arvensis,55748,146,19878.988573008723,100
Veronica serpyllifolia,55749,175,19926.64099176273,100
Geum rivale,55750,189,9559.64091462504,100
Valerianella locusta,55752,191,11685.998845010148,100
Geranium phaeum,55756,192,6416.809086240068,100
Chelidonium majus,55757,187,11803.378821333346,100
Silene dioica,55759,176,19798.643007727005,100
Viola arvensis,55760,185,19285.6124497469,100
Petasites albus,55763,194,3540.65973129193,100
Euphorbia cyparissias,55766,149,8719.771791754298,100
Claytonia sibirica,55767,145,8585.834617829316,100
Crocus vernus,55769,181,8341.15556967178,100
Erica cinerea,55775,170,19723.38419135338,100
Erica vagans,55777,178,19750.91541746309,100
Petasites frigidus,55780,196,7915.467892911315,100
