species,inat_taxon_id,source_v1,source_v2
Chimonanthus praecox,49080,False,True
Myosotis scorpioides,49130,True,True
Myosotis latifolia,49132,True,True
Strelitzia reginae,49143,True,True
Castanea mollissima,49192,True,True
Callicarpa americana,49193,True,True
Fagus grandifolia,49202,True,False
Amelanchier arborea,49226,True,False
Podophyllum peltatum,49288,True,True
Mesembryanthemum crystallinum,49319,True,True
Carpobrotus edulis,49322,True,True
Fouquieria splendens,49325,True,True
Atrichoseris platyphylla,49328,True,True
Encelia farinosa,49339,True,True
Castilleja attenuata,49341,True,True
Castilleja coccinea,49342,True,False
Castilleja exserta,49343,True,True
Phacelia crenulata,49345,True,True
Cylindropuntia bigelovii,49351,False,True
Cylindropuntia acanthocarpa,49354,True,True
Cylindropuntia echinocarpa,49357,True,False
Carex pendula,49365,True,True
Stellaria alaskana,49387,False,True
Kalmia latifolia,49397,True,True
Corallorhiza mertensiana,49444,True,True
Trillium ovatum,49463,True,True
Sarcodes sanguinea,49472,True,True
Corallorhiza maculata,49475,True,True
Monotropa uniflora,49477,True,True
Rhododendron catawbiense,49486,True,False
Lilium lancifolium,49524,True,True
Cistanche tubulosa,49562,True,True
Lupinus texensis,49564,True,True
Lupinus subcarnosus,49565,True,True
Tillandsia usneoides,49569,True,True
Pedicularis densiflora,49645,True,False
Leucocrinum montanum,49647,True,True
Toxicoscordion fremontii,49649,True,True
Cardamine californica,49651,True,True
Liquidambar styraciflua,49658,True,False
Ceanothus cuneatus,49673,True,True
Rhododendron periclymenoides,49822,True,True
Rhododendron atlanticum,49834,True,False
Aquilegia canadensis,49868,True,True
Actaea rubra,49870,True,True
Sisyrinchium angustifolium,49916,True,True
Sisyrinchium bellum,49918,True,True
Castilleja affinis,50042,True,True
Justicia californica,50150,True,True
Sphaeralcea ambigua,50153,True,True
Mohavea confertiflora,50155,True,True
Abronia villosa,50164,True,True
Phacelia campanularia,50171,True,True
Astragalus coccineus,50177,True,True
Washingtonia filifera,50184,False,True
Cordyline australis,50191,True,True
Chaenactis fremontii,50198,True,False
Palafoxia linearis,50200,False,True
Bidens bipinnata,50202,True,True
Bidens pilosa,50203,True,True
Maianthemum bifolium,50247,True,True
Parthenocissus quinquefolia,50278,True,True
Fragaria vesca,50298,True,True
Arisaema triphyllum,50310,True,True
Dirca palustris,50312,True,False
Pachysandra procumbens,50316,True,False
Lathyrus vestitus,50320,True,False
Lantana camara,50333,True,True
Ludwigia peruviana,50338,True,True
Enhalus acoroides,50360,True,True
Halophila ovalis,50371,True,False
Lupinus nanus,50612,True,False
Lupinus bicolor,50614,True,True
Mirabilis jalapa,50616,True,True
Phacelia ramosissima,50617,True,True
Fritillaria affinis,50618,True,True
Ptelea trifoliata,50625,True,False
Erysimum capitatum,50628,True,True
Delphinium variegatum,50632,True,False
Solanum umbelliferum,50639,True,True
Delphinium nudicaule,50642,True,False
Salvia mellifera,50643,True,True
Nemophila menziesii,50648,True,True
Collinsia sparsiflora,50656,True,True
Cephalanthera austiniae,50706,True,True
Corallorhiza striata,50708,True,True
Corallorhiza trifida,50709,True,True
Cypripedium montanum,50712,True,True
Cypripedium parviflorum,50713,True,True
Epipactis gigantea,50715,True,True
Epipactis helleborine,50717,True,True
Goodyera oblongifolia,50719,True,True
Malaxis monophyllos,50724,True,True
Platanthera stricta,50739,True,True
Spiranthes porrifolia,50742,False,True
Spiranthes romanzoffiana,50743,True,True
Linaria vulgaris,50790,True,True
Ancistrocarphus filagineus,50795,True,False
Wyethia amplexicaulis,50798,False,True
Lithophragma affine,50803,True,False
Uropappus lindleyi,50806,True,True
Scrophularia californica,50812,True,True
Trillium chloropetalum,50823,True,False
Ribes speciosum,50824,True,True
Viola pedunculata,50825,True,True
Primula farinosa,50831,True,True
Gilia tricolor,50832,True,False
Calochortus tolmiei,50840,True,True
Sparaxis tricolor,50843,True,True
Cerastium arvense,50851,True,True
Iris douglasiana,50854,True,False
Trillium erectum,50855,True,True
Scorpiurus muricatus,50856,True,True
Phacelia cicutaria,50857,True,False
Phacelia congesta,50858,True,True
Catalpa bignonioides,50859,True,True
Quercus suber,50868,True,True
Layia platyglossa,50876,True,True
Erigeron glaucus,50878,True,True
Asimina triloba,50897,True,True
Cynomorium coccineum,50902,True,True
Cynomorium songaricum,50906,True,True
Lasthenia californica,50987,True,False
Sanguinaria canadensis,51044,True,True
Arbutus menziesii,51046,True,True
Dicentra formosa,51048,True,True
Dicentra cucullaria,51053,True,True
Calochortus umbellatus,51054,True,False
Calochortus eurycarpus,51055,True,True
Maianthemum racemosum,51062,True,True
Prosartes hookeri,51071,True,True
Calochortus luteus,51077,True,True
Calochortus superbus,51078,True,False
Toxicodendron diversilobum,51080,True,True
Quincula lobata,51082,True,True
Triteleia laxa,51085,True,False
Clarkia purpurea,51087,True,True
Phacelia divaricata,51093,True,False
Gilia achilleifolia,51098,True,False
Nymphaea odorata,51119,True,True
Orontium aquaticum,51138,True,True
Crataegus monogyna,51147,True,True
Pedicularis canadensis,51227,True,False
Justicia americana,51234,True,True
Rheum rhabarbarum,51251,True,True
Wisteria frutescens,51266,True,True
Asclepias californica,51272,False,True
Heuchera micrantha,51274,True,False
Bellardia trixago,51286,True,True
Platystemon californicus,51288,True,True
Tamarix gallica,51303,True,True
Linum usitatissimum,51306,True,True
Calochortus albus,51315,True,True
Galearis spectabilis,51432,True,False
Cypripedium reginae,51434,True,True
Trillium undulatum,51435,True,True
Passiflora antioquiensis,51444,True,True
Passiflora edulis,51446,True,True
Passiflora alata,51447,True,True
Passiflora foetida,51448,True,True
Passiflora mixta,51449,True,True
Passiflora lutea,51450,True,True
Passiflora incarnata,51453,True,True
Passiflora caerulea,51454,True,True
Passiflora manicata,51455,True,True
Borrichia arborescens,51589,True,True
Colubrina asiatica,51593,True,True
Pittosporum undulatum,51594,True,True
Psychotria nervosa,51599,True,True
Galanthus nivalis,51606,True,True
Arum cylindraceum,51608,True,False
Veronica chamaedrys,51610,True,True
Myrrhis odorata,51618,True,True
Digitaria sanguinalis,51633,True,True
Fatoua villosa,51636,False,True
Tiarella trifoliata,51643,True,True
Rubus parvifolius,51645,True,True
Rubus parviflorus,51646,True,True
Clintonia andrewsiana,51647,True,True
Tellima grandiflora,51655,True,True
Lupinus albifrons,51691,True,False
Plagiobothrys myosotoides,51693,True,False
Polemonium caeruleum,51704,True,True
Bidens frondosa,51712,True,True
Bidens aristosa,51714,True,False
Myosotis arvensis,51726,True,True
Physalis philadelphica,51734,True,True
Clarkia unguiculata,51735,True,True
Impatiens parviflora,51736,True,True
Solanum lycopersicum,51737,True,True
Salvia officinalis,51738,False,True
Aegopodium podagraria,51741,True,True
Ulex europaeus,51751,True,True
Brodiaea elegans,51752,True,True
Phormium tenax,51754,True,True
Gaillardia pulchella,51768,True,True
Sempervivum tectorum,51779,True,True
Aquilegia vulgaris,51807,True,True
Lysimachia punctata,51808,True,True
Lysimachia nummularia,51809,True,True
Laburnum anagyroides,51810,True,True
Oenothera elata,51813,True,True
Hippeastrum reginae,51832,True,False
Circaea lutetiana,51843,True,True
Collinsia tinctoria,51850,True,True
Delphinium californicum,51858,True,False
Penstemon heterophyllus,51861,True,True
Lonicera caprifolium,51873,True,True
Trifolium pratense,51875,True,True
Urtica dioica,51884,True,True
Dudleya farinosa,51889,True,True
Antennaria dioica,51893,True,True
Priva lappulacea,51896,True,True
Mimosa pudica,51921,True,True
Hamamelis virginiana,51970,True,True
Physalis peruviana,51988,True,True
Richardia grandiflora,52078,True,True
Toxicodendron pubescens,52083,True,True
Streptanthus tortuosus,52106,True,True
Baccharis sarothroides,52108,True,True
Carmichaelia petriei,52110,True,True
Krascheninnikovia lanata,52113,True,False
Pterospora andromedea,52118,True,True
Populus deltoides,52119,True,True
Populus fremontii,52120,True,False
Phyllodoce breweri,52131,True,True
Ipomopsis aggregata,52136,True,True
Penstemon newberryi,52146,True,True
Linanthus pungens,52148,True,True
Triteleia ixioides,52153,True,True
Cakile edentula,52162,True,True
Ranunculus californicus,52173,True,False
Monardella villosa,52181,True,True
Ipomopsis tenuituba,52190,True,True
Borago officinalis,52287,True,True
Amaranthus cruentus,52328,True,True
Amaranthus blitum,52329,True,True
Ipomoea purpurea,52344,True,True
Senna septemtrionalis,52347,True,True
Senna alexandrina,52349,True,True
Gomphocarpus fruticosus,52351,True,True
Pavonia hastata,52355,True,True
Lilium formosanum,52360,True,True
Cercocarpus montanus,52378,True,False
Trimezia martinicensis,52397,True,True
Linaria maroccana,52405,True,True
Enterolobium cyclocarpum,52440,True,True
Schizolobium parahyba,52443,True,True
Acacia auriculiformis,52445,True,True
Enterolobium contortisiliquum,52446,True,True
Philadelphus coronarius,52468,True,True
Vicia cracca,52471,True,True
Hedychium gardnerianum,52495,True,True
Platanthera blephariglottis,52499,True,True
Platanthera clavellata,52500,True,True
Calochortus leichtlinii,52542,True,True
Althaea officinalis,52565,True,True
Silybum marianum,52586,True,True
Centaurea solstitialis,52588,True,True
Pontederia cordata,52599,True,True
Zostera marina,52614,False,True
Abronia latifolia,52618,True,True
Cirsium occidentale,52621,True,True
Stachys chamissonis,52625,True,True
Juncus squarrosus,52633,True,False
Sarracenia purpurea,52651,True,True
Drosera aliciae,52654,True,True
Drosera anglica,52655,False,True
Drosera capensis,52656,True,False
Drosera rotundifolia,52658,True,True
Ribes menziesii,52687,True,False
Avena barbata,52696,True,False
Avena fatua,52698,True,True
Bromus diandrus,52702,True,False
Bromus hordeaceus,52703,True,True
Bromus madritensis,52707,False,True
Dactylis glomerata,52720,True,True
Monarda didyma,52735,True,True
Vaccinium corymbosum,52740,True,False
Vaccinium myrtilloides,52741,True,True
Cephalanthus tetrandrus,52762,False,True
Cephalanthus occidentalis,52763,True,True
Prunella vulgaris,52764,True,True
Holcus lanatus,52793,True,True
Hordeum murinum,52796,True,True
Lolium perenne,52801,True,True
Poa annua,52808,True,True
Achillea millefolium,52821,True,True
Anaphalis margaritacea,52833,True,True
Angelica tomentosa,52835,False,True
Anthemis arvensis,52838,False,True
Anthemis cotula,52841,True,True
Anthriscus caucalis,52846,True,True
Aralia californica,52848,False,True
Arnica discoidea,52851,False,True
Artemisia douglasiana,52854,False,True
Artemisia vulgaris,52856,True,True
Asarum caudatum,52858,True,True
Clethra alnifolia,52867,True,True
Solanum carolinense,52899,True,True
Cichorium intybus,52913,True,True
Commelina communis,52927,True,True
Commelina cyanea,52930,True,True
Eupatorium serotinum,52934,True,True
Epilobium brachycarpum,52971,True,True
Cerastium glomeratum,52973,True,True
Eurybia radulina,52974,True,True
Barbarea orthoceras,52976,True,True
Cardamine oligosperma,52981,True,False
Cirsium vulgare,52989,True,True
Carduus pycnocephalus,52990,True,True
Matricaria discoidea,52992,True,True
Claytonia perfoliata,52994,True,True
Collomia heterophylla,52996,True,False
Conium maculatum,52998,True,True
Carduus tenuiflorus,53007,True,True
Convolvulus arvensis,53021,True,True
Cotula australis,53025,True,True
Dipsacus sativus,53028,True,True
Ambrosia trifida,53034,True,True
Drosera intermedia,53038,False,True
Pogonia ophioglossoides,53039,True,True
Kalmia angustifolia,53041,True,True
Arethusa bulbosa,53042,True,True
Eriogonum nudum,53046,True,True
Epilobium ciliatum,53050,True,True
Epilobium canum,53051,True,True
Foeniculum vulgare,53052,True,True
Erodium ciconium,53058,True,True
Galium aparine,53059,True,True
Galium californicum,53062,False,True
Galium porrigens,53063,True,False
Galium triflorum,53065,True,True
Geranium dissectum,53075,True,True
Geranium molle,53076,True,True
Pseudognaphalium californicum,53077,False,True
Pseudognaphalium luteoalbum,53083,True,True
Pseudognaphalium ramosissimum,53088,True,True
Pseudognaphalium stramineum,53089,True,True
Helenium puberulum,53092,True,True
Heracleum maximum,53094,True,True
Antennaria rosea,53096,True,True
Hirschfeldia incana,53097,True,True
Hypochaeris glabra,53103,True,True
Hypochaeris radicata,53104,True,True
Lactuca saligna,53105,True,True
Lactuca serriola,53107,True,True
Lactuca virosa,53108,False,True
Lactuca canadensis,53110,True,True
Lithophragma heterophyllum,53124,True,False
Acmispon glaber,53134,True,True
Anisocarpus madioides,53137,False,True
Madia sativa,53143,True,True
Medicago polymorpha,53151,True,True
Navarretia squarrosa,53157,True,True
Nemophila heterophylla,53158,True,False
Osmorhiza berteroi,53166,True,True
Oxalis corniculata,53168,True,True
Oxalis pes-caprae,53169,True,True
Phacelia californica,53170,False,True
Phacelia imbricata,53171,True,True
Plantago erecta,53177,True,True
Plantago lanceolata,53178,True,True
Polygonum arenastrum,53179,False,True
Phacelia rupestris,53181,False,True
Oxalis stricta,53183,True,True
Pterostegia drymarioides,53191,False,True
Rafinesquia californica,53193,True,False
Rumex acetosella,53195,True,True
Rumex crispus,53197,True,True
Salvia columbariae,53200,True,True
Sanicula crassicaulis,53201,True,True
Clinopodium douglasii,53203,True,True
Delairea odorata,53208,True,True
Senecio sylvaticus,53210,True,True
Senecio vulgaris,53211,True,True
Silene gallica,53212,True,True
Salvia hispanica,53219,True,True
Chamaecrista mimosoides,53263,True,True
Sisymbrium officinale,53266,True,True
Maianthemum stellatum,53268,True,True
Sonchus asper,53269,True,True
Brassica rapa,53271,True,True
Sonchus oleraceus,53294,True,True
Stellaria media,53298,True,True
Thalictrum fendleri,53299,True,True
Torilis nodosa,53304,True,True
Stachys rigida,53306,True,True
Cerastium fontanum,53307,True,True
Cerastium nutans,53308,True,False
Trifolium dubium,53313,True,True
Urtica urens,53315,True,True
Verbena lasiostachys,53316,True,True
Vicia americana,53320,True,True
Vicia gigantea,53322,True,False
Vicia sativa,53324,True,True
Vinca major,53326,True,True
Viola adunca,53328,True,True
Vicia benghalensis,53333,True,True
Acacia dealbata,53343,True,True
Acacia melanoxylon,53344,True,True
Acacia cochlearis,53345,True,True
Aesculus californica,53348,True,True
Alnus rhombifolia,53351,True,False
Arctostaphylos glandulosa,53353,True,True
Artemisia californica,53357,True,False
Baccharis pilularis,53359,True,True
Ceanothus oliganthus,53360,True,False
Chrysolepis chrysophylla,53363,False,True
Corylus cornuta,53374,True,True
Chrysolepis sempervirens,53386,False,True
Cornus sericea,53387,True,True
Eriophyllum confertiflorum,53395,True,True
Eucalyptus globulus,53398,True,True
Garrya elliptica,53399,True,True
Genista monspessulana,53403,True,True
Heteromeles arbutifolia,53405,True,True
Holodiscus discolor,53414,True,True
Lonicera hispidula,53416,True,True
Oemleria cerasiformis,53419,True,True
Frangula californica,53423,True,True
Ribes sanguineum,53435,True,True
Rosa californica,53437,True,True
Rosa gymnocarpa,53441,True,False
Rubus ursinus,53445,True,True
Gaultheria hispidula,53460,True,False
Commelina erecta,53478,True,True
Brickellia eupatorioides,53501,True,True
Liriodendron tulipifera,53582,True,True
Ambrosia artemisiifolia,53587,True,True
Aconitum variegatum,53629,True,False
Dianella caerulea,53680,True,True
Melia azedarach,53720,True,True
Tabebuia heterophylla,53722,True,True
Cotoneaster adpressus,53775,False,True
Santolina chamaecyparissus,53778,True,False
Humulus lupulus,53779,True,True
Fumaria officinalis,53785,True,True
Fumaria vaillantii,53786,True,True
Mitella diphylla,53793,True,True
Clintonia borealis,53794,True,True
Abronia umbellata,53801,True,True
Uapaca bojeri,53824,True,False
Ilex aquifolium,53856,True,True
Solanum tuberosum,53858,True,True
Krigia dandelion,53862,True,False
Trifolium fucatum,53901,True,False
Calochortus venustus,53902,True,True
Castilleja subinclusa,53915,True,False
Gilia angelensis,53920,False,True
Mentzelia lindleyi,53923,True,False
Galax urceolata,53925,True,True
Euphorbia eriantha,53928,True,False
Hevea brasiliensis,53940,True,True
Styphnolobium japonicum,53945,False,True
Digitalis purpurea,53983,True,True
Crepis capillaris,54050,True,True
Pyracantha angustifolia,54053,True,True
Achillea ptarmica,54055,True,True
Tragopogon porrifolius,54141,True,True
Tragopogon dubius,54143,True,True
Fagus sylvatica,54227,False,True
Sorbus decora,54266,True,False
Citrus maxima,54299,True,False
Tropaeolum majus,54329,True,True
Veronica beccabunga,54333,True,True
Papaver rhoeas,54404,True,True
Crataegus laevigata,54428,True,False
Ribes uva-crispa,54429,True,True
Ribes nigrum,54430,True,True
Ribes rubrum,54431,True,False
Rubus idaeus,54436,True,True
Carnegiea gigantea,54449,True,True
Ferocactus cylindraceus,54453,True,True
Corylus avellana,54491,True,True
Beta vulgaris,54498,True,True
Brassica oleracea,54516,True,True
Tanacetum parthenium,54520,True,True
Pisum sativum,54522,True,True
Cardamine pratensis,54531,True,True
Marrubium vulgare,54605,True,True
Cypripedium calceolus,54638,True,True
Platanthera chlorantha,54639,True,True
Chionanthus virginicus,54654,True,False
Amphitecna latifolia,54657,True,True
Hemitomes congestum,54663,True,True
Drosera arcturi,54678,True,True
Drosera binata,54684,True,True
Thelymitra venosa,54685,False,True
Empodisma minus,54692,True,False
Leptospermum scoparium,54699,True,True
Fuchsia boliviana,54712,True,True
Laurus nobilis,54759,True,True
Acer platanoides,54763,True,True
Rhus glabra,54764,True,True
Toxicodendron vernix,54767,True,False
Carpinus caroliniana,54768,True,False
Corylus americana,54770,True,False
Viburnum lentago,54773,True,True
Cornus alternifolia,54775,True,False
Cornus drummondii,54776,True,True
Cornus florida,54777,True,True
Cornus foemina,54778,True,True
Quercus macrocarpa,54781,True,False
Carya ovata,54791,True,False
Lindera benzoin,54793,True,False
Sassafras albidum,54795,True,True
Fraxinus americana,54805,True,False
Fraxinus pennsylvanica,54808,False,True
Rhamnus cathartica,54811,True,True
Amelanchier laevis,54814,True,False
Crataegus chrysocarpa,54817,True,False
Crataegus crus-galli,54824,True,False
Crataegus punctata,54830,True,False
Prunus nigra,54832,True,False
Prunus pensylvanica,54833,True,True
Prunus serotina,54834,True,True
Prunus virginiana,54835,True,True
Zanthoxylum americanum,54836,True,False
Populus balsamifera,54838,True,True
Populus tremuloides,54840,True,True
Salix alba,54841,True,True
Salix bebbiana,54843,True,True
Salix discolor,54844,True,True
Salix nigra,54847,True,True
Salix petiolaris,54848,False,True
Salix purpurea,54849,True,False
Tilia americana,54854,True,False
Trichostema lanceolatum,54875,True,True
Ficus benghalensis,54880,True,False
Epidendrum centropetalum,54883,True,True
Epidendrum aberrans,54885,True,False
Prosthechea abbreviata,54887,False,True
Epidendrum radicans,54890,True,True
Eriogonum heracleoides,54897,True,True
Chaerophyllum bulbosum,54898,True,True
Crepis atribarba,54904,True,False
Crepis pulchra,54905,True,True
Lupinus albus,54906,False,True
Cucumis prophetarum,54917,True,False
Cucumis sativus,54919,True,True
Packera glabella,54921,True,False
Senecio serra,54922,True,True
Medeola virginiana,54924,True,False
Ribes malvaceum,54942,True,False
Tauschia hartwegii,54948,True,False
Ficus microcarpa,54982,True,True
Stapelia gigantea,54990,True,True
Vaccinium dentatum,54993,False,True
Scaevola chamissoniana,54994,True,True
Sida fallax,54995,True,True
Eriogonum fasciculatum,54999,True,True
Vauquelinia californica,55008,False,True
Rhus integrifolia,55009,True,True
Arabidopsis thaliana,55021,True,True
Jasione montana,55022,True,True
Arctostaphylos glauca,55133,True,True
Arctostaphylos viscida,55135,True,True
Actinidia chinensis,55149,False,True
Aristolochia erecta,55188,True,True
Aristolochia littoralis,55189,True,True
Aristolochia californica,55190,True,False
Coleonema pulchellum,55218,True,True
Coleonema album,55226,True,True
Viola sempervirens,55342,True,True
Acacia baileyana,55345,True,True
Fragaria chiloensis,55367,True,True
Crambe maritima,55399,True,True
Trillium grandiflorum,55402,True,True
Petunia axillaris,55405,True,True
Raphanus raphanistrum,55411,True,True
Amsinckia menziesii,55436,True,True
Pholistoma auritum,55437,True,True
Lupinus luteus,55440,True,True
Onobrychis viciifolia,55441,True,True
Trifolium lupinaster,55443,True,True
Lamium amplexicaule,55459,True,True
Sanicula arctopoides,55466,True,False
Allium thunbergii,55504,True,True
Allium triquetrum,55505,True,True
Allium angulosum,55506,True,True
Castilleja densiflora,55508,True,True
Ribes aureum,55544,True,True
Bellis perennis,55563,True,True
Senecio inaequidens,55607,True,True
Solanum dulcamara,55620,True,True
Cypripedium candidum,55628,False,True
Erythronium albidum,55629,True,False
Cypripedium passerinum,55630,True,True
Trifolium nigrescens,55631,True,True
Orthoceras strictum,55664,True,True
Veronica persica,55666,True,True
Sagina procumbens,55667,True,True
Ornithopus perpusillus,55668,True,True
Linum bienne,55679,True,True
Trillium albidum,55697,True,False
Centaurea jacea,55713,True,True
Teucrium chamaedrys,55717,True,True
Pterocephalus lasiospermus,55720,True,True
Silene vulgaris,55721,True,True
Geranium pratense,55722,True,True
Symphytum officinale,55724,True,True
Cymbalaria muralis,55727,True,True
Lathyrus tuberosus,55729,True,True
Spergularia rubra,55730,True,True
Potentilla norvegica,55732,True,True
Chaerophyllum temulum,55733,True,True
Sedum acre,55734,True,True
Sanguisorba minor,55736,True,True
Viola tricolor,55739,True,True
Trifolium repens,55745,True,True
Veronica arvensis,55748,True,True
Veronica serpyllifolia,55749,True,True
Geum rivale,55750,True,True
Valerianella locusta,55752,True,True
Geranium platyanthum,55755,True,True
Geranium phaeum,55756,True,True
Chelidonium majus,55757,True,True
Silene dioica,55759,True,True
Viola arvensis,55760,True,True
Petasites albus,55763,True,False
Euphorbia cyparissias,55766,True,True
Claytonia sibirica,55767,True,True
Crocus angustifolius,55768,True,False
Crocus vernus,55769,True,True
Erica cinerea,55775,True,True
Erica vagans,55777,True,True
Petasites frigidus,55780,True,True
Adoxa moschatellina,55790,True,True
Luzula campestris,55795,True,True
Fritillaria meleagris,55797,True,True
Tulipa sylvestris,55798,True,True
Carpinus betulus,55801,True,False
Leucojum aestivum,55809,True,True
Prunus spinosa,55811,True,True
Corydalis solida,55814,True,True
Primula veris,55819,True,True
Rumex acetosa,55821,True,True
Draba verna,55823,True,True
Veronica filiformis,55825,True,True
Myosotis sylvatica,55826,True,True
Helleborus foetidus,55827,True,True
Lamium maculatum,55828,True,True
Cardamine hirsuta,55829,True,True
Glechoma hederacea,55830,True,True
Prunus cerasifera,55837,True,True
Cochlearia officinalis,55838,True,True
Primula elatior,55840,True,True
Helleborus niger,55841,True,False
Vinca minor,55844,True,True
Viola odorata,55845,True,True
Salix caprea,55846,True,True
Euonymus europaeus,55847,True,True
Narcissus pseudonarcissus,55848,True,True
Petasites hybridus,55850,True,True
Lamium purpureum,55851,True,True
Brunnera macrophylla,55852,True,True
Datura stramonium,55854,True,True
Cornus mas,55858,True,True
Cyclamen coum,55859,True,True
Crocus tommasinianus,55875,True,False
Lamium album,55876,True,True
Hedera maderensis,55881,False,True
Hedera helix,55882,True,True
Rosa canina,55884,True,True
Lonicera periclymenum,55885,True,True
Lunaria annua,55886,True,True
Geum urbanum,55891,True,True
Agrimonia eupatoria,55893,True,True
Agrimonia pilosa,55894,True,True
Agrimonia parviflora,55895,True,True
Hieracium umbellatum,55909,True,True
Rubus vestitus,55917,False,True
Papaver dubium,55918,True,True
Geranium robertianum,55925,True,True
Bryonia cretica,55935,True,True
Crocus speciosus,55938,True,True
Galeopsis bifida,55967,True,True
Viburnum opulus,55969,True,True
Tanacetum vulgare,55971,True,True
Frangula alnus,55972,True,True
Eupatorium cannabinum,55976,True,True
Malva moschata,55977,True,True
Galeopsis tetrahit,55979,True,True
Lapsana communis,55981,True,True
Clarkia pulchella,55992,True,False
Dipsacus fullonum,56002,True,True
Zantedeschia aethiopica,56006,True,True
Tamarix parviflora,56011,True,False
Tamarix chinensis,56013,True,True
Tamarix dioica,56014,True,False
Tamarix ramosissima,56015,True,True
Tamarix canariensis,56016,True,False
Tamarix aphylla,56017,True,True
Tamarix africana,56018,True,True
Agapanthus africanus,56019,True,True
Alchemilla mollis,56022,True,True
Arctotheca calendula,56024,True,True
