species,inat_taxon_id,target_cell_order,cell_id,old_metadata_records,old_unique_observers,cell_center_latitude,cell_center_longitude,min_distance_to_previous_selected_km
Gloriosa superba,141177,4,47,2,2,-26.387799961242997,50.0,4868.419301854908
Gloriosa superba,141177,5,98,3,3,12.839588406904143,-10.0,4332.031811359731
Gloriosa superba,141177,6,120,4,4,26.387799961242997,70.0,3632.871403932832
Ageratum conyzoides,143422,1,82,2,2,0.0,30.0,
Ageratum conyzoides,143422,2,37,2,1,-26.387799961242997,-150.0,17080.920908159093
Ageratum conyzoides,143422,3,105,3,3,12.839588406904143,130.0,9670.37202986898
Ageratum conyzoides,143422,4,109,5,5,26.387799961242997,-150.0,5868.387067753663
Ageratum conyzoides,143422,5,71,6,5,-12.839588406904156,170.0,4430.030886734926
Ageratum conyzoides,143422,6,103,2,2,12.839588406904143,90.0,4332.031811359731
Rubus chamaemorus,153003,1,132,4,4,41.81031489577858,-50.0,
Rubus chamaemorus,153003,2,160,3,3,62.73395554926718,150.0,8254.378718588125
Rubus chamaemorus,153003,3,154,2,2,62.73395554926718,30.0,5198.3508026172185
Rubus chamaemorus,153003,4,146,2,2,62.73395554926718,-130.0,3808.6761532824944
Rubus chamaemorus,153003,5,150,3,3,62.73395554926718,-50.0,2326.6059012422766
Rubus chamaemorus,153003,6,144,3,3,62.73395554926718,-170.0,2004.7725461811929
Hippobroma longiflora,154827,1,81,3,3,0.0,10.0,
Hippobroma longiflora,154827,2,54,2,2,-12.839588406904156,-170.0,18587.415378964677
Hippobroma longiflora,154827,3,68,7,5,-12.839588406904156,110.0,8630.56238964357
Hippobroma longiflora,154827,4,106,3,3,12.839588406904143,150.0,5253.69314446163
Hippobroma longiflora,154827,5,47,2,2,-26.387799961242997,50.0,5189.227335127623
Hippobroma longiflora,154827,6,83,3,3,0.0,50.0,2934.1935338768317
Clitoria ternatea,160759,1,96,3,3,12.839588406904143,-50.0,
Clitoria ternatea,160759,2,69,2,2,-12.839588406904156,130.0,20015.114442035923
Clitoria ternatea,160759,3,55,3,3,-12.839588406904156,-150.0,8630.56238964357
Clitoria ternatea,160759,4,65,2,2,-12.839588406904156,50.0,8630.562389643566
Clitoria ternatea,160759,5,121,3,3,26.387799961242997,90.0,6141.147960911205
Clitoria ternatea,160759,6,85,3,3,0.0,90.0,2934.1935338768317
Synedrella nodiflora,169500,1,80,5,1,0.0,-10.0,
Synedrella nodiflora,169500,2,71,2,2,-12.839588406904156,170.0,18587.415378964677
Synedrella nodiflora,169500,3,66,3,2,-12.839588406904156,70.0,8923.68456359248
Synedrella nodiflora,169500,4,105,2,2,12.839588406904143,130.0,5253.69314446163
Synedrella nodiflora,169500,5,68,9,6,-12.839588406904156,110.0,3607.742154151096
Synedrella nodiflora,169500,6,102,2,2,12.839588406904143,70.0,2855.3981261424915
Tridax procumbens,169944,1,59,2,2,-12.839588406904156,-70.0,
Tridax procumbens,169944,2,104,7,5,12.839588406904143,110.0,20015.114442035923
Tridax procumbens,169944,3,99,3,3,12.839588406904143,10.0,9268.839511047083
