tranche,species,n_classifiable,D,C_star,S_star,organization_state,maximum_pairwise_span_km,frag_100km,frag_250km,frag_500km,frag_multiscale,valid_dated_photos,eligible_local_dated_pairs,same_morph_local_dated_pairs,cross_morph_local_dated_pairs,phenology_proxy_gate,phenology_delta_days,phenology_within_species_perm_p
discovery,Cistus albidus,58,0.6010701545778834,True,False,local_cooccurrence_only,1895.5030658665646,0.6551724137931034,0.017241379310344862,0.0,0.22413793103448276,58,65,28,37,True,-23.0,0.084
discovery,Cneoridium dumosum,50,0.3064000000000001,True,False,local_cooccurrence_only,339.3501730891215,0.020000000000000018,0.0,0.0,0.006666666666666672,50,855,567,288,True,-5.5,0.489
discovery,Collinsia grandiflora,54,0.2297668038408779,True,True,cooccurrence_and_segregation,893.0736552260735,0.5185185185185186,0.0,0.0,0.17283950617283952,54,294,246,48,True,2.5,0.577
discovery,Commelina benghalensis,51,0.5159554017685506,False,True,spatial_segregation_only,19842.34193538938,0.9607843137254902,0.9019607843137255,0.803921568627451,0.888888888888889,51,2,1,1,False,,
discovery,Commelina diffusa,59,0.4757253662740591,False,False,unresolved_photo_state,19832.25950530274,0.9830508474576272,0.9661016949152542,0.9152542372881356,0.9548022598870057,59,0,0,0,False,,
discovery,Conopholis alpina,52,0.3106508875739644,True,False,local_cooccurrence_only,2412.562142871524,0.7692307692307692,0.23076923076923073,0.0,0.3333333333333333,52,58,36,22,True,24.5,0.073
discovery,Conospermum caeruleum,57,0.4038165589412126,True,False,local_cooccurrence_only,313.9608689361521,0.07017543859649122,0.0,0.0,0.023391812865497075,57,1225,720,505,True,9.0,0.082
discovery,Convolvulus elegantissimus,58,0.5826397146254458,True,False,local_cooccurrence_only,1531.1154641294374,0.7241379310344828,0.0,0.0,0.2413793103448276,58,61,25,36,True,0.5,0.998
discovery,Cornus florida,49,0.2149104539775095,False,False,unresolved_photo_state,2588.9654389464777,0.9591836734693877,0.22448979591836737,0.0,0.3945578231292517,49,3,2,1,False,,
discovery,Cryptantha barbigera,48,0.2230902777777778,True,False,local_cooccurrence_only,749.5449250920443,0.04166666666666663,0.02083333333333337,0.02083333333333337,0.02777777777777779,48,988,787,201,True,-5.0,0.519
discovery,Cylindropuntia echinocarpa,47,0.19013128112268,True,False,local_cooccurrence_only,606.3004132868276,0.08510638297872342,0.0,0.0,0.028368794326241138,47,276,229,47,True,-2.0,0.926
discovery,Cypripedium guttatum,46,0.3336483931947069,False,False,unresolved_photo_state,7374.760592924173,0.9130434782608696,0.8478260869565217,0.5,0.7536231884057972,46,17,12,5,False,,
discovery,Delphinium glaucum,44,0.2014462809917354,True,False,local_cooccurrence_only,3968.0788855625224,0.75,0.5454545454545454,0.4772727272727273,0.5909090909090909,44,89,67,22,True,-4.0,0.4868421052631579
