image_id,file_name,image_sha256,detector_predictions,retained_instances,flip_detector_predictions,flip_retained_instances,true_positive,false_positive,false_negative,mask_pixels,mask_pixels_inside_reference_box_union,image_mask_pixels_inside_reference_box_union,background_pixels,flip_background_pixels,horizontal_flip_mask_iou,horizontal_flip_colour_delta_e,source_annotation_boxes,reference_boxes,source_not_evaluable_boxes,small_reference_boxes,medium_reference_boxes,large_reference_boxes,small_hit_boxes,medium_hit_boxes,large_hit_boxes,background_features_available,estimator_admitted,failure_reasons
46,000622.jpg,7254817a2b25a1af395736f629e71060e3380cd1af73b2038006b1e9b2b8747e,1,1,1,1,1,0,0,3246,3205,0.9873690696241528,6068,6389,0.8461538461538461,3.4215188673244925,1,1,0,1,0,0,1,0,0,True,True,
47,000620.jpg,7db742e67f78c4b138e624f170e1cb23de9440a1a673bb4e697a2516e4167708,2,2,4,4,2,0,2,2779,2578,0.9276718243972653,4946,7674,0.635834109972041,4.898699852001142,4,4,0,4,0,0,2,0,0,True,True,
48,000618.jpg,67b9cc8df37a225c529a9a564e6601945cf65d6dbdadb4ee3b63d2a0820ceeb7,3,3,2,2,1,2,2,4898,1315,0.26847692935892203,8564,6664,0.6963958460598656,11.219735333313999,3,3,0,3,0,0,1,0,0,True,False,horizontal_flip_colour_instability
49,000615.jpg,8ddbe3aae5e40497ec45258c9de537c9496c1d8708e7a45db4551a638a9ce9dc,32,32,33,33,25,7,4,39041,33682,0.8627340488204708,68548,64968,0.8037564920435412,1.4378144486278213,29,29,0,29,0,0,25,0,0,True,True,
50,000614.jpg,bd9e16ab1a499914097458a657de96aeb37e7fa405edb30ec6eb41d9554167ce,64,64,57,57,49,15,12,100616,87743,0.8720581219686729,167370,154845,0.827403590172663,2.695856748873765,61,61,0,61,0,0,49,0,0,True,True,
51,000613.jpg,15ccb36b1160121752269b5af2d766da30191fc3e0c8923fd3a558c98d959509,20,20,16,16,13,7,0,28416,23924,0.841920045045045,41558,54007,0.7683104236558501,1.402231502159057,13,13,0,13,0,0,13,0,0,True,True,
52,000611.jpg,fd391c9cab2da3ad5169d3a1774c6e87b6f24702981ba37d0568885b63052cf9,12,12,17,17,10,2,2,33600,30003,0.8929464285714286,53839,85174,0.5816233052400147,9.200008768128253,12,12,0,11,1,0,9,1,0,True,False,horizontal_flip_colour_instability
53,000608.jpg,0641c84f05e7db17b4313938b6d20f594e457c61b6dbaf93a57a0dfab11f7eeb,11,11,10,10,9,2,0,11784,7322,0.6213509843856077,18810,13298,0.6213946117274168,6.140887721316404,9,9,0,9,0,0,9,0,0,True,False,horizontal_flip_colour_instability
54,000607.jpg,233d376d40dfe90b3bd8e1e48c54165ace8b3be620af550ac7fee99f87c942d8,13,13,12,12,9,4,4,6177,4262,0.6899789541848794,9606,9331,0.6320031712473573,0.24937495619210365,13,13,0,13,0,0,9,0,0,True,True,
55,000605.jpg,036e30be692a7b6ad5ca235bbc6da919b31d0f9dfef2426c5f24cb3c8d1634dc,15,15,13,13,11,4,3,30437,26063,0.8562933272004468,49091,46976,0.8435699097044593,1.3614406742105336,14,14,0,14,0,0,11,0,0,True,True,
56,000604.jpg,96fd7e1af86ff1129886bc98221cc396a275561e0cae3f3d6cc80b857b82fe29,29,29,33,33,25,4,6,90403,81009,0.8960875192194949,154793,187288,0.8104888199846811,4.068213714282966,31,31,0,28,3,0,22,3,0,True,True,
57,000601.jpg,598ffac51a2e7a7018ea1de184d2ee37747986c3d0b9ce90cce1db7dd2124099,7,7,9,9,7,0,2,7840,7679,0.9794642857142857,15501,15850,0.9083763491318629,1.360593815432292,9,9,0,8,1,0,6,1,0,True,True,
58,000600.jpg,ff40c639a0fbb6694a55e31c5332b5ce8b0bc577adcf145dcf7a4a2127c48bb6,13,13,16,16,11,2,1,9628,8613,0.8945783132530121,17117,18292,0.8470970738504412,0.8566010362702965,12,12,0,12,0,0,11,0,0,True,True,
59,000599.jpg,ae2b7c66e2bb3f757cfe1fcbc8735a9129c95e70e250de8a1c5a44f18aec3d46,6,6,8,8,3,3,2,6018,5440,0.903954802259887,12380,28710,0.49890498652291104,2.6544927435658257,5,5,0,4,1,0,3,0,0,True,False,horizontal_flip_mask_instability
60,000596.jpg,7494ed3e831a2b72154035e3d903140be184ebee47d9ce9fb0d37dd75d593a08,25,25,25,25,23,2,2,68361,67381,0.9856643407790991,118611,118038,0.9491201551493027,0.3181053268512924,25,25,0,23,2,0,21,2,0,True,True,
61,000594.jpg,a625389adb8112d40131a42e721b6e0a3239234b8f1f3a92692ffeeb8d00f716,35,35,36,36,26,9,3,68848,65567,0.9523442946781315,120700,117510,0.8861933347133099,0.30054436583098015,29,29,0,29,0,0,26,0,0,True,True,
62,000593.jpg,c4e61201cb785d0283a9b2caeb9fa7c0631434f1da113e49200d9cf19e30e6f3,9,9,10,10,8,1,4,10377,9192,0.8858051459959526,17159,18523,0.7884038082168282,0.9742795341947539,12,12,0,12,0,0,8,0,0,True,True,
63,000592.jpg,9b79c07c34949d653ef05617ce50fc41ca12a71f7bef760d55d7c9670b58afd3,9,9,9,9,5,4,0,5255,4045,0.7697431018078021,7886,8807,0.7466496490108487,2.772247453840416,5,5,0,5,0,0,5,0,0,True,True,
64,000591.jpg,ffa039f10587c6ba825ab5742cdc8114fb5c684ef2cc2b403fe3ce465d8cf0af,10,10,13,13,8,2,22,44494,41285,0.9278779161235222,81563,77342,0.8633289360721988,1.4627554054059089,30,30,0,28,2,0,6,2,0,True,True,
65,000589.jpg,659f5a86f116d1d0d88a96297320c951f491f343454f46412aff874851546d68,20,20,19,19,16,4,15,64994,60992,0.9384250853924978,123175,117649,0.8322633343842252,1.3097459395023998,31,31,0,30,1,0,15,1,0,True,True,
66,000587.jpg,e4fedc666e211ff6016b0902a9aeff190d681d8e99f4d29b9eb3394e1d24b975,3,3,2,2,2,1,1,8918,8798,0.9865440681767212,20660,19639,0.858222027589227,0.6641800590091915,3,3,0,3,0,0,2,0,0,True,True,
67,000586.jpg,18c3ecc75f6fb1262b136686cf2e1bf6f38da6aeec2a00fd39de12b13e849962,22,22,24,24,20,2,2,73169,67834,0.9270866077163826,134007,142364,0.924338836041664,0.10351968167710145,22,22,0,20,2,0,18,2,0,True,True,
68,000584.jpg,09082671171b8059d7b3ce560d297bd9b484343c73b60a58aba2ac1198d634da,61,61,58,58,46,15,7,180735,172713,0.9556145738235539,318127,337957,0.9295913472941846,0.6407606336454241,53,53,0,51,2,0,44,2,0,True,True,
69,000583.jpg,fe88844d41c5356df70bb2dfd0a74ed76e55dce45d30c00b09a42f97e695750e,52,52,46,46,40,12,5,112338,102150,0.9093094055439833,206401,201612,0.8606090240776961,1.895925580894412,45,45,0,45,0,0,40,0,0,True,True,
70,000582.jpg,782ab81b8466323b4d1b401aaa69198a62d9a095c209a4ef789edc5031dfebec,23,23,23,23,21,2,9,38427,36914,0.9606266427251672,66954,75303,0.740440893749733,0.16204193585513302,30,30,0,30,0,0,21,0,0,True,True,
71,000581.jpg,49e2de6c6ae826755bde4253bf456f43105054fae1bb014d2e6889a8247d6baf,5,5,4,4,5,0,4,4195,4157,0.9909415971394517,7008,6722,0.770824247710423,0.29834798548074715,9,9,0,9,0,0,5,0,0,True,True,
72,000579.jpg,b669a01e86f6581552c596068dd17406703e2a0a1dbc3520ee82fcaea8f9a4fb,6,6,5,5,3,3,0,3947,1982,0.5021535343298708,6759,5260,0.7103579047167575,4.911012292078908,3,3,0,3,0,0,3,0,0,True,True,
73,000577.jpg,9fe82b8bb4fbe36d06d83f65db753a086eeb6fb6d2af95e96b16c4dd9e912a20,4,4,4,4,3,1,0,1944,1463,0.7525720164609053,3043,3046,0.9204030226700252,0.6604939230802678,3,3,0,3,0,0,3,0,0,True,True,
74,000574.jpg,ff354bbf06ec891502f90cd3d5b370216c213670771011942ccec7c71881cc69,3,3,3,3,2,1,2,2062,1404,0.6808923375363725,3381,3311,0.9234972677595629,0.31039795474000986,4,4,0,4,0,0,2,0,0,True,True,
75,000573.jpg,5ec4ae2da4e1ed96a5ddd3b1c8aa86ac2b50234081a7423cb25b63e2462f4961,4,4,5,5,4,0,4,10120,9661,0.9546442687747035,18161,23219,0.7527031201729997,2.133933413341232,8,8,0,8,0,0,4,0,0,True,True,
76,000572.jpg,c49fcb755f3414ce7d735a288714a6a19ad9120a19028a880e029003034a1edb,2,2,1,1,1,1,0,916,448,0.4890829694323144,1236,838,0.5303030303030303,15.382100203628424,1,1,0,1,0,0,1,0,0,True,False,horizontal_flip_colour_instability
77,000571.jpg,b325805b9ddef47d48dbf7596a5d4efe14c0d8708874ea1b5187aa08800c2f2f,2,2,2,2,1,1,0,877,663,0.7559863169897377,1581,1496,0.9687848383500557,0.6910114024808389,1,1,0,1,0,0,1,0,0,True,True,
78,000567.jpg,1040eeeeda2f3165503ce9302ae1c1cebbc86e5a23a2088e5fdfb8eea7ae216d,17,17,15,15,15,2,6,13580,12597,0.9276141384388807,20464,18542,0.8963493199713672,1.4018853183285165,21,21,0,21,0,0,15,0,0,True,True,
79,000565.jpg,5e0b0e944bfac70b2dfcc30a03b8e9512d17acc879b6f66068124589b4201f7c,28,28,29,29,24,4,3,36152,34877,0.9647322416463819,55883,65131,0.8183444878230154,3.8922031278364058,27,27,0,27,0,0,24,0,0,True,True,
80,000563.jpg,39b270064f703858bb7b454eeb9049b92bf794515fd4b77296ae781684c1da0b,5,5,6,6,4,1,2,15143,14232,0.939840190186885,26022,57185,0.5476327391221009,3.24335895584595,6,6,0,6,0,0,4,0,0,True,True,
81,000561.jpg,598ae0988799f8a51443c2f87345a6611ccdb1c3ab2d78896a19120e0dcb535b,3,3,2,2,1,2,2,8003,4560,0.5697863301262027,12853,8502,0.6083178150217257,8.96562936650106,3,3,0,3,0,0,1,0,0,True,False,horizontal_flip_colour_instability
82,000560.jpg,67ffa0d47c6fdc0c1d99736c65076f0a9e935b66cddedac1e2c44fe41c6e8d60,21,21,22,22,18,3,3,53654,46752,0.8713609423342156,96771,90558,0.7497460830183653,2.951889908194038,21,21,0,20,1,0,17,1,0,True,True,
83,000559.jpg,0479859eb53d7a42781c28bcb85149a4db03c0a0d60835413a34809a10035390,8,8,9,9,7,1,3,26537,24534,0.9245204808380751,49885,49522,0.9620421262311409,0.21788218053999556,10,10,0,9,1,0,6,1,0,True,True,
84,000556.jpg,a94d6dc11da31eef48f6a0a6ac51639ee09cdf3ce7e06520efca19c536bc9f75,3,3,3,3,2,1,0,2816,2445,0.8682528409090909,4476,4257,0.9404596100278552,0.3808477250463068,2,2,0,2,0,0,2,0,0,True,True,
85,000555.jpg,328d600315f9ad8a9004c91698320b9ea2d54a69dc723ba49b3798b0d79cb858,4,4,4,4,3,1,0,1375,895,0.6509090909090909,1976,1976,0.9408866995073891,0.376074415383851,3,3,0,3,0,0,3,0,0,True,True,
86,000552.jpg,05244bb57f8a2ee50a65d7de5049536bcbd8b4558141e366c0387da037764b52,11,11,12,12,10,1,1,8035,7126,0.8868699439950217,13534,13556,0.8795097926927041,1.549994837193668,11,11,0,11,0,0,10,0,0,True,True,
87,000551.jpg,31250916ef0f2666b2cda6bae41c59218a74cc25f3dd8dab57ea94ce35323663,9,9,9,9,6,3,3,5111,2933,0.573860301310898,8433,8342,0.8930320150659133,0.4199398294212283,9,9,0,9,0,0,6,0,0,True,True,
88,000548.jpg,829ade032898a506e9ed323199810a93eddbdabbafdc17cd01765efffd36c9d7,3,3,2,2,1,2,1,6599,5037,0.7632974693135324,12719,9210,0.6886289606159313,11.5510681310105,2,2,0,2,0,0,1,0,0,True,False,horizontal_flip_colour_instability
89,000547.jpg,c81b3aea861159938eeafd97c1adb4d285831c403952f293e7fb2610a5b3339c,27,27,28,28,23,4,3,54036,48442,0.8964764231253238,94082,93471,0.9330503638179484,0.35172341188070344,26,26,0,25,1,0,22,1,0,True,True,
90,000544.jpg,861ab5835ca14bbda67be84e89fa54d440319ad127c218a732c1ee37d201d011,3,3,3,3,2,1,2,2580,1735,0.6724806201550387,4259,4400,0.9300751879699248,0.5129587619037344,4,4,0,4,0,0,2,0,0,True,True,
91,000543.jpg,2ad0c51c529d398927d4719527cef6ef23c23f5693482d855849ccb3305fa66f,7,7,9,9,7,0,7,4614,4391,0.9516688339835284,6916,8082,0.45302684180468306,7.67661468260747,14,14,0,14,0,0,7,0,0,True,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability
92,000540.jpg,68881184e48f3d9e5405e2bb019e7c26954ce99cc93d02d7cc82aec428b3de2c,2,2,1,1,1,1,0,136458,4542,0.03328496680297234,169129,10800,0.031805535217454974,35.794637017563936,1,1,0,1,0,0,1,0,0,True,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability
