image_id,file_name,image_sha256,detector_predictions,retained_instances,flip_detector_predictions,flip_retained_instances,true_positive,false_positive,false_negative,mask_pixels,mask_pixels_inside_reference_box_union,image_mask_pixels_inside_reference_box_union,background_pixels,flip_background_pixels,horizontal_flip_mask_iou,horizontal_flip_colour_delta_e,source_annotation_boxes,reference_boxes,source_not_evaluable_boxes,small_reference_boxes,medium_reference_boxes,large_reference_boxes,small_hit_boxes,medium_hit_boxes,large_hit_boxes,background_features_available,estimator_admitted,failure_reasons
112,000506.jpg,45268074e98c395c2351ad1d46ca62ad9b367af341c16aa153fc8b76048928a3,5,5,7,7,5,0,10,10005,9802,0.9797101449275363,17083,22576,0.7225468619564392,3.1357908633450493,15,15,0,15,0,0,5,0,0,True,True,
113,000503.jpg,926e04f8e608af4c25e96b77af0179625d97af45cff058b91d50477fbc1791a0,6,6,3,3,4,2,0,31766,28730,0.904426115973053,74361,72342,0.8302568218298555,6.292406346938431,4,4,0,2,2,0,2,2,0,True,False,horizontal_flip_colour_instability
114,000500.jpg,bd057494069e03d119c8f77869aa18597a596d33e415c252aa9bd0a90f7fcd63,26,26,24,24,20,6,5,115256,109520,0.9502325258554869,192658,192007,0.916038075464432,0.5362581864544658,25,25,0,22,3,0,17,3,0,True,True,
115,000499.jpg,0be8e34511c43b673e0754a20e2c07f3afdd4512ead82f0fe7d17540f08c8f06,12,12,11,11,8,4,2,37903,32723,0.863335356040419,66270,62848,0.8749381204241682,2.4919139979909404,10,10,0,10,0,0,8,0,0,True,True,
116,000498.jpg,baffad46b90a754ba554a0d39407a6f6c1557b5883fe4c4e97e67373490f7316,10,10,13,13,5,5,2,19879,14460,0.7274007746868555,38534,52144,0.655214424951267,4.70384700635813,7,7,0,7,0,0,5,0,0,True,True,
117,000430.jpg,05f53bd1a2f0d1c062a3afc2d88863a116ab215a62b924f6c2efe651168bfd25,2,2,3,3,2,0,1,1599,1599,1.0,2870,3188,0.7948717948717948,4.450611663125796,3,3,0,3,0,0,2,0,0,True,True,
118,000429.jpg,8c63a73f486adfe1a00e4b4312e583cde6d2c611a811f8e2fed4b72f58157e4c,13,13,13,13,13,0,0,65931,65377,0.9915972759399979,117741,118325,0.9796990324966417,0.428859685724003,13,13,0,10,3,0,10,3,0,True,True,
119,000426.jpg,9081779a75230389e25aedb7c8871bf801a318da154dd85fc71c165618bd4e28,3,3,4,4,3,0,1,1529,1486,0.9718770438194899,2500,12252,0.1779930979559331,42.92971078895919,4,4,0,3,1,0,3,0,0,True,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability
120,000425.jpg,e5f54c402fd028a94807cb4d2a1cabed073e62be6cc4de3976a382efcf80dda3,10,10,13,13,8,2,0,8692,7865,0.904855039116429,15349,15423,0.9657781793539643,0.0800541293375704,8,8,0,8,0,0,8,0,0,True,True,
121,000423.jpg,25833327dc311311ad62befadb5d7b005258bc8b28237e40758a5f5652957806,2,2,3,3,2,0,1,2353,2331,0.9906502337441564,4757,4775,0.8838979824895318,3.2573448631856907,3,3,0,3,0,0,2,0,0,True,True,
122,000422.jpg,7aa0f9e32d28d093f8b7e4d7ee8e629d273a8d65cec1300af682d2e699317dc3,7,7,6,6,6,1,0,5521,5288,0.9577975004528165,10032,10325,0.9250791417516707,0.3965582234809413,6,6,0,6,0,0,6,0,0,True,True,
123,000421.jpg,bcde3ce758400392ee920ef29d48bbb0c3be058a3ea67821543309f4ece06f8c,39,39,42,42,36,3,1,59434,57111,0.9609146279907124,100629,92067,0.8359714290259461,4.914391459500216,37,37,0,37,0,0,36,0,0,True,True,
124,000420.jpg,52eea74d05ae253cf7f010033a64db8579c8ea580bc1791b8126b53dd14bb3e4,18,18,19,19,17,1,0,33937,32877,0.9687656540059522,56604,55816,0.934248760754373,0.2650244946057531,17,17,0,17,0,0,17,0,0,True,True,
125,000419.jpg,19222585b9ed2c9e527d67b17f41f9cec0b2effecc538287fb42c00144eee4b6,75,75,75,75,64,11,3,70915,65638,0.9255869703165762,117667,121041,0.9149119213437116,0.4419151715224949,67,67,0,66,1,0,63,1,0,True,True,
126,000417.jpg,649f69ef8b19858032e33584de7923fe6f6449715ab5d07e8591831f2169591c,12,12,11,11,8,4,1,32396,25136,0.7758982590443264,56629,49363,0.8007574163686093,5.648085459786807,9,9,0,8,1,0,7,1,0,True,False,horizontal_flip_colour_instability
127,000416.jpg,5e59ec5ed6c311078ec30509450dbfcdb8e34a3847a1e9372dea6b3d0f34ef32,7,7,7,7,3,4,1,13924,10593,0.7607727664464234,42443,49752,0.7838378935873324,4.165271260522251,4,4,0,3,1,0,2,1,0,True,True,
128,000413.jpg,7bf4a1aa1e5e9be9e5e8c7a707db998f1682bd843ba21a84330e069b0ad94524,19,19,19,19,15,4,5,14291,13622,0.9531873206913442,24803,30305,0.7653433787308027,3.0572628857463138,20,20,0,19,1,0,15,0,0,True,True,
129,000412.jpg,6cef0ca9fbcf70b608d7049d9cecfb2bdd2d4678748e3e08c8b780c3210ce150,17,17,17,17,16,1,4,12079,11397,0.9435383723818197,23216,24974,0.8449374039095102,2.3838061355574225,20,20,0,20,0,0,16,0,0,True,True,
130,000410.jpg,008ee7a4cc7bbfb2f7635c444ed2b9e22f5675adacf749acccd78dbffcc0f60a,29,29,32,32,23,6,14,10663,8532,0.8001500515802307,18383,19552,0.8269006820828481,0.6352651732995039,37,37,0,37,0,0,23,0,0,True,True,
131,000409.jpg,b93df78bb12116807ae4411c7503c6465bd5f9140255e53dba179f3a87dfaf2f,30,30,29,29,25,5,1,10209,7318,0.7168184934861397,16416,13698,0.7443629952676998,4.1332226892611255,26,26,0,26,0,0,25,0,0,True,True,
132,000408.jpg,9da732e4d9348c1c6c9724b924147d56cc2e790a9ceb3af64f5604f47275b033,42,42,38,38,28,14,9,14107,8797,0.6235911249734174,22717,18850,0.59404659188956,2.484149541899073,37,37,0,37,0,0,28,0,0,True,True,
133,000405.jpg,2a0c210e93425d597b196d5a67afd114adb22663c38c9c749d75dc648c72415a,19,19,20,20,19,0,2,21991,21374,0.9719430676185712,39081,41660,0.894425321131727,1.0928053021517263,21,21,0,20,1,0,18,1,0,True,True,
134,000404.jpg,337873e41f2b0ba8aad1f9c5f78c4eaf291f5b98251e523de924fe5aa29971a3,18,18,18,18,14,4,4,33703,30861,0.9156751624484467,64181,62858,0.9506555147165224,0.028919740799559966,18,18,0,15,3,0,11,3,0,True,True,
135,000402.jpg,1260b5e5c63b7857018711fc52eabd96bb271e7cab49ff0baf7478df61592770,8,8,8,8,4,4,7,2329,2018,0.8664662945470158,4317,3940,0.7654123298638911,5.246358457314072,11,11,0,11,0,0,4,0,0,True,False,horizontal_flip_colour_instability
136,000400.jpg,6e0ea329a4408cc20df89ba13f4307ca34ca33f0014ddd7d027d79fb120269ba,1,1,1,1,1,0,0,395,378,0.9569620253164557,744,666,0.9133663366336634,0.5712364828037044,1,1,0,1,0,0,1,0,0,True,True,
137,000397.jpg,dd0ef181b3c5022902cc07ba27e26ddd0cb1d99724f5d9e32e0a557abf97d63c,2,2,2,2,2,0,5,2023,2001,0.9891250617894216,3688,3719,0.962135922330097,0.0707881484244609,7,7,0,3,4,0,2,0,0,True,True,
138,000396.jpg,f81c6d3568e25fd72df981a189b3f6937c45dc7ea09618e1edf91d6434a90b45,0,0,0,0,0,0,4,0,0,0.0,0,0,0.0,,4,4,0,2,2,0,0,0,0,False,False,no_retained_flower_instance;insufficient_flower_pixels;insufficient_background_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability
139,000395.jpg,4f68f05bd8b20b00273a05cfef286f9a31d4d5fedbc67e3224094e8613383349,12,12,11,11,12,0,3,11318,11027,0.9742887435942746,20494,18218,0.6898485698261357,2.5995892543577668,15,15,0,14,1,0,11,1,0,True,True,
140,000394.jpg,b2efd4fdd43d3aeec02da910c8d39765159d352483ed442245866766c103251d,12,12,13,13,11,1,2,13442,12835,0.9548430293111144,24364,25316,0.9010402219140083,0.5270019794107434,13,13,0,12,1,0,10,1,0,True,True,
141,000391.jpg,a7635e247a293a12e52b615dc0664b1beeadcac57cae9d40d0ee8681e677d20c,26,26,28,28,17,9,6,60166,52120,0.8662699863710401,114008,105147,0.8855278482426331,1.6920770426222922,23,23,0,18,5,0,12,5,0,True,True,
142,000390.jpg,5b56470573bd4faf6006b235f340ff40403d2a7d1e1236fa5f9b7d485e17c913,18,18,14,14,15,3,6,12768,12063,0.9447838345864662,23262,22175,0.8066573795732825,0.18093539558336172,21,21,0,20,1,0,14,1,0,True,True,
143,000386.jpg,4d6866ca40f225a97f7542c69d1e2a5d193e467de106728ba16f7fd1431b57dd,7,7,11,11,2,5,3,4231,2155,0.5093358544079414,8151,12494,0.4333496691987258,6.63217003933194,5,5,0,5,0,0,2,0,0,True,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability
144,000384.jpg,553318c890402b750bb5508c00663720bf5211dcd40c11404f32809fb1f6b7cd,9,9,15,15,7,2,5,3829,3165,0.8265865761295378,5874,18380,0.38047520661157025,18.139782337008786,12,12,0,12,0,0,7,0,0,True,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability
145,000383.jpg,833f09f161d8cd308c086ac0e4ac0b959d33562002ad9ae30ec7d8d5dd1f2431,10,10,9,9,8,2,1,7157,5140,0.7181780075450608,10702,8921,0.6805483028720627,9.315944142624298,9,9,0,9,0,0,8,0,0,True,False,horizontal_flip_colour_instability
146,000382.jpg,0f77045e1779d76fbb2322c161a845ee022399c94544cfc13edffb10c5a8db20,1,1,1,1,1,0,0,719,681,0.9471488178025035,1082,1035,0.9728260869565217,0.5341009466246027,1,1,0,1,0,0,1,0,0,True,True,
147,000381.jpg,72fe9e274e6688995d52fed0f44863c56844986dece4ca898e4fa84aed5d9699,20,20,18,18,16,4,2,49708,46725,0.9399895389072181,86167,80547,0.8695890518237172,4.462782397296533,18,18,0,18,0,0,16,0,0,True,True,
148,000378.jpg,08547276485d54cd897ff0ebb9af29b97df6f243b3d6edc8cfe57ceb7c282700,53,53,50,50,44,9,4,118326,106138,0.8969964335817995,204573,204821,0.8698336803274146,0.4299450160684169,48,48,0,47,1,0,43,1,0,True,True,
149,000376.jpg,1070fb012325fc1e88bd6b0b267c7e0db326ea64dc4e4bfbb47b359528bd19cc,2,2,4,4,2,0,3,1795,1789,0.9966573816155989,2879,4157,0.6311745334796927,6.591145451670901,5,5,0,5,0,0,2,0,0,True,False,horizontal_flip_colour_instability
150,000375.jpg,8dcd4fdd8a9028651d440e69b1ddc132ca99736d7bf3c84b14678253a57b7cd2,15,15,14,14,14,1,21,9134,8380,0.9174512809283993,15502,13821,0.7185698935234932,0.9387948182648722,35,35,0,35,0,0,14,0,0,True,True,
151,000373.jpg,a77af25b3f71b5795bba7333b7ecb07f23b5fd14034eee09a0979b94f0784ba2,47,47,49,49,32,15,2,136384,121306,0.8894445096198967,245249,242207,0.9252930030177556,0.3298536670060395,34,34,0,32,2,0,30,2,0,True,True,
152,000372.jpg,6cd7979bc01512507feeb472860c510b8095343adb54838404851b5101433d31,22,22,22,22,17,5,1,86692,80649,0.9302934526830619,157419,161199,0.8211784095591265,1.61267967613616,18,18,0,16,2,0,15,2,0,True,True,
153,000369.jpg,c813a525819e1e2ccfc9c584dba1150f279bfd2c15f27ea7b6f8efd5f6ee2a12,37,37,38,38,35,2,2,73394,70903,0.9660598959042973,118579,117645,0.9324566017885324,0.21919741245451102,37,37,0,37,0,0,35,0,0,True,True,
154,000368.jpg,a0e6dc993d773892f36aad14013a32505c513676b2252a7d1c421fdc3484f6f6,36,36,38,38,31,5,1,54208,49982,0.9220410271546635,93475,96852,0.916676862841062,1.323499388993244,32,32,0,32,0,0,31,0,0,True,True,
155,000365.jpg,6f14908f1f57f3833e7349b8c04d7b4e4a29df3fc7087c20c5d0bae38e54d80c,2,2,1,1,1,1,0,2376,2055,0.86489898989899,4337,3713,0.8543240973971452,7.923275553985179,1,1,0,1,0,0,1,0,0,True,False,horizontal_flip_colour_instability
156,000364.jpg,00d36c828ccb69b06d50d377b5fbaf55887de2ecf880c0750199eb29a2cce98a,42,42,44,44,32,10,4,286423,265615,0.9273522028608038,507747,535071,0.9438969810125303,0.2837900322453771,36,36,0,26,10,0,23,9,0,True,True,
157,000361.jpg,99beda2da8e517b94cf341d6bc9081caecbeed5d1867b217a6c4f1b747f96749,113,113,104,104,92,21,10,394490,367894,0.9325813075109636,750903,715613,0.9136780660813024,0.5309095706341908,102,102,0,93,9,0,83,9,0,True,True,
158,000358.jpg,4ba552c27b8070d62af75a9940d572569e987996abb1b0d2a68aeeb148caddee,52,52,40,40,32,20,10,26816,18715,0.6979042362768496,43477,36171,0.6358935511494631,2.9693556804957613,42,42,0,42,0,0,32,0,0,True,True,
159,000357.jpg,f6da94f8e2262409e36102d162d5ed3db502c88b5e87bef60a6d27c57fc4a4f0,65,65,60,60,38,27,11,34615,28217,0.8151668351870577,58564,86701,0.6129797191887676,2.2055994627125273,49,49,0,47,2,0,38,0,0,True,True,
160,000356.jpg,b0aafa60b59514f3faaf76a48185887b12c48250d1fd4aff4832fc898710a91c,16,16,18,18,13,3,3,103555,90425,0.8732074742890251,156344,141982,0.8416005291005291,2.4053428712209186,16,16,0,13,3,0,10,3,0,True,True,
161,000353.jpg,a75bb3923fe8d4070203284e2675f041745c5d8882011f3f49f524a841fb220d,32,32,33,33,25,7,5,209570,189581,0.9046189817244835,420607,423535,0.9421818333402809,0.28316344002364696,30,30,0,21,9,0,19,6,0,True,True,
162,000352.jpg,af9430b938cef6877769fd31b438b0bf8cd6008b3cd5efaa14870b4ef9583136,4,4,5,5,3,1,0,50036,49918,0.9976416979774563,107278,108507,0.9562336261365387,0.8255240838625887,3,3,0,1,2,0,1,2,0,True,True,
163,000351.jpg,317e46b4ef9dcdd035877beba2a7baa3af15bd38264d26ebb5d2b2ce437b7b36,23,23,23,23,17,6,6,90030,75422,0.8377429745640342,162318,162792,0.89304477960453,0.7550927099475998,23,23,0,20,3,0,14,3,0,True,True,
164,000349.jpg,7e698c49920c383839e74a96a135d2a294850d4888c2102c9cfd35fb5c28e917,56,56,60,60,43,13,3,104991,93725,0.8926955643817089,204633,204802,0.8960067817784322,0.5710147581454434,46,46,0,46,0,0,43,0,0,True,True,
165,000346.jpg,297448fa74293802d37e908c4c2993a3b9c5cac0a181af2881746da971811b16,17,17,19,19,16,1,0,62517,61450,0.9829326423212886,125104,145000,0.867317477559888,3.3185374419961446,16,16,0,9,7,0,9,7,0,True,True,
166,000344.jpg,643011d0474827b66eaf4432377135feb3e8e10e578897d3cb85c093127058ce,26,26,27,27,19,7,3,85281,79265,0.9294567371395739,176511,184376,0.873367574667108,0.6427795120258585,22,22,0,12,10,0,12,7,0,True,True,
167,000343.jpg,cfae911490bb211fc8613e433a397aa756c63bd02be33d49477079a272995554,6,6,7,7,6,0,2,116866,115499,0.9883028425718344,260175,261832,0.9619867416968624,0.22645056750033493,8,8,0,4,3,1,2,3,1,True,True,
168,000341.jpg,1d5bcc1505ee7e46e6fa43d48ef8ee2bb9df7bdfeff33cce9008915c9f388d80,5,5,5,5,4,1,1,18798,16380,0.8713692946058091,46608,34682,0.8763069845253032,1.7069636825782535,5,5,0,4,1,0,3,1,0,True,True,
169,000337.jpg,84255338d5d331fd8f3b6905c0a808a4ac69223ecb552d506f5b52d89c93ccd9,19,19,20,20,18,1,1,69465,67460,0.9711365435830994,125899,128717,0.9375625764823673,0.16714483174419886,19,19,0,13,6,0,12,6,0,True,True,
170,000336.jpg,cb50b2d8293efed74f9bbf09953da3e961e3705dacc83f433ca44ceccaa8107f,8,8,7,7,5,3,1,15566,14951,0.9604908133110626,30329,27937,0.8693232131562302,2.352001591525563,6,6,0,5,1,0,4,1,0,True,True,
171,000333.jpg,bbd79e286c51634437adeef16ccb0177632066b80c4d6dec17b779f45e35da20,71,71,65,65,50,21,1,32140,26672,0.829869321717486,49067,47925,0.880412187444319,0.042000799265486714,51,51,0,51,0,0,50,0,0,True,True,
172,000332.jpg,681505be3c4be370117fc2552eb9f275206e5f44eb46a0e228ac164b7e2339a2,95,95,95,95,79,16,4,54845,50017,0.9119700975476343,85316,85230,0.9057600663029215,0.1535098279412808,83,83,0,83,0,0,79,0,0,True,True,
173,000331.jpg,bfd5cbf55340fd515844e3e9091aa6fd894838e4634c11ec5cdd135145e97895,60,60,64,64,57,3,3,123368,118795,0.9629320407236884,201802,203843,0.9263124383672265,0.2038750709323125,60,60,0,60,0,0,57,0,0,True,True,
174,000330.jpg,ab63aa0337d45a09a7f831af8f921d4103b24dd0b2d03a7328f43bc3526d4702,68,68,68,68,56,12,5,106635,103407,0.9697285131523421,172275,171170,0.9407611078631979,0.06850629294385858,61,61,0,60,1,0,55,1,0,True,True,
175,000326.jpg,03de7d9a6d15fcb09c9d677c29baca2b370f5aa453a19c78edba0268309b6b5b,13,13,13,13,12,1,0,14675,12854,0.8759114139693356,24371,26090,0.8238175880004839,1.6088738104057099,12,12,0,12,0,0,12,0,0,True,True,
176,000325.jpg,45a18c96b5a4aa1584b691665d927c0f8523365108acab59a06d0a8211274298,30,30,32,32,25,5,0,44499,40515,0.9104698981999596,75175,74163,0.9369058857105222,0.40568524979415815,25,25,0,25,0,0,25,0,0,True,True,
177,000323.jpg,9c2a1d32dcdda7569aa0913941577b221f80972f62d8615b166cb03da01a3467,11,11,14,14,9,2,1,30549,23344,0.7641493993256735,62243,83647,0.7157496375297963,2.1293966228338967,10,10,0,10,0,0,9,0,0,True,True,
178,000322.jpg,b684544e27b00af400d99e8c26b0b72b78c8e5659c27381151e90848e0490649,14,14,17,17,9,5,2,57547,50918,0.8848072010704294,97022,95625,0.9487923034934498,0.11265979248074721,11,11,0,7,4,0,5,4,0,True,True,
179,000320.jpg,dfa6169a362330ac523bf17fd4e639220487bd4f657b872d7990bd265cd05728,8,8,9,9,8,0,1,17898,17403,0.9723432785786121,29268,30344,0.9220132450331125,0.7243591407554305,9,9,0,9,0,0,8,0,0,True,True,
180,000319.jpg,3dc34a1fed21b2f376de3830970619df96af1ae6664469394196029064775288,6,6,5,5,4,2,1,9560,8993,0.9406903765690376,19520,13084,0.8120417226066302,2.363594968738293,5,5,0,5,0,0,4,0,0,True,True,
181,000318.jpg,60323cf4c2d831cf017ae79f60ddd8c754e91d39b855ce170bb0aaee68a26a7f,2,2,2,2,2,0,0,1155,1134,0.9818181818181818,1553,1483,0.9234567901234568,1.812089239661589,2,2,0,2,0,0,2,0,0,True,True,
182,000317.jpg,c774b3f721bcf3bc136ed0d8759ad625304082bb24051be4e1dade48330a57e8,2,2,2,2,2,0,0,5305,5305,1.0,6815,6903,0.899947155187599,2.231169705002776,2,2,0,2,0,0,2,0,0,True,True,
183,000315.jpg,4d3e3943bc59bf4dd872c5b7cd9157f3c05b68b444fdf726e01db94b73bf2d7c,4,4,4,4,4,0,0,8490,8297,0.9772673733804476,10834,10959,0.9693058946634112,0.16901654858782608,4,4,0,4,0,0,4,0,0,True,True,
184,000314.jpg,d32eb262332c8bfbe6353c56729a60f75f3efc6c9566ece872067351b5bf88aa,31,31,31,31,27,4,0,54907,53353,0.9716975977562059,73231,73055,0.958156986876267,0.1174683430487093,27,27,0,25,2,0,25,2,0,True,True,
185,000312.jpg,9563d82e42f75aa5b9a7a99ac38b4074e984771499f4c41952be0ba877bb6ca9,49,49,51,51,40,9,1,22858,18843,0.8243503368623677,35230,37176,0.8178497882426079,0.6281570992229898,41,41,0,41,0,0,40,0,0,True,True,
186,000310.jpg,5fc96dae1ae3c570ebf45d14fd02df5dffb6518885927bd0c3cd160c8d854556,44,44,51,51,39,5,1,155697,150522,0.9667623653634945,252954,265310,0.8960518235071806,3.114816591896902,40,40,0,34,6,0,33,6,0,True,True,
187,000308.jpg,52b785024b77313c7f35f5e83e50536579dca0a29568b0cc12efe12f03eafc7f,20,20,19,19,17,3,3,92607,87666,0.946645501959895,125699,130564,0.8850989055126016,0.3288229197299159,20,20,0,18,2,0,15,2,0,True,True,
188,000305.jpg,6bf6acb3b8a84ad3f64c2245f46fd28e12240d79e2a327ad65d3a799b1747166,1,1,1,1,1,0,0,1299,1290,0.9930715935334873,1648,1648,0.9504437869822485,0.7808588313253534,1,1,0,1,0,0,1,0,0,True,True,
189,000304.jpg,fd90b907257a9e4020c7fe7617d295b08dec4531e8fae5e328f6ebf75e064249,6,6,5,5,5,1,0,4465,3247,0.7272116461366182,6554,5220,0.6959847036328872,2.8435365432791295,5,5,0,5,0,0,5,0,0,True,True,
190,000302.jpg,5d86212aad68d965c23a718fc91c6c000278c8e7396950bcc965f161e4fdc41f,25,25,24,24,23,2,3,17151,16083,0.9377295784502362,26374,26672,0.8423846030129202,0.6976992302087816,26,26,0,26,0,0,23,0,0,True,True,
191,000301.jpg,032d05d96e17010d09b05278d6e2d6f31e1379227c2d30f8e1585b4226b03451,17,17,17,17,14,3,1,36273,34994,0.9647396134866154,57899,50970,0.7537490759319886,2.7470563371055308,15,15,0,14,1,0,13,1,0,True,True,
192,000296.jpg,8695b4474ab4b2007221f06bd561c8f40facec22956fef8b39d95ce613839032,10,10,12,12,9,1,5,39805,36674,0.9213415400075368,81223,85816,0.8725744572328299,2.5501069316935894,14,14,0,12,2,0,7,2,0,True,True,
193,000295.jpg,6b3662641c6c810e07be686470dc44929fae5670f36685353b758580e0a31582,13,13,12,12,8,5,2,19752,15825,0.8011846901579587,35462,33866,0.8496514945969967,2.061458106106053,10,10,0,10,0,0,8,0,0,True,True,
194,000292.jpg,a6c32bbd52a96f149e05d1841c9f51e362e8fece22e03e2e31b437d2b2722491,62,62,65,65,34,28,10,383598,305397,0.7961381446201492,638888,703829,0.8113369454852594,2.437712337116193,44,44,0,31,13,0,25,9,0,True,True,
195,000291.jpg,1aaaf141bfe4de42eac80014be976cfa3847411192718e84cff75deb0acc3484,27,27,28,28,19,8,4,202785,169045,0.8336168848780728,420792,367597,0.8953400831329534,0.9650222119492537,23,23,0,14,9,0,10,9,0,True,True,
196,000289.jpg,8ef6c0698ac260307819d48ded8020fe17b5a5a65d0811da4ef0374c0a4e423f,8,8,7,7,7,1,1,8221,7202,0.8760491424400925,14045,12851,0.8888489208633094,1.3703407015312492,8,8,0,8,0,0,7,0,0,True,True,
197,000287.jpg,41fbf84fe30774eaf5b30a04781ccc2d239ce3d2a7aa71fcb86945a83b245a94,9,9,8,8,9,0,1,6544,6157,0.940861858190709,10256,9948,0.9125699146305564,1.6767311398299969,10,10,0,10,0,0,9,0,0,True,True,
198,000286.jpg,a691bcd86c501409a6a5a86347fa83753a9e6c5470397c42d42d1d7d2c1e84a2,30,30,31,31,24,6,1,37160,35036,0.9428417653390743,68518,66386,0.8614943083156473,1.6609275540716686,25,25,0,23,2,0,22,2,0,True,True,
199,000283.jpg,e1b52cc6efb71eba755111c9096444e16984c7082ae30dbb449ce44b76a50560,104,104,99,99,86,18,2,77705,68672,0.883752654269352,131347,129237,0.8909432856235651,0.2700046949042154,88,88,0,87,1,0,85,1,0,True,True,
200,000282.jpg,29de74c1a417bf76abb8c20c052e8ac13316fa8cb8806af59e535e23a4479291,13,13,16,16,12,1,3,24738,23863,0.9646293152235428,42875,47722,0.8629865534324133,3.2651459103547205,15,15,0,15,0,0,12,0,0,True,True,
201,000279.jpg,8c2ba2fd95f4fdeb817a91468b3d704e401275ee2161a6bc3c332fdf72b53699,10,10,12,12,10,0,2,14328,14163,0.9884840871021775,24624,27159,0.8574072931449374,1.9470170230693742,12,12,0,12,0,0,10,0,0,True,True,
202,000278.jpg,ef5668045937fa07393b9661e28354592cf9bc786d2a1a432d62c3d9303e88d2,18,18,16,16,14,4,2,65618,62050,0.9456246761559328,92611,96867,0.9103102540593297,0.8560876331311156,16,16,0,12,4,0,10,4,0,True,True,
203,000276.jpg,e9b255dbf7806ea02e14b721c66b805c9fee25cfae95a058cf96b734fbc8e5c0,4,4,4,4,4,0,0,10036,9725,0.9690115583897967,17585,17534,0.9614779874213837,0.3331033247069246,4,4,0,4,0,0,4,0,0,True,True,
204,000273.jpg,aa53e9a4bd861cb8df1314a681139e10ec25534075222a59663c7d8ccbe717b8,35,35,34,34,27,8,6,87403,67561,0.772982620733842,181533,179184,0.9102891801148056,0.9375497273820853,33,33,0,31,2,0,26,1,0,True,True,
205,000272.jpg,8beefc94408b63517768b3f5fa07ed03e4b7acb2a4b965cd80320afda200f54a,101,101,103,103,85,16,5,117136,108185,0.9235845512908073,177333,180634,0.9191195602680023,0.4894987430291999,90,90,0,89,1,0,85,0,0,True,True,
206,000270.jpg,96845f5531cd2baf83a99914aba0adb7a398eab0ba66dd00a1c7e7d0ab7f6beb,41,41,41,41,38,3,3,84346,82988,0.9838996514357528,157413,161162,0.961241293417593,0.4596738097898698,41,41,0,40,1,0,37,1,0,True,True,
207,000267.jpg,18ba54946e446564cc6c2f37849cb71499d5e490b961d63fdac16bb2049bc27b,15,15,19,19,15,0,2,29252,28678,0.9803774100916177,54787,54454,0.9580625911682801,0.256329433158412,17,17,0,16,1,0,14,1,0,True,True,
208,000264.jpg,99351431c5a55de2591ee72316448c16ae2c2e71ee14922d18c81f0a210c7904,19,19,17,17,17,2,0,23312,21827,0.9362989018531228,33277,32828,0.9358802875773282,0.25948738914116515,17,17,0,17,0,0,17,0,0,True,True,
209,000263.jpg,873b4fce63434df37f912148ce30f1ec549ec74310acf87747bf397955e2a276,28,28,26,26,26,2,2,31169,29583,0.9491161089544098,49629,49320,0.9176673972771895,0.6932696499857313,28,28,0,28,0,0,26,0,0,True,True,
210,000261.jpg,1c697d49303df500151f8ef05aafdd2bbdf56606947c77e60ac5486a2fdcb6cf,2,2,2,2,2,0,0,9890,9775,0.9883720930232558,19586,20199,0.8805746782400479,3.4587840451240734,2,2,0,2,0,0,2,0,0,True,True,
211,000260.jpg,eb920613bb67c5d771460db5df70ae6bcbaaae7b063523f1ceaebbb7f9450718,3,3,3,3,2,1,0,2034,2006,0.9862340216322517,3253,7949,0.40638389031705224,20.21381930953826,2,2,0,2,0,0,2,0,0,True,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability
212,000258.jpg,d25c1919c23f9097988eac76acd5b7ed47824ca4b476e8099157415d1a9970fe,13,13,12,12,8,5,0,132866,107187,0.8067300889618112,222984,220625,0.965595566637318,0.08452168918568984,8,8,0,7,1,0,7,1,0,True,True,
213,000256.jpg,6139eca77bea4f104954895c67dbee23cda42bb009d4e44f039b7d4b89ad2634,5,5,4,4,1,4,2,54586,42958,0.7869783460960685,78705,104349,0.8231111111111111,2.579155187167686,3,3,0,2,1,0,0,1,0,True,True,
214,000254.jpg,21d32d9fe198c829bb2df63ccdfe3f49abedf184943680218ddb86a5e6845e01,2,2,2,2,2,0,0,3224,3100,0.9615384615384616,5727,5497,0.9599020508111418,0.3935182909393801,2,2,0,2,0,0,2,0,0,True,True,
215,000252.jpg,89fca7e19b21ee19d73372b7e3d89728fb91c400be76f431fb63d7d9c40737d0,4,4,8,8,4,0,0,4332,4117,0.9503693444136657,6805,8711,0.7690463014204021,0.7908726584633214,4,4,0,4,0,0,4,0,0,True,True,
216,000250.jpg,a72e0974d761f06eb9c24ed4f50a69e980a76152ee747cd0f7d7ad84b27fafe9,37,37,36,36,35,2,4,56070,53928,0.9617977528089887,95205,94130,0.9513897370579101,0.13980189513518784,39,39,0,39,0,0,35,0,0,True,True,
217,000249.jpg,b044a119777c0a0d85a50be728364f6bf71058a488106d097c43a5e1d62e21d3,9,9,9,9,9,0,1,11544,11221,0.9720200970200971,19002,18815,0.9670217298679165,0.13027727437674555,10,10,0,10,0,0,9,0,0,True,True,
