epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,8462.74,1.37581,1.07459,0.9995,0,0,0,0,0,0,0,0.0004258,0.0004258,0.0004258
31,8751.8,1.39163,1.06152,0.99199,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
32,9038.94,1.38792,1.05971,1.01407,0,0,0,0,0,0,0,0.0003862,0.0003862,0.0003862
33,9330.16,1.37881,1.013,0.9917,0,0,0,0,0,0,0,0.0003664,0.0003664,0.0003664
34,9614.93,1.38126,1.0436,0.99565,0,0,0,0,0,0,0,0.0003466,0.0003466,0.0003466
35,9895.32,1.38636,1.03097,1.004,0,0,0,0,0,0,0,0.0003268,0.0003268,0.0003268
36,10182,1.38791,1.04209,1.00187,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
37,10471.5,1.35504,1.03005,0.98718,0,0,0,0,0,0,0,0.0002872,0.0002872,0.0002872
38,10755.6,1.40039,1.00708,0.99873,0,0,0,0,0,0,0,0.0002674,0.0002674,0.0002674
39,11031,1.40415,1.02143,0.9959,0,0,0,0,0,0,0,0.0002476,0.0002476,0.0002476
40,11314.8,1.38122,1.02228,0.99888,0,0,0,0,0,0,0,0.0002278,0.0002278,0.0002278
41,11588.7,1.39917,1.31065,0.99212,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
42,11864.9,1.36851,1.22977,0.99911,0,0,0,0,0,0,0,0.0001882,0.0001882,0.0001882
43,12137.6,1.37397,1.19724,1.00623,0,0,0,0,0,0,0,0.0001684,0.0001684,0.0001684
44,12408.1,1.37604,1.13374,0.99663,0,0,0,0,0,0,0,0.0001486,0.0001486,0.0001486
45,12675.9,1.3698,1.14256,0.99576,0,0,0,0,0,0,0,0.0001288,0.0001288,0.0001288
46,12953.3,1.3668,1.12917,0.99023,0,0,0,0,0,0,0,0.000109,0.000109,0.000109
47,13224.3,1.36872,1.15548,0.99599,0,0,0,0,0,0,0,8.92e-05,8.92e-05,8.92e-05
48,13490.9,1.37673,1.11907,0.99867,0,0,0,0,0,0,0,6.94e-05,6.94e-05,6.94e-05
49,13762.6,1.36313,1.13585,0.99846,0,0,0,0,0,0,0,4.96e-05,4.96e-05,4.96e-05
50,14123.1,1.36039,1.11553,0.99386,0.83619,0.80031,0.88848,0.53598,1.30349,0.92667,0.97639,2.98e-05,2.98e-05,2.98e-05
