cohort,species,n_classifiable,D
discovery,Carlina hispanica,58,0.0338882282996433
discovery,Carlina vulgaris,40,0.5275
discovery,Carthamus mitissimus,44,0.580578512396694
discovery,Castilleja exserta,56,0.341198979591837
discovery,Castilleja foliolosa,46,0.520793950850662
discovery,Centranthus calcitrapae,65,0.197869822485207
discovery,Centrosema virginianum,43,0.648999459167117
discovery,Cerastium fontanum,57,0.0677131425053863
discovery,Chaenorhinum origanifolium,49,0.553935860058309
discovery,Chelone lyonii,49,0.472303206997085
discovery,Chondrilla juncea,66,0.235537190082645
discovery,Cipura campanulata,54,0.197530864197531
discovery,Cistus albidus,58,0.601070154577883
discovery,Cistus crispus,64,0.17236328125
discovery,Clematis virginiana,49,0.0399833402748855
discovery,Clinopodium alpinum,53,0.204343182627269
discovery,Cneoridium dumosum,50,0.3064
discovery,Cochlospermum vitifolium,48,0.0807291666666665
discovery,Coleogyne ramosissima,77,0.0748861528082307
discovery,Coleostephus myconis,79,0.0
discovery,Collinsia grandiflora,54,0.229766803840878
discovery,Commelina benghalensis,51,0.515955401768551
discovery,Commelina communis,52,0.207840236686391
discovery,Commelina diffusa,59,0.475725366274059
discovery,Conoclinium betonicifolium,73,0.197785700881967
discovery,Conopholis alpina,52,0.310650887573964
discovery,Conospermum caeruleum,57,0.403816558941213
discovery,Convolvulus elegantissimus,58,0.582639714625446
discovery,Cornus florida,49,0.21491045397751
discovery,Cornus sanguinea,49,0.14993752603082
discovery,Cornus suecica,56,0.0350765306122449
discovery,Corydalis aurea,70,0.0281632653061223
discovery,Cotula coronopifolia,82,0.0240928019036288
discovery,Crepis biennis,61,0.0322493953238376
discovery,Crepis sancta,67,0.0579193584317219
discovery,Cryptantha barbigera,48,0.223090277777778
discovery,Cylindropuntia echinocarpa,47,0.19013128112268
discovery,Cypripedium guttatum,46,0.333648393194707
discovery,Dalea candida,74,0.0525931336742147
discovery,Dampiera stricta,79,0.184265342092613
discovery,Delphinium glaucum,44,0.201446280991735
discovery,Delphinium sutherlandii,53,0.106799572801709
discovery,Desmanthus illinoensis,66,0.235537190082645
discovery,Diplacus mephiticus,68,0.562716262975779
discovery,Diplotaxis tenuifolia,78,0.0973044049967127
discovery,Disphyma crassifolium,47,0.471706654594839
discovery,Distimake aegyptius,50,0.0768
discovery,Distimake dissectus,57,0.222837796244999
discovery,Drosera spatulata,43,0.680367766360195
discovery,Dyssodia pinnata,78,0.0
discovery,Echium gaditanum,62,0.281477627471384
discovery,Echium rosulatum,53,0.484158063367747
discovery,Ehretia anacua,50,0.0
discovery,Elephantopus carolinianus,62,0.122788761706556
discovery,Epacris obtusifolia,41,0.214158239143367
discovery,Erechtites hieraciifolius,47,0.476233589859665
discovery,Erigeron foliosus,50,0.6024
discovery,Erigeron linearis,86,0.0886965927528394
discovery,Eriodictyon crassifolium,54,0.16803840877915
discovery,Eriogonum jamesii,66,0.140036730945822
discovery,Eriogonum latifolium,70,0.224081632653061
discovery,Eriogonum niveum,44,0.0878099173553718
discovery,Eriophorum vaginatum,45,0.345679012345679
discovery,Eriophyllum confertiflorum,82,0.0
discovery,Eryngium planum,51,0.213763936947328
discovery,Erythranthe dentata,67,0.0579193584317219
discovery,Erythranthe erubescens,45,0.569876543209877
discovery,Erythrina humeana,52,0.292159763313609
discovery,Eschscholzia minutiflora,72,0.0
discovery,Euonymus obovatus,41,0.49970255800119
discovery,Eupatorium altissimum,55,0.194380165289256
discovery,Euphorbia cyparissias,85,0.0
discovery,Eurybia divaricata,44,0.0867768595041321
discovery,Eutrochium fistulosum,47,0.293345405160706
discovery,Eutrochium maculatum,47,0.297872340425532
discovery,Eysenhardtia texana,46,0.0831758034026464
discovery,Falcaria vulgaris,69,0.0285654274312119
discovery,Fritillaria pyrenaica,47,0.688999547306474
discovery,Galinsoga parviflora,64,0.35888671875
discovery,Gazania rigens,71,0.0277722674072605
discovery,Gentiana acaulis,71,0.205118032136481
discovery,Gentiana parryi,45,0.164938271604938
discovery,Geranium macrorrhizum,45,0.524444444444444
discovery,Geranium molle,52,0.642751479289941
discovery,Geranium richardsonii,56,0.0695153061224489
discovery,Geranium yeoi,63,0.584026203073822
discovery,Geum canadense,51,0.0384467512495195
discovery,Geum macrophyllum,67,0.0855424370683895
discovery,Geum urbanum,65,0.115502958579882
discovery,Gompholobium huegelii,66,0.367309458218549
discovery,Goodenia ovata,74,0.0525931336742147
discovery,Grevillea alpina,42,0.577097505668934
discovery,Grevillea lavandulacea,46,0.12476370510397
discovery,Guzmania monostachia,45,0.440493827160494
discovery,Hedypnois rhagadioloides,61,0.0322493953238376
discovery,Helenium autumnale,81,0.0
discovery,Helianthus divaricatus,57,0.0677131425053863
discovery,Hepatica acutiloba,59,0.0333237575409364
discovery,Hibbertia cuneiformis,62,0.122268470343392
discovery,Hibiscus denudatus,52,0.356508875739645
discovery,Hofmeisteria fasciculata,56,0.167091836734694
discovery,Homogyne alpina,50,0.3656
discovery,Hyacinthoides non-scripta,61,0.150497178177909
discovery,Hypocalymma robustum,47,0.267089180624717
discovery,Iliamna rivularis,52,0.212278106508876
discovery,Ipomoea cairica,48,0.572048611111111
discovery,Ipomoea pes-caprae,48,0.551215277777778
discovery,Jacobaea adonidifolia,75,0.026311111111111
discovery,Jaumea carnosa,75,0.051911111111111
discovery,Johnstonella angustifolia,60,0.0
discovery,Lachenalia reflexa,54,0.0713305898491086
discovery,Lamprocapnos spectabilis,60,0.155
discovery,Lantana involucrata,56,0.194515306122449
discovery,Lathyrus japonicus,47,0.501584427342689
discovery,Lathyrus palustris,41,0.62819750148721
discovery,Lathyrus pratensis,71,0.0817298155127951
discovery,Lepidium campestre,68,0.207612456747405
discovery,Lepidium fremontii,72,0.0798611111111109
discovery,Leucaena leucocephala,49,0.389837567680133
discovery,Leucopogon affinis,65,0.0596449704142012
discovery,Leucopogon microphyllus,68,0.0289792387543251
discovery,Ligustrum obtusifolium,61,0.0322493953238376
discovery,Linum catharticum,57,0.100954139735303
discovery,Linum lewisii,69,0.540222642302037
discovery,Lithospermum canescens,79,0.0
discovery,Lobelia erinus,64,0.26806640625
discovery,Loeselia glandulosa,52,0.632396449704142
discovery,Ludwigia peruviana,43,0.0
discovery,Lupinus arizonicus,46,0.200378071833648
discovery,Lupinus havardii,60,0.126111111111111
discovery,Lupinus microcarpus,47,0.566772295156179
discovery,Lysimachia loeflingii,64,0.14697265625
discovery,Lysimachia quadrifolia,66,0.0592286501377409
discovery,Malacothrix saxatilis,63,0.0619803476946335
discovery,Malva moschata,53,0.481310074759701
discovery,Malva thuringiaca,58,0.41141498216409
discovery,Mazus miquelii,61,0.493415748454717
discovery,Mecardonia procumbens,50,0.2688
discovery,Medicago lupulina,69,0.136105860113422
discovery,Medicago marina,75,0.0768
discovery,Melaleuca citrina,40,0.40875
discovery,Melastoma candidum,52,0.707100591715976
discovery,Melastoma malabathricum,41,0.632956573468174
discovery,Melothria pendula,52,0.176775147928994
discovery,Micranthes petiolaris,49,0.0
discovery,Mitchella repens,49,0.0399833402748855
discovery,Moraea flaccida,51,0.37524029219531
discovery,Muscari armeniacum,80,0.0721874999999998
discovery,Muscari botryoides,65,0.0880473372781063
discovery,Myosotis latifolia,76,0.375
discovery,Myosotis laxa,65,0.0889940828402366
discovery,Myosotis sparsiflora,74,0.0777940102264427
discovery,Myrica gale,40,0.30375
discovery,Myrtus communis,67,0.210291824459791
discovery,Nama hispida,61,0.605751142166084
discovery,Navarretia heterodoxa,65,0.437396449704142
discovery,Nelumbo nucifera,43,0.641427798810168
discovery,Nicandra physalodes,45,0.517530864197531
discovery,Nicotiana longiflora,51,0.0753556324490581
discovery,Ochna serrulata,59,0.469979890835967
discovery,Odontites luteus,66,0.0298438934802572
discovery,Olearia lirata,68,0.0289792387543251
discovery,Olsynium biflorum,47,0.297872340425532
discovery,Omphalodes verna,62,0.366805411030177
discovery,Oreomecon alpina,73,0.292737849502721
discovery,Ornithopus compressus,52,0.142011834319526
discovery,Oxalis violacea,50,0.6232
discovery,Oxytropis campestris,45,0.461234567901235
discovery,Papaver dubium,44,0.56198347107438
discovery,Parthenium confertum,82,0.0240928019036288
discovery,Passiflora mixta,41,0.336704342653183
discovery,Pectis multiseta,82,0.0
discovery,Pectis papposa,79,0.0
discovery,Penstemon speciosus,60,0.0327777777777778
discovery,Pentanema squarrosum,42,0.0464852607709751
discovery,Persicaria nepalensis,61,0.291857027680731
discovery,Persicaria pensylvanica,72,0.131558641975309
discovery,Phlomoides tuberosa,63,0.376417233560091
discovery,Phlox diffusa,78,0.22879684418146
discovery,Phlox longifolia,71,0.478476492759373
discovery,Phlox roemeriana,63,0.333585285966238
discovery,Pimelea serpyllifolia,53,0.306158775364898
discovery,Pinguicula vulgaris,56,0.25765306122449
discovery,Piqueria trinervia,69,0.0285654274312119
discovery,Pittosporum revolutum,41,0.135633551457466
discovery,Plantago media,52,0.142011834319526
discovery,Polycalymma stuartii,76,0.316828254847645
discovery,Polygala comosa,43,0.379664683612764
discovery,Portulaca suffrutescens,58,0.247324613555291
discovery,Potentilla concinna,82,0.0478881618084475
discovery,Potentilla indica,45,0.339753086419753
discovery,Potentilla simplex,75,0.051911111111111
discovery,Primula elatior,58,0.485136741973841
discovery,Prunus mahaleb,52,0.0739644970414202
discovery,Pseudo-fumaria lutea,68,0.0289792387543251
discovery,Pseudognaphalium affine,82,0.070493753718025
discovery,Pulmonaria obscura,47,0.409234947940245
discovery,Pultenaea villosa,65,0.0302958579881656
discovery,Purshia stansburyana,48,0.329861111111111
discovery,Pycnanthemum virginianum,85,0.0459515570934257
discovery,Pyrola elliptica,44,0.0
discovery,Ranunculus kuepferi,79,0.0730652139080274
discovery,Ranunculus lyallii,70,0.0820408163265305
discovery,Ranunculus trichophyllus,74,0.0777940102264427
discovery,Ranunculus uncinatus,44,0.267561983471074
discovery,Rhododendron canadense,45,0.345679012345679
discovery,Rhododendron catawbiense,48,0.4765625
discovery,Rhododendron pseudochrysanthum,50,0.2112
discovery,Rhododendron tomentosum,61,0.0322493953238376
discovery,Rhynchospora colorata,51,0.110726643598616
discovery,Rorippa palustris,63,0.146132527084908
discovery,Rosa blanda,50,0.6136
discovery,Rosa multiflora,71,0.0547510414600276
discovery,Rubus chamaemorus,58,0.157550535077289
discovery,Rubus odoratus,50,0.492
discovery,Rubus trivialis,61,0.0
discovery,Rudbeckia triloba,75,0.026311111111111
discovery,Sagittaria lancifolia,59,0.0965239873599539
discovery,Sagittaria latifolia,68,0.0570934256055364
discovery,Sairocarpus pusillus,43,0.252028123309897
discovery,Salvia amarissima,49,0.478967097042899
discovery,Salvia hispanica,61,0.50201558720774
discovery,Salvia lavanduloides,47,0.501584427342689
discovery,Salvia polystachia,43,0.505137912385073
discovery,Salvia prunelloides,48,0.186631944444444
discovery,Salvia verticillata,44,0.606404958677686
discovery,Sambucus mexicana,46,0.340264650283554
discovery,Sanguinaria canadensis,68,0.207612456747405
discovery,Satureja montana,60,0.0961111111111111
discovery,Saxifraga granulata,69,0.0285654274312119
discovery,Saxifraga tridactylites,52,0.317307692307692
discovery,Scilla bifolia,51,0.315263360246059
discovery,Scilla luciliae,59,0.448147084171215
discovery,Scilla verna,63,0.430335097001764
discovery,Senecio mohavensis,66,0.11524334251607
discovery,Senecio ovatus,43,0.0
discovery,Senecio triangularis,58,0.161712247324613
discovery,Senecio vernalis,82,0.0240928019036288
discovery,Senegalia berlandieri,71,0.177742511406467
discovery,Senna artemisioides,75,0.0
discovery,Senna hebecarpa,47,0.25350837483024
discovery,Sericocarpus linifolius,52,0.0
discovery,Sesbania drummondii,44,0.165289256198347
discovery,Sidalcea candida,53,0.139551441794233
discovery,Sideranthus spinulosus,86,0.0673336938885882
discovery,Sisymbrium irio,65,0.0880473372781063
discovery,Sixalix atropurpurea,49,0.257392753019575
discovery,Solanum crispum,51,0.542868127643214
discovery,Solanum elaeagnifolium,53,0.54752580989676
discovery,Solanum furcatum,48,0.254340277777778
discovery,Solanum laxum,48,0.191840277777778
discovery,Solanum lycopersicum,46,0.50945179584121
discovery,Solanum pseudocapsicum,54,0.510288065843622
discovery,Solidago ptarmicoides,78,0.119986850756082
discovery,Solidago uliginosa,50,0.1472
discovery,Solidago virgaurea,63,0.0
discovery,Sparaxis tricolor,52,0.577662721893491
discovery,Sphaeralcea ambigua,52,0.322485207100592
discovery,Sphaeralcea coccinea,57,0.193290243151739
discovery,Stachys palustris,43,0.647917793401839
discovery,Stevia serrata,68,0.0575259515570935
discovery,Streptosolen jamesonii,60,0.0650000000000001
discovery,Stypandra glauca,57,0.250538627269929
discovery,Symphyotrichum puniceum,62,0.232570239334027
discovery,Symphyotrichum subulatum,68,0.137975778546713
discovery,Symphytum officinale,46,0.51890359168242
discovery,Symplocos tinctoria,45,0.517530864197531
discovery,Talinum fruticosum,48,0.354166666666667
discovery,Talinum paniculatum,45,0.422716049382716
discovery,Tanacetum vulgare,85,0.0232525951557092
discovery,Taraxacum erythrospermum,75,0.231111111111111
discovery,Telekia speciosa,62,0.0317377731529656
discovery,Tetratheca thymifolia,48,0.559027777777778
discovery,Thysanocarpus curvipes,59,0.258546394714163
discovery,Tiarella stolonifera,54,0.104938271604938
discovery,Tinantia erecta,45,0.565925925925926
discovery,Tithonia tubaeformis,48,0.0807291666666665
discovery,Trachymene composita,60,0.124444444444444
discovery,Tragopogon porrifolius,44,0.707644628099174
discovery,Trifolium incarnatum,52,0.271449704142012
discovery,Trifolium repens,72,0.0798611111111109
discovery,Tripolium pannonicum,70,0.160408163265306
discovery,Triteleia laxa,61,0.295619457135179
discovery,Trixis inula,83,0.0
discovery,Trollius albiflorus,62,0.200312174817898
discovery,Turnera subulata,60,0.339444444444444
discovery,Verbascum thapsus,52,0.292159763313609
discovery,Verbena rigida,64,0.52978515625
discovery,Veronica cymbalaria,52,0.292159763313609
discovery,Veronica longifolia,43,0.469442942130881
discovery,Veronica officinalis,66,0.0867768595041321
discovery,Veronica polita,44,0.542355371900826
discovery,Veronica prostrata,73,0.391818352411334
discovery,Veronica spicata,51,0.386774317570165
discovery,Vicia lathyroides,42,0.59750566893424
discovery,Viminaria juncea,54,0.0363511659807956
discovery,Vincetoxicum hirundinaria,62,0.297086368366285
discovery,Viola blanda,50,0.0768
discovery,Viola cucullata,60,0.339444444444444
discovery,Viola hirta,65,0.167573964497042
discovery,Viola lutea,71,0.577663162071018
discovery,Viola mirabilis,42,0.488662131519274
discovery,Viola pedunculata,73,0.0
discovery,Viola rostrata,47,0.334993209597103
discovery,Viola tricolor,55,0.532892561983471
discovery,Viscaria vulgaris,60,0.316666666666667
discovery,Vitex agnus-castus,52,0.42603550295858
discovery,Whipplea modesta,62,0.0317377731529656
discovery,Wyethia angustifolia,64,0.11865234375
discovery,Zanthoxylum americanum,56,0.191326530612245
discovery,Zephyranthes atamasco,50,0.3272
reserve,Abutilon fruticosum,51,0.211457131872357
reserve,Acacia saligna,56,0.0350765306122449
reserve,Achillea millefolium,79,0.0496715269988784
reserve,Actaea spicata,63,0.118921642731167
reserve,Adenium multiflorum,40,0.26625
reserve,Adenostyles alliariae,44,0.628099173553719
reserve,Aechmea distichantha,48,0.258680555555556
reserve,Aegiceras corniculatum,41,0.290303390838787
reserve,Aethusa cynapium,73,0.0270219553387128
reserve,Agrimonia pilosa,72,0.104938271604938
reserve,Aliciella latifolia,43,0.27906976744186
reserve,Alliaria petiolata,61,0.152647137866165
reserve,Allium scorodoprasum,50,0.6304
reserve,Allium vineale,42,0.477324263038549
reserve,Amsonia tomentosa,63,0.0
reserve,Anarrhinum bellidifolium,55,0.505123966942149
reserve,Andersonglossum virginianum,58,0.0992865636147443
reserve,Anemone palmata,62,0.22840790842872
reserve,Anemone virginiana,57,0.265927977839335
reserve,Anemopsis californica,62,0.120707596253902
reserve,Antennaria racemosa,65,0.242366863905325
reserve,Aotus ericoides,53,0.0370238519045925
reserve,Aphyllanthes monspeliensis,76,0.505886426592798
reserve,Aquilegia brevistyla,47,0.440018107741059
reserve,Arabidopsis thaliana,55,0.134876033057851
reserve,Argentina pacifica,68,0.0
reserve,Arnica latifolia,67,0.029405212742259
reserve,Asclepias angustifolia,69,0.056710775047259
reserve,Asclepias curassavica,48,0.21875
reserve,Asclepias purpurascens,50,0.34
reserve,Asphodelus albus,43,0.240129799891833
reserve,Astragalus agrestis,41,0.524687685901249
reserve,Bauera rubioides,56,0.335459183673469
reserve,Berberis aquifolium,62,0.0
reserve,Berberis nervosa,54,0.16803840877915
reserve,Bidens laevis,62,0.0
reserve,Bistorta vivipara,53,0.170879316482734
reserve,Blephilia ciliata,69,0.110480991388364
reserve,Borrichia frutescens,79,0.0249959942316935
reserve,Bunias orientalis,74,0.0266617969320671
reserve,Buphthalmum salicifolium,69,0.0562906952320941
reserve,Cadaba aphylla,41,0.17965496728138
reserve,Caladenia carnea,44,0.575413223140496
reserve,Calochortus bruneaunis,58,0.262187871581451
reserve,Calochortus splendens,47,0.584880036215482
reserve,Calopogon barbatus,45,0.564938271604938
reserve,Calotropis procera,54,0.225651577503429
reserve,Calycoseris wrightii,63,0.0917107583774252
reserve,Calystegia macrostegia,65,0.142011834319526
reserve,Calystegia spithamaea,46,0.123818525519849
reserve,Campanula giesekiana,73,0.129855507599925
reserve,Canna flaccida,54,0.137174211248285
reserve,Cardamine douglassii,61,0.0322493953238376
reserve,Cardamine flexuosa,54,0.0363511659807956
reserve,Carduus acanthoides,61,0.333243751679656
reserve,Carpobrotus edulis,61,0.577264176296694
reserve,Ceanothus fendleri,76,0.101108033240997
reserve,Centaurea scabiosa,42,0.680272108843538
reserve,Centaurea solstitialis,80,0.0487500000000001
reserve,Centratherum punctatum,46,0.520793950850662
reserve,Cerastium holosteoides,55,0.134876033057851
reserve,Chamaenerion latifolium,48,0.4765625
reserve,Chrysosplenium alternifolium,56,0.10140306122449
reserve,Cicendia quadrangularis,76,0.0758310249307479
reserve,Cicerbita alpina,43,0.510546241211466
reserve,Circaea canadensis,43,0.168739859383451
reserve,Cirsium occidentale,53,0.545389818440726
reserve,Cirsium undulatum,52,0.482248520710059
reserve,Claytonia caroliniana,70,0.0281632653061223
reserve,Cleomella lutea,71,0.0
reserve,Clinopodium gracile,47,0.3168854685378
reserve,Clinopodium vulgare,56,0.645408163265306
reserve,Cochemiea grahamii,55,0.259834710743802
reserve,Collinsia tinctoria,44,0.240702479338843
reserve,Conradina canescens,70,0.0281632653061223
reserve,Convolvulus angustissimus,65,0.540591715976331
reserve,Corethrogyne filaginifolia,56,0.507015306122449
reserve,Cornus mas,66,0.0876951331496785
reserve,Cornus unalaschkensis,58,0.0665873959571937
reserve,Corydalis flavula,53,0.0370238519045925
reserve,Cosmos sulphureus,54,0.0363511659807956
reserve,Crepis vesicaria,73,0.0532933008069056
reserve,Cunila origanoides,48,0.2265625
reserve,Cyclospermum leptophyllum,41,0.314098750743605
reserve,Cydonia oblonga,58,0.0338882282996433
reserve,Cymbalaria muralis,43,0.288804759329367
reserve,Cynoglossum creticum,49,0.379008746355685
reserve,Cynoglossum officinale,41,0.48780487804878
reserve,Dactylorhiza sambucina,40,0.67875
reserve,Delairea odorata,71,0.0
reserve,Delphinium bicolor,51,0.148404459823145
reserve,Delphinium nudicaule,57,0.359495229301323
reserve,Delphinium nuttallianum,45,0.165925925925926
reserve,Descurainia sophia,45,0.292345679012346
reserve,Dichelostemma multiflorum,47,0.3168854685378
reserve,Dillwynia floribunda,62,0.0
reserve,Diplacus puniceus,52,0.351331360946746
reserve,Disphyma australe,60,0.0650000000000001
reserve,Dittrichia graveolens,52,0.0739644970414202
reserve,Drosera brevifolia,57,0.0
reserve,Drosera macrantha,53,0.370238519045924
reserve,Dyssodia tagetiflora,85,0.0
reserve,Echium vulgare,65,0.0596449704142012
reserve,Elephantopus tomentosus,52,0.108727810650888
reserve,Erica arborea,52,0.142011834319526
reserve,Erica tetralix,49,0.63640149937526
reserve,Ericameria ericoides,45,0.161975308641975
reserve,Erigenia bulbosa,63,0.0
reserve,Erigeron annuus,80,0.0
reserve,Erigeron divergens,84,0.0918367346938777
reserve,Erigeron glaucus,52,0.361686390532544
reserve,Erigeron pulchellus,77,0.167313206274245
reserve,Erigeron quercifolius,78,0.0746219592373438
reserve,Erigeron speciosus,59,0.465383510485493
reserve,Eriogonum wrightii,41,0.0939916716240333
reserve,Erodium cicutarium,46,0.590737240075614
reserve,Erysimum concinnum,55,0.103140495867769
reserve,Erythranthe bicolor,68,0.0570934256055364
reserve,Erythranthe guttata,60,0.0
reserve,Erythranthe nasuta,66,0.0867768595041321
reserve,Erythronium grandiflorum,60,0.155
reserve,Erythronium montanum,49,0.21491045397751
reserve,Euploca procumbens,60,0.0327777777777778
reserve,Ferocactus cylindraceus,42,0.0464852607709751
reserve,Filipendula rubra,41,0.643664485425342
reserve,Forestiera pubescens,47,0.0416478044363966
reserve,Frasera fastigiata,40,0.41125
reserve,Fumaria officinalis,49,0.394002498958767
reserve,Galearis rotundifolia,63,0.0
reserve,Galeopsis bifida,50,0.1144
reserve,Galium mollugo,72,0.200231481481482
reserve,Galium palustre,76,0.0
reserve,Gardenia jasminoides,46,0.121928166351607
reserve,Gentiana clusii,57,0.100954139735303
reserve,Gentiana linearis,68,0.163062283737024
reserve,Geobalanus oblongifolius,40,0.46875
reserve,Geranium caespitosum,51,0.55363321799308
reserve,Geranium carolinianum,65,0.115502958579882
reserve,Geranium sibiricum,74,0.0525931336742147
reserve,Gilia tricolor,67,0.187124081087102
reserve,Glandularia bipinnatifida,70,0.509387755102041
reserve,Glebionis segetum,79,0.0
reserve,Globularia repens,86,0.302866414277988
reserve,Gomphrena serrata,63,0.203073822121441
reserve,Goodyera pubescens,47,0.25350837483024
reserve,Grewia occidentalis,42,0.471655328798186
reserve,Grindelia squarrosa,71,0.0
reserve,Gymnadenia rhellicani,59,0.65153691467969
reserve,Helenium puberulum,71,0.132513390200357
reserve,Hemiandra pungens,59,0.159724217178972
reserve,Herbertia lahue,66,0.483471074380165
reserve,Heterotheca grandiflora,73,0.0532933008069056
reserve,Heuchera cylindrica,55,0.32
reserve,Hibbertia aspera,65,0.0302958579881656
reserve,Hibiscus pedunculatus,50,0.5304
reserve,Hieracium venosum,62,0.0920915712799166
reserve,Hippocrepis comosa,70,0.0
reserve,Honckenya peploides,46,0.476370510396975
reserve,Hottonia palustris,75,0.0
reserve,Houstonia micrantha,75,0.0522666666666666
reserve,Hymenoxys grandiflora,71,0.0
reserve,Hypericum tetrapetalum,70,0.0828571428571427
reserve,Hypoxis decumbens,69,0.134425540852762
reserve,Ilex glabra,57,0.0677131425053863
reserve,Impatiens balsamina,63,0.436381960191484
reserve,Ipomoea amnicola,59,0.0333237575409364
reserve,Ipomoea nil,53,0.554645781416874
reserve,Ipomoea quamoclit,62,0.203433922996878
reserve,Ipomoea triloba,52,0.623520710059172
reserve,Ipomopsis rubra,44,0.478305785123967
reserve,Iris japonica,66,0.0298438934802572
reserve,Iris sibirica,54,0.203017832647462
reserve,Kalmia angustifolia,60,0.0327777777777778
reserve,Kennedia coccinea,59,0.263142775064637
reserve,Kennedia prostrata,64,0.06103515625
reserve,Kunzea capitata,40,0.515
reserve,Lactuca biennis,40,0.34875
reserve,Lactuca perennis,47,0.486192847442282
reserve,Lapageria rosea,42,0.214285714285714
reserve,Lathyrus aphaca,69,0.182314639781558
reserve,Lathyrus clymenum,55,0.201652892561984
reserve,Lathyrus tingitanus,54,0.170781893004115
reserve,Legousia speculum-veneris,66,0.28236914600551
reserve,Lepidium perfoliatum,55,0.256528925619835
reserve,Leucanthemum vulgare,77,0.263113509866757
reserve,Leucojum aestivum,51,0.0
reserve,Lilium martagon,62,0.548907388137357
reserve,Linaria purpurea,51,0.3760092272203
reserve,Lindera benzoin,77,0.0505987518974531
reserve,Linum alpinum,65,0.543905325443787
reserve,Linum usitatissimum,58,0.366230677764566
reserve,Lobelia pedunculata,77,0.0505987518974531
reserve,Loeselia mexicana,60,0.0966666666666667
reserve,Lomatium columbianum,61,0.491803278688524
reserve,Lomatium geyeri,77,0.0256367009613763
reserve,Lomatium macrocarpum,56,0.364158163265306
reserve,Lomatium triternatum,92,0.0635633270321362
reserve,Lotus tenuis,72,0.0273919753086418
reserve,Ludwigia decurrens,70,0.108979591836735
reserve,Ludwigia peploides,70,0.0555102040816327
reserve,Lunaria annua,53,0.603061587753649
reserve,Lupinus excubitus,52,0.296597633136095
reserve,Lupinus formosus,40,0.46875
reserve,Lupinus nanus,58,0.157550535077289
reserve,Lysimachia europaea,62,0.0920915712799166
reserve,Lysimachia lanceolata,68,0.0570934256055364
reserve,Lysimachia nemorum,64,0.060546875
reserve,Lysimachia vulgaris,67,0.0583648919581198
reserve,Marah oregana,56,0.102678571428572
reserve,Marcus-kochia littorea,56,0.632015306122449
reserve,Matelea edwardsensis,42,0.336734693877551
reserve,Megaskepasma erythrochlamys,41,0.0928019036287924
reserve,Monarda citriodora,43,0.537587885343429
reserve,Moricandia arvensis,53,0.485582057671769
reserve,Nandina domestica,44,0.297520661157025
