null_H0_delta,pure_C_count,pure_S_count
9.302867374606281,92,4
15.870531976125648,90,3
5.548996684252304,86,5
1.0538341908114721,88,3
4.523304937516278,88,3
12.0697080290229,89,4
9.098778653957979,84,3
8.324098945823788,86,3
19.279390470963268,88,2
5.95852970545021,90,4
29.724711817703525,87,5
10.704512068855065,90,4
18.713936610285685,88,5
10.515787492875948,88,6
5.392985391600318,88,3
2.4103577910274154,85,6
0.6958331667909485,88,2
15.859155179727393,90,1
19.539851041306065,87,4
6.311175460541566,85,3
6.112252071867536,89,2
7.797069554969314,86,6
5.761460384221975,85,6
14.110009495296364,86,4
1.5472280056883476,88,3
0.5408654161918087,92,3
24.825747171093866,91,6
13.540876492302699,90,5
3.525357110116179,88,6
1.6948198166730468,86,1
13.061836709592317,86,2
5.548996684252304,90,3
12.120172303782608,91,11
8.696965797793288,85,3
10.70069476517412,85,3
6.237075123959153,89,3
17.113070741865293,84,7
10.836564424083395,88,5
14.164734258522584,89,6
9.13687089393826,87,7
19.119978611631872,84,5
5.349656986904289,85,5
16.21285896063233,89,2
3.8538225075196837,88,1
14.957031410283962,89,1
15.981162939795626,89,1
4.333510449322687,88,4
10.844910090961841,88,4
26.570591237796496,88,2
1.6112697281684647,85,3
9.437785866184742,91,2
2.406889352828286,91,3
15.299454200914507,84,4
6.1385800481321855,85,4
22.60611858547413,89,4
8.312722149425536,91,3
10.05477753396431,89,5
0.74970940017577,88,4
2.1908953364823605,88,1
11.624735588608978,88,1
2.3769087519489833,85,10
5.548996684252304,92,5
6.66775865686771,88,4
9.392441291058363,89,6
5.499904599666693,86,2
15.859155179727393,92,7
16.73076891498726,91,4
4.1362813053932594,89,2
8.653509885589969,87,4
12.572714357247895,87,1
9.576557905515147,87,6
7.767005347599557,89,6
4.180689065651567,86,4
29.156527310791446,91,1
11.033688002009413,88,3
10.954043858991078,89,3
16.707408904317667,90,2
11.501154402211546,89,3
9.220656273299925,87,5
2.137046304243256,92,1
22.07774679977959,87,2
24.86958165911571,87,7
17.578558841427732,85,6
10.120398433092053,87,5
10.1706476717341,93,3
23.98155917374097,86,4
9.966593211040408,86,5
15.948602692814784,88,3
9.943366726217384,89,6
4.085166426395445,88,6
5.832224732532169,88,6
28.907007042026624,88,1
6.836450416374088,87,7
23.76581225191664,82,1
10.988177532301119,90,3
8.866930328824417,86,2
17.35852954760467,84,3
9.254789946609966,88,1
16.997454024232567,86,3
0.7240936044667707,85,4
3.1572165120532967,89,4
11.257399163527655,87,5
0.6753459422753725,90,4
7.467908205619096,89,2
20.603595678894045,85,4
3.396520893164938,88,4
18.840611157194164,86,3
4.612759665979069,86,8
5.878885562431874,89,2
11.218453274179089,89,4
1.5467398739671292,87,3
5.59341222558818,89,9
2.9099416582409496,91,4
7.119714476600597,87,4
4.9280133697362825,85,2
1.8377764751776247,89,4
8.867800390074429,88,4
6.545106720455992,88,6
8.335475742222043,89,3
9.13687089393826,89,5
13.288152482752608,92,5
24.37564562766159,92,4
7.885186647811411,87,2
5.594507153960599,90,3
5.3062342859185065,89,4
1.0538341908114721,82,1
6.292388963736503,86,5
8.615245864538775,87,3
6.77956315026754,86,3
7.694239175540092,91,2
17.050781032826627,89,8
5.673056368606516,88,3
5.589843845722302,90,4
0.553047424436965,88,2
16.833507657042517,91,2
2.4182661492265396,84,3
10.873931550724015,90,6
10.75692028106506,89,7
1.0534802690625678,86,5
7.458780581537683,89,4
3.300466793302957,87,5
20.721730423249326,88,1
5.319074168011282,89,6
2.1835427526184246,90,2
3.3318838260580934,84,3
8.368035989202886,90,3
9.742970338908465,85,4
6.22921221732949,85,6
11.624735588608978,90,5
20.76724089295762,88,1
6.709472810084365,90,4
12.572714357247895,89,5
10.392088643991386,85,2
2.4038488611823547,86,2
14.705542898105795,89,4
13.130435661594634,88,3
5.638922695296475,88,5
4.455573215648691,88,4
7.04251470059425,88,4
3.3502113265746187,88,4
24.19457257373348,91,1
13.393325835503925,87,8
3.5921258558603153,87,2
8.52759756640592,83,8
4.901072477883881,84,5
3.250166639379,91,2
5.221249212902241,84,7
10.211419372508642,87,5
9.681952107390627,92,3
10.000726884350449,89,9
0.3422290161822339,85,1
4.2210359315934305,91,8
10.1706476717341,87,5
6.250578176374018,90,3
20.68759674993928,89,1
2.7423386539583126,89,3
11.78410650690031,85,3
6.493444661181687,91,4
15.677660482234472,88,6
7.686973008948708,88,6
15.348233627680974,88,2
9.220656273299925,87,3
9.045849954521671,89,7
6.825073619975835,90,5
10.889907599721726,87,4
20.765667466628422,88,3
12.989671307947562,84,4
7.438511797814927,88,8
12.211193243199197,91,3
2.102912630933215,89,3
3.0669131933389293,90,4
2.156761663172319,89,9
4.201729404350709,88,2
5.388322083362021,90,6
18.186695026289655,92,6
9.20696858237267,84,4
17.410341392141774,88,2
22.536284878312692,87,2
5.175738743193946,90,7
22.891255233056945,91,4
18.90562200851941,89,5
3.492574993026919,87,3
19.37416538841446,87,4
6.121030494579538,88,5
9.187220875704332,89,4
14.543661107363818,86,4
14.485693965301273,88,4
19.63049263893668,90,2
23.609257487711787,89,3
4.947040272154322,89,4
15.709339684189418,91,2
15.181607054149191,90,4
11.475242365505686,88,10
10.178605934576195,89,3
8.145926328961732,89,6
15.828615695971045,86,4
5.5703583610229925,90,4
3.7040171787059504,86,3
7.727781719312709,89,2
13.404702631902179,90,6
9.14449004056084,89,4
24.262839920353564,89,1
11.592175341628135,83,7
2.5386779491607663,85,3
25.147470571109643,88,3
14.739676571415837,90,2
12.628028197025245,86,3
9.435093955971267,86,2
32.34148564736569,90,2
24.31815376013091,82,5
2.797652493735662,90,1
12.732394199566462,87,4
12.974424368942646,90,3
9.169431140919103,90,3
12.513012820627248,89,8
20.721730423249326,90,5
10.110338587956113,87,7
7.400810597757252,87,4
9.70466102650603,90,2
12.584091153646149,90,3
19.924837052309726,92,2
21.55705259858631,90,3
1.899093480757175,88,2
5.209872416503988,91,5
10.587262609912955,85,4
15.62028906615307,90,4
5.407831256968077,87,2
15.513700426044405,89,4
24.22870624704352,92,1
10.90930098135376,89,2
8.626622660937027,90,5
13.164569334904675,83,7
23.082679065711133,89,4
8.997784642816642,80,8
11.99403177162112,87,4
1.0879678641215134,89,5
9.114117301141754,89,3
5.080640112232736,87,4
12.974424368942646,86,5
6.813696823577581,87,3
10.012103680748702,92,5
6.241054746948624,90,8
8.546978517918692,89,3
8.636540679746478,86,2
12.244376183040877,90,4
-0.5734422259146166,91,1
17.269082034517282,92,3
9.75984190013792,88,2
5.022948135130228,83,6
18.996642947936,91,5
10.102380325114018,87,5
0.8291002026706851,92,4
9.756334572649777,89,2
12.298728195248069,89,2
16.95194355452427,90,3
19.954224855678603,89,6
13.82732088357062,85,6
12.899496364345763,89,2
6.294515219753114,90,7
5.3157313151565635,90,2
7.3235762655357295,89,4
35.26730202912704,87,3
16.494905466277537,91,2
10.437747600512271,90,2
8.971030313195563,88,4
10.454079520496244,86,2
4.041970228922055,86,6
3.6145696656185597,90,5
20.198392323919954,88,4
5.916306802781972,86,6
11.344563733377248,93,6
10.344689909397713,89,6
5.175738743193946,92,3
10.188665779712135,91,5
8.581112191228733,90,5
6.345505061276853,86,3
10.574334227567217,87,6
10.593758893164257,88,4
6.0670984598181334,90,4
17.433654868839703,83,7
6.623551857615554,84,3
